"","Table 5#3#4# Price Indexes for Private Fixed Investment by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"11","3","  Structures","B009RG3",14.174,14.408,14.607,14.885,15.034,15.504,15.547,15.805,16.132,16.499,16.865,17.161,17.497,17.714,17.946,18.294,18.566,18.963,19.49,19.966,20.504,21.399,22.397,23.341,24.025,24.461,24.68,24.971,25.124,25.576,25.951,26.311,27.145,27.634,28.259,28.854,29.474,30.297,31.041,31.887,32.776,33.781,34.827,35.567,36.182,36.917,37.704,38.883,40.552,41.961,43.149,44.609,45.576,46.028,46.155,45.95,45.162,44.708,44.613,44.546,44.598,45.047,45.338,45.606,45.953,46.059,46.299,46.566,46.76,47,47.21,47.455,47.467,47.668,47.925,48.392,49.151,49.64,50.127,50.663,51.095,51.697,52.099,52.501,52.942,53.312,53.753,54.08,54.562,54.654,54.64,54.109,54.108,54.323,54.584,54.994,55.392,55.869,56.326,56.824,57.267,57.618,58.325,59.147,59.853,60.243,60.899,61.406,61.466,61.697,62.486,62.916,63.525,64.106,64.827,65.605,66.531,67.246,67.796,68.346,68.829,69.276,69.763,70.369,71.213,71.866,72.626,73.485,74.521,75.648,76.854,77.323,78.054,78.912,79.628,80.572,81.545,81.599,82.214,83.339,85.083,87.025,89.449,92.209,95.042,97.673,101.447,105.838,108.823,111.791,113.962,117.111,118.548,119.067,120.038,121.466,123.025,124.22,126.538,129.041,127.259,123.208,120.038,119.605,119.968,120.67,121.442,122.552,124.097,126.118,127.882,129.302,130.167,131.079
"12","4","    Commercial and health care","W001RG3",15.051,15.321,15.532,15.833,15.932,16.488,16.382,16.702,17.173,17.603,18.029,18.386,18.787,18.983,19.281,19.793,20.068,20.486,21.052,21.409,21.816,22.542,23.478,24.402,25.009,25.319,25.391,25.558,25.613,26.131,26.463,26.718,27.145,27.659,28.317,28.917,29.608,30.342,30.988,31.778,32.45,33.579,34.631,35.495,36.47,37.308,38.263,39.341,40.144,40.884,41.562,42.24,42.934,43.542,44.025,44.351,44.638,44.887,45.182,45.611,46.128,46.557,47.109,47.495,47.856,48.122,48.454,48.869,49.249,49.748,50.244,50.797,51.217,51.67,52.051,52.531,53.173,53.557,53.963,54.463,54.933,55.587,55.955,56.353,56.928,57.305,57.73,57.941,58.128,58.286,58.487,58.273,58.204,58.466,58.782,59.292,59.901,60.336,60.931,61.54,62.047,62.493,63.308,64.235,65.027,65.383,65.723,66.052,66.369,66.673,67.36,67.732,68.243,68.689,69.469,70.211,71.146,71.89,72.796,73.691,74.467,75.226,75.88,76.531,77.629,78.313,78.954,79.623,80.298,80.906,81.923,82.62,82.852,83.367,83.671,84.634,85.813,85.626,85.782,86.761,88.391,90.238,92.384,94.604,96.526,98.634,101.3,103.54,105.545,107.267,109.213,111.96,113.363,113.737,114.884,116.752,117.102,117.679,119.127,122.609,123.408,121.435,117.451,116.832,116.254,115.683,115.785,116.17,116.542,117.295,118.3,119.614,120.093,120.751
"13","5","    Manufacturing","C307RG3",15.695,15.968,16.184,16.509,16.618,17.216,17.114,17.453,17.955,18.394,18.829,19.199,19.633,19.842,20.151,20.681,20.945,21.366,21.955,22.33,22.762,23.531,24.519,25.484,26.124,26.452,26.528,26.71,26.773,27.318,27.653,27.909,28.342,28.863,29.528,30.129,30.798,31.546,32.221,33.051,33.828,35.034,36.18,37.13,38.181,39.104,40.113,41.224,42.013,42.765,43.466,44.229,45.038,45.729,46.275,46.621,46.905,47.146,47.429,47.858,48.393,48.824,49.411,49.829,50.203,50.501,50.866,51.311,51.72,52.243,52.745,53.309,53.738,54.182,54.57,55.075,55.766,56.169,56.593,57.118,57.595,58.282,58.651,59.062,59.683,60.092,60.553,60.78,60.978,61.137,61.348,61.116,61.04,61.292,61.592,62.147,62.792,63.228,63.822,64.42,64.937,65.366,66.202,67.189,68.04,68.46,68.83,69.144,69.422,69.775,70.524,70.937,71.508,71.977,72.753,73.454,74.126,74.929,75.862,76.738,77.522,78.201,78.781,79.366,80.347,81.003,81.654,82.365,83.067,83.724,84.828,85.62,86.001,86.598,86.877,87.722,88.553,87.992,87.841,88.569,90.053,91.694,93.6,95.533,97.198,98.943,101.058,102.751,104.461,105.84,106.856,108.641,109.986,111.057,112.671,114.619,114.947,115.278,118.134,123.332,124.352,121.53,117.211,117.528,117.316,117.361,117.671,117.941,117.721,118.556,120.035,121.419,121.988,122.292
"14","6","    Power and communication","W003RG3",18.806,19.011,19.268,19.672,20.038,20.507,20.923,21.199,21.467,21.895,22.308,22.564,22.883,23.213,23.357,23.48,23.879,24.488,25.26,26.33,27.365,28.527,29.702,30.94,31.968,32.731,33.231,33.657,34.201,34.721,35.221,35.767,37.397,37.481,37.731,38.223,38.776,39.555,40.448,41.386,42.534,43.611,44.959,46.149,46.993,48.169,49.2,50.268,50.903,51.739,52.48,53.131,53.933,54.274,54.774,54.98,55.24,55.121,55.138,55.209,55.169,55.546,55.585,55.71,56.093,56.186,56.269,56.261,56.152,56.152,56.132,56.169,56.245,56.392,56.846,57.344,57.9,58.683,59.663,60.65,61.293,62.193,63.081,63.902,64.17,64.389,64.629,64.8,64.852,64.944,65.254,65.226,65.564,65.753,65.993,66.238,66.642,67.563,67.897,68.488,69.217,69.791,70.277,71.148,71.873,72.527,73.43,74.009,74.295,74.585,74.998,75.585,75.771,76.445,76.775,76.946,77.249,77.265,77.383,77.479,77.193,77.231,77.767,78.306,79.04,79.915,80.399,81.153,81.619,82.128,82.897,83.125,83.564,83.947,84.712,85.042,85.432,85.913,86.572,87.377,88.701,91.644,94.064,96.313,97.316,98.962,100.534,103.188,106.166,108.604,110.691,112.81,112.967,113.761,114.999,116.272,117.974,120.523,124.657,126.05,123.896,121.172,119.366,119.817,122.3,125.547,127.763,129.506,131.699,134.197,135.845,137.618,139.075,140.125
"15","7","    Mining exploration, shafts, and wells","E318RG3",6.866,6.979,7.09,7.137,7.244,7.475,7.538,7.486,7.411,7.599,7.788,7.906,8.029,8.207,8.357,8.418,8.529,8.655,8.821,9.074,9.458,10.611,11.52,12.163,12.791,13.201,13.492,13.948,13.944,14.206,14.661,15.116,15.824,16.68,17.531,18.209,18.728,19.765,20.562,21.445,22.494,23.114,23.82,23.874,23.349,23.506,23.758,24.902,28.136,30.751,32.877,35.65,36.909,37.081,36.369,34.94,31.603,29.658,28.724,27.643,26.813,27.185,26.956,26.954,27.214,26.904,26.995,26.988,26.824,26.412,25.646,24.734,22.82,21.95,21.551,21.922,23.3,24.031,24.558,24.976,25.137,25.295,25.512,25.619,25.58,26.008,26.605,27.46,29.179,28.949,27.918,25.798,25.691,25.749,25.883,26.118,25.812,25.908,26.075,26.215,26.198,26.065,26.556,26.927,27.248,27.38,29.211,30.508,29.099,28.933,30.521,31.073,32.399,33.415,34.245,35.646,37.989,39.374,38.846,38.326,38.041,37.322,36.962,37.523,37.433,37.737,39.416,41.202,44.27,47.996,50.284,49.952,53.31,56.623,59.273,60.952,61.992,62.54,64.854,66.917,69.571,71.515,75.344,80.911,88.518,93.837,102.668,114.978,121.043,127.854,131.484,137.216,139.168,139.604,139.892,140.849,145.896,147.952,151.275,152.84,144.436,133.011,129.868,128.536,129.491,131.107,132.308,134.477,137.968,142.144,145.399,147.038,148.341,149.809
"16","8","    Other structures \1\","W004RG3",15.764,16.08,16.296,16.62,16.741,17.255,17.269,17.657,18.077,18.449,18.841,19.224,19.635,19.851,20.114,20.594,20.907,21.318,21.878,22.307,22.918,23.906,25.114,26.205,26.79,27.209,27.371,27.561,27.725,28.17,28.396,28.66,29.721,30.022,30.581,31.052,31.618,32.295,32.945,33.666,34.455,35.519,36.659,37.582,38.746,39.617,40.546,41.69,42.651,43.64,44.404,45.193,45.973,46.687,47.25,47.639,48.067,48.337,48.597,48.848,49.215,49.739,50.237,50.625,50.928,51.193,51.441,51.811,52.154,52.527,52.943,53.451,53.9,54.409,54.843,55.392,55.977,56.344,56.716,57.171,57.598,58.256,58.649,59.112,59.718,60.104,60.552,60.782,61.029,61.325,61.553,61.405,61.394,61.667,61.942,62.375,62.924,63.523,64.015,64.522,65.056,65.477,66.231,67.1,67.857,68.339,68.793,69.194,69.627,69.941,70.581,70.999,71.488,72.005,72.712,73.458,73.831,74.402,75.128,75.871,76.601,77.313,77.97,78.664,79.702,80.474,81.21,82.106,83.037,83.801,84.85,85.532,85.53,85.857,86.07,86.966,88.13,88.079,88.304,89.245,90.744,92.319,94.115,95.836,97.231,98.859,100.997,102.913,104.668,106.44,107.8,109.901,111.889,112.432,113.384,114.349,114.816,115.329,116.116,117.302,117.23,114.931,112.406,111.69,111.34,110.803,110.825,111.208,111.627,112.147,112.792,113.695,113.862,114.478
"17","9","  Equipment and software","B010RG3",57.808,58.111,58.611,59.112,59.75,60.308,60.748,61.436,62.062,62.423,62.493,62.46,62.862,63.139,63.289,63.157,63.428,64.049,64.551,64.708,65.51,67.134,69.836,73.188,76.465,78.796,79.963,81.175,82.353,83.112,84.138,85.414,86.772,88.001,89.359,90.79,91.779,92.844,93.961,95.065,96.822,98.547,100.134,101.837,104.363,106.942,109.196,110.773,112.961,115.053,116.374,117.708,118.551,119.883,120.596,121.09,120.967,120.496,119.928,119.744,119.501,119.409,119.118,118.906,118.801,118.855,119.112,119.59,119.651,120.585,121.565,122.105,122.086,121.551,121.028,121.883,122.567,122.87,123.007,124.174,124.413,124.395,124.76,125.212,125.554,125.672,126.465,127.551,128.666,128.262,127.794,127.728,127.501,126.772,126.407,125.739,125.88,125.543,125.11,124.754,124.953,125.045,124.683,123.734,123.396,123.585,123.178,122.492,121.492,120.367,119.822,119.117,118.069,117.16,116.278,115.048,113.24,111.862,110.831,109.881,109.395,108.572,107.625,107.19,107.097,106.931,107.03,106.515,105.238,104.727,104.066,103.426,103.116,102.402,101.775,101.666,100.923,100.409,100.272,100.194,99.92,100.093,99.894,99.694,100.157,100.259,99.809,99.775,99.809,99.843,100.124,100.419,100.713,100.885,100.475,100.026,100.07,100.396,101.313,102.222,102.166,101.799,101.266,100.678,99.799,99.69,99.797,99.939,100.134,100.43,100.562,100.656,101.001,101.102
"18","10","    Information processing equipment and software","B679RG3",262.519,262.472,263.179,264.237,266.273,266.761,265.234,264.135,262.766,260.403,258.144,256.573,255.06,253.76,253.058,253.151,255.938,257.315,255.894,253.437,253.059,257.833,262.746,268.131,273.947,276.953,277.004,277.783,278.846,279.334,279.308,277.799,278.831,277.625,274.57,270.282,267.499,265.902,264.176,262.552,263.757,264.228,262.815,261.694,263.071,264.301,265.571,266.873,270.025,271.707,271.756,271.453,271.303,273.896,274.705,275.524,271.968,267.931,264.584,262.186,258.926,256.45,253.84,252.05,249.814,247.101,244.65,242.382,238.65,237.608,239.437,238.723,235.521,232.128,229.314,230.814,231.293,228.943,227.455,227.588,226.818,224.555,222.962,220.866,219.032,217.837,217.882,217.729,218.137,216.09,212.874,210.086,207.352,203.817,201.547,199.076,198.344,196.23,194.184,191.974,190.371,188.707,186.508,183.795,182.143,180.486,177.493,173.922,169.966,165.407,162.48,159.645,156.4,153.509,150.243,146.907,142.21,138.475,135.254,132.221,130.15,128.093,126.413,125.204,124.663,124.013,123.839,122.836,120.107,118.809,116.611,115.222,114.25,112.777,111.701,110.399,108.59,107.648,106.271,104.464,103.758,103.11,102.605,101.591,101.116,100.408,99.611,98.865,98.279,97.951,97.694,97.475,97.299,96.984,95.735,94.514,94.395,94.339,94.224,93.668,92.803,91.953,91.546,91.308,90.813,90.601,90.367,90.425,90.42,90.039,89.739,89.414,89.396,89.244
"19","11","      Computers and peripheral equipment","B935RG3",42262.8,41354.674,40227.01,39553.72,39380.108,38302.1,35708.689,33380.125,31439.921,28777.99,26564.717,24970.195,23535.558,22805.507,22050.823,21747.82,22450.904,22314.665,21072.496,19623.504,18507.814,17613.629,17004.15,16650.675,16693.948,16584.449,16007.899,15260.104,14449.075,13699.697,13085.038,12674.767,12780.354,12387.447,11470.855,10274.186,9095.239,8155.926,7473.712,7007.466,7016.77,6836.016,6449.255,5991.507,5694.385,5268.593,4897.181,4661.285,4649.738,4623.609,4496.997,4264.558,4149.792,4058.274,3975.453,3955.196,3655.894,3441.829,3241.873,3115.507,2914.164,2762.047,2642.999,2566.318,2453.333,2353.884,2272.556,2174.331,2024.94,1971.256,1995.042,1980.555,1817.699,1705.65,1630.376,1636.443,1620.735,1580.112,1558.867,1547.452,1533.145,1479.232,1460.559,1416.654,1355.733,1338.487,1335.551,1314.025,1278.836,1237.63,1164.257,1119.912,1095.828,1045.105,994.542,961.456,930.463,885.498,849.679,815.756,798.426,783.13,757.743,722.377,689.746,661.856,624.165,586.509,542.763,498.082,470.203,442.897,413.177,388.354,363.364,341.394,312.728,289.328,268.131,248.906,233.97,221.272,211.457,204.688,198.989,192.716,188.002,182.854,168.008,161.835,154.403,147.106,142.54,139.655,135.181,130.99,126.472,123.637,121.203,118.889,117.226,115.345,112.415,109.481,105.517,101.827,98.091,94.565,91.746,88.544,85.664,83.626,81.772,79.596,77.317,75.638,73.053,71.755,70.446,68.994,67.475,65.724,64.573,63.548,63.127,62.86,62.696,62.375,61.23,60.44,59.682,59.064,58.959,58.621
"20","12","      Software \2\","B985RG3",128.608,128.482,129.209,129.902,131.275,131.27,131.279,130.942,129.356,128.351,127.726,126.835,126.036,125.722,125.676,125.739,127.105,128.083,128.633,129.065,129.694,131.925,134.524,136.74,138.633,138.601,138.74,139.299,138.919,138.81,139.184,139.605,140.75,140.896,140.55,139.734,137.733,137.249,137.049,137.472,139.712,140.763,142.003,143.252,143.663,144.81,145.338,145.894,148.106,149.388,150.881,152.201,153.456,153.981,154.491,154.613,153.839,153.069,152.147,151.312,150.674,150.665,149.714,148.941,148.934,147.812,147.045,145.68,143.543,142.159,141.291,141.008,141.26,141.082,141.013,140.676,140.715,140.273,139.124,137.626,135.227,133.472,131.666,129.835,128.723,127.913,127.52,127.617,129.401,128.495,127.012,124.705,119.749,117.138,115.592,114.671,116.279,116.375,116.095,115.397,113.585,112.472,111.653,111.127,111.635,111.881,111.608,111.018,110.259,109.316,108.375,107.53,106.756,106.418,105.37,104.372,102.994,102.598,102.499,102.196,103.066,103.661,104.192,104.486,105.283,106.426,108,108.158,107.781,108.199,106.782,106.967,106.558,105.211,105.324,105.042,103.989,103.931,102.98,101.378,101.017,100.675,100.703,99.68,100.051,100.106,99.919,99.923,100.411,101.203,101.565,101.504,101.611,101.709,101.718,101.859,102.021,102.71,102.988,102.574,102.227,101.75,101.052,101.355,100.903,100.697,100.467,100.372,100.571,100.531,100.56,100.522,100.465,100.346
