"","Table 3#9#4# Price Indexes for Government Consumption Expenditur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"11","3","      Gross investment \2\","A782RG3",24.142,24.715,24.934,25.44,25.986,26.601,27.09,27.688,28.157,28.631,28.94,29.421,30.964,31.147,31.616,32.216,32.653,33.308,33.915,34.556,35.865,37.582,39.576,40.947,41.84,42.236,42.511,42.956,43.378,43.819,44.122,44.5,45.32,45.835,46.203,46.821,47.587,48.399,49.253,49.942,50.851,52.084,53.391,54.689,55.83,57.379,58.814,60.374,61.942,63.316,64.589,65.675,66.661,67.833,68.561,68.697,68.867,68.844,69.145,69.152,69.303,69.575,69.745,70.043,69.986,69.683,69.871,69.737,69.468,69.8,69.922,69.938,70.177,70.138,70.281,70.374,70.886,71.154,71.456,71.933,72.259,72.732,73.256,73.262,73.866,74.393,75.096,75.437,75.672,75.925,76.107,76.011,75.812,76.142,76.246,76.684,77.283,77.695,77.942,78.343,78.788,79.503,79.957,80.562,81.144,81.772,82.117,82.731,83.401,82.548,82.748,82.921,82.801,83.285,83.451,83.931,83.638,83.668,83.961,84.33,84.744,85.224,85.483,86.101,86.624,87.334,87.93,88.439,88.55,88.769,88.916,89.09,89.385,89.736,89.962,90.145,90.709,90.784,90.856,91.034,91.659,93.161,95.125,97.023,97.912,99.27,100.842,101.976,102.577,104.403,105.656,107.353,109.46,110.391,111.35,112.441,113.548,114.58,116.043,117.762,118.138,117.305,116.322,116.303,116.659,117.139,117.483,118.095,118.801,119.693,120.744,121.508,122.267,123.073
"12","4","        Structures","A760RG3",15.9,16.294,16.473,16.83,17.163,17.633,17.994,18.446,18.798,19.147,19.37,19.742,19.989,20.172,20.542,21.003,21.484,21.989,22.449,23.065,24.117,25.636,27.254,28.393,29.035,29.185,29.29,29.486,29.641,29.883,29.971,30.211,30.662,30.992,31.352,31.665,32.037,32.697,33.353,33.953,34.718,35.731,36.91,38.005,39.015,40.131,41.514,42.805,43.99,45.003,45.961,46.771,47.495,48.339,48.9,49.011,49.028,48.941,49.039,49.057,49.242,49.427,49.593,49.835,50.117,50.313,50.557,50.866,51.257,51.762,52.243,52.823,53.282,53.788,54.431,54.685,55.112,55.456,55.899,56.353,56.547,57.11,57.614,58.008,58.505,59.042,59.604,59.713,59.728,60.137,60.421,60.147,60.033,60.394,60.628,61.039,61.593,62.074,62.232,62.749,63.3,63.695,64.446,65.272,66.051,66.663,67.232,67.804,68.318,68.594,69.145,69.543,69.979,70.64,71.129,72.046,72.369,72.608,73.341,74.04,74.592,75.465,76.039,76.931,77.714,78.887,79.676,80.537,81.232,81.595,82.069,82.896,83.441,84.14,84.616,84.925,85.89,86.106,86.329,86.736,87.567,89.586,92.599,95.366,96.489,98.762,101.42,103.328,104.207,106.966,108.91,111.797,115.206,116.773,118.377,120.18,121.832,123.191,125.287,128.074,129.203,127.801,126.153,125.941,126.531,127.257,127.88,128.687,129.578,131.024,132.649,134.345,135.452,136.68
"13","5","        Equipment and software","A871RG3",45.799,46.794,46.997,47.803,48.988,49.796,50.515,51.333,51.976,52.576,52.916,53.19,63.402,62.965,63.199,63.691,63.058,63.811,64.533,64.177,65.283,65.902,67.783,69.017,70.407,71.889,72.841,74.219,75.721,76.831,78.018,78.779,80.744,81.754,81.86,83.501,85.619,86.492,87.594,88.112,89,90.346,91.309,92.626,93.538,96.008,96.749,98.549,100.841,102.961,104.862,106.5,108.03,109.915,110.983,111.175,111.775,111.949,112.758,112.738,112.782,113.236,113.392,113.804,112.94,111.482,111.547,110.453,108.706,108.638,107.985,106.833,106.587,105.375,104.488,104.249,104.942,105.042,105.038,105.565,106.173,106.48,107.068,106.307,107.146,107.667,108.676,109.49,110.175,110.12,110.101,110.381,109.994,110.253,110.086,110.589,111.285,111.545,111.983,112.112,112.31,113.735,113.52,113.606,113.712,114.355,114.149,114.811,115.779,112.384,111.766,111.401,109.887,109.898,109.258,108.68,106.962,106.495,105.769,105.385,105.492,105.097,104.695,104.725,104.66,104.332,104.494,104.229,103.059,102.948,102.373,101.119,100.85,100.435,100.134,100.054,99.752,99.529,99.277,98.971,99.154,99.6,99.539,99.862,100.336,100.102,99.853,99.709,99.856,100.205,100.356,100.181,100.301,100.29,100.306,100.367,100.684,101.25,101.843,102.119,101.477,101.424,101.338,101.565,101.603,101.753,101.724,102.073,102.53,102.74,103.1,102.797,103.147,103.476
"14","6","Federal","B823RG3",17.71,17.971,18.498,18.724,19.326,19.551,19.859,20.06,20.792,21.212,21.528,22.001,23.098,23.284,23.458,24.044,24.43,24.804,25.287,25.799,26.181,26.743,27.624,28.71,29.35,29.765,30.333,31.184,31.546,31.913,32.411,33.338,34.06,34.491,34.637,35.78,36.127,36.497,36.992,37.935,38.482,39.067,39.856,41.502,42.259,43.238,43.94,46.164,46.952,47.671,48.194,49.845,50.531,51.156,51.587,52.464,52.758,53.089,53.458,53.566,55.719,56.241,56.657,56.814,57.553,57.532,57.446,58.01,57.867,57.856,57.953,58.077,58.473,58.574,58.755,58.765,59.46,59.917,59.997,60.161,61.184,61.38,61.753,61.699,62.619,63.198,63.638,64.738,65.599,65.718,66.254,66.709,67.526,68.009,68.469,68.4,69.047,69.52,70.191,70.561,70.978,71.814,71.798,72.309,73.157,73.252,73.521,74.938,75.968,75.335,75.63,76.118,76.846,76.924,77.012,77.407,77.683,77.822,78.042,78.177,79.179,79.636,80.089,80.642,82.08,81.833,82.901,83.283,83.661,83.895,84.378,84.871,86.909,87.094,87.129,88.14,90.63,90.869,91.144,91.454,93.996,95.18,95.755,96.408,99.173,99.68,100.42,100.728,103.101,104.187,104.502,104.637,106.849,107.773,107.882,108.509,110.488,111.605,112.08,110.726,110.956,110.481,110.897,111.504,113.016,113.339,113.668,114.309,115.696,116.714,117.365,117.111,118.038,118.387
"15","7","    Consumption expenditures","B957RG3",15.706,15.909,16.436,16.625,17.17,17.35,17.623,17.788,18.488,18.869,19.16,19.594,20.338,20.516,20.649,21.179,21.565,21.89,22.329,22.832,23.164,23.694,24.485,25.521,26.089,26.442,26.97,27.773,28.066,28.386,28.826,29.731,30.346,30.721,30.88,31.974,32.217,32.537,32.975,33.924,34.416,34.916,35.637,37.268,38.004,38.859,39.52,41.718,42.391,43.009,43.414,45.046,45.641,46.152,46.533,47.46,47.738,48.082,48.4,48.506,50.834,51.361,51.798,51.893,52.809,52.936,52.827,53.598,53.618,53.629,53.823,54.115,54.567,54.812,55.091,55.137,55.855,56.357,56.433,56.512,57.617,57.784,58.118,58.142,59.068,59.665,60.047,61.206,62.119,62.241,62.823,63.33,64.297,64.8,65.324,65.149,65.786,66.273,66.963,67.322,67.769,68.507,68.492,68.987,69.909,69.904,70.183,71.644,72.593,72.302,72.681,73.257,74.106,74.193,74.343,74.803,75.19,75.329,75.601,75.729,76.762,77.264,77.784,78.368,79.97,79.711,80.872,81.298,81.813,82.057,82.646,83.314,85.636,85.865,85.901,87.022,89.833,90.096,90.419,90.786,93.602,94.831,95.421,96.057,99.082,99.654,100.491,100.774,103.419,104.56,104.813,104.964,107.476,108.508,108.582,109.254,111.461,112.652,113.098,111.486,111.87,111.37,111.899,112.553,114.311,114.66,115.035,115.661,117.173,118.31,118.986,118.73,119.748,120.082
"16","8","    Gross investment","B787RG3",33.612,34.494,34.661,35.24,36.209,36.921,37.524,38.119,38.746,39.42,39.801,40.348,47.305,47.272,47.985,48.892,48.876,49.709,50.451,50.499,51.377,51.983,53.558,54.58,55.797,56.827,57.528,58.566,59.655,60.443,61.444,62.199,63.907,64.808,64.711,65.86,67.371,68.186,69.151,69.63,70.598,71.938,73.223,74.487,75.196,77.201,78.103,79.817,81.639,83.267,84.901,86.248,87.687,89.348,90.19,90.321,90.751,90.886,91.672,91.747,92.081,92.459,92.611,93.296,92.526,91.344,91.461,90.473,89.096,88.927,88.336,87.298,87.297,86.39,85.923,85.68,86.213,86.343,86.452,87.243,87.667,88.079,88.74,88.111,89.007,89.466,90.325,91.039,91.525,91.622,91.83,91.916,91.668,92.022,92.037,92.724,93.456,93.83,94.357,94.805,94.963,96.561,96.539,97.158,97.428,98.306,98.478,99.505,101.119,97.947,97.619,97.405,97.131,97.144,96.743,96.627,96.02,96.166,95.998,96.182,96.947,97.077,97.052,97.374,97.618,97.448,97.793,97.847,97.179,97.341,97.023,96.201,96.1,95.961,96.001,96.218,96.345,96.402,96.332,96.223,96.771,97.627,98.101,98.892,99.804,99.855,99.929,100.411,100.964,101.69,102.408,102.432,102.702,102.937,103.268,103.63,104.194,104.895,105.555,105.695,105.023,104.7,104.449,104.779,104.843,105.016,105.081,105.806,106.454,106.763,107.262,107.013,107.388,107.828
"17","9","      Structures","B801RG3",14.567,14.985,15.112,15.365,15.719,16.064,16.317,16.715,17.142,17.525,17.728,18.15,18.299,18.578,19.169,19.784,20.409,20.987,21.482,21.929,22.422,23.15,24.274,25.541,26.446,26.798,27.126,27.524,27.75,28.025,28.531,29.139,29.762,30.334,30.41,30.726,31.061,31.735,32.383,32.793,34.079,35.178,36.408,37.282,37.953,38.837,40.111,41.247,42.049,42.847,43.543,44.343,45.107,45.882,46.288,46.457,46.404,46.388,46.921,47.184,48.206,48.178,48.289,48.946,49.316,49.629,49.757,49.835,49.97,50.044,50.196,50.974,51.389,51.72,52.598,52.49,52.581,53.117,54.05,55.523,55.672,56.332,57.158,57.974,58.178,58.451,58.912,59.263,59.631,60.033,60.836,60.546,60.538,60.793,61.074,61.796,62.405,62.931,63.278,63.79,64.222,64.787,65.522,66.269,66.923,67.563,68.209,68.784,69.276,69.549,70.016,70.188,70.477,70.894,71.479,72.364,72.561,72.97,73.747,74.431,75.031,75.878,76.514,77.275,78.068,78.997,79.745,80.445,81.321,81.938,82.716,83.384,83.536,84.019,84.412,85.033,86.118,86.313,86.661,87.344,88.355,90.08,92.584,95,96.957,98.82,101.257,102.966,104.913,106.959,108.594,110.633,112.18,113.314,114.57,115.978,117.309,118.391,119.465,120.549,121.488,119.677,117.866,117.533,117.51,117.425,118.001,118.816,119.632,120.667,121.829,122.957,123.544,124.414
"18","10","      Equipment and software","B872RG3",41.692,42.754,42.906,43.611,44.856,45.715,46.494,47.148,47.807,48.5,48.818,48.993,63.801,62.923,63.088,63.698,62.643,63.367,63.984,63.147,64.071,64.14,65.524,65.788,66.81,68.222,69.038,70.4,72.056,73.127,74.303,74.95,77.183,78.098,77.847,79.483,81.737,82.373,83.297,83.669,83.982,85.134,86.114,87.385,87.941,90.402,90.69,92.466,94.719,96.661,98.685,100.172,101.825,103.814,104.813,104.903,105.574,105.785,106.627,106.59,106.536,107.083,107.238,107.88,106.618,104.807,104.917,103.51,101.519,101.252,100.367,98.609,98.411,96.983,95.94,95.648,96.346,96.309,96.089,96.608,97.123,97.453,98.056,96.964,98.079,98.592,99.57,100.389,100.907,100.91,100.937,101.142,100.811,101.191,101.113,101.771,102.525,102.825,103.405,103.806,103.845,105.8,105.481,106.02,106.098,107.039,106.987,108.163,110.181,105.667,105.012,104.653,104.161,104.004,103.207,102.714,101.812,101.845,101.316,101.32,102.129,102.001,101.766,101.948,102.028,101.554,101.784,101.668,100.625,100.672,100.09,98.91,98.745,98.453,98.408,98.526,98.409,98.43,98.251,97.942,98.373,99.028,99.073,99.559,100.281,100.022,99.711,99.986,100.314,100.835,101.41,101.101,101.155,101.231,101.394,101.579,102.013,102.646,103.231,103.191,102.199,102.164,102.217,102.688,102.779,103.015,102.969,103.679,104.29,104.443,104.812,104.321,104.662,105.039
"19","11","  National defense","B824RG3",17.233,17.518,18.032,18.246,18.757,18.937,19.27,19.499,20.215,20.611,20.937,21.476,22.821,23.007,23.182,23.826,24.174,24.614,25.199,25.66,26.12,26.597,27.578,28.597,29.153,29.486,30.03,30.852,31.277,31.676,32.187,33.09,33.793,34.209,34.33,35.61,36.088,36.502,37.061,37.982,38.547,39.164,40.027,41.673,42.47,43.57,44.206,46.47,47.193,48.034,48.607,50.333,51.024,51.713,52.153,52.921,53.204,53.613,54.026,54.256,56.976,57.514,57.907,58.016,58.709,58.549,58.49,59.037,58.744,58.558,58.591,58.673,59.126,59.195,59.346,59.279,59.91,60.316,60.395,60.682,61.663,61.784,62.156,61.923,63.028,63.477,64.057,65.106,65.668,65.732,66.408,67.081,68.037,68.552,69.021,68.477,68.956,69.453,70.046,70.392,70.698,71.489,71.566,71.998,72.657,72.851,73.165,73.972,75.388,75.1,75.398,75.84,76.462,76.445,76.443,76.716,77.098,77.217,77.365,77.63,78.645,79.043,79.397,79.815,81.421,81.361,82.141,82.361,83.037,83.175,83.677,84.046,85.848,86.244,86.471,87.932,90.201,90.473,90.796,91.165,93.453,94.651,95.316,96.159,99.135,99.669,100.397,100.799,103.336,104.499,104.883,104.965,107.113,108.191,108.434,109.259,111.24,112.696,113.251,111.561,111.503,110.875,111.193,111.818,113.42,113.696,113.947,114.742,116.44,117.375,118.047,117.78,119.008,119.249
"20","12","    Consumption expenditures","B997RG3",15.291,15.513,16.035,16.217,16.676,16.812,17.117,17.311,17.997,18.345,18.648,19.15,20.013,20.197,20.324,20.895,21.255,21.641,22.174,22.644,23.057,23.527,24.431,25.436,25.938,26.219,26.721,27.484,27.828,28.169,28.604,29.477,30.051,30.404,30.562,31.767,32.105,32.46,32.957,33.896,34.419,34.956,35.762,37.432,38.218,39.184,39.809,42.036,42.641,43.395,43.852,45.57,46.16,46.714,47.089,47.912,48.157,48.573,48.903,49.142,52.089,52.637,53.052,53.069,53.986,54.016,53.939,54.751,54.67,54.5,54.665,54.989,55.506,55.764,56.047,56.04,56.69,57.151,57.239,57.455,58.523,58.607,58.928,58.793,59.921,60.374,60.906,62.014,62.594,62.649,63.377,64.12,65.237,65.757,66.287,65.538,65.976,66.481,67.059,67.377,67.698,68.325,68.421,68.812,69.538,69.63,69.964,70.692,71.936,72.184,72.562,73.066,73.776,73.753,73.812,74.13,74.615,74.715,74.915,75.148,76.149,76.579,76.993,77.423,79.209,79.2,80.05,80.299,81.157,81.3,81.913,82.495,84.529,84.973,85.209,86.819,89.384,89.679,90.052,90.477,92.997,94.222,94.918,95.758,99.024,99.645,100.482,100.849,103.685,104.904,105.213,105.314,107.748,108.946,109.154,110.049,112.235,113.792,114.317,112.297,112.373,111.695,112.083,112.758,114.613,114.895,115.191,115.947,117.798,118.869,119.572,119.338,120.695,120.895
