"","Table 5#8# Private Fixed Investment in Equipment and Software by","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"20","13","    Metalworking machinery","C271RC",0.2,0.1,0.1,0,0,0.1,0.1,0.2,0.3,0.2,0.2,0.5,0.7,0.6,0.6,0.5,0.6,0.8,0.8,0.7,0.5,0.7,1.1,1.2,1.5,1.7,1.4,1.9,2,1.3,1.5,1.7,1.6,1.8,2.1,2.4,3,3.8,4.7,4.5,4.6,4.7,3.9,4.4,5.8,7,7,7.5,8.7,10.9,13.3,15.1,15.9,13.9,11.4,13.9,15.3,16.1,15.5,17.3,20.1,19.4,18.9,20.5,22.9,26.6,30.6,31.7,33.3,34.9,34.2,35.3,31.3
"21","14","    Special industry machinery, n.e.c.","C272RC",0.4,0.3,0.2,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.2,0.4,0.5,0.8,1.2,1.3,1.1,1.3,1.5,1.3,1.4,1.3,1.5,1.8,1.8,1.6,1.8,2.1,2,2.2,2.2,2.6,3.3,3.7,3.5,3.6,3.9,4.1,4,4.4,5.1,5.7,5.6,5.9,6.6,8.9,10.1,11.2,12.1,12.7,13.1,15,16.3,17.5,19.6,21.7,24.5,23.5,22.3,22.8,25.5,27.8,32.9,34.6,35.8,37.1,38.3,44.4,41
"22","15","    General industrial, including materials handling, equipment","C273RC",0.4,0.3,0.2,0.1,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.4,0.2,0.3,0.5,0.7,0.7,1,1.1,0.8,0.8,1.1,1,1.2,1.2,1.5,1.8,1.9,1.6,1.8,2,1.9,2,2.3,2.7,3,3.5,3.3,3.3,3.8,4,3.9,4.2,5.2,6.3,6.4,7.2,9.3,11.5,13.6,14.2,15.1,14.5,13,15.9,17.1,19.3,18.2,20.1,20.7,21.1,19.8,20.9,24.1,26.6,30,31.6,32.8,34.7,34,36.6,34.4
"23","16","    Electrical transmission, distribution, and industrial apparatus","C276RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.8,0.8,0.7,0.9,1.2,1.4,1.5,1.5,1.5,1.9,2.1,1.8,1.9,2.1,2,2,2,2.3,2.6,3.1,3.2,3.2,3.4,3.6,3.4,3.7,4.5,5.2,5.1,5.4,6.7,7.2,8.2,8.7,9.8,9.7,10,12.2,12.5,12,13.2,13.8,15.1,15.2,14.6,14.9,16,17.7,19.8,20.9,22.8,23.5,24.8,27.8,29.3
"24","17","  Transportation equipment","A681RC",2.1,1.6,0.9,0.5,0.5,0.8,1.1,1.5,1.7,1.1,1.4,1.9,2.4,1,0.9,1,1.7,3,4.9,5.5,5.7,6.4,6.6,5.7,6.6,6,7.5,7.4,8.3,6.1,8.3,8.5,8,9.8,9.4,10.6,13.2,14.5,14.3,17.6,18.9,16.2,18.4,21.8,26.6,26.3,25.2,30,39.3,47.3,53.6,48.4,50.6,46.8,53.7,64.8,69.7,71.8,70.4,76.1,71.4,75.7,79.5,86.1,98.1,117.8,126.1,138.9,151.4,168.2,194.7,189.7,165.8
"25","18","    Trucks, buses, and truck trailers","C279RC",0.5,0.4,0.2,0.1,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.5,0.6,0.1,0.1,0.3,0.9,1.2,1.7,2.1,1.8,2.1,2.4,1.9,1.8,1.7,2.4,2.5,2.3,2.1,2.6,2.6,2.7,3.4,3.6,3.7,4.7,5.4,4.9,5.9,7.2,6.2,7.2,9.4,11.2,11.6,9.2,12.1,16.2,19.9,21.8,17.1,18.1,17.8,21.1,28.6,32.8,29.7,31.1,32.3,32,29.5,28.8,36.2,47,59.9,69,77.9,85.7,98.1,112.3,107.4,90.1
"26","19","    Autos","C280RC",1.1,0.7,0.5,0.3,0.3,0.4,0.6,0.8,0.8,0.5,0.7,0.9,1.2,0.3,0.3,0.2,0.2,1,1.8,2,2.5,3.2,2.6,2.2,3.2,3.3,4,3.2,3.6,2.6,3.7,3.8,3.5,4.3,4,4.2,5.1,4.8,4.6,6,6.3,5.3,7.4,7.9,8.9,8.3,8.6,10.9,14.2,16.6,15.9,14.3,16.7,16.6,21.9,25.6,26.5,29.8,26.4,29.5,26.1,29.1,32.5,32,32.3,42.7,37.4,41.3,42.4,40.5,43.1,40.5,34.1
"27","20","    Aircraft","C281RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.5,0.4,0.9,0.8,0.8,0.8,0.5,0.8,1.3,1.8,2.5,3.7,2.8,2.4,1.3,1.9,3,2.4,2.3,2.4,3.4,4.3,7,8,7.7,7.1,7.3,6.7,7.2,9,9.7,10.4,8.5,12.1,13.4,13.7,13.2,8.7,12.7,12.2,14.8,20,29.1,31.5,33.7
"28","21","    Ships and boats","C282RC",0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.3,0.6,0.3,0.2,0.2,0.3,0.4,0.3,0.2,0.3,0.4,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.8,0.9,0.9,0.9,1.1,1.7,1.6,2.3,2.3,2.5,2.6,3.2,3.5,4.5,3.1,1.9,1.7,1.3,1.5,1.8,1.6,1.5,1.6,1.6,1.2,2.1,1.8,1.7,2.2,2.6,2.6,2.7,3.2,3.2
"29","22","    Railroad equipment","C283RC",0.4,0.4,0.1,0,0,0.1,0.1,0.2,0.4,0.1,0.2,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.6,1.1,1.1,0.9,1.2,1.1,1,0.6,0.7,0.9,1.3,0.6,0.6,0.9,0.6,0.9,1,1.4,1.7,2,1.8,1.3,1.8,1.5,1.6,1.5,1.8,2.4,2.8,2.4,2.9,3.9,5.7,5.6,3.5,2.2,1.5,2.2,2,1.7,1.4,2.2,3.3,3.4,3.2,3,3.4,4.6,5.3,5.4,5.9,7,7.6,7.1,4.7
"30","23","  Other equipment","A682RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,4.2,5.5,4.8,5.2,5.6,5.7,5.7,5.4,6.5,7,6.9,7.1,7.7,7.3,7.3,7.8,9.2,10.3,11.6,13.4,13,13.5,15,16.3,16.8,19.6,23.9,26.9,29.1,31.8,38.6,46.5,52.8,52.5,59.8,54.3,53.4,62.1,63.6,64.4,68.7,74.3,85.8,87.4,77.9,79.9,91.9,100.5,108.6,116.5,130.5,143.7,145.6,153.4,150.8
"31","24","    Furniture and fixtures","A667RC",0.4,0.3,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.5,0.7,0.7,0.6,0.7,0.9,0.9,0.9,1,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.6,1.8,1.9,2.2,2.3,2.3,2.7,2.7,2.6,3.4,3.9,3.9,3.7,4.2,5.6,6.9,8,9,10,11.2,12.3,14.7,15.9,16.9,18.6,19,21.9,21.3,19.2,21.3,22.3,23.8,26.1,27.6,32.3,35.9,38.1,40.6,35.7
"32","25","    Tractors","A669RC",0.2,0.2,0.1,0.1,0,0.1,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.1,0.3,0.3,0.3,0.5,0.7,0.8,0.8,0.9,0.9,0.8,0.7,0.9,0.9,0.8,0.9,1.1,0.7,0.8,0.9,1.1,1.4,1.5,2,1.7,1.9,1.8,1.9,1.9,2.6,3.4,3.7,4.4,4.6,5.6,6.5,7.4,6.3,7.1,5,5.4,6.7,5.8,5.6,6.4,6.8,8,8.6,7.7,6.7,8.4,9.9,10.6,10.6,14,14.9,12.8,13.7,14.5
"33","26","    Agricultural machinery, except tractors","C268RC",0.3,0.3,0.1,0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.4,0.3,0.7,1,1,1,1.1,1.1,1,0.9,1,0.9,0.9,1.2,1.2,1.1,1.1,1.2,1.5,1.5,1.8,2,2.2,2.1,2.4,2.8,2.8,3.3,4.3,4.9,6,5.9,6.5,7.4,8.6,7.8,8.3,6.4,5.5,5.7,4.9,4.9,5.1,6.8,8.9,10,8.2,7.1,8.6,9.8,10.7,11.4,12.2,12.8,9.9,10.8,12
"34","27","    Construction machinery, except tractors","C269RC",0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.3,0.4,0.5,0.7,0.5,0.5,0.6,0.7,0.7,0.5,0.7,0.9,0.8,0.9,1,0.9,0.9,0.9,1.3,1.5,1.7,1.9,1.9,2.1,2.3,2.4,2.5,3.1,3.7,4.4,4.3,4.5,6.4,8.6,8.9,8,7.9,5.6,6.2,8.5,9.5,9.4,8.8,9.2,11.4,12,8.1,8.4,11.2,13.1,15,17.3,18.3,20.9,21.6,21.7,19.9
"35","28","    Mining and oilfield machinery","C270RC",0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.6,0.6,0.6,0.4,0.5,0.5,0.4,0.4,0.5,0.6,0.7,0.7,0.6,0.6,0.7,0.9,1.1,0.9,1.1,1.7,2.7,3,3.6,3.6,3.9,4.5,7.6,5.6,3.2,2.8,2.5,1.3,1.2,1.5,1.9,1.8,1.4,1.3,2.5,2.5,2.6,2.8,4.6,4.7,5.6,5.2,6.5
"36","29","    Service industry machinery","C570RC",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.5,1,1.4,0.9,1,0.9,1,1.1,1.1,1.2,1.4,1.5,1.3,1.3,1.3,1.3,1.4,1.4,1.5,1.8,2.1,2.1,2.2,2.5,2.6,2.7,2.8,3,3.1,2.9,3.5,3.9,4.7,5.5,5.9,6.3,6.5,6.8,8.2,8.9,9.1,10.2,10.7,11.4,10.8,10,10.1,11.3,12.5,13.5,14.2,14,15.4,16.5,16.4,16.1
"37","30","    Electrical equipment, n.e.c.","A670RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.7,0.7,0.9,1.1,1.3,1.5,1.8,2.1,2.9,3.2,3.3,3.9,4.2,4.5,5.6,5.7,6,6.3,6.7,7.6,8.2,8.6,9.4,9.9,9.6,9.8,10.6,12.2,14.1,14.4,16.4,17.9
"38","31","    Other","C286RC",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.5,1.6,1.8,1.6,1.8,2,2.2,2.4,2.6,3.3,3.8,3.7,4.3,4.9,5.9,7.4,7.8,8.7,9.8,9.4,10,10.5,11.4,12.1,13.6,14.8,14.8,14.7,15.5,17.8,19.1,20.3,21.9,23,24.9,26.8,28.4,28.2
"39","32","  Less: Sale of equipment scrap, excluding autos","C287RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0,0,0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.5,0.5,0.4,0.4,0.5,0.6,0.4,0.4,1.1,2.2,1.3,1.7,1.5,2.4,4.2,3.9,4.1,2.1,1.6,1.9,1.8,1.8,2.5,3,2.8,2.8,2.1,2,3.9,4.2,5,4.6,4.5,3.9,3.2,3.3,2.8
"40","33","Residential equipment","B013RC",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.9,1,1.1,1.3,1.5,1.7,1.9,1.9,2.1,2.4,2.7,3.2,3.4,3.6,3.7,4.2,4.7,5.1,5.5,5.8,6.1,6.1,6,5.7,5.9,6.4,6.9,7.3,7.7,7.9,8.2,8.8,9.3,9.3
"41",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","34","  Private fixed investment in equipment and software","A327RC",5.6,4.2,2.7,1.5,1.5,2.1,2.9,4,4.9,3.5,4,5.3,6.6,4.1,3.7,5,7.3,10.1,15.6,17.6,16,18.2,20.2,20.1,21.9,21.2,24.3,26.8,29,25.4,28.9,30.3,29.6,32.8,35.4,39.9,47.1,54.7,55.6,60.7,68,69.8,72.7,83.2,100,110.1,114.3,128.6,156.5,189.9,219.9,230.4,257.4,254,268.9,319,339.4,352.3,360.5,392.8,426.2,433.8,431.2,459.8,509.2,568,627.8,682.1,751.5,827.1,898.7,960.8,886.4
"43","35","  Less: Dealers' margin on used equipment","B549RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.3,1.5,2.7,2.7,3,3.1,3.2,3.5,4,4.4,4.7,4.3,4.3,5.2,5.7,6.5,7,7.7,8.2,8.1,8.8,8.6
"44","36","        Net purchases of used equipment from government","B550RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,0.6,0.3,0.1,0.1,0.2,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.7,0.7,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1.2,1,1,0.9
"45","37","  Plus: Net sales of used equipment","B554RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.3,0.5,0.7,0.9,0.9,0.9,0.8,0.9,0.9,1,1.1,1.1,1.1,1.2,1.4,1.5,1.6,1.7,2,2.3,2.5,2.7,2.6,2.7,2.7,3.2,3.6,4.5,5.3,5.7,6.3,7.3,7.4,8.6,9.5,10.9,16.8,19.2,17.3,18.9,22.2,23.2,22.5,23.2,25.1,30.8,32.9,37.8,38.4,38.3,39.4,39.3,38.5,32.5
"46","38","        Net exports of used equipment","B555RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.5,0.6,0.6,0.8,0.7,0.8,0.9,0.9,1.1,0.8,0.9,0.8,0.9,0.9,1.1,0.4,1,0.7,0.8,1.1,1.1,0.8,1.1,0.4,0.4,0.4,0.5,0.4,-0.2,0
"47","39","        Sale of equipment scrap","B556RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0,0,0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.5,0.4,0.4,0.5,0.6,0.5,0.5,1.1,2.2,1.3,1.7,1.5,2.4,4.2,3.9,4.2,2.1,1.6,1.9,1.8,1.8,2.5,3,2.9,2.9,2.2,2.1,4,4.3,5.1,4.7,4.6,4,3.3,3.4,2.9
