"","Table 7#6# Chain-Type Quantity and Price Indexes for Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229"
"11","2","Nonresidential","B008RA",12.38,12.17,11.93,12.31,13.08,12.62,12.66,12.98,12.36,11.87,11.28,11.09,11.4,12.42,13.54,13.52,13.17,13.35,13.5,13.23,13.27,13.44,12.21,13.32,14.05,14.13,14.46,14.28,13.87,13.71,14.1,14.05,14.3,15.2,15.99,16.43,16.11,16.38,16.51,16.48,16.59,16.56,16.89,16.44,15.25,14.57,14.34,14.88,15.36,15.82,16.33,16.26,16.87,17.13,16.72,16.66,16.28,16.6,16.76,17.31,17.7,18.23,18.47,18.36,18.31,18.89,19.47,20.1,20.61,21.14,21.85,22.28,23.79,24.69,25.62,26.72,27.9,28.3,28.64,28.55,27.94,27.86,27.72,28.28,29.16,28.65,29.03,29.9,30.76,31.1,31.95,31.76,31.55,31.4,31.55,30.38,30.67,31.1,31.21,31.84,32.92,33.47,34,35.79,37.47,38.97,39.61,39.9,39.88,39.78,39.33,38.21,35.88,34.94,35.24,35.6,36.23,36.66,37.46,38.2,39.7,40.87,41.66,43.08,43.41,46.91,48.4,49.88,51.07,51,52.66,52.79,53.44,50.68,51.09,52.19,53.02,54.01,55.34,56.7,55.43,53.36,51.55,50.55,49.67,50.37,52.6,56.12,57.85,60.72,62.66,64.26,64.97,65.94,64.94,66.1,65.21,63.65,62.7,63.36,61.59,63.02,65.05,64.93,65.65,67.08,67.46,68.25,69.28,70.29,72.39,71.34,72.27,71.09,71.75,70.28,68.51,68.04,67.56,67.22,67.11,69.62,70.89,72.83,73.57,75.22,76.07,79.14,80.05,81.62,83.07,86.4,89.66,90.22,90.8,92.89,95.8,98.46,101.65,104.09,106.82,110.37,115.29,116.41,122.24,125.89,126.37,130.68,133.13,135.69,138.23,139.25,144.21,147.77,149.06,147.86,145.81,140.2,138.06,134.13,132.13,131.32,131.05,131.79,130.32,132.64
"12","3","  Structures","B009RA",29.32,29.09,29.25,28.81,29.43,30.27,31.19,31.67,31.02,30.31,28.97,28.16,29.53,31.01,32.8,33.64,33.73,34.87,34.66,33.34,33.39,33.64,33.92,35.21,36.28,36.96,37.17,37.83,38.21,38.48,38.4,38.24,39.44,40.41,41.74,42.76,44.08,45.66,45.96,45.87,45.52,45.47,45.42,45.08,44.06,42.59,41.62,42.28,42.12,43.42,44.7,44.37,46.22,46.76,46.86,48.65,48.42,47.61,47.62,47.37,48.24,50,51.34,50.07,48.32,50.6,50.95,51.97,53.32,55.15,56.97,57.41,60.35,64.56,65.23,68.24,69.88,68.51,70.03,67.65,68.34,66.4,67.09,67.2,68.54,67.94,67.49,68.88,69.92,70.5,73.85,73.31,72.76,72,72.28,71.46,71.26,71.07,70.82,70.61,72.47,72.87,72.99,74.13,76.57,78.96,80.76,80.02,79.6,79.3,75.87,74.93,71.12,68.42,68.84,68.9,70.78,70.55,71.28,71.48,71.28,73.93,75.06,75.61,74.72,81.31,85.75,88.87,88.8,90.41,95,98.11,99.9,97.52,98.26,101.24,100.96,104.71,107.29,115.4,111.73,107.96,102.1,100.08,96.06,91.58,93.79,96.71,102.2,107.32,110.66,111.94,116.74,116.82,114.3,115.82,113.13,102.52,98.76,99.32,96.6,97.35,101.47,103.34,100.17,102.06,100.84,100.71,102.58,101.35,105.2,104.55,106.69,106.19,105.87,101.03,98.83,96.29,90.17,88.22,87.35,87.21,87.76,88.48,88.26,87.83,87.93,89.54,85.88,90.16,89.93,90.57,92.49,93.79,93.72,93.53,95.95,98.38,100.18,105.49,107.15,106.35,110.45,112.32,113.67,117.7,116.89,117.83,116.61,115.09,113.22,114.91,118.68,121.03,124.52,125.63,124.64,121.95,122.82,112.3,108.09,102.97,96.97,94.47,93.79,94.76
"13","4","    Nonresidential buildings, including farm","B941RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,36.52,38.59,38.56,40.77,41.47,42.24,44.68,45.55,44.56,44.36,44.47,44.97,47.56,49.73,48.16,45.57,47.73,48.16,49.2,50.65,52.16,54.47,54.74,58.32,62.81,64.15,67.36,68.06,65.93,67.54,64.77,65.5,61.58,62.13,61.33,61.58,61.14,59.63,61.23,63.66,64.05,67.49,66.69,66.51,64.58,63.87,62.28,62.37,63.03,63.44,63.79,64.05,64.52,65.17,65.71,68.79,71.14,72.12,71.36,71.47,71.11,66.68,66.4,61.6,57.56,57.23,56.77,59.09,56.79,55.91,55.81,57.06,58.84,60.13,60.5,60.81,65.75,70.44,72.35,73.77,78.86,82.62,85.77,85.72,81.63,77.54,78.26,83.85,85.58,88.92,88.59,89.29,90.36,89.09,88.85,83.52,79.89,84.41,84.31,91.05,97.38,98.96,101.42,107.01,110.28,109.67,111.29,107.71,101.31,98.9,99.99,97.35,98.67,102.37,103.93,101.9,104.34,102.93,102.8,105.65,103.01,108.44,107.07,110.25,109.63,108.65,101.14,95.97,91.63,84.57,80.81,80.28,79.55,79.47,80.27,80.04,81.04,81.96,82.76,80.52,87.04,85.7,86.35,89.4,91.74,91.6,92.43,94.9,97.94,100.49,106.68,108.48,106.9,111.92,110.62,113.91,117.28,115.98,118.72,118.85,115.08,112.75,112.37,116.55,118.99,120.29,119.94,119.86,113.34,107.73,101.14,97.17,91.65,86.07,85.27,84.43,84.9
"14","5","    Utilities","B313RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.57,64.35,64.11,62.12,64.74,65.64,63.24,64.32,60.21,59.77,60.74,58.33,60.32,60.19,59.91,59.99,61.02,64.99,64.6,67.54,68.69,69.96,70.63,71.01,74.01,76.04,77.79,80.66,84,88.04,90.35,89.07,90.07,93.23,94.69,99.22,102.82,103.55,106.85,107.74,105.74,103.49,105.02,107.46,107.52,111.75,117.27,114.77,115.36,116.64,113.12,110.85,117.97,117.82,118.33,121.27,122.96,125.72,129.23,127.33,124.32,120.04,118.29,113.16,108.6,108.25,108.11,110.06,109.01,119.46,126.17,125.31,115.61,121.84,119.9,119.02,119.84,125.67,128.42,131.32,129.39,130.76,132.05,129.28,132.18,130.9,129.12,129.17,133.57,132.39,133.03,132.42,131.92,127.94,122.58,116.91,108.46,110.03,101.08,113.07,109.03,112.03,115.12,111.59,114.11,113.16,111.32,111.9,117.17,118.69,115.24,109.7,101.78,96.8,95.11,93.91,92.53,90.85,94.38,94.95,99.76,99.37,96.66,96.97,89.23,89.57,91.97,95.43,101.75,106.68,110.23,112.82,115.34,116.51,116.01,115.57,111.99,106.4,103.93,103.63,101.22,99.01,99.88,100.24,102.3,103.4,102.71,100.01,100.18,99.1,98.54,102.19,95.36,95.53,98.46,101.95,112.75,119.18,121.26,121.19,122.23,123.04,128.06,134.09,134.04,136.87,141.87,146.79,140.46,142.93,137.81,136.88,141.04,134.15,126.53,123.65,119.78,112.41
"15","6","    Mining exploration, shafts, and wells","B318RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.12,63.35,61.97,61.94,59.62,58.68,58.78,57.97,57.59,58.55,60.74,62.47,64.01,64.46,62.6,59.99,59.33,59.42,59.36,57.51,59.68,63.58,63.43,65.79,62.33,67.24,60.54,59.29,61.01,58.01,60.54,56.78,56.08,57.95,56.43,55.46,57.58,55.04,56.78,57.87,56.14,58.86,61.4,60.47,57.39,56.22,52.95,56.27,54.38,49.03,50.89,51.88,54.37,55.04,54.35,57.4,56.14,57.07,60.6,62.34,64.25,71.87,71.87,72.64,77.16,79.63,84.38,86.61,89.62,85.35,88.1,90.73,95.92,99.66,101.55,102.52,94.3,111.43,119.03,131.01,125.4,107.81,120.44,131.77,142.5,148.42,184.25,206.85,168.17,188.78,188.97,246.99,219.24,193.33,164.06,156.24,160.91,141.53,146.92,157.46,169.25,167.57,178.21,174.8,176.56,155.14,142.71,140.2,130.6,82.52,71.04,75.95,77.26,75.36,94.68,104.76,97.49,101.71,95.57,91.41,80.26,87.71,91.23,90.09,98.96,101.85,100.47,102.31,108.75,107.05,87.79,90.94,80.16,76.96,81.15,88.32,94.09,92.53,95.41,106.68,91.73,90.93,93.63,98.73,90.38,83.48,84.66,87.22,92.74,99.39,101.97,105.91,121.13,123.76,122.07,129.95,118.09,123.12,122.7,112.57,96.76,104.09,98.52,109.64,116.01,118.33,135.52,142.59,146.63,163.93,170.23,164.84,143.2,143.55,141.96,125.83,134.57,155.14
"16","7","    Other structures","B861RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,13.54,15.26,18.11,20.26,20.04,21.37,21.75,21.56,12.22,2.46,0.88,1.07,1.02,7.73,0.57,-0.12,-0.17,6.21,12.48,2.73,8.93,12.63,12.85,18.92,27.83,28.62,41.35,55.4,43.66,34.88,39.9,41.88,45.15,51.74,50.19,61.74,55.44,50.68,50.91,45.01,61.11,75.66,64.76,59.07,58.19,61.9,77.77,70.82,56.19,53.41,48.13,55.84,56.87,43.94,43.52,44.77,49.84,56.72,56.55,51.11,52.28,51.77,54.68,51.12,48.69,55.17,48.21,54.14,51.05,44.87,49.97,54.13,50.96,65.1,77.37,68.87,77.25,73.94,68.75,68.93,77.57,86.04,86.66,83.6,78.27,63.4,57.01,60.26,63.89,73.31,72.98,71.05,69.41,70.62,73.48,78.11,81.89,79.63,70.97,77.81,93.28,113.47,132.94,143.36,154.4,138.46,158.75,159.76,113.49,100.44,104.56,112.78,137.57,138.11,140.01,110.07,110.62,103.23,112.24,114.81,116.43,118.15,132.2,142.59,129.15,133.6,127.61,122.75,120.94,129.26,130.93,133.15,150.46,161.59,146.57,146.92,142.75,127.72,130.23,118.37,118.62,131.81,119.08,123.92,126.03,127.28,105.92,109.91,102.5,95.37,92.22,90.69,91.75,100.41,152.72,100.89,104.37,98.58,98.72,99.52,113.88,97.24,99.52,104.92,102.72,113.81,114.78,101.93,98.82,294.73,101.33,101.75,100.97,80.03,74.39,67.94,72.48
"17","8","  Equipment and software","B010RA",8.26,8.08,7.82,8.27,8.96,8.37,8.26,8.53,7.99,7.59,7.19,7.12,7.24,8.05,8.92,8.78,8.41,8.42,8.61,8.53,8.57,8.7,7.4,8.34,8.93,8.91,9.21,8.93,8.45,8.26,8.66,8.63,8.71,9.49,10.08,10.38,9.86,9.9,9.99,9.97,10.14,10.11,10.46,10.05,8.99,8.52,8.43,8.88,9.38,9.66,9.98,9.96,10.31,10.5,10.07,9.76,9.41,9.85,10,10.59,10.86,11.13,11.19,11.26,11.46,11.72,12.25,12.74,13.06,13.32,13.77,14.15,15.25,15.54,16.38,17.05,18.01,18.64,18.76,19.03,18.29,18.52,18.26,18.83,19.54,19.09,19.57,20.26,20.99,21.26,21.61,21.5,21.37,21.34,21.44,20.33,20.67,21.17,21.33,22.07,22.91,23.44,24.01,25.79,27.21,28.43,28.8,29.29,29.35,29.29,29.5,28.4,26.51,25.99,26.26,26.65,26.98,27.52,28.29,29.1,30.87,31.66,32.34,33.86,34.45,37.1,37.88,38.92,40.35,39.9,40.82,40.26,40.61,37.88,38.2,38.83,39.9,40.19,41.18,40.82,40.18,38.57,37.82,37.1,37.03,38.99,41.19,44.78,45.53,47.78,49.32,50.97,50.63,51.81,51.21,52.27,51.85,52.64,52.43,53.1,51.62,53.2,54.66,54.01,55.75,57.04,57.83,58.86,59.66,61.27,62.89,61.73,62.32,60.96,61.89,61.36,59.72,59.82,60.92,61.04,61.13,64.36,65.84,68.11,69.13,71.38,72.43,75.94,78.2,78.96,80.92,85.06,88.74,89.06,89.86,92.67,95.75,98.49,102.15,103.61,106.69,111.75,116.97,117.79,125.29,128.79,129.76,135.36,139.24,143.4,147.69,148.45,153.91,157.95,158.31,156.14,153.63,146.77,143.28,142.39,141.41,142.55,144.88,147.09,145.28,148.2
"18","9","    Information processing equipment and software","B679RA",0.44,0.41,0.43,0.42,0.45,0.43,0.42,0.46,0.43,0.39,0.37,0.37,0.38,0.43,0.44,0.47,0.44,0.47,0.49,0.5,0.53,0.59,0.51,0.57,0.6,0.61,0.64,0.57,0.56,0.53,0.54,0.54,0.52,0.58,0.67,0.71,0.67,0.76,0.72,0.74,0.75,0.82,0.89,0.81,0.76,0.71,0.73,0.76,0.77,0.78,0.8,0.88,0.92,0.99,0.97,1.05,0.98,1.07,1.11,1.13,1.2,1.18,1.16,1.21,1.29,1.38,1.46,1.48,1.56,1.58,1.58,1.69,1.73,1.85,1.95,2.09,2.27,2.44,2.58,2.71,2.63,2.65,2.61,2.77,2.83,2.8,2.89,2.87,3.1,3.37,3.62,3.79,3.92,3.98,3.84,3.88,3.82,4.11,4.21,4.4,4.6,4.61,4.73,4.88,5.18,5.44,5.62,5.98,6.09,6.06,6.48,6.67,6.49,6.24,6.18,6.18,6.41,6.89,7.32,7.89,8.01,8.39,8.68,9.26,9.88,10.9,11.57,12.23,12.84,13.12,13.85,14.65,15.29,15.59,16.43,16.68,17.5,18.02,18.75,19.59,20.41,19.53,19.61,19.16,20.66,22.16,23.28,25.38,26.09,28,29.41,31.24,31.09,32.05,31.66,32.88,33.49,34.51,34.28,35.6,35.11,36.01,37.59,37.59,38.55,40.2,41.22,42.1,43.07,45.38,46.83,47.52,47.8,47.33,46.92,47.94,47.43,48.8,50.39,52.15,53.09,55.77,58.69,59.46,60.98,62.2,65.46,66.69,68.99,70.6,72.41,75.7,79.18,83.27,85.27,90.29,94.58,97.94,102.21,105.27,111.71,118.13,126.62,130.62,140.8,147.06,150.99,158.88,166.15,176.42,181.78,183.14,195.4,203.83,206.04,206.89,201.52,191.39,185.67,185.12,188.13,193.91,200.24,201.81,206.94,216.08
"19","10","      Computers and peripheral equipment \1\","B935RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.06,0.05,0.05,0.05,0.05,0.07,0.07,0.09,0.11,0.11,0.11,0.1,0.11,0.11,0.11,0.13,0.13,0.12,0.18,0.18,0.17,0.15,0.14,0.16,0.18,0.22,0.24,0.27,0.28,0.31,0.34,0.4,0.47,0.61,0.72,0.84,0.91,0.99,1.11,1.27,1.31,1.53,1.88,2.04,2.3,2.39,2.65,3.19,3.55,3.1,3.16,3.15,4,4.65,5.34,5.69,6.53,7.5,8.57,9.57,9.36,10.28,9.86,10.88,11.53,12.08,11.22,11.61,13.31,14.2,15.38,15.47,15.62,16.53,17.13,17.39,18.49,20.44,20.96,21.17,20.93,20,18.96,20.24,19.58,20.3,22.22,24.92,24.94,28.86,31.36,32.44,34.84,35.71,39.07,39.61,41.85,44.04,46.3,51.83,57.22,66.38,71.67,82.35,89.09,95.86,104.33,110.72,123.11,138.45,155.91,163.39,187.34,200.99,208.51,236.72,262.66,295.25,308.76,303.89,319.96,351.75,361.09,358.27,356.98,337.3,316.88,343.3,369.9,383.36,420.05,427.94,450.31,500.9
"20","11","      Software \2\","B985RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.02,0.06,0.13,0.21,0.25,0.28,0.27,0.27,0.28,0.31,0.31,0.34,0.38,0.45,0.54,0.67,0.8,0.88,0.9,0.9,0.88,0.86,0.94,1.02,1.15,1.29,1.41,1.55,1.68,1.83,1.86,1.86,1.82,1.86,1.91,1.99,2.06,2.15,2.3,2.53,2.82,3.08,3.3,3.44,3.42,3.3,3.24,3.39,3.54,3.76,3.88,3.98,4.08,4.06,4.23,4.4,4.59,4.8,4.87,4.91,5.19,5.55,6,6,5.87,5.82,5.89,6.2,6.45,6.7,6.48,6.48,6.42,6.48,6.94,7.37,7.87,8.49,8.87,9.36,9.79,10.23,10.5,10.82,11.31,11.84,12.15,12.43,12.85,13.48,14.39,14.68,14.58,14.36,15.13,16.11,17.41,18.29,18.95,19.69,20.87,22.16,22.91,23.71,23.8,24.54,25.09,26.02,26.41,26.96,27.78,28.85,29.93,30.94,31.96,33.17,34.68,36.29,38.41,40.81,43.48,45.72,46.46,47.72,48.6,50.08,51.81,53.41,54.48,56.61,58.46,60.74,62.58,64.82,66.79,68.86,71.36,73.73,75.85,77.46,78.77,80.21,81.41,84.15,87.54,91.64,95.33,98.42,101.32,104.93,113.22,121.18,129.26,136.75,145.86,151.96,157.63,162.9,168.37,176.39,181.34,185.78,191.09,193.67,195.32,195.1,194.94,190.93,189.69,189.82,188.1,193.67,199.09,199.97,202.37,206.8
"21","12","      Other","B937RA",4.06,3.82,4,3.93,4.18,4,3.91,4.26,4.05,3.67,3.48,3.41,3.54,4.04,4.12,4.41,4.1,4.36,4.62,4.69,4.94,5.49,4.79,5.3,5.63,5.7,5.95,5.36,5.25,4.95,5.04,5.07,4.89,5.42,6.27,6.65,6.28,7.06,6.72,6.88,7.02,7.7,8.34,7.54,7.08,6.65,6.82,7.06,7.19,7.29,7.39,8.03,8.22,8.69,8.35,8.82,8.31,9.18,9.15,9.39,10.01,9.75,9.29,9.26,9.55,9.89,10.14,10.11,10.51,10.67,10.62,11.42,11.47,12.03,12.61,12.98,13.81,14.4,14.69,14.87,14.29,14.37,14.14,14.96,15.26,14.75,14.97,14.81,15.92,17.01,18.04,18.68,18.64,19,18.6,18.8,18.4,19.02,18.91,19.26,19.22,19.4,19.75,21.05,22.63,23.68,24.69,25.9,26.4,26.34,26.56,27.19,26.14,25.41,25.34,25.01,25.67,26.88,28.66,30.75,31.48,32.9,33.85,35.74,37.26,39.85,41.17,42.36,44.3,44.28,46.12,47.87,50.23,49.3,49.92,49.38,50.95,52.44,53.49,53.18,53.8,52.34,52.45,50.91,52.02,54.06,54.2,60.22,59.01,62.07,62.5,64.81,64.26,64.19,63.96,64.79,64.75,66.06,67.06,70.19,63.63,63.71,65.5,64.36,66.33,68.87,69.64,70.54,69.63,71.35,72.7,72.56,73.21,72.21,71.83,71.63,69.55,71.19,72.22,71.92,73.08,73.97,77.78,76.97,76.95,77.74,81.16,82.02,84.36,85.29,86.95,89.52,93.01,93.94,92.27,93.87,97.14,98.69,101.67,102.5,104.28,105.02,109.55,109.24,114.5,117.91,119.04,121.95,124.56,129.54,132.56,132.92,148.6,155.2,155.97,158.5,148.59,136.61,130.79,124.66,127.03,130.74,131.65,132.51,136.35,141.47
"22","13","    Industrial equipment","B680RA",32.59,30.17,30.46,27.58,29.87,28.02,26.03,27.73,25.32,21.54,20.09,19.22,20.67,24.68,25.22,29.07,25.16,27.32,30.22,29.3,29.53,31.86,27.04,27.93,30.42,31.84,32.92,33.22,32.62,32.5,34.72,32.66,30.08,31.78,33.52,36.1,34.66,35.39,38.07,37.09,37.05,37.01,37.2,35.7,32.53,30.5,29.04,30.05,31.03,30.32,30.49,32.33,33.05,35.49,33.4,32.26,30.25,31.4,31.53,33.93,34.15,34.45,33.09,32.08,33.73,35.36,37.08,38.09,38.93,38.99,41.01,44.34,44.96,47.01,49.73,50.82,52.63,55.65,56.33,56.68,57.32,56.39,53.7,54.9,55.68,54.17,53.4,54.71,56.48,57.56,59.37,58.77,60.03,59.31,59.15,57.3,54.57,53.64,53.58,54.83,54.75,57.31,59.71,61.72,64.02,67.92,70.23,73.68,75.15,75.97,74.65,71.27,64.67,62.62,62.35,61.93,63.19,63.16,62.93,63.4,64.69,64.96,67.72,70.41,71.32,73.79,76.27,76.51,79.89,79.18,78.97,81.48,79.57,76.27,74.31,75.69,75.64,75.07,75.45,74.97,72.24,70.15,67.77,64.46,61.11,61.31,63.97,65.83,69.57,71.42,72.86,74.96,74.14,76.11,74.75,77.03,75.53,74.54,75.39,74.97,73.4,72.49,73.62,73.36,73.75,76.13,78.52,79.17,81.71,82.65,83.81,81.27,80.43,77.29,77.65,74.88,73.69,72.74,72.64,71.29,71.36,72.57,74.36,77.33,78.25,78.54,79.81,84.69,85.5,85.83,88.3,91.07,94.79,96.57,97.27,96.42,99.36,101.11,99.47,100.06,98.87,102.73,103.95,104.92,109.01,106.7,105.05,106.11,104.4,107.64,109.99,110.32,114.35,116.78,120.55,119.77,120.79,114.64,109.32,106.02,108.69,106.71,108.38,106.89,105.43,105.24
"23","14","    Transportation equipment","B681RA",18.11,18.53,17.55,20.02,20.83,19.24,19.02,18.13,18.6,19.3,19.31,19.58,18.66,19.64,24.47,22.23,22.15,20.83,20.09,18.58,18.51,16.97,14.15,17.78,19.34,20,20.48,20.39,18.46,16.77,17.2,17.8,20.28,22.5,23.91,22.71,20.75,20.26,19.02,20.3,20.96,20.92,22.33,21.62,17.02,14.9,14.27,16.41,18.98,21.03,22.8,20.15,22.74,21.72,21.71,19.29,18.54,19.34,20.2,22.73,23.53,24.57,25.7,25.8,24.15,22.96,23.81,25.51,26.21,27.21,29.16,26.51,33.3,33.1,34.41,35.82,38.3,38.22,36.87,36.94,34.31,35.77,37.3,37.96,43.16,41.38,43.78,46.37,47.4,46.4,45.24,42.66,39.1,38.23,39.08,32.67,38.69,39.68,39.68,42.99,45.27,45.48,44.54,51.76,54.42,57.42,56.89,56.24,54.22,52.76,52.21,44.47,43.03,41.67,44.82,45.91,47.03,47.8,48.85,51.36,57.78,59.11,58.76,61.4,60.83,67.55,66.36,67.19,71.24,67.44,70.06,64.75,61.75,53.2,54.58,53.83,55.86,53.79,55.31,52.11,51.28,48.19,44.77,48,47.95,50.19,55.64,63.46,60.82,64.77,66.35,66.92,66.16,68,68.94,67.36,64.17,66.17,67.16,65.32,60.44,66.19,65.33,61.53,67.52,67.52,65.96,68.5,62.46,61.83,62.61,57.48,62.21,59.91,65.71,63.74,63.89,62.07,64.8,61.9,59.81,69.12,65.44,71.43,69.19,76.52,71.84,80.18,84.52,82.8,85.08,94.36,98.86,89.79,88.74,91.78,93.75,96.98,104.97,104.31,104.02,108.59,112.46,108.23,116.08,119.81,118.18,130.32,135.42,135.8,143.34,141.68,139.62,138.6,134.52,124.54,120.64,116.32,115.17,119.08,109.04,103.23,102.02,108.97,97.73,96.28
"24","15","    Other","B862RA",25.73,25.81,23.62,27.76,31.73,29.56,30.77,32.86,28.58,27.35,24.52,24.23,25.44,28.3,29.76,27.36,27.83,27.24,27.06,29.41,29.13,29.71,25.49,28.49,29.52,26.65,27.76,25.66,23.96,25.26,26.83,27.59,27.59,30.14,31.16,33.06,32.48,31.14,32.17,30.5,31.09,29.25,29.53,29.25,28.6,29.74,30.96,31.17,31.59,32.17,32.65,32.98,31.25,31.03,28.56,28.36,29.28,30.05,29.57,29.24,29.56,31.41,32.17,33.03,34.6,35.88,37.48,38.94,39.28,40.28,40.24,42.97,43.83,43.03,45.88,47.76,49.9,50.78,51.01,51.59,47.68,48.73,47.35,48.84,47.23,47.06,48.44,51.03,52.22,51.27,51.05,51.79,52.27,53.18,55.32,54.15,52.82,53.87,54.46,53.59,56.76,59.04,62.36,66.49,71.35,72.21,71.89,69.38,69.83,70.75,70.34,71.8,64.18,65.7,65.16,68.01,65.91,65.41,67.56,66.04,72.19,74.21,75.33,78.12,77.96,82.57,83.05,86.03,85.27,84.86,84.65,77.83,82.72,71.5,69.29,72.44,74.02,76.68,78.4,74.99,69.03,66.84,67.12,63.49,58.38,63.21,65.15,71.03,72.18,73.08,74.4,74.92,74.92,74.9,72.57,74.18,73.7,73.66,70.79,72.69,71.66,73.36,77.21,77.43,78.33,78.04,78.68,78.64,84.97,86.87,90.4,88.68,87.1,85.81,86.47,84.68,76.17,75.23,73.9,73.69,73.64,73.38,76.05,77.72,81.2,82.64,83.51,86.35,87.56,89.37,90.61,92.38,95.35,94.69,94.44,95.38,96.83,98.57,101.72,102.88,106.88,110.59,114.48,113.98,119.01,123.13,124.06,122.22,124.22,121.6,121.88,124.77,127.56,131,129.1,129.3,129.79,125.71,126.05,121.77,120.36,125.33,125.47,127.28,124.85,125.87
