"","Table 6#21B# Undistributed Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"30","23","      Instruments and related products","B3423C0B",76,54,97,103,94,98,140,136,144,129,120,190,140,152,205,229,258,402,503,470,445,487,305,301,386,465,380,507,685,1033,1215,903,952,1184,385,187,479,-776,-1164,-177
"31","24","      Miscellaneous manufacturing industries","B3424C0B",144,85,169,120,88,83,87,120,116,104,94,131,87,83,130,156,174,229,223,237,219,160,134,122,287,412,327,453,516,604,612,640,319,474,220,-410,307,276,-136,371
"32","25","    Nondurable goods","A3425C0B",4682,3067,4455,3469,2808,3179,3577,4718,4740,4072,3476,4775,4393,4221,3960,4449,4801,5490,6827,6484,6188,5665,5242,6626,7650,13551,21911,14207,20141,19112,21903,30982,33805,37948,28588,20145,17073,17447,-8332,5529
"33","26","      Food and kindred products","B3426C0B",528,535,608,332,308,331,394,535,526,454,587,700,642,636,645,835,840,915,1093,989,860,851,912,1132,969,1604,1761,2942,2645,2610,2726,2718,2269,2591,2163,1529,1738,1371,890,1999
"34","27","      Tobacco manufactures","B3427C0B",58,67,60,35,27,45,57,84,77,87,108,123,127,138,124,132,123,106,119,161,118,141,188,249,211,187,231,326,357,400,711,608,738,444,353,292,-38,1080,225,396
"35","28","      Textile mill products","B3428C0B",657,195,451,222,50,68,-7,150,162,111,102,285,203,175,236,243,331,465,431,320,355,289,219,310,377,510,220,171,497,561,884,563,652,462,301,734,450,312,772,1050
"36","29","      Apparel and other textile products","B3429C0B",124,55,128,41,64,49,57,95,98,79,90,135,125,139,182,182,226,282,341,349,369,296,286,370,559,524,347,620,631,766,819,764,731,834,877,1196,655,343,475,805
"37","30","      Paper and allied products","B3430C0B",347,223,394,350,249,240,259,355,418,285,213,340,287,263,255,305,338,433,565,455,504,558,336,315,586,1134,1472,985,1244,1422,1612,2443,1500,1370,1216,888,1575,1055,1761,2978
"38","31","      Printing and publishing","B3431C0B",236,220,214,194,202,196,206,288,292,289,228,341,321,291,332,371,451,631,788,666,631,690,627,728,858,1055,1046,1310,1478,1871,2224,2457,2398,1933,1566,2288,3101,3058,2613,2517
"39","32","      Chemicals and allied products","B3432C0B",594,522,807,581,374,422,503,754,698,662,480,855,742,668,327,829,711,628,1462,1026,880,795,672,837,1296,2082,2536,1988,2568,2028,1780,1985,408,1199,-2076,-628,-221,-2409,-2607,1665
"40","33","      Petroleum and coal products","B3433C0B",1982,1172,1535,1532,1386,1675,1980,2238,2274,1951,1506,1782,1774,1709,1617,1318,1495,1703,1624,2145,1977,1648,1872,2324,2316,5848,13793,5348,10026,8535,10010,18416,24422,28038,23127,12568,8501,10898,-13539,-7245
"41","34","      Rubber and miscellaneous plastics products","B3434C0B",116,60,201,171,114,127,94,170,154,111,137,155,141,164,192,184,215,239,298,252,376,345,112,311,423,569,456,391,452,774,918,776,358,771,863,1108,1137,1646,980,1091
"42","35","      Leather and leather products","B3435C0B",40,18,57,11,34,26,34,49,41,43,25,59,31,38,50,50,71,88,106,121,118,52,18,50,55,38,49,126,243,145,219,252,329,306,198,170,175,93,98,273
"43","36","  Transportation and public utilities","A3436C0B",905,654,1043,753,700,654,335,645,554,298,200,586,661,532,991,1438,1650,2104,2320,1389,570,523,-693,-389,-167,-863,-800,151,2518,4141,4476,2052,1497,759,6,502,4422,-3685,-6050,-3028
"44","37","    Transportation","A3437C0B",689,417,764,566,490,352,4,222,168,-15,-134,1,-211,-177,10,167,262,542,583,-51,-421,-613,-1173,-477,-52,-19,840,-381,1072,1776,1852,1382,312,-1277,-3183,-832,1668,-2092,-2271,-519
"45","38","      Railroad transportation","B3438C0B",493,228,513,303,309,197,-150,10,-25,-78,-204,-133,-200,-211,-181,-87,-150,-85,-27,-415,-425,-418,-748,-592,-522,-503,38,-529,-348,0,-429,179,459,-737,-1120,-732,694,-296,-450,-433
"46","39","      Local and interurban passenger transit","B3439C0B",13,-8,-3,5,-2,-7,-17,-3,-11,-2,-1,23,11,-3,10,9,21,40,28,9,4,3,-27,-44,-4,4,21,29,58,72,76,114,140,98,100,182,63,45,-18,-81
"47","40","      Trucking and warehousing","B3440C0B",97,87,130,84,81,85,77,99,63,75,69,113,57,119,182,157,181,265,250,159,256,232,182,418,512,459,440,356,738,819,955,760,380,556,161,945,1104,828,1206,657
"48","41","      Water transportation","B3441C0B",40,50,39,66,12,13,-17,14,68,-28,-15,-12,-19,17,7,36,61,56,85,56,49,-16,-36,-83,-63,-42,165,69,113,125,120,26,10,-239,-490,-635,-689,-846,-728,-253
"49","42","      Transportation by air","B3442C0B",-1,17,43,44,26,30,42,47,18,-41,-15,-32,-81,-126,-30,43,146,264,235,128,-260,-354,-512,-193,4,77,96,-392,398,708,919,-263,-1107,-1492,-2157,-910,406,-1861,-2091,-661
"50","43","      Pipelines, except natural gas","B3443C0B",29,28,23,43,45,20,50,34,35,40,15,36,2,22,33,7,-7,-8,-14,-21,-34,-33,-29,3,3,-7,75,70,39,-16,134,396,401,495,408,237,59,110,-51,140
"51","44","      Transportation services","B3444C0B",18,15,19,21,19,14,19,21,20,19,17,6,19,5,-11,2,10,10,26,33,-11,-27,-3,14,18,-7,5,16,74,68,77,170,29,42,-85,81,31,-72,-139,112
"52","45","    Communication","A3445C0B",37,34,128,111,119,145,169,313,261,235,383,473,543,543,742,861,821,1017,1121,1030,817,969,696,377,344,446,196,636,1012,1265,1995,1186,1090,1306,604,791,374,237,1446,1113
"53","46","      Telephone and telegraph","B3446C0B",17,20,112,77,82,114,138,248,193,189,325,403,449,490,660,776,748,906,979,968,791,925,665,330,165,292,32,436,571,701,1343,580,679,931,540,1102,323,606,3050,2114
"54","47","      Radio and television","B3447C0B",20,14,16,34,37,31,31,65,68,46,58,70,94,53,82,85,73,111,142,62,26,44,31,47,179,154,164,200,441,564,652,606,411,375,64,-311,51,-369,-1604,-1001
"55","48","    Electric, gas, and sanitary services","B3448C0B",179,203,151,76,91,157,162,110,125,78,-49,112,329,166,239,410,567,545,616,410,174,167,-216,-289,-459,-1290,-1836,-104,434,1100,629,-516,95,730,2585,543,2380,-1830,-5225,-3622
"56","49","  Wholesale trade","B3449C0B",1169,652,1330,994,723,692,625,1093,1196,1077,1020,1347,1110,1138,1284,1438,1756,2111,2254,2115,2464,2750,2804,3043,5227,8230,10675,8628,8533,9288,11797,15128,13281,13616,8715,11042,15425,6260,7251,8276
"57","50","  Retail trade","B3450C0B",1681,1112,1529,971,844,720,715,1045,971,893,889,1219,865,1108,1370,1486,2097,2438,2353,2848,3057,3174,3112,3642,3751,4411,4155,5376,6452,8286,9494,8953,6690,6067,7547,9258,10905,11163,10542,11123
"58","51","  Finance, insurance, and real estate","A3451C0B",1906,2243,1919,2101,2473,2644,2806,3173,3284,3092,3046,3868,3989,3997,4456,3634,3689,4867,5658,5350,5831,5644,5717,7215,7947,7953,7449,7921,10573,15514,18942,17329,11266,1478,-3372,4755,-4564,-3232,806,774
"59","52","    Banking","A3452C0B",845,818,779,937,940,994,864,1292,1604,1514,1154,1687,1751,1560,1553,1850,1508,2305,2579,2418,3067,4072,3870,3585,4027,4468,4849,5575,6028,5377,5997,6103,4612,4527,4793,8377,8020,13206,16649,15748
"60","53","      Federal Reserve banks","B3453C0B",49,30,-20,25,39,35,30,26,47,62,50,-188,31,68,40,45,-478,13,2,11,1,17,-9,-89,67,86,78,173,-55,112,574,83,20,293,-39,268,274,-1559,-2406,-2158
"61","54","      Commercial and mutual banks","B3454C0B",796,788,799,912,901,959,834,1266,1557,1452,1104,1875,1720,1492,1513,1805,1986,2292,2577,2407,3066,4055,3879,3674,3960,4382,4771,5402,6083,5265,5423,6020,4592,4234,4832,8109,7746,14765,19055,17906
"62","55","    Credit agencies other than banks","B3455C0B",213,293,356,377,546,478,568,686,779,808,931,1002,1026,1161,1243,1072,1152,1179,1055,1082,1067,975,954,1612,1981,2370,2031,1840,2715,3818,4628,3526,-1016,-7976,-7913,-993,-1409,-567,-411,3524
"63","56","    Security and commodity brokers","B3456C0B",2,14,15,4,4,20,42,12,13,9,7,30,19,34,-10,17,33,57,82,159,211,-93,-320,-65,-92,55,-29,135,-422,-338,25,-271,-41,-685,-1337,-319,-1594,-715,-1774,-429
"64","57","    Insurance carriers","B3457C0B",629,848,549,570,762,866,986,856,604,438,641,847,916,1001,1004,650,610,647,1343,1313,1119,671,1519,2604,3081,2721,1827,1286,2987,6822,7463,7503,8460,7390,4800,2294,-2869,-7731,-7722,-8629
"65","58","    Insurance agents, brokers, and service","B3458C0B",30,29,27,26,37,32,36,35,50,51,60,69,72,44,79,78,96,105,143,120,141,155,182,246,217,89,245,249,249,681,648,561,449,455,333,180,11,437,558,1553
"66","59","    Real estate","B3459C0B",223,250,251,197,190,227,295,253,142,166,213,198,153,72,132,74,198,172,387,286,257,64,-113,-47,-349,-651,-848,-711,-309,235,445,389,-825,-3000,-3934,-3577,-5886,-6937,-7546,-4183
"67","60","    Holding and other investment offices","B3460C0B",-36,-9,-58,-10,-6,27,15,39,92,106,40,35,52,125,455,-107,92,402,69,-28,-31,-200,-375,-720,-918,-1099,-626,-453,-675,-1081,-264,-482,-373,767,-114,-1207,-837,-925,1052,-6810
"68","61","  Services","A3461C0B",252,222,196,174,184,178,182,207,247,256,224,321,255,269,294,372,593,783,998,1072,925,643,562,800,1270,1852,1663,2355,3144,4653,5572,5945,6480,7004,6674,6814,6381,6335,6285,4377
"69","62","    Hotels and other lodging places","B3462C0B",59,53,39,34,32,25,22,1,12,11,-6,-13,-37,-54,-55,-62,-62,-29,14,32,68,55,-64,-114,-17,-110,-175,-63,85,147,393,403,322,37,-144,-298,-490,-718,-1154,-2413
"70","63","    Personal services","B3463C0B",36,37,29,31,30,32,32,35,47,54,61,63,57,53,48,64,112,150,149,153,153,142,119,130,160,153,222,244,237,299,332,328,376,404,528,399,529,269,288,379
"71","64","    Business services","B3464C0B",56,52,61,60,59,64,61,81,114,141,134,149,107,186,146,195,237,296,389,378,216,78,11,203,403,682,300,617,813,1501,1711,1597,1432,1533,1705,1470,1987,1553,2181,1370
"72","65","    Auto repair, services, and parking","B3465C0B",11,8,12,13,15,11,9,12,8,-5,6,26,17,17,40,22,37,52,47,48,92,87,34,39,63,126,94,134,248,302,236,241,171,240,270,195,-35,-357,-210,-465
"73","66","    Miscellaneous repair services","B3466C0B",7,5,0,-1,-2,-6,-17,-11,-5,-11,-15,-8,7,11,15,11,29,32,36,30,31,45,40,33,48,59,103,102,110,159,182,157,203,221,143,181,133,155,261,380
"74","67","    Motion pictures","B3467C0B",24,18,31,2,8,15,54,53,20,7,-21,8,18,-3,-3,19,77,128,127,119,125,-21,91,47,73,114,164,206,309,323,568,578,426,430,406,232,-204,-51,-383,-1050
"75","68","    Amusement and recreation services","B3468C0B",20,7,-17,-14,-3,-7,-23,-21,-22,-15,-8,10,-2,-19,-17,-20,3,-15,30,14,7,23,41,81,-19,10,85,123,192,228,257,269,245,191,84,-207,-829,-475,-681,-1032
"76","69","    Other services","A3469C0B",39,42,41,49,45,44,44,57,73,74,73,86,88,78,120,143,160,169,206,298,233,234,290,381,559,818,870,992,1150,1694,1893,2372,3305,3948,3682,4842,5290,5959,5983,7208
"77","70","      Health services","B3470C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,49,47,48,100,102,119,218,267,403,518,660,828,848,1151,1302,1611,2198,2601,2712,3574,3639,3869,3850,4197
"78","71","      Legal services","B3471C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,3,2,2,2,5,18,38,34,57,62,85,101,137,158,214,236,364,551,747,834,881,1239,1428
"79","72","      Educational services","B3472C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,18,10,19,11,7,-12,-42,-26,-15,17,14,65,56,93,109,24,159,61,52,94,129,114,15,220
"80","73","      Other \1\","B3473C0B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,93,109,137,185,122,122,96,102,137,226,134,14,145,313,324,523,712,922,367,427,688,1095,879,1363
"81","74","Rest of the world","A3474C0B",425,293,285,582,789,663,540,775,1008,1206,789,856,1181,921,1101,1407,1266,1375,1686,1595,2268,2759,3164,3165,4640,8098,7704,8075,7589,8034,11685,18570,18723,14234,16334,23080,24426,26379,21743,31469
"82","75","  Receipts from the rest of the world \2\","B3475C0B",581,436,475,751,923,826,702,962,1175,1363,945,1089,1357,1161,1316,1645,1595,1736,2031,2042,2763,3198,3610,3716,5220,9019,8780,9284,9262,9641,14280,22652,22353,17346,12872,21831,26821,26256,21328,31552
"83","76","  Less: Payments to the rest of the world \3\","B3476C0B",156,143,190,169,134,163,162,187,167,157,156,233,176,240,215,238,329,361,345,447,495,439,446,551,580,921,1076,1209,1673,1607,2595,4082,3630,3112,-3462,-1249,2395,-123,-415,83
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85"," 1. Consists of social services, membership organizations, and miscellaneous professional services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86"," 2. Consists of receipts by all U.S. residents of their share of the reinvested earnings of their incorporated foreign affiliates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","reinvested earnings of their unincorporated foreign affiliates.  Prior to 1982, reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","unincorporated foreign affiliates were treated as dividends.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90"," 3. Consists of payments to foreign residents of their share of the reinvested earnings of their incorporated U.S. affiliates and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","reinvested earnings of their unincorporated U.S. affiliates.  Prior to 1980, reinvested earnings of unincorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","U.S. affiliates were treated as dividends.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","  Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
