"","Table 5#7#9B# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","3","Mining, utilities, and construction","N238RD3",NA,NA,NA,92.722,94.879,90.501,91.007,93.476,88.577,88.724,86.828,86.056,84.859,88.047,91.436,92.648,92.42,96.719,101.254,108.409,114.863,104.654,95.263,91.963,92.26,97.956,97.676,102.761,114.041,112.504,110.756,109.679,116.396,121.493,123.064,128.89,130.372,134.568,144.905,163.185,150.161,143.359,142.61,141.243,145.514,150.604
"12","4","Manufacturing","N376RD3",NA,NA,NA,102.701,101.774,101.121,100.538,100.232,98.793,98.178,97.285,96.025,95.313,95.747,96.914,98.165,99.633,99.898,100.484,100.601,100.682,99.904,98.66,96.696,97.325,97.871,98.627,99.257,101.239,100.656,100.71,102.17,104.597,107.257,110.736,112.497,114.509,114.149,117.331,119.318,121.226,125.045,124.975,124.572,126.56,129.447
"13","5","  Durable goods industries","N377RD3",NA,NA,NA,104.985,104.438,103.538,102.768,102.33,101.071,100.401,99.389,98.073,97.481,97.748,98.401,99.302,100.239,99.79,100.287,99.644,99.633,98.926,98.382,97.503,98.203,98.333,98.281,98.154,99.055,98.864,98.868,99.67,102.489,104.811,108.091,109.41,110.339,109.167,110.535,111.65,114.446,118.587,119.572,119.034,120.94,122.899
"14","6","  Nondurable goods industries","N378RD3",NA,NA,NA,98.994,97.485,97.21,96.918,96.817,95.094,94.565,93.86,92.692,91.782,92.494,94.501,96.325,98.655,100.081,100.817,102.189,102.42,101.523,99.134,95.429,95.961,97.164,99.166,100.968,104.605,103.432,103.564,106.018,107.852,111.027,114.809,117.246,120.918,121.812,127.824,131.183,131.675,134.967,133.225,133.019,135.13,139.508
"15","7","Wholesale trade","N379RD3",NA,NA,NA,104.333,103.841,102.737,102.265,101.585,100.444,99.431,98.011,97.645,97.349,97.608,98.275,99.063,100.183,100.126,99.866,100.215,99.637,99.188,98.594,97.441,97.804,98.37,99.836,99.788,101.076,100.48,101.142,102.905,104.903,106.083,106.902,108.057,109.574,109.668,111.532,112.628,113.615,116.462,116.013,117.809,120.162,121.721
"16","8","  Durable goods industries","N380RD3",NA,NA,NA,108.373,107.656,106.769,105.993,105.14,103.879,102.717,101.484,100.672,100.084,99.901,99.97,100.442,100.437,100.225,99.705,99.166,98.314,98.082,97.628,97.073,97.079,97.437,97.539,97.458,97.665,97.726,98.064,99.012,100.769,101.951,103.441,104.403,104.968,104.478,105.046,106.106,107.272,109.188,109.89,110.438,111.535,112.21
"17","9","  Nondurable goods industries","N381RD3",NA,NA,NA,97.876,97.722,96.287,96.288,95.872,94.92,94.137,92.425,92.766,92.932,93.904,95.532,96.829,99.769,99.967,100.132,101.936,101.797,100.987,100.166,98.11,99.001,99.872,103.304,103.311,106.175,104.622,105.756,108.702,111.062,112.244,112.03,113.492,116.509,117.532,121.438,122.598,123.29,127.614,125.297,129.133,133.555,136.561
"18","10","Retail trade","N382RD3",NA,NA,NA,100.868,100.599,99.89,99.5,99.106,98.918,98.839,98.764,98.807,98.378,98.74,99.368,99.553,99.708,100.04,100.136,100.455,100.499,100.544,100.444,99.83,99.717,99.717,99.846,99.684,100.355,100.095,99.979,99.995,100.706,101.597,102.362,103.094,103.896,104.2,105.131,105.367,105.782,106.805,107.06,107.129,108.059,108.816
"19","11","  Motor vehicle and parts dealers","N864RD3",NA,NA,NA,100.339,99.953,99.017,98.316,97.713,97.771,97.977,98.533,98.857,97.943,98.581,99.528,99.674,99.32,100.009,100.206,101.024,100.63,100.475,100.459,99.683,99.021,98.822,98.491,97.608,98.368,97.599,96.542,95.401,95.834,96.356,97.437,98.073,98.278,98.802,99.347,98.67,98.93,99.323,99.346,98.912,98.516,98.951
"20","12","  Food and beverage stores","N239RD3",NA,NA,NA,96.708,96.965,96.409,96.75,96.586,96.686,96.825,97.374,98.077,97.876,98.33,99.284,98.812,99.293,100.174,100.41,100.973,102.654,103.308,103.838,103.343,104.068,103.099,103.279,103.367,104.516,105.626,107.316,108.889,109.442,111.4,111.453,112.099,113.335,113.346,113.133,115.086,113.297,114.379,116.923,117.316,122.109,121.473
"21","13","  General merchandise stores","N240RD3",NA,NA,NA,98.478,98.463,98.492,98.563,98.699,99.1,99.257,99.431,99.518,99.332,99.375,99.662,99.764,99.909,100.005,100.081,100.176,100.653,100.85,100.907,100.733,100.453,100.452,100.584,100.872,101.16,101.436,101.619,102.021,102.578,103.421,103.103,103.556,104.273,104.521,104.705,105.016,105.391,105.927,106.35,106.997,108.375,109.103
"22","14","  Other retail stores","N865RD3",NA,NA,NA,103.034,102.636,101.753,101.25,100.749,100.095,99.677,98.941,98.648,98.426,98.696,99.165,99.534,100.001,100.056,100.06,100.039,99.955,99.983,99.644,98.968,99.162,99.489,99.955,100.149,100.788,100.501,100.741,101.319,102.348,103.39,104.386,105.313,106.582,106.775,108.478,109.153,110.06,111.748,111.762,111.965,113.134,114.366
"23","15","Other industries","N385RD3",NA,NA,NA,99.287,98.861,98.385,98.527,98.626,98.07,97.691,97.43,96.703,96.215,96.688,97.35,98.204,99.444,99.734,100.092,100.557,100.915,100.97,100.004,98.888,98.142,98.357,98.609,99.22,100.682,100.2,100.412,100.393,100.684,101.536,102.19,103.473,104.597,105.443,107.064,107.869,108.322,109.941,110.513,110.271,111.414,112.932
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Private inventories","A371RD3",NA,NA,NA,102.625,102.479,101.525,101.016,100.515,99.259,98.378,97.178,96.525,96.266,96.633,97.538,98.498,99.769,99.889,99.988,101.004,101.336,100.661,99.416,97.944,98.278,98.732,99.566,100.424,101.923,101.549,102.519,103.406,105.318,107.12,108.038,109.235,110.765,110.753,113.065,114.912,114.927,116.948,117.485,117.786,121.155,122.735
"26","17","    Durable goods industries","N241RD3",NA,NA,NA,105.495,104.946,104.038,103.24,102.613,101.599,100.914,100.09,99.249,98.621,98.801,99.258,99.79,100.136,100.009,100.038,99.72,99.345,98.976,98.576,97.883,98.073,98.226,98.198,97.919,98.492,98.324,98.24,98.622,100.42,101.994,104.031,105.012,105.719,105.211,105.996,106.817,108.419,110.663,111.375,111.204,112.222,113.343
"27","18","    Nondurable goods industries","N242RD3",NA,NA,NA,100.073,100.267,99.275,99.014,98.62,97.157,96.105,94.579,94.091,94.157,94.69,95.992,97.336,99.439,99.783,99.946,102.186,103.159,102.202,100.2,98.045,98.504,99.216,100.796,102.645,104.962,104.408,106.309,107.642,109.657,111.664,111.569,112.964,115.247,115.693,119.404,122.206,120.733,122.541,122.913,123.656,129.217,131.221
"28","19","  Nonfarm industries","A373RD3",NA,NA,NA,102.035,101.532,100.652,100.239,99.929,98.879,98.356,97.575,96.964,96.438,96.904,97.826,98.622,99.549,99.881,100.211,100.687,100.805,100.118,99.12,97.782,98,98.555,99.222,99.597,101.289,100.783,100.889,101.76,103.526,105.194,106.834,108.227,109.632,109.865,112.141,113.866,114.377,116.476,116.426,116.725,118.504,120.351
"29","20","  Wholesale trade","N379RD3",NA,NA,NA,104.333,103.841,102.737,102.265,101.585,100.444,99.431,98.011,97.645,97.349,97.608,98.275,99.063,100.183,100.126,99.866,100.215,99.637,99.188,98.594,97.441,97.804,98.37,99.836,99.788,101.076,100.48,101.142,102.905,104.903,106.083,106.902,108.057,109.574,109.668,111.532,112.628,113.615,116.462,116.013,117.809,120.162,121.721
"30","21","    Merchant wholesale trade","N802RD3",NA,NA,NA,104.571,104.286,103.329,102.818,102.191,101.225,100.223,98.784,98.49,98.099,98.171,98.663,99.288,100.23,100.144,99.778,100.129,99.69,99.271,98.805,97.941,98.17,98.672,100.125,99.926,100.854,100.653,101.281,102.973,104.928,105.927,106.428,107.383,108.696,108.702,109.91,111.083,112.057,114.496,114.631,116.607,118.892,120.061
"31","22","      Durable goods industries","N803RD3",NA,NA,NA,108.063,107.399,106.555,105.818,104.999,103.769,102.626,101.402,100.596,100.017,99.843,99.937,100.438,100.443,100.232,99.707,99.163,98.327,98.085,97.646,97.102,97.114,97.5,97.613,97.543,97.758,97.826,98.171,99.152,100.938,102.126,103.648,104.624,105.188,104.681,105.263,106.351,107.537,109.502,110.222,110.775,111.915,112.594
"32","23","      Nondurable goods industries","N804RD3",NA,NA,NA,98.832,99.142,98.008,97.86,97.542,96.996,96.221,94.435,94.975,94.897,95.377,96.531,97.362,99.87,99.992,99.896,101.759,101.977,101.256,100.737,99.374,99.933,100.611,104.025,103.645,105.63,105.03,106.08,108.819,111.044,111.765,110.656,111.594,114.115,114.956,117.178,118.495,119.112,122.32,121.478,125.823,130.016,131.992
"33","24","    Nonmerchant wholesale trade","N805RD3",NA,NA,NA,102.752,101.095,99.166,98.91,97.92,95.781,94.7,93.39,92.606,92.872,94.246,95.947,97.714,99.902,100.022,100.4,100.729,99.325,98.7,97.329,94.402,95.591,96.557,98.094,98.991,102.554,99.452,100.329,102.553,104.834,107.168,110.014,112.465,115.334,116.022,122.191,122.804,123.885,129.485,125.096,125.702,128.502,132.647
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Implicit price deflators are as of the end of the quarter and are consistent with inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","stocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
