"","Table 3#11#3# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"21","13","        Ships","B278RA3",54.288,84.149,64.551,68.56,77.786,83.948,57.204,53.156,46.922,52.158,55.828,60.378,56.152,71.541,66.992,77.719,69.819,73.099,59.728,123.435,218.648,225.283,109.033,181.232,244.052,232.442,181.129,193.093,221.38,261.186,238.51,246.218,236.887,234.529,219.957,101.251,137.555,201.521,221.537,167.161,112.981,175.116,202.729,237.727,267.596,289.035,278.588,228.539,308.468,271.142,278.401,160.871,173.973,150.778,170.865,125.991,137.541,162.777,165.018,120.773,137.578,204.23,266.027,128.533,186.908,186.207,181.348,218.23,158.988,205.792,182.493,179.02,241.748,296.398,275.569,314.916,277.345,323.613,358.211,309.01,327.831,312.99,344.021,391.884,314.675,580.432,272.537,288.949,262.721,257.205,253.057,223.215,178.315,208.716,246.662,112.851,107.745,202.371,146.589,120.539,153.875,153.123,155.309,139.209,148.618,129.4,135.251,135.121,166.62,204.186,219.652,186.753,215.372,226.212,214.795,193.58,189.702,213.503,209.325,172.304,196.075,209.246,233.4,185.965,195.63,207.755,210.462,199.034,196.577,235.164,252.504,205.518,204.176,214.186,236.822,181.97,238.829,201.304,194.109,196.92,211.017,203.899,120.146,126.949,108.11,126.732,119.381,103.673,98.324,108.837,113.353,79.486,104.264,107.92,114.479,107.831,72.762,93.271,95.768,93.588,77.453,98.232,106.454,93.302,265.327,296.761,276.19
"22","14","        Vehicles","B288RA3",46.493,65.934,43.333,52.407,40.19,65.301,37.395,38.143,39.256,51.799,28.691,38.231,51.397,64.58,67.817,70.458,62.652,54.913,48.146,61.816,54.937,73.97,67.031,79.845,77.634,86.995,108.365,89.232,87.827,69.303,88.248,98.761,81.638,108.856,111.311,91.977,86.12,112.133,90.885,99.259,96.689,71.609,85.584,91.487,112.661,112.984,111.283,108.662,143.426,156.587,136.812,130.925,160.753,190.115,180.405,158.367,163.653,175.712,178.502,165.962,166.174,189.824,146.34,122.84,129.543,151.905,161.245,122.494,106.346,116.391,101.482,99.001,87.88,100.187,95.488,95.163,89.315,127.231,86.416,75.201,68.768,72.149,70.817,73.948,63.223,74.007,51.432,45.475,42.776,42.331,40.853,39.061,47.22,48.826,52.3,35.943,38.224,38.977,43.514,38.327,46.795,51.033,43.434,42.747,36.098,35.463,34.458,31.255,26.404,27.026,25.159,25.064,17.323,24.827,22.118,21.711,21.584,22.605,25.579,23.196,23.18,22.111,21.709,23.507,21.319,23.414,24.064,23.734,22.681,22.02,24.83,27.033,27.69,30.755,38.44,39.249,42.951,48.02,55.349,57.158,58.535,70.703,73.498,77.721,77.789,88.411,86.62,106.04,66.191,103.683,112.919,117.208,105.865,102.489,89.936,95.618,81.975,86.458,78.658,82.546,64.659,71.297,72.773,63.816,46.636,46.377,46.2
"23","15","        Electronics","B388RA3",13.91,12.399,10.804,12.615,12.111,11.819,9.439,11.786,10.294,13.355,8.54,9.988,11.136,12.43,7.705,9.507,8.377,8.8,7.182,6.849,7.993,8.972,7.944,10.01,10.721,10.595,11.406,8.946,9.869,10.262,9.735,11.2,11.053,12.487,13.888,12.344,13.601,15.037,14.291,14.311,14.993,15.623,16.272,17.599,18.113,19.046,19.229,19.428,20.085,21.816,19.01,23.453,23.58,24.85,27.725,25.799,25.105,26.784,27.202,27.86,28.754,30.192,29.128,28.807,28.716,29.127,26.983,30.454,28.848,28.937,32.028,27.694,31.262,26.037,31.948,25.636,27.623,29.842,24.927,21.492,24.099,23.589,27.078,25.368,27.223,29.828,26.435,22.879,24.59,23.647,23.479,19.845,19.68,18.041,20.245,16.323,17.076,22.006,21.059,17.508,19.08,19.941,20.69,18.571,19.694,19.065,19.596,18.665,19.922,22.752,24.57,22.095,24.56,26.029,23.198,25.359,24.531,26.067,25.779,26.208,26.996,28.962,30.405,28.197,30.738,33.935,37.541,32.245,36.133,40.312,40.35,41.588,41.636,46.125,54.875,51.611,53.735,54.308,60.355,58.246,63.424,68.056,75.183,71.253,85.988,93.902,102.598,101.96,90.883,100.796,106.003,102.318,93.863,97.779,102.503,98.545,75.099,79.249,79.112,82.117,66.811,70.764,70.364,66.762,55.622,60.326,53.69
"24","16","        Other durable goods","B389RA3",14.179,15.226,12.705,13.081,16.678,17.282,13.346,12.335,13.976,14.351,18.292,16.652,16.259,18.249,17.54,16.17,20.467,17.722,18.011,18.199,17.606,19.696,17.91,15.865,17.415,17.33,19.442,16.605,20.55,21.784,19.691,19.124,22.429,18.269,17.296,18.868,21.159,23.098,22.719,20.495,19.115,24.781,21.741,24.185,22.289,23.38,24.081,23.342,28.173,31.04,28.425,29.277,29.379,37.676,40.635,35.102,31.369,26.774,38.946,34.853,31.615,39.401,40.314,38.658,40.529,32.769,43.291,38.278,41.948,45.303,45.377,42.092,44.904,54.438,43.539,46.824,57.826,46.214,50.918,51.612,51.344,44.841,50.001,51.019,43.572,46.728,45.768,46.506,43.995,46.8,51.408,45.988,45.113,47.173,43.89,46.221,46.726,52.41,51.076,47.883,43.994,44.434,46.997,45.434,42.678,46.977,47.326,45.333,41.239,48.638,54.205,50.721,48.795,49.681,49.655,47.337,46.469,53.372,51.185,47.804,52.028,56.67,60.837,56.438,55.615,63.447,65.475,64.91,74.275,75.063,77.432,72.188,74.418,72.578,72.84,70.882,73.772,76.327,79.655,77.319,78.919,78.139,86.767,88.695,94.478,96.21,99.309,95.919,96.771,101.164,105.049,97.016,95.962,95.349,104.334,102.294,93.498,93.698,95.715,97.999,93.969,91.816,93.606,86.447,87.704,80.857,81.227
"25","17","      Nondurable goods","B725RA3",165.689,163.559,144.89,135.064,129.519,126.763,95.106,101.243,98.971,110.529,92.647,89.003,89.705,90.277,64.769,79.242,68.63,64.615,67.548,59.257,60.405,55.113,67.371,62.621,58.461,60.988,69.599,59.803,60.524,64.016,66.869,64.952,73.075,65.345,70.724,71.159,71.354,75.064,72.619,77.415,72.4,74.104,73.782,74.821,69.882,84.201,81.434,73.545,66.401,74.311,74.191,77.651,77.936,68.868,71.185,67.152,83.053,97.568,88.318,92.487,81.047,84.548,91.336,97.136,88.774,90.008,78.611,85.61,85.936,85.492,84.998,75.758,72.618,75.018,64.745,84.137,86.933,73.366,71.858,69.788,66.548,76.576,72.204,63.973,64.059,64.779,67.251,60.024,57.094,55.035,57.739,63.161,48.812,49.705,48.909,43.437,51.228,55.152,55.133,49.217,54.558,50.621,54.064,52.992,53.003,51.972,58.938,55.35,53.852,59.5,71.79,59.904,71.279,68.228,59.271,58.314,61.027,67.73,64.2,71.473,71.362,77.09,72.89,80.718,83.16,87.672,71.746,84.496,95.27,93.626,102.877,80.257,86.151,97.436,98.814,92.099,89.674,87.899,95.598,92.938,94.321,92.614,94.56,88.739,93.091,95.119,94.992,99.08,93.421,101.192,107.835,97.552,98.295,98.691,93.887,94.78,98.233,96.225,100.647,102.446,97.578,91.045,88.716,91.857,86.143,74.663,73.789
"26","18","        Petroleum products","B780RA3",346.812,339.483,313.06,237.871,235.821,217.816,163.157,166.302,162.911,211.322,173.632,163.766,164.149,164.502,110.81,159.537,138.899,124.104,130.73,102.529,98.118,84.652,128.736,110.726,100.681,100.592,111.872,106.773,102.51,105.581,110.58,108.603,130.298,107.135,117.022,118.46,111.826,114.185,115.81,122.526,111.289,108.685,112.15,105.025,100.651,131.633,127.974,107.893,114.456,114.58,129.153,108.712,122.907,118.806,124.669,108.596,119.676,122.515,113.663,118.624,118.064,102.583,125.89,140.848,109.378,94.515,91.511,115.165,105.93,110.717,112.972,120.965,107.678,107.029,91.924,140.356,135.318,105.2,112.835,88.013,96.331,96.888,97.645,78.5,91.942,89.261,86.956,86.805,87.381,98.218,94.539,85.236,88.847,80.661,89.615,72.357,89.46,85.063,92.424,68.168,75.801,78.254,74.718,72.061,75.882,75.581,74.051,68.162,73.048,83.949,103.97,63.8,83.652,74.069,73.18,68.87,82.468,83.246,86.208,98.434,94.951,102.285,90.949,115.524,122.319,110.359,63.385,95.416,114.859,103.838,124.815,69.389,78.876,111.604,110.331,101.307,91.588,93.754,109.529,102.85,98.56,100.8,98.655,95.477,95.959,101.057,98.712,101.648,92.665,97.458,107.922,101.955,102.086,104.072,99.958,99.292,104.812,101.388,107.387,109.418,106.767,94.364,87.385,98.707,95.901,72.411,66.864
"27","19","        Ammunition","B781RA3",196.409,191.667,183.937,187.673,171.536,166.737,119.83,134.406,121.866,111.019,86.602,85.599,81.409,80.952,57.836,61.855,38.584,33.981,35.614,33.482,51.439,48.931,41.027,52.002,50.809,56.45,71.189,45.188,55.509,62.77,67.392,62.864,56.742,58.444,66.79,67.2,70.825,69.365,68.492,72.724,75.783,86.754,81.031,103.277,92.544,108.159,106.917,99.215,53.445,95.677,67.319,127.888,89.244,43.303,24.587,48.206,100.334,164.359,143.959,144.003,68.908,115.907,124.44,110.184,117.679,145.145,107.962,113.304,127.012,100.412,104.525,73.006,96.415,96.023,77.009,95.75,90.964,87.882,78.616,86.979,58.87,109.403,80.876,77.985,80.014,85.563,87.755,71.338,62.28,51.332,37.052,73.01,35.85,41.4,35.576,30.289,42.767,45.305,34.407,45.116,58.352,45.658,50.547,51.299,48.524,44.256,77.434,62.91,52.335,56.133,72.068,56.721,50.887,48.963,65.446,60.307,58.325,65.834,67.306,66.169,71.196,81.983,84.033,76.181,65.759,84.471,86.551,87.434,101.532,104.655,109.693,109.278,104.633,110.251,117.626,110.007,111.451,107.431,105.564,110.254,106.984,93.595,110.753,95.772,108.762,95.184,104.478,108.252,91.413,102.571,98.806,107.21,100.25,105.209,93.111,98.04,92.487,91.577,96.207,102.103,86.551,90.532,107.415,95.679,70.317,72.826,90.082
"28","20","        Other nondurable goods","B783RA3",36.752,37.905,25.146,29.673,30.15,33.732,27.73,29.789,33.192,35.339,34.104,33.202,35.868,36.77,30.668,27.79,30.236,33.28,34.444,35.716,32.401,31.437,32.564,29.407,27.921,30.069,33.064,29.278,28.737,30.384,30.711,29.776,31.392,34.809,34.789,34.197,40.91,49.405,41.011,45.085,42.784,45.621,43.449,44.414,40.271,40.249,37.37,39.398,36.056,36.969,36.41,35.802,41.164,42.956,50.742,44.089,47.881,46.99,42.88,47.418,59.159,52.781,49.782,58.651,56.495,54.732,51.025,49.475,48.946,57.097,53.274,45.638,37.009,41.902,38.856,37.85,49.685,42.602,39.808,45.849,47.354,43.697,47.251,43.506,36.121,36.362,40.918,34.996,33.379,29.778,42.098,40.344,29.932,32.503,29.761,30.144,30.576,38.689,39.386,36.934,37.193,33.917,39.677,38.868,38.622,38.877,36.982,38.913,38.921,42.369,48.264,52.519,65.205,66.239,43.268,46.575,43.389,52.982,44.129,51.32,50.999,53.382,51.137,54.318,58.399,67.931,64.624,68.953,71.455,74.377,75.518,75.346,82.43,74.189,76.321,72.665,77.296,71.122,72.328,71.681,82.187,80.921,81.593,75.898,82.872,85.585,85.83,92.111,95.252,104.51,111.762,88.476,93.144,89.429,86.712,88.026,92.241,92.202,93.809,93.529,89.213,88.311,85.739,81.159,78.466,81.111,80.133
"29","21","      Services","B489RA3",26.41,29.587,21.616,20.982,21.981,24.499,21.955,22.19,24.697,25.16,23.317,21.855,22.544,22.348,22.269,20.596,21.393,23.529,21.567,21.297,21.178,22.419,23.75,20.072,21.005,21.388,20.973,20.79,22.671,23.763,19.228,20.806,22.287,25.084,23.421,25.318,26.044,25.639,26.577,25.788,30.666,29.65,32.4,32.586,31.035,31.425,30.255,33.049,32.92,32.214,34.077,31.721,32.719,34.737,37.964,39.75,37.908,40.137,42.7,34.617,40.227,41.412,38.343,39.016,41.312,41.234,41.224,44.203,36.823,43.39,42.549,45.294,46.796,45.24,41.494,43.735,48.037,50.186,48.641,44.309,43.944,44.2,49.548,48.211,44.369,40.687,48.773,49.226,43.603,46.074,50.557,45.122,43.671,47.147,43.973,44.119,41.875,46.122,45.449,49.825,41.866,49.697,45.98,48.502,38.347,45.74,45.978,46.834,45.316,44.895,48.764,57.685,42.326,52.576,48.461,49.125,54.157,53.311,54.537,56.953,60.784,61.339,63.928,68.512,65.49,80.098,75.165,81.334,79.979,81.309,84.871,80.404,82.819,81.817,86.737,78.045,84.899,84.425,80.777,85.232,79.561,82.576,87.083,86.99,89.486,87.767,97.215,97.911,93.679,100.253,102.626,103.442,102.893,104.704,110.356,103.518,97.999,102.389,104.241,91.305,93.378,92.366,104.235,82.313,78.709,78.034,80.324
"30","22","        Installation support","B911RA3",43.055,53.896,33.02,31.254,33.434,40.872,38.702,36.171,43.12,39.767,42.312,37.231,40.259,39.903,40.475,38.225,42.395,42.209,38.96,39.718,39.006,41.674,45.854,35.37,37.557,39.152,38.148,36.675,40.835,46.945,34.482,37.135,41.615,47.98,41.115,49.655,52.969,46.479,51.384,44.726,60.925,54.634,60.805,62.692,55.757,56.586,54.294,59.687,61.589,58.949,66.51,57.864,59.866,64.466,68.819,68.222,65.396,66.305,71.824,59.142,70.685,71.306,69.788,67.878,68.237,68.807,66.591,74.849,64.578,69.14,68.251,69.376,78.028,74.91,73.45,78.455,80.323,79.804,78.2,84.455,81.073,76.451,77.61,84.756,86.704,82.556,86.439,89.354,90.973,87.075,89.569,82.117,82.082,84.264,79.08,78.921,79.326,84.747,82.255,84.225,76.461,82.08,79.206,79.858,70.197,77.221,77.909,73.504,72.203,73.763,76.086,85.644,69.972,80.392,78.015,76.647,80.252,79.074,81.625,83.036,86.995,85.04,89.236,91.886,89.96,98.127,100.954,103.586,99.401,95.283,98.443,92.049,86.254,87.503,95.11,91.406,92.625,94.361,88.434,94.481,87.783,88.186,90.024,89.962,90.475,87.855,96.538,97.71,97.643,100.22,100.775,101.362,99.605,101.349,106.648,99.697,93.038,96.802,99.051,90.651,91.239,89.741,101.616,79.771,79.894,79.376,79.986
"31","23","        Weapons support","B912RA3",25.645,24.03,21.745,16.472,24.141,23.131,15.586,18.151,24.354,25.368,19.993,17.839,19.683,20.857,17.708,16.333,19.111,21.427,20.977,17.656,19.974,19.532,19.058,16.487,17.444,17.824,19.072,19.671,24.089,22.701,18.74,24.141,27.547,29.129,28.804,30.516,27.719,32.335,31.144,36.486,39.302,40.085,37.241,41.692,42.129,39.828,39.409,45.071,41.273,41.007,42.777,41.706,40.688,43.016,49.716,56.167,49.085,56.191,58.287,46.014,50.965,52.274,48.995,49.968,55.399,54.064,53.052,57.666,42.192,55.399,55.27,62.902,62.39,60.065,52.428,55.186,49.887,49.629,44.158,45.103,43.395,36.781,44.753,45.138,38.117,33.485,38.426,43.342,34.02,37.855,44.796,42.954,39.016,42.887,38.359,37.655,30.148,33.99,34.432,47.878,33.625,44.465,40.778,47.56,29.889,41.33,39.973,45.588,36.774,37.058,42.895,57.965,29.963,49.786,45.83,49.589,56.909,55.093,51.746,54.044,58.715,57.108,67.724,79.678,65.895,82.402,84.469,85.882,79.865,76.197,87.939,80.431,84.408,83.513,98.413,84.13,86.209,93.277,81.449,98.928,85.998,91.188,96.085,93.5,94.23,86.417,105.639,99.922,90.201,98.489,104.021,107.289,102.289,109.801,122.663,110.406,96.028,111.556,116.956,96.375,98.911,97.139,123.969,73.81,74.133,73.791,73.475
"32","24","        Personnel support","B913RA3",12.171,12.467,9.552,12.092,9.948,11.764,8.941,12.801,11.7,11.094,9.908,10.275,10.549,10.394,9.873,8.854,8.861,10.57,9.166,9.314,8.086,9.893,10.502,10.348,9.675,9.761,9.389,9.212,8.87,9.268,7.651,7.988,7.299,8.751,7.44,9.79,9.417,9.633,9.131,9.081,9.66,9.764,12.401,12.671,12.24,12.549,11.223,12.913,11.046,11.214,12.025,10.931,12.447,12.519,15.877,18.006,15.191,17.875,21.564,14.482,18.685,18.286,16.219,17.039,19.747,19.563,20.796,23.666,15.271,23.054,21.551,25.136,25.107,21.577,15.493,16.105,17.087,16.022,15.984,20.419,22.18,18.817,24.813,30.037,24.721,18.875,27.351,28.892,22.942,27.299,30.963,26.011,24.54,29.139,26.955,27.121,24.361,29.597,31.292,32.956,26.615,36.271,31.298,33.833,23.709,31.336,31.982,33.578,33.3,32.053,37.091,45.181,31.244,40.36,34.581,35.95,41.805,40.855,42.806,44.453,49.055,52.206,52.989,59.206,51.256,63.123,58.415,70.87,70.104,75.021,77.713,74.46,75.814,76.732,81.515,77.317,82.223,84.99,76.042,80.94,73.023,75.386,79.005,81.195,86.249,87.644,97.975,101.768,93.926,100.915,102.538,102.621,103.401,104.321,108.908,101.996,100.081,103.542,105.497,91.185,95.888,97.142,107.727,91.613,85.763,86.052,91.31
"33","25","        Transportation of material","B786RA3",50.617,53.264,45.583,44.098,40.573,42.644,41.843,37.578,35.987,44.665,35.077,38.097,36.844,32.615,32.552,35.972,28.906,37.804,31.939,32.941,35.434,33.115,33.407,31.003,32.388,31.562,28.893,30.589,34.215,30.414,28.407,28.459,30.065,32.917,35.608,28.413,33.947,31.955,32.421,30.626,33.018,33.695,36.104,32.971,35.111,39.446,40.741,37.807,40.275,41.401,36.706,42.341,38.959,42.95,40.54,39.395,50.707,45.637,44.218,41.367,40.185,45.484,40.527,46.818,45.32,49.886,53.504,40.616,49.886,54.549,55.917,44.975,47.383,55.574,64.911,69.272,110.932,129.206,110.054,57.783,55.83,95.793,88.455,42.834,39.292,47.575,71.605,58.018,45.894,45.986,43.598,41.842,44.966,50.849,49.979,52.781,56.828,54.751,47.005,47.795,42.28,42.533,42.009,42.456,42.962,44.357,44.108,43.904,49.64,45.665,43.47,44.904,45.19,44.169,43.51,40.335,41.515,43.784,46.046,54.963,55.707,52.44,46.147,33.7,79.84,127.291,77.607,68.916,78.483,81.245,74.548,68.867,82.345,77.836,59.788,30.555,65.641,40.289,76.031,55.907,73.852,84.891,101.65,100.437,96.424,88.912,80.917,77.209,86.924,99.369,105.668,108.039,108.659,106.313,106.861,109.198,104.371,96.936,92.177,83.631,74.002,63.881,58.414,52.511,46.003,41.339,38.105
"34","26","        Travel of persons","B785RA3",52.503,62.458,45.717,49.378,49.581,51.346,61.518,49.979,52.603,64.386,60.937,55.123,46.174,50,62.684,41.108,41.321,48.253,47.753,47.262,43.184,49.592,53.013,44.655,52.197,51.527,51.493,50.861,47.314,49.32,48.746,45.006,42.414,46.719,51.339,41.206,41.659,49.667,52.617,52.892,55.914,60.354,73.689,56.358,55.16,57.13,52.758,55.783,67.527,63.536,60.63,56.588,66.35,69.013,68.108,69.765,76.283,78.121,68.968,70.146,79.799,91.456,70.756,74.595,80.908,76.081,75.032,73.118,88.115,77.603,76.326,83.722,68.357,81.606,81.148,81.558,113.491,147.301,172.978,76.445,77.208,106.782,138.425,83.016,75.73,82.166,99.16,78.885,62.319,76.193,100.992,79.321,73.852,68.272,66.41,67.529,68.735,67.787,56.931,72.329,66.607,66.416,66.542,64.89,64.468,65.14,65.895,67.848,70.247,71.053,71.051,72.161,70.593,70.385,70.353,66.872,66.683,67.8,70.864,76.872,72.726,70.92,67.962,62.12,72.344,89.402,87.894,84.764,90.938,96.511,96.605,101.652,133.078,105.185,96.616,69.588,98.097,63.976,95.529,78.967,91.728,94.466,101.644,88.051,89.64,90.56,87.975,85.466,94.083,100.911,103.182,101.824,107.622,104.482,104.607,104.323,98.03,94.141,90.906,89.121,88.142,83.601,82.303,77.036,68.428,62.565,61.186
"35","27","  Less: Own-account investment \4\","W088RA3",46.528,47.432,48.022,48.804,47.975,47.853,47.786,48.041,47.252,47.242,46.878,46.212,45.884,45.051,44.894,45.178,45.318,44.892,44.582,44.592,44.04,43.811,43.189,43.269,43.507,44.017,44.376,44.729,45.574,45.974,46.234,46.121,46.206,46.424,46.979,47.304,47.507,47.77,48.531,48.942,49.805,51.222,53.03,54.771,56.707,58.846,60.664,62.019,63.425,65.203,67.036,68.519,70.207,72.037,74.352,75.725,77.122,77.991,78.771,79.161,79.292,79.751,80.104,80.299,80.568,80.705,80.74,80.741,80.961,81.972,82.802,84.177,84.616,82.614,82.662,81.197,79.276,78.496,77.595,76.632,77.115,75.885,75.065,73.036,72.983,72.357,71.653,70.091,68.837,68.212,68.513,67.627,68.049,67.028,66.784,65.397,64.857,64.437,64.554,63.656,64.435,63.488,62.077,61.197,62.28,63.278,62.052,59.788,57.796,62.385,62.177,62.091,61.364,62.906,64.681,66.928,70.957,72.186,74.073,77.019,79.341,80.664,81.783,83.188,83.587,84.286,83.934,84.401,82.414,82.887,83.416,84.452,84.719,86.06,87.281,88.453,88.898,90.396,92.275,94.705,96.848,98.532,99.691,100.166,100.571,100.476,100.193,100.064,99.549,99.726,100.02,100.705,100.583,99.187,99.749,100.527,101.827,102.309,102.173,101.68,98.625,96.968,96.106,95.078,95.103,94.982,94.545
"36","28","  Less: Sales to other sectors","W089RA3",77.109,119.018,84.119,102.488,97.525,193.918,188.366,130.363,212.581,219.81,198.043,172.708,243.328,185.676,31.389,44.752,39.243,48.596,48.744,30.243,56.038,93.615,74.159,32.71,47.474,51.529,68.305,85.829,68.836,50.174,44.512,71.096,64.899,56.844,89.39,99.014,108.443,61.947,115.319,70.227,108.277,84.304,53.737,131.846,52.911,40.992,23.39,59.161,53.745,45.576,98.438,39.237,34.845,52.757,71.421,51.248,28.164,54.133,64.262,63.159,65.75,61.275,78.307,38.747,58.102,66.665,115.681,47.132,68.236,60.563,62.022,41.709,61.751,60.898,112.908,162.062,85.994,100.498,114.387,51.461,99.819,141.471,128.767,64.873,110.498,115.726,158.597,75.53,178.627,225.745,139.644,223.979,113.796,78.255,71.698,104.602,87.071,103.6,127.648,110.966,74.024,95.963,82.105,78.277,92.333,26.856,111.175,42.932,32.8,61.644,106.26,66.198,120.829,51.792,81.793,39.788,110.714,52.799,61.998,67.864,58.966,46.493,133.087,64.303,88.908,82.446,79.4,78.013,76.694,79.204,82.962,90.1,90.73,98.235,107.441,117.559,127.082,130.721,128.228,119.933,100.85,91.62,86.62,90.585,97.298,101.519,103.404,104.664,103.388,99.373,100.859,96.381,93.388,92.324,93.451,96.298,97.448,98.564,99.704,99.515,97.425,97.301,97.018,95.896,94.556,90.243,91.915
"37","29","Gross investment \5\","B788RA3",24.218,26.939,23.166,25.067,28.225,26.995,24.265,24.05,26.679,27.494,28.52,28.544,27.659,25.749,30.928,31.166,30.999,29.421,31.163,31.145,31.922,32.201,31.369,30.135,29.612,31.515,31.81,34.013,33.08,33.552,36.628,35.692,37.76,36.684,36.299,38.32,38.469,40.983,42.089,43.449,43.153,46.736,46.573,49.63,50.308,52.768,54.849,57.747,58.221,59.783,59.926,66,66.068,71.521,75.064,75.352,73.979,77.263,84.805,83.095,83.397,87.19,89.488,86.55,82.09,81.61,80.834,80.316,79.399,78.323,81.181,77.79,78.674,79.622,79.324,78.694,74.324,75.1,72.759,69.064,69.258,69.737,69.564,66.931,62.951,62.315,60.357,61.279,56.32,57.821,60.543,56.372,56.451,56.573,54.443,54.25,56.351,56.459,54.935,52.064,49.725,49.829,52.381,52.396,49.5,50.781,53.267,51.258,49.532,51.782,53.395,52.226,51.896,51.921,52.631,52.589,52.576,54.919,56.287,57.242,58.138,61.918,64.811,65.285,66.462,69.228,70.441,71.844,72.947,74.88,78.632,77.988,77.733,80.124,81.735,80.482,81.885,85.531,83.858,86.824,86.057,90.013,90.379,90.504,91.79,98.052,100.516,101.433,97.182,100.77,101.89,100.158,98.987,101.326,102.156,103.26,95.422,96.591,95.234,95.241,89.833,91.523,91.346,89.58,85.413,87.509,88.497
"38","30","  Structures","B808RA3",79.242,76.787,76.402,73.839,72.134,73.601,77.407,77.96,74.304,74.96,64.491,61.7,63.525,63.29,70.961,70.045,69.082,56.015,53.386,58.335,65.259,65.61,55.428,52.992,53.635,67.26,61.069,60.36,51.482,49.991,52.968,51.379,58.867,58.753,66.68,55.62,54.115,61.069,50.891,62.667,64.416,62.825,67.311,75.131,79.975,79.868,79.33,81.071,75.033,76.403,79.529,79.463,82.825,97.721,99.785,99.034,99.827,102.07,110.035,100.325,106.894,110.223,110.071,117.089,103.9,112.763,97.597,96.556,87.04,81.479,82.858,78.87,80.171,79.844,80.151,66.788,59.307,58.868,53.645,54.819,62.979,66.004,57.376,63.852,57.543,59.368,64.468,60.522,57.232,62.528,67.847,64.174,72.684,68.956,70.533,68.217,67.016,66.645,62.294,60.452,59.4,59.554,63.816,59.137,55.973,58.723,59.535,50.229,53.224,51.865,49.05,45.089,45.68,46.664,51.483,47.46,43.501,47.82,44.307,46.09,47.823,49.828,53.134,52.927,56.846,57.607,58.532,55.28,56.184,52.804,54.589,47.762,51.416,49.456,51.049,47.364,47.555,49.931,47.857,53.381,53.509,68.224,61.487,56.3,61.402,76.328,84.268,92.34,94.988,98.619,104.378,102.015,93.87,98.508,101.207,97.281,88.961,82.79,72.053,61.679,53.144,46.795,39.747,47.925,36.679,36.734,36.427
"39","31","  Equipment","Y050RA3",9.885,13.337,8.272,10.852,15.176,13.517,9.744,9.695,14.036,15.449,17.906,18.401,17.153,14.41,21.647,21.861,21.375,19.727,22.24,21.757,22.222,22.501,21.886,20.207,19.336,21.094,21.768,24.813,23.728,24.28,28.371,26.817,29.207,27.22,25.495,28.698,28.218,30.803,32.343,32.872,31.477,36.075,34.513,37.616,37.177,39.731,41.97,45.284,45.616,46.521,44.972,52.318,50.211,55.973,60.279,60.215,57.914,62.637,73.234,69.865,68.011,72.866,76.259,71.164,65.757,65.03,65.884,66.021,66.529,65.968,71.255,65.983,67.542,70.117,70.453,71.905,67.235,70.276,68.11,62.285,62.008,63.507,64.925,60.895,55.339,54.851,51.386,54.554,46.638,48.986,53.304,46.93,46.792,47.604,43.917,43.742,47.614,47.798,45.396,40.299,36.486,37.118,41.579,41.93,36.935,38.85,43.465,41.685,38.997,42.591,45.826,44.69,44.499,44.21,44.759,44.705,44.707,47.848,49.789,50.026,50.407,55.777,59.175,58.045,57.801,61.292,61.985,63.624,64.193,66.895,72.267,71.124,69.076,73.315,75.498,73.598,76.35,82.336,78.306,82.064,79.601,84.157,85.84,86.669,88.192,98.332,102.446,103.243,94.604,101.591,103.006,100.799,99.594,104.03,104.753,108.56,94.773,99.331,99.172,101.408,93.514,99.451,101.08,95.848,89.786,94.172,96.471
