"","Table 5#9# Changes in Net Stock of Produced Assets (Fixed Assets","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"11","3","    Private","K160031",629.7,687.6,722.8,751.2,782.6,854.1,920.4,966.9,990.6,1034,1067.3,1103.2,1145.2,1181.7,1266.6,1352.8,1470,1581.9,1746.5,1898.6,2052.8,2286.2,2526,2876.1,3389.2,3706.8,4086.6,4663.8,5340.9,6187.5,7049,7781.3,8205.7,8495.6,8996.4,9511,10141.4,10750.2,11454.8,12140.3,12716.9,12989.7,13536.2,14253.2,15143.6,15877.7,16704.1,17646.4,18728.9,19975.2
"12","4","    Government","K160041",211.5,236.7,254.1,259.3,275.2,296.9,329.1,343.2,361.3,371.6,385.1,404.4,430.7,451.6,473.7,504,544.9,588.6,638.9,703.2,782.4,847.5,923.4,1038.8,1276.6,1341.1,1418.1,1507.1,1648,1877,2148.9,2360.7,2491.3,2550.9,2650.3,2766.5,2936.2,3092.6,3251.3,3428.5,3600.7,3722.1,3885.1,4064.3,4295.2,4504.7,4681.8,4901.2,5101.1,5398.9
"13","5","  Private inventories \1\","K160051",113.7,126.8,118.4,116.6,114.6,115.6,124.3,127.5,131.2,132.9,136.2,139.6,147.2,149.7,154.3,169.3,185.7,194.9,208.2,227.7,236,253.9,283.9,352.2,406.3,409.3,440.1,482.4,571.4,668.2,739.8,779.2,774.1,797.6,869.3,876.1,858,924.2,999.2,1044.4,1082.3,1057.2,1082.4,1115.8,1194.3,1257,1284.4,1329.5,1346.8,1442.2
"14",NA,"Accumulation of produced assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","Gross fixed investment","K160061",67.9,72.8,78.5,78.3,85,91,94.1,91.3,103.9,103.9,106.5,115.3,121.8,131.9,144.5,157.5,161.7,175.8,190.5,194,211.7,241.1,275.5,291.7,299.6,341.2,406.5,489.2,563.4,585.8,649.5,644.5,692.9,809.6,873.2,913.2,942.1,989.2,1044.9,1062.2,1023.6,1071.6,1151.5,1254.6,1345.6,1454.4,1569.9,1700.7,1845.5,1983.5
"16","7","  Private \2\","K160071",50.3,50.5,54.5,55.8,64,68.1,69.7,64.9,74.6,75.7,75.2,82,88.1,97.2,109,117.7,118.7,132.1,147.3,150.4,169.9,198.5,228.6,235.4,236.5,274.8,339,412.2,474.9,485.6,542.6,532.1,570.1,670.2,714.4,739.9,757.8,803.1,847.3,846.4,803.3,848.5,932.5,1033.3,1112.9,1209.5,1317.8,1438.4,1558.8,1679
"17","8","    Nonresidential","K160081",31.8,31.9,35.1,34.7,39,44.5,47.5,42.5,46.5,49.4,48.8,53.1,56,63,74.8,85.4,86.4,93.4,104.7,109,114.1,128.8,153.3,169.5,173.7,192.4,228.7,280.6,333.9,362.4,420,426.5,417.2,489.6,526.2,519.8,524.1,563.8,607.7,622.4,598.2,612.1,666.6,731.4,810,875.4,968.7,1052.6,1133.9,1232.1
"18","9","      Structures","K160091",12,12.2,13.6,13.9,15.2,18.2,19,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.2,282.2,313.2
"19","10","      Equipment and software","K160101",19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.4,29.8,29.1,32.3,34.8,39.2,46.5,54,54.9,59.9,67,68.7,71.5,81.7,98.3,108.2,112.4,126.4,154.1,187,216.2,226.2,252.7,248.9,262.9,312.2,331.7,343.3,349.9,381,414,419.5,414.6,439.6,489.4,544.6,602.8,650.8,718.3,777.3,851.7,918.9
"20","11","    Residential","K160111",18.4,18.6,19.4,21.1,25,23.6,22.2,22.3,28.1,26.3,26.4,29,32.1,34.3,34.2,32.3,32.4,38.7,42.6,41.4,55.8,69.7,75.3,66,62.7,82.5,110.3,131.6,141,123.2,122.6,105.7,152.9,180.6,188.2,220.1,233.7,239.3,239.5,224,205.1,236.3,266,301.9,302.8,334.1,349.1,385.8,424.9,446.9
"21","12","  Government \3\","K160121",17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,39.8,43,43.6,43.3,43.6,41.8,42.6,46.8,56.3,63.1,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.9,139.4,158.8,173.2,184.3,186.1,197.7,215.7,220.3,223.1,219,221.4,232.7,244.9,252.2,262.4,286.8,304.5
"22","13","    Structures","K160131",9.5,11.1,11.7,12.1,12,13.4,14.9,16.5,16.9,16.6,18,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,120.8,124.9,134.4,144.7,155,159.3,175.3,189.3
"23","14","    Equipment and software","K160141",8.1,11.2,12.3,10.4,9,9.5,9.5,10,12.4,11.7,13.3,14.7,13.7,13.6,12.7,14.7,16.5,15.1,14.3,14.4,10.5,11,12.5,15.9,18.6,21.5,23.2,25.6,30.7,34.9,40.5,47.3,57.1,66.8,77.7,84.2,88.8,87.2,95.7,103.1,103.3,103.4,98.2,96.4,98.4,100.2,97.1,103.1,111.5,115.2
"24","15","Less: Stock reconciliation adjustments","K160151",0.6,0.4,0.6,0.6,0.7,0.9,0.9,0.1,1,1.1,1.1,1.1,0.8,0.9,0.9,0.6,0.8,0.7,0.9,1,1.1,1.2,1.2,0.6,1.3,0.2,0.7,1.3,0.8,1,2.5,0.6,6.8,2.9,2.1,2.3,6.8,7.2,5.4,16.2,6.6,2.9,13.5,3.6,-3.9,-2.6,8.2,12.3,19,15.3
"25","16","  Private \4\","K160161",0.5,0.4,0.4,0.5,1,1,0.9,0.1,1,1.1,1,1,0.8,0.9,1,0.6,0.8,0.6,0.8,0.7,0.7,0.9,1.1,0.3,0.8,-0.5,-0.2,-0.1,-0.6,-0.5,2,0.3,6.1,2.1,1.1,1.4,5.8,6.3,4.8,15.5,6.2,1.5,12.1,3,-2.4,4.7,8.3,12.3,18.8,15.2
"26","17","  Government \5\","K160171",0.1,0,0.2,0,-0.3,-0.1,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.2,0.4,0.2,0.1,0.2,0.5,0.7,0.9,1.3,1.4,1.5,0.5,0.3,0.8,0.7,1,0.9,1,0.9,0.6,0.6,0.4,1.3,1.4,0.6,-1.5,-7.2,-0.1,0,0.2,0.1
"27","18","Less: Consumption of fixed capital, except disaster losses \6\","K160181",33.2,35.7,37.8,39.9,42.1,46.4,49.9,52,53,55.6,57.2,59.3,62.4,65,69.4,75.6,81.5,88.4,97.9,106.7,114.9,124.9,138.6,162.3,187.7,205,229.7,262.3,299,342.4,388.1,426,442.7,472.6,505,531.3,561.9,597.6,636.3,682.5,724.4,734,772.3,813.9,875.9,918.1,974.4,1030.2,1097.8,1187.8
"28","19","  Private","K160191",24.6,26.1,27.3,28.7,30.3,33.6,36.3,38.2,38.6,40.5,41.6,42.8,44.9,46.9,50.5,55.5,59.9,65.2,73.1,80,86.6,95.5,107.3,126.4,147.8,162.3,184,212.8,244.6,280.6,317.9,348.9,361,385.6,412.3,431.8,455.3,483.5,514.2,551.6,585.3,589.4,620.6,655.6,710.9,748.8,800.3,851.2,910.8,990.8
"29","20","    Nonresidential","K160201",19.6,20.8,21.7,22.9,24.1,26.9,29.3,30.9,31,32.6,33.3,34.1,36,37.5,40.4,44.6,48.3,52.6,59.1,65,70,77.4,86.4,102.4,120.6,132.7,150.5,173.8,199.9,229.3,261,288.3,298.1,318.8,343.4,356.8,374.9,397.8,426,456.1,487.7,496.4,514,542.3,590.2,620.9,665.2,708.4,758.7,827.3
"30","21","      Structures","K160211",5.9,6.2,6.5,6.6,6.9,7.8,8.4,8.5,9,9,9.2,9.5,9.8,10.2,10.8,11.7,12.5,13.6,15,16.5,18.3,20,23.1,27.7,32.1,34.5,38.7,43.9,50.9,57.3,69.1,78,77.7,80.8,85.4,88.8,89.9,96.2,101.2,107.1,111.2,110.7,115.6,119.6,128,133.7,142.3,152.5,158.6,167.9
"31","22","      Equipment and software","K160221",13.7,14.5,15.2,16.2,17.1,19.1,20.9,22.4,21.9,23.6,24.2,24.7,26.3,27.4,29.6,32.9,35.8,39,44,48.4,51.7,57.4,63.3,74.7,88.5,98.2,111.7,129.9,149,172,191.9,210.3,220.4,238,258,268,285,301.7,324.8,349,376.5,385.7,398.4,422.8,462.2,487.2,522.9,555.9,600.1,659.4
"32","23","    Residential","K160231",5,5.3,5.6,5.9,6.2,6.7,7,7.2,7.6,8,8.3,8.6,8.9,9.4,10.1,10.8,11.6,12.7,14.1,15.1,16.6,18.1,20.9,24,27.1,29.6,33.5,39,44.6,51.3,56.9,60.6,62.9,66.8,68.9,75.1,80.3,85.7,88.3,95.5,97.6,93,106.5,113.3,120.7,127.9,135.1,142.8,152.1,163.6
"33","24","  Government","K160241",8.7,9.6,10.5,11.2,11.8,12.8,13.6,13.9,14.5,15,15.6,16.5,17.5,18.1,18.9,20.1,21.6,23.1,24.8,26.7,28.3,29.5,31.4,35.9,40,42.7,45.7,49.5,54.5,61.8,70.1,77.1,81.7,87,92.7,99.5,106.7,114.1,122,130.9,139.1,144.6,151.8,158.3,165,169.3,174.1,179,187,197
"34","25","    Structures","K160251",3.5,3.7,3.9,3.9,4.1,4.6,5,5.2,5.4,5.5,5.8,6.1,6.4,6.8,7.2,7.8,8.4,9.2,10.2,11.5,12.8,13.9,15.6,19.1,21.5,22.3,23.5,25.2,28.3,32.5,36.7,39.6,40.4,41.3,42.8,45,47.7,49.9,52.2,54.9,56.8,58.5,61.2,64.2,68.2,71.5,75.8,79.4,83.8,89.4
"35","26","    Equipment and software","K160261",5.2,5.8,6.6,7.3,7.7,8.2,8.6,8.7,9.1,9.5,9.8,10.4,11,11.3,11.7,12.3,13.1,13.9,14.6,15.2,15.5,15.6,15.7,16.8,18.5,20.4,22.1,24.3,26.2,29.3,33.4,37.6,41.3,45.7,50,54.5,59,64.2,69.8,76.1,82.2,86.1,90.5,94,96.8,97.7,98.4,99.6,103.2,107.6
"36","27","Change in private inventories \7\","K160271",9.9,3.5,1.9,-1.9,5,4,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.1,30.8,72,70.8,66.9,56.5
"37",NA,"Other changes in volume of assets"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","28","Less: Other changes in volume of assets","K160281",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.7,0.5,0.6,0.5,1.6,1.1,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,8.8,0,2.3,18,4.1,21.5,2.4,0,0,0,3.5,0
"39","29","  Private fixed assets \8\","K160291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.6,0.6,0.2,0,0.2,0.3,0,1.1,0.5,0,0.9,1.1,0,1.7,0,0,0,7.8,0,1.5,17.9,4.1,19.5,2.4,0,0,0,3.5,0
"40","30","  Government fixed assets \9\","K160301",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.7,0.5,0.6,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7,0,0,2,0,0,0,0,0,0
"41","31","    General government","K160311",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.7,0.5,0.6,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.7,0,0,1.7,0,0,0,0,0,0
"42","32","    Government enterprises","K160321",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.3,0,0,0,0,0,0
"43",NA,"Revaluation"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","33","Nominal holding gains or losses (-)","K160331",52.2,4.1,-10.3,9.7,46.8,59.7,19.6,6.7,1.7,-0.3,7.4,14.8,-4.3,40.8,48,80,75.9,133.1,135.4,154.1,213,223.1,383.4,662.4,280.9,334.6,510.4,655.4,892,969.5,694.8,347.8,136.5,272.3,251.4,395.9,430.9,535.3,485.8,408.6,79.2,401.6,547.1,720.5,503.9,461.4,547.4,570.6,847.3,930.2
"45","34","  Neutral holding gains or losses (-) \10\","K160341",40.8,16.1,13.1,9,31.8,49.5,41.6,22.6,18.2,24.5,15.2,23.5,23.8,30,41.4,67.9,78.9,113.9,146.2,153.5,157.7,156.2,306.1,519.5,357.3,330.1,428.6,528.9,810.3,941.7,749.2,502.1,379.1,403,350.5,333.3,454.6,584.7,594.6,748.8,416.6,419.5,381.9,457.6,402.3,398.6,197.6,214.1,597.9,634.8
"46","35","    Fixed assets","K160351",35.5,14.2,11.7,8.2,28.7,45,38,20.7,16.6,22.4,13.9,21.5,21.7,27.5,37.9,61.9,72.1,104.3,134.3,141.5,145.5,144.5,282.3,476,330.3,304.8,395.9,489.5,749.3,873.3,692.1,468.4,354.5,373.8,326.2,311.7,426.4,548.3,556.6,702.1,391.3,394.6,359.5,430,378.9,375.4,185.7,201.8,565.1,600.1
"47","36","      Private","K160361",27,10.6,8.7,6.2,21.4,33.7,28.3,15.4,12.3,16.6,10.3,15.9,15.9,20.1,27.9,45.6,53.1,76.9,99.5,104.5,106.8,107,209.5,353.6,242.5,226,297.5,374.7,579.1,676.2,536.1,362.1,273.9,290.2,254.2,243.2,332.8,428.5,436.5,550,306.3,307.9,281,336.6,297.4,294.6,146.8,159.1,447,476.6
"48","37","      Government","K160371",8.5,3.5,3,2,7.3,11.3,9.7,5.3,4.3,5.8,3.6,5.6,5.8,7.4,10,16.3,19,27.4,34.8,37,38.6,37.4,72.7,122.4,87.8,78.8,98.4,114.9,170.2,197,156,106.3,80.6,83.6,72,68.5,93.5,119.8,120.1,152.1,85,86.7,78.6,93.4,81.5,80.8,38.9,42.7,118.1,123.4
"49","38","    Private inventories \1\","K160381",5.3,1.9,1.4,0.9,3.1,4.5,3.6,1.9,1.6,2.1,1.3,2,2.1,2.5,3.5,6,6.8,9.5,11.9,12,12.2,11.7,23.8,43.4,26.9,25.4,32.6,39.3,61,68.5,57.1,33.7,24.5,29.2,24.3,21.6,28.3,36.4,38.1,46.7,25.3,24.9,22.4,27.5,23.4,23.2,11.9,12.3,32.8,34.7
"50","39","  Real holding gains or losses (-)","K160391",11.4,-12,-23.4,0.6,14.9,10.2,-22,-15.9,-16.6,-24.8,-7.8,-8.7,-28.1,10.9,6.6,12.2,-3,19.3,-10.8,0.6,55.3,66.8,77.4,142.9,-76.3,4.4,81.9,126.6,81.7,27.8,-54.4,-154.2,-242.5,-130.7,-99.1,62.6,-23.7,-49.4,-108.8,-340.3,-337.4,-17.9,165.2,263,101.5,62.8,349.8,356.5,249.4,295.4
"51","40","    Fixed assets","K160401",13.7,1.8,-18.2,1.5,22.1,9.9,-20.7,-18,-12.7,-22.8,-6.8,-8.3,-23,13.6,4.4,15.3,4.5,24.6,-9.2,6.3,57.8,57.8,48.7,146.3,-58.7,16.2,94.4,102.7,63.8,18.3,-6.9,-130.4,-247.3,-107.8,-59.8,108.9,-34.5,-69.5,-88.2,-316.9,-287.4,-1.9,175,275.7,93.5,89.3,388.6,422.3,253.7,292.8
"52","41","      Private","K160411",5.7,0.6,-7.2,-1.2,17.3,-0.8,-14.3,-18.3,-3.9,-17.3,-6.9,-12.1,-21.9,15.4,0.7,10.1,0.8,21.4,-20.8,-19.8,44,32.2,21,51,-12.7,41,124.8,103,37.6,-19.7,-26.4,-119.7,-185.9,-71.9,-38.9,80.5,-20.8,-37.2,-71.3,-252.7,-243.7,-1,140.4,198.6,34.8,75.8,286.3,348.5,173.7,209.9
"53","42","      Government","K160421",7.9,1.2,-11,2.7,4.9,10.8,-6.4,0.3,-8.8,-5.5,0,3.9,-1.1,-1.8,3.6,5.3,3.7,3.2,11.6,26.1,13.8,25.5,27.7,95.2,-46,-24.8,-30.4,-0.2,26.2,38,19.5,-10.6,-61.4,-35.9,-20.9,28.4,-13.7,-32.3,-16.9,-64.2,-43.7,-0.9,34.7,77.2,58.7,13.5,102.3,73.8,80,83
"54","43","    Private inventories \1\","K160431",-2.2,-13.8,-5.2,-0.8,-7.2,0.3,-1.3,2.1,-3.8,-1.9,-1,-0.5,-5.2,-2.7,2.2,-3.1,-7.5,-5.3,-1.6,-5.7,-2.5,9.1,28.6,-3.3,-17.6,-11.8,-12.6,23.8,17.8,9.4,-47.4,-23.9,4.8,-22.9,-39.3,-46.3,10.8,20.2,-20.6,-23.3,-50,-16.1,-9.8,-12.8,8.1,-26.5,-38.8,-65.8,-4.3,2.6
"55",NA,"Closing balance"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","44","Produced assets \11\","K160441",1051.1,1095.3,1127,1172.5,1266.5,1373.8,1437.5,1483,1538.4,1588.7,1647.2,1723.1,1783,1894.6,2026.1,2200.7,2365.4,2593.6,2829.4,3071.2,3387.6,3733.2,4267,5072,5457.3,5944.8,6653.4,7560.3,8732.7,9937.7,10921.2,11471.1,11844.2,12516,13153.6,13935.6,14767,15705.3,16613.2,17399.8,17769,18503.7,19433.2,20633.2,21639.3,22670.3,23877.1,25176.8,26816.2,28583.2
"57","45","  Fixed assets","K160451",924.3,976.9,1010.5,1057.9,1150.9,1249.5,1310,1351.8,1405.6,1452.4,1507.7,1575.9,1633.2,1740.2,1856.8,2015,2170.5,2385.4,2601.8,2835.2,3133.7,3449.4,3914.9,4665.8,5047.9,5504.7,6171,6988.9,8064.5,9198,10142,10697,11046.5,11646.7,12277.5,13077.6,13842.8,14706.1,15568.8,16317.5,16711.8,17421.3,18317.5,19438.9,20382.4,21385.9,22547.6,23829.9,25374.1,27047.3
"58","46","    Private","K160461",687.6,722.8,751.2,782.6,854.1,920.4,966.9,990.6,1034,1067.3,1103.2,1145.2,1181.7,1266.6,1352.8,1470,1581.9,1746.5,1898.6,2052.8,2286.2,2526,2876.1,3389.2,3706.8,4086.6,4663.8,5340.9,6187.5,7049,7781.3,8205.7,8495.6,8996.4,9511,10141.4,10750.2,11454.8,12140.3,12716.9,12989.7,13536.2,14253.2,15143.6,15877.7,16704.1,17646.4,18728.9,19975.2,21334.6
"59","47","    Government","K160471",236.7,254.1,259.3,275.2,296.9,329.1,343.2,361.3,371.6,385.1,404.4,430.7,451.6,473.7,504,544.9,588.6,638.9,703.2,782.4,847.5,923.4,1038.8,1276.6,1341.1,1418.1,1507.1,1648,1877,2148.9,2360.7,2491.3,2550.9,2650.3,2766.5,2936.2,3092.6,3251.3,3428.5,3600.7,3722.1,3885.1,4064.3,4295.2,4504.7,4681.8,4901.2,5101.1,5398.9,5712.7
"60","48","  Private inventories \1\","K160481",126.8,118.4,116.6,114.6,115.6,124.3,127.5,131.2,132.9,136.2,139.6,147.2,149.7,154.3,169.3,185.7,194.9,208.2,227.7,236,253.9,283.9,352.2,406.3,409.3,440.1,482.4,571.4,668.2,739.8,779.2,774.1,797.6,869.3,876.1,858,924.2,999.2,1044.4,1082.3,1057.2,1082.4,1115.8,1194.3,1257,1284.4,1329.5,1346.8,1442.2,1535.9
"61",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","49","  Intersectoral auto valuation adjustment \12\","K160491",0.2,0.1,0.1,0.3,0.5,0.6,0.4,-0.3,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,1.1,1.1,1.2,1.4,1.3,0.9,0.7,1,1.2,1.4,1.6,2.7,1.6,2.1,-2.5,-4,-2.1,-1.3,2,1.6,7.5,4.2,2.7,8.5,1.2,-8.7,-6.3,-2.8,0.4,6,2.4
"63","50","  Brokers' commissions on sale of nonresidential used structures and dealers' margins on used equipment","K160501",0.4,0.3,0.3,0.2,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.7,0.8,0.8,0.8,0.8,0.9,1.1,1.2,1.3,1.4,1.7,2.1,2.4,2.7,3.1,3.3,3.3,3.9,4.2,4.3,4.6,5.3,5.8,6.2,5.6,5.6,6.3,7.1,8,8.8,10.2,11.2,12.3,12.7
"64","51","  Electric plants put in place less electric plants put in use \13\","K160511",0.1,0,0.2,0,-0.2,-0.1,0,0,0,0,0,0,-0.3,-0.3,-0.4,-0.8,-0.6,-0.6,-0.6,-0.9,-0.9,-0.9,-1.2,-2,-0.8,-1.9,-2,-2.3,-3.4,-3.7,-6.1,-6.9,-5.6,-3.1,1.9,0.1,3.4,0,-2,2.4,-3.2,-5.4,-1.4,-4.7,-3.2,-5,0.7,0.7,0.7,0.2
"65","52","    Private","K160521",0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.3,-0.3,-0.3,-0.8,-0.6,-0.7,-0.7,-1.1,-1.3,-1.2,-1.4,-2.2,-1.3,-2.6,-2.8,-3.7,-4.8,-5.2,-6.6,-7.1,-6.3,-3.8,0.9,-0.8,2.4,-0.9,-2.6,1.8,-3.6,-6.7,-2.7,-5.3,-1.7,2.2,0.8,0.7,0.5,0.1
"66","53","    Government","K160531",0.1,0,0.2,0,-0.3,-0.1,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0.1,0.2,0.4,0.2,0.1,0.2,0.5,0.7,0.9,1.3,1.4,1.5,0.5,0.3,0.8,0.7,1,0.9,1,0.9,0.6,0.6,0.4,1.3,1.4,0.6,-1.5,-7.2,-0.1,0,0.2,0.1
"67","54","  Abandoned electric plants \14\","K160541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.4,0.4,2.8,2.6,7,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
