"","Table 5#4#4U# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60"
"23","16","    Power","W028RG3",11.704,11.702,11.587,11.55,11.499,11.501,11.766,11.945,12.238,12.949,13.565,14.451,15.815,16.744,18.01,21.036,24.36,26.028,28.036,29.741,32.748,35.823,39.047,41.288,42.518,43.6,44.004,44.147,44.81,47.737,49.616,51.182,51.638,52.534,54.141,56.542,58.27,59.209,60.469,61.599,62.55,65.137,66.976,68.781,70.35,76.071,82.822,87.999,92.763,100.968,100,103.55,109.014,113.416,114.952,116.626,116.719
"24","17","      Electric","B571RG3",11.188,11.187,11.004,11.051,11.141,11.416,11.826,11.872,12.329,13.197,13.698,14.612,16.027,16.987,18.402,21.643,25.206,26.895,28.935,30.455,33.727,36.998,40.084,42.158,43.495,44.555,45.06,45.569,46.074,49.161,50.96,52.663,52.941,53.862,55.611,57.771,59.747,60.862,62.061,63.295,63.941,66.535,68.568,70.536,71.95,76.045,80.877,86.433,93.052,100.317,100,103.413,107.453,110.743,113.143,115.23,116.678
"25","18","      Other power","W029RG3",12.577,12.573,12.575,12.397,12.094,11.618,11.627,12.043,12.025,12.444,13.28,14.104,15.332,16.182,17.009,19.429,22.168,23.76,25.688,28.163,30.239,32.724,36.453,39.352,40.172,41.415,41.419,40.17,41.414,43.9,45.971,47.213,48.042,48.869,50.148,53.101,54.274,54.865,56.222,57.147,58.604,61.17,62.319,63.581,65.655,76.591,90.085,93.775,91.997,103.294,100,104.001,114.156,123.06,122.018,122.781,120.186
"26","19","    Communication","B314RG3",18.716,19.18,19.591,18.92,19.435,19.644,20.16,21.194,22.231,22.744,23.778,26.363,26.362,27.4,29.466,34.12,35.669,37.221,40.253,42.863,48.092,53.318,54.364,55.408,53.839,51.751,52.797,52.274,52.273,52.794,57.498,59.067,59.589,59.593,60.577,61.617,65.496,68.363,69.881,69.853,68.925,70.303,72.406,73.548,75.458,79.59,84.167,96.444,100.442,101.919,100,107.193,115.971,116.535,116.598,116.969,119.131
"27","20","  Mining exploration, shafts, and wells","E318RG3",4.536,4.483,4.374,4.459,4.303,4.309,4.398,4.676,4.845,5.074,5.315,5.632,5.814,6.251,6.642,8.285,10.118,10.969,12.922,15.243,17.667,18.086,24.126,27.513,22.273,20.433,20.47,19.62,16.709,18.342,19.231,20.006,21.178,19.587,19.695,20.023,21.652,22.652,25.696,29.262,28.374,29.499,36.451,43.581,48.496,56.184,75.333,96.499,104.438,111.455,100,98.198,101.21,108.301,108.654,106.945,99.267
"28","21","    Petroleum and natural gas","B319RG3",4.142,4.091,3.987,4.066,3.91,3.91,3.987,4.246,4.402,4.609,4.816,5.101,5.23,5.618,5.956,7.56,9.373,10.227,12.219,14.538,16.912,17.206,23.261,26.629,21.291,19.396,19.396,18.494,15.536,17.113,17.957,18.692,19.847,18.224,18.278,18.543,20.135,21.11,24.133,27.635,26.692,27.742,34.557,41.72,46.672,54.394,74.193,96.389,104.606,111.982,100,98.411,101.639,109.331,109.279,106.893,98.379
"29","22","    Mining","B320RG3",10.74,10.727,10.693,10.822,11.023,11.251,11.622,12.057,12.434,13.053,14.034,14.917,16.186,17.511,18.918,21.016,23.075,23.889,25.509,27.932,31.003,34.522,37.648,40.027,41.266,42.861,44.246,45.784,47.473,49.225,50.968,52.576,53.335,53.655,55.455,57.562,59.865,61.216,63.183,65.482,68.268,71.309,74.487,75.907,78.197,83.16,89.952,97.575,102.207,104.346,100,95.642,96.447,97.676,102.352,108.169,112.002
"30","23","  Other structures","W004RG3",10.994,10.989,10.947,11.077,11.26,11.47,11.824,12.25,12.619,13.278,14.246,15.163,16.411,17.643,19.008,21.591,23.968,24.849,26.706,28.719,31.733,35.333,38.698,41.257,42.646,43.963,45.194,46.442,48.089,49.762,51.4,53.064,53.98,54.445,56.111,58.059,60.332,61.855,63.716,65.779,68.289,71.122,74.152,75.725,77.764,82.011,87.921,94.244,99.302,101.752,100,97.246,98.731,100.789,104.058,108.799,111.925
"31","24","    Religious","C309RG3",10.767,10.754,10.72,10.85,11.051,11.28,11.652,12.088,12.466,13.086,14.07,14.955,16.227,17.555,18.966,21.069,23.134,23.95,25.574,28.003,31.083,34.61,37.744,40.129,41.371,42.97,44.359,45.901,47.594,49.351,51.098,52.71,53.471,53.792,55.597,57.709,60.018,61.369,63.346,65.7,68.459,71.491,74.677,76.056,78.371,83.14,89.872,97.577,102.182,104.336,100,95.437,96.161,97.497,101.908,108.071,111.742
"32","25","    Educational and vocational","W044RG3",9.268,9.257,9.227,9.339,9.512,9.709,10.029,10.405,10.73,11.264,12.111,12.873,13.967,15.111,16.325,18.136,19.912,20.615,22.013,24.104,26.754,29.791,32.488,34.541,35.611,36.987,38.182,39.509,40.967,42.479,43.983,45.371,46.025,46.302,47.855,49.674,51.661,52.828,54.522,56.771,59.087,61.514,63.778,65.694,67.197,70.846,76.371,81.411,89.483,93.664,100,99.625,102.602,105.996,107.622,111.295,113.393
"33","26","    Lodging","W045RG3",10.819,10.796,10.761,10.907,11.108,11.324,11.694,12.141,12.527,13.206,14.196,15.168,16.43,17.685,19.074,21.466,23.824,24.644,26.352,28.495,31.448,35.057,38.412,40.938,42.015,43.355,44.709,46.179,47.911,49.506,51.2,52.873,53.777,54.281,55.783,57.778,60.131,61.502,63.43,65.534,68.334,71.353,74.533,75.911,78.221,83.121,89.836,97.539,102.142,104.296,100,95.293,96.019,97.392,101.867,107.932,111.541
"34","27","    Amusement and recreation","W046RG3",10.831,10.808,10.772,10.918,11.12,11.336,11.707,12.154,12.541,13.22,14.212,15.184,16.447,17.704,19.095,21.489,23.85,24.671,26.381,28.525,31.482,35.095,38.453,40.982,42.06,43.402,44.757,46.229,47.963,49.56,51.255,52.93,53.836,54.34,55.843,57.841,60.196,61.568,63.498,65.604,68.408,71.431,74.613,75.993,78.306,83.085,89.825,97.527,102.13,104.283,100,95.455,96.224,97.571,102.121,108.219,111.781
"35","28","    Transportation","W047RG3",13.259,13.356,13.195,13.195,13.207,13.31,13.531,13.798,14.068,14.81,15.648,16.424,17.645,18.633,19.887,24.274,27.743,29.149,32.131,33.256,36.643,40.426,44.078,46.987,50.565,52.365,53.155,52.605,53.351,55.824,57.235,58.581,59.603,60.143,63.984,66.016,67.896,70.561,72.126,73.841,75.494,77.868,81.223,83.045,85.289,88.082,90.448,93.441,95.909,99.029,100,100.781,102.783,104.181,106.438,108.646,110.971
"36","29","      Air","W048RG3",10.842,10.819,10.784,10.93,11.132,11.348,11.719,12.166,12.554,13.234,14.226,15.2,16.465,17.723,19.115,21.512,23.875,24.696,26.408,28.555,31.514,35.131,38.493,41.024,42.104,43.447,44.803,46.277,48.013,49.611,51.308,52.985,53.891,54.396,55.901,57.901,60.258,61.632,63.564,65.672,68.479,71.505,74.689,76.071,78.39,83.136,89.851,97.558,102.162,104.315,100,95.175,95.958,97.202,101.481,107.391,111.017
"37","30","      Land \3\","W049RG3",13.86,13.977,13.791,13.761,13.734,13.817,14.008,14.238,14.485,15.246,16.085,16.853,18.089,19.066,20.327,25,28.641,30.128,33.282,34.344,37.837,41.707,45.455,48.455,52.451,54.344,55.041,54.081,54.575,57.297,58.614,59.867,60.916,61.464,65.846,67.882,69.641,72.62,74.094,75.721,77.073,79.178,82.54,84.508,86.722,89.111,90.745,93.142,95.373,98.6,100,101.093,103.164,104.574,106.593,108.412,110.597
"38","31","    Farm","B316RG3",10.74,10.727,10.692,10.822,11.023,11.251,11.622,12.057,12.434,13.052,14.034,14.916,16.185,17.51,18.917,21.015,23.074,23.889,25.508,27.931,31.003,34.521,37.647,40.026,41.265,42.859,44.244,45.782,47.472,49.224,50.967,52.575,53.333,53.654,55.454,57.561,59.864,61.216,63.176,65.531,68.283,71.307,74.492,75.87,78.176,82.789,89.906,97.616,102.222,104.358,100,95.616,96.353,97.709,102.261,108.295,111.936
"39","32","    Other \4\","W050RG3",10.995,10.861,10.876,11.122,11.362,11.557,11.844,12.314,12.763,13.683,14.616,15.922,17.07,18.098,19.387,23.24,26.431,27.091,28.869,29.789,32.297,36.62,41.431,44.668,44.82,44.443,45.186,46.478,48.233,49.083,50.351,52.299,53.626,54.294,54.848,56.366,58.9,60.766,62.602,63.365,65.63,68.348,70.902,72.312,73.635,78.099,84.988,91.498,97.383,100.946,100,100.443,103.934,107.802,110.11,113.099,113.947
"40","33","    Brokers' commissions on sale of structures","B321RG3",15.442,15.432,15.391,15.544,15.834,16.128,16.558,17.27,17.765,18.538,20.294,21.602,23.462,25.28,27.378,30.46,33.339,34.622,37.337,40.698,45.286,50.102,54.395,58.394,61.195,64.17,67.377,70.899,74.719,79.035,82.071,85.116,86.36,86.854,88.267,90.669,93.227,94.851,96.647,98.817,98.575,100.52,105.222,106.35,106.87,107.487,107.938,108.302,108.186,104.138,100,98.324,97.653,101.852,103.315,106.622,112.616
"41","34","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","Residential","B012RG3",12.181,12.268,12.292,12.318,12.223,12.323,12.68,13.153,13.616,14.345,15.37,15.868,16.804,17.848,19.468,21.5,23.486,25.016,27.611,31.046,34.59,38.358,41.471,43.685,44.718,46.067,47.373,49.51,51.686,53.517,55.297,56.593,57.356,58.081,60.494,62.704,64.987,66.402,68.034,69.865,72.544,75.82,79.476,81.482,85.432,91.531,98.137,103.898,105.254,103.701,100,99.756,100.567,101.476,106.793,113.474,115.819
"43","36","  Permanent site","B943RG3",11.609,11.687,11.689,11.746,11.636,11.721,12.13,12.644,13.1,13.83,14.7,15.047,15.957,17.088,18.718,20.566,22.47,23.898,26.35,29.857,33.275,36.943,39.937,42.068,42.891,44.059,45.13,47.156,49.113,50.845,52.44,53.558,53.948,54.537,57.084,59.59,61.993,63.19,65.135,67.272,70.248,73.504,77.03,79.203,83.456,90.336,97.174,103.814,105.362,103.125,100,99.042,99.436,100.457,105.594,112.558,114.954
"44","37","    Single-family structures","B944RG3",12.074,12.159,12.161,12.223,12.108,12.191,12.611,13.152,13.621,14.381,15.283,15.667,16.603,17.78,19.467,21.415,23.405,24.872,27.462,31.097,34.844,38.815,41.891,43.57,43.905,45.08,45.974,47.876,49.889,51.735,53.637,55.091,55.37,55.93,58.671,61.411,63.984,65.158,67.048,68.807,71.935,75.258,79.052,81.237,85.748,93.073,100.109,106.478,107.582,104.244,100,98.382,99.086,99.935,105.449,113.284,116.062
"45","38","    Multifamily structures","B292RG3",10.427,10.473,10.478,10.521,10.422,10.511,10.892,11.339,11.762,12.413,13.2,13.472,14.307,15.319,16.794,18.41,20.093,21.461,23.465,26.684,28.968,31.772,34.523,37.691,39.767,40.909,42.467,44.855,46.623,47.866,48,47.486,48.488,49.32,50.402,50.917,52.188,53.626,56.043,60.866,62.957,65.959,67.798,70.024,72.705,76.744,82.631,91.645,95.975,98.839,100,102.451,100.473,102.616,105.562,108.223,108.692
"46","39","  Other structures","A863RG3",13.015,13.121,13.19,13.142,13.091,13.224,13.432,13.788,14.248,14.951,16.288,17.097,18.05,18.823,20.318,22.681,24.771,26.439,29.232,32.429,36.113,39.979,43.23,45.537,46.866,48.499,50.176,52.454,54.943,56.901,58.938,60.485,61.758,62.664,64.89,66.689,68.803,70.5,71.723,73.162,75.448,78.741,82.564,84.35,87.912,92.981,99.265,103.854,104.979,104.086,100,100.134,101.157,102.007,107.434,113.894,116.211
"47","40","    Manufactured homes","B945RG3",30.445,29.298,28.482,24.847,21.939,21.507,21.249,20.154,19.756,19.874,21.273,22.101,22.09,21.663,22.715,24.95,27.829,29.451,31.844,34.487,37.695,40.979,42.843,44.233,44.647,44.617,44.988,45.445,46.146,48.332,50.47,52.15,53.499,54.285,56.722,60.966,64.881,66.75,67.846,68.752,70.602,71.887,73.138,74.238,75.634,82.514,89.554,93.069,94.156,97.804,100,102.591,106.744,110.523,115.921,118.666,121.476
"48","41","    Dormitories","B295RG3",11.948,12.038,12.042,12.104,11.99,12.085,12.482,13.033,13.468,14.221,15.125,15.508,16.365,17.559,19.268,21.301,23.154,24.415,27.545,31.099,34.979,38.878,41.937,43.625,43.906,45.07,45.971,47.873,49.939,51.758,53.637,55.132,55.485,55.946,58.714,61.399,64.013,65.189,67.119,68.839,71.97,75.303,79.089,81.276,85.793,92.864,100.315,106.53,107.503,104.351,100,98.176,98.873,99.718,105.261,112.982,115.804
"49","42","    Improvements","B946RG3",11.539,11.686,11.795,11.852,11.958,12.158,12.386,12.837,13.414,14.198,15.458,16.41,17.594,18.555,20.09,22.651,24.715,26.315,28.857,31.757,35.154,39.175,42.83,45.205,46.447,48.03,49.175,50.517,51.996,53.687,55.423,57.203,58.74,59.624,61.326,61.853,63.79,65.459,67.173,68.453,70.919,73.947,76.915,78.459,81.739,87.739,93.464,99.252,101.551,103.273,100,101.178,104.316,105.15,108.559,113.157,113.592
"50","43","    Brokers' commissions and other ownership transfer costs \5\","B758RG3",12.242,12.319,12.32,12.372,12.283,12.313,12.515,12.929,13.262,13.909,15.281,15.728,16.615,17.668,19.344,21.391,23.237,24.962,28.114,31.77,35.85,39.439,42.106,44.426,46.116,48.225,50.966,54.971,59.309,61.61,64.07,65.146,65.915,66.844,69.834,73.286,75.207,76.823,77.267,79.023,81.15,85.077,90.327,92.494,96.608,100.599,107.493,110.959,110.677,105.755,100,98.273,95.802,96.544,104.588,113.517,118.153
"51","44","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures","W040RG3",10.813,10.852,10.835,10.884,10.875,10.995,11.321,11.739,12.132,12.766,13.623,14.291,15.258,16.271,17.651,19.771,21.881,23.113,25.288,28.113,31.315,34.484,38.433,41.093,40.81,41.529,42.51,43.734,44.929,46.647,48.297,49.672,50.466,50.791,52.609,54.426,56.636,57.961,59.871,62.026,64.307,67.021,70.26,72.551,75.786,81.742,89.2,96.905,100.384,102.577,100,99.416,101.963,104.673,107.521,111.04,111.476
"54","46","    Nonresidential structures \6\","A771RG3",9.48,9.468,9.41,9.483,9.565,9.702,9.983,10.342,10.664,11.2,11.935,12.721,13.699,14.685,15.822,18.01,20.163,21.152,22.987,25.208,28.137,30.752,34.983,37.743,36.778,37.097,37.975,38.698,39.315,40.978,42.582,43.956,44.752,44.763,46.08,47.71,49.781,51.048,53.004,55.439,57.168,59.425,62.544,65.191,67.564,72.681,81.888,91.92,97.519,102.208,100,98.851,101.881,105.908,107.569,109.145,108.61
"55","47","    Residential structures \7\","A756RG3",12.021,12.107,12.132,12.156,12.062,12.166,12.532,13.006,13.474,14.203,15.177,15.673,16.601,17.634,19.227,21.228,23.209,24.685,27.16,30.516,33.93,37.677,40.816,42.979,43.894,45.111,46.174,47.974,49.768,51.499,53.146,54.464,55.213,55.893,58.18,60.154,62.472,63.834,65.669,67.501,70.284,73.403,76.703,78.665,82.569,89.186,95.716,102.047,103.804,103.107,100,100.208,102.122,103.087,107.448,113.397,115.028
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","by power utilities for their own use. Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
