"","Table 5#2#5U# Gross and Net Domestic Investment by Major Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"11","3","      Equals: Net domestic investment","W171RC1",840.6,937.4,901.1,889.7,780.3,780.3,720.3,630.1,677.6,689.4,686.7,688.2,687.3,684.3,746.4,807.6,818.3,908.7,934.8,970.8,1012.8,978.5,1007.3,1093.1,1128.3,1131.3,1085.8,1020.7,987.2,1027,995.4,927,843.2,818.5,724.7,536.3,264.3,140.1,121,234.2,288.9,367.6,433.2,387.9,334.2,372.5,381.7,505,515,510.3
"12","4","Gross private domestic investment","A006RC1",1688.8,1810.9,1791.7,1797.4,1701.3,1699.4,1670.4,1576.6,1628,1648.1,1650.4,1661.3,1671.5,1678.5,1745.1,1823.6,1853.6,1956,2001.3,2063.3,2130.8,2115.3,2166.7,2276.3,2336.6,2352.1,2333.4,2286.5,2277.4,2329.6,2313.4,2260.5,2185.7,2165.4,2086.3,1913,1645.8,1495.3,1465.6,1590.4,1660.4,1724.7,1793.3,1770.9,1755.9,1819,1853.8,1991.1,2032.2,2041.7
"13","5","Less: Consumption of fixed capital","A024RC1",957.7,978,997,1014.7,1031.2,1045.9,1059,1070.3,1079.8,1089.4,1098.8,1108.1,1117.4,1128.6,1141.5,1156.2,1172.8,1190.7,1209.8,1230.2,1251.9,1276.1,1302.9,1332.3,1357.4,1381.1,1403.2,1423.9,1449.6,1468.6,1484.8,1501.8,1515,1534.6,1555.5,1566.5,1562.9,1544.7,1531.1,1532.3,1534.5,1535.4,1540.5,1549.3,1561.7,1580.4,1596.5,1611,1625.9,1642
"14","6","Equals: Net private domestic investment","A557RC1",731.1,833,794.8,782.7,670.1,653.5,611.4,506.3,548.1,558.8,551.6,553.2,554,550,603.6,667.3,680.8,765.4,791.5,833.1,879,839.2,863.8,944,979.1,971,930.2,862.6,827.8,861,828.6,758.7,670.7,630.8,530.8,346.4,82.9,-49.4,-65.5,58.1,125.9,189.3,252.8,221.6,194.2,238.7,257.3,380,406.3,399.7
"15","7","  Fixed investment","A007RC1",1672.8,1720.5,1734.5,1742.9,1732,1711,1700.5,1657.4,1641.4,1634.9,1632.1,1631.4,1642.8,1681.6,1740.9,1787.8,1802.2,1880,1940.5,1991.8,2040.1,2099.4,2155.6,2194.1,2270.6,2279.7,2264.3,2254.1,2260.3,2282.1,2274,2247.9,2205.2,2183.7,2130.5,1995.5,1812.5,1698,1666.1,1637.2,1627.2,1683,1683.8,1721.9,1722.3,1784.2,1857.8,1909,1959.7,1986.9
"16","8","  Less: Consumption of fixed capital","A024RC1",957.7,978,997,1014.7,1031.2,1045.9,1059,1070.3,1079.8,1089.4,1098.8,1108.1,1117.4,1128.6,1141.5,1156.2,1172.8,1190.7,1209.8,1230.2,1251.9,1276.1,1302.9,1332.3,1357.4,1381.1,1403.2,1423.9,1449.6,1468.6,1484.8,1501.8,1515,1534.6,1555.5,1566.5,1562.9,1544.7,1531.1,1532.3,1534.5,1535.4,1540.5,1549.3,1561.7,1580.4,1596.5,1611,1625.9,1642
"17","9","  Equals: Net fixed investment","A560RC1",715.1,742.6,737.5,728.2,700.8,665.1,641.5,587.1,561.5,545.5,533.3,523.2,525.4,553.1,599.4,631.5,629.4,689.3,730.7,761.6,788.2,823.3,852.7,861.8,913.2,898.6,861.1,830.2,810.7,813.5,789.2,746.2,690.2,649.1,574.9,429,249.6,153.3,134.9,104.9,92.7,147.5,143.3,172.7,160.6,203.8,261.4,297.9,333.7,344.9
"18","10","    Nonresidential","A008RC1",1223.5,1270.1,1288.4,1292.7,1273.7,1240.6,1219.6,1177.3,1149.5,1128.3,1120.6,1103.3,1097.7,1123.8,1150.8,1170.4,1164.6,1204.4,1244,1279.1,1305.2,1334.9,1362.9,1386.3,1457.2,1495.3,1522.7,1546.1,1579.6,1624.9,1660.7,1684.6,1689.3,1689,1665.9,1580.9,1442.9,1356,1312.9,1285.4,1285.8,1325.2,1353.8,1388.8,1390.8,1448,1519.4,1560.1,1595.5,1614.1
"19","11","    Less: Consumption of fixed capital","A753RC1",799.7,817.2,833.9,849.3,862.8,874.5,883.6,892.5,901.1,908.5,916,921.1,925.3,934.8,944.8,954.4,964.8,976.2,988.9,1004.5,1021.6,1040.4,1059.7,1082.8,1101.5,1120.3,1139.4,1155.9,1178.8,1196.6,1210.9,1225.6,1239,1258.1,1279.4,1292.6,1289.5,1275.1,1264.3,1263.7,1263.4,1266.5,1269.9,1277.2,1288.6,1306,1321.5,1335.4,1350.7,1365
"20","12","    Equals: Net nonresidential","A593RC1",423.9,452.8,454.5,443.5,410.9,366.2,336,284.7,248.4,219.8,204.6,182.1,172.3,189,206,216,199.9,228.3,255,274.6,283.6,294.5,303.3,303.4,355.8,374.9,383.3,390.1,400.8,428.3,449.8,459,450.3,430.9,386.5,288.3,153.5,80.9,48.7,21.6,22.4,58.7,83.9,111.6,102.2,142,197.9,224.7,244.8,249.1
"21","13","      Structures","B009RC1",297.8,313,328.2,333.5,329,335.3,342.6,312,297.8,284.8,274.6,273.7,274.2,282.6,284.1,286.6,290.8,300.9,312.4,322.4,338.4,346.5,352.3,369.7,396.8,428.6,447.6,461.7,479.5,512.3,545.5,562.2,570.9,589.6,594.7,590,530.5,467.1,421,385.6,362.7,376.6,377.1,389,362.4,397,421.8,438.2,454.7,458.9
"22","14","      Less: Consumption of fixed capital","B188RC1",166.8,169.2,172.1,175.3,179.2,183.3,187.4,189.4,192.3,195.5,198.1,201,203.8,204.1,205.8,208.4,212.4,217,222.8,229.5,236.4,242.9,252.4,263.9,272.5,280.4,285.7,292.4,302.4,308.5,313.9,318.9,323,328.4,337,346.5,343.7,333.2,324.8,324.1,325.5,327.7,330.3,333.8,338,343.4,348.9,353.6,357,361
"23","15","      Equals: Net structures","A594RC1",131.1,143.8,156.1,158.2,149.8,152,155.2,122.6,105.5,89.3,76.5,72.7,70.4,78.5,78.3,78.2,78.4,83.9,89.6,92.9,102,103.6,100,105.9,124.3,148.1,161.9,169.3,177.1,203.8,231.7,243.2,247.8,261.2,257.7,243.5,186.9,133.9,96.2,61.5,37.2,48.9,46.8,55.2,24.4,53.6,72.9,84.6,97.7,98
"24","16","      Equipment and software","B010RC1",925.7,957.1,960.2,959.2,944.7,905.4,877.1,865.3,851.7,843.5,846,829.5,823.4,841.2,866.8,883.9,873.8,903.5,931.5,956.7,966.8,988.4,1010.6,1016.5,1060.5,1066.7,1075.1,1084.4,1100.1,1112.6,1115.1,1122.4,1118.4,1099.4,1071.2,990.9,912.4,888.9,891.9,899.8,923.1,948.6,976.8,999.8,1028.4,1051,1097.6,1122,1140.8,1155.2
"25","17","      Less: Consumption of fixed capital","B189RC1",632.9,648.1,661.8,673.9,683.6,691.2,696.3,703.1,708.8,713,717.9,720.1,721.5,730.7,739.1,746,752.3,759.1,766.1,775,785.2,797.5,807.3,819,829,839.9,853.7,863.5,876.4,888.2,897,906.7,916,929.7,942.4,946.1,945.8,941.9,939.4,939.6,937.9,938.8,939.7,943.4,950.5,962.7,972.6,981.9,993.7,1004.1
"26","18","      Equals: Net equipment and software","A747RC1",292.8,309,298.4,285.3,261.1,214.2,180.8,162.2,142.8,130.5,128.1,109.4,101.9,110.6,127.7,137.9,121.5,144.4,165.4,181.7,181.6,190.9,203.3,197.6,231.5,226.8,221.4,220.8,223.7,224.5,218.1,215.7,202.5,169.8,128.8,44.8,-33.4,-53.1,-47.5,-39.8,-14.8,9.8,37.1,56.4,77.8,88.3,125,140.1,147.1,151.1
"27","19","    Residential","A011RC1",449.2,450.5,446,450.2,458.3,470.4,480.9,480.1,491.9,506.6,511.5,528.1,545.2,557.8,590.1,617.4,637.6,675.6,696.6,712.7,734.9,764.5,792.7,807.9,813.4,784.4,741.6,708,680.7,657.2,613.4,563.4,515.9,494.6,464.6,414.6,369.6,342,353.1,351.9,341.3,357.8,330,333.1,331.4,336.2,338.5,348.8,364.2,372.8
"28","20","    Less: Consumption of fixed capital","A754RC1",158,160.7,163,165.4,168.4,171.5,175.3,177.7,178.7,180.8,182.7,187,192.1,193.7,196.7,201.9,208.1,214.5,220.9,225.7,230.3,235.7,243.3,249.5,256,260.7,263.8,267.9,270.8,271.9,274,276.2,276,276.5,276.1,273.9,273.4,269.6,266.9,268.5,271.1,268.9,270.5,272.1,273.1,274.3,275,275.6,275.2,277
"29","21","    Equals: Net residential","A748RC1",291.2,289.8,283,284.7,289.8,298.9,305.5,302.3,313.1,325.7,328.7,341.1,353,364.1,393.4,415.5,429.5,461.1,475.7,487,504.6,528.8,549.4,558.4,557.4,523.7,477.8,440.1,409.9,385.2,339.4,287.2,239.9,218.1,188.4,140.7,96.2,72.4,86.3,83.3,70.2,88.8,59.5,61,58.4,61.9,63.4,73.2,89,95.8
"30","22","  Change in private inventories","A014RC1",16.1,90.4,57.2,54.5,-30.7,-11.6,-30.1,-80.8,-13.4,13.2,18.3,30,28.6,-3.1,4.2,35.8,51.4,76,60.8,71.5,90.7,15.9,11,82.2,66,72.4,69.1,32.3,17,47.5,39.4,12.6,-19.5,-18.3,-44.1,-82.5,-166.7,-202.7,-200.5,-46.8,33.2,41.7,109.5,49,33.7,34.8,-4.1,82.1,72.6,54.8
"31","23","Gross government investment \1\","A782RC1",303.4,300.9,305.3,307.8,312.4,330.9,314.2,330.6,337.9,340.7,346.8,348.5,349,351.6,361.8,360.8,361.3,372.2,377.9,378,377.6,387.4,396.6,406.4,409.7,427.4,427.6,435.6,443.8,455,460.2,466.8,475,495.9,508,509.8,503.9,512.5,509.9,501.4,491.6,510.5,515.4,504.7,482.6,480.9,476.8,480.5,467.6,473.4
"32","24","Less: Consumption of fixed capital","A264RC1",193.9,196.5,198.9,200.7,202.3,204,205.4,206.8,208.4,210.1,211.7,213.5,215.7,217.3,218.9,220.5,223.8,228.9,234.6,240.3,243.8,248.1,253.1,257.3,260.6,267.1,272,277.4,284.3,289,293.4,298.5,302.4,308.1,314.1,320,322.5,323,323.3,325.3,328.6,332.1,335,338.4,342.6,347.1,352.4,355.5,359,362.8
"33","25","Equals: Net government investment","A889RC1",109.5,104.4,106.4,107,110.2,126.8,108.8,123.8,129.4,130.6,135.1,135,133.3,134.3,142.9,140.3,137.5,143.3,143.3,137.7,133.8,139.3,143.5,149.1,149.1,160.3,155.6,158.1,159.5,166,166.8,168.3,172.5,187.7,193.9,189.8,181.4,189.5,186.6,176.1,163,178.4,180.4,166.3,140,133.9,124.4,125,108.7,110.6
"34","26","          Federal","A890RC1",-6.8,-7.7,-7.2,-9.1,-9.7,-6.8,-6.2,-5.6,-3.7,0.8,4.3,2.6,1.9,5.6,6.8,7.2,6.1,8,11.2,8.4,6.3,8.7,12.7,12.5,14.3,15.8,11.3,15.1,10.8,16.3,16.8,15.2,17.4,28.1,33.1,35,27.2,32.3,33.8,34.1,31.4,38.5,40.7,37.7,26.4,27.1,20,20.5,12.4,14.9
"35","27","            National defense","B891RC1",-11.8,-11.9,-11,-11.3,-12.2,-9.4,-8.3,-8.3,-8.2,-3.5,-0.4,-1.7,-1.8,0.8,2.1,3.2,2.7,3.6,7.6,5.3,3.4,6.1,7.8,4.8,5.9,10,5.6,9.7,6,11,11,10,11.3,21.3,25.8,27.5,20.6,26.6,27,25.9,20.6,24.8,27.2,24.8,13.3,15.8,10.4,12,5.5,8.4
"36","28","            Nondefense","B892RC1",5,4.2,3.7,2.2,2.5,2.5,2.2,2.7,4.5,4.3,4.7,4.3,3.7,4.8,4.7,4,3.5,4.4,3.6,3.1,2.9,2.6,4.9,7.6,8.4,5.8,5.7,5.3,4.7,5.3,5.8,5.2,6.1,6.9,7.3,7.5,6.7,5.6,6.8,8.3,10.8,13.7,13.5,12.9,13.1,11.3,9.6,8.4,6.9,6.4
"37","29","          State and local","A893RC1",116.3,112.1,113.6,116.1,119.9,133.7,115,129.4,133.2,129.8,130.8,132.3,131.3,128.7,136.1,133.1,131.4,135.3,132.1,129.3,127.5,130.6,130.9,136.6,134.8,144.4,144.2,143.1,148.7,149.7,150,153.1,155.1,159.6,160.8,154.8,154.2,157.2,152.8,141.9,131.6,139.9,139.7,128.6,113.5,106.8,104.3,104.5,96.3,95.7
"38","30","  Structures","A760RC1",190,186.7,189.8,192.2,197.6,213.8,197.2,214.6,220,219,221.9,225.7,226.7,225.9,234,230.9,231.2,238.3,238.9,237.3,238.2,243,248,256.7,254.5,268.6,270.7,276.1,283.5,289,290.7,294.8,297.8,308.2,315.7,318.3,319.8,321.9,318.4,307.5,299.7,314.8,316.8,305.9,292.6,285.6,282.6,283.2,274.3,273
"39","31","  Less: Consumption of fixed capital","A894RC1",87.3,89.1,90.3,91.5,93.1,94,95,96.5,97.6,98.9,100,100.9,102.6,103.5,104.4,105.4,106.9,109.9,114.3,118.4,120.2,123.6,127.6,130.6,131.9,136.1,139.2,143.5,148.3,151.2,154,157.1,159.9,162.1,165.1,168.8,170.8,169.8,168.5,168.9,170.2,171.6,173.1,174.7,176.6,179.2,182,184.7,186.7,188.9
"40","32","  Equals: Net structures","A895RC1",102.7,97.6,99.5,100.6,104.5,119.8,102.3,118.1,122.4,120,121.8,124.8,124.1,122.4,129.6,125.6,124.4,128.4,124.6,118.9,118,119.4,120.4,126.1,122.7,132.4,131.5,132.6,135.2,137.8,136.6,137.7,137.9,146.2,150.6,149.5,148.9,152.1,149.9,138.6,129.5,143.2,143.8,131.2,116,106.4,100.6,98.4,87.5,84.1
"41","33","            Federal","A896RC1",-2.6,-3.2,-3.2,-4.6,-4.8,-4.2,-4.1,-3.4,-2.7,-2.4,-1.9,-1.6,-1.1,-0.6,-0.2,-1.1,-1.9,-2.3,-3,-5.5,-5.1,-6.3,-5.2,-4.8,-5.4,-4.7,-5.2,-3,-3.7,-1,-1.6,-3.1,-3.3,-0.2,2.2,4.2,3.9,3.7,5.6,6.1,6.6,10.4,10.3,9.2,8.6,6.4,3.3,0.3,-2.6,-4.3
"42","34","              National defense","B897RC1",-4,-3.9,-3.4,-3.9,-4.4,-3.9,-4.3,-4.1,-4.2,-3.9,-3.5,-3.5,-2.8,-2.6,-2.2,-2.4,-2.7,-3.2,-3.1,-3.9,-3.4,-3.8,-3.6,-4.3,-4.3,-4,-4.3,-3.4,-3.6,-1.2,-2.5,-3.4,-2.8,-0.1,1.7,3.2,3.2,3.8,4.6,4.1,2.9,3.8,4.3,3.7,2.3,1.3,-0.7,-2.5,-4.1,-5.4
"43","35","              Nondefense","B898RC1",1.5,0.7,0.2,-0.7,-0.4,-0.3,0.2,0.7,1.5,1.5,1.7,1.9,1.7,2.1,2,1.3,0.8,0.9,0.1,-1.7,-1.7,-2.4,-1.6,-0.5,-1.2,-0.7,-0.9,0.5,-0.1,0.2,0.9,0.3,-0.5,-0.2,0.5,1.1,0.7,-0.1,1,2,3.7,6.6,6.1,5.6,6.3,5.1,4,2.7,1.5,1
"44","36","            State and local","B899RC1",105.3,100.8,102.7,105.2,109.3,124,106.4,121.5,125.1,122.4,123.7,126.4,125.2,122.9,129.8,126.7,126.2,130.8,127.6,124.4,123.1,125.7,125.6,130.8,128.1,137.2,136.7,135.5,138.9,138.8,138.2,140.8,141.3,146.4,148.4,145.2,145.1,148.4,144.3,132.5,122.9,132.7,133.4,121.9,107.3,99.9,97.3,98.2,90.1,88.4
"45","37","  Equipment and software","A871RC1",113.4,114.2,115.5,115.6,114.9,117.1,117,116,117.8,121.8,124.9,122.8,122.3,125.7,127.8,129.9,130.1,133.9,139,140.7,139.4,144.4,148.6,149.7,155.2,158.8,156.9,159.5,160.3,166,169.5,171.9,177.1,187.6,192.3,191.5,184.2,190.6,191.4,193.9,191.9,195.7,198.5,198.9,190,195.4,194.2,197.4,193.4,200.4
"46","38","  Less: Consumption of fixed capital","A900RC1",106.6,107.4,108.6,109.2,109.2,110.1,110.5,110.4,110.9,111.2,111.7,112.6,113.1,113.8,114.6,115.2,117,119,120.3,121.8,123.6,124.5,125.5,126.7,128.7,131,132.8,133.9,136,137.9,139.3,141.4,142.6,146.1,149,151.2,151.7,153.2,154.8,156.4,158.4,160.5,161.9,163.7,166,167.8,170.4,170.8,172.2,173.9
"47","39","  Equals: Net equipment and software","A901RC1",6.8,6.8,6.9,6.4,5.6,7,6.5,5.7,7,10.6,13.2,10.2,9.2,11.9,13.2,14.7,13.1,14.9,18.7,18.9,15.8,19.9,23.1,23,26.4,27.8,24.1,25.6,24.3,28.2,30.2,30.6,34.6,41.6,43.3,40.4,32.5,37.4,36.7,37.5,33.5,35.2,36.6,35.2,24,27.5,23.8,26.6,21.2,26.5
"48","40","            Federal","A902RC1",-4.2,-4.5,-4,-4.5,-5,-2.6,-2.1,-2.1,-1.1,3.2,6.2,4.2,3.1,6.2,7,8.3,8,10.4,14.1,14,11.4,15,17.9,17.2,19.7,20.6,16.5,18,14.4,17.3,18.4,18.3,20.8,28.3,30.9,30.7,23.3,28.6,28.2,28.1,24.8,28.1,30.4,28.5,17.8,20.6,16.8,20.2,14.9,19.2
"49","41","              National defense","B905RC1",-7.8,-7.9,-7.5,-7.4,-7.8,-5.5,-4.1,-4.2,-4,0.4,3.1,1.8,1.1,3.4,4.3,5.6,5.3,6.8,10.7,9.2,6.7,10,11.4,9.1,10.2,14,9.9,13.2,9.6,12.2,13.5,13.4,14.1,21.3,24.1,24.3,17.3,22.9,22.4,21.8,17.7,21,22.9,21.1,11,14.5,11.1,14.5,9.6,13.8
"50","42","              Nondefense","B906RC1",3.5,3.4,3.6,2.9,2.9,2.9,2,2,2.9,2.8,3,2.4,2,2.8,2.7,2.7,2.7,3.5,3.4,4.8,4.7,5,6.5,8.1,9.5,6.6,6.6,4.9,4.9,5.1,4.9,4.9,6.6,7,6.8,6.5,6,5.7,5.8,6.3,7.1,7.1,7.4,7.3,6.8,6.1,5.7,5.7,5.4,5.4
"51","43","            State and local","B907RC1",11,11.3,10.9,10.9,10.6,9.6,8.6,7.8,8.1,7.4,7.1,5.9,6.1,5.7,6.3,6.4,5.1,4.6,4.6,4.9,4.5,4.9,5.3,5.8,6.7,7.3,7.6,7.6,9.9,10.9,11.8,12.2,13.8,13.2,12.4,9.6,9.1,8.9,8.5,9.4,8.7,7.1,6.2,6.7,6.2,6.9,7,6.4,6.3,7.3
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","44","  Gross domestic fixed investment","W172RC1",1976.2,2021.4,2039.7,2050.6,2044.4,2041.9,2014.7,1988,1979.2,1975.6,1978.9,1979.9,1991.8,2033.3,2102.6,2148.6,2163.6,2252.2,2318.5,2369.8,2417.7,2486.8,2552.3,2600.5,2680.3,2707.1,2691.9,2689.7,2704.2,2737.2,2734.3,2714.7,2680.2,2679.6,2638.5,2505.3,2316.5,2210.5,2176,2138.6,2118.7,2193.4,2199.2,2226.6,2204.8,2265.1,2334.6,2389.5,2427.3,2460.3
"54","45","  Less: Consumption of fixed capital","A262RC1",1151.6,1174.4,1195.8,1215.4,1233.5,1250,1264.4,1277.1,1288.3,1299.5,1310.5,1321.7,1333.2,1345.9,1360.4,1376.8,1396.7,1419.5,1444.4,1470.4,1495.7,1524.2,1556,1589.6,1618,1648.2,1675.2,1701.3,1733.9,1757.6,1778.2,1800.3,1817.4,1842.7,1869.6,1886.5,1885.5,1867.7,1854.4,1857.6,1863.1,1867.5,1875.5,1887.7,1904.3,1927.4,1948.9,1966.6,1984.9,2004.8
"55","46","  Equals: Net domestic fixed investment","W173RC1",824.6,847,843.9,835.2,810.9,791.9,750.4,710.9,690.9,676.2,668.4,658.2,658.6,687.4,742.2,771.8,766.9,832.7,874.1,899.4,922.1,962.6,996.3,1010.9,1062.3,1058.9,1016.7,988.4,970.2,979.5,956.1,914.4,862.7,836.8,768.9,618.8,431,342.8,321.5,281,255.6,325.9,323.7,339,300.6,337.7,385.8,422.9,442.4,455.5
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Gross government investment consists of general government and government enterprise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","expenditures for fixed assets; change in inventories is included in government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
