"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73"
"57","49","    Exports","AB69RX0",28758,26156,27657,26932,28446,26871,29661,29327,28618,29528,31259,31181,31925,28762,25694,28228,27331,28063,27085,27945,29690,28984,26842,26576,24417,27301,28608,27946,28338,30443,30863,31991,32712,34651,31289,35182,33048,35603,39523,40105,43205,42787,43585,46305,48658,47458,49608,49316,53417,60157,61212,64621,63224,66569,69863,55001,33079,31893,41233,48736,51704,52453,51988,54985,59993,63281,64305,63802,69384,70005
"58","50","      Autos","B142RX0",14150,12800,13033,13333,14108,12707,14218,13726,13055,13673,13601,13246,13857,12550,11968,13373,12606,12955,12057,12629,13298,13230,12414,12346,11780,13647,15121,14497,14358,15836,15880,15581,16624,16189,15036,16590,15297,16441,16616,18032,20104,19650,19957,21950,23312,22714,24144,24875,27114,30555,32619,35073,35865,38293,40368,31744,17272,17053,21715,25559,26729,26511,26397,29316,31541,32731,32332,33931,37887,37817
"59","51","      Trucks","B706RX0",14548,13307,14611,13533,14267,14149,15409,15600,15591,15868,17737,18033,18146,16275,13737,14853,14746,15130,15071,15351,16436,15785,14448,14246,12633,13630,13428,13403,13947,14559,14940,16391,16049,18458,16239,18583,17747,19157,22924,22080,23103,23137,23626,24353,25345,24744,25464,24443,26303,29603,28604,29567,27392,28320,29545,23298,15797,14839,19509,23163,24949,25900,25554,25671,28442,30522,31903,29886,31558,32230
"60","52","    Imports","AB70RX0",89476,87100,80073,78416,82616,86900,89688,84928,94802,95149,96086,92068,97212,98467,96059,109797,117630,120444,125354,127099,134776,132942,134929,133038,131864,131329,132312,128961,132721,136885,140365,142011,135220,141303,132460,141792,141629,147469,146112,143065,141281,143173,145436,154355,160183,159041,155085,162579,154389,153151,160373,152214,153643,150397,132917,111651,72073,72331,98767,116358,115240,128723,129806,129467,137098,116712,142423,143094,159059,156633
"61","53","      Autos","B143RX0",55438,54407,49738,48048,48266,48148,49288,47133,53744,54025,54325,52053,54177,55547,52856,60187,63613,64514,68006,67864,71151,71518,72795,72415,72575,70683,69974,67569,70664,76303,76193,75130,70078,72637,69881,75296,71275,70663,75436,71137,68181,67647,69277,73126,74033,73871,78198,81856,72597,74636,80560,75295,77919,77168,76541,69673,42100,43180,60145,68017,61675,71579,77915,75723,80050,65519,82729,84366,92498,92139
"62","54","      Trucks","B707RX0",33674,32316,29999,30069,34147,38660,40320,37698,40898,40959,41606,39867,42919,42773,43111,49513,53947,55882,57267,59183,63589,61355,62059,60539,59196,60580,62291,61360,62006,60475,64091,66827,65111,68638,62533,66442,70337,76811,70651,71920,73101,75528,76159,81226,86137,85157,76906,80742,81775,78522,79839,76935,75731,73240,56432,42130,30017,29221,38732,48421,53513,57112,52046,53821,57156,51233,59754,58776,66631,64550
"63","55","Change in private inventories","AB65RX0",18048,13502,-6228,3384,-23306,14361,11261,-11994,-4187,6338,6094,10061,19630,-9182,-8156,-479,20196,-1851,4138,25552,5389,25112,9791,2806,-26271,5032,4587,-38075,11242,16022,1387,23317,9613,14074,-7155,15358,16257,9408,4420,-12024,-5235,-15176,-10902,16788,3667,275,-7635,-11117,-6765,-4108,2204,-22980,-12099,-2201,-13724,-10926,-60573,-48608,-16956,23880,18047,21807,19527,-20022,-6573,-14505,-5248,-7305,12002,21005
"64","56","  Autos","A145RX0",13755,7447,-8665,936,-17056,6968,5328,-7815,-4364,5738,4707,494,7982,-2676,4910,2222,6913,-4278,-4119,10703,17,8320,8948,-1675,-7724,1385,1668,-10722,15237,7042,-4522,10996,-8458,5217,-5186,3420,-358,2708,1080,-6958,994,-6419,-8626,5219,2582,568,-3762,4416,-614,-4581,278,-14315,-1922,-6539,12867,11740,-24551,-13196,-16423,12828,8175,11410,1641,-16607,-9689,-9159,-2244,-1229,6192,9452
"65","57","    New","B146RX0",13910,5508,-8407,-1032,-20564,5157,4040,-9961,-3062,4577,1022,-587,5116,-10795,10157,5347,4512,-1846,-2704,4606,-1354,2338,2308,1430,-11039,-3803,1703,-12748,14720,8878,-2051,9445,-9057,7129,-5707,2309,-240,292,137,-5726,2593,-4938,-7249,4926,4457,3876,-2671,4588,-1535,-2432,480,-11314,351,-2452,13327,13535,-20086,-12383,-18248,3915,3511,12410,3829,-8210,-4010,-3738,1668,4191,7082,11714
"66","58","      Domestic","AB71RX0",15220,2114,-3749,-1346,-13645,4171,4279,-9375,-3591,4078,1561,-818,3483,-11445,11147,2645,4111,-3128,-2789,1491,-2232,2367,1855,648,-12521,-3270,-220,-11977,13831,7970,194,3970,-5561,3995,-3340,521,357,658,-1663,-906,492,-4746,-5096,6501,2343,2253,-1351,2231,-272,726,-2708,-9199,-3544,-2391,9902,12557,-15268,-10530,-11739,3087,4938,5546,3016,-5418,-1474,1097,-912,4382,5427,7609
"67","59","      Foreign","AB72RX0",-1997,3659,-4987,382,-7177,954,-408,-335,692,417,-627,262,1653,952,-1310,2796,346,1395,150,3263,978,-82,437,809,1791,-500,1987,-679,819,885,-2269,5531,-3511,3155,-2380,1797,-600,-369,1783,-4795,2102,-190,-2151,-1578,2119,1626,-1326,2362,-1249,-3118,3139,-2133,3829,-39,3450,988,-4802,-1804,-6539,815,-1449,6882,816,-2789,-2521,-4735,2500,-154,1668,4084
"68","60","    Used","B147RX0",405,2043,-584,1803,2420,1911,1375,1654,-1351,1242,3556,1016,2876,7488,-4736,-2852,2432,-2376,-1429,5954,1265,5754,6397,-2910,2699,4678,102,1362,1089,-1411,-2413,1771,344,-1656,477,1119,-120,2484,959,-1219,-1610,-1474,-1382,302,-1889,-3314,-1110,-226,954,-2158,-209,-2944,-2275,-4129,-887,-2495,-4071,-351,2785,8983,4688,-1037,-2213,-8476,-5732,-5438,-3838,-5304,-783,-2013
"69","61","  Trucks","B709RX0",2572,5818,4329,2721,-4578,7403,5981,-3626,767,20,1035,10453,11951,-6847,-14642,-3105,13725,2942,9187,15099,5747,17346,273,4843,-19145,3753,2965,-27994,-4568,9102,6167,12413,18178,8834,-2010,11859,16494,6682,3336,-5072,-6214,-8768,-2282,11571,1085,-290,-3858,-15662,-6169,495,1936,-8584,-10249,4477,-26963,-22865,-36046,-35406,-464,10993,9858,10365,17928,-3355,3162,-5311,-3013,-6089,5794,11526
"70","62","    New trucks","W244RX0",2718,6682,4859,2630,-7426,5915,4338,-6111,4983,2589,2014,7205,8054,-15513,-10260,5736,12274,7896,9810,10089,4540,13676,-4221,7176,-22970,-274,3271,-30592,-5835,10848,8701,11062,19866,12179,-3486,7556,16143,5619,938,-3327,-1778,-8574,-2887,13396,-137,3143,-770,-13037,-6308,2517,1284,-8709,-9183,4975,-28123,-20953,-31737,-33172,-3276,2955,8614,11759,19406,697,9449,2612,1670,-1632,12799,16536
"71","63","      Domestic","AB73RX0",1784,6163,6059,5059,-7750,5875,5185,-7440,3336,2494,2927,5416,7760,-17053,-8158,5756,11055,8631,11278,7534,4845,11693,-2543,3157,-21445,751,3424,-31436,-5870,10820,7123,6531,18580,11098,-1419,7675,14466,3904,1174,58,-2097,-9194,-2429,11302,-929,2787,-1237,-14570,-4988,2984,1542,-7953,-11052,89,-32492,-14238,-24217,-27198,-182,1006,7068,9395,18860,87,8407,6808,-445,-1110,9121,14535
"72","64","      Foreign","AB74RX0",724,499,-787,-1750,108,135,-513,828,1282,117,-657,1494,346,985,-1809,67,1138,-486,-1039,2218,-202,1845,-1462,3501,-1575,-837,-76,315,-52,92,1489,4324,1304,1094,-2064,-112,1673,1714,-244,-3389,322,626,-459,2087,789,356,461,1481,-1297,-444,-241,-753,1750,4674,4059,-6506,-7347,-5878,-3034,1917,1526,2332,539,602,1023,-4114,2063,-519,3627,1973
"73","65","    Used \1\","W245RX0",148,19,59,287,1407,1579,1561,1337,-2809,-1838,-684,3025,3669,6118,-4141,-6891,1878,-3671,47,4696,1246,3790,3472,-1519,1861,3345,-130,841,925,-1180,-2032,1535,-1435,-3157,1239,4184,193,1059,2478,-1743,-4484,-181,601,-1787,1194,-3391,-3064,-2641,154,-2060,663,137,-1083,-527,1352,-1766,-4302,-1658,2987,8271,1215,-1384,-1343,-4118,-6217,-7833,-4574,-4415,-6790,-4742
"74",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","66","  Final sales of motor vehicles to domestic purchasers","AB75RX0",326647,323343,330726,338295,338251,342738,346804,352041,366152,354260,373884,381697,370308,401167,401600,447952,427026,452062,463296,451551,482061,447347,447573,441182,456162,446495,441452,497997,468041,470963,502122,467614,463923,483169,500089,486916,491095,495093,513143,524643,514339,533060,552972,498268,528885,524078,529928,530307,523344,517037,514994,512127,489601,445703,409589,335351,316961,318575,354504,336068,355104,380763,396388,421102,437573,423065,439813,462815,480151,475220
"76","67","  Private fixed investment in new autos and new light trucks","AB76RX0",107448,104145,109922,111330,115833,122468,129450,130236,135443,133397,138111,141356,139483,152079,137362,158648,158772,160576,171376,169265,176446,165921,164996,154855,163384,159960,152467,150096,148773,156936,162217,151870,144999,143502,154180,153651,149513,156844,168931,173796,164703,171974,187378,182144,198381,186185,185803,190680,192478,187943,194327,191478,185965,165489,150543,111451,87050,97271,103013,119795,131230,138988,144030,146383,152617,146404,159978,160505,170517,170681
"77","68","  Domestic output of new autos \2\","B148RX0",120589,107978,105358,108179,98687,115831,114764,100803,105177,106535,108498,106887,104552,99281,109719,115085,110692,110180,111821,113497,118782,116364,113179,106072,103570,107085,105068,106536,112319,112473,110586,103556,95643,98051,96058,98471,95394,94997,96662,101388,106667,104634,107776,112081,114500,107911,105728,104967,104600,106158,103212,105143,108948,100066,107260,84315,41051,48770,68597,78734,77024,77894,76065,72447,77261,78609,82093,92896,107993,106222
"78","69","  Sales of imported new autos \3\","B149RX0",53418,53386,53864,56502,52849,52076,53241,53086,56965,53879,58872,60000,61032,66116,61912,69208,69713,73864,75258,81168,83100,79599,78542,78589,77217,78308,75689,81917,82855,84138,86774,83994,84951,82682,83120,79891,83507,86587,82664,88057,83093,84617,88862,88855,93718,93631,96235,97708,99835,100856,98161,98150,94001,103312,87103,70904,66998,69457,82706,75285,77146,80090,85509,86836,94459,89312,84898,89714,101033,95998
"79","70","    Imports from Canada","GAP900",17678,15064,16804,17505,14338,16993,17692,15066,17820,17412,18544,16544,20437,19449,21992,24389,23591,21221,22610,23100,23296,19842,18111,17493,14663,15490,14497,14141,17500,19018,19862,19816,18587,21369,19313,19407,20619,21691,19426,19151,18245,13766,15270,16603,16038,13538,14738,14292,16332,20195,17104,14765,15444,16026,13652,12570,9885,8495,12597,15077,15779,19425,18995,15863,21613,20513,17912,20849,25668,25374
"80","71","      Sales","GAP1090",15585,14786,17356,17702,16174,16431,17077,16390,18380,16800,18301,16661,19825,21424,20042,23904,22838,21749,23100,22838,23674,19488,17852,17399,16243,15918,14525,15602,15605,17834,19831,19152,19564,20617,19902,19315,20552,21562,19717,19303,18168,14338,15926,15741,15750,13285,14907,14020,16370,20071,17518,16009,15937,16387,12421,10844,12999,9961,14439,14571,14914,18272,18366,16900,21956,20271,18089,19983,24530,23762
"81","72","      Inventory change","GAP1110",2094,277,-552,-197,-1836,561,615,-1324,-560,612,244,-117,612,-1975,1950,485,753,-528,-490,262,-379,354,259,93,-1580,-428,-28,-1461,1895,1183,31,665,-977,752,-589,92,67,129,-292,-152,77,-572,-657,862,288,253,-169,271,-38,124,-414,-1245,-493,-360,1231,1726,-3114,-1466,-1842,507,864,1153,628,-1037,-343,241,-177,866,1138,1612
"82","73","    Imports from Mexico","GAP1270",3754,3640,3656,6083,5861,5279,3593,3160,3202,4415,4287,4346,3935,5609,5224,6221,6530,6655,6036,7163,8212,9563,10498,10149,9506,8944,9927,9416,11521,11696,10023,9861,7491,9261,8187,7425,7811,8511,8928,9184,9220,11937,11961,15076,19741,17642,17352,17888,17622,15426,17176,16169,13999,17622,18529,17146,8377,13896,13534,16185,17300,15283,16240,16029,17653,17663,16727,17120,18825,18075
"83","74","      Sales","GAP1300",3310,3573,3776,6151,6612,5104,3468,3438,3302,4260,4231,4377,3817,6178,4760,6097,6321,6821,6167,7081,8345,9393,10348,10095,10530,9191,9946,10390,10274,10968,10007,9531,7885,8935,8436,7390,7786,8461,9062,9257,9181,12433,12476,14294,19387,17312,17551,17549,17663,15331,17592,17533,14446,18018,16859,14791,11015,16295,15514,15641,16353,14376,15702,17076,17933,17455,16893,16409,17990,16926
"84","75","      Inventory change","GAP1320",445,67,-120,-68,-751,174,125,-278,-101,155,56,-31,118,-569,463,124,208,-166,-131,81,-134,170,150,54,-1024,-247,-19,-973,1248,728,16,331,-394,326,-250,35,25,51,-134,-73,39,-496,-514,782,354,330,-199,339,-41,95,-416,-1363,-447,-396,1670,2355,-2639,-2398,-1979,544,948,907,537,-1047,-280,208,-166,711,835,1148
"85","76","  Exports of used autos","GAP990",1344,1264,1478,1478,1534,1434,1636,1403,1368,1502,1368,1405,1334,1240,1050,1021,933,978,780,767,722,694,662,655,599,658,720,677,656,732,764,737,724,925,1008,1310,1493,1894,2356,2739,3056,3554,3429,3455,3622,4138,4317,5298,5305,6817,6840,8069,8556,11072,11253,9820,6139,6862,7006,7671,6963,7497,6395,8003,8004,9311,7965,8704,8069,8086
"86","77","  Imports of used autos","GAP1020",97,97,91,82,72,76,75,64,125,112,105,88,275,321,349,359,470,545,644,767,844,874,950,946,897,868,861,867,918,1045,1014,1036,631,598,574,397,299,480,388,233,218,268,371,289,215,242,245,246,227,257,392,351,401,376,423,294,255,243,410,208,140,211,357,289,194,318,383,301,208,450
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","1. Consists of used light trucks only.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","3. Consists of sales of imported new autos in personal consumption expenditures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","in private fixed investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index and the 2005 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","value of the corresponding series, divided by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","  This table is based on annual and quarterly data published in NIPA table 7.2.6B with underlying",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","detail added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","  Chain-type quantity indexes for the series in this table are shown in table NIPA table 7.2.4B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
