"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"11","3","S1 PN441ZZZMG   Motor vehicle and parts dealers","T070033",83.328,83.1,83.169,83.65,84.13,84.213,84.143,84.486,84.649,84.815,84.935,85.142,85.403,85.565,85.791,86.355,86.759,87.081,87.518,87.747,88.06,88.495,88.924,88.889,88.961,89.126,89.496,89.769,90.072,90.435,90.788,91.131,91.485,92.141,92.677,92.922,93.308,93.462,94.07,94.027,94.054,94.246,94.017,94.151,94.046,94.244,94.457,94.844,95.188,95.624,95.898,95.684,95.746,95.645,95.438,95.863,96.086,96.096,95.93,96.212,96.147,96.518,96.773,96.357,96.187,95.971,96.082,96.028,96.157,96.473,96.06,95.908,96.006,95.835,95.61,95.719,95.286,95.16,95.706,95.896,95.991,95.972,96.319,96.321,96.341,96.226,96.214,96.232,96.293,96.504,96.851,97.093,97.29,97.253,97.346,97.053,97.098,97.087,97.441,97.533,97.788,97.873,97.669,97.295,97.558,97.661,97.965,98.492,98.617,98.503,98.508,98.483,98.57,98.554,98.837,98.749,97.689,98.535,98.708,98.791,98.612,98.227,98.286,98.408,98.409,98.407,98.737,98.823,98.886,98.81,98.631,98.414,97.783,97.567,97.679,97.435,97.294,97.036,97.067,96.759,96.603,96.096,96.038,96.03,96.149,96.346,96.472,96.601,96.765,96.819,96.682,96.39,96.769,97.114,97.739,98.005,98.163,98.323,98.293,98.463,98.8,98.791,98.514,98.18,98.498,98.911,99.136,99.238,99.407,99.446,99.513,99.577,99.618,99.553,99.732,99.754,99.742,99.686,99.505,99.409,99.509,99.456,99.683,99.73,99.74,99.703,99.856,99.979,100.145,100.236,100.488,100.526,100.381,100.04,99.82,99.482,99.368,99.226,99.281,99.153,98.996,98.642,98.426,98.03,98.173,98.282,98.388,98.683,99.084,99.622,99.469,99.889,100.712,101.78,102.659,103.258
"12","4","S4 PN4411ZZMG     Automobile dealers","T070043",84.087,83.831,83.838,84.396,84.914,85.07,85.008,85.385,85.568,85.776,85.926,86.127,86.445,86.658,86.974,87.612,88.09,88.567,89.054,89.337,89.669,90.212,90.713,90.629,90.696,90.864,91.276,91.576,91.904,92.338,92.742,93.157,93.614,94.373,94.894,95.169,95.612,95.778,96.457,96.416,96.418,96.659,96.407,96.542,96.398,96.646,96.882,97.334,97.688,98.166,98.484,98.221,98.289,98.162,98.013,98.478,98.746,98.776,98.616,98.905,98.817,99.23,99.553,99.103,98.886,98.609,98.696,98.661,98.811,99.19,98.728,98.557,98.635,98.453,98.223,98.41,97.905,97.707,98.336,98.542,98.667,98.603,98.979,98.977,98.998,98.89,98.869,98.901,98.985,99.235,99.622,99.881,100.053,100.044,100.084,99.786,99.792,99.746,100.106,100.263,100.54,100.646,100.383,100.003,100.256,100.333,100.632,101.174,101.248,101.114,101.082,101.086,101.172,101.149,101.456,101.361,100.083,101.065,101.264,101.371,101.155,100.694,100.725,100.827,100.815,100.838,101.134,101.2,101.275,101.188,100.955,100.734,99.925,99.646,99.796,99.523,99.367,99.072,99.106,98.719,98.559,97.993,97.888,97.878,97.975,98.16,98.297,98.428,98.599,98.617,98.486,98.172,98.561,98.976,99.646,99.94,100.036,100.202,100.164,100.327,100.703,100.655,100.249,99.82,100.144,100.575,100.822,100.915,101.078,101.094,101.096,101.075,101.05,100.956,101.036,101.025,101.025,100.915,100.668,100.561,100.64,100.571,100.782,100.829,100.815,100.769,100.901,101.031,101.163,101.186,101.414,101.427,101.212,100.757,100.451,100.057,99.845,99.62,99.587,99.368,99.108,98.599,98.241,97.806,97.982,98.055,98.123,98.432,98.912,99.516,99.391,99.882,100.838,102.067,103.065,103.736
"13","5","S4 PN4412ZZMG     Other motor vehicle dealers","T070053",80.65,80.914,81.59,82.369,82.785,82.093,81.967,81.902,81.817,82.418,82.169,82.917,82.485,82.603,82.479,82.713,83.325,82.786,83.143,83.291,83.573,83.845,83.971,83.599,83.754,84.103,84.654,84.91,85.442,85.259,85.819,85.605,85.485,86.491,87.292,87.373,87.589,87.367,87.908,87.997,87.711,87.869,87.818,87.967,88.297,87.937,88.067,87.931,88.413,89.243,89.583,89.549,89.551,89.362,88.599,89.156,89.087,88.492,87.986,88.742,88.909,88.905,88.99,88.847,88.715,88.76,88.972,88.916,88.987,89.036,88.681,88.86,89.364,88.973,88.648,88.699,88.597,88.672,88.967,89.239,89.076,88.916,89.693,89.971,89.81,89.895,90.265,90.162,90.189,90.306,90.68,90.86,91.051,90.772,91.011,90.538,90.83,91.263,91.76,91.959,92.087,92.086,92.058,91.708,91.975,92.262,92.341,92.822,93.069,92.838,92.911,92.77,93.115,93.134,93.053,93.077,93.129,93.085,93.044,93.014,92.851,92.741,92.846,93.036,93.187,92.763,92.994,93.18,93.235,93.564,93.464,93.316,93.187,93.109,93.137,93.035,92.871,92.851,92.82,92.787,92.636,92.002,92.294,92.374,92.635,93.198,93.377,93.592,93.806,94.184,93.53,93.06,93.521,93.251,93.949,94.248,94.534,94.623,94.67,95.079,95.24,95.439,95.824,95.791,96.067,96.67,96.587,96.531,96.747,96.837,97.061,97.62,97.628,97.605,98.465,98.586,98.191,98.48,98.429,98.261,98.418,98.277,98.485,98.499,98.515,98.404,98.524,98.604,98.846,99.012,99.526,99.389,99.46,99.351,99.191,99.204,99.545,99.438,99.744,99.477,99.562,99.689,99.528,98.894,98.722,98.905,99.081,99.406,99.636,100.043,99.781,99.97,100.493,101.139,101.36,101.464
"14","6","S2 PN4413ZZMG     Automotive parts, accessories and tire stores","T070063",77.998,77.782,78.083,77.845,78.057,77.864,77.754,78,78.103,77.761,77.791,77.789,77.931,77.701,77.385,77.504,77.23,76.736,76.799,76.642,76.809,76.46,76.432,76.944,77.013,77.081,77.044,77.105,77.111,77.143,77.01,77.025,76.782,76.477,77.002,77.1,77.106,77.335,77.423,77.305,77.661,77.48,77.359,77.475,77.47,77.537,77.601,77.712,77.917,77.85,77.752,77.847,77.885,78.018,77.616,77.669,77.682,77.813,77.765,77.771,77.777,77.992,77.809,77.538,77.702,77.83,78.08,77.877,77.871,77.829,77.773,77.603,77.669,77.684,77.545,77.085,77.044,77.394,77.399,77.422,77.42,77.832,77.717,77.607,77.71,77.443,77.291,77.273,77.161,77.103,77.104,77.242,77.649,77.51,77.961,77.82,78.052,78.076,78.292,77.764,77.916,77.874,78.068,77.736,78.07,78.278,78.769,79.199,79.674,79.815,80.115,79.911,79.838,79.857,80.158,80.059,80.23,80.419,80.523,80.485,80.646,80.739,81.026,81.279,81.293,81.341,82.054,82.254,82.218,81.961,82.212,81.968,82.619,82.866,82.691,82.604,82.63,82.528,82.575,82.797,82.671,82.818,82.897,82.843,83.055,83.059,83.052,83.087,83.142,83.276,83.507,83.561,83.783,83.981,84.131,84.118,84.732,84.909,84.888,84.933,85.063,85.214,85.603,85.903,86.183,86.283,86.57,86.871,87.056,87.26,87.778,88.2,88.865,89.026,89.554,89.8,89.997,90.141,90.473,90.547,90.788,90.96,91.35,91.422,91.65,91.752,92.135,92.23,92.652,93.298,93.56,93.971,94.304,94.798,95.293,95.152,95.535,96.063,96.657,97.379,97.884,98.362,99.126,99.154,99.274,99.608,99.939,100.116,100.062,100.205,99.922,99.91,99.877,100,100.373,100.713
"15","7","S1 PN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T070073",154.449,154.662,155.127,156.481,155.588,155.392,156.678,155.771,155.467,156.001,156.431,155.887,155.7,156.288,157.273,157.147,156.66,157.586,156.628,157.868,158.139,158.835,159.756,159.589,160.949,161.057,160.617,161.09,162.28,162.158,163.302,163.324,162.993,162.387,161.48,161.295,161.299,162.401,162.218,162.668,162.841,162.037,161.384,162.65,162.926,162.806,161.984,162.843,162.581,162.559,162.476,162.297,161.558,162.258,162.301,162.171,162.634,162.035,160.833,160.228,160.184,160.616,160.706,160.13,160.277,160.119,159.446,158.847,158.72,158.367,157.895,158.043,157.055,156.535,156.46,156.509,154.687,154.873,155.078,153.78,153.227,152.674,151.905,151.106,151.019,150.028,149.322,149.277,148.266,147.434,146.612,146.296,145.836,144.783,143.992,143.817,143.707,143.332,143.636,143.101,142.695,142.031,142.293,141.097,141.744,140.691,139.8,139.113,138.659,138.094,136.964,136.666,135.449,135.043,134.68,133.541,133.045,132.549,132.294,131.614,131.28,130.635,130.209,130.101,130.052,129.584,128.952,128.416,127.853,127.529,126.698,126.113,125.644,125.14,124.677,124.287,123.162,122.487,122.224,121.817,121.287,121.245,120.733,120.316,120.252,120.261,120.041,119.924,119.349,119.435,118.781,118.19,117.89,117.684,117.192,116.741,116.712,116.167,116.229,116.172,115.953,115.21,114.949,114.432,114.204,113.875,113.731,113.795,113.578,113.112,112.708,112.355,111.77,111.374,111.28,111.24,110.638,110.59,110.172,109.746,109.272,109.381,109.028,108.638,108.306,108.112,107.596,106.819,106.637,106.185,105.729,105.377,105.392,105.221,105.259,104.122,103.901,103.859,103.861,103.863,103.642,103.484,102.773,102.182,101.993,101.89,101.658,101.494,101.174,100.805,99.81,98.789,98.597,98.284,98.017,97.49
"16","8","S1 PN442ZZZMG     Furniture and home furnishings stores","T070083",98.221,98.839,99.382,100.234,99.136,99.373,99.907,99.088,98.772,99.433,100.023,99.057,99.011,99.057,99.949,100.269,99.74,100.359,100.551,100.75,100.577,101.212,101.427,101.461,102.306,102.187,101.383,102.045,103.243,103.671,103.805,103.535,102.941,102.483,102.106,101.434,101.938,102.847,103.051,103.297,103.043,102.792,103.647,104.322,104.447,104.579,103.507,103.869,104.552,104.51,104.197,104.34,103.893,104.239,104.023,104.805,105.453,105.12,104.638,104.436,104.276,104.673,104.884,105.145,105.652,105.582,105.069,104.544,104.626,104.588,104.011,104.479,104.556,104.537,105.176,105.893,105.272,105.521,106.193,105.763,105.358,105.449,105.193,105.386,105.589,105.201,105.371,106.069,105.197,105.094,105.215,105,105.304,104.797,104.233,104.187,104.454,104.828,105.731,105.759,104.913,104.575,105.299,104.972,106.176,105.869,105.746,105.558,105.546,105.5,105.119,105.365,104.614,104.582,104.544,104.272,104.102,103.893,103.944,103.583,103.558,103.233,103.315,103.555,103.795,103.665,103.528,103.074,103.165,102.96,102.539,102.087,101.967,101.928,101.716,101.886,101.062,100.897,101.134,101.202,100.93,101.041,100.537,100.356,100.724,100.973,101.11,101.087,100.644,101.479,101.002,100.527,100.516,100.659,100.615,100.562,100.795,100.446,101.029,101.347,101.48,100.739,100.977,100.677,100.408,100.502,100.826,101.394,101.567,101.27,101.069,101.321,101.249,101.403,101.446,101.864,101.402,101.585,101.45,101.048,100.944,101.379,101.371,101.108,100.986,101.294,101.06,100.537,100.358,99.704,99.907,99.851,100.299,100.235,100.86,99.513,99.376,99.724,100.095,100.376,100.769,100.884,100.262,99.665,100.001,100.325,100.787,100.841,100.828,100.915,100.385,99.222,99.901,99.398,98.773,98.624
"17","9","S4 PN4421ZZMG       Furniture Stores","T070093",98.805,100.171,101.764,102.697,100.732,101.197,101.714,100.689,100.611,101.793,102.323,101.486,101.94,101.515,102.405,102.546,102.108,102.678,102.358,102.652,103.177,103.968,103.875,103.982,104.736,104.554,104.388,105.377,106.161,106.723,106.774,106.569,105.486,105.272,104.758,104.571,104.97,105.921,106.247,106.272,105.912,105.934,106.847,107.406,107.471,107.248,106.767,107.664,108.009,107.369,107.223,107.933,107.375,108.149,107.934,108.213,108.794,108.028,107.942,107.942,107.001,107.13,107.793,108.119,109.268,109.054,107.921,107.66,108.009,108.065,107.351,106.99,106.558,106.966,107.897,108.438,107.652,107.86,108.669,108.252,107.661,107.438,107.229,107.803,107.53,107.466,107.942,108.69,107.296,107.31,107.592,107.219,107.6,106.887,106.424,106.447,106.961,107.17,108.005,107.219,106.461,105.884,106.365,106.237,107.958,107.359,107.219,106.813,106.292,106.487,106.338,106.548,105.74,105.54,105.348,104.79,104.742,104.264,104.175,103.752,103.291,103.25,103.518,103.557,103.733,103.733,103.645,103.18,103.156,103.088,102.767,102.634,102.436,102.715,102.39,102.654,102.078,101.912,102.08,102.033,101.827,101.591,101.069,101.112,101.751,102.27,102.297,101.968,101.54,102.898,102.12,101.293,101.296,101.531,101.129,101.129,101.333,100.535,101.353,101.68,101.803,100.647,100.933,100.487,100.346,100.504,101.096,101.906,101.89,101.557,101.36,101.971,102.192,102.39,102.214,102.379,101.671,101.913,101.678,101.309,101.19,102.004,102.206,102.035,101.625,101.808,101.49,101.005,100.513,99.686,99.988,99.431,99.697,99.745,101.162,100.086,99.368,99.76,100.191,100.322,100.847,100.984,100.182,99.207,99.523,100.006,100.828,101.183,101.296,101.3,100.569,99.007,99.782,99.285,98.64,98.732
"18","10","S4 PN4422ZZMG       Home furnishings stores","T070103",98.016,97.529,96.501,97.252,97.446,97.348,97.906,97.383,96.712,96.615,97.298,96.134,95.377,96.084,96.984,97.576,96.909,97.6,98.542,98.597,97.421,97.834,98.49,98.418,99.399,99.37,97.675,97.889,99.66,99.913,100.163,99.803,99.866,99.07,98.872,97.545,98.2,99.057,99.1,99.631,99.509,98.891,99.675,100.504,100.706,101.309,99.448,99.135,100.259,101.011,100.477,99.858,99.56,99.354,99.143,100.573,101.309,101.535,100.546,100.088,100.937,101.688,101.311,101.486,101.169,101.287,101.57,100.706,100.443,100.283,99.878,101.427,102.175,101.586,101.84,102.787,102.378,102.679,103.179,102.73,102.561,103.05,102.732,102.452,103.252,102.456,102.254,102.911,102.681,102.434,102.348,102.319,102.524,102.268,101.58,101.449,101.417,101.987,102.968,103.987,103.033,102.993,104.029,103.458,104.029,104.066,103.961,104.042,104.661,104.329,103.672,103.963,103.281,103.449,103.594,103.673,103.352,103.479,103.706,103.414,103.922,103.234,103.079,103.567,103.884,103.595,103.396,102.957,103.185,102.819,102.282,101.463,101.438,101.03,100.955,101.016,99.909,99.744,100.058,100.258,99.911,100.417,99.935,99.499,99.551,99.49,99.751,100.079,99.618,99.844,99.709,99.642,99.614,99.657,100.033,99.917,100.186,100.356,100.666,100.978,101.123,100.868,101.046,100.92,100.497,100.514,100.523,100.808,101.2,100.942,100.736,100.578,100.177,100.277,100.568,101.275,101.093,101.208,101.188,100.746,100.66,100.659,100.407,100.037,100.247,100.696,100.559,99.992,100.171,99.716,99.808,100.335,101.005,100.813,100.522,98.855,99.391,99.694,100.004,100.457,100.697,100.781,100.357,100.195,100.572,100.716,100.753,100.452,100.292,100.478,100.185,99.489,100.056,99.545,98.945,98.517
"19","11","S1 PN443ZZZMG     Electronics and appliance stores","T070113",247.261,246.098,246.077,248.279,248.469,247.064,249.972,249.247,249.124,249.013,248.76,249.726,249.194,251.115,251.903,250.533,250.388,251.782,248.043,251.636,253.021,253.612,256.112,255.47,257.714,258.396,259.125,258.901,259.616,258.096,261.49,262.282,262.766,261.972,259.984,261.082,259.79,261.022,259.935,260.741,261.902,259.97,255.849,258.177,258.736,258.047,258.045,259.852,257.434,257.453,257.937,257.049,255.819,257.178,257.844,255.55,255.459,254.387,251.793,250.383,250.64,251.035,250.803,248.365,247.609,247.284,246.41,245.797,245.205,244.192,244.098,243.434,240.165,238.603,236.893,235.396,231.257,231.259,230.38,227.457,226.692,224.848,223.112,220.304,219.606,217.509,215.057,213.456,212.333,210.117,207.482,207.008,205.034,203.033,201.908,201.49,200.618,198.767,197.804,196.208,196.763,195.548,194.816,192.043,191.487,189.115,186.837,185.294,184.055,182.552,180.122,178.815,176.865,175.792,174.859,172.227,171.187,170.222,169.444,168.265,167.405,166.248,164.955,164.247,163.694,162.679,161.252,160.62,158.981,158.487,157.029,156.268,155.244,154.002,153.158,151.854,150.317,148.846,147.78,146.638,145.735,145.455,144.963,144.198,143.463,143.096,142.335,142.078,141.335,140.299,139.412,138.672,137.957,137.239,136.109,135.099,134.694,133.893,133.224,132.645,131.944,131.225,130.286,129.488,129.323,128.427,127.656,127.042,126.325,125.656,125,123.881,122.661,121.584,121.324,120.723,119.966,119.644,118.901,118.456,117.56,117.287,116.537,116.006,115.436,114.674,113.85,112.797,112.611,112.375,111.219,110.559,110.127,109.846,109.294,108.367,108.062,107.637,107.28,107.012,106.217,105.807,105.007,104.412,103.741,103.262,102.427,102.07,101.477,100.702,99.297,98.402,97.455,97.311,97.349,96.507
"20","12","S1 PN444ZZZMG   Building material and garden equipment and supplies dealers","T070123",84.26,85.877,86.958,87.38,87.386,86.906,86.601,86.556,87.158,87.116,87.467,88.759,90.161,92.305,94.607,95.643,95.226,93.935,93.729,93.553,93.923,94.869,95.843,96.524,97.561,96.938,97.545,96.529,96.113,96.625,96.248,96.097,96.417,96.361,96.711,96.548,96.637,96.338,96.869,96.907,96.891,96.382,96.414,96.799,97.115,96.825,96.363,96.414,96.373,96.432,96.586,96.569,97.757,97.828,97.523,98.307,99.271,98.423,99.04,99.304,99.495,100.128,100.705,100.723,101.052,100.539,100.54,100.247,100.08,99.1,99.097,98.815,98.717,98.731,98.649,98.244,97.483,96.748,96.946,97.136,96.163,95.252,95.167,95.4,95.594,96.02,96.355,96.373,96.814,97.868,99.012,98.542,97.467,96.597,96.667,97.04,97.234,97.37,97.922,97.529,96.655,96.605,96.337,95.519,95.627,95.727,95.691,95.714,95.648,95.664,95.727,95.547,96.981,97.309,96.356,96.463,96.229,95.041,94.507,94.126,94.396,94.764,95.181,95.515,95.278,95.078,95.08,95.144,94.733,94.414,94.435,94.244,94.285,94.648,94.455,94.185,94.146,94.129,94.428,94.59,95.38,95.408,95.48,95.193,95.768,96.706,97.455,98.279,98.575,98.121,97.932,98.578,98.813,98.258,97.777,98.067,98.863,99.571,99.828,100.002,99.582,99.975,99.833,99.691,100.152,100.46,99.889,99.975,100.462,100.956,101.124,101.202,101.084,100.758,100.614,100.383,100.608,99.911,100.272,100.521,100.653,100.993,101.23,101.045,100.959,101.272,101.238,100.768,100.73,100.554,100.462,100.503,100.229,100.24,100.498,100.554,100.966,100.693,101.075,101.399,101.697,101.537,100.936,100.875,100.277,100.199,100.016,100.17,100.42,100.612,100.68,99.711,99.683,99.444,99.414,99.372
"21","13","S2 PN4441ZZMG     Building material and supplies dealers","T070133",82.649,84.482,85.681,86.189,86.199,85.562,85.282,85.29,86.01,86.035,86.453,87.763,89.409,92.016,94.698,95.858,95.422,93.989,93.531,93.277,93.758,94.785,95.746,96.473,97.737,96.904,97.609,96.5,95.947,96.444,96.021,95.867,96.19,96.144,96.601,96.441,96.514,96.178,96.708,96.699,96.668,96.046,96.054,96.359,96.641,96.196,95.414,95.291,95.155,95.169,95.134,94.989,96.28,96.501,96.131,96.985,97.927,97.241,98.025,98.152,98.504,99.288,99.773,99.749,100.116,99.666,99.815,99.485,99.24,98.355,98.37,98.098,98.087,98.262,98.397,98.102,97.286,96.421,96.552,96.915,96.077,95.099,94.958,95.304,95.543,96.1,96.573,96.473,97.04,98.208,99.648,99.028,97.712,96.64,96.826,97.168,97.413,97.366,97.859,97.393,96.297,96.215,95.914,95.112,95.073,95.115,95.023,94.861,94.464,94.592,94.786,94.667,96.356,96.72,95.715,95.814,95.571,94.33,93.829,93.525,93.86,94.266,94.776,95.089,94.773,94.591,94.569,94.668,94.284,93.819,93.842,93.659,93.624,93.951,93.75,93.588,93.615,93.642,93.983,94.138,95.101,95.191,95.205,94.977,95.592,96.7,97.482,98.28,98.676,98.125,97.935,98.721,98.866,98.198,97.643,97.965,98.777,99.622,100.004,100.154,99.721,100.189,99.991,99.736,100.162,100.558,100.009,100.103,100.62,101.193,101.343,101.386,101.273,100.859,100.674,100.432,100.704,99.964,100.342,100.598,100.761,101.094,101.359,101.14,101.037,101.408,101.432,100.916,100.855,100.627,100.447,100.507,100.255,100.332,100.597,100.632,101.083,100.784,101.106,101.471,101.779,101.629,101.078,101.13,100.428,100.248,100.016,100.28,100.534,100.612,100.674,99.567,99.619,99.373,99.335,99.315
"22","14","S3 PN4442ZZMG     Lawn and garden equipment and supplies stores","T070143",94.461,94.818,95.223,95.137,95.107,95.593,95.157,94.795,94.665,94.216,94.168,95.37,95.266,94.58,94.558,94.877,94.6,94.166,95.473,95.776,95.477,95.939,96.994,97.401,97.07,97.694,97.726,97.255,97.663,98.27,98.203,98.081,98.383,98.264,97.893,97.72,97.931,97.887,98.428,98.778,98.865,99.081,99.262,100.137,100.658,101.341,102.906,104.099,104.697,105.049,106.464,107.293,107.786,106.871,106.994,107.338,108.441,106.552,106.116,107.256,106.44,106.131,107.295,107.573,107.663,106.753,105.836,105.767,106.058,104.493,104.369,104.022,103.395,102.441,101.077,100.013,99.555,99.597,100.238,99.345,97.525,97.026,97.287,96.851,96.772,96.405,95.866,96.638,96.275,96.614,95.93,96.366,96.795,97.185,96.513,97.074,96.953,98.201,99.103,99.157,99.847,100.021,99.99,99.065,100.152,100.654,101.037,102.307,104.453,103.796,102.994,102.393,102.035,102.108,101.533,101.689,101.521,100.718,99.939,98.986,98.757,98.833,98.552,99.04,99.382,99.053,99.225,99.029,98.406,99.19,99.197,98.943,99.572,100.22,100.095,99.005,98.473,98.124,98.113,98.325,97.76,97.288,97.827,97.061,97.316,96.915,97.416,98.434,97.927,98.257,98.072,97.591,98.546,98.894,99.03,99.061,99.738,99.307,98.524,98.901,98.58,98.355,98.681,99.495,100.28,99.82,99.069,99.086,99.303,99.052,99.397,99.809,99.653,100.104,100.312,100.169,99.993,99.658,99.879,100.078,99.941,100.346,100.357,100.438,100.495,100.33,99.83,99.733,99.878,100.085,100.626,100.526,100.085,99.614,99.832,100.032,100.158,100.067,100.856,100.908,101.138,100.917,99.995,99.237,99.295,99.863,99.992,99.452,99.68,100.591,100.721,100.676,100.097,99.923,99.953,99.756
"23","15","S1 PN445ZZZMG   Food and beverage stores","T070153",64.656,64.891,65.079,65.096,65.019,65.226,65.264,65.647,65.77,65.785,65.754,65.812,65.915,66.078,66.065,66.209,66.636,66.471,66.428,66.482,66.382,66.627,66.705,66.902,66.988,66.972,66.853,67.015,67.157,67.419,67.579,67.576,67.617,67.517,67.575,67.869,67.836,68.029,68,68.45,68.539,68.558,68.69,68.793,68.945,69.185,69.171,69.32,69.565,69.873,70.202,70.453,70.477,70.82,71.124,71.28,71.568,71.934,72.07,72.066,72.097,72.349,72.18,72.326,72.267,72.334,72.382,72.5,72.584,72.664,72.817,72.795,73.047,73.067,73.042,73.228,73.439,73.438,73.631,73.838,73.849,74.131,74.164,74.543,74.966,74.955,74.823,75.149,75.19,75.244,75.439,75.563,75.966,76.004,76.184,76.26,76.343,76.578,76.881,77.062,77.36,77.438,77.838,78.055,78.222,78.223,78.296,78.679,78.755,79.213,79.332,79.557,79.7,80.005,80.298,80.319,80.538,80.672,80.617,80.451,80.779,81.129,81.164,81.67,81.178,81.259,81.384,81.452,81.499,81.381,81.628,81.63,81.794,82.175,82.357,82.264,82.204,82.714,82.911,83.289,83.555,83.744,84.16,84.571,84.485,84.638,84.971,85.116,85.838,86.043,86.137,86.2,86.088,86.679,87.021,86.942,86.797,86.687,86.866,87.561,87.575,87.508,87.76,87.862,88.191,88.247,88.386,88.432,88.76,88.644,88.778,88.75,88.804,89.036,89.291,89.535,89.657,89.723,89.609,89.677,90.313,90.967,91.413,91.75,92.116,92.582,92.866,93.112,93.507,93.915,94.45,94.732,95.285,95.719,96.003,97.042,97.531,98.315,99.415,99.878,100.42,100.603,100.302,99.943,100.052,100.015,99.911,99.94,99.706,100.16,99.88,100.027,99.829,99.99,100.162,100.326
"24","16","S1 PN4451ZZMG     Grocery stores","T070163",64.263,64.5,64.686,64.71,64.614,64.828,64.869,65.267,65.384,65.394,65.364,65.422,65.521,65.685,65.678,65.828,66.283,66.108,66.065,66.127,66.024,66.288,66.36,66.564,66.649,66.636,66.515,66.686,66.837,67.104,67.27,67.276,67.324,67.222,67.275,67.583,67.554,67.752,67.716,68.175,68.262,68.283,68.429,68.519,68.679,68.928,68.907,69.076,69.312,69.624,69.952,70.214,70.23,70.574,70.884,71.04,71.329,71.702,71.84,71.825,71.856,72.104,71.922,72.07,71.998,72.07,72.117,72.225,72.314,72.39,72.557,72.527,72.792,72.817,72.796,72.975,73.192,73.187,73.394,73.605,73.6,73.887,73.919,74.288,74.723,74.694,74.567,74.895,74.931,74.988,75.174,75.3,75.702,75.742,75.917,75.973,76.054,76.289,76.588,76.765,77.084,77.149,77.559,77.783,77.958,77.952,78.018,78.417,78.487,78.961,79.085,79.308,79.452,79.769,80.055,80.079,80.291,80.429,80.362,80.194,80.524,80.87,80.932,81.437,80.91,80.981,81.106,81.162,81.22,81.079,81.344,81.336,81.5,81.905,82.087,81.99,81.913,82.446,82.649,83.04,83.305,83.501,83.925,84.339,84.249,84.424,84.754,84.873,85.645,85.847,85.959,86.011,85.86,86.491,86.838,86.747,86.604,86.484,86.674,87.395,87.422,87.351,87.616,87.713,88.051,88.112,88.242,88.301,88.626,88.481,88.616,88.589,88.632,88.865,89.146,89.413,89.541,89.589,89.469,89.566,90.195,90.859,91.298,91.656,92.023,92.484,92.797,93.036,93.468,93.886,94.458,94.759,95.306,95.739,96.048,97.112,97.63,98.471,99.618,100.094,100.637,100.797,100.428,99.994,100.104,100.075,99.932,99.971,99.7,100.175,99.861,99.999,99.806,99.961,100.11,100.304
