"","Table 7#2#4U# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194"
"11","3","       Truck output","A716RG3",27.094,27.231,27.354,27.809,27.957,27.914,28.253,28.456,28.483,28.627,29.084,29.294,29.478,30.016,30.236,30.648,31.519,32.247,32.117,32.003,32.487,32.639,32.721,32.378,32.175,32.638,33.125,33.29,34.034,35.024,36.249,37.734,38.2,39.512,40.935,41.523,42.212,42.574,43.379,44.343,45.162,45.982,47.031,48.665,49.281,50.258,51.215,51.809,53.473,54.855,54.838,56.144,57.877,58.003,60.548,62.282,64.057,66.336,67.319,68.718,68.65,70.021,71.601,71.947,72.316,72.281,73.076,74.169,75.153,76.04,76.65,76.577,77.321,77.828,78.114,79.187,79.244,80.149,79.793,80.705,80.419,80.172,80.677,80.625,80.135,80.328,81.041,82.171,82.91,83.419,84.016,84.802,85.811,86.458,86.638,88.115,89.178,89.522,90.317,90.998,91.274,92.124,91.854,92.268,93.902,95.173,96.602,97.806,98.959,99.873,100.898,101.471,102.138,103.171,104.074,105.344,106.561,107.107,107.234,107.851,107.837,108.411,108.953,108.86,108.134,107.803,108.156,108.345,108.794,109.138,109.305,109.343,108.76,109.573,109.078,108.647,108.494,108.239,107.745,108.316,107.13,106.708,106.962,107.399,105.713,104.633,104.604,104.442,104.473,104.698,103.582,104.762,105.841,105.72,103.911,104.005,103.987,103.737,103.251,102.482,101.92,102.051,102.212,102.009,100.716,99.197,97.387,95.691,96.752,99.398,100.889,102.961,103.273,103.797,104.215,104.768,105.544,107.094,108.473,108.622,109.338,109.895,110.284,110.779,111.041,111.836,112.728,112.909,111.505,112.013,112.764
"12","4","Final sales of domestic product","AB60RG3",34.104,34.341,34.98,35.557,35.404,35.637,36.005,36.271,36.228,36.413,36.771,36.729,36.805,37.122,37.379,38.609,39.586,39.95,39.245,38.401,39.066,39.353,39.536,38.621,38.663,38.852,39.174,39.097,39.777,40.603,42.326,43.854,43.935,45.042,45.603,46.505,47.62,48.182,49.033,50.34,50.687,51.256,51.797,53.413,54.249,54.771,55.661,56.434,57.623,59.38,60.052,60.799,62.547,64.001,64.984,65.721,66.529,68.935,70.537,70.691,70.976,71.936,73.202,73.017,73.942,74.481,75.371,75.859,76.634,77.076,77.807,77.772,78.594,79.188,79.805,79.958,79.514,80.433,81.452,82.33,82.355,83.139,84.359,84.411,82.79,82.798,84.394,84.754,85.617,86.519,86.919,87.374,87.921,88.044,88.08,88.665,90.254,90.858,91.628,91.875,92.04,93.029,93.355,93.633,94.819,95.822,97.114,97.983,99.16,100.281,101.691,102.336,102.957,103.589,103.748,104.43,105.546,106.104,106.74,107.477,107.989,107.889,108.159,108.195,107.347,106.731,107.208,107.084,107.164,107.095,107.274,107.332,106.919,107.406,106.834,106.372,106.169,106.164,105.716,106.211,105.596,105.47,105.528,105.864,103.53,102.59,102.396,102.212,102.517,103.001,101.874,102.912,103.773,104.087,102.517,103.352,103.512,102.997,102.765,102.286,102.183,102.351,102.236,101.492,99.879,98.432,97.778,96.492,97.394,99.354,100.514,102.738,103.144,103.683,104.018,104.352,104.933,106.601,107.815,107.935,108.32,108.676,108.772,109.156,109.49,110.149,110.743,110.497,109.235,109.656,110.273
"13","5","  Personal consumption expenditures","AB61RG3",31.456,31.732,32.428,32.949,32.888,33.08,33.355,33.628,33.613,33.786,33.859,34.114,34.089,34.294,34.709,35.916,36.898,37.121,36.371,35.673,36.337,36.706,36.942,36.325,36.578,37.027,37.171,37.086,37.028,37.987,40.081,41.675,41.983,42.814,43.457,44.327,45.144,45.926,46.807,48.113,48.453,48.774,49.02,50.285,51.398,52.095,53.23,54.304,55.3,56.561,56.877,57.248,58.563,59.533,60.623,61.991,62.672,64.727,66.288,67.393,67.801,68.531,69.275,69.44,70.615,71.37,72.334,73.367,73.876,74.783,75.544,75.739,76.494,76.855,77.15,77.624,77.943,78.834,80.155,81.144,81.616,83.273,84.534,84.975,83.856,84.21,85.462,86.13,87.195,87.613,87.439,87.872,88.034,87.53,87.539,88.128,89.675,90.292,90.945,91.338,91.234,92.097,92.89,93.626,94.536,96.149,97.809,99.342,99.942,101.208,103.06,104.91,106.199,107.015,106.889,107.619,108.95,109.03,109.551,110.275,110.692,110.024,109.624,109.761,109.003,108.368,108.837,108.948,108.715,108.773,109.669,109.792,109.267,109.904,109.524,109.874,110.041,109.873,109.461,109.794,109.128,108.843,109.053,108.655,106.698,105.96,105.098,103.727,103.883,104.323,103.904,105.296,105.85,106.297,105.271,105.932,106.067,105.505,105.112,104.441,104.088,104.05,104.058,103.986,102.739,101.025,99.789,97.782,97.417,98.542,100.122,103.918,105.691,106.331,106.943,107.003,107.605,109.695,110.549,110.335,110.346,111.103,110.863,110.932,111.309,111.612,111.74,111.659,111.165,111.255,111.095
"14","6","    New motor vehicles","AB67RG3",36.022,36.214,36.754,37.278,37.269,37.439,37.686,38.011,37.846,38.062,38.289,38.559,38.567,38.717,39.177,40.647,41.565,41.588,40.671,39.828,40.575,40.747,40.995,40.14,40.28,40.645,40.867,40.715,40.861,41.862,43.698,45.148,45.449,46.635,46.997,47.922,48.826,49.212,49.739,50.864,51.216,51.63,52.276,53.991,55.191,55.577,56.432,57.692,58.97,60.306,61.107,61.884,63.51,64.82,66.132,66.768,66.895,68.921,70.038,70.881,71.078,71.715,72.413,72.347,72.972,73.397,73.924,74.638,75.129,75.631,76.171,76.581,77.553,78.153,78.702,79.279,79.986,81.315,82.596,83.378,83.418,83.872,84.619,85.035,84.623,85.101,86.039,86.573,87.001,87.329,87.413,88.333,89.137,88.96,89.141,90.359,92.042,92.659,93.165,93.676,94.344,95.11,95.635,96.049,96.696,97.553,98.561,99.402,100.233,101.167,102.304,102.854,103.271,104.033,104.4,104.97,105.452,105.884,106.478,106.994,107.198,107.01,106.83,106.599,106.463,106.172,106.537,106.305,106.305,106.267,106.314,106.337,105.948,106.581,106.35,105.831,105.839,105.712,105.229,105.619,104.312,103.662,103.622,103.902,102.793,102.442,102.285,102.018,101.839,102.003,101.066,101.899,102.852,102.769,101.396,101.833,101.956,101.684,101.661,100.926,100.532,100.502,100.508,100.383,99.992,99.418,98.93,97.515,98.11,99.696,100.064,102.13,101.875,101.776,102.181,102.455,102.973,104.83,105.562,105.501,105.846,106.416,106.744,107.113,107.291,107.765,108.13,108.027,107.773,108.319,108.744
"15","7","      Autos","A136RG3",36.425,36.626,37.173,37.703,37.681,37.861,38.114,38.441,38.27,38.493,38.727,38.992,38.999,39.151,39.618,41.107,42.038,42.067,41.146,40.284,41.038,41.214,41.469,40.576,40.74,41.109,41.339,41.156,41.325,42.325,44.2,45.623,45.96,47.161,47.515,48.424,49.378,49.77,50.3,51.391,51.768,52.218,52.897,54.535,55.866,56.198,57.022,58.342,59.632,60.982,61.788,62.57,64.21,65.537,66.865,67.469,67.572,69.622,70.752,71.614,71.814,72.469,73.176,73.095,73.671,74.121,74.668,75.316,75.763,76.224,76.731,77.077,77.986,78.559,79.07,79.569,80.304,81.594,82.833,83.927,84.005,84.553,85.48,85.836,85.414,85.968,87.042,87.539,87.715,88.129,87.907,88.783,89.339,88.912,89.003,89.955,91.64,92.345,92.693,93.175,93.702,94.325,94.9,95.348,95.739,96.41,97.165,97.949,98.662,99.459,100.479,101.024,101.473,102.01,102.026,102.429,102.962,103.289,103.908,104.096,104.013,103.883,103.58,103.181,103.068,102.748,103.018,102.652,102.422,101.989,101.869,101.823,101.802,102.244,102.271,101.829,101.736,101.685,101.322,101.541,100.907,100.349,100.073,100.219,99.008,98.642,98.333,97.985,97.867,98.227,97.518,98.129,98.945,99.061,98.237,99.238,99.759,99.59,99.953,99.661,99.484,99.401,99.327,99.146,99.001,98.945,99.541,98.601,98.976,99.668,99.642,101.714,101.355,100.838,100.834,100.901,101.367,103.752,104.971,104.808,104.77,105.147,105.191,105.604,105.973,105.819,105.696,105.38,105.324,105.474,105.348
"16","8","        Domestic","GAP523",36.417,36.617,37.163,37.692,37.668,37.844,38.092,38.415,38.238,38.468,38.72,39.016,39.067,39.243,39.72,41.189,42.093,42.095,41.142,40.288,41.045,41.219,41.469,40.569,40.721,41.093,41.343,41.198,41.418,42.442,44.303,45.695,45.944,47.094,47.426,48.34,49.326,49.747,50.294,51.4,51.778,52.227,52.899,54.524,55.846,56.172,56.995,58.331,59.63,61.007,61.823,62.604,64.24,65.568,66.919,67.546,67.686,69.761,70.883,71.712,71.836,72.454,73.139,73.04,73.619,74.065,74.62,75.283,75.746,76.22,76.731,77.09,78.001,78.561,79.076,79.541,80.236,81.52,82.761,83.855,83.954,84.521,85.471,85.839,85.43,85.992,87.064,87.566,87.74,88.153,87.93,88.818,89.363,88.928,89.014,89.951,91.638,92.34,92.687,93.175,93.705,94.329,94.9,95.336,95.707,96.371,97.126,97.918,98.653,99.465,100.495,101.034,101.471,102.001,102.015,102.422,102.962,103.292,103.916,104.109,104.025,103.894,103.591,103.19,103.074,102.753,103.02,102.66,102.432,102,101.879,101.829,101.806,102.245,102.27,101.824,101.734,101.681,101.318,101.522,100.908,100.35,100.071,100.217,99.009,98.641,98.334,97.98,97.859,98.222,97.518,98.14,98.953,99.072,98.251,99.247,99.763,99.589,99.949,99.66,99.486,99.401,99.327,99.141,98.993,98.928,99.517,98.583,98.962,99.666,99.613,101.72,101.351,100.845,100.845,100.92,101.394,103.78,104.999,104.828,104.778,105.148,105.189,105.601,105.975,105.822,105.702,105.387,105.331,105.482,105.354
"17","9","        Foreign","GAP553",36.419,36.618,37.166,37.692,37.668,37.843,38.102,38.416,38.241,38.466,38.719,39.018,39.068,39.243,39.699,41.227,42.093,42.095,41.248,40.289,41.044,41.218,41.475,40.569,40.723,41.094,41.342,41.188,41.412,42.439,44.349,45.688,45.968,47.1,47.417,48.324,49.328,49.748,50.315,51.398,51.778,52.22,52.897,54.54,55.84,56.17,57.008,58.321,59.674,61.009,61.82,62.606,64.235,65.572,66.903,67.549,67.697,69.763,70.892,71.726,71.889,72.482,73.138,73.042,73.606,74.068,74.62,75.274,75.743,76.22,76.744,77.086,77.996,78.573,79.041,79.536,80.254,81.507,82.728,83.851,83.96,84.532,85.471,85.844,85.43,85.99,87.079,87.573,87.747,88.156,87.932,88.783,89.349,88.928,89.015,89.974,91.636,92.336,92.688,93.168,93.71,94.336,94.902,95.337,95.707,96.367,97.122,97.923,98.658,99.469,100.485,101.034,101.471,102.001,102.015,102.42,102.963,103.303,103.924,104.108,104.025,103.894,103.588,103.189,103.075,102.756,103.032,102.66,102.434,102,101.879,101.834,101.805,102.245,102.268,101.832,101.733,101.686,101.325,101.574,100.903,100.347,100.078,100.22,99.003,98.635,98.319,97.98,97.866,98.222,97.512,98.117,98.956,99.076,98.246,99.246,99.759,99.589,99.952,99.657,99.486,99.407,99.327,99.14,98.982,98.927,99.53,98.586,98.964,99.648,99.679,101.695,101.359,100.837,100.84,100.918,101.387,103.782,104.993,104.824,104.774,105.141,105.182,105.594,105.966,105.818,105.696,105.381,105.326,105.474,105.351
"18","10","      Light trucks (including utility vehicles)","B704RG3",34.174,34.24,34.72,35.2,35.398,35.441,35.615,35.95,35.874,36.018,36.182,36.541,36.571,36.737,37.163,38.573,39.452,39.422,38.473,37.726,38.397,38.513,38.69,38.101,38.059,38.417,38.602,38.657,38.703,39.729,41.35,42.902,42.914,43.979,44.373,45.408,46.143,46.545,47.076,48.323,48.545,48.799,49.309,51.272,52.046,52.611,53.571,54.641,55.879,57.171,57.963,58.734,60.307,61.534,62.755,63.529,63.735,65.595,66.641,67.41,67.637,68.208,68.852,68.814,69.59,69.875,70.32,71.275,71.961,72.632,73.296,73.906,75.031,75.683,76.307,77.05,77.643,79.042,80.42,80.366,80.354,80.611,80.938,81.492,81.106,81.397,82.019,82.621,83.558,83.72,84.428,85.439,86.715,87.04,87.39,89.083,90.671,91.076,91.821,92.36,93.26,94.25,94.685,95.032,96.042,97.151,98.515,99.433,100.435,101.554,102.84,103.39,103.755,104.789,105.6,106.371,106.776,107.327,107.882,108.77,109.303,109.057,109.009,108.954,108.793,108.532,108.986,108.887,109.106,109.446,109.658,109.753,109.007,109.826,109.351,108.765,108.862,108.672,108.093,108.61,106.82,106.104,106.227,106.599,105.559,105.219,105.151,104.93,104.712,104.757,103.674,104.637,105.67,105.453,103.732,103.78,103.612,103.276,102.97,101.912,101.368,101.371,101.414,101.297,100.672,99.636,98.205,96.495,97.368,99.651,100.381,102.453,102.245,102.395,103.055,103.467,104.04,105.556,105.986,105.986,106.573,107.272,107.793,108.139,108.201,109.082,109.761,109.797,109.422,110.196,110.937
"19","11","        Domestic","ETRPDP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.788,106.076,106.199,106.571,105.525,105.187,105.119,104.899,104.681,104.726,103.643,104.605,105.637,105.423,103.709,103.745,103.578,103.24,102.937,101.874,101.331,101.336,101.379,101.26,100.636,99.596,98.167,96.455,97.324,99.618,100.345,102.42,102.211,102.364,103.021,103.433,104.003,105.524,105.953,105.954,106.539,107.238,107.76,108.105,108.168,109.047,109.724,109.76,109.386,110.162,110.901
"20","12","        Foreign","ETRPMP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.036,106.299,106.435,106.795,105.758,105.407,105.34,105.122,104.904,104.951,103.873,104.828,105.867,105.645,103.885,103.978,103.798,103.465,103.151,102.095,101.551,101.548,101.592,101.476,100.844,99.81,98.392,96.667,97.539,99.816,100.549,102.637,102.429,102.583,103.243,103.654,104.239,105.74,106.179,106.18,106.767,107.462,107.988,108.336,108.396,109.285,109.961,109.993,109.62,110.393,111.137
"21","13","    Net purchases of used autos and used light trucks","W240RG3",17.168,17.617,18.617,19.07,18.892,19.14,19.475,19.589,19.982,20.022,19.674,19.877,19.779,20.105,20.365,20.814,21.843,22.635,22.388,22.149,22.552,23.557,23.748,23.911,24.558,25.326,25.206,25.366,24.687,25.515,28.361,30.3,30.615,30.406,31.815,32.478,32.978,35.027,37.068,39.059,39.457,39.492,38.238,37.89,38.67,40.546,42.795,43.152,43.073,44.062,42.727,41.748,42.095,42.07,42.487,45.95,48.31,50.386,53.254,55.165,56.278,57.357,58.253,59.179,62.339,64.381,67.166,69.519,70.083,72.623,74.191,73.596,73.539,72.998,72.283,72.332,71.2,70.405,71.886,73.71,75.797,81.975,85.137,85.594,82.012,81.858,84.178,85.301,88.665,89.382,88.254,87.058,85.211,83.663,83.179,82.059,83.344,84.008,85.025,85.154,83.256,84.322,85.709,87.195,88.715,92.055,95.273,98.548,98.573,100.604,104.116,108.979,112.19,113.076,111.856,112.905,116.087,115.42,115.786,116.902,117.715,116.157,115.344,116.242,114.261,112.934,113.63,114.354,113.703,113.961,116.463,116.803,116.008,116.678,116.009,118.198,118.751,118.518,118.239,118.366,119.352,119.874,120.626,118.58,114.62,112.952,110.268,106.095,107.159,108.318,109.181,111.888,111.483,113.19,113.102,114.289,114.423,113.163,111.88,111.376,111.141,111.089,111.096,111.133,107.989,103.893,101.161,98.064,96.159,96.56,100.166,107.115,112.516,114.558,115.584,115.214,115.989,118.585,119.734,119.157,118.278,119.558,117.785,117.064,117.94,117.785,117.281,117.261,116.174,115.156,113.619
"22","14","      Used autos","A137RG3",15.541,15.969,16.909,17.329,17.154,17.386,17.697,17.798,18.171,18.206,17.875,18.059,17.966,18.271,18.51,18.906,19.862,20.615,20.402,20.193,20.56,21.517,21.694,21.865,22.489,23.219,23.099,23.253,22.596,23.364,26.059,27.882,28.185,27.948,29.291,29.895,30.35,32.315,34.28,36.183,36.578,36.608,35.346,34.905,35.601,37.377,39.461,39.738,39.67,40.487,39.209,38.395,38.693,38.613,38.91,42.055,44.212,46.151,48.716,50.396,51.416,52.313,53.063,53.913,56.98,58.963,61.516,63.572,63.962,66.292,67.775,67.158,67.006,66.564,66.072,66.121,64.941,64.46,66.437,68.604,70.905,77.334,80.612,80.997,76.731,76.368,79.015,80.22,83.863,84.829,84.027,82.623,80.216,78.476,77.942,76.764,78.301,78.873,80.001,80.231,78.592,80.476,82.532,84.499,85.401,88.316,91.644,94.257,94.603,96.734,100.735,105.078,108.32,109.233,107.731,108.317,111.326,111.235,112.06,113.476,115.697,112.204,110.823,112.079,110.428,108.825,109.768,110.2,109.523,109.764,112.273,112.866,111.932,112.462,111.118,113.174,113.54,113.445,113.407,113.711,114.502,115.745,116.689,115.043,110.921,109.7,107.083,103.386,104.931,107.036,108.169,110.888,109.736,112.376,112.852,115.239,115.11,113.205,112.035,112.342,113.131,113.641,113.269,112.302,107.738,103.623,102.272,98.171,96.315,96.348,100.014,107.323,113.643,116.006,116.121,115.61,116.387,119.015,119.654,119.011,118.251,119.043,117.151,117.008,117.827,117.256,116.837,116.521,115.132,113.648,112.006
"23","15","        Margin","GAP583",8.34,8.62,9.24,9.561,9.278,9.629,9.91,10.196,10.393,10.381,10.419,10.493,10.555,10.679,10.815,11.013,11.753,12.403,12.353,12.304,12.689,13.567,13.706,13.593,13.851,14.474,14.623,15.192,15.032,15.462,17.178,18.104,18.069,17.886,18.781,19.188,19.694,20.833,22.482,24.078,23.745,23.788,23.329,23.491,24.262,25.798,27.207,27.034,27.064,26.734,25.534,25.946,26.082,25.738,25.373,27.005,28.296,29.7,30.646,31.163,31.76,31.835,31.915,32.519,35.505,37.26,38.68,39.346,38.792,39.962,41.07,40.17,39.481,39.899,40.771,41.042,39.684,40.835,44.585,47.936,51.318,58.157,62.058,62.647,55.494,54.608,58.624,60.17,64.374,66.122,66.348,64.641,60.663,58.612,57.999,56.821,59.083,59.329,60.801,60.955,58.374,59.402,61.137,62.488,63.677,66.247,69.391,72.301,74.519,77.32,81.154,84.859,85.609,85.685,84.33,85.078,88.852,90.13,92.691,95.843,99.919,95.535,97.071,100.84,96.672,93.456,94.397,94.51,96.323,96.34,97.829,98.452,97.689,97.109,93.93,94.83,94.583,95.137,96.13,97.383,102.42,107.173,108.585,108.342,100.218,98.114,97.621,99.433,103.458,108.941,109.639,110.674,107.753,113.14,113.017,118.23,117.462,112.834,110.972,113.916,117.895,119.596,118.462,114.492,103.972,97.853,98.267,93.647,94.294,96.502,102.288,107.64,114.67,118.362,117.28,116.744,117.597,120.303,119.127,118.382,117.63,117.161,115.06,116.622,117.743,115.491,115.314,113.926,112.246,108.903,106.565
"24","16","        Net transactions","GAP613",27.353,27.843,28.868,29.232,29.763,29.27,29.414,28.844,29.5,29.69,28.562,28.986,28.577,29.245,29.664,30.396,31.167,31.524,31.073,30.575,30.524,30.68,30.843,31.843,33.151,33.594,32.863,31.805,30.465,31.719,35.266,38.211,39.164,38.994,40.646,41.486,41.679,44.625,46.27,47.762,49.797,49.791,47.351,45.814,46.007,47.336,49.828,51.054,50.961,53.741,52.961,50.566,51.156,51.673,53.11,57.767,60.843,63.005,67.521,70.702,72.065,74.375,76.171,77.175,78.622,79.895,83.446,87.423,89.622,93.089,94.81,94.817,95.564,94.133,91.995,91.911,91.455,88.899,87.515,87.356,87.587,91.774,93.723,94.264,94.43,95.244,96.041,96.753,98.867,98.577,96.676,96.021,96.128,95.163,94.748,93.816,94.239,95.153,95.948,95.997,95.504,97.919,100.558,103.033,103.601,106.52,109.488,111.472,109.97,111.244,114.842,119.328,124.837,126.44,125.057,125.457,127.445,125.904,125.006,124.473,124.967,122.56,118.671,117.596,118.366,118.425,119.526,120.144,117.638,118.146,121.213,121.872,120.709,122.124,122.55,125.383,126.208,125.397,124.344,124.016,121.12,119.648,120.321,117.604,116.865,116.477,112.308,104.482,103.793,103.242,104.564,108.369,109.018,109.331,110.328,110.435,110.647,111.065,110.514,108.811,106.81,106.107,106.587,108.183,109.279,107.37,104.337,101.018,98.045,96.787,98.864,106.878,111.773,112.562,113.769,113.439,114.034,116.542,119.148,118.703,117.605,120.126,118.596,116.26,117.086,118.264,117.526,118.419,117.947,118.496,117.455
"25","17","        Employee reimbursement","GAP643",13.611,13.809,13.908,14.08,14.304,14.479,14.676,14.923,15.224,15.374,15.642,15.892,16.265,16.57,16.861,17.106,17.379,17.761,18.126,18.275,18.473,18.601,18.769,18.965,19.27,19.546,19.842,20.164,20.561,21.239,22.149,23.046,23.788,24.289,24.676,25.131,25.672,26.072,26.503,26.925,27.49,28.013,28.486,28.982,29.438,29.67,30.147,31.208,31.928,32.773,33.521,34.022,34.87,36.048,37.185,37.955,39.205,39.575,40.161,40.744,41.52,42.949,43.799,44.432,44.806,45.352,45.51,45.87,46.695,47.023,47.734,48.137,48.714,48.902,49.299,50.115,51.284,52.883,54.026,55.068,56.184,56.633,57.179,57.443,56.75,57.329,58.82,59.842,60.767,60.682,61.062,62.318,63.627,64.267,63.774,64.193,63.831,64.53,66.297,64.336,63.765,63.154,67.634,68.622,68.941,69.063,68.579,69.961,71.371,71.945,71.373,72.203,73.549,72.938,73.702,73.966,75.442,74.614,74.748,73.405,75.651,76.612,77.661,78.708,78.721,78.954,81.557,80.873,79.966,81.953,81.771,84.698,83.669,84.775,84.985,84.596,83.942,81.471,79.13,80.345,84.577,87.106,87.26,83.812,83.131,84.639,85.197,86.025,83.444,83.218,82.112,80.883,82.629,82.578,83.328,86.059,86.086,85.902,84.952,89.401,89.173,87.153,90.305,89.861,91.416,94.969,92.044,90.693,97.344,100.477,102.445,99.866,97.283,95.319,97.321,98.527,96.109,97.258,97.166,97.838,95.417,97.824,97.419,96.629,101.064,98.469,97.391,97.468,103.467,101.467,97.302
"26","18","      Used light trucks (including utility vehicles)","W241RG3",29.228,29.287,29.697,30.092,30.25,30.284,30.444,30.726,30.631,30.817,30.955,31.254,31.266,31.392,31.704,32.902,33.681,33.655,32.884,32.214,32.806,32.928,33.094,32.585,32.548,32.859,33.01,33.033,33.051,33.915,35.305,36.625,36.669,37.585,37.939,38.854,39.536,39.891,40.34,41.395,41.53,41.735,42.174,43.899,45.08,46.407,48.762,49.911,49.727,52.281,51.42,49.249,49.88,50.484,51.865,56.381,59.342,61.473,65.639,68.759,70.092,72.324,74.268,75.501,77.408,78.883,82.425,86.195,87.893,91.015,92.54,92.514,93.303,92.13,89.849,89.709,89.108,86.475,85.284,85.2,85.803,89.816,91.823,92.361,92.499,93.169,93.867,94.545,96.568,96.333,94.27,93.855,93.876,92.968,92.675,91.788,92.289,93.166,93.827,93.661,91.15,89.986,89.605,89.834,92.84,97.109,99.899,104.691,103.911,105.574,107.554,113.634,116.63,117.409,116.919,118.944,122.292,120.4,119.793,120.353,118.577,120.713,120.896,121.165,118.609,117.693,117.972,119.111,118.505,118.789,121.274,121.296,120.699,121.553,121.709,124.058,124.848,124.44,123.858,123.779,124.988,124.676,125.212,122.725,118.935,116.767,114.007,109.292,109.817,109.898,110.452,113.145,113.569,114.235,113.528,113.418,113.855,113.282,111.882,110.583,109.399,108.848,109.181,110.092,108.241,104.17,100.178,97.943,96.026,96.719,100.289,106.967,111.668,113.466,115.172,114.917,115.697,118.272,119.848,119.326,118.346,120.032,118.355,117.156,118.08,118.27,117.694,117.924,117.092,116.469,115.021
"27","19","        Margin","W491RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.127,76.338,79.717,83.517,85.538,88.846,90.496,90.519,91.214,90.046,87.835,87.752,87.284,84.727,83.52,83.334,83.753,87.545,89.441,89.978,90.187,90.909,91.643,92.348,94.351,94.133,92.123,91.705,91.719,90.795,90.457,89.53,89.94,90.809,91.578,91.623,85.558,76.455,68.541,63.952,72.778,80.298,82.647,92.624,92.995,95.222,94.694,102.88,102.093,101.679,102.52,107.095,112.682,110.493,110.21,112.617,106.707,117.121,125.284,128.226,118.814,115.863,114.286,116.685,120.902,120.588,121.647,120.012,120.781,120.383,119.901,121.026,121.576,122.157,122.842,123.659,134.997,137.806,138.166,136.464,124.723,118.142,118.633,121.08,124.614,126.25,124.988,125.065,124.968,126.492,121.66,121.092,122.175,119.218,115.738,115.454,116.35,116.133,115.938,114.806,104.507,94.072,87.183,88.367,91.1,97.376,105.324,106.802,111.015,115.795,118.972,119.047,120.558,123.341,122.135,121.37,120.596,120.084,117.964,119.567,120.719,118.406,118.224,116.8,115.084,111.653,109.252
