"","Table 2#3#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"13","6","Nondurable goods","B004RG3",12.815,12.139,10.382,8.879,8.822,9.745,10.101,10.131,10.486,9.969,9.803,9.892,10.729,12.491,13.958,14.744,15.373,16.772,18.939,20.06,19.401,19.482,21.099,21.331,21.235,21.303,21.174,21.468,22.1,22.633,22.765,23.089,23.227,23.412,23.683,23.986,24.423,25.232,25.83,26.82,28.062,29.446,30.359,31.373,33.838,38.702,41.735,43.346,45.911,48.985,54.148,60.449,65.13,66.955,68.386,70.004,71.543,71.273,73.731,76.206,79.842,84.226,86.779,88.105,88.973,89.605,90.629,92.567,93.835,93.821,96.173,100,101.531,102.097,104.154
"14","7","  Food","B168RG3",11.463,10.726,8.753,7.196,7.19,8.037,8.666,8.678,8.95,8.315,8.213,8.27,9.109,10.815,12.343,12.708,13.104,14.583,16.721,17.533,16.866,16.994,18.626,19.056,18.728,18.767,18.491,18.641,19.216,19.944,19.949,20.215,20.39,20.636,20.92,21.327,21.753,22.669,23.022,23.864,25.031,26.549,27.384,28.61,31.742,36.234,39.106,40.394,42.92,46.832,51.497,55.992,60.254,62.372,63.699,65.827,67.164,69.105,71.395,73.805,77.477,81.183,83.937,84.948,86.249,87.679,89.573,92.09,94.197,95.868,97.711,100,102.943,104.949,106.979
"15","8","  Clothing and shoes","B169RG3",25.745,24.583,21.482,17.632,17.988,20.86,20.493,20.514,21.594,21.064,20.571,20.803,22.847,27.369,30.569,34.56,37.579,40.636,43.824,46.505,44.507,44.144,47.963,47.142,47.031,47.108,46.966,47.838,48.533,48.731,49.136,49.79,50.111,50.266,50.763,51.13,51.671,53.113,55.377,58.504,61.898,64.447,66.521,67.976,70.426,75.415,78.284,80.872,84.199,85.867,87.554,90.707,93.33,94.486,95.542,95.923,97.837,97.114,100.218,103.529,105.003,108.469,110.545,111.357,110.837,108.967,106.306,104.831,104.926,102.957,101.288,100,98.011,95.396,93.045
"16","9","  Gasoline, fuel oil, and other energy goods","A173RG3",10.331,9.993,8.884,8.669,8.484,8.947,8.871,9.108,9.29,9.124,8.811,8.822,9.229,9.775,10.12,10.335,10.32,10.728,12.056,13.726,13.928,14.084,14.476,14.738,15.301,15.549,15.715,16.205,16.951,16.762,16.999,17.328,17.301,17.4,17.442,17.319,17.915,18.335,18.935,19.276,19.874,20.166,20.51,20.759,22.921,31.864,34.165,35.774,38.314,40.034,53.647,74.493,83.977,80.169,77.257,76.468,76.67,60.412,62.459,62.946,68.417,78.301,77.107,76.56,75.833,76.029,77.056,82.168,82.233,71.873,77.74,100,96.727,90.523,105.517
"17","10","    Gasoline and oil","B170RG3",12.558,11.992,10.14,10.547,10.457,10.976,10.999,11.36,11.631,11.315,10.796,10.615,11.089,11.608,11.721,11.745,11.654,11.947,13.393,15.019,15.335,15.358,15.674,15.99,16.668,17.029,17.21,17.729,18.497,18.316,18.576,19.112,18.924,19.043,18.997,18.873,19.587,20.038,20.7,21.005,21.696,21.89,22.05,22.336,24.473,33.059,35.278,36.777,38.907,40.597,54.406,75.509,84.018,79.768,77.16,76.005,76.619,60.175,62.488,63.017,68.837,78.385,77.338,77.04,76.257,76.614,77.826,82.596,82.579,71.874,78.207,100,96.289,90.405,105.154
"18","11","    Fuel oil and coal","B171RG3",5.987,5.876,5.534,4.993,4.805,5.097,4.983,5.075,5.148,5.133,5.052,5.2,5.452,5.865,6.205,6.42,6.44,6.795,7.661,8.906,8.95,9.199,9.569,9.706,9.993,10.036,10.145,10.486,11.038,10.878,11.03,10.939,11.213,11.257,11.467,11.364,11.629,11.918,12.295,12.668,12.959,13.507,14.417,14.535,16.633,26.327,28.862,30.822,34.78,36.559,48.977,68.177,82.998,82.043,77.109,78.867,76.147,61.413,61.478,61.646,64.403,76.919,74.496,71.832,71.587,70.416,69.905,77.835,78.644,71.779,72.656,100,101.737,91.771,109.634
"19","12","  Other","B172RG3",12.382,11.936,11.349,10.697,10.183,10.45,10.423,10.371,10.741,10.547,10.427,10.629,10.985,12.08,12.909,13.72,14.217,14.851,16.935,17.876,17.408,17.481,18.632,18.623,18.885,18.909,19.103,19.435,20.039,20.498,20.83,21.14,21.179,21.227,21.482,21.704,21.974,22.394,22.92,23.763,24.632,25.721,26.642,27.293,28.01,30.676,34.277,36.151,38.274,40.458,43.104,46.939,50.843,54.894,58.737,60.856,63.216,65.724,68.338,71.376,75.15,78.938,82.884,85.97,87.365,87.878,89.152,90.511,91.307,93.32,97.442,100,102.763,105.011,105.175
"20","13","Services","B005RG3",9.23,8.997,8.421,7.65,7.136,6.985,7.082,7.224,7.493,7.564,7.571,7.621,7.817,8.221,8.632,9.032,9.328,9.763,10.359,10.939,11.246,11.561,12.082,12.563,13.186,13.578,13.894,14.275,14.687,15.076,15.485,15.887,16.173,16.466,16.701,17.016,17.334,17.81,18.349,19.128,20.106,21.175,22.34,23.304,24.381,26.345,28.595,30.603,32.933,35.464,38.316,42.332,46.746,50.528,53.799,56.68,59.295,62.04,64.299,67.493,70.708,74.197,77.497,80.684,83.345,85.748,88.32,90.844,93.305,95.319,97.393,100,103.257,106.083,109.237
"21","14","  Housing","B174RG3",14.909,14.489,13.666,12.24,10.985,10.025,10.069,10.297,10.778,11.116,11.113,11.144,11.334,11.631,11.716,11.819,11.962,12.239,12.709,13.491,13.942,14.419,15.058,15.7,16.5,17.001,17.253,17.553,17.89,18.251,18.563,18.859,19.119,19.352,19.585,19.785,19.985,20.289,20.694,21.219,21.941,22.901,23.964,24.818,25.874,26.871,28.619,30.503,33.069,35.407,38.219,41.791,46.062,49.897,52.877,55.681,59.03,62.481,65.371,68.345,71.2,74.54,76.96,79.073,81.244,83.529,86.124,88.79,91.343,94.285,96.92,100,103.867,107.797,110.437
"22","15","  Household operation","B186RG3",13.233,12.7,11.924,11.2,10.816,10.83,10.895,10.934,11.23,10.998,11.041,11.142,11.414,12.14,13.327,14.442,15.189,15.491,15.936,16.458,16.782,17.169,17.665,18.405,19.006,19.216,19.509,19.803,20.258,20.904,21.514,22.229,22.444,22.618,22.863,23.093,23.279,23.509,23.908,24.626,25.426,26.478,28.316,29.741,31.135,34.432,37.715,41.059,43.988,46.565,49.667,54.907,61.784,68.87,73.552,77.337,79.769,80.982,80.615,81.796,83.783,85.319,88.42,90.389,92.72,94.343,95.482,97.333,99.01,98.15,98.093,100,104.618,103.761,107.766
"23","16","    Electricity and gas","B175RG3",20.441,19.897,19.319,18.795,18.522,18.174,17.835,17.461,17.164,17.108,17.001,16.842,16.704,16.628,16.544,16.499,16.37,15.854,15.784,16.08,16.423,16.458,16.527,16.742,17.055,17.227,17.619,17.754,17.909,18.447,18.843,19.469,19.635,19.636,19.591,19.595,19.551,19.589,19.674,19.844,20.235,21.066,22.509,23.615,24.964,29.025,33.37,36.656,40.478,43.375,47.852,56.02,64.222,72.565,78.311,81.733,83.499,82.955,81.677,82.333,84.626,86.067,88.709,90.409,93.197,93.696,93.891,96.041,98.219,94.94,94.569,100,111.206,105.438,113.651
"24","17","    Other household operation","B176RG3",11.235,10.718,9.898,9.106,8.676,8.803,8.992,9.158,9.638,9.346,9.438,9.627,10.047,11.076,12.764,14.369,15.496,16.159,16.87,17.535,17.867,18.478,19.265,20.397,21.233,21.479,21.704,22.136,22.853,23.61,24.425,25.236,25.5,25.841,26.369,26.821,27.234,27.653,28.366,29.637,30.86,32.144,34.394,36.154,37.591,40.095,42.259,45.66,47.654,49.9,51.63,54.008,59.614,65.496,69.155,73.295,76.341,79.111,79.524,81.148,82.874,84.483,87.942,90.117,92.092,94.555,96.374,98.01,99.349,100.02,100.154,100,100.857,102.805,104.367
"25","18","  Transportation","B177RG3",8.761,8.692,8.281,7.693,7.301,7.439,7.59,7.547,7.514,7.564,7.605,7.484,7.617,8.089,8.234,8.181,8.273,8.567,9.18,9.895,10.624,11.034,11.812,12.391,13.051,13.415,13.654,13.961,14.459,14.975,15.436,15.803,16.243,16.545,16.647,16.902,17.307,17.752,18.419,19.204,20.43,22.099,23.815,24.71,25.663,27.496,30.273,32.981,35.261,37.47,40.799,46.751,51.884,54.543,56.968,59.749,61.416,62.857,65.75,69.123,72.549,75.488,77.972,81.187,85.29,87.279,89.602,91.516,93.34,95.397,97.528,100,101.691,102.9,105.88
"26","19","  Medical care","B494RG3",4.429,4.445,4.085,3.591,3.566,3.738,3.948,4.054,4.178,4.261,4.238,4.357,4.45,4.756,5.112,5.416,5.705,6.175,6.706,7.01,6.957,7.025,7.143,7.551,8.005,8.339,8.54,8.704,9.075,9.4,9.677,10.044,10.329,10.603,10.838,11.173,11.547,12.088,12.81,13.755,14.672,15.707,16.669,17.521,18.268,19.813,21.872,23.867,26.151,28.501,30.801,34.041,38.11,42.167,45.656,49.057,51.522,53.372,55.672,59.887,64.856,69.711,73.846,77.836,81.522,84.877,88.025,90.357,92.6,94.924,97.186,100,103.588,106.232,109.858
"27","20","  Recreation","A490RG3",9.112,8.931,8.506,8.074,7.621,7.703,7.811,7.982,8.299,8.441,8.384,8.432,8.726,9.193,9.897,11.098,11.663,12.462,13.46,13.977,14.206,14.364,14.87,15.392,16.101,16.787,17.359,17.898,18.568,19.272,19.725,20.364,20.828,21.274,21.731,22.409,23.013,23.797,24.653,26.093,27.321,28.686,30.006,30.761,31.855,33.957,36.312,37.875,39.509,41.667,44.427,47.682,50.87,53.389,55.586,57.992,60.207,62.46,64.663,67.173,70.171,73.804,77.446,79.687,82.079,83.688,85.735,88.557,91.264,93.598,96.422,100,103.362,106.403,109.248
"28","21","  Other","B178RG3",6.588,6.402,5.892,5.347,5.069,5.235,5.321,5.486,5.733,5.687,5.708,5.769,6.007,6.441,6.951,7.446,7.767,8.37,9.11,9.696,9.962,10.278,10.918,11.171,11.757,12.14,12.642,13.362,13.846,14.147,14.709,15.142,15.437,15.87,16.129,16.593,17.007,17.735,18.268,19.166,20.531,21.577,22.62,23.737,25.14,28.413,30.985,32.435,34.408,37.668,41.063,45.698,49.618,51.955,55.233,57.313,59.619,63.72,66.027,69.207,71.21,74.13,77.711,81.978,83.689,85.704,88.37,91.37,94.475,96.175,98.073,100,102.124,105.876,108.826
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","22","  Energy goods and services \1\","BA02RG3",12.482,12.094,11.026,10.749,10.542,10.884,10.76,10.902,11.011,10.858,10.569,10.551,10.88,11.325,11.578,11.729,11.686,11.9,12.963,14.36,14.595,14.723,15.036,15.286,15.783,16.01,16.24,16.627,17.195,17.226,17.511,17.931,17.967,18.033,18.046,17.966,18.341,18.628,19.047,19.326,19.846,20.327,21.058,21.61,23.468,30.578,33.633,35.865,38.875,41.037,50.959,66.471,75.391,76.787,77.608,78.627,79.498,69.883,70.544,71.102,75.219,81.505,81.962,82.382,83.159,83.486,84.154,87.98,88.952,81.608,84.854,100,102.876,96.855,108.958
"31","23","  Personal consumption expenditures excluding food and energy","BA03RG3",11.982,11.559,10.635,9.495,9.02,9.203,9.25,9.371,9.764,9.764,9.704,9.801,10.267,11.324,12.142,13.059,13.691,14.444,15.607,16.492,16.574,16.815,17.827,18.177,18.642,18.861,19.089,19.568,20.153,20.587,21.031,21.382,21.64,21.911,22.175,22.497,22.771,23.246,23.915,24.931,26.089,27.27,28.538,29.462,30.533,32.825,35.543,37.716,40.112,42.756,45.735,49.869,54.215,57.776,60.823,63.352,65.778,68.244,70.772,73.838,76.884,80.156,83.292,86.13,88.332,90.372,92.388,94.124,95.644,96.895,98.343,100,101.904,103.707,105.072
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Consists of gasoline, fuel oil, and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
