"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"21","13","      Other nondurable goods","DONGRG3",22.485,22.719,22.987,23.227,23.524,23.79,24.076,24.295,24.518,24.764,24.965,25.102,25.289,25.416,25.523,25.594,25.746,26.037,26.271,26.544,27.019,27.994,29.344,30.534,31.455,31.914,32.168,32.548,33.077,33.495,33.817,34.323,34.882,35.368,35.866,36.401,36.82,37.178,37.875,38.397,39.132,39.631,40.267,41.064,42.18,43.28,44.251,45.006,45.971,47.042,47.798,48.716,49.607,50.552,51.398,52.64,53.776,54.307,54.877,55.301,55.852,56.301,56.906,57.289,57.924,58.432,59.04,59.71,60.448,60.805,61.438,61.778,62.669,63.325,63.956,64.365,65.248,65.973,66.848,67.628,68.832,69.693,70.647,71.206,72.258,73.185,74.198,74.923,76.314,77.311,78.006,78.625,79.526,80.358,80.951,81.101,81.907,82.172,81.74,81.547,81.827,82.275,82.634,82.921,83.104,83.482,84.21,84.699,85.092,85.383,85.571,85.799,86.099,86.587,86.274,86.456,87.046,87.726,88.186,88.96,90.782,91.163,91.729,91.988,92.411,93.443,93.853,93.972,94.587,95.265,96.118,96.381,96.601,97.266,97.519,97.279,97.186,97.212,97.577,97.414,98.007,98.453,98.522,99.04,99.317,99.606,100.184,100.893,101.541,102.135,102.487,102.573,103.147,103.226,103.66,104.401,105.234,105.843,106.387,107.074,108.377,110.995,111.735,112.056,112.488,112.505,112.99,113.17,113.784,114.434,114.798,115.371,116.101
"22","14","  Services","DSERRG3",16.976,17.207,17.437,17.679,17.918,18.167,18.393,18.664,18.916,19.166,19.435,19.618,19.833,19.997,20.194,20.383,20.553,20.877,21.24,21.639,22.084,22.607,23.132,23.642,24.181,24.583,25.039,25.533,25.956,26.292,26.758,27.218,27.756,28.305,28.852,29.318,29.884,30.484,31.055,31.687,32.133,32.965,33.747,34.556,35.416,36.289,37.225,38.278,39.31,40.104,40.978,41.828,42.581,43.235,44.098,44.921,45.598,45.997,46.819,47.304,47.908,48.634,49.211,49.633,50.314,50.784,51.312,51.786,52.551,53.141,53.635,54.171,54.615,55.054,55.684,56.284,57.037,57.758,58.521,59.176,59.942,60.568,61.108,61.742,62.547,63.504,64.261,64.919,65.62,66.182,66.92,67.603,68.4,68.982,69.492,70.068,70.528,71.125,71.567,71.956,72.451,72.915,73.466,73.967,74.548,75.145,75.632,76.136,76.548,77.138,77.779,78.428,79.013,79.588,80.066,80.58,80.992,81.468,81.908,82.388,82.844,83.245,83.694,84.252,85.052,85.411,86.057,86.75,87.703,88.27,88.548,89.167,89.713,90.461,91.179,91.85,92.551,93.386,94.057,94.75,95.509,96.314,97.178,97.752,98.706,99.521,100.304,101.469,102.173,103.001,103.849,104.635,105.758,106.52,107.34,108.307,109.211,110.386,111.204,111.536,111.715,111.964,112.463,113.269,113.758,114.38,114.682,115.037,115.574,116.26,116.852,117.365,118.117
"23","15","    Household consumption expenditures","DHCERG3",16.271,16.49,16.709,16.942,17.174,17.418,17.637,17.895,18.134,18.375,18.632,18.81,19.016,19.176,19.362,19.539,19.712,20.011,20.343,20.725,21.137,21.615,22.122,22.612,23.124,23.513,23.937,24.422,24.82,25.154,25.613,26.049,26.553,27.097,27.61,28.06,28.606,29.188,29.724,30.341,30.759,31.556,32.283,33.057,33.884,34.706,35.646,36.669,37.67,38.411,39.29,40.146,40.926,41.604,42.474,43.326,44.051,44.449,45.301,45.818,46.429,47.158,47.759,48.206,48.894,49.377,49.901,50.352,51.15,51.786,52.3,52.849,53.297,53.75,54.376,54.981,55.742,56.479,57.265,57.942,58.746,59.426,60.027,60.734,61.563,62.592,63.421,64.124,64.898,65.481,66.286,67.033,67.927,68.582,69.143,69.8,70.309,70.921,71.406,71.804,72.323,72.799,73.353,73.846,74.484,75.092,75.581,76.11,76.53,77.108,77.757,78.406,78.974,79.565,80.012,80.482,80.858,81.295,81.721,82.216,82.681,83.055,83.47,83.991,84.805,85.091,85.752,86.416,87.334,87.894,88.163,88.835,89.369,90.109,90.89,91.622,92.351,93.266,93.955,94.687,95.521,96.319,97.188,97.803,98.728,99.555,100.28,101.437,102.18,103.033,103.922,104.739,105.853,106.649,107.473,108.515,109.503,110.624,111.413,111.875,112.163,112.447,112.969,113.856,114.397,115.078,115.364,115.665,116.203,116.892,117.503,118.045,118.794
"24","16","      Housing and utilities","DHUTRG3",17.925,18.079,18.275,18.463,18.655,18.844,19.065,19.343,19.603,19.852,20.093,20.246,20.442,20.593,20.794,20.989,21.284,21.514,21.73,22.009,22.327,22.627,22.967,23.403,24.021,24.396,24.78,25.306,25.744,26.121,26.579,27.191,27.912,28.468,29.045,29.567,30.006,30.534,30.976,31.593,32.128,32.725,33.61,34.599,35.321,36.21,37.216,38.249,39.213,40.21,41.371,42.42,43.344,44.064,44.913,45.944,46.624,47.242,47.671,48.262,48.777,49.513,50.315,50.851,51.461,52.189,52.84,53.471,54.187,54.84,55.295,55.629,56.123,56.721,57.21,57.804,58.395,58.86,59.497,60.126,60.643,61.238,61.908,62.634,63.223,63.94,64.771,65.194,65.843,66.169,66.512,67.136,67.631,68.062,68.413,68.969,69.465,70.098,70.502,70.901,71.441,71.883,72.242,72.655,73.231,73.722,74.234,74.829,75.41,75.964,76.464,76.935,77.576,77.943,78.502,79.057,79.333,79.886,80.373,80.865,81.309,81.731,82.244,82.797,83.558,84.244,85.182,86.176,87.709,88.477,89.088,89.627,90.329,90.996,91.572,92.32,93.277,93.996,94.462,94.952,95.556,96.307,97.117,97.69,98.449,99.279,100.268,102.004,102.944,103.67,104.814,105.724,106.872,107.64,108.199,109.155,110.064,111.499,112.734,112.895,113.166,113.043,113.007,113.164,113.225,113.29,113.463,113.689,114.142,114.637,115.309,115.932,116.344
"25","17","      Health care","DHLCRG3",10.609,10.825,11.002,11.214,11.432,11.666,11.844,12.006,12.124,12.276,12.418,12.549,12.686,12.779,12.945,13.054,13.187,13.364,13.551,13.792,14.088,14.489,14.984,15.451,15.831,16.176,16.586,17.057,17.451,17.812,18.179,18.535,18.917,19.36,19.69,20.01,20.473,20.845,21.33,21.909,22.486,22.864,23.397,24.052,24.91,25.6,26.352,27.172,28.011,28.612,29.564,30.554,31.378,31.997,32.876,33.63,34.465,35.009,35.774,36.514,37.212,37.825,38.366,38.97,39.561,40.169,40.684,41.199,41.851,42.492,43.08,43.799,44.436,45.207,45.947,46.649,47.578,48.624,49.623,50.618,51.764,52.85,53.987,55.114,56.142,57.345,58.629,59.84,60.935,61.907,62.958,64.077,65.28,66.355,67.365,68.443,69.312,70.091,70.867,71.467,72.254,72.923,73.669,74.34,75.272,75.748,76.136,76.723,77.082,77.542,77.955,78.453,78.764,79.252,79.547,79.698,80.14,80.65,81.002,81.454,81.947,82.322,82.774,83.296,83.97,84.377,85.342,85.953,86.802,87.502,88.077,88.656,88.927,89.551,90.46,91.285,91.99,93.094,93.924,94.882,95.851,96.651,97.281,97.924,98.88,99.591,100.265,101.264,101.751,102.639,103.596,104.227,105.752,106.37,107.126,108.218,109.189,109.373,109.778,110.657,111.548,112.291,113.046,114.014,114.674,115.367,115.915,116.287,116.653,117.301,117.811,118.191,118.544
"26","18","      Transportation services","DTRSRG3",19.77,20.15,20.417,20.713,21.348,21.597,21.975,22.394,22.705,23.199,23.705,23.838,24.052,24.134,24.292,24.528,24.814,25.15,25.461,25.868,26.309,27.018,27.864,28.788,29.602,30.24,30.835,31.459,32.038,32.544,33.088,33.575,34.192,34.839,35.399,35.922,36.607,37.033,37.686,38.315,38.874,39.882,41.134,43.058,44.843,46.39,48.13,49.775,51.582,52.427,53.709,54.426,54.821,55.76,56.672,56.641,56.439,57.723,58.816,59.412,60.342,60.501,60.006,60.717,61.349,61.377,61.665,61.94,61.729,62.046,62.042,62.981,63.779,64.197,65.189,66.177,66.692,67.516,68.347,68.91,70.477,70.85,70.812,71.26,72.363,73.379,73.749,74.74,74.636,74.989,76.153,76.53,77.62,77.258,77.004,79.018,80.163,80.195,80.545,80.811,81.062,81.48,81.62,81.474,81.767,83.176,83.887,83.995,83.114,83.877,84.555,85.474,85.27,85.989,86.226,87.004,87.338,87.301,87.903,88.015,88.191,88.834,89.103,89.662,90.325,91.199,92.014,92.925,92.935,92.759,92.462,92.381,92.375,93.244,93.11,93.521,94.026,94.719,95.508,95.986,96.086,95.794,96.602,97.345,98.313,99.208,100.335,102.143,103.309,104.186,104.672,104.701,105.47,105.927,106.963,108.212,109.792,111.831,113.575,114.673,115.276,114.821,115.78,116.95,117.594,118.166,118.048,118.634,120.208,121.232,121.533,122.6,123.473
"27","19","      Recreation services","DRCARG3",22.092,22.358,22.601,22.841,23.085,23.361,23.638,23.955,24.249,24.464,24.678,24.785,24.98,25.087,25.234,25.392,25.561,25.925,26.2,26.582,26.957,27.562,28.16,28.82,29.447,29.727,30.06,30.485,30.881,31.184,31.587,31.994,32.363,32.723,33.075,33.494,34.015,34.594,35.143,35.775,36.292,37.004,37.526,37.92,38.634,39.76,40.536,41.059,41.905,42.226,42.671,43.384,43.996,44.487,45.221,45.761,46.201,46.727,46.829,47.499,47.984,48.579,49.145,49.642,50.242,50.768,51.154,51.617,52.36,52.696,53.081,53.519,54.103,54.71,55.261,55.785,56.214,56.737,57.186,58.157,59.016,59.537,60.298,60.795,61.811,62.669,63.773,64.476,65.329,66.246,66.925,67.37,67.535,68.416,68.914,69.255,69.777,70.461,71.01,71.653,72.116,72.058,72.184,72.582,73.044,73.612,74.005,74.649,75.246,75.953,76.63,77.318,77.936,78.59,79.113,79.375,79.954,80.433,80.899,81.526,82.201,82.964,83.608,84.42,85.335,85.936,87.117,87.702,88.375,89.209,89.621,90.228,90.752,91.675,92.276,93.012,93.927,94.423,95.095,95.575,96.338,96.954,97.554,98.218,98.822,99.355,100.341,101.482,102.133,103.064,103.961,104.379,105.153,106.092,106.342,107.51,108.473,109.258,110.374,110.115,110.417,110.26,111.35,111.442,111.39,111.942,112.396,112.467,113.123,113.706,114.087,114.722,116.152
"28","20","      Food services and accommodations","DFSARG3",17.678,17.934,18.246,18.629,18.951,19.385,19.636,19.872,20.196,20.386,20.628,20.787,20.929,21.161,21.361,21.579,21.809,22.334,22.906,23.794,24.29,24.943,25.724,26.393,26.996,27.377,27.777,28.329,28.762,29.214,29.705,30.109,30.605,31.368,31.925,32.42,33.007,33.88,34.829,35.647,36.592,37.645,38.505,39.449,40.431,41.312,42.12,43.071,44.251,45.13,45.92,46.543,47.13,47.729,48.436,48.948,49.419,49.915,50.275,50.935,51.59,52.188,52.687,53.124,53.68,54.409,54.96,55.55,55.984,56.619,57.182,57.774,58.411,58.902,59.514,59.99,60.736,61.465,62.102,62.697,63.426,64.184,64.94,65.634,66.435,67.193,67.9,68.475,69.354,69.993,70.552,70.883,71.085,71.494,71.945,72.22,72.433,73.013,73.315,73.609,73.802,74.275,74.5,74.924,75.271,75.985,76.438,76.825,77.183,77.89,78.477,79.175,79.705,80.212,80.683,81.396,81.838,82.36,82.836,83.592,83.959,84.512,85.093,85.605,86.283,86.816,87.515,88.035,88.705,89.388,90.045,90.45,91.118,91.516,92.058,92.592,92.911,93.38,94.029,94.781,95.501,96.518,97.409,98.147,99.06,99.703,100.118,101.119,102.07,103.041,103.776,104.574,105.667,106.85,108.176,108.947,109.986,110.868,112.351,113.273,113.768,114.097,114.26,114.804,114.856,115.611,116.191,116.488,116.939,118.423,119.697,120.064,121.11
"29","21","      Financial services and insurance","DIFSRG3",17.293,17.621,17.89,18.191,18.373,18.538,18.722,19.008,19.248,19.593,19.989,20.284,20.706,20.913,21.122,21.222,21.019,21.323,21.627,21.976,22.5,22.953,23.448,23.931,24.357,24.808,25.027,25.511,25.699,25.523,26.078,26.426,26.589,27.42,28.461,29.224,30.47,31.518,31.852,32.597,31.383,33.674,34.122,34.143,34.461,35.179,36.113,37.884,38.961,38.832,38.43,38.269,39.08,39.88,41.485,42.964,44.184,43.016,46.201,45.763,45.708,47.437,48.679,48.667,50.298,49.529,49.594,49.199,51.346,52.072,52.785,53.525,53.649,53.095,54.016,54.535,55.83,56.578,57.948,58.023,58.978,59.313,58.872,59.208,60.245,62.255,62.671,63.01,63.474,63.762,65.486,66.387,68.614,69.563,70.057,70.415,70.151,70.486,70.659,70.458,70.603,71.026,72.097,72.668,73.457,74.044,74.783,75.5,76.053,76.682,78.029,79.046,80.51,81.739,82.443,83.476,83.928,83.721,84.017,84.311,84.822,84.738,84.766,85.006,86.61,85.392,85.063,85.261,85.854,85.771,83.672,85.1,85.754,87.099,87.912,88.993,89.404,91.138,92.068,92.987,94.587,95.948,97.413,97.964,99.11,99.969,100.178,100.743,100.992,101.836,102.325,103.893,105.214,105.97,107.317,108.786,109.484,111.042,110.299,109.962,108.737,109.465,110.604,113.622,115.497,117.565,117.017,117.252,117.947,118.646,118.917,119.34,120.84
"30","22","      Other services","DOTSRG3",18.048,18.268,18.489,18.685,18.863,19.138,19.361,19.67,19.96,20.225,20.556,20.836,21.102,21.34,21.528,21.782,21.908,22.354,23.032,23.501,24.185,24.985,25.559,25.884,26.231,26.633,27.323,27.639,28.012,28.42,28.941,29.19,29.669,29.987,30.281,30.515,30.864,31.416,32.031,32.46,33.004,33.656,34.35,34.962,35.93,36.524,37.539,38.331,39.287,40.312,41.375,42.536,43.177,43.811,44.269,44.982,45.741,46.285,46.809,47.35,48.488,48.893,49.03,49.248,49.618,50.347,51.105,51.719,52.441,53.171,53.696,54.117,54.069,54.421,54.787,55.301,55.899,56.728,57.199,57.902,58.363,58.902,59.321,59.733,60.411,61.277,61.771,62.489,63.417,64.04,64.733,65.51,66.314,66.885,67.549,67.878,68.489,69.211,69.81,70.442,71.163,71.666,72.452,73.084,73.649,74.4,74.77,75.091,75.629,76.188,76.964,77.769,78.129,78.798,79.055,79.156,79.447,80.206,80.621,81.297,81.818,82.111,82.459,83.036,83.526,83.709,83.984,84.541,85.273,85.891,87.054,87.932,88.564,89.188,90.705,91.184,92.057,92.883,93.566,94.42,95.186,95.909,96.886,97.451,98.581,99.793,100.485,101.141,102.103,103.041,103.907,104.629,105.095,106.071,106.893,107.688,108.904,110.591,111.586,112.426,112.745,113.051,113.646,114.603,115.366,116.19,116.79,117.193,117.771,118.31,118.995,119.689,120.675
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRG3",57.333,58.37,59.268,59.993,60.484,60.902,61.352,62.416,63.545,64.238,65.173,65.643,66.302,66.687,67.598,68.594,68.218,70.421,73.246,74.592,77.772,81.862,83.286,84.91,87.211,88.236,91.128,91.61,93.825,93.568,93.825,95.94,98.997,98.848,101.963,103.203,104.581,105.988,109.117,109.94,112.577,115.468,120.405,123.419,125.952,130.472,129.063,131.212,133.429,138.135,136.899,135.682,132.731,130.245,129.314,126.69,122.577,122.564,120.132,117.677,117.202,117.143,115.586,113.91,113.644,112.8,113.25,114.982,112.953,110.21,109.237,108.706,108.641,108.021,108.617,108.615,108.539,108.036,107.285,106.462,104.98,102.617,99.917,96.984,96.486,94.117,91.753,90.538,88.304,87.971,86.132,84.434,81.78,79.88,78.736,76.784,75.683,75.779,74.904,75.016,74.789,74.9,75.35,76.07,74.997,75.247,75.657,75.466,75.63,76.553,76.969,77.626,78.658,78.734,80.146,82.006,83.502,85.12,85.93,85.978,86.181,87.343,88.765,90.346,90.73,93.156,93.352,94.83,96.692,97.462,97.943,97.163,97.998,98.956,98.12,97.322,97.35,96.265,96.493,96.256,95.226,96.185,96.94,96.453,98.168,98.648,100.936,102.248,101.959,102.182,102,102.095,103.402,103.341,104.087,103.355,102.427,104.771,106.187,103.797,101.738,101.235,101.25,100.371,99.816,99.245,99.881,101.342,101.854,102.474,102.665,102.571,103.384
"32","24","Gross private domestic investment","B006RG3",30.414,30.737,30.985,31.396,31.628,32.316,32.218,32.598,33.171,33.655,34.029,34.32,34.721,34.951,35.32,35.832,36.144,36.783,37.547,37.954,38.714,39.881,41.497,43.095,44.63,45.665,46.204,46.835,47.251,48.045,48.716,49.453,50.501,51.459,52.48,53.537,54.559,55.683,56.768,57.93,59.123,60.627,62.137,63.405,64.878,66.409,67.786,69.248,71.298,72.903,74.085,75.401,76.334,77.159,77.583,77.643,77.316,76.93,76.761,76.939,77.094,77.492,77.718,77.848,78.018,78.085,78.365,78.86,79.173,79.683,80.323,80.938,81.245,81.383,81.517,82.097,82.719,83.185,83.473,84.321,84.754,85.256,85.624,86.039,86.506,86.743,87.299,87.709,88.407,88.337,88.378,88.089,87.856,87.884,88.011,88.22,88.645,88.938,89.151,89.254,89.771,90.017,90.307,90.532,90.923,91.214,91.307,91.246,90.881,90.595,90.881,90.788,90.632,90.477,90.426,90.262,89.714,89.429,89.326,89.27,89.384,89.344,89.207,89.323,89.846,90.113,90.514,90.66,90.656,90.944,91.354,91.365,91.356,91.334,91.256,91.859,92.326,92.128,92.372,93.107,94.055,95.175,96.198,97.104,98.227,99.269,100.569,101.935,103.064,103.935,104.588,105.621,106.24,106.32,106.295,106.396,106.487,106.815,107.447,109.254,108.646,106.872,105.274,104.811,104.507,104.51,104.755,105.199,105.755,106.342,106.646,107.018,107.302
"33","25","  Fixed investment","B007RG3",29.414,29.733,29.984,30.377,30.602,31.294,31.195,31.559,32.113,32.576,32.967,33.269,33.681,33.897,34.234,34.727,35.072,35.686,36.436,36.887,37.58,38.668,40.193,41.831,43.321,44.354,44.877,45.551,46,46.792,47.445,48.185,49.244,50.188,51.333,52.446,53.448,54.572,55.622,56.734,57.931,59.428,60.884,62.109,63.544,65.015,66.418,67.863,69.688,71.259,72.458,73.86,74.867,75.731,76.14,76.249,75.889,75.58,75.471,75.571,75.646,75.982,76.221,76.431,76.66,76.768,77.091,77.591,77.948,78.543,79.225,79.763,80.018,80.119,80.265,80.926,81.65,82.15,82.529,83.33,83.745,84.252,84.601,85.043,85.514,85.789,86.331,86.866,87.501,87.49,87.457,87.168,87.009,87.045,87.172,87.382,87.84,88.093,88.295,88.422,88.919,89.2,89.545,89.745,90.111,90.407,90.528,90.528,90.236,89.961,90.226,90.173,90.028,89.918,89.94,89.797,89.328,89.073,88.999,88.939,89.068,89.056,88.933,89.056,89.615,89.914,90.321,90.48,90.443,90.767,91.174,91.169,91.127,91.124,91.084,91.707,92.221,92.01,92.258,93.009,93.953,95.082,96.117,97.019,98.167,99.249,100.603,101.981,103.113,103.991,104.633,105.651,106.267,106.369,106.353,106.449,106.687,107.048,107.912,108.699,108.062,106.595,105.41,105.154,104.818,104.693,104.826,105.035,105.412,106.039,106.433,106.783,107.085
"34","26","    Nonresidential","B008RG3",38.153,38.506,38.91,39.391,39.805,40.494,40.722,41.263,41.846,42.352,42.729,42.991,43.474,43.793,44.07,44.321,44.681,45.304,45.981,46.454,47.269,48.761,50.834,53.166,55.25,56.691,57.413,58.217,58.892,59.614,60.398,61.288,62.581,63.547,64.678,65.822,66.763,67.891,68.992,70.168,71.69,73.282,74.844,76.234,77.918,79.721,81.413,83.109,85.485,87.6,89.176,91.004,92.212,93.198,93.629,93.686,92.987,92.411,92.069,91.933,91.852,92.14,92.211,92.304,92.513,92.618,92.92,93.348,93.513,94.15,94.799,95.245,95.248,95.103,94.998,95.753,96.607,97.079,97.46,98.422,98.82,99.18,99.624,100.116,100.572,100.865,101.565,102.353,103.25,103.082,102.812,102.481,102.354,102.054,101.981,101.805,102.088,102.122,102.083,102.107,102.433,102.649,102.752,102.534,102.631,102.917,102.952,102.744,102.144,101.535,101.518,101.251,100.842,100.499,100.222,99.741,98.931,98.307,97.843,97.419,97.264,96.865,96.388,96.298,96.522,96.629,96.953,96.895,96.374,96.407,96.381,96.106,96.127,95.896,95.667,95.867,95.625,95.276,95.358,95.625,95.923,96.593,97.117,97.715,98.811,99.59,100.245,101.353,102.156,102.965,103.757,104.823,105.429,105.698,105.681,105.774,106.261,106.846,108.183,109.578,108.968,107.525,106.238,105.694,105.237,105.293,105.424,105.536,105.909,106.56,107.027,107.444,107.901
"35","27","      Structures","B009RG3",14.174,14.408,14.607,14.885,15.034,15.504,15.547,15.805,16.132,16.499,16.865,17.161,17.497,17.714,17.946,18.294,18.566,18.963,19.49,19.966,20.504,21.399,22.397,23.341,24.025,24.461,24.68,24.971,25.124,25.576,25.951,26.311,27.145,27.634,28.259,28.854,29.474,30.297,31.041,31.887,32.776,33.781,34.827,35.567,36.182,36.917,37.704,38.883,40.552,41.961,43.149,44.609,45.576,46.028,46.155,45.95,45.162,44.708,44.613,44.546,44.598,45.047,45.338,45.606,45.953,46.059,46.299,46.566,46.76,47,47.21,47.455,47.467,47.668,47.925,48.392,49.151,49.64,50.127,50.663,51.095,51.697,52.099,52.501,52.942,53.312,53.753,54.08,54.562,54.654,54.64,54.109,54.108,54.323,54.584,54.994,55.392,55.869,56.326,56.824,57.267,57.618,58.325,59.147,59.853,60.243,60.899,61.406,61.466,61.697,62.486,62.916,63.525,64.106,64.827,65.605,66.531,67.246,67.796,68.346,68.829,69.276,69.763,70.369,71.213,71.866,72.626,73.485,74.521,75.648,76.854,77.323,78.054,78.912,79.628,80.572,81.545,81.599,82.214,83.339,85.083,87.025,89.449,92.209,95.042,97.673,101.447,105.838,108.823,111.791,113.962,117.111,118.548,119.067,120.038,121.466,123.025,124.22,126.538,129.041,127.209,123.194,120.003,119.555,119.947,120.647,121.399,122.475,123.982,125.835,127.565,128.901,129.746
"36","28","      Equipment and software","B010RG3",57.808,58.111,58.611,59.112,59.75,60.308,60.748,61.436,62.062,62.423,62.493,62.46,62.862,63.139,63.289,63.157,63.428,64.049,64.551,64.708,65.51,67.134,69.836,73.188,76.465,78.796,79.963,81.175,82.353,83.112,84.138,85.414,86.772,88.001,89.359,90.79,91.779,92.844,93.961,95.065,96.822,98.547,100.134,101.837,104.363,106.942,109.196,110.773,112.961,115.053,116.374,117.708,118.551,119.883,120.596,121.09,120.967,120.496,119.928,119.744,119.501,119.409,119.118,118.906,118.801,118.855,119.112,119.59,119.651,120.585,121.565,122.105,122.086,121.551,121.028,121.883,122.567,122.87,123.007,124.174,124.413,124.395,124.76,125.212,125.554,125.672,126.465,127.551,128.666,128.262,127.794,127.728,127.501,126.772,126.407,125.739,125.88,125.543,125.11,124.754,124.953,125.045,124.683,123.734,123.396,123.585,123.178,122.492,121.492,120.367,119.822,119.117,118.069,117.16,116.278,115.048,113.24,111.862,110.831,109.881,109.395,108.572,107.625,107.19,107.097,106.931,107.03,106.515,105.238,104.727,104.066,103.426,103.116,102.402,101.775,101.666,100.923,100.409,100.272,100.194,99.92,100.093,99.894,99.694,100.157,100.259,99.809,99.775,99.809,99.843,100.124,100.419,100.713,100.885,100.475,100.026,100.07,100.396,101.313,102.222,102.182,101.851,101.295,100.657,99.86,99.677,99.595,99.406,99.446,99.743,99.838,99.986,100.326
"37","29","        Information processing equipment and software","B679RG3",262.519,262.472,263.179,264.237,266.273,266.761,265.234,264.135,262.766,260.403,258.144,256.573,255.06,253.76,253.058,253.151,255.938,257.315,255.894,253.437,253.059,257.833,262.746,268.131,273.947,276.953,277.004,277.783,278.846,279.334,279.308,277.799,278.831,277.625,274.57,270.282,267.499,265.902,264.176,262.552,263.757,264.228,262.815,261.694,263.071,264.301,265.571,266.873,270.025,271.707,271.756,271.453,271.303,273.896,274.705,275.524,271.968,267.931,264.584,262.186,258.926,256.45,253.84,252.05,249.814,247.101,244.65,242.382,238.65,237.608,239.437,238.723,235.521,232.128,229.314,230.814,231.293,228.943,227.455,227.588,226.818,224.555,222.962,220.866,219.032,217.837,217.882,217.729,218.137,216.09,212.874,210.086,207.352,203.817,201.547,199.076,198.344,196.23,194.184,191.974,190.371,188.707,186.508,183.795,182.143,180.486,177.493,173.922,169.966,165.407,162.48,159.645,156.4,153.509,150.243,146.907,142.21,138.475,135.254,132.221,130.15,128.093,126.413,125.204,124.663,124.013,123.839,122.836,120.107,118.809,116.611,115.222,114.25,112.777,111.701,110.399,108.59,107.648,106.271,104.464,103.758,103.11,102.605,101.591,101.116,100.408,99.611,98.865,98.279,97.951,97.694,97.475,97.299,96.984,95.735,94.514,94.395,94.339,94.224,93.668,92.815,91.987,91.588,91.298,90.898,90.529,90.04,89.543,89.255,88.891,88.603,88.338,88.344
"38","30","          Computers and peripheral equipment","B935RG3",42262.8,41354.674,40227.01,39553.72,39380.108,38302.1,35708.689,33380.125,31439.921,28777.99,26564.717,24970.195,23535.558,22805.507,22050.823,21747.82,22450.904,22314.665,21072.496,19623.504,18507.814,17613.629,17004.15,16650.675,16693.948,16584.449,16007.899,15260.104,14449.075,13699.697,13085.038,12674.767,12780.354,12387.447,11470.855,10274.186,9095.239,8155.926,7473.712,7007.466,7016.77,6836.016,6449.255,5991.507,5694.385,5268.593,4897.181,4661.285,4649.738,4623.609,4496.997,4264.558,4149.792,4058.274,3975.453,3955.196,3655.894,3441.829,3241.873,3115.507,2914.164,2762.047,2642.999,2566.318,2453.333,2353.884,2272.556,2174.331,2024.94,1971.256,1995.042,1980.555,1817.699,1705.65,1630.376,1636.443,1620.735,1580.112,1558.867,1547.452,1533.145,1479.232,1460.559,1416.654,1355.733,1338.487,1335.551,1314.025,1278.836,1237.63,1164.257,1119.912,1095.828,1045.105,994.542,961.456,930.463,885.498,849.679,815.756,798.426,783.13,757.743,722.377,689.746,661.856,624.165,586.509,542.763,498.082,470.203,442.897,413.177,388.354,363.364,341.394,312.728,289.328,268.131,248.906,233.97,221.272,211.457,204.688,198.989,192.716,188.002,182.854,168.008,161.835,154.403,147.106,142.54,139.655,135.181,130.99,126.472,123.637,121.203,118.889,117.226,115.345,112.415,109.481,105.517,101.827,98.091,94.565,91.746,88.544,85.664,83.626,81.772,79.596,77.317,75.638,73.053,71.755,70.446,68.994,67.483,65.784,64.613,63.48,63.067,62.481,61.911,61.223,59.975,58.833,57.879,57.26,57.265
