"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"11","4","Equals: Gross domestic purchases","A712RX1",4355,4348.3,4503.1,4751.8,4987,4922.1,4867.9,5184.8,5459.8,5758.4,5898.3,5784.8,5939.7,5860.4,6203.1,6739.7,7039.4,7297.2,7512.1,7752.2,7984.2,8097.8,8027.8,8302.7,8585.7,8968.5,9181.3,9534,9984.4,10531.1,11131.8,11671.6,11815.8,12097.5,12444.7,12935.5,13345.7,13688.1,13855.3,13653.1,13051.6,13500.4,13720.1
"12","5","Less: Change in private inventories","A014RX1",30.3,5.6,25,25.7,39,29.1,-12.8,34.3,43.1,45.6,28,-9.3,39,-19.7,-7.7,78.3,25.4,8.5,33.2,21.9,30.6,16.6,-1.4,17.9,22.3,69.3,32.1,31.2,77.4,71.6,68.5,60.2,-41.8,12.8,17.3,66.3,50,59.4,27.7,-36.3,-144.9,58.8,34.6
"13","6","Equals: Final sales to domestic purchasers","A713RX1",4342,4367.2,4497.6,4745.2,4958,4906.2,4914.7,5163.6,5427,5720.4,5884.2,5823.3,5911.7,5911.9,6239.3,6658.4,7029.3,7309.7,7495.3,7746.2,7965.8,8096.4,8047.1,8299.5,8577.3,8907,9160.6,9512.4,9912.5,10464.7,11067.7,11613.3,11860.9,12088.3,12429,12869.8,13295.7,13629,13826.4,13691.2,13200,13440.7,13688.7
"14",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Final sales of domestic product","A190RX1",4245,4284.3,4403.6,4636.7,4884,4870,4922.1,5115.9,5340.3,5634.9,5836.2,5873.6,5954.4,5918.2,6167.6,6490,6833.1,7092.7,7289.9,7601.3,7860.8,8025.8,8027.9,8277.2,8508,8801.7,9065.4,9404.4,9774.2,10208.3,10706.5,11158,11382,11533.6,11820.5,12181.3,12573,12899.3,13177.5,13200.5,12852.7,13028.9,13284.6
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
