"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180"
"29","21","      Less: Own-account investment \4\","W117RA3",63.451,64.687,63.921,60.938,62.28,64.931,65.517,66.363,67.417,66.54,68.979,66.083,76.318,67.267,66.147,73.861,66.942,63.298,65.084,68.815,51.678,63.88,64.004,66.419,60.287,58.996,62.412,65.927,59.405,61.727,60.266,61.293,53.535,54.708,55.661,52.504,53.872,58.934,64.423,62.276,63.23,66.409,70.761,68.979,69.22,71.653,74.776,73.302,70.975,72.245,73.842,75.053,75.897,79.614,83.795,82.615,84.389,85.839,90.333,88.445,90.402,94.528,100.304,103.613,106.585,109.3,112.678,111.187,110.231,111.401,112.6,114.597,118.132,123.2,124.001,125.627,124.451,125.837,128.773,127.85,129.591,135.557,144.564,150.965,152.757,148.291,143.703,140.168,142.862,150.879,152.958,153.765,160.259,152.446,149.87,137.5,144.013,147.549,149.505,141.162,132.827,130.842,140.327,132.016,139.591,132.072,139.305,120.573,120.791,124.547,132.231,122.447,135.676,126.646,113.809,101.196,121.745,135.297,124.866,95.452,71.762,126.544,122.015,107.162,83.276,86.349,89.364,89.373,107.118,110.246,104.926,104.965,108.671,109.698,113.777,110.48,104.063,105.671,100.964,107.866,97.372,100.577,103.224,100.723,98.256,99.847,101.48,100.417,96.821,97.41,99.321,99.347,95.168,94.071,95.074,92.254,98.152,99.502,102.753,104.716,105.224,104.45,106.1,104.927,104.21,108.816,115.052,111.922,110.444,108.61,103.971,99.68,95.66,94.614,93.705,91.229,88.864
"30","22","            Sales to other sectors","W118RA3",47.521,55.847,54.886,51.17,57.157,50.979,43.431,46.99,42.861,46.423,51.003,49.155,79.525,93.078,82.681,96.646,90.517,117.111,100.975,92.011,124.735,124.451,105.996,103.897,122.71,110.932,59.371,67.142,59.833,90.178,100.384,50.306,89.946,102.619,116.148,81.132,89.042,102.697,119.308,113.352,109.891,108.77,104.502,147.852,100.678,111.766,118.081,105.533,102.147,93.938,119.433,86.745,98.165,90.497,90.013,100.664,82.077,76.758,94.924,100.797,89.25,92.401,107.545,87.28,88.681,90.758,98.212,95.938,88.137,101.435,98.034,103.589,105.735,102.845,112.009,103.626,110.112,118.919,134.496,102.095,112.458,119.532,120.237,98.359,107.558,96.906,123.968,146.726,143.837,108.005,151.529,113.312,132.318,126.852,137.048,82.153,111.768,115.394,117.201,80.953,130.238,175.956,108.624,139.604,107.482,85.178,84.158,116.848,90.064,98.186,122.221,102.329,72.614,77.609,65.335,71.256,71.663,43.852,182.079,47.98,50.009,70.959,76.087,60.413,90.544,70.378,76.54,105.33,72.175,54.176,57.63,73.766,66.716,45.986,77.009,52.441,54.938,78.667,72.348,57.771,57.091,61.444,87.103,76.92,103.214,81.057,108.426,107.302,86.927,97.431,90.72,68.261,69.322,76.931,75.102,76.748,79.289,80.86,106.771,81.713,88.636,92.975,95.346,95.27,97.849,110.4,115.254,89.257,77.553,90.029,216.877,94.568,84.125,95.001,78.082,75.994,87.051
"31","23","    Defense consumption expenditures \1\","A997RA3",96.214,97.143,95.853,95.936,91.237,87.354,86.387,85.218,84.215,81.428,78.859,78.484,78.232,78.009,74.174,72.863,72.459,71.698,68.517,68.646,68.995,69.487,67.026,66.758,66.599,66.569,66.304,66.033,65.197,66.216,64.897,64.646,65.152,66.208,66.847,65.413,66.165,66.928,67.106,66.277,67.227,68.623,66.493,67.489,69.149,69.918,70.563,70.748,72.536,73.888,74.323,75.574,77.021,77.765,79.992,81.41,81.993,83.244,83.189,84.596,84.657,85.485,85.575,87.471,88.601,89.564,92.462,93.193,92.935,95.743,97.045,94.733,96.86,98.311,99.2,100.179,100.501,99.382,98.355,100.818,96.962,99.679,99.701,99.843,99.642,98.713,96.519,98.646,101.047,99.946,97.366,94.759,92.771,92.424,93.796,93.763,90.916,89.414,88.684,89.063,85.793,85.135,87.202,83.989,83.528,83.297,82.954,80.05,80.922,82.161,80.748,81.347,79.212,81.218,79.668,80.19,75.843,78.594,78.671,78.634,78.21,77.287,79.31,81.857,76.407,80.486,78.36,78.529,80.282,80.872,81.428,82.601,84.633,85.772,86.719,89.262,88.456,96.38,94.719,96.552,98.203,98.485,100.79,98.265,99.548,99.751,102.339,98.362,100.843,100.214,100.367,101.869,100.2,101.456,104.262,104.298,106.299,105.978,110.18,112.349,111.008,114.674,116.903,117.406,116.837,118.389,120.269,118.441,114.977,117.113,118.672,114.592,113.213,112.619,116.631,108.571,106.116
"32","24","      Gross output of general government","W085RA3",95.525,96.532,95.174,95.208,90.688,86.789,85.776,84.571,83.566,80.815,78.406,77.919,78.066,78.091,74.112,72.95,72.488,72.24,69.065,68.909,69.668,70.212,67.658,67.249,67.518,67.141,66.01,65.838,64.985,66.032,64.721,64.385,65.019,66.276,66.781,65.134,65.962,66.758,67.029,66.31,67.175,68.453,66.311,67.433,69.042,69.764,70.597,70.839,72.665,73.742,74.484,75.472,77.124,77.749,79.804,81.651,81.783,82.969,82.826,84.419,84.454,85.253,85.652,87.206,88.289,89.358,92.365,92.974,92.587,95.51,96.864,94.573,96.704,98.134,99.123,99.866,100.295,99.233,98.489,100.542,96.854,99.539,99.588,99.643,99.553,98.547,96.719,99.114,101.04,100.074,97.614,94.626,92.998,92.893,94.157,93.655,91.174,89.73,89.294,89.086,86.503,86.158,87.668,85.013,83.862,83.369,82.994,80.291,81.04,82.377,81.152,81.615,79.302,81.402,79.726,80.187,76.029,78.358,78.95,78.374,77.811,77.267,79.54,81.759,76.66,80.244,78.342,78.24,80.517,80.68,81.303,82.568,84.57,85.628,87.156,89.221,88.434,96.44,94.793,96.388,98.013,98.379,100.883,98.088,99.58,99.775,102.41,98.235,100.842,100.413,100.446,101.693,100.111,101.324,104.1,104.191,106.222,105.919,110.078,112.214,110.892,114.51,116.729,117.203,116.63,118.168,120.058,118.269,114.83,116.942,118.473,114.422,113.024,112.427,116.388,108.397,105.964
"33","25","        Value added","W086RA3",130.902,131.686,132.302,131.351,126.766,124.794,123.193,121.28,118.759,116.594,114.734,112.784,109.42,107.116,106.893,106.851,104.265,102.439,101.086,100.798,100.606,100.267,99.772,100.041,99.566,98.827,98.507,98.186,97.89,97.409,97.035,96.889,96.667,96.669,96.885,96.881,97.147,97.339,97.628,97.352,97.039,96.841,97.026,97.074,97.084,97.534,98.266,98.694,99.673,100.31,101.246,101.805,102.345,103.242,103.699,104.235,105.163,105.504,106.069,106.442,107.345,108.186,108.976,109.693,110.736,111.722,112.892,113.325,113.955,114.368,115.202,115.928,116.402,117.417,118.717,119.012,118.615,118.393,118.554,118.707,118.926,119.681,120.498,120.647,120.402,120.396,120.572,121.324,123.704,122.416,120.585,118.605,117.759,117.243,116.424,115.547,115.039,113.833,113.008,111.359,110.43,109.596,108.664,107.079,106.041,105.1,104.095,102.223,101.61,101.395,100.855,99.587,98.893,98.092,97.788,96.745,96.157,95.38,95.23,94.245,93.593,93.207,93.348,93.185,92.504,92.8,92.766,92.53,92.777,92.861,92.947,92.947,94.029,94.686,95.018,94.744,96.408,97.456,97.707,97.781,98.744,98.541,99.363,99.9,100.077,99.802,99.945,100.176,99.072,98.94,99.895,100.112,99.482,99.34,100.425,100.816,101.701,102.756,104.928,106.604,107.669,109.738,111.647,112.75,113.44,113.991,114.451,114.936,115.263,115.622,115.933,116.351,115.3,114.794,114.539,114.046,113.46
"34","26","          Compensation of general government employees","B237RA3",166.237,167.765,168.961,167.414,159.65,156.501,154.159,151.402,147.661,144.695,142.237,139.881,134.87,131.673,131.842,132.297,128.633,126.115,124.344,124.188,124.246,124.009,123.369,124.022,123.341,122.236,121.808,121.239,120.696,119.907,119.256,118.983,118.563,118.493,118.763,118.747,119.203,119.421,119.815,119.312,118.747,118.29,118.4,118.366,118.183,118.683,119.644,120.13,121.484,122.273,123.49,124.076,124.591,125.638,125.98,126.369,127.398,127.414,127.786,127.714,128.492,129.164,129.673,130.053,130.842,131.529,132.46,132.184,132.302,132.049,132.431,132.631,132.466,133.229,134.449,134.191,132.923,131.968,131.637,131.319,131.148,131.785,132.511,132.247,131.357,130.867,130.718,131.45,134.655,132.391,129.358,126.159,124.678,123.754,122.431,121.048,120.234,118.428,117.227,114.864,113.609,112.484,111.251,109.062,107.74,106.526,105.202,102.602,101.87,101.752,101.119,99.437,98.585,97.596,97.332,96.02,95.377,94.43,94.37,93.08,92.256,91.806,92.111,91.973,91.089,91.599,91.62,91.377,91.834,92.013,92.19,92.226,93.738,94.626,95.054,94.621,96.8,98.099,98.33,98.285,99.42,98.988,99.89,100.408,100.43,99.862,99.817,99.891,98.23,97.83,98.853,98.918,97.844,97.391,98.511,98.679,99.472,100.476,102.921,104.699,105.634,107.897,109.963,111.005,111.526,111.891,112.17,112.512,112.667,112.891,113.09,113.447,111.967,111.17,110.683,109.784,108.81
"35","27","          Consumption of general government fixed capital \2\","B432RA3",68.976,68.822,68.685,68.537,68.3,67.998,67.512,66.893,66.23,65.373,64.525,63.351,62.572,61.737,61.002,60.286,59.461,58.783,58.152,57.713,57.195,56.754,56.513,56.226,56.083,55.928,55.791,55.848,55.928,55.924,55.973,56.016,56.092,56.194,56.311,56.326,56.301,56.436,56.551,56.615,56.683,56.864,57.132,57.288,57.571,57.908,58.246,58.552,58.895,59.252,59.695,60.164,60.696,61.289,61.872,62.576,63.274,64.068,64.871,65.864,66.896,67.968,69.179,70.415,71.834,73.297,74.831,76.475,77.991,79.581,81.202,82.86,84.498,85.964,87.395,88.718,89.967,91.148,92.254,93.309,94.283,95.269,96.266,97.218,98.229,99.174,99.98,100.757,101.486,102.136,102.721,103.214,103.698,104.057,104.318,104.509,104.633,104.657,104.6,104.416,104.152,103.915,103.593,103.224,102.762,102.379,102.024,101.647,101.295,100.88,100.539,100.168,99.814,99.431,99.031,98.584,98.122,97.731,97.377,97.082,96.825,96.588,96.351,96.13,95.925,95.713,95.551,95.326,95.067,94.919,94.78,94.693,94.664,94.704,94.789,94.949,95.174,95.503,95.813,96.232,96.68,97.166,97.743,98.332,98.974,99.617,100.345,101.064,101.737,102.474,103.206,103.908,104.728,105.624,106.59,107.72,108.909,110.131,111.389,112.728,114.225,115.628,117.002,118.301,119.559,120.751,121.835,122.809,123.734,124.561,125.259,125.885,126.337,126.866,127.429,128.384,129.195
"36","28","        Intermediate goods and services purchased \3\","W087RA3",60.38,61.439,58.827,59.592,55.553,50.463,49.997,49.444,49.723,46.656,43.947,44.697,47.828,49.906,42.77,40.636,42.074,43.211,38.567,38.514,40.05,41.303,37.195,36.259,37.113,37.056,35.337,35.298,34.031,36.278,34.271,33.801,35.1,37.312,38.024,35.123,36.37,37.612,37.848,36.806,38.563,40.942,37.103,38.988,41.719,42.594,43.43,43.505,45.836,47.156,47.679,48.915,51.318,51.679,54.847,57.601,57.086,58.866,58.168,60.633,59.953,60.678,60.718,62.913,63.97,65.056,69.546,70.282,69.01,74.064,75.828,70.903,74.441,76.184,76.846,77.959,79.125,77.342,75.795,79.517,72.336,76.734,76.053,76.016,76.07,74.179,70.591,74.382,75.828,75.213,72.252,68.408,66.055,66.339,69.603,69.465,65.154,63.517,63.47,64.673,60.544,60.691,64.559,60.936,59.705,59.667,59.917,56.454,58.545,61.426,59.524,61.737,57.812,62.865,59.803,61.791,54.008,59.53,60.881,60.737,60.279,59.573,64.083,68.783,59.052,66.108,62.241,62.287,66.695,66.943,68.135,70.755,73.762,75.26,78.106,82.774,79.182,95.209,91.378,94.728,97.137,98.184,102.678,95.947,98.993,99.741,105.363,95.903,103.014,102.209,101.108,103.6,100.824,103.748,108.646,108.365,111.813,109.831,116.421,119.128,114.811,120.41,123.02,122.699,120.526,123.303,126.994,122.349,114.212,118.496,121.537,111.952,110.125,109.413,118.68,101.239,96.476
"37","29","          Durable goods","A998RA3",74.353,68.913,68.642,64.347,63.674,61.834,60.732,61.125,50.666,44.843,43.15,39.41,58.673,59.563,56.063,53.216,55.238,54.548,48.453,52.015,46.316,51.476,38.458,45.568,47.686,47.051,48.154,45.943,41.326,47.117,38.011,43.078,49.102,61.601,50.72,53.298,58.967,62.968,59.473,58.423,60.167,67.707,62.333,69.013,67.839,68.948,70.956,63.959,74.741,81.786,75.957,84.238,78.727,85.661,87.961,95.035,99.632,104.685,102.69,103.729,107.323,106.921,96.211,104.688,103.451,108.393,119.21,114.353,106.774,122.967,127.437,118.934,119.184,123.384,133.341,129.727,129.95,127.452,126.942,135.455,124.501,129.922,126.684,117.925,122.618,119.813,117.868,120.797,117.277,119.05,114.188,108.631,104.724,100.714,103.664,103.997,94.099,109.18,86.927,85.381,80.281,78.917,85.56,77.336,76.158,68.699,82.573,66.026,68.114,77.322,76.637,69.121,71.426,76.879,71.088,72.952,69.939,71.555,77.715,75.559,70.392,80.012,85.569,77.195,78.496,78.049,78.422,75.103,73.28,79.464,84.41,75.092,76.334,80.655,86.249,81.86,79.534,91.743,92.437,92.919,94.187,100.498,102.166,98.792,96.061,98.812,102.633,102.493,104.979,105.244,109.123,114.091,109.742,116.109,123.878,126.878,130.164,137.439,144.756,146.81,135.182,148.272,158.48,153.559,141.588,148.563,156.324,162.876,135.553,144.056,147.605,152.634,136.564,138.279,145.178,144.368,125.498
"38","30","          Nondurable goods","A725RA3",294.288,296.54,281.75,265.395,220.85,184.501,181.64,205.16,181.767,167.471,151.877,146.5,179.473,177.166,156.944,146.3,140.294,137.308,103.018,109.666,107.206,119.725,100.354,96.406,97.165,97.785,70.158,85.84,74.35,70.002,74.739,67.296,66.974,59.721,73.002,67.856,63.35,66.09,75.422,64.807,65.587,69.371,72.463,70.385,79.188,70.812,76.64,77.112,77.322,81.343,78.694,83.891,78.457,80.303,79.954,81.08,75.726,91.243,88.247,79.701,71.963,80.534,80.397,84.133,87.637,77.017,77.152,69.753,89.929,105.556,95.474,102.058,89.706,91.495,98.817,105.09,96.065,97.414,85.087,92.664,93.011,92.528,91.991,81.991,78.593,81.191,70.074,91.062,94.087,79.403,77.771,75.531,72.025,82.877,78.145,69.238,69.331,70.11,72.786,64.964,61.793,59.564,62.491,68.358,52.828,53.795,52.934,47.012,55.444,59.69,59.671,53.267,59.047,54.787,58.513,57.353,57.364,56.249,63.788,59.905,58.284,64.397,77.697,64.833,77.141,73.84,64.149,63.12,66.064,73.318,69.482,77.326,77.163,83.367,78.891,87.496,92.403,91.923,74.038,86.712,103.491,99.586,109.942,84.447,94.641,103.41,106.435,95.514,96.084,93.031,104.415,91.917,101.075,100.136,106.619,91.86,102.631,101.587,98.109,107.355,103.861,108.964,112.716,106.432,107.324,109.341,101.932,101.389,108.779,107.169,108.34,111.167,110.496,106.459,100.495,105.33,102.706
"39","31","          Services","A489RA3",38.036,40.425,38.257,41.183,39.251,35.781,35.651,33.389,37.656,36.148,34.175,36.18,33.809,36.193,29.675,28.369,30.032,31.734,29.717,28.459,31.761,31.271,30.398,28.121,28.697,28.681,28.86,27.751,28.194,30.326,29.189,28.215,28.661,29.588,31.508,27.702,28.544,29.042,29.206,29.111,30.978,32.1,27.827,29.139,31.9,34.072,33.904,35.393,36.345,36.099,38.504,37.685,43.027,41.752,45.697,47.789,46.732,46.01,45.869,50.141,49.294,49.344,52.031,52.6,53.963,55.55,59.207,62.274,60.055,61.588,63.825,58.667,64.458,65.683,63.609,65.336,67.683,65.724,64.974,67.339,60.14,64.866,64.708,67.491,66.939,64.792,61.636,63.738,66.102,66.455,63.748,60.061,58.089,58.27,62.359,62.943,59.341,54.044,58.291,60.856,56.819,57.477,60.888,57.346,57.326,58.68,56.327,55.646,57.188,58.707,56.393,61.315,55.255,61.099,57.964,60.255,50.891,57.691,57.661,58.167,58.656,55.517,59.14,67.724,53.986,63.366,59.264,60.011,65.662,64.217,65.198,69.455,73.03,73.662,76.658,82.524,77.937,96.122,92.749,95.722,97.018,97.63,101.998,96.653,99.897,99.48,105.691,94.932,103.547,102.836,99.397,103.265,99.337,102.159,106.427,107.546,109.983,106.479,114.509,116.37,113.037,117.548,118.878,119.925,118.841,121.087,125.507,118.744,111.37,115.875,119.104,105.714,105.763,105.186,116.822,94.016,90.969
"40","32","      Less: Own-account investment \4\","W088RA3",29.547,31.8,30.743,29.336,32.199,32.69,29.98,32.917,29.679,30.213,28.825,27.643,27.111,29.892,31.688,41.444,33.152,32.659,34.775,40.299,32.642,35.752,37.075,37.147,42.27,38.639,40.589,46.046,47.73,43.556,41.973,46.063,42.955,44.067,38.882,39.299,40.147,44.525,44.981,45.713,50.73,50.68,50.831,47.39,46.831,48.065,51.848,53.335,53.762,52.876,56.644,56.018,58.294,64.072,69.357,70.221,69.572,73.069,75.718,75.474,76.951,83.241,89.051,89.284,90.685,94.805,104.004,103.079,102.758,101.314,102.897,104.368,106.846,111.692,115.121,114.96,114.173,113.491,113.239,112.724,115.845,126.001,131.397,141.144,138.582,116.495,124.83,123.856,125.473,134.065,136.137,133.451,141.645,133.48,131.198,117.788,127.223,129.844,130.493,120.741,113.388,112.195,119.417,112.821,119.663,111.282,112.999,102.476,102.213,102.797,107.28,101.681,112.849,105.426,92.236,84.248,96.746,107.879,96.191,74.719,55.795,100.943,94.349,85.675,67.506,69.188,69.919,72.131,88.801,81.645,84.243,100.837,114.725,118.429,119.696,123.024,116.074,116.347,110.739,115.635,101.966,106.053,106.767,107.998,98.775,99.664,100.226,101.335,96.489,97.158,97.938,99.847,95.584,93.635,92.501,91.21,96.848,97.626,98.266,97.498,98.929,101.67,102.654,103.502,103.695,106.006,111.555,112.017,107.631,105.467,100.949,98.024,93.938,91.803,89.885,88.211,86.452
"41","33","            Sales to other sectors","W089RA3",25.069,35.401,25.133,19.525,35.411,27.518,21.536,13.516,13.946,14.465,33.307,16.591,78.494,121.155,85.63,104.329,99.276,197.401,191.749,132.704,216.399,223.757,201.599,175.809,247.698,189.011,31.953,45.555,39.948,49.469,49.619,30.786,57.044,95.296,75.491,33.298,48.327,52.454,69.531,87.37,70.072,51.075,45.312,72.373,66.065,57.865,90.995,100.792,110.39,63.06,117.39,71.489,110.222,85.819,54.702,134.213,53.861,41.728,23.81,60.225,54.714,46.397,100.206,39.936,32.32,50.556,69.543,49.113,25.623,52.067,62.375,61.265,63.982,59.438,76.783,36.257,56.304,65.054,114.797,44.898,66.617,58.913,60.227,39.618,59.991,59.155,112.101,162.412,84.83,99.623,113.822,49.87,99.229,141.667,128.714,63.494,110.252,115.562,158.992,74.407,179.561,227.526,139.888,225.567,113.246,77.063,70.411,103.724,86.013,102.719,127.222,110.246,72.518,94.856,80.723,76.829,91.34,24.671,110.357,40.898,30.48,59.685,105.094,64.331,120.116,49.859,80.401,37.854,109.979,51.02,60.423,66.28,56.879,44.191,132.194,62.203,68.132,93.002,96.067,59.554,66.376,77.332,111.309,64.671,105.013,103.612,114.914,76.461,103.382,133.839,114.383,75.057,88.772,85.338,85.849,95.587,99.955,101.835,101.325,100.07,99.962,96.785,98.275,93.936,92.253,91.177,92.285,95.174,96.172,97.229,98.324,98.046,95.505,95.299,95.093,93.829,94.543
"42","34","    Nondefense consumption expenditures \1\","A542RA3",46.483,47.069,47.957,45.571,46.143,47.227,46.61,46.545,46.03,49.053,51.057,49.149,52.127,52.981,52.72,52.367,52.284,52.007,52.194,51.281,54.841,50.589,56.462,57.438,55.894,57.002,56.695,57.062,57.054,56.169,55.988,57.207,57.504,58.368,58.79,61.185,60.378,61.514,60.892,62.802,62.909,62.56,62.064,62.281,63.686,69.383,65.376,64.36,65.949,68.468,66.582,66.122,65.03,62.022,62.982,65.377,66.081,67.454,73.565,57.792,58.902,65.504,65.4,65.454,66.606,67.993,68.213,67.093,67.075,68.584,71.44,72.635,70.726,68.292,64.904,70.284,64.919,63.674,63.389,68.239,69.35,70.874,70.985,71.594,74.906,76.13,77.824,76.718,76.547,77.23,77.321,77.847,81.399,81.218,81.739,82.692,81.067,80.353,80.366,80.755,81.676,80.434,81.373,82.024,81.37,81.232,81.312,76.713,77.644,78.638,77.627,78.807,80.61,81.169,81.09,80.879,80.935,81.337,77.086,81.338,81.093,80.131,80.843,81.233,83.345,86.471,84.783,83.953,86.459,89.847,90.181,90.781,92.797,95.295,96.574,97.314,99.241,96.765,99.744,98.081,99.242,99.517,99.117,100.781,100.171,98.753,99.555,101.521,105.35,102.491,103.205,99.266,99.471,100.474,102.448,103.507,106.762,107.553,107.245,110.233,112.262,115.214,115.797,118.523,120.815,124.479,123.329,123.441,122.647,120.459,114.452,117.979,119.015,118.946,120.142,120.49,120.278
"43","35","      Gross output of general government","W128RA3",47.299,48.072,49.027,46.609,47.162,48.135,47.376,47.537,46.925,49.963,51.875,50.131,53.566,54.263,53.968,53.982,53.69,53.368,53.008,52.405,55.999,51.973,57.16,58.354,56.617,57.919,57.497,57.993,57.651,57.895,58.092,57.569,58.986,59.914,61.109,62.442,61.829,63.475,63.446,64.797,64.917,64.795,64.271,66.072,65.42,71.494,67.602,65.924,67.144,69.741,68.448,67.125,66.125,63.206,64.49,66.303,67.172,68.412,75.289,59.886,60.57,67.173,67.087,67.104,68.4,69.62,69.876,68.935,68.898,70.537,73.087,74.471,72.697,70.332,67.157,72.579,67.363,66.396,66.144,70.482,71.678,73.525,73.754,73.824,77.178,78.076,79.882,78.986,79.705,78.967,80.447,80.427,83.977,82.972,84.005,83.674,82.605,82.011,81.536,81.615,82.868,82.693,82.383,82.954,82.671,82.13,82.363,78.41,78.59,79.688,79.373,79.883,81.153,81.504,81.046,80.953,81.094,81.491,81.113,81.011,80.713,80.75,81.01,81.154,83.286,86.521,84.77,85.531,86.015,89.526,89.738,90.688,92.468,94.307,95.56,96.231,98.049,96.191,98.774,97.212,98.146,98.447,98.556,100.351,100.192,98.085,99.699,102.025,104.648,101.866,102.598,98.485,98.508,99.784,101.65,102.565,105.809,106.622,107.292,109.374,111.571,114.584,115.235,117.902,120.223,124.281,123.383,122.479,121.267,119.547,118.22,117.234,117.856,118.179,118.731,118.978,119.132
"44","36","        Value added","W129RA3",60.117,60.224,60.474,60.473,61.323,61.341,60.975,61.159,63.192,62.97,62.963,62.95,64.529,64.641,64.59,64.917,65.208,65.012,64.481,64.935,67.709,67.856,68.087,67.765,68.278,68.883,69.22,69.911,70.994,71.913,72.834,73.315,73.431,73.793,74.29,74.256,75.341,76.163,76.406,76.244,76.383,76.598,76.651,76.198,77.784,80.524,79.627,77.55,77.89,77.703,77.414,77.043,76.667,76.334,77.061,77.469,77.836,78.679,79.319,78.761,79.025,79.625,80.204,79.919,80.341,80.975,81.249,80.842,81.107,80.968,80.671,80.487,82.441,81.914,82.691,84.565,85.383,84.398,85.227,87.07,86.817,86.307,86.552,87.361,90.73,91.322,92.236,90.575,91.183,91.147,91.697,93.602,94.389,93.79,93.886,93.763,94.915,95.018,94.312,93.568,94.303,92.898,92.292,91.041,90.994,91.737,91.683,85.476,86.925,89.857,89.347,88.426,88.974,89.412,89.213,88.075,89.182,90.254,90.687,92.211,93.299,91.897,90.98,91.256,94.238,98.989,94.245,93.339,95.19,96.204,96.366,95.503,96.49,97.117,98.235,99.643,100.101,100.472,100.183,100.018,99.599,99.665,99.348,100.173,100.246,99.985,99.541,100.228,100.203,100.548,101.244,100.911,101.492,101.423,102.186,102.658,103.915,105.169,106.107,107.983,109.452,112.515,111.611,111.89,114.066,118.629,115.921,115.386,116.196,115.932,115.157,115.103,116.306,116.037,116.054,116.564,116.501
"45","37","          Compensation of general government employees","W130RA3",73.832,73.887,74.119,74.021,75.237,75.18,74.517,74.798,77.658,77.367,77.29,77.295,79.517,79.672,79.534,79.973,80.401,80.027,79.227,79.824,83.757,83.868,84.176,83.646,84.341,85.085,85.503,86.392,87.852,89.097,90.329,90.96,91.027,91.43,92.041,91.782,93.183,94.18,94.396,93.987,94.015,94.102,93.99,93.145,95.166,98.8,97.323,94.138,94.373,93.888,93.262,92.547,91.793,91.107,91.889,92.219,92.426,93.28,93.846,92.741,92.745,93.205,93.65,92.889,93.138,93.681,93.714,92.805,92.859,92.349,91.624,91.057,93.403,92.372,93.157,95.406,96.209,94.574,95.408,97.61,96.999,96.027,96.041,96.846,101.093,101.586,102.478,99.95,100.439,100.112,100.6,102.879,103.697,102.723,102.62,102.287,103.583,103.563,102.489,101.372,102.205,100.25,99.358,97.608,97.431,98.246,98.004,89.822,91.449,94.994,94.103,92.71,93.164,93.481,92.998,91.321,92.509,93.572,93.81,95.384,96.352,94.208,92.714,92.721,96.118,101.761,95.569,94.208,96.359,97.425,97.45,96.208,97.243,97.861,99.1,100.718,101.181,101.536,101.107,100.81,100.241,100.225,99.73,100.59,100.541,100.07,99.377,100.012,99.734,99.924,100.529,99.927,100.408,100.125,100.834,101.185,102.512,103.797,104.683,106.663,108.148,111.523,110.249,110.392,112.789,117.977,114.601,113.786,114.523,114.01,112.902,112.654,113.911,113.45,113.307,113.537,113.198
"46","38","          Consumption of general government fixed capital \2\","B546RA3",21.384,21.54,21.743,21.892,21.919,22.056,22.278,22.25,22.369,22.318,22.432,22.39,22.464,22.474,22.587,22.637,22.612,22.78,22.859,22.953,22.997,23.177,23.218,23.336,23.403,23.618,23.731,23.905,24.062,24.18,24.324,24.418,24.594,24.798,24.972,25.386,25.64,25.958,26.207,26.56,26.89,27.314,27.677,28.083,28.508,28.957,29.369,29.881,30.37,30.811,31.246,31.63,32.085,32.522,33.003,33.493,34.119,34.789,35.473,36.148,36.918,37.722,38.494,39.285,40.02,40.765,41.533,42.299,43,43.721,44.443,45.166,45.947,46.67,47.324,48.074,48.82,49.522,50.239,50.98,51.64,52.344,53.135,53.861,54.637,55.421,56.296,57.064,57.945,58.712,59.384,60.093,60.721,61.226,61.877,62.369,63.023,63.492,63.949,64.4,64.786,65.197,65.528,65.925,66.293,66.773,67.343,68,68.817,69.557,70.391,71.15,72.024,72.888,73.715,74.57,75.369,76.461,77.61,78.908,80.415,81.877,83.215,84.55,85.867,87.058,88.104,89.049,89.671,90.468,91.201,91.918,92.719,93.399,93.983,94.454,94.865,95.291,95.648,96.089,96.401,96.872,97.445,98.092,98.766,99.56,100.365,101.308,102.568,103.713,104.874,105.913,107.012,108.081,109.13,110.239,111.133,112.213,113.428,114.738,116.105,117.466,118.578,119.611,120.55,121.537,122.664,123.733,124.942,126.111,127.262,128.326,129.206,130.043,130.982,133.111,134.65
