"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180"
"29","21","    Other services","DOTSRA3",34.318,34.608,34.867,35.33,35.805,35.875,36.114,35.808,35.878,35.971,35.916,36.422,37.025,37.228,37.742,38.465,38.7,38.896,38.715,38.409,37.859,37.686,37.014,37.193,37.267,37.539,37.843,38.327,38.786,38.689,39.134,40.126,40.473,40.716,41.184,42.051,42.896,43.286,43.609,43.336,43.419,43.357,43.82,44.068,43.589,43.257,43.041,43.797,43.493,43.292,43.05,42.985,43.208,43.824,44.22,45.163,45.787,46.856,47.141,48.135,48.458,48.578,49.668,50.642,51.473,52.61,53.532,53.42,53.09,52.829,53.46,53.991,56.081,56.834,57.435,58.013,59.057,58.837,59.651,60.1,60.496,61.106,61.635,61.858,62.379,62.85,62.897,61.249,60.355,60.082,59.978,59.97,61.111,62.083,63.1,63.434,62.918,63.217,64.109,64.738,65.493,65.748,66.618,66.828,67.238,67.578,67.277,67.771,68.935,69.139,71.01,69.881,71.828,72.941,74.483,76.239,78.111,79.185,81.209,81.493,82.82,83.966,84.977,86.286,88.146,89.985,91.869,92.46,92.822,94.936,94.92,94.433,94.875,95.17,94.595,94.744,96.616,96.831,97.487,97.111,98.256,98.56,99.236,99.492,100.03,99.653,99.835,100.482,101.373,102.544,102.864,103.683,104.893,105.55,104.617,104.425,104.742,103.711,102.932,102.976,102.335,101.136,101.021,101.213,101.272,101.691,102.24,102.964,103.853,103.596,103.363,104.126,104.423,104.397,104.503,104.885,103.993
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",7.987,8.029,8.135,8.28,8.394,8.49,8.699,8.602,8.695,8.858,9.073,9.405,9.387,9.495,9.415,9.929,9.747,9.812,9.49,9.543,9.529,9.503,9.395,9.456,9.355,9.422,9.546,9.762,10.028,10.049,10.051,10.088,10.058,10.071,10.16,10.576,10.615,10.748,10.727,10.962,11.3,11.276,10.825,11.121,11.292,11.336,11.851,12.163,12.234,12.178,12.655,13.3,13.861,14.338,14.814,15.367,16.041,16.241,16.991,17.874,18.249,18.962,19.695,20.637,20.404,20.844,21.176,21.261,22.375,23.786,24.209,24.492,24.796,25.138,25.79,26.227,27.65,28.768,29.96,30.874,31.153,32.716,34.312,35.811,36.739,39.283,42.087,43.246,44.103,44.827,46.483,48.157,51.299,54.031,56.296,58.405,58.262,58.455,59.924,60.637,62.117,63.643,65.251,65.928,66.239,66.86,67.159,68.5,70.806,71.666,72.215,70.381,66.516,66.041,65.981,66.941,69.118,71.314,73.889,76.405,76.945,77.511,78.11,79.064,81.59,81.953,84.959,87.399,87.863,89.627,91.083,92.947,94.606,96.795,100.475,102.966,102.554,103.817,103.582,103.291,103.857,102.925,102.198,102.236,96.344,98.366,100.222,105.068,106.393,109.335,114.028,114.509,113.619,112.192,116.514,120.993,125.083,127.063,129.251,134.153,131.031,128.884,129.779,132.567,131.51,133.027,131.906,131.716,132.536,135.244,141.024,139.265,138.843,144.189,142.679,142.348,137.437
"31","23","    Gross output of nonprofit institutions \2\","DNPERA3",25.819,26.177,26.422,26.826,27.197,27.28,27.795,28.099,28.581,29.264,29.856,30.371,30.831,31.173,31.306,31.81,32.104,32.429,31.902,32.271,32.243,32.652,32.554,32.775,33.2,33.702,33.591,34.649,35.272,35.329,35.687,35.962,36.335,36.884,36.842,37.559,38.177,39.069,39.188,39.509,39.823,40.19,39.893,40.475,40.678,40.522,41.676,42.215,42.387,42.862,43.118,43.518,43.875,44.613,44.98,45.599,45.994,46.287,46.463,46.978,47.328,47.767,48.175,48.812,48.936,49.262,49.994,50.644,51.443,52.205,52.379,52.74,53.277,53.94,54.704,55.154,56.136,56.871,57.835,58.201,58.41,58.949,59.562,60.37,61.192,62.471,63.715,63.916,64.035,64.677,65.44,66.457,67.445,68.356,69.221,69.615,69.904,70.088,70.654,70.751,71.058,71.577,72.153,72.561,72.357,72.604,72.852,73.361,73.685,74.518,74.978,75.761,75.239,75.446,76.118,76.887,78.341,79.142,80.225,81.048,81.589,82.029,82.671,83.558,84.289,85.114,86.081,87.184,88.174,89.116,90.335,91.656,93.25,94.701,95.892,96.395,96.303,96.473,96.598,96.809,97.375,97.917,98.819,99.557,99.139,99.675,100.17,101.016,102.163,102.896,103.481,104.352,105.477,105.52,105.829,106.846,107.993,108.817,109.638,110.442,110.596,110.889,111.39,111.495,110.981,112.135,113.157,114.183,114.685,115.446,115.707,116.607,117.775,117.96,119.303,119.243,118.793
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",36.982,37.625,37.918,38.459,38.992,38.98,39.625,40.415,41.21,42.28,43.068,43.483,44.441,44.926,45.341,45.401,46.326,46.859,46.399,47.043,47.011,47.889,47.897,48.226,49.276,50.163,49.705,51.43,52.188,52.264,52.977,53.46,54.257,55.332,55.086,55.761,56.925,58.463,58.739,58.952,58.974,59.743,59.964,60.589,60.686,60.297,61.677,62.2,62.413,63.434,63.148,62.909,62.758,63.471,63.502,63.912,63.777,64.062,63.489,63.405,63.611,63.618,63.568,63.722,64.178,64.316,65.253,66.284,66.587,66.584,66.503,66.865,67.507,68.323,69.05,69.435,69.905,70.23,70.886,70.802,70.94,70.725,70.642,70.958,71.661,72.139,72.475,72.181,71.947,72.545,72.872,73.569,73.593,73.734,74.034,73.773,74.24,74.432,74.679,74.556,74.444,74.608,74.827,75.143,74.766,74.89,75.122,75.355,75.021,75.848,76.281,77.938,78.533,78.973,79.899,80.612,81.828,82.147,82.705,82.929,83.468,83.863,84.521,85.387,85.473,86.47,86.695,87.314,88.5,89.138,90.27,91.392,92.962,94.147,94.447,94.258,94.287,94.094,94.347,94.728,95.297,96.316,97.742,98.706,100.027,100.094,100.157,99.722,100.816,100.854,100.156,101.15,102.898,103.394,102.468,102.427,102.687,103.165,103.575,103.161,104.282,105.278,105.673,105.035,104.674,105.722,107.314,108.661,109.072,109.303,108.09,109.683,111.258,110.096,112.162,112.172,112.87
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRA3",25.965,26.199,26.335,26.504,26.611,26.774,26.996,26.847,27.44,27.749,28.099,28.652,29.155,29.633,30.154,30.884,31.703,31.81,31.92,31.936,31.86,31.944,31.917,31.348,31.736,32.163,32.724,33.303,33.921,34.14,34.498,34.879,35.429,35.796,36.137,36.728,36.972,38.076,38.292,38.607,38.753,38.859,39.364,39.435,39.323,38.314,38.957,39.671,40.039,39.874,40.134,39.649,39.908,40.112,40.538,41.376,41.88,42.807,43.552,44.362,44.978,45.546,45.999,46.701,47.53,48.121,49.105,49.113,49.59,50.185,51.263,51.532,51.528,52.235,52.99,53.12,53.986,54.358,54.821,55.549,55.737,56.131,56.763,56.844,57.651,57.669,57.876,57.48,57.334,57.663,57.927,58.051,59.209,59.541,60.314,61.066,61.357,62.048,62.671,63.301,64.032,64.482,65.138,65.897,65.967,66.526,67.165,67.725,68.294,69.177,69.766,70.348,71.152,71.466,72.831,73.681,74.588,75.882,76.956,78.374,79.106,80.366,81.373,82.666,84.292,84.928,85.834,86.51,86.983,87.487,87.899,89.476,89.85,90.244,90.879,91.107,91.597,92.677,94.013,94.569,95.433,95.946,96.918,97.953,98.703,99.811,100.579,100.907,102.318,102.761,103.333,104.438,105.088,105.594,106.054,106.489,106.244,106.309,105.545,103.919,103.352,102.838,103.425,103.332,103.828,104.723,105.373,106.567,107.44,107.829,108.316,109.141,110.072,110.166,110.634,111.553,112.047
"35","26","  Energy goods and services \5\","DNRGRA3",56.281,56.337,57.147,58.244,59.057,58.748,59.755,59.544,60.658,61.506,61.071,61.42,62.321,63.395,64.261,67.286,67.082,67.14,68.079,66.944,61.089,63.596,64.877,66.609,65.397,67.119,66.797,65.685,67.248,68.018,69.564,72.569,71.423,69.866,72.119,72.138,73.51,73.72,72.968,73.043,75.24,72.356,70.742,70.45,69.743,68.353,68.202,68.63,66.972,68.234,67.717,68.007,69.25,68.512,67.403,67.264,67.766,68.999,70.884,71.447,69.905,71.688,71.032,71.443,73.481,71.352,72.416,73.243,72.547,73.893,74.588,75.659,74.638,77.285,76.114,76.55,78.48,78.752,79.502,79.767,80.318,79.181,79.462,83.339,77.589,79.651,80.647,78.679,78.02,81.242,80.898,79.387,79.379,81.571,81.589,82.99,83.146,82.976,85.729,85.481,86.169,86.725,85.328,83.97,84.665,86.945,88.071,87.134,89.778,89.394,87.352,88.495,87.811,89.033,88.974,91.429,90.175,93.026,93.762,90.826,92.381,94.516,95.309,93.227,90.847,94.147,94.866,97.186,96.178,92.687,93.737,93.24,93.426,95.868,96.455,97.933,97.528,98.088,98.03,99.538,99.681,99.836,98.552,99.698,100.297,100.482,100.542,98.678,95.188,97.583,99.323,97.664,97.73,97.833,98.327,96.39,96.259,94.641,90.944,94.14,96.233,94.68,94.11,94.033,96.259,95.667,96.476,94.801,94.806,93.09,93.416,90.972,88.93,93.796,94.111,90.015,93.469
"36","27","  Market-based PCE \6\","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.794,55.586,56.289,56.403,57.332,57.781,58.26,58.956,59.159,59.392,59.957,60.194,60.657,60.773,60.926,60.418,59.978,60.47,60.721,60.637,61.705,62.02,62.631,63.315,63.482,64.016,64.656,65.191,65.905,66.455,67.004,67.761,67.809,68.393,69.122,69.607,70.158,71.002,71.318,72.154,72.856,73.149,74.44,75.301,75.949,77.289,78.213,79.392,80.278,81.509,82.471,83.634,84.704,85.546,86.298,87.13,87.543,87.681,88.089,89.539,89.851,90.411,91.109,91.414,91.804,92.833,94.1,94.668,95.497,95.86,96.755,97.872,98.807,99.882,100.641,100.67,101.659,102.261,102.801,103.758,104.44,104.829,105.314,105.587,105.203,105.292,104.249,102.707,102.51,102.236,102.909,102.857,103.479,104.129,104.832,106.075,106.983,107.293,107.658,108.255,108.881,109.276,109.831,110.405,111.192
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.576,52.35,53.226,53.333,54.184,54.593,55.089,55.841,56.013,56.391,56.972,56.961,57.804,57.7,57.815,57.389,56.936,57.288,57.579,57.659,58.859,59.128,59.826,60.481,60.672,61.284,61.829,62.416,63.125,63.636,64.323,65.197,65.23,65.818,66.59,67.156,67.614,68.562,69.046,69.916,70.7,71.013,72.445,73.303,74.117,75.442,76.404,77.826,78.663,79.88,80.868,82.174,83.621,84.278,85.092,85.827,86.392,86.697,87.134,88.812,89.198,89.698,90.432,90.622,91.03,92.269,93.633,94.258,95.113,95.567,96.624,97.738,98.662,99.904,100.677,100.757,102.179,102.581,103.059,104.185,104.969,105.477,105.963,106.374,105.993,106.226,105.479,103.595,103.262,102.955,103.718,103.561,104.024,104.939,105.661,107.106,108.09,108.569,108.975,109.916,110.862,110.891,111.519,112.6,113.153
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
