"","Table 1#1#9# Implicit Price Deflators for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11","4","    Durable goods","DDURRD3",54.849,56.033,57.968,58.606,59.474,63.379,69.051,72.827,76.177,80.441,85.773,93.216,99.45,103.329,105.421,106.981,108.112,109.301,112.446,114.301,116.384,117.54,119.263,120.087,121.269,123.642,124.544,123.287,120.593,117.181,114.005,111.953,109.733,106.92,103.113,101.124,100,98.361,96.43,94.628,92.83,91.611,90.799,89.567
"12","5","    Nondurable goods","DNDGRD3",26.245,27.425,28.199,29.103,31.45,36.206,39.004,40.274,42.582,45.304,50.186,56.344,60.695,62.073,63.138,64.45,65.657,64.818,67.023,69.154,72.584,76.745,78.985,80.133,80.784,81.215,82.063,83.922,84.798,84.169,86.268,90.016,90.961,90.888,92.797,96.114,100,103.23,106.49,112.567,109.177,112.621,119.43,122.429
"13","6","  Services","DSERRD3",17.313,18.273,19.271,20.089,21.065,22.853,24.82,26.54,28.541,30.759,33.33,36.78,40.444,43.603,46.318,48.729,50.929,53.249,55.409,58.123,60.84,63.808,66.581,69.236,71.294,73.2,75.365,77.473,79.812,81.689,83.509,85.818,88.422,90.801,93.686,96.688,100,103.415,106.981,110.584,112.157,114.418,116.435,118.778
"14","7","Gross private domestic investment","A006RD3",30.879,32.191,33.787,35.201,37.107,40.865,45.839,48.362,51.999,56.243,61.341,67.005,73.424,77.16,77.008,77.542,78.33,79.974,81.578,83.421,85.414,86.977,88.293,87.969,89.021,90.205,91.207,90.837,90.455,89.454,89.33,90.276,91.053,91.479,92.489,95.644,100,104.27,106.285,107.621,106.252,104.782,106.362,107.727
"15","8","  Fixed investment","A007RD3",29.856,31.14,32.708,34.11,35.995,39.54,44.494,47.072,50.767,55.055,60.045,65.663,71.765,75.693,75.574,76.016,76.973,78.813,80.275,82.356,84.35,86.064,87.342,87.09,88.163,89.352,90.393,90.149,89.921,89.085,89.028,90.083,90.888,91.261,92.375,95.543,100,104.347,106.36,107.587,106.318,105.024,106.68,108.156
"16","9","    Nonresidential","A008RD3",38.701,40.531,42.437,43.871,45.56,49.958,56.836,59.988,64.093,68.386,73.939,80.461,88.229,93.089,92.258,92.035,92.757,94.333,95.181,97.295,99.336,101.238,102.804,101.947,102.1,102.592,102.811,101.612,100.326,98.125,96.704,96.75,96.317,95.889,95.471,96.837,100,103.425,105.645,107.717,107.102,105.514,107.359,108.966
"17","10","      Structures","A009RD3",14.464,15.415,16.602,17.796,19.175,21.828,24.443,25.644,27.868,30.56,34.11,37.281,42.408,45.755,44.59,44.978,46.046,46.93,47.684,49.709,51.654,53.322,54.287,54.298,56.103,58.089,60.6,62.141,64.516,67.48,69.559,72.298,76.087,79.292,82.174,88.441,100,112.922,119.78,125.706,122.527,121.158,126.85,131.075
"18","11","      Equipment and software","A010RD3",58.411,60.561,62.36,63.112,64.184,68.917,79.1,83.755,88.731,93.412,99.335,107.819,115.524,120.031,120.284,119.233,119.09,120.976,121.637,123.154,124.695,126.31,128.112,126.605,125.322,124.604,123.163,120.2,116.639,111.454,108.195,106.893,104.364,102.24,100.45,99.9,100,100.049,100.525,101,101.477,99.806,100.445,101.23
"19","12","    Residential","A011RD3",16.144,16.666,17.632,18.703,20.359,22.46,24.547,26.124,28.759,32.281,35.902,39.789,43.036,45.34,46.38,47.713,48.944,50.994,53.079,54.913,56.68,58.011,58.771,59.486,61.89,64.068,66.403,67.827,69.556,71.412,74.151,77.415,80.994,83.002,86.953,93.297,100,106.081,107.612,106.296,102.713,102.519,103.406,104.306
"20","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Exports","A020RD3",32.797,34.054,35.31,36.956,41.815,51.517,56.781,58.645,61.034,64.753,72.545,79.904,85.81,86.204,86.544,87.348,84.673,83.406,85.516,89.945,91.443,92.063,93.284,92.904,92.879,93.914,96.07,94.799,93.174,91.042,90.477,92.07,91.697,91.322,93.282,96.539,100,103.441,106.901,111.975,105.924,110.739,117.86,118.87
"23","16","    Goods","A253RD3",37.496,39.186,40.232,41.302,47.937,60.665,67.426,69.15,71.669,75.801,85.807,94.059,100.697,99.545,98.819,99.678,94.691,91.589,93.956,100.006,101.309,100.348,100.243,98.635,98.077,99.125,101.478,98.857,96.127,93.095,91.834,92.999,92.423,91.82,93.616,96.958,100,103.319,106.793,112.143,104.528,109.828,118.182,118.646
"24","17","    Services","A646RD3",23.708,24.165,25.751,28.36,29.68,33.11,35.334,37.468,39.579,42.446,45.749,51.38,55.845,59.232,61.553,62.232,63.928,66.007,67.587,68.937,70.783,74.414,78.131,80.13,81.142,82.139,83.872,85.491,86.335,86.285,87.314,89.92,90.042,90.202,92.533,95.598,100,103.719,107.146,111.574,109.002,112.741,116.972,119.296
"25","18","  Imports","A021RD3",22.269,23.587,25.035,26.789,31.446,44.989,48.733,50.201,54.624,58.482,68.483,85.301,89.887,86.855,83.601,82.879,80.156,80.154,85.008,89.074,91.021,93.63,92.849,92.922,92.21,93.075,95.625,93.958,90.692,85.809,86.311,90.027,87.824,86.846,89.851,94.164,100,104.131,107.785,119.237,106.598,112.989,121.851,122.605
"26","19","    Goods","A255RD3",22.684,24.225,25.467,27.418,32.317,48.36,52.411,53.812,58.743,62.66,73.888,93.235,98.425,94.449,90.501,89.878,86.342,84.408,90.427,94.734,97.386,99.175,97.3,96.767,95.686,96.383,98.952,96.444,92.46,86.875,86.948,91.205,88.557,87.004,89.541,93.895,100,104.192,107.792,120.254,105.379,112.52,122.482,123.343
"27","20","    Services","A656RD3",19.804,20.511,22.368,23.483,27.163,32.303,34.921,36.5,39.093,42.646,48.16,55.892,58.319,58.36,57.404,56.419,56.35,62.45,63.339,66.424,66.071,71.019,73.612,75.673,76.313,77.806,80.235,82.235,82.233,80.628,83.185,84.209,84.219,86.089,91.469,95.573,100,103.806,107.75,114.006,111.769,114.714,118.126,118.375
"28","21","Government consumption expenditures and gross investment","A822RD3",17.515,18.942,20.417,21.986,23.591,25.974,28.581,30.464,32.578,34.664,37.569,41.663,45.761,48.768,50.709,53.31,54.966,55.969,57.532,59.065,60.915,63.395,65.596,67.266,68.938,70.808,72.742,74.477,75.854,76.879,79.337,82.513,84.764,87.003,90.65,94.53,100,104.842,109.863,115.245,114.592,117.334,121.233,123.446
"29","22","  Federal","A823RD3",18.215,19.688,21.371,23.457,25.066,27.299,30.14,32.283,34.722,36.866,39.704,43.875,48.137,51.405,53.187,56.325,57.602,57.904,58.608,59.849,61.469,63.512,66.032,68.062,69.79,71.683,73.674,75.719,77.047,77.931,79.886,82.524,84.201,87.318,91.024,95.335,100,104.107,107.753,111.225,110.959,113.583,116.721,118.567
"30","23","    National defense","A824RD3",17.757,19.116,20.81,23.209,24.911,27.223,29.88,32.058,34.486,36.908,39.853,44.179,48.542,51.953,53.775,57.603,58.696,58.642,59.236,60.326,61.882,63.917,66.222,68.522,69.712,71.438,73.161,75.431,76.517,77.328,79.225,81.821,83.484,86.624,90.659,94.895,100,104.421,108.249,112.187,111.347,113.951,117.411,119.474
"31","24","    Nondefense","A825RD3",19.251,21.107,22.707,23.851,25.188,27.199,30.453,32.494,34.933,36.452,39.033,42.833,46.837,49.741,51.413,52.69,54.481,55.82,56.856,58.579,60.394,62.462,65.561,66.92,69.883,72.144,74.703,76.276,78.095,79.12,81.188,83.907,85.612,88.689,91.774,96.234,100,103.468,106.743,109.24,110.177,112.843,115.337,116.749
"32","25","  State and local","A829RD3",17.015,18.413,19.722,20.898,22.497,24.973,27.412,29.117,31.008,33.045,35.979,40.005,43.979,46.791,48.861,51.038,53.006,54.582,56.854,58.626,60.659,63.479,65.448,66.862,68.499,70.357,72.258,73.812,75.219,76.32,79.036,82.482,85.019,86.81,90.425,94.062,100,105.276,111.112,117.666,116.763,119.579,124.001,126.465
"33",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","  Gross national product","A001RD3",23.101,24.32,25.537,26.639,28.121,30.669,33.57,35.502,37.767,40.419,43.782,47.769,52.251,55.438,57.635,59.8,61.614,62.973,64.804,67.031,69.57,72.26,74.819,76.586,78.291,79.942,81.611,83.166,84.63,85.581,86.84,88.72,90.725,92.191,94.131,96.782,100,103.234,106.23,108.589,109.529,110.977,113.353,115.387
