"","Table 5#2#3# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"16","9","  Equals: Net fixed investment","A560RA3",30.287,27.579,30.614,36.478,40.527,33.712,24.507,29.407,37.661,45.155,47.638,39.065,38.932,30.301,34.705,47.763,50.171,48.684,46.468,47.504,48.149,42.861,33.019,37.508,44.708,52.932,57.423,65.416,74.002,85.447,94.916,101.512,89.615,74.876,78.196,89.966,100,100.024,88.398,65.121,17.718,16.751,27.068
"17","10","    Nonresidential","A008RA3",20.07,19.963,19.964,21.797,24.968,25.177,22.689,23.8,26.486,30.45,33.517,33.429,35.333,34.003,33.563,39.486,42.103,40.901,40.87,43.008,45.409,45.633,43.186,44.565,48.456,52.915,58.478,63.94,71.658,80.264,88.64,97.327,94.614,87.112,88.29,93.74,100,108.027,115.039,114.125,93.507,94.148,102.288
"18","11","    Less: Consumption of fixed capital","A753RA3",16.477,17.357,18.154,19.109,20.543,21.794,22.72,23.566,24.681,26.044,27.666,29.177,30.535,32.022,33.145,34.572,36.629,38.387,40.164,41.854,43.685,45.465,46.853,48.174,50.024,52.45,55.45,59.049,63.401,68.786,74.943,81.485,86.809,90.339,93.111,96.242,100,104.127,108.752,112.334,113.819,114.111,115.889
"19","12","    Equals: Net nonresidential","A593RA3",32.82,29.208,26.389,31.336,40.674,37.182,22.579,24.63,32.891,46.089,54.283,48.517,52.359,41.033,35.049,56.924,61.532,49.82,43.378,47.105,51.527,46.229,30.173,31.759,42.889,54.562,69.224,81.296,100.957,120.994,137.249,153.543,122.313,75.66,71.182,84.864,100,121.868,137.35,120.483,21.425,23.305,54.022
"20","13","      Structures","B009RA3",74.096,74.3,73.082,75.359,81.52,79.755,71.355,73.073,76.079,87.058,98.098,103.837,112.161,110.325,98.404,112.125,120.095,106.935,103.859,104.539,106.616,108.187,96.15,90.354,89.768,91.405,97.235,102.744,110.28,115.911,116.049,125.101,123.191,101.377,97.514,98.571,100,109.18,124.578,132.595,104.659,88.308,90.733
"21","14","      Less: Consumption of fixed capital","B188RA3",42.433,43.84,45.161,46.439,49.656,51.015,52.233,53.346,54.521,55.988,57.87,60.182,62.972,65.865,68.122,70.238,72.704,74.736,76.291,77.834,79.325,80.897,82.298,83.191,83.954,84.784,85.742,86.996,88.54,90.255,91.909,93.688,95.605,96.973,97.818,98.799,100,101.738,104.346,107.236,109.302,110.224,111.183
"22","15","      Equals: Net structures","A594RA3",150.719,148.011,140.649,145.342,158.629,149.302,117.631,120.811,128.247,162.246,195.448,209.478,231.196,217.915,171.686,213.49,234.778,184.855,170.57,169.164,172.66,174.226,129.669,107.687,103.839,107.427,125.046,140.855,162.889,177.998,174.467,201.119,189.948,112.032,96.78,98.02,100,127.189,173.537,193.961,93.422,35.273,41.244
"23","16","      Equipment and software","B010RA3",11.513,11.399,11.512,12.997,15.381,15.774,14.272,15.164,17.449,20.106,21.861,21.075,21.971,20.829,21.95,26.303,27.974,28.504,28.895,31.074,33.351,33.361,32.504,34.873,39.226,43.904,49.158,54.383,61.861,70.837,80.857,89.32,86.438,82.789,85.377,92.138,100,107.59,111.168,106.411,88.911,96.822,107.473
"24","17","      Less: Consumption of fixed capital","B189RA3",12.283,13.03,13.702,14.546,15.67,16.832,17.669,18.432,19.475,20.752,22.263,23.597,24.695,25.923,26.84,28.112,30.028,31.679,33.414,35.057,36.87,38.619,39.959,41.301,43.259,45.867,49.124,53.043,57.822,63.847,70.874,78.396,84.47,88.517,91.78,95.49,100,104.906,110.246,114.08,115.346,115.404,117.485
"25","18","      Equals: Net equipment and software","A747RA3",8.321,4.632,2.425,6.568,14.181,11.382,0.18,1.606,9.041,17.421,20.195,10.612,10.668,-0.309,1.661,18.799,19.452,15.332,10.144,14.548,18.75,11.546,1.569,8.204,22.494,35.761,49.301,59.941,78.62,99.842,122.277,134.647,94.602,59.021,58.811,78.229,100,118.728,114.998,74.589,-20.775,19.722,65.928
"26","19","    Residential","A011RA3",34.063,32.026,40.808,48.061,47.752,37.895,32.975,40.74,49.486,52.602,50.672,39.949,36.747,30.075,42.524,48.836,49.608,55.696,56.807,56.231,54.524,49.819,45.032,51.263,55.45,60.84,58.85,63.55,64.751,69.732,74.092,74.834,75.258,79.204,85.712,94.13,100,92.667,75.379,57.345,44.489,42.862,42.268
"27","20","    Less: Consumption of fixed capital","A754RA3",34.27,35.529,36.94,38.699,40.594,42.222,43.445,44.661,46.206,48.013,49.869,51.45,52.702,53.679,54.749,56.253,57.949,59.826,61.854,63.852,65.728,67.382,68.752,70.073,71.651,73.484,75.428,77.456,79.563,81.778,84.167,86.626,89.052,91.541,94.232,97.123,100,102.861,105.383,107.034,107.944,108.532,109.064
"28","21","    Equals: Net residential","A748RA3",33.971,30.458,42.54,52.252,50.957,35.957,28.287,38.985,50.955,54.657,51.032,34.8,29.603,19.507,37.051,45.515,45.874,53.846,54.547,52.819,49.508,41.956,34.412,42.841,48.196,55.179,51.427,57.323,58.119,64.339,69.582,69.554,69.081,73.681,81.897,92.79,100,88.103,61.945,35.098,16.079,13.459,12.361
"29","22","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","23","Gross government investment \1\","A782RA3",44.49,41.414,37.003,34.548,35.557,37.282,37.976,38.533,37.398,40.289,42.782,44.019,42.682,42.171,45.416,51.026,58.02,63.323,66.923,66.545,69.19,73.678,74.012,74.668,71.933,70.705,72.411,75.147,77.22,79.919,85.847,88.638,92.477,97.561,99.904,100.792,100,103.268,104.985,109.821,110.509,109.895,101.921
"31","24","Less: Consumption of fixed capital","A264RA3",38.678,39.165,39.056,38.724,38.61,38.863,39.429,40.156,40.861,41.602,42.547,43.753,45.03,46.424,48.142,50.446,53.391,56.657,59.893,62.842,65.758,68.809,71.574,73.892,75.724,77.025,78.163,79.497,80.972,82.862,85.313,87.804,89.972,92.173,94.5,97.346,100,102.742,105.913,108.959,112.344,115.508,118.129
"32","25","Equals: Net government investment","A889RA3",54.786,45.398,33.367,27.15,30.15,34.481,35.403,35.657,31.263,37.962,43.199,44.489,38.524,34.638,40.586,52.053,66.22,75.131,79.375,73.105,75.27,82.304,78.331,76.042,65.217,59.511,62.223,67.441,70.574,74.708,86.794,90.116,96.915,107.105,109.476,106.897,100,104.198,103.341,111.348,107.257,99.953,73.212
"33","26","          Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","27","            National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","28","            Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","29","          State and local","B893RA3",72.314,64.201,60.038,55.624,54.813,54.234,52.056,49.224,42.675,49.337,52.732,51.9,42.331,35.742,35.728,44.738,53.259,58.385,59.152,62.94,66.936,74.087,74.389,73.584,69.469,71.054,74.827,79.158,88.48,89.923,100.456,107.009,113.185,116.828,115.336,109.326,100,100.634,98.725,98.17,91.968,81.371,62.198
"37","30","  Structures","A760RA3",71.754,66.447,65.791,62.775,62.656,62.077,61.767,60.84,57.649,63.286,64.545,64.838,59.259,54.432,54.397,59.398,65.216,69.4,71.697,72.103,72.174,77.162,78.96,80.27,79.023,78.822,81.672,85.018,88.954,88.903,94.145,97.147,101.888,106.694,107.883,105.096,100,100.508,99.851,100.947,101.018,98.351,87.966
"38","31","  Less: Consumption of fixed capital","B894RA3",51.314,52.879,54.317,55.658,56.925,58.109,59.221,60.286,61.27,62.257,63.368,64.504,65.52,66.362,67.087,67.896,68.904,70.058,71.309,72.558,73.776,75.066,76.478,77.903,79.316,80.644,82.016,83.577,85.076,86.714,88.401,90.197,92.057,94.076,96.181,98.227,100,101.262,102.97,104.345,106.009,107.601,108.929
"39","32","  Equals: Net structures","A895RA3",92.965,80.526,77.698,70.16,68.602,66.195,64.409,61.415,53.892,64.354,65.766,65.184,52.763,42.052,41.228,50.579,61.389,68.718,72.1,71.632,70.513,79.337,81.535,82.727,78.719,76.932,81.316,86.513,92.979,91.173,100.107,104.358,112.09,119.788,120.027,112.224,100,99.725,96.613,97.42,95.839,88.752,66.213
"40","33","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","34","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","36","            State and local","B899RA3",86.146,75.642,70.567,63.923,61.869,60.524,58.632,55.791,48.196,56.118,59.397,57.821,46.522,37.876,36.228,45.099,53.506,59.029,60.369,64.332,65.679,73.616,76.613,75.789,71.302,71.058,74.286,79.907,88.34,86.513,96.221,103.346,111.345,116.748,115.659,110.224,100,98.825,94.084,92.877,88.842,79.435,60.847
"44","37","  Equipment and software","A871RA3",20.985,19.74,13.724,11.977,13.431,16.348,17.641,19.118,19.463,20.209,23.196,24.958,26.831,29.558,34.953,40.539,47.828,53.573,57.993,56.95,61.739,65.463,64.423,64.429,60.485,58.362,58.845,60.802,60.785,66.473,73.008,75.454,78.015,83.405,87.391,93.825,100,108.114,114.352,126.732,128.705,132.466,129.828
"45","38","  Less: Consumption of fixed capital","B900RA3",30.33,30.321,29.54,28.474,27.72,27.49,27.745,28.272,28.806,29.39,30.209,31.413,32.801,34.467,36.678,39.707,43.607,47.964,52.293,56.219,60.129,64.227,67.795,70.637,72.707,73.978,74.955,76.128,77.574,79.632,82.641,85.661,88.069,90.42,92.936,96.5,100,104.279,109.083,114.108,119.594,124.691,128.916
"46","39","  Equals: Net equipment and software","A901RA3",-36.048,-44.836,-82.795,-88.698,-73.766,-51.644,-44.026,-36.744,-37.556,-35.82,-19.6,-14.436,-9.607,-0.398,24.43,45.613,73.59,87.804,92.78,61.41,71.563,73.007,43.849,26.544,-14.101,-36.932,-39.471,-32.73,-41.677,-13.833,14.22,13.163,16.662,40.599,53.554,77.502,100,131.517,146.506,203.776,184.307,179.913,135.399
"47","40","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            State and local","B907RA3",17.303,15.696,11.641,18.649,25.946,29.715,19.128,10.222,2.189,5.556,13.339,16.421,7.575,10.303,25.407,47.392,67.065,72.036,63.652,67.282,102.718,106.114,70.034,63.216,52.606,74.658,86.44,75.374,105.445,153.446,184.138,182.687,156.799,125.773,113.048,90.38,100,147.587,228.231,249.646,184.507,150.929,139.903
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","44","  Gross domestic fixed investment","W172RA3",26.233,25.391,26.266,28.445,30.73,29.4,26.952,29.135,32.352,36.036,38.1,36.188,36.67,34.451,36.988,42.936,45.818,47.013,47.727,48.942,50.502,50.269,47.718,50.028,53.037,56.875,60.132,64.983,70.27,77.061,84.005,89.678,88.822,86.443,89.325,94.953,100,102.514,101.119,95.92,81.281,81.038,83.789
"53","45","  Less: Consumption of fixed capital","A262RA3",21.645,22.529,23.272,24.138,25.417,26.576,27.493,28.372,29.492,30.836,32.417,33.921,35.282,36.735,37.958,39.542,41.722,43.734,45.77,47.694,49.708,51.678,53.277,54.757,56.594,58.811,61.437,64.538,68.21,72.693,77.814,83.198,87.637,90.814,93.504,96.555,100,103.702,107.753,110.943,112.668,113.505,115.244
"54","46","  Equals: Net domestic fixed investment","W173RA3",33.848,30.17,31.014,35.122,39.019,33.824,26.091,30.315,36.731,44.109,46.993,39.853,38.873,30.932,35.56,48.386,52.504,52.529,51.252,51.226,52.092,48.595,39.607,43.11,47.69,53.888,58.121,65.711,73.504,83.885,93.735,99.855,90.676,79.562,82.744,92.427,100,100.631,90.57,71.841,30.735,28.847,33.776
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Note. Chain-type quantity indexes for net investment are computed from chained (2005) dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","estimates of net investment by scaling the chained-dollar estimates to 100 in the reference year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","(2005). Chained (2005) dollar estimates of net investment beginning with 1967 appear in table 5.2.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
