"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190"
"11","3","  Foods, feeds, and beverages","B638RG3",23.816,23.759,23.662,23.117,23.708,24.033,24.65,25.357,26.047,26.295,26.409,25.674,25.979,26.566,27.029,29.103,33.851,38.596,46.667,50.878,56.605,56.364,56.373,63.268,62.354,56.751,54.411,53.405,51.889,51.18,51.887,51.205,53.372,55.812,48.631,47.433,51.515,54.475,55.594,54.713,57.773,59.064,62.899,62.441,62.263,60.261,63.632,69.365,71.427,69.593,64.936,61.987,62.179,60.724,57.691,55.803,58.056,59.793,62.387,66.261,65.964,66.55,62.716,58.932,57.689,57.125,54.266,55.016,53.686,53.033,50,51.267,49.841,52.284,50.537,55.755,55.416,62.151,69.909,66.407,68.181,67.438,64.221,62.428,62.246,63.428,61.24,59.06,60.858,61.824,60.572,62.342,62.24,62.159,60.023,59.761,60.448,60.592,62.501,63.552,65.484,64.535,62.309,63.185,64.298,66.718,71.473,74.998,76.687,82.16,79.149,72.521,72.698,72.897,71.228,69.708,66.828,65.757,64.634,63.73,63.171,62.573,61.85,61.308,61.381,62.798,60.729,61.895,61.949,61.526,63.183,61.406,61.155,61.904,65.401,65.868,66.313,68.258,69.098,73.619,75.983,81.263,74.419,71.924,72.922,75.665,76.342,75.209,74.731,75.787,78.907,81.725,85.699,88.171,92.398,99.328,106.934,115.833,117.878,99.812,96.636,102.535,100.998,99.831,100.041,99.848,103.27,112.671,120.242,122.946,124.626,121.124,122.154,126.175,136.074,136.203,134.576,131.522,129.455,126.127,127.869,132.978,127.375,121.131,116.424,110.707,108.941
"12","4","  Industrial supplies and materials","B639RG3",18.283,18.294,18.596,18.984,19.028,19.593,19.651,19.775,19.788,19.853,20.09,19.606,20.068,20.305,20.537,20.934,21.783,22.553,24.102,26.058,29.51,32.867,36.926,39.571,40.76,39.117,38.417,37.676,38.583,39.078,38.706,39.412,40.042,40.504,40.933,40.717,40.927,41.226,42.239,45.327,47.838,50.911,51.761,55.1,58.245,57.75,57.247,57.756,59.747,59.935,60.07,59.79,59.459,58.83,57.38,56.61,56.183,56.061,56.186,57.243,57.822,59.083,58.321,57.497,56.259,55.92,55.129,54.608,53.577,52.472,52.068,53.025,55.534,58.335,60.013,61.426,63.265,65.941,65.79,65.666,66.754,67.06,65.979,65.718,66.02,65.543,66.82,69.575,67.88,65.385,64.226,63.945,62.686,63.313,64.216,63.888,63.863,64.386,63.824,63.382,64.433,66.177,69.129,72.55,76.715,78.962,77.416,75.293,74.377,73.531,73.087,73.193,73.386,73.341,73.448,72.796,71.175,70.16,68.585,67.423,66.743,67.218,69.027,70.541,72.289,73.631,74.477,74.669,73.956,72.816,71.068,68.776,68.094,69.822,71.427,71.975,74.782,74.923,75.135,76.584,79.803,82.457,85.314,88.717,91.326,93,94.716,97.706,99.138,103.298,106.183,104.838,106.13,110.48,111.908,116.214,120.006,128.727,132.925,108.675,96.071,97.192,101.047,105.689,109.364,113.883,113.954,120.791,129.484,136.962,137.541,132.927,133.782,132.21,129.315,129.546,130.225,127.581,128.223,128.092,130.987,127.939,126.897,119.136,108.567,109.347,104.645
"13","5","    Durable goods","B686RG3",17.716,17.73,18.036,18.393,18.433,18.966,19.02,19.144,19.154,19.219,19.463,18.976,19.454,19.701,19.902,20.541,21.136,21.874,23.359,25.21,28.491,31.685,35.607,38.2,39.428,37.873,37.219,36.508,37.382,37.839,37.456,38.176,38.781,39.211,39.647,39.422,39.631,39.889,40.882,43.877,46.32,49.306,50.135,53.384,56.431,55.964,55.453,55.933,57.877,58.063,58.196,57.909,57.566,56.967,55.572,54.835,54.443,54.321,54.444,55.424,55.995,57.199,56.493,55.746,54.607,54.113,53.734,53.946,54.875,54.595,55.082,55.463,56.417,58.092,61.805,63.483,65.345,67.573,68.03,68.44,69.013,69.547,69.338,68.539,68.3,68.354,69.377,69.065,69.1,68.134,67.946,67.466,67.539,68.62,70.301,70.612,72.297,74.446,73.968,73.475,74.745,75.377,76.33,78.567,81.489,82.331,81.863,80.996,80.425,79.395,77.846,77.722,78.468,78.532,78.552,77.022,76.08,75.541,74.467,73.616,72.947,72.651,72.854,73.467,74.068,74.943,75.162,74.92,74.031,73.635,73.643,72.794,72.702,73.448,74.25,74.46,75.57,76.434,77.201,78.692,82.334,85.389,88.696,90.919,93.889,94.41,93.81,96.853,100.917,106.147,109.007,110.319,111.325,114.357,113.102,115.18,117.267,120.849,122.246,103.379,96.548,96.533,100.769,106.15,108.144,111.039,110.975,115.565,120.574,123.885,126.274,122.665,121.879,121.31,119.219,120.132,119.042,117.121,115.436,116.246,115.993,115.719,115.747,113.489,111.052,109.6,107.086
"14","6","    Nondurable goods","B687RG3",18.378,18.388,18.682,19.086,19.132,19.709,19.768,19.891,19.905,19.969,20.201,19.723,20.172,20.402,20.647,20.908,21.889,22.666,24.232,26.224,29.733,33.143,37.231,39.876,41.031,39.359,38.641,37.892,38.807,39.316,38.954,39.647,40.283,40.755,41.177,40.968,41.176,41.494,42.507,45.611,48.13,51.216,52.069,55.419,58.582,58.076,57.584,58.103,60.097,60.285,60.42,60.145,59.822,59.185,57.722,56.944,56.505,56.384,56.509,57.591,58.168,59.444,58.665,57.815,56.546,56.274,55.311,54.498,52.685,51.246,50.496,51.676,54.823,58.108,58.876,60.161,61.973,64.848,64.391,64,65.347,65.535,64.028,64.038,64.623,63.865,65.262,69.57,67.007,63.746,62.085,61.905,60.01,60.422,60.959,60.33,59.498,59.266,58.669,58.254,59.195,61.436,65.298,69.273,74.04,76.992,74.902,72.156,71.07,70.31,70.438,70.657,70.565,70.464,70.62,70.427,68.456,67.192,65.359,64.034,63.347,64.226,66.889,68.893,71.296,72.912,74.109,74.528,73.885,72.317,69.636,66.624,65.686,67.898,69.899,70.612,74.215,74.002,73.945,75.371,78.38,80.833,83.463,87.427,89.849,92.089,95.02,98.012,98.005,101.616,104.531,101.745,103.176,108.226,111.108,116.628,121.338,132.828,138.572,111.424,95.819,97.512,101.191,105.478,109.966,115.284,115.414,123.349,133.832,143.322,143.023,137.931,139.555,137.51,134.239,134.166,135.65,132.677,134.354,133.817,138.116,133.82,132.306,122.058,107.856,109.589,103.969
"15","7","      Petroleum and products","IA0000063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.387,40.242,39.113,36.977,30.174,25.384,26.238,26.696,28.679,31.18,31.638,30.479,28.526,30.387,28.77,29.38,31.02,33.945,34.243,36.63,36.525,34.373,39.358,46.899,38.758,33.252,32.415,33.315,29.046,30.415,31.504,31.326,30.959,32.163,31.733,30.264,30.296,31.78,34.082,33.188,33.443,34.526,34.05,34.773,37.477,39.685,39.654,42.705,41.26,40.057,40.431,40.093,37.305,35.27,31.01,30.844,30.2,34.026,40.516,44.365,53.124,53.346,60.999,63.131,60.484,60.175,55.444,46.376,43.96,46.6,47.827,50.048,57.829,52.979,54.001,53.146,59.217,63.82,67.845,73.989,77.856,86.775,96.605,100.258,100.851,116.122,119.883,105.405,105.687,119.796,122.093,133.744,143.564,174.009,181.441,118.12,88.712,96.396,103.054,109.77,118.255,122.557,119.409,131.77,152.751,172.889,170.806,163.971,170.595,169.304,163.836,164.549,166.089,158.252,164.144,163.143,171.249,162.488,160.37,137.073,105.861,110.926,101.676
"16","8","      Nondurable goods, excluding petroleum and products","IA0000053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.27,59.886,58.949,58.369,57.831,57.189,55.978,57.305,60.771,64.265,65.123,66.955,69.602,72.693,72.48,71.906,73.221,72.727,70.8,70.241,70.951,70.461,70.894,74.045,73.279,70.712,68.815,68.368,67.233,67.407,67.806,67.073,66.122,65.483,64.85,64.712,65.879,68.298,72.527,77.612,83.437,86.822,84.354,80.805,78.79,77.367,77.538,77.094,77.343,77.492,77.579,77.379,75.535,74.442,73.202,71.723,71.187,71.22,72.731,74.189,74.813,76.725,76.404,76.454,76.325,74.525,72.306,70.738,70.114,72.161,74.307,74.638,77.113,78.149,77.807,79.747,81.85,83.673,85.907,89.274,91.419,91.802,92.83,95.549,95.239,95.475,97.99,98.61,100.301,102.682,105.619,109.122,111.997,116.716,121.814,108.485,98.613,97.787,100.179,103.422,106.27,112.011,113.605,119.486,125.184,129.805,130.354,126.104,125.231,122.818,120.65,120.173,121.668,121.207,120.566,120.348,122.526,120.793,119.635,117.436,113.507,113.125,109.721
"17","9","  Capital goods, except automotive","B640RG3",80.202,79.382,80.058,84.425,85.374,87.009,84.796,84.467,87.833,86.687,82.586,86.017,87.119,86.383,85.315,86.056,85.745,88.254,87.876,91.309,95.582,96.114,101.527,103.857,109.832,115.478,117.594,121.07,122.107,125.015,125.363,129.612,127.339,127.679,130.783,133.086,132.426,135.696,134.078,140.796,138.937,144.488,146.176,143.304,146.23,152.696,158.649,164.664,167.803,169.584,172.092,174.458,175.522,176.222,176.01,175.163,173.405,171.898,169.405,168.179,168.459,166.853,164.737,162.405,158.916,156.63,153.909,151.496,149.632,148.386,148.237,147.956,145.163,144.063,142.978,143.809,145.557,145.604,145.429,145.443,145.796,144.92,144.139,142.116,139.468,139.166,139.522,139.02,139.909,139.807,137.797,136.905,136.35,134.685,133.023,131.847,131.214,130.745,129.842,129.176,128.55,127.921,126.852,125.028,123.905,122.394,120.722,119.131,117.201,114.68,112.519,110.028,109.008,108.257,107.668,106.902,106.098,105.391,104.34,103.99,103.766,103.44,102.815,102.95,102.485,102.752,103.237,103.244,103.395,103.316,102.786,102.443,102.318,101.889,101.692,101.332,101.069,100.945,100.316,99.917,99.654,100.179,100.317,100.575,100.611,100.556,100.494,100.195,100.477,100.921,101.405,101.887,101.238,100.471,99.933,99.494,99.28,99.915,100.31,100.489,99.933,99.474,99.878,100.715,100.486,100.522,100.526,100.901,100.973,101.403,101.688,101.663,102.035,102.283,102.124,102.35,102.909,102.629,102.761,102.772,102.914,103.443,103.431,103.569,104.063,103.761,103.525
"18","10","    Civilian aircraft, engines, and parts","B688RG3",13.773,13.901,14.067,14.315,14.437,14.688,14.859,15.076,15.251,15.427,15.47,15.556,15.597,15.552,15.682,15.94,16.071,16.204,16.466,16.771,17.417,18.142,18.641,18.919,19.015,19.083,19.423,19.952,20.797,21.589,22.237,22.831,23.195,23.574,24.057,24.566,25.05,25.561,26.203,26.814,27.483,28.151,28.985,29.894,30.815,31.823,32.715,33.492,34.037,34.684,35.418,36.393,37.495,38.15,38.681,39.397,39.944,40.287,40.588,40.943,41.23,41.424,41.634,41.899,42.211,42.416,42.635,42.933,42.932,43.25,43.312,43.484,42.177,42.337,42.428,42.553,42.807,43.534,43.946,44.383,44.938,45.502,45.982,46.32,47.095,47.995,48.541,48.965,50.771,52.237,52.83,52.823,53.373,53.63,54.029,54.208,54.781,55.211,55.383,55.784,56.437,56.76,57.127,57.41,58.208,58.706,59.032,59.53,60.168,60.887,61.719,62.09,63.004,62.973,63.527,63.733,63.909,64.069,64.031,64.478,65.166,65.383,65.504,66.107,67.018,68.302,69.526,70.46,71.53,72.511,73.28,73.701,74.07,74.338,75,75.613,76.347,76.827,77.738,78.25,78.54,79.301,80.647,81.568,82.85,83.281,83.696,84.402,85.891,86.778,87.185,88.09,89.72,90.349,91.261,92.307,93.302,94.578,95.759,97.517,100.104,99.786,99.598,100.513,101.375,102.025,103.081,104.102,104.895,106.156,106.822,107.813,108.375,109.054,109.828,110.214,110.495,110.996,111.814,112.49,113.44,114.472,115.172,116.951,117.183,117.653,118.552
"19","11","    Computers, peripherals, and parts","B850RG3",11109.826,10926.014,10816.043,10554.457,10342.611,9884.146,9476.567,9204.325,8902.988,8536.462,8246.199,7847.402,7511.563,7339.246,7144.132,6908.149,6886.194,6738.913,6391.449,5996.065,5569.844,5209.698,4950.085,4784.497,4788.025,4772.131,4683.24,4532.724,4328.867,4149.256,3976.106,3843.076,3729.396,3603.293,3456.254,3301.381,3166.476,3035.324,2915.65,2788.49,2729.946,2649.073,2528.997,2390.686,2252.681,2107.213,1986.54,1913.505,1910.303,1911.301,1900.226,1882.281,1854.124,1820.774,1767.03,1716.048,1594.713,1495.138,1391.865,1317.317,1260.18,1199.681,1134.135,1079.454,1042.98,999.791,954.255,900.814,857.633,833.551,831.648,809.952,751.957,718.865,687.848,687.137,688.917,669.878,655.169,642.849,639.421,614.679,600.277,573.363,545.712,539.715,540.772,529.098,514.339,498.291,470.082,459.885,453.693,432.287,411.358,397.732,385.745,374.316,363.986,353.111,346.717,342.579,335.867,324.075,312.822,306.627,296.323,285.958,271.756,257.779,245.215,233.904,226.337,219.26,213.804,208.304,201.51,194.372,184.919,181.764,177.357,174.298,170.273,169.555,165.836,164.135,163.903,163.679,162.883,160.939,157.688,155.264,153.355,150.995,147.601,145.431,146.505,146.275,145.131,145.41,145.962,146.097,143.076,139.75,136.861,134.284,131.216,128.1,128.423,127.155,126.073,124.928,120.665,117.028,115.758,114.922,111.517,108.615,105.742,103.262,100.665,99.686,99.101,100.548,98.335,99.205,96.544,95.556,93.531,93.283,91.577,90.698,94.253,93.476,92.261,91.534,91.204,90.901,90.263,89.929,89.955,90.403,89.111,88.717,87.946,85.584,84.165
"20","12","    Other","B689RG3",52.788,52.14,52.641,56.109,56.933,58.409,56.744,56.557,59.494,58.653,55.358,58.501,59.683,59.215,58.415,59.1,58.792,60.963,60.821,63.985,67.815,68.312,73.083,75.177,80.373,85.258,87.041,90.016,90.886,93.386,93.721,97.498,95.643,96.123,99.105,101.456,101.032,104.389,102.765,109.869,107.557,113.276,114.98,111.846,115.082,122.343,129.235,136.141,139.284,140.713,143.041,145.118,145.76,146.452,146.541,145.844,145.353,145.14,144.217,144.382,146.182,145.915,145.342,144.131,140.516,138.883,136.808,135.46,134.78,133.868,133.698,134.221,134.453,134.573,134.78,135.984,138.334,139.004,139.361,139.856,140.119,139.816,139.047,137.386,134.488,133.538,133.45,133.02,133.795,133.479,131.831,131.198,130.285,129.162,128.016,127.197,126.813,126.769,126.204,125.928,125.183,124.473,123.366,121.711,120.874,119.188,117.719,116.38,114.988,112.754,110.833,108.461,107.569,107.354,106.976,106.462,106.021,105.772,105.408,105.083,105.025,104.871,104.444,104.502,104.003,104.215,104.571,104.354,104.363,104.191,103.601,103.295,103.25,102.847,102.772,102.326,101.565,101.277,100.284,99.538,99.029,99.55,99.793,100.343,100.444,100.589,100.808,100.63,100.598,101.151,101.851,102.425,101.646,100.892,100.081,99.318,99.2,100.122,100.739,100.879,99.809,99.366,100.052,100.773,100.549,100.331,100.465,100.89,101.112,101.469,101.966,101.848,101.712,102.012,101.793,102.116,102.869,102.4,102.464,102.354,102.309,102.722,102.708,102.493,103.238,103.021,102.653
"21","13","  Automotive vehicles, engines, and parts","B641RG3",19.078,19.312,19.928,20.235,20.155,20.075,19.918,19.606,20.833,21.293,21.525,21.684,21.923,22.005,22.389,22.538,22.836,23.526,24.376,24.464,25.254,26.037,27.354,29.587,30.269,31.646,31.866,32.086,33.076,33.219,34.362,35.735,36.493,36.876,37.963,38.522,38.478,40.113,42.428,42.501,46.089,48.064,48.267,49.392,52.044,53.74,56.781,59.4,61.5,62.948,63.895,65.163,66.664,67.535,68.087,68.375,68.772,69.544,70.82,71.182,71.739,72.247,72.512,72.024,72.89,73.766,74.126,74.154,74.469,75.215,75.781,76.265,76.453,76.781,77.219,77.207,77.405,77.775,79.154,79.527,79.413,79.735,80.402,81.709,81.847,82.449,82.867,83.265,84.144,84.724,85.29,85.478,86,86.417,86.835,86.943,87.194,87.396,87.352,87.244,87.65,87.99,88.352,88.523,88.808,88.917,89.24,89.944,90.027,90.13,90.334,90.334,90.766,90.983,91.043,90.931,90.937,90.918,90.974,91.271,91.375,91.435,91.569,91.966,92.136,92.639,92.825,92.781,92.878,93.086,93.109,92.971,93.307,93.328,93.521,93.782,94.015,94.024,94.258,94.283,94.042,94.76,95.036,95.327,95.648,95.776,96.11,96.336,96.625,96.905,97.414,97.65,97.916,98.045,98.41,98.685,98.261,99.185,99.683,100.089,100.047,99.814,99.945,100.193,100.416,100.307,100.46,100.723,101.131,101.761,102.649,103.35,103.687,104.248,104.205,104.066,104.546,104.532,104.611,104.797,104.873,105.209,105.405,105.418,105.204,105.248,105.24
"22","14","  Consumer goods, except food and automotive","B642RG3",29.352,28.645,29.853,31.231,30.285,31.75,29.99,28.677,31.306,30.842,31.065,32.072,31.575,32.935,32.309,34.983,34.691,34.936,36.678,38.531,37.056,37.704,39.765,40.648,43.181,44.145,42.087,43.224,46.59,47.178,46.939,46.496,48.623,48.916,47.847,47.263,51.415,51.624,53.608,55.963,60.042,61.932,62.756,63.685,62.622,62.917,66.881,67.868,67.351,66.648,67.601,69.104,69.72,67.761,68.429,68.181,68.154,69.331,70.158,69.681,70.512,70.328,70.454,70.429,70,70.097,70.452,70.305,71.743,72.55,72.85,73.937,74.379,74.815,75.295,75.869,77.211,77.763,78.105,79.316,80.103,80.743,81.327,81.767,82.839,83.622,83.858,84.518,85.774,87.025,86.38,86.814,88.173,88.158,88.138,88.862,89.405,89.361,89.288,89.429,89.677,89.711,89.518,89.826,90.294,90.927,91.147,91.235,91.785,92.101,92.206,92.318,92.577,92.632,92.9,93.031,93.077,92.846,92.658,92.585,92.389,92.39,92.433,92.675,92.881,92.905,92.927,92.694,92.541,92.287,92.514,92.726,92.034,91.844,92.118,92.19,92.318,92.435,92.585,92.941,93.089,93.19,93.715,93.78,94.404,94.481,94.437,94.609,94.877,95.496,96.199,96.182,96.861,97.593,97.911,98.446,99.133,99.947,100.247,99.808,99.862,99.337,100.305,100.496,100.476,100.761,100.943,102.162,101.967,102.339,102.905,102.569,103.449,103.978,104.125,104.338,103.501,102.814,102.501,102.518,101.692,101.492,101.82,101.017,99.718,99.305,99.184
"23","15","    Durable goods","B690RG3",25.296,24.51,24.949,24.648,25.476,29.081,24.56,23.447,29.189,27.391,28.301,29.346,28.693,29.229,29.863,31.613,33.851,34.171,36.198,35.435,34.65,34.056,37.026,38.472,39.411,40.009,39.871,39.704,43.28,44.438,41.438,42.078,44.304,43.612,42.515,43.298,47.537,47.549,50.87,53.612,57.865,59.845,61.832,63.359,65.252,67.26,68.958,71.099,71.069,71.106,71.717,72.842,73.162,72.994,73.886,74.605,75.415,75.737,76.082,74.812,75.388,74.723,74.214,74.305,73.392,73.456,73.956,74.014,76.392,76.597,77.176,77.905,78.32,78.269,78.619,79.675,80.443,81.432,81.857,83.016,83.49,84.525,85.238,86.111,87.086,87.93,87.628,87.807,89.32,90.528,89.724,89.96,91.528,90.362,90.066,91.137,91.376,90.921,90.819,90.901,91.394,91.505,91.211,91.542,91.746,91.984,92.453,92.492,92.889,93.292,93.376,93.437,93.861,94.197,94.201,94.341,94.276,93.956,93.721,93.6,93.17,93.233,93.389,93.421,93.815,94.155,94.11,93.792,94.014,93.777,94.062,94.391,94.039,93.57,93.781,93.847,93.872,94.147,94.211,94.545,94.287,94.344,94.546,94.901,95.305,95.415,95.582,95.636,95.554,96.204,96.933,96.799,96.958,97.426,97.399,97.71,98.435,98.785,99.677,100.275,99.945,99.477,100.4,100.179,98.383,98.544,98.653,99.571,99.781,99.822,100.211,100.287,101.192,102.033,102.202,102.036,100.751,100.091,99.911,99.983,100.521,100.524,100.164,99.536,99.054,98.777,98.861
"24","16","    Nondurable goods","B691RG3",33.976,33.321,35.37,38.717,35.687,35.141,35.991,34.497,34.122,34.897,34.532,35.525,35.165,37.445,35.394,39.095,35.996,36.149,37.582,42.481,40.14,42.4,43.312,43.571,47.941,49.346,45.155,47.721,50.876,50.82,53.808,52.037,54.075,55.493,54.436,52.396,56.48,56.924,57.208,59.069,62.9,64.711,64.345,64.804,60.167,58.596,65,64.869,63.832,62.404,63.628,65.432,66.274,62.846,63.321,62.333,61.759,63.549,64.715,64.799,65.791,65.957,66.528,66.424,66.345,66.466,66.709,66.413,67.167,68.37,68.458,69.807,70.265,71.079,71.657,71.841,73.649,73.814,74.087,75.345,76.455,76.678,77.13,77.105,78.279,78.99,79.81,80.979,81.965,83.245,82.758,83.392,84.532,85.684,85.94,86.318,87.161,87.538,87.496,87.696,87.696,87.652,87.558,87.839,88.566,89.597,89.569,89.703,90.401,90.633,90.759,90.919,91.011,90.78,91.32,91.441,91.6,91.459,91.32,91.299,91.339,91.278,91.206,91.677,91.677,91.364,91.458,91.317,90.764,90.493,90.656,90.744,89.698,89.802,90.14,90.217,90.447,90.409,90.643,91.018,91.586,91.733,92.603,92.35,93.22,93.262,92.978,93.286,93.956,94.54,95.215,95.344,96.674,97.738,98.497,99.313,99.913,101.366,100.877,99.226,99.727,99.181,100.223,100.869,102.739,103.176,103.454,105.041,104.328,105.127,105.922,105.05,105.897,106.027,106.154,106.835,106.563,105.855,105.385,105.342,102.713,102.26,103.494,102.473,100.172,99.601,99.24
"25","17","  Other \2\","B643RG3",25.291,25.621,25.844,26.669,26.934,27.413,27.391,27.549,28.259,28.164,28.103,28.188,28.731,29.001,29.054,29.821,30.857,32.203,33.684,35.1,36.92,37.894,39.675,41.071,42.648,41.957,42.777,43.316,44.235,44.823,44.942,45.802,46.755,47.217,47.216,47.57,48.617,49.95,50.436,51.341,52.494,54.69,56.253,57.081,58.526,60.035,61.537,63.263,64.944,65.448,66.463,67.092,68.005,69.262,69.179,68.633,68.821,69.503,70.894,71.694,71.994,72.704,72.247,72.52,71.361,70.539,70.073,69.727,68.596,68.535,67.164,67.255,68.071,68.832,68.181,69.897,70.452,72.166,73.37,73.093,74.095,74.304,74.244,74.071,74.676,75.103,76.184,77.334,77.476,77.577,77.158,77.429,77.361,77.996,78.124,78.333,78.764,79.311,79.887,79.905,80.802,82.221,82.673,83.552,84.865,86.052,86.116,86.483,87.435,85.787,85.21,84.543,84.677,84.595,84.071,83.903,83.148,82.81,81.951,80.982,81.324,81.127,81.327,81.801,82.405,83.285,83.573,83.769,83.631,83.312,82.982,82.104,81.869,82.464,83.453,83.705,84.636,84.901,85.063,85.975,87.133,88.739,89.285,90.375,91.581,92.472,93.164,94.056,94.649,96.25,97.745,97.902,98.832,100.378,101.212,103.141,105.117,109.116,110.97,102.472,98.388,99.083,100.467,102.062,103.187,104.568,105.038,108.494,112.126,114.933,115.614,114.07,114.62,114.619,114.664,115.017,115.355,114.021,114.196,114.088,115.285,114.485,113.948,111.108,107.279,106.945,105.287
"26","18","Exports of services \1\","B646RG3",21.848,22.158,22.449,22.66,22.251,22.58,22.957,23.238,23.839,24.13,24.412,24.556,26.106,26.369,26.641,26.885,26.708,27.392,28.223,28.94,30.288,30.948,31.747,32.33,32.792,33.335,33.697,34.145,34.778,35.141,35.63,36.171,36.407,37.153,37.713,38.399,39.04,39.842,40.675,41.303,41.69,42.83,44.038,45.538,47.281,48.487,49.686,50.814,52.16,52.974,53.716,54.531,55.18,55.975,56.853,57.454,58.355,58.536,58.757,58.789,58.337,58.968,59.494,60.087,60.481,60.902,61.662,62.372,63.174,63.247,63.477,63.902,64.025,64.635,65.176,65.399,65.758,66.156,66.343,66.755,67.369,67.935,68.252,68.797,69.822,70.071,71.616,73.746,74.229,73.895,74.413,74.897,75.269,75.804,76.556,76.792,77.025,77.503,77.607,77.89,77.986,78.211,78.691,78.896,79.266,80.103,80.149,80.168,80.871,81.182,81.688,82.252,81.944,82.362,82.435,82.553,82.024,82.073,82.072,82.438,82.435,83.051,82.903,82.7,83.791,84.297,85.207,84.879,84.878,84.186,83.961,83.165,82.917,84.063,84.075,83.753,84.652,84.74,85.73,85.62,86.674,87.32,88.148,89.004,92.319,92.68,93.633,94.085,95.188,96.01,97.116,96.564,97.492,98.189,99.217,100.395,101.754,102.86,104.656,101.981,99.96,98.699,99.962,101.378,101.96,102.596,102.593,103.414,105.009,106.582,107.346,106.973,107.927,108.683,108.584,109.367,110.017,110.108,110.602,111.327,111.902,112.502,113.107,112.92,111.988,112.053,111.947
"27","19","  Transport","Y800RG3",21.941,22.184,22.405,22.601,22.441,22.852,23.243,23.612,24.885,24.86,24.748,24.729,23.724,24.106,24.442,24.758,23.673,24.836,25.998,27.217,29.808,30.341,30.953,31.486,31.478,31.958,32.427,32.843,33.829,34.183,34.54,34.975,34.435,35.358,36.054,36.76,37.097,37.693,38.387,39.019,38.457,39.895,41.323,42.835,45.673,46.811,47.852,48.786,50.489,50.867,51.252,51.623,51.294,52.126,52.783,53.502,56.167,55.343,54.495,53.537,50.037,50.439,50.81,51.188,50.658,51.443,52.187,53.012,55.367,55.11,55.014,55.072,54.499,55.424,56.155,56.411,56.114,56.391,56.416,57.065,58.193,58.802,58.828,59.459,60.854,60.225,62.763,68.004,67.041,65.403,66.123,66.59,65.92,66.873,68.309,67.94,67.631,68.684,68.699,68.443,68.154,68.115,69.547,69.753,70.607,72.273,71.223,70.701,71.618,71.614,72.447,73.618,70.631,71.269,71.243,70.446,68.942,68.922,68.523,69.583,69.662,71.008,72.131,73.228,74.124,75.676,76.732,77.111,76.57,75.46,75.817,74.895,73.921,75.615,77.565,77.303,79.63,79.818,81.53,82.347,86.334,86.542,87.596,90.37,92.237,92.856,93.934,92.78,93.477,94.944,95.947,96.544,97.555,99.775,99.934,103.141,105.389,108.45,112.98,109.481,103.621,97.601,97.484,101.295,105.504,108.938,110.11,110.596,113.343,117.596,120.537,120.169,120.995,122.774,120.893,121.298,122.618,120.758,119.788,121.153,121.415,123.051,123.716,122.693,119.351,114.686,113.52
