"","Table 3#11#5# National Defense Consumption Expenditures and Gros","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"15","8","      Consumption of general government fixed capital \2\","B432RC1",22.3,23,24.6,26.3,28.1,30,32.2,34.5,38.1,42.8,47.8,52.5,58.2,63.7,69.4,75.3,81.9,87.5,92.2,96.4,98.1,99.7,100.8,101.8,100.6,99.5,98.2,98.4,99.4,99,99,101.9,107.3,114.4,121.8,129.9,139.1,144.6,151.1,158.3,161.7,162.2,162.3
"16","9","    Intermediate goods and services purchased \3\","W087RC1",19.7,18.9,20.9,21.8,21.8,24.9,27.2,31.9,40.9,49.6,58.7,64.8,67.7,73.7,80.1,84.8,89.4,89.4,94.5,99.7,95.4,93,90.8,87.4,91.4,93.5,91,101.7,104.4,117.2,135.8,163.6,184.7,194.6,206.9,216.6,252.4,263.1,280.6,278.7,269.4,237.2,222.4
"17","10","      Durable goods","A998RC1",5.5,5.3,5,5.8,5.7,7.6,9,10.8,12.3,15.7,19.1,24.6,26.6,29,31.7,33.6,33.4,32,31.6,31,28.4,26.4,22.9,20.9,20.8,20.9,20.9,22.2,22.1,22.3,23.2,25.7,28.8,29.6,33,36.3,42.9,45.8,47,45,45.3,39.8,37.1
"18","11","        Aircraft","B999RC1",2.7,2.4,2,2.1,2,3.3,3.5,4.8,5.6,7.8,10.2,13.6,14,15.4,17.2,18.2,17.9,16.4,14.8,13.6,12.2,10.7,9.2,8.9,8.8,9.4,9.9,10.5,9.8,9.8,9.8,11.3,12,10.7,11.1,11.5,12.8,14.7,16.1,18,19.4,17.9,16.4
"19","12","        Missiles","B277RC1",1,1.1,1.1,1.4,1.3,1.4,1.8,1.8,1.9,2.3,2.6,3.2,3.6,3.8,4.4,4.6,5,5,5.2,5.3,4.7,4.2,3.5,2.8,2.6,2.3,2.3,2.2,2.4,2.6,2.5,2.4,2.6,3.3,4.1,4.5,4.7,4.5,4.5,3.6,3.5,3.5,3.4
"20","13","        Ships","B278RC1",0.1,0.2,0.2,0.2,0.3,0.6,0.7,0.9,0.8,0.8,0.9,1.2,1.2,0.8,0.8,1,1.1,1,1.7,1.9,2.1,2.3,1.6,1.2,0.9,0.9,0.9,1.2,1.3,1.2,1.3,1.3,1.4,1.4,1.4,1.1,0.8,0.7,0.8,0.7,1.6,1.5,1.6
"21","14","        Vehicles","B288RC1",0.4,0.4,0.3,0.6,0.6,0.8,1.1,1.1,1.4,1.7,1.7,2.3,2.8,2.9,3.2,3.1,2.5,1.9,1.7,1.8,1.4,1.3,0.9,1.1,1,1.2,0.9,0.7,0.7,0.7,0.7,0.7,0.8,1.1,1.7,2.4,3.1,3.5,3.5,3,2.5,1.6,1.4
"22","15","        Electronics","B388RC1",0.8,0.8,0.8,0.9,0.7,0.8,1,1.1,1.4,1.7,2,2.4,2.7,3.2,3.3,3.7,3.7,3.8,3.8,3.5,3.3,3.5,3,2.5,2.5,2.5,2.4,2.7,2.9,2.9,3.2,3.7,4.4,5.4,6.4,7.8,10.9,11.3,11.1,8.9,7.8,6.1,5.2
"23","16","        Other durable goods","B389RC1",0.5,0.5,0.6,0.7,0.8,0.9,0.9,1.2,1.2,1.5,1.7,1.8,2.3,2.9,2.7,3.1,3.3,3.9,4.3,4.8,4.7,4.4,4.6,4.6,5,4.6,4.6,5,5,5.1,5.7,6.4,7.7,7.7,8.2,8.9,10.5,11.1,11.1,10.8,10.4,9.1,9.2
"24","17","      Nondurable goods","A725RC1",4.7,4.3,5.2,5.1,4.4,4.5,4.9,6.2,10,11.8,11.5,11.3,10.4,9.9,10.2,10.2,10.6,10.8,11,10.7,9.4,8.5,7.6,6.3,7.6,7.6,7,8.2,10.4,10.3,11.5,13.4,17.1,20.9,22.3,23.8,30.5,24.4,26.8,33.1,31.9,27.2,24.3
"25","18","        Petroleum products","B780RC1",1.8,1.7,2.8,2.9,2.5,2.4,2.5,3.6,6.8,7.7,6.8,6.4,5.9,5.8,3.6,3.9,3.5,4.2,5.3,4.7,3.5,3.2,3,2.8,3.4,2.9,2.1,2.6,4.1,4.2,4.6,5.3,7,10.1,11.4,12.2,17.6,10.5,13.7,19.2,18.3,14.1,11.2
"26","19","        Ammunition","B781RC1",2,1.7,1.4,1.1,0.6,0.8,1,1.2,1.4,1.6,2.1,2.5,2.2,1.3,3.6,2.8,3.5,3.1,2.8,2.7,2.6,2.5,1.8,1.2,1.4,1.7,1.9,1.9,1.8,2.1,2.5,2.6,3.6,4,4.2,4.1,4.5,4.2,4.2,4.3,4.3,3.5,3.5
"27","20","        Other nondurable goods","B783RC1",0.8,0.9,1,1.1,1.3,1.3,1.3,1.4,1.8,2.5,2.6,2.4,2.3,2.8,3,3.5,3.6,3.6,2.9,3.4,3.4,2.8,2.7,2.4,2.9,3,3,3.7,4.6,4,4.4,5.5,6.4,6.8,6.7,7.6,8.4,9.8,8.9,9.7,9.4,9.6,9.6
"28","21","      Services","A489RC1",9.5,9.3,10.7,10.9,11.7,12.7,13.3,14.9,18.7,22,28.1,28.9,30.7,34.7,38.3,40.9,45.4,46.5,51.8,58.1,57.6,58.1,60.3,60.1,62.9,65,63,71.3,71.8,84.6,101.1,124.4,138.8,144.1,151.6,156.5,179.1,192.8,206.8,200.6,192.2,170.1,161.1
"29","22","        Installation support","B911RC1",3.8,3.8,4.6,4.8,5.3,5.8,5.9,6.6,8.3,9.6,12.6,12.4,13.8,15.1,16,17.7,18.3,18,21.4,22.9,23.1,25.2,26.2,25.2,26,25.1,23.9,25,25.1,27.4,30.7,35.7,36.6,35.8,38.2,38.2,41.4,44.1,46.2,44.2,41.8,37.4,39.6
"30","23","        Weapons support","B912RC1",1.6,1.5,1.8,1.7,1.9,1.9,2.1,2.7,3.9,4.8,6.3,7,7.2,8.4,9.4,9.2,10.3,10.5,11.6,10,9.4,8.8,9.4,9.5,9,10.5,10,11.3,11.7,14.8,18.2,22.5,23.5,26.1,27.5,28.6,30.9,32.6,36.8,35,33.4,26.9,27.3
"31","24","        Personnel support","B913RC1",1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.1,2.3,2.9,3.6,3.9,3.7,5,6.2,6.8,9.5,10.2,10.1,9.5,13.7,14.7,16.3,17,19.3,21.3,20.6,26,26.1,32.4,42.1,49.5,61.9,66.3,71,70,86.1,93.6,99.1,96.8,98.1,90.8,79.7
"32","25","        Transportation of material","B786RC1",1.8,1.5,1.7,1.8,1.8,1.9,1.9,2.1,2.6,2.8,3,3.3,3.3,3.2,3.4,3.5,3.6,3.9,4.8,8.8,5.9,4.5,3.8,4.2,4.6,4,4.2,4.4,4.3,4.9,5.1,10.3,9.1,7.7,7.6,11.6,12.1,13.1,14.8,14.9,9.9,8.2,7.2
"33","26","        Travel of persons","B785RC1",0.9,0.9,1.1,1,1,1.2,1.4,1.3,1.6,2.1,2.6,2.4,2.7,3,3.3,3.7,3.7,4,4,6.9,5.5,4.8,4.6,4.2,4,4.2,4.3,4.6,4.7,5.1,5.1,6.3,7.6,8.2,7.3,8.1,8.6,9.4,9.9,9.7,8.9,6.9,7.3
"34","27","  Less: Own-account investment \4\","W088RC1",2.7,2.8,2.9,3,3.1,3.2,3.5,3.8,4.1,4.6,5.4,6.3,7.3,8.3,9.1,9.3,9.7,10.3,10.6,10.4,10.3,10.2,10,10,9.8,9.8,9.7,9.7,10.4,12.2,13.8,14.6,14.8,15.7,16.9,18.6,19.3,19.5,19.9,22.1,22.2,21.6,21.1
"35","28","  Less: Sales to other sectors","W089RC1",0.5,0.9,1.4,1,0.4,0.6,0.6,0.6,0.9,1.1,1.3,0.6,0.9,0.8,0.8,1,1.2,1,1.9,1.8,2.4,2.7,4.5,2.2,2.6,2.1,1.8,1.8,2,2.1,2.3,2.6,2.7,3.5,4.4,3.4,3.8,3.8,3.7,3.9,3.6,3.7,3.6
"36","29","Gross investment \5\","A788RC1",16.3,17.8,20.4,22.6,25.6,27.9,30,34.8,40.2,48.2,58.2,69.8,81.1,95.4,103.4,110.8,105.4,105.2,107.3,101.3,97.2,89.2,85.8,85,85,79,79.2,81.5,83.4,87.7,98.7,111,123.4,132.3,142.1,152.7,171.3,175,179.6,174.7,163.9,153.3,148.5
"37","30","  Structures","A808RC1",1.8,2.1,2.2,2.3,2.1,2.4,2.5,2.5,3.2,3.2,4,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.3,5.8,6.7,6.3,6.1,5.8,5.4,5.4,5.3,6.1,7.1,6.9,7.2,7.8,10,13.7,17.1,16.7,13.3,8.1,6.5,5.3
"38","31","  Equipment","Y050RC1",5.3,6,8.2,9.9,12.1,13.3,14.3,17.4,19.8,24.1,29.1,35.2,41.1,47.9,52.7,55,49.6,51.5,54.6,53.4,50.7,44.7,41.9,39.8,39.9,33.6,34,36.8,37.8,39.9,45.6,50.2,56.7,60.7,66.8,70.8,83.8,86,90.3,87.5,85.2,78.7,75.4
"39","32","    Aircraft","B874RC1",2.6,2.3,2.3,3.6,3.4,3.7,3.7,4.8,6.1,7.5,8.4,10.1,10.9,13.4,17.9,17.6,13.5,12.2,12,9.2,8.3,9.3,10.5,9,9.2,5.8,5.8,7,7.8,8.5,9.4,9.4,11.1,13.5,13.6,12.9,13.7,13.5,16.9,20.7,20.1,21.7,19.8
"40","33","    Missiles","B875RC1",1.5,1.5,1.7,1.3,1.4,1.2,1.1,1.8,2.3,2.8,3.4,4.6,5.7,6.6,7.9,8.7,7.8,8.8,11.2,10.8,10.6,7.9,5.7,4.7,4.1,2.9,3.3,2.9,2.7,3.3,3.3,3.5,4,4,4.5,4.3,4.3,5.1,5.6,5.1,6.9,6.5,6.6
"41","34","    Ships","B876RC1",1.8,1.6,2.2,2.2,2.4,3.1,3.9,4.3,4.1,5.1,6.2,7.1,8,9,8.9,8.8,8.6,10,10.8,10.2,10.1,8.7,8.1,8,6.8,6.1,6.4,6.8,6.6,7.2,8.7,9.5,10,9.8,10.5,10.3,11,11.1,11.8,11.7,12,12.5,13.2
"42","35","    Vehicles","B877RC1",0.4,0.3,0.3,0.3,0.5,0.6,0.8,0.9,1.2,1.1,2.1,3.4,4.2,3.7,3.8,4.3,3.7,3.1,3.2,3.4,2.8,1.9,1,1.1,1.2,1.4,1.5,1.7,1.9,2,2.6,3.2,2.8,3.9,4.9,6.2,9.3,9.2,9.5,7.1,5.8,3.8,2.9
"43","36","    Electronics","Y051RC1",0.6,0.6,0.6,0.7,0.8,0.9,1.1,1.2,1.6,2,2.4,2.9,3.4,4.3,4.6,5.1,4.9,4.7,4.7,4.2,4.2,4.4,4,3.5,3.5,3.4,3.3,3.8,4,3.9,4.3,5,5.7,6.6,8.2,10.3,13.4,13.2,12.5,10.3,9.2,7.2,6.3
"44","37","    Other equipment","B879RC1",-1.6,-0.4,1.1,1.8,3.7,3.7,3.7,4.4,4.5,5.7,6.6,7.1,8.9,10.8,9.7,10.5,11,12.6,12.8,15.4,14.8,12.5,12.7,13.6,15.2,14,13.8,14.8,14.9,14.9,17.3,19.6,23,22.9,25.1,26.7,32.1,33.9,34,32.6,31.2,27,26.6
"45","38","  Intellectual property products","Y052RC1",9.2,9.7,10,10.5,11.3,12.3,13.3,14.9,17.2,20.9,25.2,29.8,35,41.3,43.9,48.1,48.5,47.3,46.6,43.3,41.3,39.2,38.1,38.4,38.9,39.2,39.4,39.3,40.2,42.5,47,53.7,59.8,64.5,67.5,71.9,73.8,71.8,72.6,73.8,70.6,68.1,67.8
"46","39","    Software","Y053RC1",0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,1,1.3,1.4,1.7,2.2,2.7,3.2,3.6,4.3,4.8,5.2,5.4,5.6,5.4,5.3,5.3,5.5,5.6,5.9,5.9,6,5.8,5.6,5.4,5.7,5.9,6.2,6.5,6.9,6.8,7.3,7.7,7.7,7.7,7.9
"47","40","    Research and development","Y076RC1",8.9,9.4,9.6,10,10.8,11.7,12.6,14,16.2,19.6,23.7,28.1,32.8,38.6,40.7,44.5,44.3,42.5,41.4,37.9,35.6,33.7,32.8,33.1,33.4,33.6,33.5,33.3,34.2,36.7,41.4,48.2,54.1,58.5,61.3,65.4,67,65,65.3,66.2,62.9,60.4,59.9
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. National defense consumption expenditures are defense services produced by government that are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Consumption of fixed capital, or depreciation, is included in government gross output as a partial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","measure of the services of general government fixed assets; the use of depreciation assumes a zero net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","4. Own-account investment is measured in current dollars by compensation of general government employees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","and related expenditures for goods and services and is classified as investment in structures, software,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","and research and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","5. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","for fixed assets; inventory investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
