"","Table 5#10# Changes in Net Stock of Produced Assets (Fixed Asset","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"74","63","    Fixed assets","K100631",-3.2,9.4,57,64.9,59,156.8,-42.9,36.1,92.7,104.1,80.9,23.3,18.3,-99,-209,-89.1,-89.1,155.7,-33.8,-76,-94.5,-289,-249.4,2.2,166.2,289.7,120.9,70.5,324.7,393.7,211,222.8,481.2,106.8,301,1349,1401.8,1170.9,-363.2,254.9,-1594.6,-161.3,-5.6,408.4,1073.9,792.8
"75","64","      Private","K100641",-15.2,-17.1,44,38.1,27.1,62.3,1.3,58.5,122.3,106.9,55.4,-13.2,-3.5,-89.6,-155.2,-55.7,-61.9,115.9,-17.2,-43.8,-74.4,-227.5,-213.8,8.1,131.9,205.5,57.6,58,244.8,303.5,130.8,150.2,414.3,109.9,309.2,979.2,1105.1,673,-618,-111.1,-1356.9,-205.8,-199,325.6,939.1,665.3
"76","65","        Nonresidential","K100651",-1.9,4.8,12.8,4.4,-2.3,78.2,11.1,18.8,13.1,27.6,0.9,-6.7,52.2,-45.2,-106.8,-42.4,-54.1,-2.9,-20.8,-9.2,-29.1,-87.3,-115.9,-51.8,34.6,64.3,47.3,-17.6,94.7,76.7,-48.2,6.6,86.3,-61.7,-35.2,403.5,479.6,474,-41,489.9,-832.6,-6.7,74.3,81.1,157.5,20.1
"77","66","        Residential","K100661",-13.3,-22,31.2,33.7,29.4,-15.9,-9.8,39.7,109.2,79.4,54.5,-6.6,-55.7,-44.4,-48.4,-13.3,-7.8,118.8,3.6,-34.6,-45.3,-140.2,-97.9,59.9,97.2,141.2,10.2,75.6,150.1,226.8,178.9,143.6,328.1,171.6,344.4,575.7,625.5,198.9,-577,-600.9,-524.3,-199,-273.3,244.5,781.6,645.2
"78","67","      Government","K100671",12,26.5,13,26.9,31.9,94.5,-44.2,-22.4,-29.6,-2.8,25.5,36.6,21.8,-9.4,-53.9,-33.5,-27.2,39.8,-16.6,-32.2,-20.2,-61.5,-35.7,-6,34.3,84.2,63.3,12.5,79.8,90.2,80.2,72.7,66.8,-3.1,-8.2,369.8,296.7,498,254.8,366,-237.7,44.4,193.4,82.8,134.8,127.5
"79","68","    Private inventories \1\","K100681",-1.3,-5.8,-2.3,9.6,29,-2.2,-17.1,-9.8,-11.4,24.7,19.2,9.2,-45.5,-24.5,5,-20.9,-43.2,-41.7,11.9,23.4,-21.6,-20.9,-47.4,-18.2,-10.1,-11.9,8.5,-25.8,-40.3,-61.2,-1.8,0.1,-56.1,-3.4,10.2,21.5,20.3,-4.6,70.2,-60.1,8.3,106.7,78.7,-1.3,-56.9,-53.3
"80",NA,"Closing balance"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","69","Produced assets \13\","K100691",2969.9,3224.8,3547.4,3903.1,4454.2,5282.3,5677,6178.2,6891,7813,9012,10234.8,11256.9,11840,12246.3,12951.6,13597.4,14380.5,15245.6,16204.7,17114.6,17913.2,18312.5,19063.2,20000.9,21206.8,22238.8,23263,24448.7,25754.7,27409,29221.5,30693.4,32179.3,33925.3,37380.9,41138.5,44461.4,46521.3,47908,46873.5,47990.4,49614.5,51195.3,53573.9,55723.4
"82","70","  Fixed assets","K100701",2742.5,2989.1,3293.7,3619.5,4102.7,4876.6,5268.5,5738.6,6409,7242.1,8344.4,9495.8,10477.8,11066.1,11449.5,12082.6,12724.8,13525.6,14323.1,15203.7,16069.5,16830.8,17254.1,17980.6,18884.9,20012.3,20981.6,21978.3,23120.8,24412.4,25975.6,27696.7,29245.8,30684.1,32368.7,35682.9,39296.2,42508,44402.3,45857.9,44946.4,45860.9,47313.6,48806,51133.9,53222.4
"83","71","    Private","K100711",1962.8,2120.8,2352.6,2593.8,2946.9,3468.5,3786.2,4169.1,4736.1,5413,6264.8,7118.2,7860.8,8297.6,8599.9,9112.8,9619.4,10231,10845.3,11537.7,12204.1,12774,13058.1,13608.9,14321.5,15200.4,15946.6,16760,17694.1,18762.5,20011.5,21399,22681,23826.2,25213.9,27743,30610.7,32920.3,34067.9,34835.4,33861.3,34345.9,35178.1,36284,38208.7,39983.5
"84","72","      Nonresidential","K100721",1055.7,1161.6,1275.1,1385.7,1560.6,1894.1,2083.7,2280.5,2533.1,2870.6,3314.4,3800.8,4300.8,4589.8,4745.3,5041.6,5333,5604.3,5921.2,6313.1,6701.2,7072,7242.1,7487.4,7838.2,8271,8719.1,9145,9665.5,10214.3,10834.3,11589.3,12164.5,12604.3,13053.6,14159.9,15462.4,16731.4,17668.5,18750.2,18152.8,18563,19287.1,19920.5,20715.8,21463.5
"85","73","      Residential","K100731",907,959.3,1077.5,1208.1,1386.3,1574.4,1702.5,1888.6,2203,2542.3,2950.3,3317.4,3560,3707.8,3854.6,4071.2,4286.3,4626.7,4924,5224.6,5502.9,5702,5816,6121.5,6483.3,6929.4,7227.6,7615,8028.6,8548.2,9177.2,9809.7,10516.5,11221.9,12160.3,13583.1,15148.3,16188.9,16399.4,16085.2,15708.5,15782.9,15891.1,16363.6,17492.9,18520.1
"86","74","    Government","K100741",779.7,868.3,941.1,1025.7,1155.7,1408.1,1482.3,1569.5,1672.9,1829.1,2079.7,2377.6,2617,2768.6,2849.6,2969.8,3105.5,3294.6,3477.8,3666.1,3865.4,4056.8,4195.9,4371.7,4563.4,4811.8,5034.9,5218.3,5426.7,5649.9,5964.1,6297.7,6564.7,6857.9,7154.8,7939.9,8685.5,9587.8,10334.4,11022.5,11085.1,11515,12135.4,12521.9,12925.2,13238.8
"87","75","  Private inventories \1\","A371RC1",227.4,235.7,253.7,283.6,351.5,405.6,408.5,439.6,482,570.9,667.6,739,779.1,773.9,796.9,869,872.6,854.9,922.4,1000.9,1045,1082.3,1058.5,1082.6,1116,1194.5,1257.2,1284.7,1327.9,1342.3,1433.4,1524.8,1447.7,1495.2,1556.6,1697.9,1842.3,1953.4,2119,2050.1,1927.2,2129.5,2300.9,2389.4,2440,2501.1
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","1. Estimates of government inventories are not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","2. Private fixed investment shown in table 5.2.5, line 7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","3. Gross government investment shown in table 5.2.5, line 26.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","4. Used autos are valued at acquisition prices less depreciation in the estimates of the stocks of private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","fixed assets and consumer durable goods; net purchases of used autos by business from consumers are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","valued at wholesale prices in gross fixed investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","5. This adjustment reflects a timing difference between fixed investment and the stock of produced assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","In investment, the value of structures and equipment for electric plants is recorded on a put-in-place",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","basis; in the stocks, the investment is recorded when the plants are put in use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","6. Consists of the value of abandoned nuclear power plants that were never put in use. The investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","in these plants is included in gross fixed investment, but does not enter the opening or closing balances.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","7. Sale of equipment scrap, excluding autos shown in table 5.5.5, line 33.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","8. Consists primarily of statistical revisions to the NIPAs that have not been incorporated into the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","fixed assets accounts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","9. Change in private inventories shown in table 1.1.5, line 14. Inventory estimates are not adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","for disaster losses, theft, obsolescence, or infestation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","10. Consists of disaster losses. Private fixed assets destroyed are valued at current cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","11. Consists of disaster and war losses. Government fixed assets destroyed are valued at current cost.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","12. Neutral holding gains are the gains derived from holding an asset if the price of an asset changed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","in the same proportion as the general price level. The chain-type price index for gross domestic purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","is used as a measure for the general price level.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","13. Equals lines 1+8-19-32+43-44+54.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
