"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"11","3","  Durable goods manufacturing industries","KP30D0",170856,177147,179583,179209,178007,183771,187414,184483,187322,185265,189576,189847,184592,193927,192497,191253,190728,187249,184371,191378,194625,197333,198897,199136,199060,201973,199584,199701,203778,201310,202151,206209,203154,204805,204558,205119,212050,200747,204451,211123,207540,209253,205771,203790,209437,204310,201071,203827,196915,200424,196757,189606,195868,192082,187835,188238,181872,183082,182942,185081,184588,184655,185869,187321,189699,187612,188404,189637,187691,188323,187675,181181,185653,187199,187040,185485,185903,187716,190042,185288,192875,192676,192581,191494,188350,189929,197308,192856,190033,191894,190297,192923,193755,192941,194579,197537,198600,197160,198015,198589,198917,200311,197643,201841,205233,207128,207952,213650,208819,211400,210512,206309,209733,209345,203727,207466,203831,203607,203327,207034,201363,205069,208489,209507,212153,210298,210658,212571,208945,207885,208312,208218,209846,206985,201258,204549,200207,199556,199322,190852,190496,182369,174403,171966,159999,160138,156833,154152,150868,150221,156569,154384,157455,157109,157929,161408,161137,157830,159422,162068,162229,162095,168257,165731,166144,164914,164736,168503,168063,166920,171801,168297,169282,171104,174375,174581,174201,176508,176266,179917,179218,177889,179739
"12","4","    Wood product manufacturing","KP3210",8204,8027,8103,8150,8063,8262,8553,8320,8475,8241,8403,8341,8551,8628,8463,8428,8317,8542,8473,8339,8224,8505,8686,8821,8659,9090,8840,9039,9088,8818,9029,8807,8727,8870,8939,9067,9405,9131,9467,8971,8928,8655,8411,8507,8572,8458,8177,8288,8043,8164,7888,8276,8336,8370,8435,8287,8242,8202,8141,8200,8372,8499,8415,8385,8505,8546,8684,8477,8244,8420,8633,8458,8486,8110,8262,8330,8168,8448,8475,8640,8643,8825,8897,8440,8486,8162,8616,8981,8954,8652,8822,9252,8794,8581,8799,9162,8938,8994,9077,9111,9138,9039,9229,9328,9430,9803,10047,10075,10237,10268,9951,9427,9352,9485,9055,9198,9008,8778,8811,9686,8634,8425,8615,8607,8807,8708,8537,8585,8437,8277,8164,8226,8043,7744,7535,7525,7154,7364,7207,7010,6779,6845,6403,5930,5486,5675,5571,5602,5578,5486,5486,5519,5543,5512,5471,5380,5506,5593,5607,5813,5655,5388,5395,5265,5201,5323,5362,5422,5458,5187,5383,5393,5338,5350,5434,5351,5393,5433,5456,5459,5783,5474,5522
"13","5","    Nonmetallic mineral product manufacturing","KP3270",8132,8358,8523,8533,8504,8581,8631,8614,8681,8546,8669,8636,8752,8867,8903,8983,9171,9084,9034,8971,8966,8973,9147,9262,9082,9163,9166,8940,9020,9074,9022,9186,9194,9245,9390,9253,9383,8912,9240,9399,9095,9065,9279,9087,9262,9128,8882,8771,8816,8919,8697,8759,9023,8962,8912,8983,8646,8829,8630,8581,8679,8695,8730,8933,8941,8909,8832,8902,8838,8690,8591,8552,8723,8627,8652,8755,8791,8878,9064,9032,9327,9421,8560,8752,8638,8555,9285,9226,8939,9075,9253,9239,9127,9068,9370,9543,9327,9302,9428,9476,9411,9497,9417,9609,9684,9755,9978,10145,10266,10312,10071,9767,9878,9878,9680,9602,9562,9528,9357,9571,9500,9592,9727,9691,9732,9452,9365,9340,9139,9214,9061,8756,8659,8616,8451,8498,8436,8428,8337,8055,8019,7897,7126,6878,6561,6605,6175,6033,6092,6151,6380,6324,6339,6196,6226,6288,6212,6263,6334,6482,6528,6550,6485,6493,6474,6489,6454,6440,6605,6549,6508,6420,6483,6508,6477,6525,6565,6719,6685,6753,6489,6495,6428
"14","6","    Primary metal manufacturing","KP3310",17019,17480,17275,17206,17126,17596,17475,17397,17604,17454,17955,17876,18061,18643,18131,18225,17883,17613,17516,17946,17633,17562,17328,17250,17370,17676,17317,17125,17601,17438,17580,17760,17866,17581,17751,18076,18101,17299,17213,17452,16669,17146,17105,16540,16795,16413,16286,16104,15790,16028,15612,15262,15721,15613,15676,15697,15278,15329,15253,15009,15193,15248,15519,15773,15952,15817,15771,16005,15701,15872,15520,15163,15473,15096,15068,14933,14967,14625,15162,14764,15047,15412,15478,15748,15762,15805,16599,16072,15733,16450,17018,16822,16834,16459,16789,16968,16843,16730,16846,16564,16303,16626,16550,17265,17641,17721,17432,17315,17336,17140,17153,16800,16899,17037,17102,17121,16459,15961,16079,16313,16574,16512,16603,16432,16485,16122,16135,16135,16651,17205,17443,17817,17890,17831,16899,17083,16440,16476,16484,16083,15608,15152,14511,13810,12585,12659,11820,11434,11202,11251,12405,12164,12062,12575,12936,13645,13188,13358,13786,13481,13503,13616,14076,14305,14305,14105,14553,15026,15205,15001,15388,15094,15445,16137,16391,16384,16753,17828,18915,20142,18922,18702,18366
"15","7","    Fabricated metal product manufacturing","KP3320",22546,23143,23500,23606,23288,24002,23766,23918,24206,24116,24262,24121,23924,24789,24506,24369,24601,24564,24618,24539,24554,24423,24633,24783,24633,24783,24254,24529,24750,24584,24615,24658,24614,24843,25223,25246,25864,24832,25722,26147,25522,25843,25630,25301,25428,24983,24937,25221,24656,24640,24220,23840,26415,23456,23479,23932,22925,23126,22750,22658,22765,22826,22916,23133,23298,23314,23238,23469,23340,23504,23108,22766,22411,23465,23103,22886,22823,22626,23338,22391,22765,23116,22828,23038,22319,22008,23568,22859,22651,22494,22999,22729,22969,22712,23381,23381,23498,23469,23714,23656,23875,23987,23661,24075,24592,24829,25039,25429,25644,25915,25777,25495,25588,25697,25116,25268,25119,24876,24831,25239,25434,25370,25432,26108,26069,25972,25995,26167,25432,25693,25689,25417,26104,25708,25026,26012,25343,25231,25085,24230,23804,23230,22553,21242,20520,20183,19733,19043,18615,18656,19014,18871,18947,18996,18988,18923,18880,18996,18895,19166,19349,19163,18950,19077,19236,19167,19322,19612,19623,19492,19902,19501,19582,19705,19500,19660,19825,19773,20005,20463,20704,20389,20346
"16","8","    Machinery manufacturing","KP3330",23330,24458,25156,24612,24326,25721,25340,25178,26336,25679,26165,27176,25814,26327,26675,25782,26078,26945,25741,25037,25788,25291,25134,25723,24476,24725,24721,24182,24973,25717,24781,25210,26080,25760,25672,26876,26599,24953,26383,27036,26180,26564,26591,26484,26966,26136,25915,26557,26025,25740,25138,24057,24514,23980,23365,24026,22678,23029,22072,22195,21483,22300,22486,21888,23176,23221,22496,23073,23553,22863,23230,23042,22048,22350,23146,22550,23218,23360,22528,22470,23147,22299,22650,23201,21901,21574,23740,23255,22529,23800,23642,23279,24345,24184,23705,25233,24808,24756,24623,24516,24872,24931,24822,25194,25658,25690,26327,26887,26105,25843,26357,26370,26527,26755,26183,26741,26394,26442,26197,26640,24355,25549,26594,27495,27475,27290,27508,27571,27507,26746,26903,27557,26569,27530,27434,27166,26258,26708,26341,25781,26664,25215,24893,24682,21912,21987,21071,20266,20304,20690,20266,19882,20435,20238,20680,21505,20575,21446,22267,22002,22794,23214,22298,23194,23673,22905,23058,24911,23118,23428,24838,23435,23932,24888,24969,26386,26075,25292,25422,26381,24752,25492,26787
"17","9","    Computer and electronic product manufacturing","KP3340",23121,24256,24900,24880,25138,26299,26124,27004,27061,26696,26322,27102,25785,27562,27545,27094,26990,27979,27331,27671,28566,28642,29244,29465,29170,29858,29580,30400,31041,31223,32482,31882,31856,32165,31965,31499,32921,32615,33720,34590,35349,35263,35549,35748,36885,36360,35768,37175,35535,35120,34166,31183,30192,30961,29449,28527,28620,28035,27932,28723,27642,27819,27477,27204,27211,26843,26274,26528,26189,25298,25757,24887,26079,26327,26500,26419,26522,27586,27051,27896,28518,29379,28935,29073,29063,28996,29049,29432,29555,29211,29797,30082,29480,30411,30296,30061,30878,30432,30649,30543,30838,30929,30371,31199,31452,31218,31393,32692,32123,34600,33545,32374,33328,33454,33108,33579,32793,32832,33255,31561,31097,33356,32890,32962,33890,33693,31823,34036,34430,32928,34493,35413,35503,33998,34218,34084,34385,32957,33950,32608,32569,31771,29947,31697,28623,28352,27772,27981,27650,27225,30101,29239,28499,30145,29583,29438,31951,30450,29859,32419,32265,30716,33797,33571,33277,33632,33917,33124,33664,32845,32462,33730,33648,33276,33915,34164,34098,34310,33459,33225,32916,33113,32512
"18","10","    Electrical equipment, appliance, and component manufacturing","KP3350",9546,9660,9698,9832,9768,9859,9856,9830,10189,10417,10366,9988,10235,10517,10285,10221,10188,10111,10284,10242,10362,10245,10318,10547,10289,10475,10444,10489,10590,10342,10622,10905,10456,10569,10649,10584,11373,10806,11075,11180,11012,11248,11054,10945,10967,10916,11236,11143,10991,11207,10885,10646,10677,10441,9742,9903,9194,9302,8967,9313,8975,9096,9357,9288,9495,9207,9060,8997,9000,9080,9243,9020,9107,8837,8892,8837,8802,8824,8984,8574,8982,9045,9219,9162,9005,8893,9050,9145,9044,8958,9272,9156,9217,9054,9321,9241,9376,9346,9090,9086,9175,9259,9288,9405,9541,9614,9605,9375,9562,9418,9387,9389,9611,9379,9325,9355,9135,9171,9136,9335,9365,9491,9727,9848,9554,9472,9410,9631,9560,9579,9552,9552,9822,9513,9398,9555,9675,9567,9778,9414,9366,9192,8373,8349,7930,7915,7602,7714,7487,7534,7698,7387,7410,7611,7606,7573,7574,7670,7839,8082,7970,8036,8017,8131,8094,8163,8166,8235,8148,8068,8343,8076,8235,8207,7992,8303,8303,8252,8139,8238,8366,8229,8386
"19","11","    Transportation equipment manufacturing","KP3360",46348,48492,48984,49145,48273,49419,53970,50231,50563,49906,53437,52336,49365,53990,53031,53714,53320,46996,46385,53554,55131,58415,58669,57345,59304,59920,59017,58627,60138,57639,57283,61162,57680,59023,58337,57920,61594,55586,54423,58191,56422,57171,53555,52527,55588,52897,51215,51493,48503,51913,51947,50023,53957,53284,51834,52004,49726,50683,52787,53782,54351,52978,53838,55249,55470,54515,56458,56569,55442,57085,55944,51709,55839,56816,55740,55414,55102,55925,57619,53538,58421,56971,57673,56105,55313,58252,59558,56176,54974,55297,51946,54698,55241,54475,54497,55048,56000,55360,55665,56704,56376,57037,55566,57072,58363,59720,58961,62355,58152,58669,59001,57336,59066,58113,54648,57310,55920,56966,56773,59750,57613,58315,60254,59872,61943,61365,63503,62524,59363,59214,58299,56854,58765,57514,54061,55945,53916,54360,54130,49674,50069,45952,43616,43607,40912,41197,41913,41206,39112,38223,40143,40267,43505,41321,41887,43692,42779,38882,39585,39754,39074,40099,44304,40715,40876,40308,38842,40480,40556,40786,42898,41144,40982,41068,43924,41783,41058,42714,41640,42039,44310,43038,44023
"20","12","      Motor vehicle and parts manufacturing","KP3MV0",33359,34312,34536,33499,33193,33927,37464,35359,35296,35572,37247,36486,33803,37406,36701,37049,37333,31240,30699,36729,37969,39569,40030,40094,40869,42101,41972,40311,42001,41645,40315,42109,41838,41823,41548,41319,43795,40509,40054,41564,39218,40300,38592,36184,39410,37822,35520,35768,33236,35725,36434,35251,37713,36148,35647,35543,33138,35225,36501,36764,37981,36978,37686,39732,40652,39343,41138,41933,39987,42171,40613,36842,41892,41363,40636,41130,40726,40807,42509,39426,43268,42564,42135,41765,41215,42284,44520,42185,39939,40624,37709,40041,40842,39773,40804,41494,41420,41268,40780,40499,40923,41777,40166,41760,43903,43671,42077,43135,42837,42299,43131,42089,43421,42667,39373,41461,39492,40819,40507,43283,39666,41213,42886,42058,43512,43186,44450,42628,40703,39593,39236,38554,38764,38514,35318,35891,34232,34618,33847,30758,31507,28584,28231,26204,23784,23769,23624,23485,21706,20570,23136,23786,24688,24405,25123,25939,26287,22875,23581,24119,24621,25324,27844,25614,25771,25531,24753,25872,26480,26678,28519,26911,27020,26948,29593,26971,26545,27796,27507,27761,28189,28271,28798
"21","13","      Other transportation equipment manufacturing","KP3OT0",12935,14249,14545,15984,15355,15786,16745,14998,15453,14376,16397,16051,15867,16836,16585,16947,16167,16210,16163,17140,17457,19277,19020,17451,18747,17990,17125,18641,18355,15954,17120,19380,15782,17311,16863,16665,17892,15005,14240,16686,17429,17014,14972,16597,16285,15135,15903,15925,15512,16428,15667,14901,16421,17444,16428,16728,16946,15656,16509,17288,16556,16185,16328,15589,14813,15228,15339,14594,15508,14886,15364,14953,13879,15481,15129,14256,14362,15137,15100,14108,15133,14366,15553,14309,14064,15986,14993,13942,15051,14667,14250,14658,14386,14708,13667,13522,14576,14083,14887,16215,15458,15266,15404,15317,14466,16062,16881,19184,15344,16366,15881,15265,15666,15465,15260,15841,16377,16124,16233,16461,17845,17049,17330,17749,18364,18120,18976,19738,18530,19423,18884,18146,19772,18817,18506,19757,19370,19434,19918,18550,18243,17048,15154,17027,16714,16997,17804,17264,16928,17139,16583,16103,18325,16526,16395,17350,16162,15634,15646,15308,14209,14531,16181,14848,14859,14545,13880,14400,13920,13957,14264,14080,13830,13975,14256,14619,14327,14747,14003,14145,15884,14618,15061
"22","14","    Furniture and related product manufacturing","KP3370",5920,6192,6137,6000,5934,5988,6013,5972,6110,6148,6227,6265,6450,6457,6511,6426,6246,6449,6678,6514,6557,6464,6605,6660,6718,6805,6768,6564,6779,6803,6639,6713,6718,6564,6589,6743,6495,6548,6791,6974,6925,6842,6888,6929,6829,6893,6754,6698,6721,6725,6578,6572,6476,6261,6435,6577,6253,6439,6294,6383,6505,6586,6622,6745,6715,6772,6686,6732,6856,6879,6756,6982,6763,6729,6597,6355,6545,6555,6660,6712,6722,6678,6719,6494,6776,6563,6570,6710,6775,6764,6829,6845,6749,6733,6792,6882,6914,6972,7012,7064,7035,7006,6957,6901,7001,6943,7224,7256,7308,7255,7173,7255,7173,7090,6880,6944,6935,6777,6715,6830,6721,6673,6877,6745,6769,6786,6836,6824,6788,6856,6776,6626,6522,6390,6317,6413,6350,6316,6141,6039,5962,5593,5364,5100,4664,4701,4581,4475,4454,4434,4506,4461,4363,4338,4311,4385,4326,4484,4505,4477,4615,4650,4568,4550,4582,4481,4698,4661,4788,4725,4890,4829,4831,4780,4675,4810,4727,4668,4651,4733,4771,4702,4806
