"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"49","41","  Nondurable goods merchant wholesale industries","KS42WN0",106661,106376,106392,106548,106941,108325,109208,110162,110607,112105,113739,113810,113528,114702,115315,115249,116346,116643,116939,117499,118503,118242,119969,119219,119233,120556,120908,121977,120541,119654,121367,122242,122280,123529,124041,123906,125095,124705,125154,125559,125491,125263,125772,126029,126445,127819,128711,128984,127913,128581,129183,130901,132755,133807,132619,133586,134049,133271,134537,135152,135834,135155,135670,134776,135239,135732,136256,134854,134652,134148,133932,136019,135470,133821,133735,133715,133107,132726,133741,133325,133905,136250,136312,135118,134081,135188,134767,133804,133830,133931,136371,135615,134098,135826,136821,136299,138308,137904,138701,140082,139507,138697,137998,138292,139182,138056,137951,139656,139738,141048,141561,141377,142299,142826,142955,144371,143536,143645,146421,144234,142949,142998,143060,144289,144178,145362,147313,147801,149493,148676,148538,148719,147885,147832,145020,145785,145558,146605,147769,147866,146295,144797,144981,145372,146717,147673,147322,147243,146797,143239,142303,141212,140167,141285,144148,143240,143148,143506,143405,144411,145455,146210,149498,149972,152115,154367,150315,150174,149930,149728,150785
"50","42","    Paper and paper products wholesalers","KS42210",7944,7995,7992,8040,8154,7985,8305,8525,8425,8415,8468,8587,8382,8591,8757,8836,8684,8669,8669,8562,8530,8388,8511,8614,8499,8419,8575,8654,8492,8453,8520,8451,8455,8476,8559,8413,8517,8342,8541,8597,8512,8391,8423,8428,8428,8634,8661,8675,8469,8525,8460,8557,8582,8342,8222,8111,8107,8156,8100,8004,7876,7738,7679,7742,7849,7808,7652,7545,7544,7518,7616,7624,7436,7542,7468,7621,7663,7586,7589,7518,7423,7476,7462,7597,7515,7534,7671,7729,7708,7913,8060,8058,8018,8056,7951,8090,8024,7998,7838,7987,8101,8146,8056,8294,8245,8208,8371,8400,8227,8291,8263,8395,8383,8220,8232,8166,8187,8101,8010,8078,8038,8007,7839,7963,7924,8009,8243,8109,8113,8162,8145,8141,8083,8073,8114,8013,7874,8023,8195,8011,7993,8074,8004,7992,7967,7807,7627,7768,7650,7524,7641,7525,7382,7338,7330,7332,7325,7230,7103,7148,7213,7216,7177,7145,7139,7273,7266,7434,7443,7314,7327
"51","43","    Drugs and druggists' sundries wholesalers","KS42220",15766,15521,15861,15611,15905,16273,16463,17063,17212,16791,17313,17414,17450,17784,17825,17788,18038,17585,17648,17784,17769,18005,18447,18676,18879,19098,19188,19942,20263,20572,20987,21339,21295,22132,22251,22502,23127,23454,23943,24206,24186,25016,25540,25572,25944,26419,26669,27629,27410,27175,28282,29231,30523,31308,30997,32260,33733,33486,34558,35470,35988,35919,36305,36177,36079,36574,36047,35711,36024,36665,36121,36971,36952,37006,37184,37545,37384,36573,37505,37482,36891,37209,37769,37110,36535,37284,37228,36186,36457,36514,37163,36855,36597,36902,37257,36763,37647,36522,36415,36279,36055,35531,34507,33709,34709,34246,33862,34613,33731,34530,35115,35077,34785,35790,35325,36559,35894,34245,35248,35365,35040,34764,34570,35295,35514,35484,34987,35378,35158,34521,34930,34902,34849,34746,34561,34393,34713,34090,35701,35951,34858,35180,35321,34887,34980,36010,35197,35385,35347,34605,34768,34210,34510,34966,34581,34926,34709,34566,34668,34661,34902,35126,35254,34979,35326,35009,34676,35398,34811,34852,35626
"52","44","    Apparel, piece goods, and notions wholesalers","KS42230",11645,11716,11796,11836,11912,12121,12150,12126,12100,12665,12792,12806,12955,12740,12822,12938,12908,13016,12923,13087,12983,13046,13160,13088,12784,13495,13047,12842,12642,12292,12266,12193,12023,12056,12231,12430,12644,12481,12347,12466,12554,12224,12418,12290,12459,12415,12501,12546,12777,13203,13145,13234,13305,13312,12898,12783,12801,12940,12661,12517,12768,12609,12407,12046,12089,12376,12517,12733,13085,12663,12554,12738,12669,12484,12675,12706,12500,12681,12575,12293,12008,11635,11820,11760,11498,11549,11570,11420,11529,11182,11300,11559,11800,11947,12452,11812,12101,12088,12150,12386,12368,12387,12276,12331,12341,12565,12625,12431,12296,12628,12780,12826,12924,12989,13210,13302,13433,13442,13523,13789,13924,13878,13875,13466,13822,14148,14387,14584,14403,14478,14410,14371,14543,14628,15101,14679,14584,14742,14659,14416,14982,15079,15014,15223,15180,14894,14377,14053,13759,13381,13056,12691,12478,12072,12084,11612,11773,11836,11796,11937,12132,12426,13024,13449,14113,14254,14561,14369,14696,14760,15067
"53","45","    Grocery and related products wholesalers","KS42240",19172,19071,19057,18826,19091,19305,19305,19206,19167,19821,20008,20089,20164,20291,19711,20283,20571,20216,20219,20173,20002,19873,20058,19865,19924,20216,20277,20666,20463,19776,20329,20378,20557,20951,21437,21224,21040,21085,20919,20915,20794,20591,20736,20724,21044,21273,21745,21123,20926,20693,20482,20391,20047,20201,19772,19883,19523,18946,19163,19326,19382,19220,19605,19898,20527,21173,21300,21458,20819,21166,20682,20763,21161,21006,20677,20197,19717,19690,19857,19706,19869,19244,18946,19461,19155,19305,19466,19439,19381,19343,19645,19463,19038,19632,19698,19204,19578,19625,19575,19747,19800,19581,19665,20033,20229,20392,20572,20780,20773,21067,21041,21132,21006,21522,21714,21952,21956,21908,22625,22555,22551,22916,23271,23227,23723,23979,23959,23633,23590,23443,23496,23633,23637,23284,23506,23815,24036,24078,24275,24673,24566,24707,24269,24363,24301,24083,23596,23889,23701,23534,23270,22795,23050,22817,22717,22489,22411,22759,22575,22571,23157,23794,24118,24254,24049,24262,23782,24145,24584,24319,24670
"54","46","    Farm product raw material wholesalers","KS42250",10866,11087,10970,11062,10930,11164,11584,11382,11310,12074,12536,11825,11876,11985,12035,11692,11787,12459,12551,12836,13514,13650,13529,13081,12958,12987,13235,13664,13539,13532,13650,14403,14550,14794,14357,14170,14459,14206,14454,14533,14633,14407,14213,14312,14397,14634,14596,14575,14400,14524,14356,14475,14806,14721,14879,14826,14633,14510,14763,14729,14632,14533,14456,13974,13709,13591,14169,13435,13128,12539,13264,13536,13388,13020,12884,12949,13084,13321,13451,13622,14038,16569,16121,15270,15594,15710,15748,15676,15156,14863,14299,14172,13813,13811,13699,13771,14229,14891,15900,16371,16170,16246,16608,16481,16228,16028,15593,15908,16135,16592,16514,16571,17210,17168,17406,17324,16531,18395,19220,17850,16927,16349,16116,15849,15888,16348,17464,18280,19488,19444,19197,18920,18557,18682,17392,17295,17044,17597,17025,16832,16276,15783,15533,15414,15849,15623,16297,16569,16866,15392,15374,15644,15330,16335,18476,17952,17617,17763,17463,17097,17289,16794,17991,18193,19500,21308,19487,19119,19132,18787,18864
"55","47","    Chemical and allied products wholesalers","KS42260",6082,6228,6306,6169,6037,6434,6461,6455,6267,6267,6460,6413,6491,6428,6457,6664,6930,6609,6913,6819,6845,6776,7008,7077,7224,7368,7343,7402,7466,7388,7605,7387,7291,7225,7237,7419,7278,7339,7424,7345,7301,7293,7310,7190,6948,6879,6929,7044,6878,6781,7024,7267,7241,7265,7361,7228,7308,7349,7339,7470,7437,7600,7658,7610,7784,7704,7607,7754,7762,7730,7853,7917,7956,7795,7601,7457,7533,7517,7598,7314,7293,7206,7124,7514,6993,7217,7189,7258,7418,7434,7616,7485,7423,7429,7373,7318,7328,7450,7403,7556,7421,7421,7332,7345,7263,7278,7305,7315,7329,7208,7242,7236,7193,7249,7100,7136,7048,6869,6890,6908,7286,7367,7371,7315,7233,7456,7618,7416,7492,7250,7431,7633,7446,7387,7360,7380,7196,6999,7311,7411,7200,7235,7145,7416,7309,7482,7109,7074,6818,6805,6741,6574,6551,6352,6374,6190,6178,6257,6166,6184,6197,6441,6718,6769,6837,6627,6574,6646,6653,6573,6629
"56","48","    Petroleum and petroleum products wholesalers","KS42270",11511,11609,11593,11744,12050,11735,11635,11412,11586,11613,11541,11729,11710,11575,12171,12759,13379,13244,13341,13582,14623,13987,13645,13586,14012,13961,13329,12451,11666,11753,11638,11068,11307,11284,11370,10799,10808,10528,10469,10549,10367,10519,10261,10609,10181,10171,10585,10109,10083,10575,10802,10977,11473,11592,11958,11826,11671,12146,13054,13324,13868,13802,13461,13243,12819,12274,12408,12025,12239,11644,11548,12220,11656,10796,10676,11217,11766,11908,11278,11732,11942,11985,11822,11540,11199,11447,11302,11203,11224,11391,12919,12973,12360,12424,12107,12839,12755,12480,13027,12727,12742,12177,12819,12990,12833,12277,12548,12801,13826,13625,13088,12594,13106,12699,12884,12513,13010,12990,13110,12104,11859,11959,12047,12698,12550,12488,12486,12209,12215,12040,11704,11952,11469,11402,10464,11206,10948,11450,11839,11944,11885,10737,11578,11823,13452,13782,15189,14871,15394,15257,14613,14790,14521,14771,15311,15826,15689,15802,16140,17518,17277,17728,18343,18134,17653,17139,16271,15583,15225,15541,15192
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",5742,5554,5390,5626,5451,5772,5727,5810,5964,5785,5802,6160,5972,6086,6444,5989,5969,6190,6060,6205,6255,6350,6620,6361,6462,6684,7071,6759,6977,6755,6877,6825,6661,6649,6611,6683,6769,6796,6732,6783,6828,6612,6617,6657,6667,6721,6756,6821,6771,6751,6661,6662,6628,6789,6660,6651,6728,6667,6505,6546,6660,6625,6819,6880,6844,6736,6759,6560,6824,6946,6999,7009,7015,6920,6992,6858,6930,6929,6995,6756,7014,7011,7240,7156,7104,7054,7024,7151,7210,7327,7311,7258,7098,7114,7242,7451,7492,7523,7457,7504,7464,7492,7359,7732,7745,7894,7926,7847,7741,7678,7989,8046,8235,8072,8047,8207,8307,8285,8422,8511,8706,8795,8732,8960,8781,8879,9174,8914,9203,9224,9172,9275,9449,9462,9479,9418,9705,9727,9892,9937,10027,10076,10099,10314,10071,10187,10349,10146,9958,10093,9835,10090,9603,9632,9650,9363,9664,9569,9451,9206,9548,9458,9667,9806,9642,9712,9795,10104,9915,10041,10157
"58","50","    Miscellaneous nondurable goods wholesalers","KS42290",18894,18475,18355,18574,18558,18429,18243,18879,19412,19069,19018,19352,19037,19671,19883,19512,19679,19964,20015,19881,20012,19730,20301,20249,20244,19860,19999,20159,19200,19470,19725,20056,20144,19865,19880,19896,19981,19941,19751,19566,19626,19651,19546,19665,19566,19797,19499,19527,19245,19488,19233,19408,19594,19751,19610,19666,19140,18923,18708,18249,17965,17909,17896,17774,17911,17569,17822,17643,17362,17369,17203,17336,17168,16986,17242,16956,16540,16529,16615,16770,17308,17253,17340,17189,17708,17376,16802,16970,17152,17512,18109,17835,17877,18420,18900,19039,19105,19254,18918,19480,19353,19649,19327,19322,19535,19205,19143,19549,19539,19346,19508,19545,19420,19187,19068,19353,19272,19150,18918,19013,18832,19372,19718,20042,19307,19056,19159,19180,19260,19550,19724,19662,19998,20141,20320,20513,20730,20474,19954,19819,19919,19787,19768,19647,19478,19757,19523,19169,18860,18626,18762,18470,18292,18150,18000,17893,18305,18199,18489,18385,18161,17808,17630,17686,17852,17842,18117,18048,18268,18466,18537
"59","51","Retail trade industries","KS440",335397,338649,336607,340817,342559,342365,345143,344039,346473,347980,349349,349502,350420,352910,357009,360764,358405,357422,358182,357522,359543,360615,363815,364658,368991,371190,374718,375894,376524,378200,378925,379032,380151,383000,386071,390491,389635,390479,392469,394800,398879,401771,403787,406742,407218,409866,411170,411140,410016,406560,405298,406454,407638,407268,408109,410030,410280,400470,395795,400491,404051,405208,405408,406003,409240,411757,412909,412047,415990,417970,422723,424208,425978,427791,430515,432263,431484,432558,434349,431701,436862,438110,441400,441525,442889,445273,449457,454424,455498,456848,457409,459779,459937,462272,464213,465196,466749,469254,468880,467692,467420,466088,458667,461002,464715,467111,468324,469814,470345,468143,472738,469625,473242,474794,474262,476784,478275,475619,476344,480574,478513,480242,478478,480140,480184,480857,482927,485941,484224,486529,484727,484802,484094,481548,476690,474332,473416,471905,476528,471224,469028,468194,463872,459613,454132,451012,449034,447235,441590,436808,432524,426292,430435,430030,427385,428240,430261,429755,431379,433363,435865,437605,439333,442732,444783,442547,439213,438496,440234,437417,439178
"60","52","  Motor vehicle and parts dealers","KS4410",98549,99689,98891,101293,101345,100642,102254,102277,102039,103492,104648,103938,104101,105103,106563,109198,108612,104931,104288,102786,103784,104726,106193,105879,108442,110066,112226,112052,112022,112163,112725,112158,112630,114817,116237,118215,118458,117689,118598,120731,122239,124564,126739,127657,128531,129447,129822,129949,128574,125081,123406,124540,125730,125965,127448,127576,128341,118449,115987,121029,123669,125075,125921,126318,128248,130520,129955,129031,131119,133954,138042,138202,139934,140794,142450,143794,144398,145400,145935,144217,147308,147897,150565,151123,152449,153311,154845,157994,157950,158261,158431,158999,158750,160192,159836,158750,158663,160634,159564,158353,157253,154818,148605,149471,152945,156027,155995,155962,155557,154414,156267,153785,155945,156324,155504,155558,156595,153078,152687,155595,153877,153978,153370,155486,153561,154099,156852,159568,158652,159949,160313,158434,157808,156875,155121,151920,152285,152117,156066,151991,149263,148642,147697,146487,142939,141205,140457,141284,136721,132869,130073,125309,131917,133062,132463,133466,136611,137093,136440,137599,138986,140581,142225,145213,146518,145520,141925,139245,140456,138177,138597
"61","53","  Furniture, furnishings, electronics, and appliance stores","KS44230",15526,15563,15382,15153,15520,15482,15648,15470,15598,15771,15768,15769,15755,15960,16230,16336,16224,16204,16347,16448,16528,16675,16846,16841,17024,17256,17101,17353,17346,17581,17779,17836,17913,18013,18057,18332,18170,18427,18829,18814,18969,19432,19386,19678,19326,19678,20304,20075,20131,19932,20216,20256,20016,19708,19579,19600,19504,19654,19795,19758,20228,20353,20359,20320,20651,20468,20827,20843,21275,21376,21454,21519,21672,21953,21867,22056,22070,22519,22537,22569,22830,23299,23367,23341,23325,23686,24345,24681,25054,25036,25258,25730,25684,25454,25797,26605,26452,26503,26709,26934,27481,27781,27638,27716,27530,27334,27498,27863,28024,28254,28493,28528,28701,28727,28689,28683,28692,28619,28729,28949,29268,29582,29489,29305,29218,29405,29539,29524,29765,30273,30374,30197,29834,29522,29072,29213,28813,28869,29329,29257,29315,29215,27362,26907,26482,26039,25699,25552,25379,25146,24725,24602,24515,24679,24204,24118,24113,23872,24309,24451,24921,25052,25015,25154,25282,25157,25507,25762,25654,25325,25602
"62","54","  Building material and garden equipment and supplies dealers","KS4440",36455,36523,36694,36825,36964,37197,37167,37312,37722,37552,37531,37890,38036,38519,38500,38563,38067,38679,38974,39524,39529,39510,39917,40080,40344,40517,40757,40893,40942,41151,41365,41415,41407,41714,41861,42284,42325,42508,42412,42773,42816,42977,43200,43497,43566,43543,43875,43576,43749,43651,43618,43697,43927,43761,43434,43752,43749,43854,43661,43593,43825,43802,44225,44464,44302,44287,44237,44267,44633,45288,44996,45236,44704,45435,45623,45344,45261,45463,45436,45611,46436,46171,46205,46357,46243,46638,46942,47342,47710,47770,47970,47940,47707,48207,48276,48770,49731,49417,49149,48693,49116,49265,49283,49419,49990,50082,50614,51028,51281,50206,50975,50784,50661,50869,51363,51901,51438,51167,51198,51002,50589,50811,50173,51387,51158,51293,51061,50839,50188,50551,50379,50291,50380,49869,49551,49388,49138,48942,48831,48803,48638,48254,48041,47051,46428,46254,46402,45552,45079,44482,44066,43784,43663,43160,42205,42414,42401,42539,42874,42818,42962,42445,42209,42172,42474,42509,42723,42839,43199,43266,43458
"63","55","  Food and beverage stores","KS4450",32215,32250,32361,32300,32485,32492,32427,32769,32892,32727,32888,32672,32873,32743,32958,33234,33198,33479,33648,33558,33440,33441,33788,33774,34116,34166,34304,34202,34562,34745,34899,35113,35335,35365,35396,35536,35475,35502,35514,35483,35610,34977,34872,34897,35085,35058,34749,34898,35005,35125,35136,35196,35193,35299,35266,35268,35303,35477,35498,35351,35233,35307,35311,35298,35314,35316,35193,35354,35756,35027,35149,35524,35242,35226,35294,35004,34744,34499,34670,34628,34864,34398,34247,34245,34326,34244,34347,34393,34570,34584,34689,34653,34676,34629,34764,34651,34884,34845,34734,34761,34723,34784,34657,34752,34304,34564,34627,34547,34735,34889,34979,35086,35236,35277,35327,35339,35444,35447,35427,35457,35358,35192,35311,34942,35360,35663,35811,36168,36198,36405,36352,36469,36381,36419,36381,36535,36479,36470,36373,36331,36393,36466,36332,36168,36591,36646,36727,36687,36696,36455,36466,36240,36298,36228,36194,35582,35904,35816,35859,35596,35529,35624,35660,35649,35700,35563,35439,35395,35503,35293,35192
"64","56","  Clothing and clothing accessories stores","KS4480",27178,27491,26861,27642,27760,27648,27749,27577,27985,27963,27910,28164,28319,28250,28691,28841,28711,29045,29129,29216,29579,29458,29489,29508,29833,30101,29907,30033,30173,30431,30168,30114,29887,30126,30421,30991,30438,31092,31554,31840,32426,32240,32666,33136,33145,33748,33786,34054,33760,33913,33696,33524,33306,33428,33210,33209,33484,33877,33041,32901,33102,32786,32560,33051,33123,33534,34062,34050,34320,34299,34308,34750,35122,35096,35187,34970,34937,34834,35034,35101,35010,34914,35311,35252,35297,35460,35512,36133,36433,36473,36502,36914,37054,37335,37645,37694,38128,38436,38603,38540,38403,38923,38907,38998,39091,39300,39114,39164,39002,39366,40121,40440,40808,40975,40851,40922,41125,41241,41728,42485,42390,42941,42407,42013,42181,41901,41676,41632,41743,41461,41307,41426,41331,41147,40739,40833,40421,40299,40435,40206,40331,40204,39828,39320,38927,39048,38297,37650,37586,37359,36905,36649,36019,35722,35419,35113,34934,34673,34640,34683,34841,34864,34777,34776,34713,34696,34407,34915,35100,35064,35126
"65","57","  General merchandise stores","KS4520",61222,61767,61489,62130,62133,62331,62251,61771,62015,61593,61439,61742,61796,61719,61695,61723,60758,61652,61984,61967,62302,62322,62227,62123,62127,62315,62913,63390,63480,63475,63634,63898,63996,63664,64623,64935,65209,65475,65034,65089,65393,65704,65338,65437,65485,65962,65878,66013,66322,66387,67344,66983,67458,67530,66935,67871,67491,67489,66766,66175,66011,66270,65712,65531,66075,65624,66524,66681,66606,66577,67449,67641,67568,67333,67786,68738,68068,68036,68326,67794,68506,69145,68477,68652,68926,69392,70187,70245,70399,70976,70778,71230,71325,71576,72542,73177,73230,73371,74617,74510,74659,74603,74224,75091,75169,74824,74922,75387,74903,74379,74827,73620,74374,74496,75367,76007,76093,76789,77058,77026,77182,77451,77267,77369,77572,77398,76804,76771,76569,76768,75816,76829,77150,76897,75235,75801,75522,74961,75061,74536,75018,75035,74593,73837,73214,72444,72897,72090,71935,72151,71818,71367,71042,70893,70474,70797,70083,69668,70747,71209,71688,71855,72174,72367,72384,72341,72386,73376,73402,73570,73954
"66","58","    Department stores","KS45210",43164,43544,43490,43877,43854,44043,43882,43553,43731,43554,43419,43618,43500,43318,43216,43111,42314,42940,43237,43104,43144,42929,42751,42627,42779,42592,42970,43155,43092,43003,42992,42975,42855,42504,43207,43277,43318,43446,42983,42952,43108,43110,42601,42583,42425,42846,42716,42633,42788,42680,43076,42859,42914,42767,42055,42555,42463,41904,41226,40709,40186,40295,39818,39396,39273,39153,39394,39270,39016,38680,39168,39181,38935,38468,38663,39267,38579,38390,38148,37751,38005,38225,37599,37520,37643,37654,37908,37964,38028,38010,37965,38091,37788,38016,38164,38237,38189,38232,39224,38353,38190,38242,38320,38363,38296,38074,37948,38286,37714,37300,37384,37214,37219,36877,37193,37446,37577,37776,38066,38104,38217,38239,37970,38152,38000,38126,37910,37736,37616,37881,37098,37687,37303,37285,36680,36534,36434,35848,35748,35303,35488,35538,34883,34416,33842,33366,33644,33263,33028,33106,32768,32580,32368,32091,31617,31511,31651,31497,31442,31526,31757,31581,31728,31618,31288,31422,31394,31645,31649,31794,31823
"67","59","    Other general merchandise stores","KS45290",17737,17899,17667,17923,17950,17955,18043,17893,17958,17708,17691,17795,17976,18090,18172,18313,18157,18419,18449,18572,18875,19123,19211,19234,19080,19470,19688,19984,20142,20231,20406,20695,20921,20946,21197,21443,21681,21820,21850,21938,22087,22402,22555,22675,22887,22939,22988,23210,23365,23543,24108,23965,24390,24615,24743,25180,24889,25459,25421,25353,25724,25875,25798,26049,26727,26392,27058,27345,27529,27846,28229,28410,28588,28829,29087,29432,29458,29619,30159,30026,30485,30905,30866,31122,31274,31731,32274,32276,32367,32961,32809,33135,33534,33557,34377,34941,35041,35139,35393,36157,36470,36362,35905,36728,36874,36750,36974,37102,37189,37079,37442,36403,37153,37617,38173,38560,38513,39010,38988,38918,38962,39207,39291,39212,39563,39267,38890,39029,38946,38884,38707,39134,39822,39592,38543,39238,39064,39074,39267,39178,39473,39444,39636,39343,39280,38982,39159,38733,38806,38941,38939,38677,38561,38680,38721,39136,38309,38050,39152,39523,39772,40100,40272,40563,40890,40723,40793,41518,41539,41567,41912
"68","60","  Other retail stores","KS44X0",65651,66826,66534,67182,67947,68283,69264,68552,70042,70553,70826,71045,71312,72366,74111,74509,74500,75444,75882,76195,76481,76487,77371,78610,79165,78644,79422,79856,79929,80596,80222,80423,80923,81139,81251,81892,81244,81471,82100,81539,82873,83075,82675,83485,83159,83410,83605,83443,83428,83655,83086,83419,83148,82720,83320,83880,83489,83245,82690,83082,83209,82728,82407,82092,82482,82898,82978,82727,83121,82109,81790,81828,82118,82344,82672,82631,82234,81971,82586,81993,82078,82406,83355,82665,82407,82611,83324,83665,83391,83759,83790,84305,84742,84879,85352,85539,85653,86034,85479,85878,85757,85890,85347,85543,85665,84976,85544,85853,86819,86626,87061,87336,87495,88091,87126,88304,88837,89164,89376,89956,89737,90162,90347,89591,90967,90957,91149,91481,91157,91246,90376,91219,91230,90814,90516,90412,90543,90067,90521,89985,89808,90082,89577,89427,88953,88668,87805,87828,87361,87328,87326,86987,86056,85500,85628,86042,85684,85589,85975,86548,86583,86920,87086,87350,87718,86756,86702,86668,86653,86294,86858
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2005) dollar inventory series are calculated to ensure that the chained (2005) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in inventories for 2005 equals the current-dollar change in inventories for 2005 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
