"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174"
"11","3","  Durable goods manufacturing industries","PK30D3",98.473,98.421,98.51,98.428,98.122,98.087,97.959,97.827,97.714,97.55,97.504,97.385,97.281,97.183,97.105,96.929,96.786,96.667,96.631,96.478,96.421,96.311,96.291,96.103,95.908,95.872,95.798,95.716,95.752,95.743,95.648,95.639,95.599,95.709,95.702,95.739,95.792,95.847,95.89,95.811,95.751,95.782,95.874,95.818,95.898,95.707,95.753,95.709,95.687,95.52,95.559,95.494,95.521,95.5,95.476,95.328,95.387,94.871,94.935,95,94.866,94.915,94.927,94.835,94.805,94.899,94.754,94.683,94.81,94.785,94.77,94.609,94.594,94.549,94.782,94.439,94.471,94.434,94.563,94.543,94.606,94.805,95.003,95.002,95.141,95.662,96.261,96.825,97.394,97.565,97.624,98.202,98.577,98.828,98.916,99.301,99.714,99.856,99.907,99.894,99.791,99.674,99.865,99.818,100.138,100.267,100.417,100.584,101.259,101.52,101.823,102.227,102.898,103.224,103.291,103.723,104.051,103.781,104.315,104.515,104.59,104.555,104.655,105.118,105.3,105.273,105.203,104.856,104.552,105.183,105.352,105.219,105.662,106.156,106.807,107.796,108.744,109.283,110.046,110.388,110.261,110.231,109.254,108.479,108.024,107.564,107.213,106.884,106.711,106.663,106.558,107.023,107.187,107.611,107.959,108.092,108.35,108.63,108.888,109.508,109.779,109.405,109.109,109.074,109.219,109.659,109.827,109.886,110.215,111.067,111.544
"12","4","    Wood product manufacturing","PK3213",87.567,88.031,89.065,89.194,89.688,89.096,89.251,89.142,89.379,89.803,90.581,90.291,90.096,90.469,90.247,89.927,89.555,88.63,89.091,89.718,89.705,89.155,89.037,89.15,89.16,89.496,89.948,89.874,90.51,91.895,93.448,92.829,91.723,90.69,90.823,91.204,91.389,91.038,91.024,90.244,89.091,88.842,88.334,87.657,87.714,88.229,88.244,88.045,87.476,87.605,87.644,87.514,90.1,90.825,89.018,88.84,88.691,87.746,87.541,87.283,87.502,87.523,88.048,87.974,87.588,87.145,87.28,87.743,87.457,87.557,87.571,87.746,87.684,88.037,87.5,87.662,87.764,88.473,90.196,90.8,93.614,94.396,95.161,94.398,92.924,96.066,98.262,99.238,100.937,99.117,97.894,100.566,101.22,99.091,97.37,98.589,98.763,100.49,100.237,99.705,98.241,100.725,99.712,98.841,100.88,101.891,99.771,100.56,101.253,101.023,101.022,100.711,100.983,99.49,99.411,98.28,98.359,97.879,98.001,98.505,98.769,98.902,98.657,98.941,98.833,99.089,100.307,99.014,98.748,98.537,98.357,98.119,97.648,97.644,98.053,98.152,100.189,100.718,100.183,100.439,100.355,99.7,99.475,99.02,97.75,96.939,96.009,95.53,95.129,94.764,95.769,95.665,96.086,95.014,95.562,96.006,94.167,96.136,97.194,99.366,101.002,98.577,97.765,96.868,96.386,96.592,96.349,97.258,96.435,96.433,97.204
"13","5","    Nonmetallic mineral product manufacturing","PK3273",84.09,84.135,84.236,84.441,84.386,84.352,84.396,84.559,84.534,84.708,84.766,84.731,84.468,84.52,84.549,85.054,85.251,85.483,85.851,86.1,86.206,86.384,86.419,86.453,86.475,87.031,87.107,87.196,87.424,87.58,87.61,88.016,88.075,88.348,88.371,88.272,88.597,88.671,88.795,88.816,88.838,88.931,88.848,88.724,88.916,88.862,88.854,88.718,88.911,89.395,89.386,89.499,89.567,89.393,89.648,89.737,89.832,90.042,90.228,90.146,90.037,89.749,89.678,89.838,90.113,90.205,90.22,90.513,90.526,90.566,90.549,90.652,90.484,90.612,90.639,90.76,90.753,90.778,90.828,90.927,90.997,91.078,91.38,91.336,91.349,92.013,91.993,92.361,92.905,93.34,93.833,94.548,95.169,95.573,95.818,96.044,97.081,97.703,98.164,98.572,98.932,99.391,100.29,100.701,101.157,101.707,102.679,103.077,104.958,105.722,106.209,106.637,107.181,107.561,108.262,108.43,108.503,108.457,108.656,108.727,109.308,109.367,109.733,109.994,109.938,110.06,109.733,109.667,109.811,109.796,109.876,110,110.385,110.496,110.798,111.22,111.456,111.673,112.304,112.96,113.335,113.94,114.223,114.426,115.296,115.24,114.907,115.072,114.631,114.436,114.152,113.902,113.609,113.265,113.031,113.045,112.783,113.028,113.105,112.971,112.892,112.917,112.724,113.07,113.024,113.143,113.285,113.348,113.197,113.588,114.095
"14","6","    Primary metal manufacturing","PK3313",79.698,80.096,80.639,80.552,80.377,80.645,80.313,80.479,80.523,80.439,80.402,80.176,79.801,79.616,79.147,78.964,78.551,77.972,77.333,77.159,76.731,76.178,75.682,75.022,74.405,73.895,73.666,73.426,73.642,73.684,73.788,74.047,74.448,75.071,75.239,75.674,76.553,77.2,77.266,77.506,77.318,77.055,77.152,77.091,77.13,77.035,76.285,76.191,75.839,75.601,75.269,74.642,74.512,74.31,74.031,73.761,73.502,73.098,72.916,72.876,72.803,72.709,73.132,73.156,73.628,74.375,74.758,74.919,75.431,75.566,75.938,76.132,76.134,76.185,76.005,75.489,75.445,75.439,75.367,75.704,75.973,76.608,77.433,78.529,80.307,83.172,85.541,88.827,91.002,90.959,92.427,95.101,96.855,98.219,99.449,100.692,102.452,102.914,102.06,100.852,99.336,97.581,96.684,95.784,97.174,99.227,102.075,103.884,106.211,107.398,107.849,109.683,114.708,116.758,119.474,120.406,121.428,122.29,121.411,121.969,118.802,119.244,120.883,125.432,127.476,127.013,126.714,123.596,121.215,121.02,121.31,121.022,122.288,125.435,131.226,136.806,143.057,147.096,149.873,149.688,146.02,135.89,125.669,116.659,111.697,107.971,105.824,103.184,102.76,103.366,104.284,109.187,112.918,114.644,114.133,116.241,118.956,120.788,122.367,126.374,128.451,126.181,122.98,121.743,123.894,125.881,128.146,128.531,130.777,135.098,138.033
"15","7","    Fabricated metal product manufacturing","PK3323",84.84,84.915,85.059,85.16,85.22,85.276,85.424,85.534,85.574,85.739,85.755,85.765,85.875,85.975,86.043,86.093,86.224,86.337,86.339,86.315,86.354,86.36,86.511,86.5,86.449,86.44,86.41,86.492,86.52,86.563,86.601,86.642,86.761,86.901,87.04,87.072,87.208,87.273,87.459,87.552,87.603,87.738,87.814,87.846,87.878,87.977,88.022,88.081,88.268,88.293,88.361,88.422,88.491,88.468,88.512,88.53,88.537,88.602,88.573,88.647,88.723,88.696,88.692,88.748,88.793,88.834,88.981,88.977,89.028,89.069,89.097,89.109,89.138,89.164,89.219,89.19,89.182,89.202,89.331,89.363,89.412,89.463,89.69,89.839,90.457,91.17,92.484,93.69,94.688,95.32,95.727,96.431,96.97,97.322,97.638,97.813,98.433,99.135,99.469,99.77,99.842,99.983,99.956,100.139,100.29,100.62,100.921,101.236,101.84,102.082,102.486,102.976,103.402,103.985,104.769,105.338,105.564,106.034,106.244,106.639,107.22,107.659,108.091,108.529,108.932,108.702,108.806,109.22,109.1,109.48,109.786,110.333,111.34,112.154,113.135,114.946,116.405,117.417,119.019,120.029,120.406,120.423,120.303,120.026,120.108,119.411,118.834,118.019,117.606,117.223,116.817,116.607,116.796,116.915,116.889,116.96,117.135,117.614,117.835,118.1,118.484,118.689,118.774,118.895,118.806,118.897,119.338,119.679,120.414,121.124,121.717
"16","8","    Machinery manufacturing","PK3333",88.808,88.901,89.009,89.138,89.209,89.205,89.357,89.455,89.486,89.579,89.604,89.682,89.797,89.901,90.003,90.086,90.138,90.233,90.319,90.389,90.541,90.562,90.636,90.729,90.878,90.964,91.012,91.141,91.213,91.231,91.291,91.348,91.332,91.452,91.444,91.52,91.595,91.699,91.745,91.771,91.83,91.978,92.102,92.154,92.237,92.238,92.292,92.375,92.547,92.61,92.778,92.836,92.925,93.074,93.076,93.2,93.241,93.28,93.393,93.392,93.405,93.477,93.611,93.576,93.611,93.635,93.747,93.746,93.845,94.003,94.032,94.023,94.126,94.118,94.127,94.223,94.293,94.39,94.425,94.496,94.562,94.668,94.755,94.814,94.956,95.213,95.504,95.821,96.044,96.255,96.612,96.754,97.081,97.362,97.664,97.828,98.502,98.793,99.168,99.366,99.796,99.959,100.185,100.404,100.537,100.781,101.017,101.256,101.77,101.977,102.164,102.313,102.626,102.927,103.21,103.49,103.836,104.241,104.514,104.714,105.26,105.588,105.859,106.183,106.233,106.314,106.465,106.734,106.933,107.156,107.489,107.698,108.143,108.531,108.9,109.403,110.008,110.572,111.876,112.375,112.872,113.306,113.785,113.93,114.175,114.103,114.157,114.092,114.103,113.976,114.057,113.947,114.042,114.026,114.053,114.127,113.93,113.945,114.105,114.287,114.306,114.222,114.277,114.53,114.557,114.621,114.692,114.884,115.437,115.764,115.971
"17","9","    Computer and electronic product manufacturing","PK3343",147.03,146.037,145.521,144.949,142.786,142.173,141.78,140.293,139.823,138.846,138.342,138.017,137.099,136.109,135.482,134.237,133.549,133.135,132.503,131.444,131.019,130.415,130.01,129.233,128.401,127.887,127.528,126.798,126.338,125.791,124.76,124.331,123.933,123.628,123.337,122.871,122.106,121.64,121.364,121.043,120.437,120.502,120.761,120.526,120.381,120.059,119.854,119.421,119.086,118.724,118.32,117.704,117.486,117.058,116.633,115.582,115.498,115.242,115.103,114.976,114.523,114.147,114.114,113.464,113.278,113.021,112.318,111.807,111.667,111.145,110.73,109.686,109.073,108.238,107.945,107.956,107.822,107.35,106.826,105.471,105.049,104.59,104.688,104.01,103.667,103.442,103.156,103.15,103.009,102.875,102.562,102.386,102.07,101.887,101.448,101.583,100.99,100.849,100.666,100.502,100.278,100.136,100.135,100.19,99.554,99.27,98.947,98.62,98.351,98.182,98.585,98.871,98.827,98.703,98.719,98.748,98.856,98.424,98.426,98.377,98.194,96.945,96.343,96.32,95.735,95.646,94.871,94.193,93.882,93.479,93.232,92.881,92.643,92.804,92.575,92.551,92.661,92.652,92.581,92.396,92.29,92.259,92.149,91.908,91.655,91.356,91.233,91.03,91.104,90.849,90.912,91.004,90.613,90.673,90.526,90.356,89.932,90.051,90.029,89.794,89.736,89.542,89.564,89.462,89.155,88.932,88.121,87.933,87.36,87.962,87.908
"18","10","    Electrical equipment, appliance, and component manufacturing","PK3353",93.848,93.998,94.26,94.262,94.449,94.471,94.32,94.216,94.201,94.052,94,94.004,93.922,93.77,93.931,93.915,93.922,94.067,94.019,94.015,94.032,93.889,93.826,93.733,93.663,93.442,93.382,93.299,93.441,93.377,93.614,93.724,93.84,93.936,93.896,93.861,94.004,94.192,94.255,94.203,94.286,94.276,94.407,94.415,94.362,94.438,94.326,94.225,94.272,94.317,94.341,94.249,94.303,94.247,94.16,94.002,94.049,93.925,93.9,93.935,93.966,93.986,93.702,93.704,93.624,93.692,93.65,93.671,93.543,93.465,93.431,93.4,93.527,93.082,93.103,93.082,93.142,93.168,93.089,93.121,93.095,93.149,93.236,93.48,93.578,93.898,94.748,95.358,96.001,96.089,96.164,96.331,96.629,97.017,97.065,97.336,98.341,98.747,99.166,99.344,99.366,99.635,99.847,99.847,100.277,100.919,101.911,102.457,103.049,103.422,103.897,105.098,106.969,108.392,108.514,109.39,109.421,109.46,109.239,109.133,108.97,109.005,109.359,110.341,111.398,111.579,112.159,112.469,112.659,113.278,113.284,113.292,114.108,114.602,115.733,116.068,116.521,116.815,117.765,117.768,118.195,117.938,116.22,115.782,115.609,115.538,115.808,116.326,116.712,116.681,116.743,117.5,117.662,117.961,118.367,118.735,119.136,119.053,119.241,119.746,119.794,119.75,119.547,119.698,119.596,120.1,120.802,121.649,122.007,122.416,122.792
"19","11","    Transportation equipment manufacturing","PK3363",96.369,96.327,96.334,96.152,96.011,96.159,95.843,95.982,95.703,95.433,95.369,95.197,95.379,95.429,95.525,95.511,95.388,95.351,95.578,95.449,95.47,95.604,95.805,95.705,95.581,95.75,95.637,95.703,95.795,95.774,95.631,95.711,95.761,96.048,96.065,96.22,96.363,96.381,96.518,96.515,96.812,96.785,96.854,96.798,97.056,96.435,96.907,97.015,97.024,96.503,96.855,97.129,96.823,96.91,97.343,97.422,97.71,96.2,96.51,96.837,96.589,96.919,96.82,96.743,96.616,96.823,96.387,96.227,96.513,96.498,96.529,96.379,96.549,96.703,97.71,96.577,96.722,96.638,96.988,97.338,97.23,97.726,97.821,97.765,97.806,97.8,98.156,98.182,98.529,98.973,98.665,98.886,99.152,99.669,99.694,100.067,100.314,99.849,99.89,100.022,100.073,99.574,100.306,100.271,100.677,99.991,99.604,99.482,100,100.3,100.548,100.724,100.805,100.996,99.702,100.564,101.129,99.77,101.644,101.635,102.158,102.132,101.944,101.715,101.727,101.802,101.792,101.621,101.255,103.397,103.68,103.194,103.613,103.67,103.338,103.91,103.968,103.526,103.656,104.139,104.245,107,106.696,106.802,106.545,106.51,106.29,106.346,106.11,106.327,105.733,106.022,105.595,106.626,107.96,107.632,108.349,108.33,108.197,108.668,108.58,108.24,108.114,108.299,108.337,109.173,109.139,108.914,109.305,109.468,109.524
"20","12","      Motor vehicle and parts manufacturing","PK3MV3",101.378,101.306,101.319,101.102,100.852,101.051,100.55,100.735,100.349,100.005,99.893,99.635,99.863,99.907,100.028,99.831,99.608,99.539,99.993,99.823,99.794,99.808,100.097,99.935,99.777,99.986,99.825,99.964,100.101,100.033,99.778,99.883,99.891,100.191,100.158,100.298,100.326,100.117,100.277,100.211,100.592,100.432,100.464,100.358,100.629,99.678,100.284,100.411,100.297,99.467,99.935,100.267,99.798,99.827,100.39,100.434,100.759,98.542,99.001,99.423,98.996,99.446,99.273,99.2,99.026,99.264,98.527,98.236,98.592,98.531,98.525,98.254,98.369,98.536,99.824,98.213,98.349,98.139,98.541,98.916,98.716,99.174,99.308,99.148,99.069,99.025,99.449,99.353,99.811,100.256,99.599,99.747,100.046,100.572,100.493,100.869,100.934,100.241,100.057,100.271,100.235,99.517,100.435,100.258,100.745,99.598,99.034,98.745,99.055,99.448,99.663,99.724,99.802,100.002,98.097,99.218,99.962,97.866,100.39,100.272,100.848,100.709,100.357,99.962,99.874,99.849,99.618,99.244,98.61,101.639,101.995,101.231,101.521,101.505,100.934,101.476,101.389,100.468,100.306,100.81,100.729,105.089,104.453,104.473,104.152,103.926,103.683,103.989,103.768,104.206,103.006,103.468,102.727,104.417,104.811,104.322,104.703,104.632,104.277,104.461,104.205,103.568,103.125,103.352,103.357,104.488,104.421,104.055,104.449,104.54,104.619
