"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"11","3","S1 PN441ZZZMG   Motor vehicle and parts dealers","T070033",84.556,84.343,84.426,85.001,85.406,85.49,85.427,85.757,85.903,86.057,86.178,86.339,86.664,86.843,87.077,87.643,88.008,88.383,88.798,89.021,89.328,89.782,90.226,90.187,90.265,90.446,90.802,91.091,91.392,91.763,92.117,92.473,92.836,93.487,94.019,94.276,94.682,94.847,95.456,95.417,95.435,95.631,95.38,95.525,95.402,95.62,95.833,96.238,96.594,97.026,97.283,97.071,97.139,97.033,96.832,97.263,97.496,97.493,97.324,97.606,97.542,97.916,98.18,97.749,97.57,97.355,97.469,97.417,97.54,97.863,97.444,97.281,97.38,97.204,96.977,97.093,96.65,96.523,97.074,97.26,97.36,97.345,97.698,97.702,97.717,97.607,97.592,97.61,97.671,97.886,98.241,98.489,98.686,98.647,98.735,98.442,98.498,98.479,98.837,98.93,99.194,99.275,99.063,98.684,98.95,99.062,99.37,99.897,100.028,99.92,99.921,99.894,99.974,99.967,100.248,100.162,99.091,99.988,100.135,100.205,100.008,99.666,99.697,99.84,99.915,99.663,99.966,100.082,100.123,100.22,99.999,99.755,99.064,98.804,98.875,98.688,98.487,98.251,98.255,97.767,97.582,96.79,96.863,96.912,97.147,97.553,97.779,97.988,98.235,98.418,97.984,97.497,98.021,98.141,98.823,99.09,99.22,99.353,99.451,99.659,100.008,100.15,100.002,99.775,100.094,100.661,100.725,100.903,101.043,101.057,101.151,101.26,101.195,101.101,101.408,101.512,101.267,101.356,101.139,100.957,101.046,100.913,101.12,101.122,101.102,101.065,101.212,101.301,101.456,101.549,101.918,101.852,101.812,101.559,101.425,101.328,101.469,101.34,101.546,101.31,101.166,100.733,100.262,99.545,99.518,99.717,99.995,100.327,100.778,101.355,101.154,101.511,102.143,103,103.535,103.837
"12","4","S4 PN4411ZZMG     Automobile dealers","T070043",83.706,83.464,83.503,84.156,84.578,84.714,84.653,85.02,85.188,85.39,85.52,85.701,86.066,86.288,86.613,87.232,87.688,88.163,88.641,88.91,89.243,89.789,90.299,90.208,90.275,90.444,90.85,91.154,91.487,91.922,92.325,92.742,93.195,93.947,94.472,94.743,95.183,95.351,96.025,95.992,95.986,96.227,95.958,96.1,95.954,96.206,96.437,96.898,97.257,97.725,98.018,97.762,97.835,97.714,97.57,98.032,98.302,98.324,98.155,98.439,98.359,98.766,99.09,98.635,98.413,98.141,98.229,98.198,98.345,98.724,98.262,98.087,98.163,97.976,97.748,97.938,97.435,97.238,97.858,98.059,98.188,98.123,98.504,98.503,98.521,98.416,98.396,98.425,98.507,98.758,99.149,99.406,99.575,99.568,99.603,99.307,99.322,99.27,99.628,99.784,100.065,100.165,99.898,99.52,99.772,99.859,100.154,100.686,100.765,100.64,100.602,100.605,100.681,100.668,100.966,100.877,99.607,100.628,100.795,100.889,100.662,100.261,100.267,100.401,100.467,100.231,100.49,100.588,100.639,100.744,100.463,100.218,99.342,99.021,99.137,98.929,98.71,98.43,98.441,97.844,97.656,96.774,96.803,96.853,97.086,97.501,97.749,97.981,98.258,98.413,97.977,97.457,97.997,98.176,98.945,99.248,99.28,99.435,99.525,99.761,100.117,100.218,99.951,99.609,99.939,100.589,100.699,100.878,101.002,100.981,101.019,101.047,100.896,100.767,100.986,101.01,100.785,100.857,100.534,100.431,100.489,100.339,100.508,100.507,100.497,100.438,100.546,100.662,100.827,100.866,101.22,101.114,100.952,100.627,100.41,100.27,100.367,100.111,100.213,99.881,99.621,98.932,98.251,97.443,97.429,97.617,97.892,98.24,98.794,99.433,99.266,99.702,100.443,101.403,102.06,102.415
"13","5","S4 PN4412ZZMG     Other motor vehicle dealers","T070053",85.741,86.219,86.615,87.512,87.898,87.621,87.643,87.286,87.046,87.455,87.585,87.664,87.61,87.848,87.623,88.036,88.126,88.605,88.516,88.691,88.729,89.238,89.342,88.947,89.258,89.927,90.104,90.583,90.849,90.675,91.165,91.059,91.057,91.895,92.391,92.691,93.247,93.151,93.585,93.647,93.296,93.481,93.351,93.56,93.607,93.507,93.64,93.566,94.109,94.912,95.254,95.202,95.22,94.854,94.146,94.766,94.763,94.017,93.616,94.426,94.479,94.527,94.673,94.467,94.286,94.357,94.56,94.503,94.494,94.559,94.195,94.296,94.837,94.471,94.149,94.239,94.089,94.153,94.526,94.76,94.582,94.494,95.235,95.563,95.339,95.512,95.846,95.749,95.798,95.907,96.285,96.512,96.695,96.378,96.574,96.13,96.474,96.861,97.401,97.613,97.757,97.75,97.718,97.332,97.615,97.901,97.999,98.492,98.737,98.518,98.615,98.443,98.81,98.833,98.748,98.779,98.851,98.831,98.771,98.677,98.398,98.295,98.269,98.439,98.675,97.795,98,98.218,98.217,98.733,98.65,98.462,98.596,98.487,98.273,98.258,98.016,98.155,98.042,98.092,97.834,97.075,97.596,97.716,97.966,98.708,98.9,99.022,99.126,99.635,98.527,97.887,98.507,97.821,97.994,98.181,98.808,98.672,98.865,98.993,99.439,100.013,100.618,101.004,101.179,101.295,100.551,100.562,100.779,100.914,101.06,101.634,101.572,101.553,102.563,103.343,102.339,102.544,102.853,101.575,101.814,101.512,101.9,101.85,101.464,101.561,101.764,101.553,101.238,101.239,101.783,101.549,102.333,102.01,101.967,102.386,102.654,103.028,103.756,103.246,103.473,104.343,104.333,103.617,103.283,103.44,103.723,104.097,104.13,104.68,104.245,104.198,104.521,105.21,104.733,104.449
"14","6","S2 PN4413ZZMG     Automotive parts, accessories and tire stores","T070063",91.21,90.947,91.3,91.022,91.276,91.035,90.913,91.201,91.323,90.917,90.955,90.959,91.107,90.846,90.476,90.613,90.286,89.709,89.781,89.602,89.793,89.38,89.352,89.958,90.033,90.111,90.067,90.136,90.146,90.181,90.022,90.034,89.755,89.394,90.009,90.124,90.133,90.401,90.505,90.365,90.781,90.569,90.428,90.564,90.558,90.637,90.711,90.841,91.08,91.003,90.888,90.999,91.046,91.201,90.73,90.79,90.806,90.959,90.903,90.91,90.917,91.169,90.955,90.638,90.83,90.98,91.273,91.035,91.027,90.978,90.912,90.716,90.79,90.81,90.647,90.108,90.06,90.47,90.475,90.502,90.5,90.983,90.846,90.72,90.841,90.526,90.349,90.328,90.197,90.129,90.13,90.292,90.766,90.602,91.128,90.965,91.244,91.274,91.526,90.904,91.084,91.033,91.259,90.87,91.259,91.503,92.074,92.579,93.144,93.309,93.66,93.423,93.338,93.361,93.712,93.596,93.796,94.017,94.14,94.096,94.289,94.376,94.713,94.934,94.981,95.025,95.863,96.1,96.066,95.753,96.061,95.775,96.447,96.72,96.53,96.436,96.453,96.385,96.404,96.647,96.557,96.701,96.86,96.823,97.066,97.049,97.067,97.122,97.173,97.342,97.556,97.565,97.837,98.058,98.266,98.224,98.932,99.103,99.205,99.208,99.375,99.529,99.972,100.397,100.711,100.855,101.196,101.516,101.758,102.011,102.626,103.121,103.939,104.117,104.683,104.993,105.23,105.389,105.769,105.82,106.088,106.293,106.719,106.796,107.032,107.09,107.586,107.68,108.181,108.922,109.294,109.804,110.268,110.825,111.441,111.313,111.76,112.374,113.073,113.928,114.489,115.16,116.001,115.983,116.097,116.422,116.732,116.902,116.857,116.978,116.697,116.7,116.68,116.829,117.23,117.606
"15","7","S1 PN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T070073",147.576,148.402,148.996,149.676,148.811,148.808,149.269,148.765,148.531,149.153,149.556,148.389,148.568,148.682,149.023,149.369,148.885,149.203,149.248,149.508,149.37,150.014,150.008,149.985,150.469,150.316,149.828,150.126,151.039,151.412,151.65,151.338,150.856,150.376,150.001,149.412,149.845,150.501,150.243,150.492,150.236,149.176,149.536,149.881,149.725,149.438,148.457,148.756,148.771,148.597,148.364,148.304,147.415,147.478,147.281,147.644,147.499,147.285,146.75,146.291,145.683,145.88,145.579,144.526,144.606,144.516,143.588,142.81,142.735,142.342,141.671,141.547,140.868,140.402,140.581,140.806,139.603,139.167,139.094,138.023,137.367,136.883,135.847,135.307,135.142,134.544,133.956,134.06,132.904,132.438,132.158,131.266,130.819,130.058,129.231,129.013,128.927,128.579,128.851,128.284,128.379,127.708,127.611,126.812,127.212,126.57,125.946,125.26,124.758,124.287,123.221,123.012,121.937,121.468,121.096,120.143,119.661,119.178,118.757,118.121,117.676,116.95,116.483,116.311,116.209,115.704,115.084,114.581,113.95,113.572,112.764,112.173,111.645,111.076,110.551,110.221,109.018,108.401,108.083,107.424,106.862,106.777,106.344,105.886,105.821,105.744,105.428,105.199,104.62,104.574,103.839,103.249,103.026,102.971,102.325,101.791,101.82,101.199,101.311,101.249,101.034,100.249,99.896,99.228,98.947,98.549,98.309,98.208,97.876,97.482,97.194,96.787,96.145,95.603,95.316,95.226,94.491,94.298,93.778,93.315,92.672,92.692,92.339,91.809,91.283,90.984,90.36,89.713,89.382,88.917,88.271,87.897,87.823,87.492,87.395,86.309,85.925,85.783,85.611,85.424,85.156,84.682,83.978,83.257,82.861,82.586,82.261,81.998,81.594,81.167,80.115,78.991,78.692,78.01,77.676,77.245
"16","8","S1 PN442ZZZMG     Furniture and home furnishings stores","T070083",98.832,99.504,100.421,101.286,100.106,100.38,100.752,100.047,99.817,100.461,101.17,100.143,100.246,100.246,100.979,101.383,100.854,101.344,101.475,101.709,101.709,102.3,102.367,102.488,103.3,102.98,102.27,102.961,104.206,104.633,104.898,104.52,103.785,103.461,103.197,102.487,102.995,103.984,104.157,104.237,103.914,103.716,104.474,105.216,105.366,105.395,104.297,104.833,105.44,105.166,104.987,105.338,104.775,105.093,105.006,105.617,106.096,105.746,105.293,105.282,105.204,105.582,105.721,105.954,106.494,106.393,105.782,105.257,105.483,105.462,104.821,105.123,104.989,105.163,105.844,106.6,106.002,106.142,106.814,106.437,106.061,106.051,105.765,105.981,106.049,105.74,105.862,106.686,105.564,105.527,105.781,105.369,105.61,105.108,104.505,104.356,104.786,105.049,106.004,105.891,105.181,104.801,105.467,105.172,106.256,105.992,105.926,105.6,105.52,105.595,105.161,105.441,104.655,104.582,104.552,104.15,104.142,103.794,103.787,103.394,103.282,102.896,103.031,103.288,103.415,103.297,103.188,102.879,102.935,102.748,102.369,101.922,101.793,101.718,101.345,101.632,100.669,100.598,100.809,100.576,100.341,100.377,99.938,99.742,100.21,100.428,100.471,100.347,99.959,100.712,100.115,99.574,99.615,100.202,100.033,99.858,100.088,99.771,100.34,100.507,100.61,99.848,99.969,99.685,99.455,99.45,99.881,100.396,100.344,100.017,99.792,99.966,99.97,100.065,100.044,100.403,99.822,100.001,99.887,99.488,99.224,99.674,99.649,99.202,99.042,99.281,98.919,98.462,98.148,97.54,97.65,97.47,97.846,97.757,98.326,97.113,96.993,97.3,97.619,97.864,98.187,98.024,97.467,96.844,97.038,97.287,97.799,97.881,97.837,97.892,97.346,96.19,96.725,96.14,95.476,95.43
"17","9","S4 PN4421ZZMG       Furniture Stores","T070093",98.607,99.97,101.56,102.491,100.53,100.994,101.51,100.487,100.409,101.589,102.118,101.283,101.736,101.311,102.199,102.34,101.903,102.472,102.153,102.446,102.97,103.76,103.667,103.773,104.526,104.344,104.179,105.166,105.948,106.509,106.56,106.356,105.275,105.061,104.548,104.361,104.759,105.709,106.034,106.059,105.7,105.722,106.633,107.191,107.255,107.033,106.553,107.448,107.793,107.154,107.008,107.717,107.16,107.932,107.717,107.996,108.576,107.811,107.726,107.725,106.787,106.915,107.577,107.902,109.049,108.835,107.704,107.444,107.793,107.848,107.136,106.775,106.345,106.751,107.681,108.22,107.436,107.644,108.451,108.035,107.445,107.223,107.014,107.586,107.314,107.25,107.726,108.472,107.081,107.094,107.376,107.004,107.384,106.672,106.211,106.234,106.747,106.955,107.788,107.004,106.248,105.671,106.152,106.024,107.742,107.144,107.004,106.599,106.079,106.274,106.125,106.335,105.527,105.328,105.137,104.58,104.532,104.055,103.966,103.544,103.084,103.016,103.322,103.339,103.468,103.456,103.375,102.962,102.922,102.816,102.484,102.362,102.147,102.379,101.974,102.247,101.613,101.497,101.62,101.412,101.234,100.927,100.437,100.497,101.112,101.581,101.602,101.154,100.738,102.09,101.216,100.351,100.371,100.817,100.314,100.28,100.441,99.648,100.423,100.668,100.792,99.612,99.811,99.371,99.263,99.366,99.99,100.735,100.634,100.286,100.062,100.627,100.862,101.025,100.798,100.922,100.161,100.392,100.145,99.78,99.597,100.389,100.555,100.305,99.886,100.023,99.622,99.179,98.646,97.834,98.084,97.492,97.718,97.747,99.121,98.109,97.387,97.759,98.176,98.271,98.739,98.778,98.032,97.049,97.287,97.723,98.541,98.932,99.035,98.998,98.286,96.746,97.387,96.86,96.206,96.318
"18","10","S4 PN4422ZZMG       Home furnishings stores","T070103",99.618,99.246,99.135,99.906,99.919,99.901,100.054,99.827,99.365,99.202,100.186,98.867,98.458,99.072,99.574,100.38,99.71,100.082,100.89,101.034,100.259,100.559,100.862,101.004,101.908,101.386,99.903,100.18,102.078,102.325,102.893,102.274,102.013,101.528,101.601,100.169,100.835,101.881,101.844,101.992,101.713,101.21,101.762,102.757,103.022,103.395,101.453,101.528,102.491,102.71,102.488,102.344,101.77,101.489,101.577,102.627,102.977,103.17,102.24,102.216,103.274,103.991,103.432,103.544,103.292,103.339,103.408,102.536,102.602,102.482,101.929,103.114,103.371,103.228,103.576,104.617,104.264,104.316,104.813,104.487,104.387,104.65,104.261,104.027,104.525,103.906,103.593,104.53,103.746,103.644,103.853,103.385,103.455,103.21,102.435,102.073,102.396,102.723,103.824,104.537,103.885,103.755,104.66,104.155,104.455,104.594,104.614,104.389,104.861,104.795,104.015,104.384,103.623,103.702,103.868,103.655,103.697,103.513,103.608,103.243,103.554,102.766,102.687,103.236,103.362,103.114,102.972,102.787,102.957,102.676,102.244,101.424,101.399,100.974,100.641,100.945,99.606,99.586,99.897,99.635,99.337,99.761,99.382,98.892,99.186,99.115,99.183,99.426,99.07,99.129,98.845,98.676,98.744,99.497,99.718,99.381,99.69,99.923,100.256,100.336,100.415,100.137,100.165,100.063,99.688,99.557,99.761,100.009,100.01,99.705,99.478,99.215,98.963,98.982,99.189,99.814,99.434,99.552,99.589,99.15,98.794,98.858,98.617,97.947,98.079,98.432,98.115,97.641,97.573,97.194,97.149,97.438,97.991,97.767,97.417,95.972,96.545,96.78,96.993,97.411,97.566,97.177,96.827,96.62,96.778,96.816,96.97,96.698,96.486,96.645,96.292,95.578,95.993,95.338,94.661,94.432
"19","11","S1 PN443ZZZMG     Electronics and appliance stores","T070113",227.238,228.168,227.596,227.505,227.848,227.082,227.616,227.845,227.68,228.013,227.444,226.303,226.616,226.996,226.185,226.265,226.055,225.828,225.646,225.9,225.467,226.075,225.894,225.531,225.137,225.41,225.574,224.876,224.8,224.969,225.098,225.001,225.193,224.455,223.891,223.66,223.826,223.642,222.514,223.07,222.987,220.304,219.778,219.245,218.489,217.606,216.996,216.769,215.612,215.65,215.337,214.475,213.058,212.61,212.222,212.039,210.69,210.771,210.15,208.861,207.277,207.082,205.941,202.47,201.635,201.582,200.151,198.975,198.324,197.252,196.6,195.658,193.997,192.357,191.57,190.778,188.561,187.104,185.697,183.482,182.38,181.096,178.813,176.974,176.413,175.356,173.57,172.436,171.292,170.121,168.955,167.307,165.715,164.566,163.406,163.08,162.133,160.786,159.911,158.622,160.048,158.932,157.562,155.978,155.251,154.032,152.539,151.319,150.179,148.854,146.835,145.866,144.379,143.307,142.419,140.653,139.471,138.8,137.784,136.806,135.878,134.669,133.339,132.559,132.134,131.092,129.773,129.004,127.432,126.803,125.422,124.644,123.581,122.358,121.639,120.481,118.973,117.64,116.635,115.439,114.47,114.238,113.811,113.027,112.301,111.859,111.1,110.741,109.934,108.948,108.048,107.399,106.862,106.055,104.857,103.91,103.714,102.754,102.363,102.048,101.485,100.674,99.806,98.723,98.387,97.565,96.615,95.867,95.256,94.798,94.446,93.454,92.172,91.009,90.469,89.956,89.083,88.547,87.663,87.151,86.178,85.814,85.171,84.573,83.732,82.977,82.14,81.344,81.001,80.654,79.411,78.891,78.466,77.955,77.354,76.386,75.815,75.352,74.837,74.351,73.686,73.017,72.234,71.465,70.693,70.095,69.256,68.785,68.171,67.461,66.141,65.084,64.299,63.593,63.467,62.831
"20","12","S1 PN444ZZZMG   Building material and garden equipment and supplies dealers","T070123",81.766,83.218,84.233,84.672,84.662,84.211,83.92,83.874,84.41,84.351,84.719,85.887,87.281,89.361,91.565,92.569,92.166,90.933,90.743,90.576,90.935,91.868,92.799,93.45,94.419,93.826,94.434,93.457,93.07,93.571,93.22,93.063,93.371,93.33,93.671,93.53,93.629,93.318,93.819,93.868,93.844,93.353,93.385,93.762,94.068,93.807,93.354,93.415,93.372,93.426,93.604,93.556,94.711,94.789,94.502,95.279,96.219,95.389,95.976,96.206,96.411,97.05,97.607,97.644,97.959,97.453,97.446,97.156,96.988,96.03,96.03,95.772,95.663,95.658,95.578,95.181,94.458,93.741,93.936,94.113,93.16,92.304,92.229,92.451,92.6,93.013,93.365,93.383,93.815,94.844,95.96,95.502,94.454,93.617,93.684,94.043,94.247,94.359,94.885,94.501,93.651,93.609,93.348,92.559,92.675,92.77,92.746,92.775,92.719,92.723,92.814,92.649,93.992,94.308,93.392,93.501,93.263,92.124,91.598,91.224,91.479,91.797,92.527,92.677,92.335,92.167,92.274,92.46,92.162,91.696,91.657,91.54,91.576,92.059,91.997,91.912,91.973,92.059,92.664,92.887,94.556,94.648,94.902,94.801,95.257,96.881,98.141,99.334,100.18,99.152,98.875,99.836,99.913,98.705,97.665,97.966,98.706,99.651,100.101,100.255,99.581,100.404,100.127,99.733,100.474,100.906,99.918,100.145,100.872,101.324,101.378,101.368,101.37,100.557,100.197,99.636,99.801,98.879,99.412,99.964,100.437,101.077,101.558,101.417,101.25,101.651,101.845,101.201,101.062,100.939,100.823,101.111,101.226,101.581,102.221,102.616,103.668,103.875,104.373,104.707,104.891,104.209,102.875,102.313,101.154,100.393,99.826,100.065,100.196,100.101,100.156,99.174,99.18,98.937,99.053,99.455
"21","13","S2 PN4441ZZMG     Building material and supplies dealers","T070133",81.049,82.755,83.872,84.38,84.388,83.778,83.505,83.511,84.157,84.168,84.6,85.796,87.438,89.997,92.587,93.725,93.292,91.917,91.485,91.243,91.71,92.728,93.664,94.367,95.57,94.765,95.472,94.391,93.881,94.373,93.967,93.805,94.124,94.085,94.534,94.395,94.486,94.134,94.636,94.636,94.6,93.988,93.997,94.316,94.582,94.168,93.398,93.294,93.158,93.172,93.174,92.998,94.262,94.489,94.137,94.99,95.924,95.241,96.003,96.094,96.457,97.248,97.725,97.716,98.065,97.629,97.771,97.446,97.192,96.32,96.338,96.092,96.069,96.222,96.34,96.046,95.251,94.406,94.538,94.876,94.037,93.112,92.978,93.303,93.527,94.075,94.552,94.456,95.015,96.157,97.567,96.961,95.672,94.628,94.807,95.143,95.382,95.332,95.808,95.355,94.285,94.21,93.912,93.13,93.101,93.139,93.061,92.909,92.528,92.632,92.838,92.741,94.362,94.715,93.735,93.838,93.583,92.382,91.877,91.568,91.892,92.323,93.09,93.194,92.79,92.491,92.49,92.66,92.261,91.754,91.722,91.589,91.532,91.984,91.774,91.715,91.789,91.912,92.585,92.826,94.548,94.641,94.713,94.555,95.011,96.752,98.007,99.112,100.033,99.027,98.658,99.984,100.092,98.79,97.641,98.016,98.811,99.924,100.378,100.463,99.651,100.438,100.054,99.54,100.323,100.781,99.727,99.911,100.6,101.188,101.261,101.24,101.249,100.373,99.989,99.397,99.652,98.571,98.977,99.401,99.791,100.205,100.535,100.338,100.198,100.592,100.744,100.097,99.913,99.613,99.269,99.316,99.074,99.196,99.581,99.806,100.658,100.507,100.608,100.775,100.987,100.404,99.452,99.333,98.307,97.808,97.286,97.54,97.742,97.719,98.006,97.072,97.198,96.898,96.93,97.173
"22","14","S3 PN4442ZZMG     Lawn and garden equipment and supplies stores","T070143",84.793,84.86,85.325,85.376,85.264,85.72,85.348,85.013,84.92,84.466,84.484,85.491,85.468,84.808,84.801,85.068,84.861,84.44,85.597,85.859,85.611,86.054,86.958,87.304,86.968,87.533,87.595,87.197,87.499,88.046,88.036,87.908,88.155,88.106,87.772,87.638,87.793,87.742,88.232,88.573,88.627,88.863,89.026,89.72,90.248,90.867,92.264,93.322,93.851,94.141,95.402,96.137,96.601,95.765,95.879,96.206,97.17,95.485,95.06,96.095,95.386,95.154,96.163,96.462,96.572,95.668,94.826,94.727,95.029,93.602,93.492,93.162,92.581,91.705,90.552,89.6,89.256,89.259,89.829,89.075,87.483,87.027,87.283,86.938,86.673,86.327,85.949,86.641,86.316,86.677,86.097,86.48,86.831,87.205,86.611,87.097,87.096,88.118,88.915,88.929,89.512,89.689,89.664,88.829,89.837,90.289,90.626,91.767,93.701,93.127,92.507,91.902,91.602,91.669,91.129,91.263,91.128,90.417,89.735,88.888,88.655,88.211,88.671,89.117,89.192,89.915,90.773,91.075,91.497,91.321,91.228,91.234,91.938,92.653,93.646,93.38,93.36,93.187,93.317,93.398,94.671,94.741,96.413,96.75,97.209,97.931,99.243,101.131,101.374,100.153,100.609,98.654,98.497,98.024,97.825,97.547,97.845,97.45,97.849,98.539,98.982,100.101,100.712,101.309,101.708,101.906,101.496,102.104,103.192,102.432,102.336,102.438,102.385,102.114,101.943,101.65,101.09,101.487,103.081,104.677,105.834,108.423,110.162,110.535,110.153,110.617,111.156,110.567,110.845,112.203,113.872,116.059,119.167,121.457,124.22,126.105,128.902,132.218,136.109,137.79,137.66,136.052,131.557,127.538,125.277,122.47,121.499,121.599,121.159,120.478,118.835,117.438,116.547,116.72,117.427,118.905
"23","15","S1 PN445ZZZMG   Food and beverage stores","T070153",74.277,74.547,74.762,74.781,74.693,74.929,74.974,75.413,75.555,75.572,75.535,75.599,75.718,75.904,75.889,76.056,76.545,76.357,76.308,76.37,76.26,76.544,76.632,76.859,76.956,76.938,76.805,76.987,77.15,77.452,77.637,77.632,77.681,77.564,77.632,77.97,77.929,78.154,78.12,78.639,78.738,78.76,78.911,79.03,79.205,79.48,79.463,79.637,79.916,80.271,80.65,80.938,80.966,81.359,81.709,81.89,82.217,82.639,82.797,82.792,82.747,83.116,83,83.086,83.02,83.095,83.153,83.289,83.384,83.476,83.653,83.628,83.922,83.942,83.915,84.129,84.37,84.37,84.592,84.829,84.842,85.167,85.206,85.637,86.123,86.112,85.961,86.334,86.381,86.445,86.668,86.81,87.273,87.316,87.523,87.611,87.706,87.974,88.323,88.53,88.872,88.961,89.42,89.67,89.862,89.863,89.95,90.392,90.476,91.005,91.144,91.403,91.568,91.919,92.256,92.281,92.529,92.684,92.62,92.427,92.808,93.164,93.26,93.753,93.21,93.275,93.409,93.446,93.499,93.398,93.673,93.647,93.834,94.253,94.463,94.348,94.282,94.844,95.043,95.423,95.695,95.888,96.333,96.815,96.691,96.815,97.189,97.336,98.049,98.215,98.314,98.402,98.28,98.945,99.343,99.234,98.997,98.877,99.074,99.871,99.915,99.805,100.075,100.197,100.507,100.667,100.931,101.082,101.407,101.337,101.461,101.396,101.524,101.839,102.052,102.316,102.585,102.738,102.607,102.638,103.255,104.051,104.492,104.852,105.177,105.628,105.848,106.108,106.502,106.915,107.433,107.712,108.375,108.801,109.172,110.341,110.853,111.604,112.727,113.325,113.9,114.116,114.072,113.943,114.084,113.969,113.949,113.957,113.601,113.824,113.422,113.565,113.349,113.444,113.547,113.769
"24","16","S1 PN4451ZZMG     Grocery stores","T070163",73.956,74.23,74.443,74.471,74.359,74.605,74.653,75.11,75.245,75.256,75.22,75.286,75.399,75.587,75.579,75.753,76.276,76.075,76.026,76.098,75.984,76.29,76.373,76.607,76.703,76.689,76.553,76.746,76.92,77.228,77.42,77.425,77.482,77.363,77.425,77.782,77.745,77.974,77.933,78.463,78.56,78.585,78.753,78.856,79.042,79.327,79.302,79.499,79.768,80.129,80.507,80.808,80.826,81.221,81.578,81.761,82.089,82.521,82.682,82.663,82.611,82.983,82.859,82.94,82.86,82.94,82.997,83.122,83.222,83.311,83.504,83.47,83.778,83.805,83.783,83.99,84.238,84.233,84.471,84.714,84.707,85.039,85.077,85.497,85.998,85.966,85.821,86.196,86.238,86.305,86.518,86.664,87.125,87.171,87.373,87.439,87.53,87.8,88.144,88.347,88.714,88.789,89.259,89.518,89.719,89.713,89.791,90.253,90.33,90.88,91.024,91.281,91.448,91.813,92.144,92.171,92.412,92.571,92.493,92.297,92.681,93.039,93.159,93.665,93.08,93.133,93.272,93.296,93.358,93.239,93.532,93.499,93.69,94.136,94.345,94.222,94.136,94.724,94.93,95.322,95.598,95.798,96.252,96.741,96.604,96.768,97.142,97.253,98.03,98.19,98.3,98.38,98.226,98.927,99.328,99.211,98.968,98.831,99.031,99.872,99.923,99.807,100.094,100.201,100.512,100.685,100.958,101.117,101.436,101.342,101.478,101.415,101.539,101.851,102.09,102.382,102.672,102.811,102.665,102.691,103.335,104.151,104.582,104.964,105.293,105.739,105.977,106.238,106.674,107.082,107.631,107.912,108.58,109.01,109.426,110.607,111.134,111.951,113.111,113.726,114.302,114.528,114.447,114.278,114.414,114.303,114.259,114.266,113.861,114.088,113.644,113.768,113.546,113.623,113.721,113.971
