"","Table 7#2#4U# Price Indexes for Motor Vehicle Output            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180"
"41","33","        Margin","GAP733",11.195,11.596,12.412,12.876,12.434,12.949,13.306,13.716,13.957,13.97,14.03,14.105,14.222,14.382,14.569,14.809,15.842,16.659,16.615,16.523,17.038,18.228,18.397,18.302,18.63,19.413,19.636,20.39,20.247,20.793,23.099,24.311,24.307,24.066,25.253,25.774,26.528,27.963,30.169,32.354,31.903,31.943,31.331,31.574,31.428,32.72,33.404,32.364,32.035,31.24,29.055,28.689,28.349,27.39,25.989,26.815,27.612,28.338,28.179,27.522,27.273,26.864,26.651,27.019,29.453,31.997,32.18,30.382,33.794,31.617,30.589,29.426,29.697,31.059,32.388,32.83,31.48,32.001,34.645,37.182,40.008,45.846,48.65,48.975,43.454,42.658,45.781,46.956,50.312,51.58,51.83,50.537,47.449,45.734,45.255,44.212,46.117,46.2,47.471,47.524,45.629,46.311,47.306,47.854,49.349,51.375,53.92,56.293,57.957,60.083,63.017,65.828,66.404,66.551,65.653,66.217,69.45,70.373,72,73.753,75.659,72.149,73.412,76.502,75.349,74.618,76.813,77.96,79.435,79.908,81.588,82.778,82.954,83.187,81.122,82.57,82.739,83.999,85.825,88.227,95.255,98.434,99.554,97.748,92.189,90.094,87.824,88.449,94.73,99.275,98.002,96.238,95.852,100.319,99.969,104.475,103.699,99.278,97.047,98.861,101.433,102.734,102.538,100.825,96.708,96.002,98.235,93.251,93.662,95.595,97.967,99.058,101.095,101.96,98.434,99.747,102.503
"42","34","        Net transactions","GAP763",24.909,25.355,26.278,26.62,27.108,26.664,26.802,26.262,26.83,27.05,26.006,26.401,26.025,26.648,27.031,27.711,28.395,28.707,28.29,27.865,27.786,27.938,28.094,29.03,30.177,30.583,29.916,28.966,27.751,28.946,32.088,34.852,35.668,35.52,37.017,37.777,37.94,40.688,42.13,43.554,45.363,45.417,43.184,41.742,41.901,43.12,45.36,46.487,46.472,48.923,48.179,46.053,46.567,47.058,48.436,52.618,55.427,57.476,61.462,64.404,65.645,67.727,69.364,70.26,71.645,72.824,76.021,79.643,81.585,84.776,86.344,86.351,87.039,85.909,83.763,83.726,83.256,80.837,79.682,79.521,79.889,83.518,85.345,85.848,86.031,86.732,87.439,88.108,90.037,89.816,87.874,87.477,87.483,86.619,86.286,85.434,85.795,86.659,87.371,87.409,86.981,89.146,91.629,93.825,94.373,96.98,99.709,101.524,100.147,101.299,104.58,108.65,113.676,115.164,113.909,114.241,116.125,114.579,113.841,113.347,113.797,111.638,108.07,107.09,107.785,107.874,108.848,109.39,107.122,107.577,110.359,110.965,109.953,111.185,111.585,114.114,114.938,114.211,113.233,112.911,110.318,108.987,109.594,107.091,106.436,106.064,102.203,95.139,94.531,94.034,95.209,98.7,99.307,99.616,100.404,100.638,100.775,101.066,100.636,99.067,97.47,96.843,97.327,98.634,99.227,98.086,95.901,91.922,88.767,88.255,90.795,97.165,101.217,102.657,104.524,103.72,103.814
"43","35","      Used light trucks (including utility vehicles)","W243RG3",28.494,28.555,28.959,29.362,29.529,29.572,29.716,30.003,29.946,30.059,30.188,30.468,30.457,30.575,30.906,32.112,32.82,32.804,32.079,31.413,31.993,32.111,32.282,31.788,31.753,32.061,32.233,32.29,32.354,33.232,34.604,35.89,35.923,36.769,37.065,37.894,38.472,38.794,39.241,40.312,40.553,40.833,41.315,43.024,44.157,45.473,47.799,48.892,48.73,51.232,50.363,48.116,48.678,49.199,50.663,54.997,57.93,60.03,64.126,67.158,68.351,70.532,72.323,73.477,75.287,76.716,80.177,83.9,85.619,88.717,90.2,90.155,90.87,89.677,87.433,87.274,86.701,84.137,83.015,82.968,83.65,87.587,89.538,90.02,90.091,90.694,91.343,91.997,93.972,93.763,91.762,91.386,91.41,90.519,90.207,89.288,89.695,90.589,91.383,91.502,91.329,93.949,96.993,99.447,99.683,102.072,105.007,106.242,104.53,105.583,109.377,113.12,119.113,120.913,119.374,119.233,120.746,119.178,118.275,117.299,118.736,114.529,109.434,108.219,110.199,110.788,112.21,112.667,109.69,110.2,113.216,113.955,112.682,114.059,114.535,117.25,118.281,117.406,116.202,115.718,112.017,110.286,110.835,108.054,108.065,107.868,103.358,95.141,94.287,93.651,95.072,98.841,99.366,99.39,100.524,100.72,100.652,101.134,100.896,99.109,97.155,96.367,96.694,97.918,98.884,98.113,96.223,91.812,88.495,87.567,89.915,96.889,101.264,102.624,104.621,103.752,104.081
"44","36","        Margin","W493RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.435,49.204,51.363,53.807,55.111,57.242,58.358,58.332,58.805,58.027,56.593,56.569,56.23,54.632,53.81,53.703,53.966,56.422,57.627,58.001,58.113,58.594,59.077,59.482,60.792,60.657,59.379,59.081,59.096,58.518,58.284,57.694,57.968,58.522,59.011,59.05,56.376,53.328,50.754,49.228,52.73,57.494,58.496,65.077,66.229,67.834,67.428,73.294,72.734,72.454,73.044,76.325,80.234,78.776,78.609,80.294,74.541,82.64,89.028,91.543,84.686,82.676,81.564,83.237,86.342,86.099,86.835,85.65,86.257,85.998,85.66,86.484,85.773,86.596,87.991,89.975,96.206,98.446,99.006,98.045,89.77,87.372,89.391,92.323,95.495,97.303,97.118,98.201,99.323,101.771,99.089,99.808,101.86,100.448,98.381,98.845,100.308,101.405,103.334,105.282,102.117,97.146,92.057,92.401,92.885,96.92,101.93,100.642,101.519,103.632,104.204,103.987,101.316
"45","37","        Net transactions","W494RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.669,72.83,76.055,79.686,81.6,84.767,86.34,86.352,87.025,85.896,83.79,83.719,83.268,80.832,79.68,79.492,79.915,83.53,85.333,85.838,86.041,86.728,87.428,88.094,90.002,89.804,87.881,87.495,87.49,86.616,86.299,85.412,85.802,86.637,87.36,87.42,86.988,89.113,91.683,93.813,94.353,96.959,99.723,101.53,100.157,101.291,104.556,108.627,113.692,115.165,113.913,114.268,116.108,114.57,113.838,113.345,113.866,111.626,108.038,107.086,107.784,107.868,108.849,109.397,107.122,107.575,110.378,110.969,109.94,111.188,111.6,114.113,114.932,114.2,113.229,112.953,110.302,108.989,109.595,107.098,106.436,106.075,102.277,95.12,94.531,94.058,95.244,98.696,99.31,99.633,100.384,100.64,100.794,101.08,100.643,99.096,97.473,96.861,97.344,98.644,99.241,98.092,95.914,91.871,88.826,88.286,90.821,97.169,101.249,102.678,104.541,103.734,103.783
"46","38","  Gross government investment","AB64RG3",23.628,23.772,23.914,24.236,24.39,24.556,24.768,25.022,25.164,25.372,25.801,26.046,26.377,26.723,27.067,27.588,28.439,28.881,28.814,28.439,28.268,28.136,28.135,27.772,27.739,28.233,28.766,29.06,29.658,30.494,31.554,32.859,34.05,34.833,35.262,36.058,36.779,37.382,38.294,39.173,39.885,40.602,41.599,42.944,43.739,44.307,45.259,45.821,47.131,48.531,48.907,49.941,51.228,52.264,54.087,55.514,56.996,58.741,59.774,61.209,61.218,62.276,63.322,63.696,64.108,64.337,64.781,65.567,66.41,67.131,67.31,67.205,67.883,68.008,68.32,69.462,70.031,71.74,71.984,73.474,73.282,72.126,71.604,71.402,71.587,72.204,73.1,75.192,75.683,76.248,76.241,77.45,77.088,77.405,77.648,78.912,79.342,79.383,80.338,81.658,81.803,82.57,83.7,84.931,85.721,86.042,86.369,87.044,88.453,89.238,89.482,89.084,89.941,90.335,90.892,91.136,91.409,91.568,91.672,91.149,92.214,92.586,93.268,92.963,92.592,92.92,93.839,94.51,94.982,95.673,95.343,95.836,95.668,95.796,96.012,95.862,94.856,94.35,94.79,94.372,95.116,95.758,95.226,95.316,95.757,95.419,96.118,97.74,97.753,98.435,98.065,98.719,99.681,99.794,99.734,100.792,101.025,101.593,101.722,102.888,103.158,103.622,104.018,103.908,104.21,104.886,105.136,105.481,107.392,108.902,109.436,109.399,108.414,108.745,110.179,110.48,110.616
"47","39","    Autos","B144RG3",24.929,25.166,25.285,25.613,25.793,26.167,26.473,26.998,27.194,27.418,28.022,28.339,28.838,29.098,29.553,30.319,30.887,31.243,31.267,31.117,31.652,31.817,32.07,31.566,31.659,32.029,32.601,33.032,33.751,34.632,35.792,36.764,37.389,38.405,38.652,39.362,40.306,40.444,40.896,41.63,42.089,42.685,43.517,44.815,45.813,46.05,46.639,47.946,49.069,50.152,51.153,52.083,53.501,55.023,56.446,56.99,57.708,58.758,59.461,60.096,60.738,62.039,62.922,63.316,63.79,64.331,64.337,64.551,65.179,65.272,65.872,66.356,67.193,67.746,68.519,69.318,70.392,72.567,74.141,75.495,76.338,76.537,77.245,77.589,76.891,77.486,78.979,79.785,80.2,80.438,80.717,82.071,83.247,83.473,83.205,83.973,84.657,85.384,86.855,85.608,85.637,85.324,88.384,89.019,89.359,89.398,89.052,90.226,91.918,92.588,92.292,92.549,92.924,92.61,93.287,93.697,94.672,94.595,95.157,94.55,95.778,96.693,97.918,98.605,98.363,98.341,99.835,99.059,98.711,99.626,98.983,100.513,100.116,100.905,100.976,99.975,99.374,97.918,96.485,97.443,100.004,101.44,101.256,99.752,98.61,99.354,100.225,101.961,100.392,100.599,99.069,97.985,99.38,99.438,99.637,101.545,101.78,101.485,101.739,103.922,103.637,102.338,104.082,103.907,103.755,105.781,105.869,105.237,109.134,111.898,113.053,111.57,107.2,106.157,107.335,108.406,106.969
"48","40","      New autos","GAP823",36.834,37.037,37.594,38.123,38.098,38.277,38.52,38.856,38.68,38.908,39.162,39.464,39.516,39.692,40.157,41.69,42.576,42.575,41.57,40.748,41.515,41.69,41.946,41.033,41.184,41.564,41.82,41.664,41.897,42.936,44.826,46.219,46.466,47.632,47.974,48.871,49.891,50.317,50.877,51.989,52.367,52.819,53.504,55.151,56.485,56.814,57.647,58.995,60.309,61.704,62.524,63.323,64.996,66.318,67.678,68.327,68.472,70.429,71.704,72.577,72.722,73.312,73.975,73.866,74.458,74.909,75.511,76.132,76.656,77.09,77.609,77.965,78.867,79.459,79.948,80.439,81.086,82.443,83.676,84.782,84.934,85.518,86.441,86.82,86.423,86.977,88.07,88.564,88.742,89.171,88.93,89.812,90.335,89.943,90.042,90.957,92.609,93.381,93.745,94.254,94.789,95.39,95.994,96.435,96.808,97.483,98.227,99.025,99.804,100.637,101.646,102.177,102.627,103.148,103.181,103.628,104.126,104.476,105.088,105.305,105.211,105.07,104.744,104.441,104.254,103.996,104.165,103.833,103.564,103.169,103.04,103.016,102.971,103.415,103.423,103.053,102.888,102.841,102.495,102.791,102.15,101.478,101.234,101.364,100.145,99.777,99.461,99.1,98.998,99.331,98.594,99.193,100.057,100.187,99.477,100.333,100.923,100.773,101.043,100.818,100.486,100.428,100.241,100.187,99.836,99.938,100.657,99.523,99.776,100.748,100.974,102.57,102.073,101.953,102.055,101.684,102.133
"49","41","      Net transactions in used autos","GAP853",24.911,25.362,26.28,26.626,27.11,26.666,26.802,26.261,26.827,27.028,26.007,26.401,26.022,26.712,27.03,27.71,28.393,28.703,28.288,27.861,27.786,27.945,28.094,29.027,30.172,30.573,29.921,28.969,27.751,29.037,32.076,34.846,35.667,35.534,37.009,37.776,37.933,40.725,42.125,43.55,45.372,45.34,43.172,41.741,41.901,43.205,45.357,46.487,46.458,49.002,48.178,46.05,46.573,47.068,48.435,52.625,55.443,57.442,61.473,64.441,65.595,67.904,69.354,70.267,71.687,72.882,76.053,79.476,81.582,84.771,86.341,86.351,87.085,85.826,83.777,83.723,83.569,80.823,79.689,79.552,79.908,83.638,85.332,85.841,86.03,86.736,87.436,88.103,89.981,89.795,87.897,87.485,87.437,86.7,86.278,85.4,85.787,86.621,87.431,87.425,87.024,89.011,91.67,93.819,94.399,97.017,99.71,101.537,100.136,101.389,104.538,108.247,113.769,115.203,113.913,114.356,116.072,114.567,113.824,113.216,113.713,111.553,107.917,107.078,107.821,107.739,108.854,109.404,107.042,107.599,110.309,111.062,109.966,111.172,111.588,114.375,114.917,114.188,113.255,112.894,110.615,109,109.539,107.091,106.434,106.087,102.173,95.122,94.531,94.079,95.506,98.62,99.333,99.701,100.436,100.726,100.875,101.169,100.746,99.148,97.569,96.944,97.424,98.73,99.325,98.178,96.006,91.957,88.72,88.504,90.986,96.904,101.187,102.855,104.674,103.827,103.817
"50","42","      Employee reimbursement","GAP883",16.273,16.51,16.629,16.833,17.101,17.311,17.546,17.841,18.201,18.381,18.701,19,19.446,19.811,20.159,20.451,20.778,21.235,21.671,21.849,22.086,22.239,22.44,22.674,23.039,23.368,23.722,24.107,24.583,25.393,26.48,27.553,28.44,29.039,29.502,30.046,30.692,31.171,31.687,32.191,32.866,33.491,34.058,34.65,35.196,35.473,36.043,37.311,38.173,39.182,40.076,40.675,41.69,43.098,44.457,45.378,46.873,47.315,48.015,48.712,49.641,51.349,52.365,53.122,53.569,54.221,54.41,54.841,55.828,56.219,57.069,57.552,58.241,58.466,58.941,59.916,61.314,63.226,64.592,65.838,67.172,67.708,68.362,68.678,67.849,68.541,70.324,71.545,72.652,72.55,73.004,74.506,76.071,76.836,76.246,76.748,76.315,77.15,79.263,76.918,76.235,75.505,80.862,82.043,82.424,82.57,81.991,83.643,85.329,86.015,85.332,86.324,87.934,87.202,88.117,88.432,90.197,89.207,89.366,87.761,90.447,91.596,92.85,94.101,94.117,94.395,97.508,96.689,95.605,97.981,97.763,101.263,100.032,101.354,101.606,101.141,100.358,97.404,94.606,96.059,101.118,104.142,104.325,100.204,99.389,101.193,101.859,102.849,99.764,99.494,98.171,96.702,98.505,98.561,100.173,102.886,102.615,102.365,102.262,106.99,106.165,102.967,107.48,107.73,108.245,112.221,110.117,108.732,114.917,118.906,122.282,120.023,114.343,113.225,116.353,118.594,115.493
