"","Table 1#7#3# Real Gross Domestic Product, Real Gross National Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"11","3","Less: Income payments to the rest of the world","A655RA3",4.673,5.206,5.832,6.056,6.131,5.992,5.866,5.589,5.207,5.331,5.784,6.014,5.938,6.402,6.47,6.957,7.822,8.624,8.894,9.1,9.432,10.211,10.817,10.786,10.541,9.981,9.942,9.485,10.085,9.967,9.723,9.539,9.191,9.724,10.167,11.11,11.64,13.262,13.833,15.548,16.727,17.774,18.723,20.478,21.894,20.564,18.568,22.246,23.618,25.555,26.443,24.21,25.188,26.488,26.213,24.583,23.233,23.918,25.765,26.594,29.244,31.943,33.265,32.606,31.562,31.33,31.364,31.255,33.24,34.064,31.958,33.304,34.008,35.583,36.975,38.577,40.521,41.171,43.932,45.863,48.168,50.553,49.054,47.325,48.01,47.156,48.083,45.792,44.173,41.654,40.517,36.551,35.691,36.274,34.508,33.521,32.335,34.664,33.798,38.236,38.015,41.955,46.139,50.15,51.598,53.42,56.432,54.851,53.819,55.496,57.83,59.809,64.263,65.493,68.117,68.324,68.27,69.804,70.112,69.186,70.09,72.419,77.79,79.473,83.273,87.717,86.754,85.608,78.561,70.195,68.841,48.87,60.115,67.628,67.818,60.75,66.89,66.266,68.678,69.102,71.948,80.735,82.603,94.125,96.958,102.119,105.318,119.206,125.782,138.015,145.156,148.1,153.001,160.929,157.056,147.511,146.407,142.71,133.238,124.937,102.309,100.379,95.438,101.874,89.363,91.65,93.877,96.008,95.477,98.786,97.445,92.887,97.11,96.235,98.127,98.818,100.201,99.089,97.09,97.033,98.353,99.892,100.286,99.386,99.267,103.094,106.584,104.478,NA
"12","4","Equals: Gross national product","B001RA3",32.467,32.563,32.756,32.614,32.561,32.626,32.91,32.556,33.458,33.66,33.898,34.008,34.625,35.417,35.761,36.349,37.278,37.717,37.566,37.916,37.669,37.743,37.344,37.143,36.646,36.928,37.556,38.116,38.959,39.264,39.466,39.768,40.28,41.053,41.768,41.725,41.928,43.469,43.924,44.566,44.665,44.774,45.192,45.303,45.459,44.502,44.402,45.114,46.068,45.707,46.254,45.779,44.993,45.297,45.05,45.076,45.655,46.716,47.631,48.621,49.539,50.403,50.889,51.239,51.651,52.138,52.881,53.309,53.76,53.924,54.489,54.695,55.096,55.753,56.249,57.193,57.572,58.302,58.604,59.401,59.99,60.448,60.922,61.115,61.761,62.015,61.977,61.68,61.274,61.633,61.89,62.238,62.964,63.647,64.235,64.885,65.077,65.398,65.768,66.493,67.207,68.079,68.462,69.226,69.545,69.808,70.275,70.877,71.4,72.565,73.204,74.023,74.51,75.697,76.589,77.122,77.962,78.689,79.601,80.928,81.649,82.365,83.373,84.901,85.113,86.741,86.806,87.503,87.139,87.672,87.207,87.965,88.449,88.781,89.326,89.516,89.863,90.803,92.313,93.593,94.263,94.747,95.68,96.299,97.571,97.987,98.875,99.214,100.413,100.67,100.66,101.519,101.584,102.509,103.596,104.281,103.464,103.987,103.601,100.891,99.55,99.388,100.082,100.98,101.512,102.492,103.134,103.871,103.547,104.292,104.663,105.926,106.471,106.827,106.985,106.961,107.394,107.852,108.736,109.774,109.453,110.646,111.883,112.408,112.365,113.452,113.832,114.152,NA
"13","5","Less: Consumption of fixed capital","A262RA3",19.931,20.176,20.419,20.652,20.871,21.082,21.285,21.468,21.644,21.819,22.001,22.177,22.374,22.597,22.857,23.146,23.46,23.762,24.046,24.32,24.581,24.822,25.05,25.261,25.449,25.638,25.824,26.01,26.197,26.403,26.624,26.87,27.134,27.41,27.701,28.003,28.309,28.639,28.982,29.342,29.721,30.095,30.456,30.807,31.149,31.481,31.797,32.103,32.393,32.698,33.014,33.344,33.688,34.011,34.313,34.595,34.857,35.146,35.459,35.803,36.176,36.59,37.051,37.558,38.11,38.647,39.164,39.663,40.14,40.625,41.116,41.617,42.122,42.616,43.097,43.565,44.02,44.479,44.94,45.406,45.876,46.342,46.805,47.264,47.722,48.152,48.555,48.932,49.282,49.622,49.953,50.275,50.586,50.916,51.269,51.641,52.034,52.44,52.858,53.284,53.723,54.19,54.687,55.213,55.766,56.331,56.909,57.497,58.096,58.73,59.398,60.101,60.839,61.617,62.455,63.353,64.311,65.245,66.152,67.029,67.878,68.984,70.365,72.027,71.887,73.582,74.983,76.027,76.835,77.473,78.075,78.697,79.438,80.115,80.788,81.417,82.005,82.571,83.199,83.908,84.704,85.406,86.18,87.006,87.871,88.687,89.55,90.42,91.305,92.224,93.109,93.983,94.868,95.688,96.448,97.164,97.777,98.442,99.098,99.625,99.92,100.036,100.041,100.003,100.183,100.438,100.725,101.02,101.357,101.663,102.032,102.467,102.928,103.536,104.09,104.641,105.183,105.749,106.314,106.903,107.481,108.055,108.693,109.338,109.948,110.564,111.209,111.859,112.444
"14","6","  Private","A024RA3",16.814,17.058,17.294,17.522,17.741,17.954,18.162,18.364,18.56,18.762,18.97,19.184,19.405,19.666,19.965,20.299,20.664,21.005,21.327,21.634,21.927,22.198,22.446,22.671,22.871,23.069,23.262,23.453,23.641,23.851,24.086,24.343,24.624,24.918,25.223,25.54,25.869,26.217,26.582,26.966,27.367,27.756,28.131,28.493,28.841,29.173,29.489,29.788,30.071,30.367,30.677,31.001,31.339,31.65,31.933,32.188,32.414,32.667,32.947,33.254,33.588,33.967,34.392,34.864,35.382,35.875,36.342,36.783,37.196,37.619,38.049,38.488,38.936,39.373,39.799,40.213,40.616,41.028,41.45,41.881,42.323,42.76,43.194,43.624,44.049,44.45,44.824,45.173,45.495,45.812,46.124,46.431,46.733,47.064,47.425,47.816,48.237,48.677,49.136,49.614,50.111,50.644,51.212,51.817,52.459,53.112,53.776,54.452,55.139,55.865,56.631,57.437,58.284,59.191,60.161,61.194,62.292,63.356,64.382,65.368,66.311,67.57,69.159,71.093,70.843,72.81,74.426,75.607,76.501,77.188,77.83,78.5,79.316,80.046,80.761,81.415,82.031,82.596,83.234,83.963,84.795,85.511,86.31,87.173,88.08,88.927,89.83,90.736,91.661,92.623,93.54,94.445,95.359,96.193,96.953,97.657,98.231,98.867,99.484,99.938,100.103,100.084,99.97,99.843,99.874,100.016,100.217,100.449,100.736,100.996,101.339,101.774,102.267,102.951,103.578,104.206,104.83,105.493,106.162,106.87,107.569,108.258,109.022,109.785,110.501,111.223,111.985,112.751,113.439
"15","7","  Government","A264RA3",35.581,35.822,36.09,36.341,36.553,36.744,36.917,37,37.068,37.102,37.142,37.117,37.187,37.218,37.279,37.335,37.391,37.493,37.582,37.689,37.794,37.89,38.025,38.17,38.29,38.436,38.582,38.74,38.922,39.107,39.255,39.436,39.609,39.79,39.995,40.209,40.387,40.614,40.827,41.05,41.292,41.57,41.844,42.123,42.423,42.738,43.046,43.375,43.695,44.035,44.376,44.726,45.089,45.467,45.857,46.276,46.715,47.186,47.669,48.196,48.756,49.342,49.978,50.661,51.377,52.126,52.894,53.678,54.471,55.27,56.067,56.874,57.668,58.446,59.2,59.935,60.651,61.344,61.999,62.634,63.243,63.846,64.446,65.048,65.66,66.233,66.777,67.29,67.777,68.228,68.654,69.042,69.397,69.714,70.018,70.289,70.534,70.764,70.969,71.125,71.268,71.399,71.535,71.66,71.771,71.894,72.038,72.191,72.351,72.527,72.713,72.91,73.116,73.257,73.452,73.691,73.964,74.273,74.604,74.958,75.353,75.725,76.118,76.496,76.88,77.282,77.682,78.089,78.5,78.902,79.312,79.703,80.096,80.528,81.011,81.522,81.981,82.548,83.131,83.75,84.375,85.018,85.673,86.332,86.996,87.671,88.351,89.057,89.752,90.478,91.211,91.945,92.698,93.454,94.218,94.986,95.774,96.57,97.401,98.256,99.124,99.825,100.35,100.701,101.526,102.263,102.919,103.483,104.033,104.54,105.017,105.455,105.776,106.063,106.312,106.537,106.731,106.882,107.008,107.094,107.155,107.239,107.348,107.485,107.641,107.81,107.961,108.113,108.261
"16","8","    General government","A265RA3",37.132,37.373,37.639,37.886,38.093,38.272,38.429,38.495,38.537,38.545,38.552,38.498,38.533,38.538,38.56,38.594,38.609,38.68,38.739,38.817,38.889,38.961,39.066,39.188,39.281,39.411,39.533,39.671,39.841,40.006,40.137,40.312,40.475,40.646,40.843,41.05,41.22,41.439,41.643,41.856,42.085,42.353,42.618,42.884,43.176,43.48,43.781,44.103,44.413,44.745,45.08,45.423,45.783,46.159,46.551,46.974,47.42,47.899,48.397,48.94,49.516,50.122,50.782,51.49,52.233,53.01,53.815,54.632,55.463,56.303,57.138,57.987,58.822,59.64,60.429,61.195,61.944,62.665,63.344,64.002,64.626,65.244,65.855,66.47,67.093,67.673,68.218,68.728,69.211,69.648,70.057,70.426,70.755,71.038,71.308,71.539,71.738,71.925,72.086,72.2,72.299,72.39,72.485,72.57,72.644,72.731,72.839,72.955,73.081,73.221,73.37,73.524,73.695,73.821,73.992,74.201,74.441,74.708,74.999,75.31,75.662,75.982,76.335,76.674,77.012,77.379,77.747,78.128,78.522,78.901,79.289,79.654,80.022,80.427,80.883,81.363,81.776,82.312,82.861,83.452,84.049,84.67,85.313,85.965,86.632,87.314,88.006,88.728,89.445,90.191,90.949,91.709,92.487,93.27,94.059,94.855,95.671,96.494,97.356,98.24,99.135,99.845,100.352,100.668,101.509,102.259,102.921,103.487,104.015,104.512,104.979,105.42,105.74,106.024,106.263,106.476,106.653,106.782,106.88,106.934,106.96,107.009,107.086,107.193,107.321,107.47,107.591,107.718,107.841
"17","9","    Government enterprises","A266RA3",22.415,22.672,22.963,23.265,23.525,23.823,24.154,24.391,24.692,24.968,25.312,25.537,25.922,26.189,26.594,26.852,27.259,27.645,27.994,28.362,28.756,29.059,29.451,29.796,30.141,30.418,30.764,31.085,31.367,31.71,32.001,32.235,32.485,32.748,33.019,33.296,33.539,33.83,34.115,34.41,34.762,35.12,35.467,35.849,36.214,36.607,36.969,37.356,37.756,38.148,38.536,38.943,39.331,39.721,40.094,40.479,40.862,41.267,41.63,42.024,42.454,42.866,43.304,43.785,44.27,44.793,45.247,45.762,46.238,46.695,47.177,47.645,48.102,48.548,49.013,49.497,49.94,50.396,50.861,51.304,51.788,52.267,52.782,53.269,53.786,54.303,54.837,55.371,55.892,56.457,57.018,57.559,58.137,58.725,59.306,59.912,60.529,61.114,61.668,62.179,62.678,63.13,63.597,64.052,64.468,64.885,65.327,65.776,66.22,66.692,67.182,67.722,68.214,68.479,68.87,69.359,69.908,70.553,71.21,71.926,72.668,73.467,74.179,74.878,75.639,76.336,76.982,77.603,78.158,78.745,79.338,79.936,80.527,81.175,81.872,82.632,83.464,84.273,85.125,85.972,86.818,87.625,88.378,89.089,89.73,90.344,90.932,91.524,92.046,92.612,93.163,93.702,94.265,94.824,95.398,95.962,96.535,97.131,97.739,98.373,99.039,99.677,100.336,100.948,101.652,102.296,102.903,103.455,104.167,104.754,105.297,105.71,106.047,106.351,106.676,106.985,107.303,107.614,107.94,108.26,108.574,108.909,109.247,109.596,109.949,110.274,110.634,110.97,111.293
"18","10","Equals: Net national product","A027RA3",35.281,35.34,35.519,35.288,35.171,35.199,35.501,35.019,36.091,36.298,36.549,36.643,37.356,38.28,38.642,39.298,40.369,40.838,40.584,40.949,40.582,40.615,40.065,39.765,39.1,39.402,40.135,40.784,41.783,42.111,42.305,42.619,43.188,44.079,44.894,44.764,44.937,46.772,47.25,47.957,47.983,48.023,48.451,48.498,48.603,47.324,47.118,47.926,49.04,48.511,49.111,48.43,47.36,47.655,47.27,47.23,47.885,49.131,50.188,51.33,52.374,53.341,53.828,54.136,54.51,54.981,55.772,56.18,56.621,56.705,57.285,57.417,57.79,58.481,58.977,60.029,60.386,61.175,61.437,62.307,62.921,63.373,63.847,63.976,64.662,64.873,64.733,64.282,63.705,64.068,64.307,64.659,65.475,66.235,66.873,67.582,67.728,68.029,68.387,69.177,69.949,70.906,71.263,72.076,72.342,72.539,72.981,73.584,74.089,75.366,75.997,76.839,77.27,78.542,79.444,79.898,80.712,81.394,82.306,83.724,84.417,85.051,85.981,87.48,87.766,89.376,89.164,89.79,89.188,89.698,89.016,89.801,90.233,90.497,91.016,91.119,91.418,92.432,94.116,95.509,96.155,96.596,97.56,98.138,99.491,99.827,100.72,100.954,102.214,102.339,102.151,103.007,102.908,103.854,105.005,105.683,104.58,105.075,104.484,101.136,99.476,99.262,100.091,101.17,101.769,102.888,103.597,104.418,103.968,104.797,105.168,106.589,107.15,107.457,107.541,107.408,107.821,108.259,109.202,110.325,109.834,111.145,112.496,112.999,112.831,114.007,114.337,114.595,NA
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RA3",35.395,35.464,35.658,35.424,35.299,35.319,35.628,35.163,36.202,36.396,36.678,36.758,37.467,38.405,38.747,39.412,40.445,40.895,40.572,40.938,40.485,40.548,40.039,39.801,39.196,39.499,40.212,40.796,41.819,42.133,42.325,42.631,43.139,44.052,44.881,44.808,44.91,46.856,47.298,47.94,47.952,47.922,48.228,48.282,48.374,47.14,46.974,47.919,49.009,48.509,49.081,48.318,47.272,47.493,47.211,47.193,47.862,49.086,50.143,51.275,52.378,53.353,53.853,54.229,54.724,55.179,56.058,56.428,56.925,57.112,57.667,57.895,58.248,58.896,59.408,60.447,60.736,61.569,61.875,62.725,63.355,63.828,64.276,64.326,65.045,65.238,65.163,64.423,63.987,64.493,64.782,65.041,65.874,66.652,67.332,68.038,68.098,68.482,68.78,69.76,70.463,71.485,71.867,72.704,72.872,73.044,73.648,74.131,74.568,75.954,76.629,77.422,77.951,79.157,80.153,80.686,81.414,82.138,83.201,84.61,85.219,85.806,86.779,88.194,88.523,90.123,89.956,90.34,89.872,90.3,89.839,90.004,90.83,91.284,91.671,91.613,92.055,92.948,94.656,95.815,96.304,96.993,97.875,98.705,99.77,100.219,101.038,101.542,102.803,102.979,102.909,103.686,103.583,104.356,105.034,105.333,104.355,104.837,104.11,101.387,99.651,99.469,99.858,101.022,101.508,102.627,103.395,104.112,103.57,104.406,104.596,105.911,106.656,107.129,107.175,107.098,107.596,107.844,108.679,109.782,109.369,110.718,111.98,112.539,112.635,113.809,114.35,114.693,114.764
"21","12","  Net domestic purchases","W367RA3",35.192,35.213,35.43,35.102,34.955,34.92,35.229,34.78,35.777,36.133,36.37,36.486,37.275,38.185,38.437,39.108,40.069,40.293,39.879,40.1,39.485,39.554,39.195,38.833,37.84,37.981,38.999,39.543,40.782,41.208,41.442,41.833,42.588,43.416,44.132,44.247,44.552,46.062,46.506,47.025,47.017,47.003,47.057,46.931,46.889,45.191,44.649,45.858,47.028,46.529,47.126,46.523,45.589,45.692,45.858,45.855,46.542,48.068,49.41,50.674,52.087,53.164,53.703,54.153,54.489,55.228,56.086,56.554,56.89,57.287,57.898,57.999,58.296,58.897,59.314,60.289,60.236,60.794,61.145,62.009,62.47,62.689,63.045,63.13,63.781,63.871,63.718,62.737,62.192,62.564,62.883,63.138,63.867,64.739,65.362,66.192,66.403,66.85,67.264,68.301,69.102,70.153,70.479,71.358,71.566,71.705,71.949,72.412,73.046,74.463,75.371,75.777,76.553,77.694,78.829,79.601,80.68,81.755,82.991,84.379,85.388,86.209,87.332,88.773,89.476,91.153,91.223,91.683,91.15,91.495,91.27,91.555,92.543,93.143,93.657,94.027,94.315,95.42,97.016,98.235,98.866,100.043,101.005,101.944,103.011,103.438,104.265,104.971,106.149,106.319,106.423,106.669,106.663,107.27,107.507,107.121,106.205,106.03,105.099,102.47,100.124,99.258,99.758,100.86,101.567,103.161,104.145,104.505,104.057,104.774,104.954,106.287,107.013,107.385,107.38,107.127,107.607,107.919,108.678,109.353,109.393,110.778,111.878,112.706,113.421,114.507,115.121,115.501,115.682
