"","Table 5#4#4U# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227"
"25","17","      Electric","B571RG3",11.005,11.141,11.325,11.279,11.278,11.187,11.187,11.096,11.05,11.002,10.959,11.005,11.051,11.097,11.051,11.003,11.05,11.097,11.187,11.232,11.28,11.324,11.461,11.598,11.735,11.826,11.827,11.918,11.919,11.873,11.826,11.87,12.009,12.192,12.466,12.65,12.876,13.151,13.334,13.425,13.518,13.608,13.743,13.925,14.156,14.428,14.749,15.113,15.478,15.889,16.256,16.487,16.716,16.944,17.076,17.21,17.486,17.989,18.677,19.455,20.225,21.094,22.01,23.245,24.302,25.071,25.522,25.931,26.342,26.666,27.081,27.492,28.85,28.805,28.918,29.166,29.519,30.073,30.737,31.491,32.34,33.243,34.232,35.094,35.734,36.563,37.409,38.284,39.089,39.797,40.419,41.032,41.495,41.935,42.414,42.787,43.201,43.383,43.543,43.852,44.2,44.486,44.708,44.825,44.901,44.994,45.123,45.222,45.434,45.55,45.603,45.687,45.684,45.787,46.104,46.722,47.977,48.863,49.586,50.217,50.258,50.655,51.154,51.772,52.489,52.647,52.716,52.801,52.815,52.893,52.975,53.079,53.52,53.707,53.934,54.286,54.856,55.418,55.771,56.398,56.996,57.667,58.009,58.413,58.854,59.484,60.085,60.564,60.762,60.798,60.805,61.084,61.248,61.856,62.339,62.799,63.189,63.218,63.311,63.463,63.461,63.607,63.988,64.71,65.547,66.27,66.825,67.498,67.903,68.358,68.774,69.237,69.836,70.283,70.765,71.262,71.234,71.55,72.082,72.932,73.872,75.214,76.648,78.448,79.56,80.562,81.18,82.205,83.724,85.576,87.384,89.049,90.482,92.035,93.899,95.791,97.684,99.162,101.33,103.091,102.504,100.38,98.561,98.554,100.584,102.835,104.574,105.658,105.941,106.796,108.01,109.066,109.767,110.548,111.107,111.55,112.168,113.039,113.553,113.811,113.912,114.623,115.335,116.148
"26","18","      Other power","W029RG3",12.454,12.534,12.663,12.658,12.617,12.533,12.575,12.569,12.574,12.576,12.536,12.615,12.529,12.533,12.354,12.17,12.226,12.119,12.094,11.938,11.778,11.618,11.578,11.498,11.543,11.544,11.627,11.796,12.003,12.084,12.045,12.041,11.991,12.023,12.021,12.064,12.109,12.363,12.528,12.775,12.984,13.198,13.367,13.572,13.738,13.981,14.232,14.464,14.791,15.202,15.581,15.753,16.013,16.183,16.268,16.262,16.35,16.68,17.17,17.836,18.396,19.056,19.674,20.59,21.451,22.01,22.425,22.785,23.305,23.635,23.947,24.154,24.766,25.362,25.975,26.651,27.151,27.815,28.596,29.091,29.804,30.047,30.257,30.848,31.219,32.374,33.1,34.201,35.031,35.976,37.256,37.55,38.62,39.123,39.655,40.01,39.929,39.93,40.193,40.634,40.932,41.435,41.616,41.678,41.764,41.599,41.334,40.979,40.401,40.156,40.006,40.117,40.69,41.164,41.601,42.201,42.66,43.31,44.402,45.228,44.565,45.815,46.472,47.033,46.951,47.105,47.267,47.531,47.835,48.014,48.19,48.127,48.799,48.79,48.875,49.011,49.179,49.764,50.446,51.203,52.472,52.578,53.021,54.333,54.071,54.207,54.359,54.461,54.786,54.807,54.832,55.036,55.534,56.053,56.426,56.874,56.961,57.129,57.213,57.286,57.69,58.22,58.8,59.705,60.254,61.059,61.529,61.839,61.984,62.317,62.5,62.476,62.276,63.129,64.046,64.871,65.468,65.691,65.718,65.743,67.972,74.828,79.836,83.73,87.848,90.075,90.435,91.98,93.017,93.862,94.33,93.891,92.132,91.718,91.727,92.409,95.412,101.562,107.223,108.979,105.89,101.062,95.017,98.03,100.425,104.058,105.277,106.242,109.591,113.413,115.3,118.318,121.89,123.903,123.398,123.047,121.922,121.597,122.153,122.359,122.861,123.445,123.81,124.5
"27","19","    Communication","B314RG3",18.559,18.547,18.86,18.872,19.025,19.128,19.176,19.393,19.641,19.743,19.646,19.341,19.077,18.825,18.812,18.97,19.116,19.384,19.635,19.578,19.689,19.595,19.593,19.699,19.843,19.951,20.257,20.566,20.727,21.195,21.299,21.558,21.872,22.027,22.395,22.653,22.757,22.804,22.691,22.731,22.982,23.332,23.845,24.823,25.496,26.378,26.852,26.599,26.203,26.263,26.423,26.584,26.948,27.453,27.543,27.638,28.341,28.965,29.543,30.915,32.292,33.767,35.179,35.49,35.509,35.635,35.766,35.796,36.164,36.996,37.413,38.247,40.239,40.001,40.039,40.72,41.476,42.35,43.231,44.219,45.57,46.865,49.029,50.665,51.823,53.042,54.005,54.638,53.989,54.346,54.295,54.798,55.663,55.36,55.521,55.056,54.941,54.083,53.583,52.84,51.753,52.035,51.569,51.664,52.601,52.78,52.921,52.899,52.43,52.316,52.231,52.123,52.064,52.042,52.475,52.49,51.876,52.208,53.003,54.082,55.989,56.991,58.157,58.992,58.69,58.893,59.269,59.404,59.313,59.314,60.009,59.754,59.284,59.542,59.789,59.742,59.763,61.046,60.77,60.768,60.868,61.276,61.748,62.539,64.048,64.797,66.227,67.01,67.195,67.811,68.726,69.59,69.57,70.101,70.104,69.733,69.917,69.765,69.866,69.865,68.903,68.588,69.045,69.109,69.501,70.206,70.379,71.066,71.53,71.982,73.141,73.043,73.325,73.257,73.98,73.67,74.375,75,75.85,76.566,77.213,78.936,80.34,81.546,80.958,82.488,84.89,88.625,92.693,95.322,97.446,100.234,99.77,100.024,100.765,101.136,100.839,100.538,103.767,103.097,100.194,99.795,99.047,101,103.165,105.697,108.652,111.54,113.979,115.847,116.898,117.257,116.833,116.711,116.411,116.183,115.949,116.079,116.059,117.347,117.444,118.653,119.482,120.224
"28","20","  Mining exploration, shafts, and wells","E318RG3",4.374,4.509,4.617,4.644,4.593,4.511,4.429,4.399,4.399,4.373,4.348,4.376,4.457,4.486,4.486,4.407,4.381,4.329,4.277,4.226,4.278,4.309,4.308,4.341,4.341,4.371,4.424,4.457,4.535,4.65,4.729,4.789,4.789,4.817,4.845,4.93,4.961,5.043,5.1,5.192,5.2,5.286,5.37,5.406,5.487,5.661,5.709,5.67,5.613,5.756,5.899,5.988,6.082,6.216,6.33,6.376,6.46,6.556,6.681,6.873,7.164,8.037,8.725,9.212,9.688,9.999,10.219,10.565,10.562,10.76,11.104,11.449,11.986,12.634,13.278,13.792,14.185,14.971,15.574,16.243,17.037,17.507,18.042,18.083,17.685,17.804,17.995,18.861,21.311,23.291,24.902,27.002,27.955,28.086,27.547,26.464,23.937,22.463,21.756,20.937,20.308,20.59,20.417,20.415,20.613,20.378,20.447,20.441,20.317,20.005,19.424,18.734,17.284,16.626,16.323,16.604,17.648,18.201,18.601,18.917,19.039,19.159,19.323,19.404,19.375,19.699,20.151,20.799,22.1,21.926,21.146,19.54,19.459,19.503,19.604,19.782,19.55,19.623,19.749,19.856,19.843,19.742,20.114,20.395,20.638,20.738,22.125,23.107,22.04,21.914,23.117,23.535,24.539,25.309,25.937,26.999,28.774,29.823,29.423,29.028,28.813,28.268,27.995,28.42,28.353,28.583,29.854,31.207,33.53,36.353,38.086,37.835,40.38,42.889,44.894,46.162,46.943,47.348,49.078,50.616,52.594,54.061,56.945,61.134,66.856,70.844,77.348,86.285,90.531,95.352,97.948,102.165,103.788,104.237,104.519,105.208,108.837,110.334,112.749,113.901,107.719,99.344,96.965,95.972,97.111,98.203,98.511,98.968,98.825,100.751,101.721,103.544,105.251,107.049,107.088,108.061,109.123,112.012,112.112,113.203,113.659,113.636,113.766,113.402
"29","21","    Petroleum and natural gas","B319RG3",3.988,4.117,4.221,4.246,4.195,4.117,4.039,4.012,4.013,3.987,3.961,3.987,4.065,4.091,4.091,4.013,3.987,3.935,3.883,3.832,3.883,3.909,3.909,3.935,3.936,3.963,4.015,4.041,4.119,4.222,4.299,4.352,4.35,4.377,4.402,4.48,4.506,4.583,4.635,4.711,4.711,4.787,4.865,4.892,4.971,5.129,5.183,5.13,5.053,5.181,5.31,5.386,5.462,5.591,5.695,5.72,5.799,5.878,5.977,6.15,6.425,7.293,7.963,8.432,8.91,9.231,9.466,9.826,9.824,10.007,10.359,10.715,11.267,11.925,12.562,13.051,13.391,14.162,14.759,15.438,16.277,16.754,17.286,17.301,16.854,16.917,17.032,17.806,20.166,22.099,23.706,25.859,26.93,27.145,26.642,25.552,22.976,21.474,20.749,19.916,19.279,19.557,19.377,19.375,19.574,19.322,19.355,19.295,19.099,18.748,18.155,17.488,16.102,15.48,15.197,15.47,16.47,16.995,17.371,17.667,17.775,17.879,18.037,18.115,18.082,18.396,18.827,19.447,20.707,20.514,19.726,18.125,18.077,18.137,18.245,18.413,18.156,18.212,18.319,18.406,18.372,18.254,18.62,18.894,19.142,19.245,20.651,21.63,20.51,20.355,21.553,21.969,22.982,23.75,24.364,25.406,27.159,28.188,27.78,27.381,27.163,26.605,26.308,26.692,26.564,26.757,28.003,29.349,31.67,34.468,36.171,35.914,38.441,40.986,43.048,44.317,45.064,45.474,47.218,48.752,50.722,52.174,55.109,59.437,65.408,69.534,76.306,85.734,90.159,95.25,97.963,102.387,103.997,104.407,104.652,105.37,109.335,110.852,113.211,114.08,107.147,98.244,95.913,95.106,96.806,98.363,98.837,99.328,99,101,102,104,106,108,108,109,110,113,113,114,114.341,114.281,114.254,113.735
"30","22","    Mining","B320RG3",10.764,10.764,10.716,10.718,10.812,10.763,10.716,10.625,10.62,10.669,10.715,10.762,10.761,10.809,10.811,10.905,10.952,11,11.047,11.091,11.051,11.241,11.24,11.475,11.481,11.575,11.577,11.858,11.762,12.093,12.095,12.286,12.322,12.372,12.417,12.611,12.782,12.922,13.018,13.448,13.685,13.922,14.11,14.393,14.498,15.016,14.922,15.211,15.628,16.007,16.386,16.711,17.108,17.298,17.576,18.046,18.256,18.634,19.158,19.495,19.833,20.506,21.362,22.192,22.8,23.071,23.123,23.271,23.302,23.777,24.074,24.308,24.722,25.191,25.784,26.319,27.002,27.665,28.255,28.973,29.533,30.564,31.548,32.369,33.105,33.927,34.834,35.833,36.669,37.344,37.956,38.599,39.342,39.924,40.394,40.703,40.879,41.102,41.363,41.752,42.204,42.592,43.109,43.47,43.837,44.085,44.397,44.783,45.15,45.625,46.087,46.608,46.895,47.297,47.646,48.094,48.646,48.999,49.371,49.83,50.256,50.856,51.175,51.527,52.056,52.402,52.797,52.994,53.186,53.326,53.512,53.311,53.243,53.463,53.723,54.206,54.748,55.121,55.644,56.183,56.689,57.091,57.838,58.702,59.41,59.754,60.056,60.316,60.561,60.864,61.517,61.881,62.353,62.796,63.531,64.221,64.631,65.142,65.835,66.559,67.262,67.944,68.56,69.193,70.209,70.921,71.628,72.38,73.333,74.098,75.088,75.623,75.428,75.613,75.747,76.616,77.882,77.837,78.04,78.932,80.456,82.014,83.758,85.473,86.888,88.563,90.769,92.785,95.054,96.851,98.118,99.889,101.077,101.745,102.646,103.511,103.81,104.281,104.603,104.755,103.795,100.915,98.159,97.262,96.385,95.2,95.318,95.728,95.883,96.163,96.54,97.021,96.86,97.259,98.081,98.797,100.244,101.469,102.581,104.662,106.502,106.927,109.011,110.749
"31","23","  Other structures","W004RG3",11.02,11.009,10.964,10.984,11.066,11.025,10.977,10.888,10.888,10.928,10.967,11.004,11.013,11.055,11.069,11.171,11.205,11.24,11.282,11.314,11.278,11.454,11.469,11.677,11.69,11.776,11.786,12.042,11.99,12.265,12.279,12.465,12.503,12.558,12.628,12.787,13.035,13.165,13.252,13.658,13.871,14.149,14.339,14.624,14.732,15.185,15.198,15.539,15.909,16.237,16.581,16.918,17.279,17.469,17.7,18.122,18.396,18.758,19.251,19.628,20.166,21.036,22.1,23.062,23.579,23.948,24.09,24.256,24.398,24.789,24.987,25.22,26.156,26.423,26.915,27.33,27.827,28.422,28.995,29.63,30.326,31.263,32.266,33.077,34.1,34.864,35.681,36.689,37.536,38.407,39.079,39.771,40.454,41.081,41.575,41.918,42.296,42.536,42.766,42.986,43.309,43.772,44.212,44.557,44.827,45.063,45.282,45.605,45.903,46.229,46.595,47.043,47.443,47.891,48.271,48.75,49.258,49.578,49.904,50.306,50.687,51.269,51.619,52.027,52.561,52.9,53.295,53.497,53.714,53.976,54.179,54.051,54.046,54.289,54.532,54.912,55.392,55.916,56.346,56.791,57.259,57.629,58.292,59.058,59.726,60.152,60.549,60.899,61.277,61.552,62.113,62.479,62.91,63.361,63.974,64.618,64.928,65.419,66.055,66.714,67.371,68.006,68.586,69.193,70.095,70.77,71.416,72.207,73.033,73.71,74.634,75.232,75.227,75.51,75.69,76.475,77.491,77.445,77.643,78.476,79.805,81.192,82.768,84.281,85.497,86.92,88.793,90.474,92.016,93.575,94.77,96.616,98.346,98.804,99.618,100.438,100.834,101.266,101.938,102.969,102.887,100.709,98.481,97.923,97.551,96.993,97.043,97.397,97.77,98.319,99.071,99.761,99.924,100.552,101.154,101.528,102.535,103.379,104.365,105.969,107.373,107.814,109.264,110.522
"32","24","    Religious","C309RG3",10.791,10.791,10.744,10.746,10.838,10.789,10.741,10.65,10.648,10.697,10.743,10.79,10.79,10.838,10.84,10.934,10.982,11.03,11.076,11.121,11.077,11.267,11.266,11.501,11.504,11.599,11.6,11.882,11.791,12.122,12.124,12.316,12.359,12.409,12.454,12.649,12.835,12.975,13.07,13.501,13.738,13.975,14.164,14.448,14.549,15.069,14.974,15.263,15.688,16.069,16.448,16.775,17.162,17.352,17.631,18.103,18.347,18.725,19.25,19.585,19.965,20.637,21.495,22.328,22.867,23.139,23.191,23.338,23.382,23.857,24.154,24.388,24.79,25.26,25.855,26.391,26.976,27.631,28.216,28.928,29.577,30.609,31.595,32.418,33.337,34.155,35.055,36.048,36.796,37.471,38.085,38.731,39.369,39.944,40.404,40.701,40.958,41.18,41.441,41.832,42.328,42.716,43.234,43.596,43.898,44.145,44.452,44.832,45.184,45.645,46.092,46.599,46.999,47.401,47.751,48.2,48.798,49.152,49.523,49.984,50.41,51.011,51.331,51.682,52.205,52.552,52.947,53.144,53.323,53.464,53.65,53.448,53.384,53.604,53.865,54.35,54.902,55.288,55.817,56.353,56.841,57.229,57.966,58.825,59.531,59.878,60.183,60.448,60.712,61.014,61.659,62.006,62.446,62.877,63.613,64.316,64.717,65.252,65.973,66.718,67.478,68.175,68.801,69.44,70.44,71.141,71.83,72.559,73.475,74.221,75.209,75.761,75.619,75.833,75.972,76.831,78.061,78.019,78.253,79.191,80.694,82.225,83.954,85.669,87.099,88.786,91.003,93.073,95.268,97.008,98.219,99.954,101.076,101.706,102.591,103.462,103.814,104.272,104.569,104.687,103.656,100.737,97.954,97.036,96.161,94.979,95.096,95.505,95.66,95.94,96.315,96.795,96.635,97.033,97.853,98.568,100.011,101.233,102.343,104.419,106.254,106.678,108.758,110.492
"33","25","    Educational and vocational","W044RG3",9.287,9.287,9.246,9.248,9.33,9.287,9.246,9.168,9.164,9.206,9.245,9.286,9.286,9.327,9.328,9.41,9.448,9.489,9.53,9.568,9.536,9.699,9.698,9.901,9.904,9.986,9.986,10.229,10.153,10.439,10.44,10.606,10.638,10.681,10.72,10.887,11.05,11.171,11.254,11.625,11.823,12.027,12.19,12.434,12.524,12.972,12.892,13.14,13.487,13.814,14.14,14.421,14.771,14.935,15.174,15.581,15.804,16.13,16.583,16.874,17.204,17.786,18.529,19.246,19.683,19.916,19.961,20.089,20.148,20.558,20.815,21.021,21.344,21.75,22.262,22.724,23.229,23.791,24.293,24.906,25.402,26.293,27.143,27.853,28.632,29.333,30.108,30.965,31.683,32.265,32.796,33.353,33.891,34.384,34.779,35.036,35.271,35.463,35.689,36.026,36.439,36.774,37.218,37.531,37.784,37.994,38.258,38.585,38.899,39.296,39.681,40.115,40.457,40.803,41.106,41.49,42.003,42.31,42.63,43.026,43.376,43.894,44.168,44.471,44.925,45.224,45.564,45.733,45.905,46.027,46.189,46.013,45.965,46.155,46.382,46.804,47.417,47.69,48.098,48.101,49.026,49.072,49.814,50.906,51.224,51.671,51.867,51.858,52.238,52.499,53.053,53.352,53.684,54.099,54.759,55.374,55.894,56.461,57.132,57.773,58.303,58.843,59.326,59.826,60.723,61.257,61.743,62.231,62.781,63.294,64.144,64.754,65.05,65.524,65.779,66.489,67.253,66.965,66.966,67.626,68.801,70.077,71.544,73.021,74.314,75.645,77.238,78.489,78.896,80.515,81.751,84.39,88.895,89.041,89.577,90.358,90.826,91.58,93.93,98.507,101.408,100.836,98.912,98.696,99.277,99.807,99.504,99.959,100.462,101.674,103.35,104.65,105.288,106.211,106.465,106.012,106.334,106.792,107.998,109.518,110.47,111.06,111.658,111.947
"34","26","    Lodging","W045RG3",10.854,10.839,10.79,10.798,10.884,10.832,10.789,10.706,10.704,10.745,10.78,10.83,10.834,10.881,10.902,11.006,11.036,11.08,11.134,11.162,11.122,11.317,11.327,11.552,11.552,11.652,11.651,11.928,11.875,12.179,12.172,12.371,12.407,12.47,12.531,12.704,12.955,13.076,13.162,13.592,13.798,14.101,14.319,14.595,14.724,15.223,15.215,15.574,15.914,16.23,16.58,16.896,17.292,17.485,17.716,18.172,18.441,18.819,19.36,19.765,20.309,21.137,22.143,23.07,23.547,23.812,23.969,24.055,24.187,24.583,24.762,24.996,25.66,26.025,26.676,27.225,27.623,28.179,28.664,29.324,29.812,30.818,31.813,32.658,33.682,34.568,35.476,36.463,37.254,38.036,38.747,39.48,40.212,40.766,41.217,41.506,41.61,41.907,42.107,42.346,42.746,43.111,43.61,43.968,44.276,44.519,44.808,45.195,45.563,45.925,46.336,46.853,47.279,47.76,48.117,48.529,49.004,49.319,49.654,50.08,50.482,51.057,51.386,51.797,52.349,52.687,53.126,53.364,53.548,53.788,54.005,53.888,53.877,54.131,54.368,54.736,55.132,55.485,55.909,56.571,56.901,57.376,58.077,58.757,59.492,59.862,60.29,60.647,60.872,61.16,61.738,62.077,62.623,63.027,63.657,64.416,64.639,65.044,65.707,66.474,67.297,68.059,68.723,69.37,70.328,71.027,71.717,72.449,73.37,74.119,75.106,75.654,75.501,75.71,75.848,76.706,77.952,77.905,78.104,78.995,80.502,82.065,83.813,85.529,86.943,88.618,90.825,92.889,95.049,96.756,97.965,99.695,100.837,101.498,102.413,103.322,103.802,104.251,104.514,104.554,103.453,100.459,97.678,96.861,95.988,94.808,94.925,95.333,95.487,95.767,96.141,96.621,96.461,96.858,97.677,98.39,99.831,101.05,102.158,104.231,106.062,106.486,108.562,110.292
"35","27","    Amusement and recreation","W046RG3",10.869,10.854,10.804,10.809,10.892,10.837,10.794,10.711,10.71,10.753,10.79,10.843,10.85,10.899,10.919,11.02,11.047,11.09,11.146,11.179,11.148,11.347,11.353,11.568,11.552,11.643,11.642,11.926,11.889,12.202,12.197,12.391,12.415,12.476,12.542,12.73,13.005,13.136,13.218,13.631,13.805,14.084,14.289,14.562,14.699,15.21,15.218,15.599,15.964,16.297,16.652,16.962,17.339,17.52,17.745,18.203,18.482,18.85,19.36,19.711,20.179,20.967,21.968,22.929,23.478,23.802,24.001,24.113,24.255,24.646,24.803,24.999,25.608,25.944,26.596,27.175,27.636,28.24,28.753,29.422,29.897,30.899,31.9,32.762,33.819,34.721,35.629,36.6,37.356,38.109,38.797,39.518,40.245,40.797,41.251,41.545,41.834,41.99,42.099,42.301,42.731,43.119,43.634,44.001,44.311,44.56,44.86,45.263,45.651,46.02,46.425,46.924,47.317,47.777,48.124,48.538,49.029,49.358,49.708,50.147,50.563,51.147,51.479,51.886,52.427,52.754,53.18,53.406,53.575,53.811,54.032,53.925,53.932,54.195,54.432,54.791,55.169,55.513,55.938,56.614,56.967,57.458,58.165,58.843,59.566,59.934,60.371,60.748,61.007,61.304,61.863,62.155,62.624,63.024,63.729,64.643,64.595,65.125,65.859,66.635,67.399,68.13,68.786,69.441,70.442,71.147,71.832,72.557,73.44,74.163,75.139,75.689,75.561,75.782,75.921,76.772,77.982,77.928,78.154,79.094,80.59,82.154,83.902,85.62,87.036,88.713,90.923,92.985,95.132,96.83,98.025,99.76,100.894,101.552,102.468,103.375,103.777,104.241,104.531,104.627,103.606,100.685,97.924,97.07,96.195,95.012,95.129,95.538,95.693,95.973,96.348,96.829,96.668,97.067,97.887,98.602,100.046,101.268,102.378,104.455,106.291,106.715,108.796,110.53
"36","28","    Transportation","W047RG3",13.237,13.211,13.222,13.368,13.408,13.446,13.365,13.204,13.215,13.191,13.216,13.159,13.216,13.173,13.131,13.259,13.237,13.224,13.175,13.193,13.195,13.262,13.327,13.458,13.457,13.481,13.515,13.672,13.697,13.718,13.828,13.95,13.94,13.985,14.166,14.183,14.598,14.725,14.807,15.109,15.244,15.593,15.704,16.05,16.056,16.212,16.498,16.93,17.238,17.45,17.734,18.156,18.392,18.587,18.674,18.878,19.3,19.598,20.026,20.625,21.767,23.407,25.282,26.642,26.864,27.729,28.008,28.372,28.802,29.108,29.194,29.49,32.473,32.072,32.104,31.874,32.357,32.937,33.639,34.091,35.277,35.979,37.268,38.049,39.793,40.031,40.331,41.549,42.528,44.053,44.653,45.078,45.667,46.652,47.465,48.162,49.492,50.29,51.153,51.325,51.249,52.447,52.75,53.015,53.17,53.384,53.084,52.981,52.753,52.589,52.518,52.559,52.617,52.824,53.323,54.64,55.459,55.849,55.937,56.053,56.38,57.138,57.619,57.803,58.214,58.603,58.807,58.7,59.29,59.639,59.866,59.616,59.642,59.814,60.208,60.907,61.892,63.898,64.858,65.289,65.48,65.749,66.082,66.754,67.473,67.664,67.915,68.53,69.706,70.019,70.781,71.737,71.825,71.947,72.222,72.508,73.107,73.627,74.087,74.541,74.977,75.228,75.639,76.133,76.919,77.528,78.184,78.841,79.784,80.717,81.819,82.571,82.565,82.805,83.05,83.762,84.604,85.007,85.403,86.141,87.182,87.799,88.469,88.879,89.276,89.838,90.839,91.839,92.333,92.914,93.741,94.776,95.126,95.111,96.208,97.19,97.989,98.734,99.409,99.985,100.316,100.162,99.812,99.71,100.188,100.56,101.084,101.291,102.184,102.713,102.905,103.33,103.581,103.851,104.401,104.893,105.85,106.156,106.661,107.221,107.904,108.276,108.979,109.621
"37","29","      Air","W048RG3",10.878,10.862,10.812,10.817,10.901,10.848,10.805,10.722,10.721,10.763,10.8,10.85,10.855,10.904,10.926,11.032,11.066,11.111,11.163,11.187,11.143,11.335,11.344,11.57,11.574,11.676,11.675,11.951,11.894,12.196,12.188,12.387,12.427,12.494,12.558,12.737,12.992,13.115,13.199,13.627,13.829,14.127,14.34,14.611,14.734,15.233,15.231,15.602,15.96,16.289,16.646,16.963,17.352,17.541,17.77,18.229,18.503,18.867,19.372,19.717,20.179,20.964,21.967,22.936,23.5,23.831,24.031,24.138,24.268,24.657,24.822,25.038,25.676,26.028,26.682,27.245,27.67,28.263,28.789,29.498,30.041,31.076,32.068,32.873,33.821,34.652,35.531,36.519,37.345,38.15,38.872,39.605,40.322,40.866,41.311,41.599,41.9,42.035,42.136,42.344,42.793,43.194,43.717,44.082,44.383,44.622,44.91,45.299,45.671,46.034,46.444,46.958,47.377,47.853,48.206,48.617,49.093,49.411,49.752,50.188,50.604,51.187,51.518,51.925,52.467,52.795,53.225,53.454,53.629,53.868,54.089,53.98,53.982,54.247,54.491,54.864,55.263,55.614,56.035,56.693,57.016,57.491,58.2,58.896,59.655,60.044,60.484,60.849,61.078,61.354,61.903,62.193,62.669,63.079,63.792,64.717,64.727,65.256,65.979,66.727,67.459,68.164,68.811,69.481,70.445,71.156,71.845,72.573,73.505,74.244,75.218,75.789,75.637,75.843,75.975,76.831,78.052,78.02,78.263,79.226,80.67,82.235,83.972,85.666,87.044,88.679,90.843,92.84,95.144,96.959,98.201,99.928,101.057,101.676,102.536,103.378,103.749,104.216,104.536,104.759,103.82,100.976,98.142,97.062,96.01,94.716,94.779,95.193,95.412,95.729,96.114,96.576,96.371,96.729,97.513,98.196,99.611,100.81,101.904,103.965,105.792,106.215,108.285,110.011
"38","30","      Land \3\","W049RG3",13.827,13.8,13.819,13.992,14.024,14.08,13.99,13.813,13.827,13.79,13.812,13.734,13.802,13.739,13.684,13.817,13.783,13.759,13.689,13.706,13.718,13.761,13.836,13.952,13.949,13.958,14,14.128,14.174,14.133,14.268,14.377,14.356,14.396,14.603,14.587,15.031,15.163,15.246,15.543,15.674,16.033,16.135,16.497,16.49,16.608,16.933,17.38,17.687,17.889,18.17,18.612,18.835,19.034,19.108,19.287,19.732,20.028,20.455,21.093,22.325,24.084,26.084,27.507,27.699,28.63,28.92,29.316,29.783,30.086,30.167,30.477,33.72,33.25,33.232,32.925,33.424,34.015,34.747,35.189,36.449,37.141,38.483,39.276,41.14,41.311,41.557,42.821,43.835,45.463,46.062,46.459,47.042,48.093,48.964,49.722,51.232,52.139,53.134,53.297,53.142,54.483,54.753,55,55.128,55.343,54.94,54.752,54.401,54.118,53.94,53.865,53.82,53.947,54.476,56.059,56.983,57.393,57.398,57.412,57.717,58.523,59.044,59.171,59.545,59.947,60.087,59.89,60.59,60.969,61.197,60.908,60.939,61.092,61.525,62.299,63.414,65.797,66.9,67.273,67.433,67.65,67.889,68.555,69.265,69.408,69.61,70.28,71.701,72.016,72.825,73.939,73.93,73.983,74.157,74.307,75.035,75.554,75.954,76.341,76.707,76.831,77.164,77.589,78.294,78.852,79.48,80.085,81.005,82.018,83.16,83.976,84.016,84.261,84.541,85.212,85.955,86.466,86.892,87.574,88.521,88.944,89.402,89.577,89.81,90.207,91.044,91.92,92.195,92.619,93.395,94.36,94.631,94.537,95.662,96.661,97.506,98.282,98.997,99.614,100.069,100.122,99.929,99.88,100.432,100.88,101.428,101.63,102.557,103.105,103.286,103.708,104.004,104.26,104.782,105.25,106.146,106.346,106.783,107.17,107.719,108.084,108.63,109.164
