"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"11","4","        Structures","A760RC1",2.6,2.9,2.7,1.9,1.7,2.3,2.3,3.7,3.3,3.6,3.9,3.7,6.3,12.1,7,3.3,2.5,1.7,3,4.6,6.3,7,9.5,11.1,11.7,12.1,12,13.4,14.9,16.5,16.9,16.6,18,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65,65.7,72.5,81.1,89,95.5,99,102,112.6,117,119.7,120.8,124.9,134.4,144.7,155,159.3,175.3,189.3,205.3,220.2,226.9,232
"12","5","        Equipment and software","A871RC1",0.3,0.2,0.3,0.2,0.2,0.4,0.5,0.4,0.5,0.5,0.6,0.6,4.5,16.4,32.1,33.4,21.6,1.8,1.6,2.4,3.4,2.8,8.1,11.2,12.3,10.4,9,9.5,9.5,10,12.4,11.7,13.3,14.7,13.7,13.6,12.7,14.7,16.5,15.1,14.3,14.4,10.5,11,12.5,15.9,18.6,21.5,23.2,25.6,30.7,34.9,40.5,47.3,57.1,66.8,77.7,84.2,88.8,87.2,95.7,103.1,103.3,103.4,98.2,96.4,98.4,100.2,97.1,103.1,111.5,115.2,118.7,124,128.3,140.5
"13","6","Federal","A823RC1",1.7,1.8,1.9,1.8,2.3,3.3,3.4,5.6,5.1,5.7,6,6.5,18,54.1,86.5,97,84.1,28.9,22.7,24.2,27.7,26,45.1,59.2,64.4,57.3,54.9,56.7,61.3,63.8,65.4,64.1,67.9,75.3,76.9,78.5,80.4,92.5,104.8,111.4,113.4,113.5,113.7,119.7,122.5,134.6,149.1,159.7,175.4,190.9,210.6,243.8,280.2,310.8,342.9,374.4,412.8,438.6,460.1,462.3,482.2,508.3,527.7,533.9,525.2,519.1,519.2,527.4,530.9,530.4,555.8,578.8,612.9,679.7,754.8,827.6
"14","7","    Consumption expenditures","A957RC1",1.5,1.6,1.5,1.4,1.7,2.4,2.2,4.3,3.9,4.5,4.9,4.9,9.4,27.1,48.3,61,60.8,27,20.9,21.2,23.3,22.1,34.4,44.2,48.3,43.9,43.9,45.1,49.5,50.9,50,49.8,51.6,57.8,60.8,62.8,65.7,75.9,87.1,95.4,98.4,98.6,102,107.7,108.9,118,129.6,137.2,150.7,163.3,179,207.5,238.3,263.3,286.5,310,338.4,358.2,374.3,382.5,399.2,419.8,439.5,445.2,441.9,440.8,440.5,446.3,457.7,454.6,475.1,499.3,531.9,591.5,661.9,725.7
"15","8","    Gross investment","A787RC1",0.2,0.3,0.3,0.4,0.6,0.9,1.2,1.2,1.2,1.2,1.1,1.6,8.6,27,38.2,35.9,23.3,1.9,1.8,3,4.4,3.9,10.7,15,16.1,13.3,10.9,11.6,11.9,12.9,15.4,14.3,16.3,17.4,16.1,15.6,14.7,16.7,17.7,16,15,14.8,11.7,12,13.6,16.6,19.5,22.6,24.7,27.6,31.6,36.3,41.9,47.5,56.4,64.4,74.4,80.4,85.8,79.8,83,88.5,88.2,88.8,83.3,78.3,78.8,81.1,73.2,75.8,80.7,79.5,81,88.1,92.9,101.9
"16","9","      Structures","A801RC1",0.2,0.2,0.3,0.3,0.5,0.6,0.8,1,1,0.9,0.8,1.2,4.2,10.7,6.2,2.7,1.8,0.3,0.5,1,1.5,1.6,3.1,4.4,4.4,3.6,2.7,3,3.4,4,4,3.9,4.2,4.1,4,3.8,3.9,4.1,3.4,3.3,3.4,3.4,4.3,4.5,5.2,5.6,6.4,6.7,7.4,8.6,8.8,10.3,10.9,10.7,11.5,12,13.6,14.8,16.7,14.2,13.2,14.1,13.8,15.5,16.3,16.2,17.1,17.9,15.5,15.7,15.6,13.3,12.9,14.3,15.4,14.5
"17","10","      Equipment and software","A872RC1",0,0,0.1,0,0.1,0.3,0.3,0.3,0.3,0.3,0.4,0.4,4.4,16.3,32,33.3,21.5,1.6,1.3,2,2.9,2.3,7.5,10.6,11.7,9.7,8.2,8.6,8.4,8.9,11.4,10.4,12.1,13.3,12.2,11.8,10.8,12.6,14.3,12.6,11.6,11.5,7.4,7.5,8.4,11,13.1,15.8,17.3,18.9,22.9,26,31,36.7,44.9,52.4,60.9,65.6,69.1,65.6,69.7,74.4,74.4,73.3,67,62.1,61.7,63.2,57.7,60.1,65.1,66.2,68.1,73.8,77.6,87.4
"18","11","  National defense","A824RC1",0.9,0.9,0.9,0.9,0.9,0.8,1,1.2,1.3,1.4,1.5,2.5,14.3,51.1,84.2,94.5,82,25.2,18.2,18.3,19.8,19.6,39.3,52.4,55.9,49.2,47,49.2,53.6,55.4,53.8,53.4,56.5,61.1,61,60.3,60.6,71.7,83.5,89.3,89.5,87.6,84.6,87,88.2,95.6,103.9,111.1,120.9,130.5,145.2,168,196.3,225.9,250.7,281.6,311.2,330.9,350,354.9,362.2,374,383.2,376.9,362.9,353.7,348.7,354.6,349.6,345.7,360.6,370.3,392.6,437.1,496.7,552.7
"19","12","    Consumption expenditures","A997RC1",0.9,0.9,0.9,0.9,0.8,0.7,0.9,1,1,1,1.2,1.7,7.1,25.1,46.8,59.1,59.3,23.7,17.3,16.3,16.9,17.2,30.1,38.9,41.2,37.1,36.9,38.8,43.2,44.1,40.1,41,42.7,46.6,48.3,48.8,50.6,60,70,77.2,78.2,76.6,77.1,79.5,79.4,84.5,90.9,95.8,104.2,112.7,123.8,143.7,167.3,191.2,208.8,232.9,253.7,268,283.6,293.6,299.5,308.1,319.8,315.3,307.6,300.7,297.3,302.5,304.7,300.7,312.9,321.5,342.4,381.7,436.6,484.2
"20","13","    Gross investment","A788RC1",0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.8,7.2,26,37.4,35.4,22.7,1.5,0.9,2,2.9,2.4,9.1,13.4,14.7,12.1,10.1,10.5,10.5,11.3,13.7,12.3,13.9,14.5,12.6,11.5,10,11.8,13.5,12.2,11.3,11.1,7.5,7.5,8.7,11.1,13,15.3,16.7,17.8,21.4,24.3,28.9,34.7,41.9,48.7,57.5,62.9,66.4,61.3,62.7,65.9,63.4,61.6,55.2,52.9,51.4,52.1,44.9,45,47.7,48.8,50.2,55.4,60.1,68.5
"21","14","      Structures","A808RC1",0,0,0.1,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.6,3.6,10.3,5.8,2.5,1.7,0.3,0.2,0.4,0.4,0.5,2,3.3,3.3,2.7,2.1,2.1,2.3,2.6,2.5,2.2,2.4,2,1.6,1.3,1.1,1.3,1.2,1.2,1.5,1.3,1.8,1.8,2.1,2.2,2.3,2.1,2.4,2.5,2.5,3.2,3.2,4,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.1,5.7,6.3,6.7,5.7,5.1,5,5,4.6,4.4,5.1,5.1
"22","15","      Equipment and software","A873RC1",0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,3.6,15.7,31.5,33,21,1.2,0.8,1.6,2.6,1.9,7.1,10.1,11.4,9.4,8,8.4,8.2,8.7,11.2,10.1,11.5,12.5,11,10.2,8.9,10.5,12.3,10.9,9.9,9.8,5.7,5.7,6.6,8.9,10.7,13.2,14.4,15.3,18.9,21.1,25.7,30.8,37.1,43.8,51.3,56.1,58.8,53.9,56.3,59.8,58.8,56.3,50.1,47.2,45.1,45.4,39.2,39.9,42.8,43.8,45.6,51,55,63.4
"23","16","  Nondefense","A825RC1",0.8,0.9,0.9,0.9,1.4,2.5,2.3,4.3,3.8,4.4,4.5,4,3.7,3,2.3,2.4,2.1,3.7,4.4,5.9,7.9,6.5,5.8,6.8,8.5,8.1,7.9,7.5,7.7,8.4,11.5,10.7,11.4,14.2,15.9,18.2,19.8,20.8,21.3,22.1,23.8,25.8,29.1,32.7,34.3,39,45.1,48.6,54.5,60.4,65.4,75.8,84,84.9,92.3,92.8,101.6,107.8,110,107.4,120,134.3,144.5,157,162.4,165.5,170.5,172.8,181.3,184.7,195.2,208.5,220.3,242.5,258.2,274.9
"24","17","    Consumption expenditures","A542RC1",0.7,0.7,0.7,0.6,0.9,1.7,1.3,3.3,2.9,3.5,3.7,3.2,2.3,2,1.5,1.9,1.5,3.3,3.6,4.9,6.4,4.9,4.3,5.3,7.1,6.9,7.1,6.3,6.3,6.8,9.8,8.7,9,11.3,12.4,14,15.1,15.9,17.1,18.3,20.2,22.1,24.9,28.2,29.4,33.4,38.7,41.4,46.5,50.6,55.1,63.8,71,72.1,77.7,77.1,84.7,90.3,90.6,88.9,99.7,111.7,119.7,129.8,134.2,140.1,143.2,143.8,153,153.9,162.2,177.8,189.5,209.9,225.3,241.4
"25","18","    Gross investment","A798RC1",0.2,0.2,0.3,0.3,0.5,0.8,1.1,1,0.9,0.9,0.8,0.8,1.4,1,0.8,0.5,0.6,0.4,0.8,1,1.4,1.6,1.5,1.6,1.4,1.2,0.9,1.2,1.4,1.6,1.7,2,2.4,2.9,3.5,4.2,4.7,4.9,4.2,3.8,3.6,3.8,4.2,4.5,4.9,5.6,6.5,7.3,8,9.8,10.2,12,13,12.7,14.5,15.7,16.9,17.5,19.4,18.6,20.3,22.6,24.8,27.2,28.1,25.4,27.3,29.1,28.3,30.8,33,30.7,30.8,32.7,32.8,33.4
"26","19","      Structures","A830RC1",0.1,0.2,0.2,0.3,0.5,0.6,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.4,0.2,0.2,0,0.3,0.7,1.1,1.2,1.1,1.1,1.1,0.9,0.6,0.9,1.1,1.4,1.5,1.7,1.9,2.1,2.3,2.5,2.8,2.8,2.2,2.1,1.9,2.1,2.5,2.7,3.1,3.4,4.1,4.6,5,6.1,6.3,7.1,7.7,6.8,6.7,7,7.3,8,9,6.8,6.9,8,9.2,10.3,11.2,10.5,10.8,11.2,9.8,10.6,10.6,8.3,8.3,9.9,10.3,9.4
"27","20","      Equipment and software","B880RC1",0,0,0,0,0,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.8,0.6,0.4,0.3,0.5,0.4,0.5,0.4,0.3,0.4,0.4,0.5,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.6,0.8,1.2,1.6,1.9,2.1,1.9,1.7,1.7,1.7,1.7,1.8,1.8,2.2,2.4,2.7,3,3.7,4,4.9,5.3,6,7.8,8.7,9.6,9.5,10.4,11.7,13.4,14.6,15.7,16.9,16.9,14.9,16.5,17.9,18.5,20.2,22.4,22.3,22.5,22.8,22.6,24
"28","21","State and local","A829RC1",7.6,8.2,8,6.9,6.4,7.2,7.5,7.5,7.7,8.1,8.8,8.6,8.6,8.6,8.4,8.4,9,10.8,13.7,16.3,19,20.7,23,24.4,26.1,28.9,31.6,34.7,38.3,42.2,44.7,47.5,51.6,54.9,59.5,64.8,71,79.2,87.9,98,108.2,120.3,132.8,143.8,159.2,183.4,208.7,223.3,238.7,262.6,290.2,322.4,347.3,369.7,390.5,422.6,466.2,510.7,539.4,576.7,616.9,671.9,706.7,737,766,806.3,850,888.6,937.8,987.9,1065,1142.8,1212.8,1281.5,1337.1,1388.3
"29","22","  Consumption expenditures","A991RC1",5,5.2,5.4,5.1,5,5.5,5.9,4.6,5.1,5.1,5.4,5.8,6.3,7,7.5,7.7,8.2,9.2,10.9,12.3,13.7,14.9,16.1,17.1,18.2,19.7,21.6,23.4,25.8,28.6,30.7,33.5,36.6,39,41.9,45.8,50.2,56.1,62.6,70.4,79.9,91.5,102.7,113.2,126,143.7,165.1,179.5,195.9,213.2,233.3,258.4,282.3,304.9,324.1,347.7,381.8,417.9,440.9,470.4,502.1,544.6,574.6,602.7,630.3,663.3,696.1,724.8,758.9,801.4,858.9,917.8,969.8,1025.3,1074.8,1117.7
"30","23","  Gross investment","A799RC1",2.6,2.9,2.6,1.8,1.3,1.8,1.6,2.9,2.6,3,3.4,2.8,2.2,1.5,0.9,0.7,0.8,1.6,2.8,4,5.3,5.9,7,7.3,7.9,9.2,10,11.3,12.5,13.5,13.9,13.9,15,15.9,17.5,19,20.8,23.1,25.3,27.7,28.3,28.7,30.1,30.6,33.2,39.6,43.6,43.8,42.8,49.5,56.8,64,65,64.8,66.4,75,84.4,92.8,98.4,106.3,114.7,127.2,132.1,134.3,135.7,143,154,163.8,178.9,186.5,206,225,243,256.1,262.3,270.6
"31","24","    Structures","A842RC1",2.4,2.7,2.4,1.6,1.2,1.6,1.5,2.8,2.4,2.8,3.1,2.6,2.1,1.4,0.8,0.6,0.7,1.4,2.5,3.6,4.9,5.4,6.4,6.7,7.3,8.5,9.3,10.4,11.5,12.5,12.8,12.7,13.8,14.5,16,17.2,19,21,23,25.2,25.6,25.8,27,27.1,29.1,34.7,38.1,38.1,36.9,42.8,49,55.1,55.4,54.2,54.2,60.5,67.6,74.2,78.8,84.8,88.7,98.5,103.2,104.2,104.5,108.7,117.3,126.8,139.5,143.6,159.7,176,192.4,205.9,211.6,217.6
"32","25","    Equipment and software","B881RC1",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.1,1.1,1.2,1.3,1.3,1.5,1.8,1.9,2.1,2.3,2.4,2.7,3,3.1,3.5,4.1,4.9,5.5,5.7,5.9,6.6,7.8,8.9,9.5,10.6,12.2,14.4,16.8,18.6,19.6,21.5,26,28.7,28.9,30.1,31.2,34.3,36.7,36.9,39.4,43,46.4,49,50.6,50.2,50.8,53
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
