"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238"
"25","17","Residential","B011RA3",19.615,18.639,21.495,25.644,25.339,26.816,25.966,24.053,22.236,21.858,23.728,26.629,29.663,32.533,34.324,32.714,30.965,26.802,25.094,25.323,25.989,26.463,26.196,27.602,28.031,28.113,27.048,26.818,27.098,28.862,30.621,32.547,34.965,35.482,34.728,33.254,32.377,32.181,31.548,31.055,30.61,29.872,29.471,29.429,28.263,28.334,30.4,33.638,37.467,38.796,38.063,36.954,38.014,34.888,33.83,33.784,33.915,34.037,35.876,37.079,37.747,38.929,38.896,38.845,40.249,43.144,43.942,45.28,48.054,45.635,44.889,44.071,44.224,44.57,44.745,43.776,44.77,41.179,39.84,35.66,34.588,38.52,40.451,42.808,43.069,44.157,44.95,45.51,47.149,46.642,46.262,42.879,42.964,40.101,42.237,46.689,49.182,54.145,56.813,59.015,62.951,64.185,64.335,66.634,68.871,65.37,62.599,59.607,55.238,52.826,51.083,44.361,41.621,42.516,45.479,47.471,52.323,53.827,52.947,59.693,61.496,68.532,68.316,67.416,67.751,71.007,71.994,71.741,70.063,68.756,67.938,65.37,60.372,49.2,50.04,54.931,53.946,52.122,48.102,43.174,40.686,39.4,39.275,42.152,49.335,55.18,60.647,63.208,64.966,66.168,65.532,65.6,65.396,65.918,66.756,68.345,71.265,75.221,76.379,76.241,76.041,76.374,76.143,76.517,74.86,75.456,75.502,76.164,75.667,73.424,72.624,71.099,71.822,69.06,65.137,61.529,57.87,59.235,61.69,63.044,66.259,68.794,68.953,71.295,71.62,72.462,74.964,78.739,80.294,82.995,82.122,81.071,79.263,76.728,79.113,80.917,83.035,86.547,86.314,85.426,85.718,86.798,87.192,88.081,89.902,92.391,94.907,97.186,98.024,98.869,99.452,100.672,101.689,100.786,98.718,98.807,99.342,100.714,101.166,100.206,102.707,105.066,105.582,107.242,108.474,110.989,116.631,119.861,121.376,126.441,127.267,127.772,130.695,134.1,135.673
"26","18","  Structures","B012RA3",20.047,19.055,21.993,26.394,26.038,27.621,26.716,24.659,22.808,22.406,24.409,27.443,30.582,33.489,35.362,33.595,31.87,27.55,25.731,25.992,26.71,27.157,26.953,28.308,28.758,28.852,27.782,27.562,27.865,29.671,31.458,33.442,35.991,36.484,35.709,34.143,33.167,32.966,32.289,31.866,31.311,30.558,30.153,30.131,29.064,28.97,31.004,34.265,38.288,39.682,39.03,37.911,38.968,35.724,34.592,34.574,34.723,34.825,36.722,37.988,38.706,39.9,39.83,39.757,41.205,44.203,45.021,46.414,49.283,46.743,45.949,45.105,45.199,45.549,45.717,44.649,45.69,41.991,40.56,36.262,35.146,39.225,41.196,43.556,43.795,44.917,45.666,46.242,47.908,47.321,46.911,43.365,43.442,40.455,42.64,47.21,49.776,54.879,57.626,59.833,63.818,65.062,65.14,67.465,69.706,66.07,63.201,60.083,55.518,53.004,51.256,44.452,41.633,42.54,45.572,47.605,52.614,54.149,53.213,60.16,62.1,69.21,68.881,67.88,68.284,71.59,72.614,72.318,70.574,69.155,68.244,65.604,60.483,49.068,49.912,54.913,53.887,52.053,47.912,42.864,40.359,39.028,38.904,41.851,49.15,55.106,60.652,63.251,65.006,66.189,65.517,65.565,65.329,65.816,66.64,68.205,71.155,75.208,76.36,76.201,75.994,76.327,76.029,76.381,74.71,75.285,75.328,75.983,75.473,73.178,72.406,70.824,71.555,68.774,64.796,61.142,57.419,58.776,61.332,62.739,65.958,68.542,68.699,71.052,71.393,72.244,74.777,78.661,80.263,82.987,82.097,80.975,79.143,76.584,78.996,80.84,83.026,86.568,86.362,85.438,85.773,86.864,87.254,88.15,89.985,92.479,95.023,97.316,98.134,98.937,99.489,100.729,101.72,100.802,98.698,98.78,99.323,100.726,101.189,100.187,102.695,105.067,105.609,107.291,108.541,111.035,116.698,119.931,121.432,126.545,127.341,127.819,130.781,134.226,135.813
"27","19","    Permanent site","B943RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.061,34.703,36.958,40.867,46.877,48.413,47.272,45.426,46.402,41.384,39.495,38.801,38.97,39.522,42.188,44.494,45.419,47.228,47.923,47.8,49.465,52.898,54.658,56.665,61.123,56.807,55.72,54.428,54.008,54.45,55.593,54.03,55.867,50.501,45.737,39.246,39.366,42.803,48.391,51.844,51.781,53.588,54.313,54.659,57.326,56.586,54.553,52.064,49.363,45.862,50.001,54.265,59.448,65.957,70.22,73.194,78.99,81.407,81.324,83.481,86.709,85.114,80.084,71.794,64.767,61.849,57.525,50.068,44.232,41.81,44.946,48.31,53.473,57.236,60.407,64.55,69.384,78.378,78.265,78.055,76.784,79.004,81.603,80.653,77.491,75.242,74.349,70.531,61.314,48.237,46.587,52.941,54.887,52.313,46.118,39.519,36.633,35.67,36.787,41.214,50.779,58.597,66.185,70.041,71.869,72.866,72.233,71.611,71.287,70.86,70.687,72.024,75.433,79.226,81.76,81.558,80.34,80.289,80.439,81.172,77.521,77.362,77.084,78.695,79.002,76.518,74.642,72.827,74.798,71.414,66.234,61.235,55.386,56.127,61.046,63.034,65.569,69.683,68.956,70.527,71.156,71.214,73.385,77.508,80.481,83.961,82.881,81.037,78.543,74.099,75.635,78.436,81.204,85.657,84.922,83.717,83.526,84.605,83.842,85.343,87.867,90.375,94.06,97.041,98.495,98.202,98.836,101.256,102.832,101.418,97.825,97.925,99.503,101.273,101.742,99.829,101.391,104.622,105.668,106.868,109.154,110.78,116.559,123.004,124.611,128.7,130.454,130.654,135.073,136.336,137.98
"28","20","      Single family","B944RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.853,32.516,34.624,38.272,43.911,45.275,44.169,42.448,43.812,38.917,36.876,35.825,35.483,35.407,37.4,38.991,38.884,39.703,39.57,38.938,39.408,41.507,42.592,44.234,49.132,45.598,44.914,44.402,43.887,44.54,46.176,45.238,46.747,42.305,38.22,32.886,33.706,37.222,41.926,44.105,42.754,43.602,43.097,43.103,44.208,42.1,40.03,37.498,34.978,32.444,35.738,39.18,43.614,49.051,51.473,53.458,57.441,58.542,58.828,60.059,62.685,61.178,56.059,49.829,45.581,45.934,44.38,40.43,36.838,37.29,41.684,45.181,50.868,54.955,57.605,60.756,65.3,74.199,74.088,74.429,73.006,73.953,75.777,74.76,70.906,67.042,65.253,60.431,50.939,39.13,38.532,44.731,45.427,43.058,37.607,31.61,28.796,28.487,29.564,34.134,43.073,50.195,56.956,59.748,61.363,62.274,60.303,59.707,59.841,59.9,59.933,61.871,64.875,67.928,71.757,71.951,73.037,74.335,75.342,75.983,73.044,73.782,73.364,74.92,75.135,72.124,70.118,69.251,71.789,68.278,62.747,57.689,51.819,53.883,60.185,62.399,65.644,69.286,70,72.327,73.625,73.808,75.739,80.456,83.42,86.423,84.332,81.832,78.648,73.779,74.847,77.751,80.399,84.537,84.948,83.346,82.394,83.194,82.791,83.782,86.595,90.151,94.293,97.398,98.174,97.909,98.313,101.195,102.843,101.224,98.166,97.768,99.073,100.989,101.465,99.052,100.514,103.865,105.107,106.613,108.856,110.812,116.734,124.058,125.861,130.15,131.746,131.747,135.332,136.549,138.294
"29","21","      Multifamily","B292RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.162,48.67,51.885,57.486,65.854,68.653,67.356,64.696,62.233,56.844,56.514,58.947,63.439,69.284,77.328,85.428,95.021,105.023,112.701,116.931,128.566,142.912,150.189,155.047,155.147,144.744,140.366,132.601,133.053,131.643,128.448,121.767,126.15,113.628,103.704,88.226,82.368,84.679,97.053,110.894,121.78,131.521,142.629,145.819,161.419,172.409,170.947,169.158,165.293,154.037,164.81,175.499,186.355,201.123,220.509,231.513,251.961,265.275,262.059,271.822,279.739,277.606,274.015,249.271,219.53,189.132,161.758,125.38,101.149,74.516,66.472,68.213,68.205,68.683,75.848,87.874,94.505,103.02,102.933,98.098,98.343,111.091,119.915,119.626,122.854,135.125,142.293,148.115,143,120.972,110.205,116.792,129.671,125.695,113.868,102.948,99.741,93.217,94.524,97.406,111.685,124.908,139.018,151.397,154.874,156.536,166.748,165.916,161.872,157.542,155.719,152.297,158.93,168.554,160.949,157.608,138.341,127.722,121.09,122.531,113.248,105.99,106.817,108.869,109.914,111.716,110.922,101.276,98.449,96.194,94.117,89.721,84.134,73.699,66.896,66.944,63.553,71.507,58.8,54.01,48.961,47.902,52.042,50.929,53.901,61.512,69.381,73.399,77.122,76.523,82.269,84.12,87.921,95.162,84.209,86.554,93.158,96.687,92.734,98.635,98.562,92.232,92.107,94.048,101.164,100.657,103.243,101.779,102.744,103.041,94.97,99.245,103.134,103.662,104.076,106.45,108.85,111.051,110.43,109.022,111.681,110.467,115.012,113.78,113.642,115.949,119.089,121.052,132.906,134.579,135.332
"30","22","    Other structures \6\","B863RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.261,20.551,22.259,24.574,25.728,26.906,26.953,26.876,28.039,27.337,27.288,28.225,28.342,27.806,28.598,28.385,28.802,29.114,27.958,27.958,29.084,31.435,30.914,31.425,32.027,32.009,31.639,31.44,32.277,32.491,31.262,30.901,30.758,29.479,32.929,31.84,28.918,33.919,30.622,31.377,32.053,32.166,32.949,33.865,34.061,33.705,35.623,30.618,34.608,32.384,31.796,36.707,35.62,38.69,39.273,40.37,41.747,41.304,41.611,44.179,44.995,38.361,38.616,43.099,42.094,40.155,42.12,36.283,37.802,43.506,46.39,46.504,51.279,49.617,42.758,53.708,51.514,55.903,55.251,53.095,55.933,60.841,59.545,60.213,60.558,60.358,59.413,58.511,59.428,50.438,54.965,57.982,52.549,51.82,50.709,47.929,45.971,44.095,42.144,42.915,46.898,50.136,52.708,53.484,55.139,56.596,55.868,56.89,56.782,58.594,60.864,62.76,65.055,69.49,68.632,68.532,69.8,70.691,69.739,69.539,70.743,72.389,72.896,72.163,70.467,68.443,69.274,68.026,66.977,65.055,62.798,61.066,60.368,62.592,61.799,62.382,66.575,67.004,68.41,71.874,71.806,73.786,76.84,80.387,80.011,81.645,81.028,80.96,80.089,80.298,83.992,84.431,85.768,87.985,88.548,88.034,89.141,90.252,92.343,92.344,93.16,95.639,96.482,97.743,97.593,100.05,100.477,99.927,100.031,99.868,100.024,100.077,99.049,99.894,100.343,100.735,104.693,105.746,105.518,107.938,107.591,111.433,116.912,115.171,116.489,123.204,122.479,123.39,124.08,130.919,132.417
"31","23","  Equipment","B013RA3",7.383,6.946,7.767,7.214,7.672,7.246,7.416,8.076,7.329,7.408,6.827,6.95,7.561,9.03,9.09,10.237,8.66,8.003,8.433,8.129,7.828,8.565,7.43,9.219,9.209,9.082,8.393,8.072,7.924,8.553,9.413,9.905,9.616,10.397,10.165,10.574,11.586,11.534,11.805,10.171,11.78,11.463,11.177,10.799,8.127,11.129,13.319,15.457,15.042,14.941,12.976,12.27,13.139,12.766,13.221,12.698,12.481,12.95,13.363,13.186,12.815,13.526,14.192,14.547,14.871,15.317,15.592,15.651,16.15,16.426,16.717,16.549,17.815,18.009,18.292,19.457,19.343,18.503,19.256,18.158,18.164,18.449,19.287,21.275,21.98,22.205,23.857,23.984,24.839,26.216,26.56,27.34,27.619,27.938,28.734,29.98,30.494,31.606,32.106,33.989,36.376,37.253,39.23,40.711,42.718,43.075,43.158,43.863,45.308,45.978,44.426,40.327,39.973,40.479,41.339,42.059,42.179,42.718,43.489,44.019,41.497,46.031,49.394,51.751,49.918,51.564,51.287,52.486,53.063,55.593,58.137,58.085,57.511,55.108,55.807,56.655,57.187,55.713,56.203,55.69,53.743,54.108,53.951,54.27,57.29,59.148,61.767,62.97,64.812,66.756,67.481,68.275,69.329,71.23,72.621,75.215,77.046,77.14,78.564,79.29,79.342,79.667,82.258,83.531,82.498,83.971,84.157,85.168,85.156,85.183,83.147,84.095,84.416,82.539,81.032,79.444,78.64,80.448,78.269,77.269,80.282,80.591,80.828,82.651,82.25,82.696,83.679,82.205,81.497,83.034,83.04,85.424,84.857,83.549,84.56,84.332,82.976,84.983,83.393,84.331,82.409,82.931,83.521,83.989,85.126,87.3,88.295,89.809,91.693,94.895,97.21,97.284,99.849,99.832,99.908,100.411,100.46,99.947,99.757,101.43,103.493,105.037,103.831,104.082,104.083,107.986,112.162,115.239,117.687,119.277,122.387,124.989,124.882,125.251,125.703
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","  Private fixed investment in structures","A349RA3",21.801,21.139,23.022,25.599,25.567,26.796,26.531,25.421,24.08,23.603,24.407,26.01,28.394,30.67,32.408,31.582,30.549,28.275,27.096,26.818,27.27,27.626,27.594,28.847,29.473,29.755,29.172,29.258,29.563,30.752,31.817,32.978,34.932,35.55,35.51,34.892,34.749,35.158,34.853,34.567,34.103,33.649,33.413,33.31,32.386,31.827,32.691,34.836,37.166,38.438,38.499,37.724,38.985,37.254,36.615,37.214,37.226,37.007,38.139,38.807,39.535,40.845,41.257,40.785,41.039,43.596,44.201,45.377,47.526,46.667,46.834,46.493,47.573,49.241,49.572,49.992,51.173,48.524,48.206,44.848,44.43,46.161,47.565,48.991,49.604,50.062,50.349,51.168,52.516,52.368,53.282,51.011,50.865,48.859,50.239,52.599,54.024,56.91,58.407,59.611,62.562,63.422,63.518,65.27,67.428,66.179,65.155,63.095,60.305,58.752,56.522,52.345,49.354,48.892,50.75,51.913,55.428,56.219,55.944,59.978,61.003,66.005,66.23,65.86,66.039,70.561,73.077,74.207,73.014,72.666,73.667,73.19,70.786,63.357,64.006,67.929,67.271,67.596,66.217,66.281,63.553,61.462,59.193,59.989,62.619,64.373,68.322,70.752,73.724,76.239,77.058,77.494,79.034,79.288,78.907,80.322,81.019,79.655,79.061,79.181,78.278,78.88,80.11,80.989,78.638,79.697,79.246,79.543,79.805,78.052,78.827,77.679,78.902,77.086,74.62,70.829,67.899,67.757,67.086,67.279,68.799,70.324,70.687,72.446,71.842,72.298,73.932,76.773,76.475,79.737,79.177,78.829,78.528,77.659,79.321,80.128,81.993,84.802,85.091,86.281,86.783,87.101,88.716,89.525,90.653,93.605,94.748,96.37,96.092,96.843,96.86,97.987,99.233,100.377,100.108,100.282,99.686,100.078,100.955,96.34,95.835,95.342,94.224,94.746,94.772,97.234,100.514,102.502,103.086,106.757,107.335,107.995,109.546,111.766,112.555
"34","25","  Private fixed investment in equipment and software","A327RA3",5.155,5.042,4.887,5.158,5.591,5.22,5.157,5.329,4.989,4.752,4.499,4.452,4.535,5.053,5.585,5.511,5.264,5.266,5.384,5.328,5.354,5.433,4.631,5.223,5.584,5.579,5.755,5.579,5.275,5.166,5.417,5.412,5.457,5.94,6.302,6.487,6.182,6.196,6.255,6.226,6.35,6.323,6.539,6.284,5.597,5.344,5.314,5.607,5.905,6.08,6.259,6.242,6.473,6.582,6.315,6.101,5.902,6.183,6.268,6.635,6.805,6.982,7.018,7.053,7.192,7.356,7.682,7.988,8.183,8.349,8.636,8.88,9.563,9.739,10.268,10.683,11.27,11.669,11.75,11.926,11.467,11.596,11.444,11.817,12.268,11.999,12.301,12.72,13.199,13.372,13.586,13.526,13.462,13.431,13.512,12.82,13.032,13.358,13.478,13.98,14.51,14.849,15.202,16.3,17.205,17.985,18.224,18.544,18.578,18.561,18.675,17.975,16.787,16.468,16.656,16.887,17.114,17.456,17.942,18.448,19.524,20.033,20.531,21.498,21.809,23.499,23.977,24.643,25.543,25.251,25.836,25.51,25.712,23.994,24.215,24.6,25.258,25.474,26.07,25.845,25.36,24.424,23.99,23.555,23.504,24.695,26.122,28.337,28.89,30.313,31.332,32.336,32.145,32.892,32.507,33.159,32.937,33.403,33.28,33.685,32.715,33.679,34.612,34.183,35.22,36.147,36.658,37.266,37.903,38.888,39.862,39.131,39.485,38.567,38.986,38.727,37.66,37.623,38.207,38.241,38.217,40.327,41.316,42.842,43.624,45.225,45.832,48.104,49.439,49.831,51.1,53.957,56.419,56.552,56.928,58.63,60.195,62.064,64.543,65.75,67.781,70.255,74.128,74.757,78.11,80.291,81.575,84.776,87.386,90.735,93.875,93.873,97.605,100.771,100.716,100.908,100.211,95.717,92.876,91.908,89.45,89.26,89.969,88.864,89.219,90.691,94.002,95.28,98.012,101.51,105.228,108.338,110.496,113.373,115.798
"35","26","  Private fixed investment in new structures \7\","W040RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.549,33.83,34.631,36.835,39.11,40.375,40.423,39.621,40.911,39.202,38.591,39.273,39.314,39.1,40.255,40.909,41.683,43.029,43.416,42.868,43.064,45.65,46.223,47.413,49.718,48.907,49.145,48.794,49.843,51.567,51.945,52.386,53.655,50.929,50.764,47.365,46.898,48.6,49.92,51.34,52.074,52.548,52.753,53.554,55.09,54.942,55.98,53.543,53.513,51.299,52.611,55.108,56.498,59.521,61.121,62.295,65.376,66.274,66.185,67.924,70.058,68.895,67.954,65.766,62.559,60.872,58.568,54.245,50.859,49.957,51.801,52.834,56.492,57.326,56.871,61.026,61.875,67.066,67.252,66.828,66.891,71.546,74.379,75.411,74.266,73.835,74.994,74.881,72.695,65.467,65.352,69.591,69.472,69.839,68.622,69.06,66.24,64.093,61.584,62.062,64.484,66.205,70.28,72.804,75.787,78.52,79.606,80.097,81.408,81.665,80.93,82.506,83.318,81.553,81.065,80.924,79.956,80.654,82.336,83.391,80.488,81.115,80.562,80.948,81.627,80.078,80.531,79.434,80.803,79.072,76.413,72.715,69.309,68.608,68.197,68.496,69.522,71.358,71.973,73.513,73.259,73.644,75.025,77.686,77.566,80.823,80.477,80.242,79.98,79.016,80.098,81.109,83.03,85.697,85.954,87.376,87.711,87.893,89.194,89.599,91.127,93.807,94.973,96.596,96.47,96.668,96.606,98.13,99.373,100.455,100.045,100.128,99.692,99.947,99.159,96.059,94.773,94.158,93.308,93.424,93.474,95.447,97.98,100.648,101.069,103.256,104.198,105.045,106.933,107.626,108.322
"36","27","    Nonresidential structures","A771RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.879,35.692,34.896,35.458,35.43,36.56,37.682,37.445,38.977,39.439,39.549,41.082,40.924,40.292,40.361,40.213,41.004,42.502,43.634,42.61,41.151,43.02,43.306,44.158,45.309,46.808,48.291,48.59,50.979,54.391,54.868,57.267,58.632,57.461,58.66,56.622,57.149,55.501,56.033,56.087,57.231,56.758,56.426,57.591,58.472,58.965,61.775,61.366,60.923,60.34,60.622,59.984,59.858,59.715,59.513,59.363,60.916,61.258,61.378,62.337,64.318,66.304,67.784,67.146,66.754,66.465,63.574,62.792,59.573,57.345,57.695,57.737,59.328,59.168,59.753,59.922,59.685,61.838,62.761,63.242,63.087,69.254,73.829,76.956,76.575,77.696,81.32,83.794,85.082,83.221,83.666,86.155,86.09,89.363,91.61,98.325,95.164,92.009,86.91,84.942,81.557,77.723,79.536,81.749,86.37,90.699,93.551,94.497,98.457,98.382,96.484,97.576,95.174,86.215,83.153,83.65,81.716,82.69,86.121,87.766,84.427,86.147,84.978,84.602,86.097,85.174,88.196,87.705,89.67,89.246,88.925,84.959,83.123,80.889,75.679,74.167,73.254,73.245,73.878,74.753,72.786,72.665,72.985,74.311,71.273,75.27,75.181,75.928,77.813,79.354,79.931,79.247,80.626,82.33,83.275,87.42,88.127,87.369,90.692,90.264,91.566,95.165,94.384,95.054,93.239,93.945,93.217,94.184,95.754,99.78,102.071,102.394,100.24,99.23,96.844,91.08,86.396,82.037,78.744,77.745,75.978,78.429,78.403,78.566,77.829,79.471,79.745,80.761,80.34,80.869,80.571
"37","28","    Residential structures","A756RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.524,32.173,34.22,37.701,41.768,43.132,42.337,41.095,42.189,38.791,37.623,37.645,37.843,37.955,39.942,41.213,41.97,43.192,42.998,42.825,44.311,47.444,48.241,49.694,52.907,50.262,49.509,48.644,48.623,48.996,49.292,48.176,49.36,45.416,44.174,39.723,38.478,42.814,44.748,47.236,47.636,48.85,49.478,49.988,52.03,51.381,51.017,46.988,47.268,43.756,45.873,50.921,53.535,59.135,62.206,64.467,68.809,70.169,69.907,72.281,74.528,70.776,67.847,64.386,58.857,56.001,54.187,46.83,43.299,43.545,46.681,48.569,54.004,55.686,54.339,61.874,63.643,71.407,70.964,69.775,70.006,73.408,74.803,74.111,72.35,70.629,69.746,67.49,62.424,50.854,50.303,55.978,55.874,53.821,49.638,44.635,42.026,40.721,40.44,43.058,50.511,56.924,62.898,65.676,67.297,68.715,68.346,68.462,67.608,68.141,68.362,70.339,73.768,77.833,79.413,78.751,78.53,78.998,79.294,79.882,77.327,77.089,77.025,78.02,78.05,76.003,74.405,72.823,73.713,70.932,66.389,62.905,58.214,58.758,62.23,63.983,66.564,69.87,70.463,72.525,73.632,74.423,76.651,80.377,82.571,85.239,84.686,83.667,81.696,78.738,80.22,82.587,84.943,88.379,88.083,87.321,87.355,88.294,87.956,89.035,90.744,92.666,95.438,97.843,99.102,98.883,99.359,101.332,102.308,101.006,98.404,98.283,99.236,100.524,101.044,100.122,101.637,104.134,105.327,106.375,107.917,109.491,114.124,118.843,120.205,122.838,124.319,125.033,128.809,129.639,131.169
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
