"","Table 5#7#9B# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"13","5","  Durable goods industries","N377RD3",NA,NA,NA,104.985,104.438,103.538,102.768,102.33,101.071,100.401,99.389,98.073,97.481,97.748,98.401,99.302,100.239,99.79,100.287,99.644,99.633,98.926,98.382,97.503,98.203,98.333,98.281,98.154,99.055,98.864,98.868,99.67,102.489,104.811,108.091,109.41,111.056,109.915,111.284,113.152,115.934,120.019,121.513,121.566,122.913,124.845,123.84,124.625,130.063,137.577
"14","6","  Nondurable goods industries","N378RD3",NA,NA,NA,98.994,97.485,97.21,96.918,96.817,95.094,94.565,93.86,92.692,91.782,92.494,94.501,96.325,98.655,100.081,100.817,102.189,102.42,101.523,99.134,95.429,95.961,97.164,99.166,100.968,104.605,103.432,103.564,106.018,107.852,111.027,114.809,117.246,120.754,121.457,127.735,130.326,130.726,134.106,133.43,132.672,134.779,138.498,141.926,152.835,160.029,172.752
"15","7","Wholesale trade","N379RD3",NA,NA,NA,104.333,103.841,102.737,102.265,101.585,100.444,99.431,98.011,97.645,97.349,97.608,98.275,99.063,100.183,100.126,99.866,100.215,99.637,99.188,98.594,97.441,97.804,98.37,99.836,99.788,101.076,100.48,101.142,102.905,104.903,106.083,106.902,108.057,109.598,109.58,111.72,112.642,113.534,116.305,116.234,117.797,119.947,121.48,122.403,127.474,132.696,138.001
"16","8","  Durable goods industries","N380RD3",NA,NA,NA,108.373,107.656,106.769,105.993,105.14,103.879,102.717,101.484,100.672,100.084,99.901,99.97,100.442,100.437,100.225,99.705,99.166,98.314,98.082,97.628,97.073,97.079,97.437,97.539,97.458,97.665,97.726,98.064,99.012,100.769,101.951,103.441,104.403,104.932,104.437,105.073,106.135,107.202,109.124,109.917,110.448,111.376,112.077,112.486,113.402,115.925,119.174
"17","9","  Nondurable goods industries","N381RD3",NA,NA,NA,97.876,97.722,96.287,96.288,95.872,94.92,94.137,92.425,92.766,92.932,93.904,95.532,96.829,99.769,99.967,100.132,101.936,101.797,100.987,100.166,98.11,99.001,99.872,103.304,103.311,106.175,104.622,105.756,108.702,111.062,112.244,112.03,113.492,116.625,117.371,121.887,122.59,123.199,127.317,125.842,129.084,133.239,136.135,137.89,149.499,158.996,167.596
"18","10","Retail trade","N382RD3",NA,NA,NA,100.868,100.599,99.89,99.5,99.106,98.918,98.839,98.764,98.807,98.378,98.74,99.368,99.553,99.708,100.04,100.136,100.455,100.499,100.544,100.444,99.83,99.717,99.717,99.846,99.684,100.355,100.095,99.979,99.995,100.706,101.597,102.362,103.094,103.907,104.203,105.194,105.371,105.79,106.806,107.154,107.18,108.057,108.808,109.491,110.842,112.258,114.094
"19","11","  Motor vehicle and parts dealers","N864RD3",NA,NA,NA,100.339,99.953,99.017,98.316,97.713,97.771,97.977,98.533,98.857,97.943,98.581,99.528,99.674,99.32,100.009,100.206,101.024,100.63,100.475,100.459,99.683,99.021,98.822,98.491,97.608,98.368,97.599,96.542,95.401,95.834,96.356,97.437,98.073,98.299,98.849,99.406,98.665,98.958,99.394,99.458,98.975,98.538,99.045,99.634,100.057,100.562,100.748
"20","12","  Food and beverage stores","N239RD3",NA,NA,NA,96.708,96.965,96.409,96.75,96.586,96.686,96.825,97.374,98.077,97.876,98.33,99.284,98.812,99.293,100.174,100.41,100.973,102.654,103.308,103.838,103.343,104.068,103.099,103.279,103.367,104.516,105.626,107.316,108.889,109.442,111.4,111.453,112.099,113.333,113.354,113.121,115.083,113.293,114.396,116.908,117.289,121.874,121.47,122.791,126.304,129.248,132.896
"21","13","  General merchandise stores","N240RD3",NA,NA,NA,98.478,98.463,98.492,98.563,98.699,99.1,99.257,99.431,99.518,99.332,99.375,99.662,99.764,99.909,100.005,100.081,100.176,100.653,100.85,100.907,100.733,100.453,100.452,100.584,100.872,101.16,101.436,101.619,102.021,102.578,103.421,103.103,103.556,104.278,104.534,104.709,105.021,105.396,105.94,106.347,106.994,108.319,109.066,109.775,110.609,112.391,113.982
"22","14","  Other retail stores","N865RD3",NA,NA,NA,103.034,102.636,101.753,101.25,100.749,100.095,99.677,98.941,98.648,98.426,98.696,99.165,99.534,100.001,100.056,100.06,100.039,99.955,99.983,99.644,98.968,99.162,99.489,99.955,100.149,100.788,100.501,100.741,101.319,102.348,103.39,104.386,105.313,106.589,106.738,108.577,109.165,110.059,111.695,111.902,112.054,113.197,114.317,114.959,116.847,118.56,121.393
"23","15","Other industries","N385RD3",NA,NA,NA,99.287,98.861,98.385,98.527,98.626,98.07,97.691,97.43,96.703,96.215,96.688,97.35,98.204,99.444,99.734,100.092,100.557,100.915,100.97,100.004,98.888,98.142,98.357,98.609,99.22,100.682,100.2,100.412,100.393,100.684,101.536,102.19,103.473,104.618,105.401,107.167,107.855,108.098,109.611,110.555,110.258,111.123,112.585,113.478,115.881,118.63,121.419
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Private inventories","A371RD3",NA,NA,NA,102.625,102.479,101.525,101.016,100.515,99.259,98.378,97.178,96.525,96.266,96.633,97.538,98.498,99.769,99.889,99.988,101.004,101.336,100.661,99.416,97.944,98.278,98.732,99.566,100.424,101.923,101.549,102.519,103.406,105.318,107.12,108.038,109.235,110.863,110.84,113.278,115.078,115.051,117.059,117.943,118.191,120.36,122.017,123.016,126.644,132.316,139.093
"26","17","    Durable goods industries","N241RD3",NA,NA,NA,105.495,104.946,104.038,103.24,102.613,101.599,100.914,100.09,99.249,98.621,98.801,99.258,99.79,100.136,100.009,100.038,99.72,99.345,98.976,98.576,97.883,98.073,98.226,98.198,97.919,98.492,98.324,98.24,98.622,100.42,101.994,104.031,105.012,105.983,105.489,106.298,107.384,108.966,111.212,112.147,112.179,112.941,114.06,113.968,114.63,117.709,121.983
"27","18","    Nondurable goods industries","N242RD3",NA,NA,NA,100.073,100.267,99.275,99.014,98.62,97.157,96.105,94.579,94.091,94.157,94.69,95.992,97.336,99.439,99.783,99.946,102.186,103.159,102.202,100.2,98.045,98.504,99.216,100.796,102.645,104.962,104.408,106.309,107.642,109.657,111.664,111.569,112.964,115.191,115.603,119.537,121.999,120.466,122.249,123.083,123.532,127.013,129.17,131.173,137.519,145.562,154.622
"28","19","  Nonfarm industries","A373RD3",NA,NA,NA,102.035,101.532,100.652,100.239,99.929,98.879,98.356,97.575,96.964,96.438,96.904,97.826,98.622,99.549,99.881,100.211,100.687,100.805,100.118,99.12,97.782,98,98.555,99.222,99.597,101.289,100.783,100.889,101.76,103.526,105.194,106.834,108.227,109.76,109.939,112.352,114.053,114.515,116.589,116.924,117.175,118.754,120.506,121.091,124.674,129.077,135.022
"29","20","  Wholesale trade","N379RD3",NA,NA,NA,104.333,103.841,102.737,102.265,101.585,100.444,99.431,98.011,97.645,97.349,97.608,98.275,99.063,100.183,100.126,99.866,100.215,99.637,99.188,98.594,97.441,97.804,98.37,99.836,99.788,101.076,100.48,101.142,102.905,104.903,106.083,106.902,108.057,109.598,109.58,111.72,112.642,113.534,116.305,116.234,117.797,119.947,121.48,122.403,127.474,132.696,138.001
"30","21","    Merchant wholesale trade","N802RD3",NA,NA,NA,104.571,104.286,103.329,102.818,102.191,101.225,100.223,98.784,98.49,98.099,98.171,98.663,99.288,100.23,100.144,99.778,100.129,99.69,99.271,98.805,97.941,98.17,98.672,100.125,99.926,100.854,100.653,101.281,102.973,104.928,105.927,106.428,107.383,108.726,108.656,110.027,111.09,111.985,114.402,114.777,116.596,118.658,119.857,120.809,125.316,130.449,135.005
"31","22","      Durable goods industries","N803RD3",NA,NA,NA,108.063,107.399,106.555,105.818,104.999,103.769,102.626,101.402,100.596,100.017,99.843,99.937,100.438,100.443,100.232,99.707,99.163,98.327,98.085,97.646,97.102,97.114,97.5,97.613,97.543,97.758,97.826,98.171,99.152,100.938,102.126,103.648,104.624,105.151,104.636,105.289,106.383,107.466,109.434,110.241,110.778,111.732,112.438,112.849,113.778,116.338,119.615
"32","23","      Nondurable goods industries","N804RD3",NA,NA,NA,98.832,99.142,98.008,97.86,97.542,96.996,96.221,94.435,94.975,94.897,95.377,96.531,97.362,99.87,99.992,99.896,101.759,101.977,101.256,100.737,99.374,99.933,100.611,104.025,103.645,105.63,105.03,106.08,108.819,111.044,111.765,110.656,111.594,114.255,114.911,117.448,118.463,119.041,122.19,121.834,125.798,129.732,131.768,133.617,143.859,153.162,159.821
"33","24","    Nonmerchant wholesale trade","N805RD3",NA,NA,NA,102.752,101.095,99.166,98.91,97.92,95.781,94.7,93.39,92.606,92.872,94.246,95.947,97.714,99.902,100.022,100.4,100.729,99.325,98.7,97.329,94.402,95.591,96.557,98.094,98.991,102.554,99.452,100.329,102.553,104.834,107.168,110.014,112.465,115.308,115.657,122.722,122.777,123.657,128.713,125.751,125.654,128.369,132.082,132.806,141.673,147.483,158.146
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Implicit price deflators are as of the end of the quarter and are consistent with inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","stocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
