"","Table 5#8#3A# Real Gross Government Fixed Investment by Type, Qu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"25","18","          Residential","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","19","          Industrial","B834RA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.179,105.455,152.79,101.047,93.504,102.658,107.032,86.344,94.284,118.559,129.309,102.639,88.727,111.347,152.179,197.173,258.049,301.639,379.675,395.923,413.294,476.626,458.952,357.947,375.716,366.912,297.333,204.234,177.345,185.512,161.68,173.476,208.134,271.612,283.318,232.967,243.546,188.71,119.33
"27","20","          Educational \4\","B835RA3",114.165,114.165,334.023,737.378,527.131,334.023,334.023,334.023,263.563,263.563,263.563,245.805,245.805,245.805,193.055,386.11,491.787,438.7,3565.424,164.567,0,0,109.711,877.713,427.886,460.744,296.226,383.989,340.123,471.737,458.431,802.332,1125.322,1156.459,1021.325,948.335,541.792,489.747,750.453,458.58,323.035,395.942,479.341,594.863,1273.109,938.077,288.729,104.663,160.657,324.635,531.516,467.81,328.464,226.987,180.36,106.012,93.477,127.304,35.335,33.561,64.682,86.367,154.74,223.055,156.264,150.412,179.313,80.791,119.33
"28","21","          Hospital","B836RA3",1.468,3.671,8.816,18.006,12.352,6.688,6.688,7.945,6.618,6.256,5.145,7.681,5.956,6.606,5.87,6.792,13.583,12.112,26.463,78.109,139.301,121.117,95.388,79.591,46.312,24.995,15.437,24.258,28.3,22.235,40.592,38.563,37.636,37.452,43.937,46.165,58.764,48.939,19.835,25.77,27.063,34.294,42.821,35.616,27.807,29.585,50.559,61.073,74.547,80.726,71.309,75.718,89.285,75.929,68.706,77.068,79.369,84.18,96.838,90.026,79.92,87.731,74.854,76.3,92.43,82.173,91.26,104.389,119.33
"29","22","          Other \5\","B837RA3",14.787,26.946,45.337,112.142,79.115,40.103,43.134,51.507,50.111,44.974,34.722,41.345,42.311,31.108,18.485,15.496,18.83,11.443,2.046,4.323,33.187,36.874,18.581,13.554,19.751,22.554,12.969,18.989,16.006,33.305,49.755,55.981,54.722,82.705,113.242,155.75,166.599,136.72,54.308,51.381,41.08,27.463,32.073,36.848,51.001,40.62,42.968,58.708,51.051,53.663,52.528,47.755,47.301,33.93,43.231,54.532,63.336,68.539,96.077,74.158,68.812,97.644,137.81,138.029,120.762,96.632,115.099,119.898,119.33
"30","23","        Highways and streets \6\","B838RA3",49.826,82.116,120.272,149.559,246.962,304.445,329.193,254.99,220.465,208.545,200.182,175.617,128.774,60.81,22.642,22.642,40.106,73.724,106.542,107.831,153.387,139.29,100.101,123.216,161.082,176.491,193.81,191.238,234.266,271.462,226.807,340.842,335.081,387.601,432.542,404.26,383.106,531.754,516.365,466.455,400.444,429.227,454.806,456.913,380.039,282.897,304.184,346.326,398.68,420.848,487.093,363.579,507.436,321.151,294.932,337.377,304.749,248.805,236.63,247.175,133.48,127.819,128.48,118.144,173.919,222.558,152.044,174.032,119.33
"31","24","        Conservation and development","B839RA3",40.988,53.42,69.668,84.604,182.12,210.304,308.976,251.607,217.51,202.543,212.576,213.732,205.892,151.083,117.874,65.213,48.825,76.78,106.747,156.552,192.583,225.39,205.337,192.051,181.872,155.991,133.96,141.592,159.15,174.033,189.568,196.43,231.054,245.242,248.597,252.899,267.201,286.575,246.688,214.583,176.361,188.82,210.564,210.18,219.972,230.562,229.315,227.782,233.687,275.218,256.476,252.282,236.626,206.938,196.828,185.866,183.792,173.232,184.41,163.877,161.786,153.804,146.894,181.92,166.768,166.801,154.245,138.466,119.33
"32","25","        Other \7\","B840RA3",9.282,6.862,7.178,5.489,2.582,5.165,4.518,5.891,7.261,9.354,10.647,19.44,26.464,41.318,101.835,17.111,9.757,5.324,3.575,1.966,1.966,2.86,2.95,2.771,2.771,3.932,3.844,4.827,4.649,7.777,17.247,37.703,31.274,37.834,32.046,21.191,21.854,18.691,17.25,13.935,16.789,16.858,19.708,29.254,31.845,20.116,18.851,20.252,18.804,22.036,18.06,26.548,16.823,17.523,17.416,18.384,25.126,34.043,52.948,49.332,59.233,67.435,95.626,85.76,130.408,159.021,153.629,153.531,119.33
"33","26","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","27","  State and local","B842RA3",18.661,22.396,22.595,18.28,11.689,13.687,12.807,22.287,18.795,22.012,25.648,21.016,15.36,8.822,4.504,3.61,4.287,7.79,12.004,15.224,21.116,24.199,25.024,25.498,27.771,33.377,36.572,37.158,39.348,43.617,44.75,44.926,48.642,50.231,54.382,58.004,62.092,66.005,70.22,73.395,69.49,64.354,62.233,59.157,58.654,58.527,58.06,57.03,53.24,58.315,60.798,60.52,54.615,50.114,49.553,55.037,60.332,64.068,65.45,68.354,69.788,75.03,77.519,77.84,76.048,76.643,79.239,83.134,88.522
"35","28","    New","B843RA3",18.395,22.314,22.511,18.085,11.424,13.544,12.642,22.259,18.724,21.957,25.402,20.482,15.078,8.733,4.405,3.523,4.133,7.765,12.073,15.33,21.175,24.175,25.07,25.615,27.79,33.458,36.219,36.756,38.979,43.201,44.076,44.374,47.968,49.423,53.542,56.825,60.551,64.528,68.843,72.252,68.58,63.263,61.043,58.184,57.876,57.961,57.733,56.734,53.034,58.468,60.989,60.718,54.68,50.088,49.399,54.852,60.117,63.739,65.06,68.021,69.246,74.319,76.798,77.225,75.652,76.348,79.008,83.152,88.708
"36","29","      Buildings","B844RA3",13.179,13.873,14.188,8.803,4.327,8.259,7.555,16.715,10.805,13.255,21.693,12.755,10.199,6.987,2.583,1.66,2.058,4.517,6.636,11.1,19.7,22.93,26.622,26.217,26.387,30.072,32.753,31.19,33.949,37.149,33.698,34.752,38.074,38.326,40.552,43.796,47.428,54.522,62.486,63.293,62.493,55.664,54.4,51.255,53.134,55.034,56.131,52.585,44.955,45.17,45.011,45.841,42.055,40.186,39.77,41.757,46.769,51.521,51.711,55.323,59.369,64.056,69.343,70.582,67.542,67.628,76.207,82.149,88.708
"37","30","        Residential","B845RA3",0,0,0,0,0,0,0,0,0,0.735,15.847,50.412,50.771,39.728,9.197,1.487,0,20.069,27.377,15.719,41.378,41.198,67.729,72.695,60.541,37.412,28.839,29.044,37.147,51.724,49.587,44.865,57.823,76.605,40.997,47.929,46.651,56.733,65.588,63.665,76.742,83.264,78.768,53.587,53.998,49.13,59.224,51.596,57.37,49.523,56.976,60.754,68.866,61.746,70.883,68.263,72.597,71.874,72.413,71.417,70.468,78.644,84.003,92.794,83.003,70.87,82.909,86.106,88.708
"38","31","        Industrial","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","        Educational \8\","B847RA3",16.935,17.11,15.385,8.242,3.268,8.453,8.889,20.392,12.143,14.543,22.235,7.068,6.561,5.061,2.293,1.348,1.854,2.806,5.074,12.257,19.128,23.367,27.433,28.346,30.04,38.415,43.329,41.751,44.359,46.434,40.638,42.638,46.085,44.526,51.763,55.766,61.732,74.444,81.284,79.013,70.24,62.495,56.968,54.801,58.536,57.85,53.968,48.74,39.329,38.959,38.473,38.061,32.578,29.357,27.827,30.496,34.247,38.076,37.405,43.493,48.148,50.957,59.796,63.094,57.596,58.952,71.883,77.985,88.708
"40","33","        Hospital","B848RA3",44.752,56.024,59.107,51.014,30.083,28.494,21.123,40.248,34.226,44.92,60.697,23.532,16.378,12.766,15.415,19.823,26.422,22.496,10.676,23.526,60.739,74.733,73.673,69.494,54.862,55.325,50.779,44.276,49.996,59.149,58.408,54.025,49.165,52.953,51.941,55.813,59.745,54.814,75.545,84.433,87.167,81.176,87.679,84.222,77.099,87.257,110.368,122.188,105.081,93.11,93.568,97.247,85.174,82.205,71.927,68.488,68.151,69.789,73.582,71.463,71.788,79.736,86.523,97.59,98.361,88.594,88.251,85.348,88.708
"41","34","        Other \5\","B849RA3",8.881,9.131,12.059,7.349,4.026,8.536,6.863,15.05,10.064,12.24,20.121,11.481,5.614,1.581,0,0,0,1.108,3.855,6.936,10.432,11.633,10.393,7.477,10.232,13.814,16.96,15.67,17.155,18.775,17.901,19.571,21.923,20.471,23.765,25.17,26.508,26.873,34.609,39.176,46.307,37.96,42.207,41.778,42.571,48.234,51.641,49.09,42.612,47.001,45.627,47.232,44.505,45.762,46.394,49.078,56.805,64.41,65.276,67.003,71.678,77.937,77.86,73.265,74.58,76.668,79.438,86.955,88.708
"42","35","      Highways and streets \9\","B851RA3",25.769,33.134,33.119,30.552,20.958,21.131,18.203,27.772,27.112,32.842,32.851,31.955,22.825,12.086,6.554,5.8,6.613,11.849,18.28,20.277,25.375,29.96,27.102,29.905,35.008,45.662,48.797,49.462,52.824,60.778,63.745,62.048,66.612,69.996,75.79,75.603,77.567,81.26,80.269,82.968,77.956,75.102,74.32,70.008,64.972,57.154,57.092,54.882,55.731,63.026,70.214,64.829,55.012,47.583,50.417,63.177,69.374,70.914,71.527,75.683,74.696,80.56,79.84,80.024,83.441,88.525,84.679,85.081,88.708
"43","36","      Conservation and development","B857RA3",14.871,13.724,12.06,7.436,11.912,36.327,31.333,43.059,42.838,30.186,33.811,15.019,5.364,3.033,0,0,0,6.881,9.082,11.061,15.435,16.924,15.167,11.311,14.603,16.517,24.757,34.264,32.757,28.771,32.628,37.455,40.026,48.553,75.465,75.095,104.403,104.319,119.089,111.015,102.174,87.432,67.373,57.006,46.842,57.616,67.539,61.695,49.737,44.252,61.574,77.028,62.767,61.334,70.462,77.703,87.053,92.704,90.53,85.768,96.588,95.608,84.75,76.908,76.445,81.893,92.741,95.802,88.708
"44","37","      Sewer systems","B858RA3",18.212,20.626,17.972,12.869,8.126,15.232,15.489,31.389,26.868,28.897,30.892,23.126,14.051,8.776,4.315,2.577,3.767,9.35,15.622,22.103,25.293,26.053,27.131,26.8,30.565,32.699,34.182,36.312,38.044,39.583,50.406,49.008,50.279,57.3,49.59,68.178,60.661,63.835,50.354,70.784,57.456,61.014,64.968,63.955,72.102,87.959,86.279,91.607,81.007,93.972,92.412,99.356,82.497,76.154,66.158,75.484,75.538,83.456,97.814,99.627,96.453,100.925,102.59,105.332,94.085,82.071,80.106,88.056,88.708
"45","38","      Water systems","B859RA3",21.844,35.321,29.739,19.626,10.927,12.823,13.723,18.48,15.866,17.858,19.701,23.418,19.294,12.973,9.877,6.353,7.392,11.324,16.675,20.979,23.001,22.741,27.042,26.646,25.805,28.823,31.582,35.955,33.162,31.542,32.784,35.031,38.414,39.528,51.275,56.13,72.259,59.36,69.631,79.64,67.548,52.196,43.803,43.896,40.618,45.276,53.881,49.649,42.15,50.613,52.314,60.175,53.902,55.046,46.502,54.636,61.648,71.246,79.894,77.859,78.095,85.387,88.628,76.951,65.512,65.66,61.032,74.87,88.708
"46","39","      Other \7\","B860RA3",16.674,17.837,24.571,18.072,8.714,7.779,12.271,30.222,20.642,24.165,24.912,18.668,14.911,7.585,4.086,3.936,4.434,6.063,12.16,12.315,12.633,12.697,11.961,10.234,11.964,14.741,16.771,22.735,22.564,26.637,34.018,36.75,40.454,35.384,43.493,47.858,54.468,56.033,70.158,75.205,75.27,69.331,57.993,60.396,63.575,69.01,54.445,69.304,78.015,99.065,100.879,97.344,104.97,93.116,87.872,78.46,84.497,80.767,74.97,75.47,71.157,75.668,76.816,81.574,84.947,83.319,82.789,80.403,88.708
"47","40","    Net purchases of used structures","B870RA3",32.94,27.625,27.928,28.821,25.756,20.216,20.743,20.761,20.211,22.137,35.484,46.157,28.285,12.398,9.203,7.749,11.718,9.502,9.928,11.801,20.207,26.983,24.909,22.408,28.995,32.427,53.511,56.192,57.047,63.549,75.864,70.845,79.942,87.393,93.1,111.588,131.539,132.809,132.924,126.092,111.911,114.713,117.159,104.053,94.613,84.441,72.08,69.613,61.678,50.734,51.574,50.944,50.981,50.607,55.816,62.59,69.167,77.819,81.807,82.284,92.631,105.071,107.944,103.695,92.631,88.998,88.884,82.329,80.583
"48","41","Equipment and software \2\","A871RA3",0.792,0.745,0.865,0.769,0.794,1.373,1.552,1.386,1.518,1.837,1.996,2.101,13.154,53.726,107.311,120.086,84.655,6.422,5.091,7.208,9.928,7.96,21.56,29.519,33.4,27.627,22.922,22.461,21.449,22.337,27.395,25.613,28.846,31.376,29.056,28.556,26.993,30.918,34.012,30.24,27.562,25.937,18.035,15.736,17.641,21.482,23.174,25.113,25.569,26.548,30.473,32.788,35.252,38.837,45.935,53.271,62.845,70.396,76.199,74.833,81.131,86.02,84.654,84.664,79.376,76.888,77.715,80.187,80.174
