"","Table 5#3#4# Price Indexes for Private Fixed Investment by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254"
"24","16","    Other equipment \4\","B862RG3",11.784,12.684,13.153,12.827,12.724,13.568,14.145,14.082,13.97,14.235,14.285,13.838,13.71,14.176,14.567,15.131,15.329,15.618,15.567,15.747,15.704,15.577,15.68,15.783,15.759,15.919,16.065,16.289,16.261,16.369,16.303,16.056,16.154,16.169,16.462,16.848,16.669,16.804,17.12,17.317,17.492,17.597,17.858,18.371,18.278,18.258,18.192,18.282,18.42,18.53,18.605,18.585,18.631,18.785,18.847,18.921,18.828,18.755,18.807,18.823,18.93,19.016,19.043,19.013,19.082,19.071,19.156,19.228,19.297,19.327,19.335,19.268,19.389,19.437,19.515,19.594,19.683,19.847,19.971,20.212,20.414,20.517,20.646,20.822,20.99,21.208,21.521,21.753,21.887,22.075,22.19,22.358,22.54,22.782,23.005,23.38,23.768,24.007,24.16,24.182,24.514,24.771,24.773,24.778,24.926,25.224,25.455,25.342,25.578,26.235,27.952,30.128,32.151,33.219,33.821,34.409,35.026,35.483,35.997,36.941,37.776,38.539,39.415,40.335,40.822,41.838,42.72,43.588,44.226,45.162,46.542,47.691,49.072,51.155,52.532,53.283,55.158,56.636,57.951,59.393,60.662,61.187,61.561,62.042,62.49,62.717,62.695,63.044,63.419,63.868,64.193,64.227,64.561,64.906,65.52,65.906,66.183,67.053,67.752,68.13,68.626,68.966,69.005,69.356,70.065,70.72,71.172,72.146,72.782,73.426,74.408,75.145,76.09,76.337,77.101,77.974,78.78,79.134,79.631,80.042,80.518,80.867,81.405,81.702,81.96,82.511,82.785,82.919,83.247,83.948,84.295,84.225,84.665,85.412,85.88,86.677,87.318,87.595,88.179,88.735,88.922,89.044,88.995,89.273,89.717,90.044,90.61,91.135,91.437,91.594,91.595,91.569,91.702,92.033,92.284,92.536,93.036,93.29,93.49,93.973,94.079,93.918,94.311,94.603,94.798,95.122,95.26,95.254,94.791,95.973,96.337,97.085,98.662,99.914,100.575,100.849,101.444,101.614,102.604,103.617,103.892,104.325,104.739,105.45,105.722,106.073,108.435,112.694,113.12,112.916,112.221
"25","17","Residential","B011RG3",9.231,9.743,9.957,10.204,10.387,10.499,10.74,10.797,10.882,10.869,10.615,10.62,10.605,10.878,11.292,11.272,11.641,11.776,11.839,11.948,12.009,12.113,12.228,12.153,12.161,12.175,12.281,12.232,12.166,12.2,12.342,12.337,12.394,12.498,12.583,12.59,12.693,12.887,12.908,12.851,12.813,12.845,12.932,12.883,12.823,12.837,12.837,12.848,12.868,12.877,12.873,12.882,12.921,12.97,12.972,12.987,12.946,12.997,13,12.988,13.011,13.009,13.005,12.987,12.99,12.94,12.794,12.879,12.759,12.965,13.002,13.287,13.273,13.29,13.277,13.648,13.455,13.945,13.861,14.169,14.194,14.243,14.324,14.596,14.847,14.984,14.988,15.58,15.879,16.112,16.172,16.415,16.399,17.011,16.558,16.694,17.138,17.487,17.815,18.088,18.345,18.427,18.733,19.308,19.565,20.048,20.73,21.093,21.569,22.073,22.788,23.411,24.004,24.427,24.657,25.098,25.244,25.984,26.4,26.867,27.51,28.258,29.194,30.074,30.96,31.885,32.707,33.571,34.231,35.405,36.544,37.43,38.412,39.318,40.219,41.207,42.108,42.77,43.313,43.951,44.599,45.261,45.644,45.858,46.079,46.193,46.419,46.83,47.111,47.487,47.945,48.311,48.557,48.662,48.994,49.562,50.157,50.639,51.291,51.89,52.436,52.834,53.286,53.762,54.246,54.737,55.077,55.591,55.991,56.669,56.858,57.202,57.675,57.909,58.18,58.278,58.444,58.706,59.07,58.864,58.671,59.215,59.636,60.421,61.114,61.685,62.244,62.517,63.24,63.604,64.292,65.138,65.942,66.254,66.526,66.89,67.138,67.447,68.194,68.532,68.879,69.21,69.807,70.33,70.53,71.012,71.718,72.387,73.096,73.89,74.516,75.102,76.397,77.133,77.738,78.391,79.446,80.421,81.772,82.338,82.164,82.601,82.916,84.326,86.229,86.279,86.84,88.463,90.544,92.463,94.377,95.802,97.026,98.64,101.224,103.11,104.89,105.94,106.295,107.199,107.604,107.307,107.455,107.686,107.271,106.838,105.807,103.198,101.915,100.554,99.885
"26","18","  Structures","B012RG3",8.879,9.384,9.593,9.832,10.009,10.115,10.348,10.405,10.492,10.485,10.239,10.246,10.232,10.499,10.902,10.877,11.232,11.364,11.427,11.535,11.595,11.697,11.81,11.738,11.746,11.76,11.863,11.815,11.751,11.786,11.928,11.927,11.983,12.086,12.171,12.181,12.286,12.481,12.502,12.449,12.415,12.448,12.529,12.469,12.422,12.439,12.438,12.451,12.458,12.466,12.463,12.472,12.511,12.56,12.564,12.581,12.541,12.592,12.597,12.586,12.61,12.61,12.607,12.591,12.596,12.546,12.402,12.486,12.369,12.573,12.61,12.893,12.88,12.898,12.889,13.259,13.068,13.554,13.47,13.776,13.802,13.851,13.93,14.199,14.446,14.581,14.583,15.17,15.466,15.697,15.755,15.995,15.978,16.588,16.133,16.267,16.709,17.056,17.383,17.655,17.912,17.993,18.299,18.873,19.13,19.612,20.294,20.657,21.131,21.626,22.324,22.926,23.509,23.927,24.151,24.586,24.722,25.458,25.871,26.337,26.979,27.724,28.658,29.534,30.416,31.336,32.15,33.004,33.655,34.828,35.969,36.85,37.826,38.721,39.614,40.599,41.491,42.138,42.665,43.3,43.931,44.58,44.956,45.164,45.384,45.496,45.717,46.12,46.407,46.786,47.257,47.624,47.871,47.986,48.33,48.902,49.506,49.983,50.639,51.244,51.789,52.188,52.639,53.129,53.615,54.102,54.447,54.959,55.367,56.057,56.238,56.582,57.066,57.3,57.574,57.666,57.846,58.127,58.47,58.287,58.086,58.637,59.059,59.863,60.569,61.136,61.697,61.972,62.698,63.056,63.743,64.602,65.416,65.734,66.012,66.379,66.625,66.942,67.69,68.025,68.371,68.72,69.33,69.862,70.057,70.553,71.262,71.944,72.672,73.484,74.117,74.71,76.026,76.765,77.382,78.047,79.109,80.105,81.471,82.047,81.87,82.321,82.647,84.076,86.019,86.09,86.663,88.319,90.436,92.389,94.342,95.788,96.998,98.62,101.234,103.147,104.939,106.003,106.358,107.267,107.677,107.367,107.53,107.775,107.362,106.929,105.85,103.188,101.871,100.484,99.875
"27","19","    Permanent site","B943RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.946,11.946,11.947,11.947,11.947,11.947,11.946,11.946,11.987,12.037,12.037,12.046,11.988,12.039,12.039,12.05,12.088,12.088,12.087,12.087,12.087,12.035,11.846,11.929,11.789,12.026,12.043,12.387,12.358,12.396,12.354,12.821,12.564,13.134,12.998,13.351,13.324,13.39,13.448,13.762,13.979,14.123,14.068,14.759,14.962,15.113,15.11,15.324,15.235,15.96,15.323,15.417,15.893,16.261,16.623,16.908,17.205,17.278,17.623,18.234,18.475,18.902,19.635,20.036,20.438,20.827,21.425,21.966,22.529,23.039,23.253,23.671,23.666,24.511,24.905,25.29,25.796,26.612,27.597,28.461,29.42,30.409,31.128,31.941,32.498,33.77,34.95,35.75,36.703,37.42,38.373,39.572,40.306,40.878,41.328,41.881,42.538,43.164,43.638,43.826,43.977,44.016,44.115,44.443,44.865,45.08,45.6,45.814,46.055,46.169,46.51,47.035,47.536,48.225,48.836,49.508,50.068,50.389,50.628,51.079,51.867,52.121,52.404,52.9,53.32,54.06,54.166,54.314,54.811,55.01,55.34,55.3,55.336,55.448,55.804,55.48,55.364,55.813,56.256,57.058,57.873,58.308,59.031,59.763,60.326,60.68,61.597,62.688,63.438,63.657,63.926,64.159,64.331,64.521,65.464,65.795,66.256,66.478,67.347,68.034,68.257,68.748,69.545,70.363,71.204,72.021,72.661,73.275,74.732,75.392,75.909,76.532,77.577,78.44,80.09,80.973,80.665,81.067,81.3,82.993,85.358,85.135,85.563,87.472,89.984,92.144,94.101,95.621,96.771,98.594,101.322,103.313,105.504,106.66,106.874,108.29,108.631,107.956,108.08,108.367,107.756,106.984,105.418,102.866,102.142,99.639,98.204
"28","20","      Single family","B944RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.06,12.06,12.061,12.061,12.06,12.061,12.06,12.06,12.11,12.16,12.16,12.16,12.11,12.16,12.16,12.16,12.21,12.21,12.21,12.21,12.21,12.16,11.961,12.061,11.911,12.16,12.16,12.509,12.459,12.509,12.459,12.957,12.708,13.307,13.157,13.506,13.456,13.505,13.555,13.855,14.104,14.253,14.204,14.901,15.1,15.25,15.25,15.5,15.399,16.147,15.499,15.598,16.047,16.396,16.745,17.044,17.343,17.443,17.792,18.439,18.689,19.137,19.885,20.284,20.682,21.08,21.678,22.227,22.775,23.274,23.473,23.872,23.872,24.719,25.118,25.516,26.124,26.89,27.848,28.704,29.675,30.699,31.474,32.362,33.008,34.374,35.638,36.498,37.451,38.199,39.188,40.423,41.204,41.751,42.129,42.561,43.02,43.465,43.76,43.788,43.781,43.732,43.781,44.089,44.575,44.793,45.298,45.476,45.626,45.68,45.957,46.417,46.844,47.491,48.085,48.761,49.225,49.668,49.975,50.445,51.187,51.446,51.76,52.307,52.809,53.637,53.844,54.083,54.698,54.95,55.301,55.246,55.186,55.249,55.566,55.218,55.096,55.537,55.978,56.783,57.638,58.118,58.89,59.675,60.292,60.695,61.655,62.782,63.551,63.782,64.051,64.274,64.404,64.58,65.511,65.828,66.276,66.463,67.282,67.867,67.877,68.227,68.945,69.75,70.677,71.567,72.261,72.889,74.275,74.928,75.455,76.097,77.218,78.136,79.811,80.694,80.331,80.693,80.908,82.601,84.984,84.815,85.315,87.308,89.898,92.115,94.103,95.625,96.782,98.587,101.273,103.191,105.239,106.29,106.44,107.83,108.211,107.406,107.224,107.015,105.704,104.386,102.473,99.799,99.097,96.668,95.276
"29","21","      Multifamily","B292RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.618,12.617,12.62,12.619,12.619,12.619,12.619,12.618,12.618,12.676,12.676,12.732,12.619,12.675,12.676,12.734,12.732,12.733,12.732,12.733,12.732,12.676,12.505,12.562,12.448,12.675,12.732,13.073,13.073,13.074,13.074,13.529,13.301,13.869,13.755,14.097,14.04,14.097,14.154,14.552,14.722,14.892,14.836,15.575,15.802,15.973,15.972,16.143,16.086,16.825,16.143,16.2,16.711,17.109,17.507,17.792,18.133,18.189,18.587,19.212,19.497,19.952,20.747,21.202,21.657,22.055,22.68,23.192,23.76,24.272,24.498,25.012,24.953,25.86,26.259,26.603,26.554,27.795,29.075,30.096,31.104,32.033,32.597,33.207,33.518,34.588,35.588,36.252,37.261,37.928,38.857,40.066,40.762,41.469,42.152,43.031,44.171,45.254,46.206,46.86,47.543,47.906,48.213,48.655,48.905,49.15,49.778,50.135,50.695,51.016,51.581,52.335,53.092,53.959,54.683,55.423,56.514,56.314,56.238,56.616,57.657,57.873,57.988,58.202,58.18,58.456,58.022,57.662,57.447,57.318,57.535,57.578,58.145,58.54,59.17,59.019,58.928,59.452,59.902,60.659,60.969,60.826,60.99,61.188,61.222,61.107,61.609,62.354,62.886,62.972,63.214,63.519,64.044,64.348,65.406,65.875,66.458,66.951,68.186,69.626,71.432,73.071,74.577,75.557,75.714,75.984,76.236,76.797,78.945,79.694,80.114,80.541,80.869,81.205,82.6,83.477,83.629,84.352,84.689,86.305,88.391,87.622,87.396,88.545,90.382,92.04,93.693,95.129,96.09,98.075,101.336,104.288,108.277,110.676,111.548,113.134,113.033,112.925,114.703,117.667,120.567,122.262,122.086,119.89,119.047,116.129,114.456
"30","22","    Other structures \5\","B863RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.283,13.337,13.327,13.372,13.402,13.435,13.425,13.462,13.492,13.537,13.55,13.584,13.588,13.637,13.654,13.593,13.579,13.579,13.57,13.51,13.529,13.486,13.473,13.555,13.51,13.608,13.702,13.803,13.835,13.799,13.882,13.967,13.974,14.209,14.261,14.469,14.605,14.619,14.748,14.893,15.212,15.317,15.472,15.77,16.301,16.736,16.942,17.237,17.39,17.724,17.71,17.942,18.296,18.583,18.803,19.028,19.154,19.255,19.421,19.845,20.132,20.769,21.246,21.506,22.178,22.937,23.848,24.562,25.148,25.392,25.623,26.084,26.464,27.012,27.465,28.094,29.001,29.578,30.378,31.264,31.956,32.713,33.712,34.635,35.465,36.418,37.464,38.49,39.499,40.671,41.473,42.155,43.274,44.033,44.671,45.419,46.021,46.7,46.941,47.167,47.482,47.712,48.157,48.709,48.72,49.436,49.799,50.471,50.722,50.831,51.177,51.827,52.613,52.694,53.428,53.899,54.414,54.952,55.788,56.346,56.29,57.177,57.628,58.167,58.552,59.147,59.46,60.136,60.592,60.888,61.071,61.386,61.797,62.33,62.661,62.702,62.365,63.076,63.462,64.268,64.803,65.574,65.887,65.458,66.435,66.796,67.11,67.599,68.524,69.002,69.298,69.866,70.222,70.735,71.183,71.525,71.699,72.237,72.468,72.774,72.925,73.426,74,74.472,75.021,75.827,76.453,77.014,78.102,78.97,79.745,80.475,81.562,82.77,83.688,83.785,83.816,84.345,84.814,85.834,87.117,87.649,88.451,89.709,91.18,92.8,94.75,96.073,97.377,98.661,101.087,102.876,103.974,104.893,105.486,105.632,106.147,106.353,106.581,106.788,106.614,106.543,105.941,103.188,101.423,100.759,100.659
"31","23","  Equipment","B013RG3",57.797,58.341,58.997,60.143,60.657,61.858,63.143,62.946,61.939,60.523,59.187,58.585,58.445,58.809,60.149,61.787,64.035,64.235,63.989,63.555,63.811,63.849,63.973,63.523,63.445,63.538,63.802,63.658,63.376,63.045,62.451,61.377,61.157,61.263,60.709,59.733,58.981,58.259,58.127,57.309,56.622,56.17,57.466,60.267,57.032,56.569,56.845,56.586,59.012,59.225,59.151,59.053,58.853,58.661,58.373,57.958,57.704,57.601,57.319,56.995,56.739,56.4,55.868,55.594,55.258,55.244,55.193,55.077,54.882,54.657,54.558,54.414,54.235,53.883,53.129,52.674,52.621,52.619,52.723,52.68,52.588,52.631,52.797,53.047,53.41,53.728,54.009,54.439,54.716,54.974,55.248,55.521,55.773,56.177,56.267,56.524,56.839,57.072,57.282,57.194,57.28,57.327,57.253,57.278,57.359,57.547,57.707,57.921,58.495,59.825,62.066,64.402,65.86,66.671,67.395,68.388,69.391,70.305,70.891,71.386,71.874,72.351,72.989,73.838,74.555,75.54,76.827,78.23,79.533,80.272,80.83,82.002,83.493,85.259,86.843,88.023,89.685,91.469,93.128,94.135,95.959,97.584,98.467,99.119,99.462,99.667,100.402,101.328,101.176,101.316,100.652,100.926,101.096,100.503,99.854,100.183,100.101,100.986,101.247,101.392,101.955,102.341,102.854,102.303,102.612,103.436,103.376,104.088,103.959,103.798,104.572,104.952,104.703,105.019,105.092,105.55,104.81,104.058,105.665,104.025,104.368,104.525,104.915,104.397,104.185,105.078,105.463,105.702,106.145,106.983,107.712,107.567,107.611,107.398,107.329,107.414,107.851,107.44,108.085,108.657,109.139,107.933,107.408,107.022,107.662,106.968,107.434,106.889,106.074,105.242,105.316,105.325,104.995,105.494,105.129,104.866,105.401,104.787,104.956,104.827,104.859,104.176,103.738,103.675,102.467,100.878,100.537,99.618,98.89,98.228,97.146,96.902,99.16,100.14,100.454,100.245,101.266,101.302,101.685,102.28,102.329,102.789,102.126,101.728,101.343,101.012,102.128,101.95,102.085,101.732,98.79
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","  Private fixed investment in structures","A349RG3",8.315,8.624,8.862,9.113,9.309,9.47,9.701,9.773,9.755,9.696,9.538,9.546,9.528,9.682,10,10.122,10.48,10.656,10.765,10.866,10.935,10.978,11.031,11,11.018,11.089,11.206,11.173,11.072,11.045,11.128,11.135,11.18,11.273,11.379,11.483,11.751,11.841,11.993,12.019,12.058,12.145,12.218,12.173,11.995,12.04,12.061,12.084,12.054,12.085,12.101,12.111,12.152,12.15,12.127,12.1,12.079,12.116,12.124,12.137,12.158,12.175,12.168,12.175,12.193,12.174,12.103,12.157,12.081,12.256,12.284,12.524,12.526,12.576,12.585,12.894,12.783,13.164,13.131,13.362,13.403,13.464,13.548,13.774,13.992,14.144,14.198,14.67,14.919,15.152,15.279,15.54,15.609,16.148,15.95,16.146,16.531,16.886,17.23,17.513,17.805,17.945,18.222,18.705,18.969,19.416,20.03,20.442,20.944,21.631,22.476,23.253,23.893,24.322,24.544,24.911,25.055,25.663,26.061,26.481,27.208,27.851,28.662,29.425,30.202,31.085,31.873,32.73,33.496,34.601,35.705,36.521,37.318,38.133,38.978,40.084,41.417,42.501,43.42,44.576,45.437,45.971,46.194,46.146,45.774,45.576,45.634,45.804,45.974,46.392,46.774,47.093,47.396,47.507,47.8,48.218,48.616,48.98,49.433,49.875,50.179,50.488,50.852,51.334,51.951,52.442,52.856,53.383,53.805,54.459,54.748,55.123,55.591,55.894,56.254,56.466,56.802,56.986,57.152,56.799,56.69,57.093,57.446,58.081,58.657,59.19,59.71,60.08,60.692,61.047,61.744,62.59,63.36,63.711,64.155,64.584,64.751,65.033,65.801,66.179,66.642,67.094,67.755,68.4,68.916,69.51,70.154,70.783,71.409,72.071,72.645,73.245,74.367,75.071,75.753,76.507,77.562,78.62,79.925,80.462,80.658,81.27,81.739,82.994,84.592,84.653,85.24,86.72,88.72,90.672,92.779,94.649,96.379,98.323,101.304,103.994,106.172,107.883,108.896,110.656,111.948,112.215,112.722,113.282,113.098,113.261,113.771,113.831,112.636,110.229,108.252
"34","25","  Private fixed investment in equipment and software","A327RG3",33.832,35.235,36.019,36.348,36.167,37.224,38.757,39.439,39.35,39.545,39.382,38.949,39.072,39.726,40.542,41.74,43.058,43.588,43.774,44.294,44.436,44.709,44.541,44.489,44.44,44.593,44.791,44.765,45.43,46.113,45.56,45.638,45.295,45.503,46.306,47.235,48.059,48.806,50.003,50.777,51.722,51.756,52.183,52.966,52.911,53.17,53.179,53.315,53.753,54.056,54.312,54.447,54.341,54.625,54.699,54.618,54.473,54.316,54.169,54.077,54.028,54.022,54.026,53.821,53.775,53.66,53.64,53.592,53.633,53.666,53.642,53.6,53.664,53.64,53.788,53.572,53.521,53.668,53.807,54.184,54.494,54.765,55.118,55.516,55.719,56.175,56.655,57.235,57.416,57.716,58.209,58.704,59.331,59.884,60.315,60.992,61.608,61.964,62.037,62.003,62.397,62.668,62.812,62.684,62.949,63.558,64.052,64.208,65.001,66.611,69.288,72.601,75.825,78.113,79.265,80.466,81.634,82.392,83.403,84.656,85.99,87.198,88.534,89.947,90.925,91.983,93.096,94.198,95.937,97.634,99.193,100.877,103.37,105.919,108.147,109.707,111.873,113.947,115.267,116.587,117.442,118.771,119.483,119.976,119.863,119.407,118.867,118.704,118.463,118.376,118.08,117.877,117.778,117.821,118.061,118.533,118.591,119.518,120.479,121.008,121.001,120.486,119.986,120.809,121.482,121.793,121.926,123.078,123.309,123.288,123.659,124.107,124.436,124.557,125.332,126.401,127.479,127.071,126.64,126.549,126.333,125.623,125.272,124.611,124.746,124.429,124.01,123.666,123.866,123.967,123.622,122.69,122.359,122.541,122.141,121.469,120.492,119.383,118.854,118.167,117.141,116.235,115.363,114.149,112.376,111.014,110.004,109.065,108.581,107.763,106.829,106.399,106.301,106.143,106.243,105.745,104.506,103.994,103.321,102.648,102.282,101.592,101.068,101.135,100.643,100.208,100.122,100.199,99.916,100.087,99.859,99.642,100.105,100.233,99.818,99.844,99.989,100.054,100.298,100.489,100.628,100.786,100.726,100.778,100.597,101.019,101.801,102.411,102.447,102.299,101.795
"35","26","  Private fixed investment in new structures \6\","W040RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.008,12.046,12.064,12.086,12.058,12.092,12.11,12.12,12.16,12.156,12.133,12.105,12.084,12.121,12.129,12.143,12.163,12.18,12.173,12.18,12.198,12.181,12.114,12.167,12.093,12.27,12.292,12.538,12.539,12.595,12.597,12.918,12.8,13.183,13.15,13.384,13.421,13.485,13.57,13.804,14.015,14.172,14.224,14.698,14.931,15.169,15.291,15.554,15.622,16.166,15.973,16.169,16.553,16.907,17.258,17.54,17.837,17.974,18.249,18.732,19.002,19.438,20.053,20.471,20.971,21.66,22.517,23.306,23.947,24.384,24.609,24.97,25.104,25.712,26.107,26.509,27.222,27.868,28.676,29.399,30.198,31.084,31.833,32.692,33.44,34.55,35.668,36.475,37.256,38.066,38.912,40.084,41.395,42.515,43.478,44.603,45.481,46,46.235,46.18,45.766,45.55,45.57,45.741,45.907,46.308,46.693,46.935,47.254,47.357,47.624,47.997,48.358,48.678,49.109,49.566,49.81,50.061,50.375,50.813,51.515,51.999,52.365,52.872,53.326,53.973,54.261,54.574,55.08,55.387,55.794,56.024,56.342,56.501,56.665,56.329,56.24,56.586,56.919,57.541,58.147,58.587,59.123,59.568,60.075,60.385,61.114,61.995,62.791,63.115,63.566,63.977,64.118,64.398,65.228,65.637,66.134,66.583,67.28,67.937,68.47,69.063,69.705,70.362,71.02,71.675,72.254,72.848,73.985,74.654,75.295,76.016,77.025,78.021,79.381,80.013,80.192,80.784,81.22,82.501,84.181,84.139,84.659,86.212,88.357,90.452,92.646,94.498,96.259,98.296,101.315,104.13,106.509,108.397,109.459,111.464,112.857,113.146,113.688,114.371,114.209,114.538,115.34,115.587,114.441,111.779,109.616
"36","27","    Nonresidential structures","A771RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.371,11.433,11.474,11.508,11.434,11.501,11.546,11.556,11.595,11.524,11.469,11.392,11.391,11.413,11.425,11.467,11.484,11.521,11.508,11.543,11.579,11.603,11.633,11.643,11.624,11.759,11.773,11.959,11.98,12.068,12.096,12.336,12.304,12.575,12.59,12.751,12.804,12.875,12.964,13.146,13.329,13.498,13.606,13.949,14.144,14.378,14.576,14.853,15.003,15.472,15.516,15.773,16.099,16.465,16.83,17.124,17.46,17.677,17.907,18.256,18.527,18.922,19.448,19.925,20.462,21.355,22.351,23.294,23.978,24.414,24.633,24.925,25.077,25.529,25.903,26.262,27.093,27.582,28.206,28.798,29.419,30.242,30.982,31.828,32.715,33.719,34.764,35.502,36.114,36.847,37.634,38.813,40.478,41.886,43.073,44.528,45.494,45.945,46.071,45.866,45.077,44.624,44.527,44.46,44.512,44.959,45.249,45.513,45.86,45.965,46.203,46.468,46.659,46.897,47.106,47.352,47.361,47.559,47.813,48.276,49.033,49.52,50.004,50.538,50.97,51.571,51.973,52.371,52.809,53.178,53.621,53.948,54.427,54.517,54.503,53.975,53.974,54.187,54.447,54.858,55.26,55.733,56.191,56.694,57.133,57.482,58.191,59.014,59.72,60.108,60.764,61.27,61.329,61.56,62.35,62.782,63.394,63.97,64.695,65.474,66.4,67.114,67.668,68.225,68.715,69.163,69.652,70.261,71.11,71.766,72.529,73.365,74.405,75.538,76.756,77.221,77.955,78.817,79.535,80.481,81.459,81.512,82.127,83.258,85.01,86.96,89.394,92.169,95.016,97.661,101.453,105.871,108.873,111.857,114.037,117.206,119.82,120.904,121.903,122.933,123.108,123.95,125.99,128.433,127.287,123.879,120.59
