"","Table 5#2#3# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","  Equals: Net fixed investment","A560RA3",6.142,2.205,-1.485,-4.721,-4.97,-3.427,-1.707,0.646,2.076,-0.388,1.391,3.413,4.96,-1.57,-3.194,-1.547,1.338,10.012,13.218,14.833,11.835,15.91,14.032,13.018,14.353,14.222,17.447,16.889,15.873,12.696,16.702,16.749,16.129,18.729,20.935,24.041,27.444,28.811,26.365,28.599,30.508,27.796,30.847,36.74,40.813,33.979,24.746,29.668,37.961,45.491,47.993,39.396,39.271,30.616,35.043,48.158,50.587,49.105,46.891,47.941,48.599,43.301,33.431,37.944,45.182,53.45,57.974,66.018,74.659,86.175,95.712,102.367,90.453,75.678,78.384,89.975,100,99.856,87.979,69.413
"17","10","    Nonresidential","A008RA3",5.455,4.496,2.945,1.763,1.589,2.025,2.566,3.47,4.156,3.048,3.401,4.21,4.957,2.918,2.439,3.238,4.55,6.71,7.808,8.217,7.463,8.148,8.526,8.36,9.112,8.917,9.905,10.47,10.63,9.462,10.215,10.796,10.729,11.666,12.315,13.777,16.177,18.2,17.955,18.756,20.181,20.073,20.074,21.917,25.106,25.316,22.814,23.931,26.632,30.618,33.702,33.613,35.528,34.19,33.748,39.704,42.336,41.126,41.096,43.245,45.66,45.885,43.425,44.811,48.723,53.207,58.801,64.293,72.053,80.707,89.129,97.864,95.137,87.593,88.398,93.743,100,107.913,114.617,116.502
"18","11","    Less: Consumption of fixed capital","A753RA3",5.588,5.7,5.639,5.416,5.202,5.03,4.999,5.046,5.208,5.256,5.267,5.362,5.542,5.543,5.339,5.234,5.285,5.656,6.215,6.724,7.137,7.518,7.88,8.14,8.465,8.792,9.153,9.532,9.892,10.345,10.471,10.542,10.793,11.112,11.548,12.062,12.814,13.748,14.649,15.516,16.477,17.357,18.154,19.109,20.543,21.794,22.72,23.566,24.681,26.044,27.666,29.177,30.535,32.022,33.145,34.572,36.629,38.387,40.164,41.854,43.685,45.465,46.853,48.174,50.024,52.45,55.45,59.049,63.401,68.786,74.943,81.485,86.809,90.339,93.111,96.242,100,104.127,108.677,112.717
"19","12","    Equals: Net nonresidential","A593RA3",4.981,0.222,-6.616,-11.199,-11.23,-8.639,-6.065,-2.122,0.424,-4.788,-3.219,0.124,2.881,-6.4,-7.853,-3.842,1.942,10.451,13.462,13.513,8.618,10.385,10.816,9.143,11.41,9.361,12.573,13.801,13.248,6.327,9.307,11.697,10.5,13.632,15.036,19.859,28.112,33.999,29.687,30.257,33.324,29.709,26.89,31.883,41.3,37.814,23.149,25.227,33.556,46.853,55.124,49.356,53.246,41.887,35.892,57.915,62.589,50.847,44.404,48.185,52.666,47.375,31.257,32.877,44.105,55.891,70.692,82.901,102.756,123.009,139.474,155.987,124.688,77.847,71.672,84.875,100,121.351,135.697,129.934
"20","13","      Structures","B009RA3",33.695,28.836,18.557,11.365,8.816,9.94,11.028,14.477,18.358,14.689,15.5,17.596,20.899,12.917,9.387,12.292,16.574,32.74,29.776,31.334,30.294,32.461,34.946,34.809,37.902,39.201,42.011,46.421,46.396,43.866,44.917,48.488,49.151,51.393,51.986,57.399,66.553,71.109,69.313,70.299,74.096,74.3,73.082,75.359,81.52,79.755,71.355,73.073,76.079,87.058,98.098,103.837,112.161,110.325,98.404,112.125,120.095,106.935,103.859,104.539,106.616,108.187,96.15,90.354,89.768,91.405,97.235,102.744,110.28,115.911,116.049,125.101,123.191,101.377,97.514,98.571,100,109.18,125.495,138.392
"21","14","      Less: Consumption of fixed capital","B188RA3",21.369,21.948,22.219,22.166,21.958,21.744,21.587,21.526,21.609,21.698,21.718,21.787,21.935,21.969,21.783,21.602,21.574,21.703,22.19,22.68,23.189,23.719,24.347,25.021,25.737,26.518,27.362,28.315,29.302,30.17,30.966,31.82,32.718,33.649,34.593,35.612,36.862,38.294,39.707,41.048,42.433,43.84,45.161,46.439,49.656,51.015,52.233,53.346,54.521,55.988,57.87,60.182,62.972,65.865,68.122,70.238,72.704,74.736,76.291,77.834,79.325,80.897,82.298,83.191,83.954,84.784,85.742,86.996,88.54,90.255,91.909,93.688,95.605,96.973,97.818,98.799,100,101.738,104.468,107.983
"22","15","      Equals: Net structures","A594RA3",63.524,45.504,9.697,-14.774,-22.988,-18.625,-14.523,-2.583,10.493,-2.272,0.454,7.456,18.392,-8.989,-20.61,-10.237,4.474,59.447,48.134,52.276,47.489,53.616,60.594,58.497,67.339,69.893,77.462,90.235,87.764,77.009,78.678,88.823,88.916,94.333,94.075,110.122,138.405,150.518,140.956,141.084,150.719,148.011,140.649,145.342,158.629,149.302,117.631,120.811,128.247,162.246,195.448,209.478,231.196,217.915,171.686,213.49,234.778,184.855,170.57,169.164,172.66,174.226,129.669,107.687,103.839,107.427,125.046,140.855,162.889,177.998,174.467,201.119,189.948,112.032,96.78,98.02,100,127.189,176.38,211.98
"23","16","      Equipment and software","B010RA3",2.26,1.792,1.196,0.7,0.717,0.991,1.351,1.853,2.154,1.5,1.731,2.243,2.63,1.509,1.355,1.812,2.595,3.236,4.399,4.63,4.058,4.479,4.61,4.478,4.883,4.61,5.241,5.38,5.52,4.715,5.275,5.499,5.393,6.017,6.524,7.356,8.705,10.098,10.031,10.656,11.598,11.482,11.596,13.092,15.494,15.89,14.377,15.276,17.577,20.253,22.022,21.23,22.133,20.982,22.111,26.497,28.18,28.714,29.107,31.302,33.596,33.607,32.743,35.129,39.515,44.227,49.519,54.782,62.315,71.358,81.451,89.976,87.073,83.397,85.516,92.141,100,107.434,110.184,107.332
"24","17","      Less: Consumption of fixed capital","B189RA3",3.451,3.507,3.426,3.222,3.041,2.899,2.882,2.932,3.079,3.117,3.125,3.209,3.367,3.365,3.187,3.103,3.155,3.506,4.017,4.482,4.846,5.174,5.474,5.667,5.921,6.171,6.449,6.734,6.996,7.363,7.413,7.402,7.566,7.792,8.133,8.545,9.169,9.959,10.72,11.455,12.283,13.03,13.702,14.546,15.67,16.832,17.669,18.432,19.475,20.752,22.263,23.597,24.695,25.923,26.84,28.112,30.028,31.679,33.414,35.057,36.87,38.619,39.959,41.301,43.259,45.867,49.124,53.043,57.822,63.847,70.874,78.396,84.47,88.517,91.78,95.49,100,104.906,110.09,114.315
"25","18","      Equals: Net equipment and software","A747RA3",-2.681,-5.324,-8.059,-9.765,-8.926,-6.924,-5.005,-2.622,-1.682,-5.209,-4.055,-1.765,-0.43,-6.195,-6.246,-3.545,0.273,2.118,5.985,5.243,0.789,1.596,1.025,-0.458,0.576,-1.869,0.23,-0.236,-0.605,-6.276,-3.595,-2.4,-3.623,-1.347,-0.156,2.425,6.778,10.671,7.171,7.34,8.756,5.063,2.861,7.06,14.763,11.979,0.72,2.179,9.701,18.182,21.022,11.409,11.499,0.479,2.491,19.794,20.51,16.411,11.237,15.723,20.012,12.808,2.799,9.523,23.978,37.422,51.16,61.998,80.96,102.522,125.336,138.027,97.873,62.153,59.524,78.244,100,117.926,110.577,78.358
"26","19","    Residential","A011RA3",9.787,5.949,4.976,2.628,2.147,2.938,4.111,5.206,5.661,5.692,8.063,9.093,9.662,4.888,2.904,2.5,2.94,12.339,15.902,19.027,17.589,24.066,20.146,19.786,20.486,22.184,25.778,23.68,22.231,22.465,28.172,26.167,26.24,28.756,32.145,34.013,33.02,30.065,29.119,33.089,34.066,32.028,40.811,48.064,47.756,37.897,32.977,40.743,49.49,52.606,50.676,39.952,36.749,30.077,42.527,48.839,49.612,55.699,56.811,56.235,54.528,49.823,45.035,51.267,55.454,60.845,58.854,63.554,64.756,69.737,74.098,74.839,75.263,79.21,85.724,94.136,100,92.679,75.49,58.213
"27","20","    Less: Consumption of fixed capital","A754RA3",11.602,11.788,11.863,11.853,11.787,11.746,11.763,11.841,11.954,12.061,12.204,12.415,12.666,12.821,12.801,12.726,12.652,12.864,13.45,14.181,14.909,15.7,16.522,17.242,17.964,18.72,19.575,20.483,21.334,22.153,23.1,24.125,25.094,26.096,27.207,28.428,29.666,30.818,31.874,33.003,34.27,35.529,36.94,38.699,40.594,42.222,43.445,44.661,46.206,48.013,49.869,51.45,52.702,53.679,54.749,56.253,57.949,59.826,61.854,63.852,65.728,67.382,68.752,70.073,71.651,73.484,75.428,77.456,79.563,81.778,84.167,86.626,89.052,91.541,94.232,97.123,100,102.861,105.385,107.091
"28","21","    Equals: Net residential","A748RA3",8.974,3.335,1.892,-1.503,-2.17,-1.006,0.684,2.235,2.843,2.839,6.209,7.606,8.317,1.335,-1.528,-2.078,-1.408,12.103,17,21.197,18.789,27.812,21.769,20.925,21.615,23.735,28.556,25.112,22.633,22.604,30.442,27.081,26.753,29.947,34.355,36.514,34.521,29.728,27.885,33.127,33.974,30.461,42.545,52.258,50.962,35.961,28.29,38.989,50.96,54.663,51.037,34.804,29.606,19.509,37.055,45.519,45.878,53.852,54.553,52.825,49.513,41.96,34.415,42.846,48.201,55.185,51.432,57.329,58.125,64.345,69.589,69.561,69.088,73.688,81.914,92.799,100,88.119,62.104,36.326
"29","22","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","23","Gross government investment \1\","A782RA3",5.825,6.922,7.265,6.376,5.091,6.142,6.509,9.088,8.116,9.018,9.866,9.545,21.421,55.924,76.032,76.3,54.193,7.133,8.177,11.415,15.766,16.201,26.089,32.291,35.269,33.277,30.479,30.542,31.065,33.851,37.146,36.045,39.688,41.489,41.402,42.172,42.766,46.466,48.814,47.643,44.49,41.414,37.003,34.548,35.557,37.282,37.976,38.533,37.398,40.289,42.782,44.019,42.682,42.171,45.416,51.026,58.02,63.323,66.923,66.545,69.19,73.678,74.012,74.668,71.933,70.705,72.411,75.147,77.22,79.919,85.847,88.638,92.477,97.561,99.904,100.792,100,103.268,106.584,110.214
"31","24","Less: Consumption of fixed capital","A264RA3",3.243,3.413,3.596,3.762,3.876,4.013,4.207,4.454,4.675,4.935,5.211,5.526,6.662,10.932,19.071,28.301,33.738,32.328,27.592,23.792,21.357,19.75,19.733,21.429,23.344,24.822,25.525,26.013,26.513,26.988,27.836,28.837,29.728,30.922,32.097,33.161,34.044,35.134,36.54,37.827,38.678,39.165,39.056,38.724,38.61,38.863,39.429,40.156,40.861,41.602,42.547,43.753,45.03,46.424,48.142,50.446,53.391,56.657,59.893,62.842,65.758,68.809,71.574,73.892,75.724,77.025,78.163,79.497,80.972,82.862,85.313,87.804,89.972,92.173,94.5,97.346,100,102.742,105.888,109.363
"32","25","Equals: Net government investment","A889RA3",10.397,13.139,13.764,11.006,7.242,9.914,10.587,17.296,14.212,16.25,18.112,16.664,47.565,135.623,176.935,161.326,90.428,-37.496,-26.214,-10.509,5.861,9.915,37.348,51.531,56.395,48.255,39.254,38.566,39.128,46.01,53.639,48.813,57.333,60.208,57.884,58.135,58.216,66.539,70.555,65.032,54.786,45.398,33.367,27.15,30.15,34.481,35.403,35.657,31.263,37.962,43.199,44.489,38.524,34.638,40.586,52.053,66.22,75.131,79.375,73.105,75.27,82.304,78.331,76.042,65.217,59.511,62.223,67.441,70.574,74.708,86.794,90.116,96.915,107.105,109.476,106.897,100,104.198,107.817,111.721
"33","26","          Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","27","            National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","28","            Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","29","          State and local","B893RA3",20.204,24.328,24.355,18.094,8.758,11.155,9.813,22.231,17.64,21.722,26.416,19.328,11.019,1.845,-4.127,-5.163,-4.099,1.197,7.42,11.997,19.668,23.363,24.079,24.437,27.133,34.354,37.754,38.245,41.242,46.013,46.809,46.666,50.77,52.204,57.477,61.912,66.51,71.075,75.49,78.516,72.314,64.201,60.038,55.624,54.813,54.234,52.056,49.224,42.675,49.337,52.732,51.9,42.331,35.742,35.728,44.738,53.259,58.385,59.152,62.94,66.936,74.087,74.389,73.584,69.469,71.054,74.827,79.158,88.48,89.923,100.456,107.009,113.185,116.828,115.336,109.326,100,100.634,103.129,98.568
"37","30","  Structures","A760RA3",19.118,23.207,24.138,21.154,16.361,18.676,19.541,29.24,25.467,27.948,30.606,29.207,44.942,74.758,40.057,19.35,14.73,8.735,13.185,18.274,25.277,29.112,34.573,38.975,41.052,43.911,43.534,44.34,47.058,52.746,53.735,53.554,58.016,58.84,62.034,64.709,68.442,72.153,73.71,75.902,71.754,66.447,65.791,62.775,62.656,62.077,61.767,60.84,57.649,63.286,64.545,64.838,59.259,54.432,54.397,59.398,65.216,69.4,71.697,72.103,72.174,77.162,78.96,80.27,79.023,78.822,81.672,85.018,88.954,88.903,94.145,97.147,101.888,106.694,107.883,105.096,100,100.508,103.762,103.617
"38","31","  Less: Consumption of fixed capital","B894RA3",10.902,11.509,12.196,12.81,13.28,13.683,14.146,14.824,15.572,16.342,17.127,17.975,19.057,21.228,23.252,24.051,24.342,24.329,24.105,24.145,24.51,25.013,25.759,26.698,27.745,28.899,30.047,31.148,32.306,33.578,35.042,36.42,37.799,39.324,40.864,42.469,44.084,45.889,47.678,49.518,51.314,52.879,54.317,55.658,56.925,58.109,59.221,60.286,61.27,62.257,63.368,64.504,65.52,66.362,67.087,67.896,68.904,70.058,71.309,72.558,73.776,75.066,76.478,77.903,79.316,80.644,82.016,83.577,85.076,86.714,88.401,90.197,92.057,94.076,96.181,98.227,100,101.262,103.025,104.806
"39","32","  Equals: Net structures","A895RA3",27.645,35.346,36.53,29.813,19.559,23.856,25.14,44.2,35.736,39.992,44.592,40.863,71.803,130.305,57.496,14.472,4.757,-7.446,1.853,12.183,26.073,33.364,43.72,51.714,54.86,59.489,57.528,58.029,62.366,72.637,73.132,71.335,78.995,79.09,84,87.788,93.718,99.407,100.724,103.28,92.965,80.526,77.698,70.16,68.602,66.195,64.409,61.415,53.892,64.354,65.766,65.184,52.763,42.052,41.228,50.579,61.389,68.718,72.1,71.632,70.513,79.337,81.535,82.727,78.719,76.932,81.316,86.513,92.979,91.173,100.107,104.358,112.09,119.788,120.027,112.224,100,99.725,104.528,102.384
"40","33","            Federal","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","34","              National defense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","35","              Nondefense","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
