"","Table 1AU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123"
"15","7"," Primary metals","KST330",21542,22582,22623,22676,22507,21805,21834,21959,21810,22081,22350,22278,22252,23014,23468,24192,25154,24159,24009,23934,24713,25148,25640,25267,24410,23961,23928,23773,23465,23414,24304,26075,28641,29905,29366,29490,30057,30252,30917,31499,31731,31759,31627,30976,29771,30343,30733,31018,29883,30426,30737,31213,30840,31519,30080,30161,31496,30989,32134,32618,32188,30423,29489,27968,26520,26374,25907,26070,26417,27216,27608,26659,25457,24774,24281,23498,22953,22748,21634,21931,20992,20844,21213,21648,22178,21921,22464,22867,23419,24047,23858,23651,23413,23515,23832,23699,23911,23606,23368,23141,22858,22844,22945,22542,22562,22667,22979,23153,22906,22862,22799,23114,23135,23287,23045,22819,23242,23211,23577,23902
"16","8"," Fabricated metals","KST340",19072,19071,19235,19712,19995,21202,21382,21855,21526,21592,20905,21150,20845,20165,20589,20296,20475,21483,21120,20132,19844,19775,20018,20561,21474,22154,22688,23232,23741,24591,24935,26282,26343,25845,25436,24968,24784,24869,25349,26113,25953,26180,26850,26870,27431,27752,27981,28114,28603,28885,28756,28735,28808,28090,27464,27883,27447,27078,27343,26916,26397,26274,26028,24288,23802,24104,24527,24683,25051,25548,25758,26097,25801,25348,25283,25857,25652,26035,25932,25812,26075,25757,25950,25957,25980,26045,26610,26679,27069,26818,27241,26720,27036,26499,26486,26280,26188,25505,25421,25466,25555,25708,26010,25486,25572,25317,25686,25357,25208,25455,25987,26324,26921,27261,27069,26743,27199,26985,27601,27980
"17","9"," Industrial machinery","KST350",17713,17943,18005,18222,17971,18162,18376,18561,19316,19742,20366,20878,21264,21477,21817,22067,21840,21659,21368,21040,20695,20767,21380,22164,23637,25156,26474,27652,28555,29420,30526,31594,31792,30994,30378,28984,28690,28665,28876,29359,29437,29378,29370,30202,30892,31765,32399,33563,34495,35316,36074,36877,37637,38492,38568,38472,38576,38384,39022,39125,38698,38623,37679,36178,34929,34716,34392,34326,34429,35374,36332,36822,36743,36633,36065,35225,34884,34268,34123,33863,33686,34077,33888,34598,35158,35841,36643,37246,37775,38292,38516,38675,38743,38779,38565,38417,38599,38114,37966,37520,37224,37359,38237,38328,37805,38829,39899,41003,42459,43485,44642,45558,47866,49177,50623,52710,54395,54183,54726,54416
"18","10"," Electronic machinery","KST360",11566,11659,11902,12237,12359,12587,12705,12823,13304,13740,13899,13999,13974,13943,14188,14102,13620,13414,13147,13087,13111,13198,13609,13753,14702,15667,16743,17667,18313,18490,18471,18260,17521,16882,16180,15848,15902,16439,16911,17648,18149,18756,19110,19621,20277,21164,21747,21954,22817,23378,23975,25049,25565,25514,25348,25289,25767,26301,26775,26450,25911,25796,25587,25292,24631,25076,25238,26369,26756,27603,28776,29375,29339,29302,28689,27772,27390,27527,27391,26804,26966,27138,27195,27564,27325,27230,27350,27863,28028,28043,28513,29011,29162,29054,29114,28746,28334,28134,28002,27954,28259,28455,28714,28744,29137,29607,29848,30245,31094,32102,33170,34324,35727,36411,37903,38574,38718,39445,39815,40176
"19","11"," Transportation equipment","KST370",47837,48720,51207,52405,54087,54968,56732,55903,56591,55413,55640,58192,55934,54108,53801,51513,51183,49492,49214,48591,48781,48360,49395,49454,49395,49592,51744,52690,52397,51476,51183,51684,50554,50559,49468,48876,48474,48996,48888,49360,49049,48309,49519,49272,49781,50640,51372,52574,54829,56142,56939,57802,58012,57406,56596,56489,57032,56490,55679,54175,52805,53724,54289,55444,52728,52727,52624,54182,56628,59493,62901,64207,63416,63866,64271,63322,63704,63300,62401,61121,61206,61318,62639,63784,65042,67479,67377,69592,71650,73438,74253,76587,77607,79303,80467,81811,80585,78813,77836,75910,73332,70197,67988,66189,66240,66268,65806,64565,64119,64808,63493,63209,61672,60461,59772,58932,59578,59516,59780,61016
"20","12","   Motor vehicles","KST3710",13154,12223,13169,13064,13477,13567,14464,13850,13947,13591,13664,13917,13423,12484,12910,13226,12992,13553,13161,13042,13305,13092,13761,13888,13838,14575,15571,15843,15325,14543,14620,15056,14049,13936,13330,13086,13582,14396,14698,15883,16071,16695,17135,17159,17104,17312,17752,17754,19326,18776,18516,17224,16209,15124,14268,14231,13934,13431,13167,12283,11829,11692,11371,10904,10903,11280,11656,12530,12971,13249,13675,13839,13596,13728,13828,13569,13295,13062,12655,12889,12921,12914,12990,13217,13089,13179,13007,13225,13519,13536,13604,13156,12945,13267,13286,13923,13789,13448,13457,13620,13582,13661,14187,13603,13826,14001,14150,14452,14536,14994,15233,15708,15774,15818,15515,15847,16297,15675,15807,15814
"21","13","   Other","KST37X0",34178,35998,37512,38809,40061,40846,41685,41488,42074,41266,41418,43702,41959,41107,40360,37745,37659,35374,35507,35005,34915,34717,35046,34970,34963,34375,35481,36142,36406,36322,35947,35981,35955,36088,35651,35319,34348,33969,33518,32676,32149,30688,31432,31153,31738,32383,32635,33868,34396,36369,37484,39858,41234,41844,41980,41906,42795,42807,42271,41728,40847,41934,42854,44521,41785,41393,40898,41562,43567,46166,49160,50304,49761,50077,50381,49695,50370,50207,49728,48186,48238,48358,49615,50531,51941,54312,54388,56396,58165,59957,60707,63538,64792,66168,67325,68010,66909,65473,64477,62367,59810,56579,53822,52608,52434,52284,51670,50119,49587,49815,48258,47496,45893,44636,44254,43084,43280,43840,43971,45201
"22","14"," Instruments","KST380",9166,9195,9290,9330,9310,9269,9303,9468,9671,9757,9729,9700,9893,10013,9985,9787,9785,9770,9832,9950,10024,9990,10139,10189,10255,10368,10553,10873,11163,11527,11689,11828,11593,11435,11448,11431,11404,11528,11680,11929,11912,11938,12181,12285,12512,12630,12811,12949,13241,13413,13394,13383,13668,13702,13647,13801,13880,13926,13906,13906,13780,13833,13846,13573,13174,13395,13699,14043,14516,15320,15864,16395,16918,17339,17618,17768,17707,17965,18213,18251,18059,18407,18791,19036,18749,18478,18573,19807,20719,21066,21039,20402,21133,21121,21203,20955,20571,20814,20934,21272,21160,21182,21271,21204,21144,20926,20757,20423,20170,20373,20365,20482,20804,21410,22056,23054,23671,23861,24546,24355
"23","15"," Other manufacturing","KST390",3765,3738,3786,3868,3835,3913,4026,4208,4459,4540,4789,4710,4801,4899,4994,5100,5214,5465,5515,5531,5410,5858,5721,5831,6030,5775,5746,6169,6277,6242,6505,6659,6240,6015,5690,5714,5802,5935,6132,6174,6441,6518,6504,6525,6439,6461,6604,6707,6659,6502,6275,6079,6044,6256,6052,5880,5959,5837,5941,6080,6315,6481,6463,5977,5850,5822,5873,5902,6014,6290,6554,6769,6941,6821,6824,6753,6549,6469,6606,6849,7009,7141,7024,6938,6940,7003,7060,7262,7180,7161,7171,7127,7377,7352,7413,7294,7146,6941,7041,7222,7310,7454,7392,7247,7268,7586,7513,7727,7713,7343,7468,7300,6945,6941,6700,6739,6820,6840,7053,7080
"24","16","Nondurable goods","KSTMN0",87762,88572,89405,90303,90738,92506,94475,95716,96378,96940,98619,98376,98663,100120,99638,100065,100625,101514,101668,102756,102866,104001,104794,103850,104628,105089,103001,104360,105971,109431,110198,112677,112164,110005,110545,113827,115372,117576,119498,119992,120165,122307,124464,124568,123728,124410,125006,125978,125015,124649,125190,124809,128009,128867,126322,125209,126694,127441,127664,128085,128557,125346,125731,125379,123556,124246,127030,127449,129910,133682,135889,133715,132554,132396,131536,133480,132941,134215,133218,135524,136110,136042,137062,138795,140209,141457,141791,143356,143536,146081,147722,147189,149038,149772,151157,151354,152634,152181,152423,154507,154928,155233,157740,158259,158721,159663,159214,158015,158616,158986,160012,161003,163217,164726,164976,164258,164642,163234,163549,164841
"25","17"," Food and kindred product","KST200",22363,22472,22693,23321,23243,23558,24539,24418,24000,24452,24863,24257,24595,24777,24043,24397,24313,24753,24886,25303,25119,25897,26010,24972,24925,25029,23904,25036,25796,26946,25982,25591,25361,25008,25676,27527,27834,28626,29431,29379,29546,30177,30705,29373,28913,28997,29186,29483,29725,30178,30024,30019,30428,30234,29867,29515,29881,30095,30262,29965,29229,28521,29266,29602,29216,28495,28929,28655,29025,29061,28942,28873,28940,29007,29276,29381,29096,29117,28916,29211,29540,30158,30226,30171,30167,30654,29958,30856,30765,31205,31925,32259,32297,32547,33497,33534,33645,33410,33802,34159,34378,34717,35262,35178,35097,35471,34711,34478,34410,34892,35567,35431,35911,35878,36127,36285,36256,35729,36138,36690
"26","18"," Tobacco products","KST210",7053,7079,7155,7158,7092,7139,6824,6804,6726,6684,6719,6493,6259,6175,6094,5931,5954,5915,5767,5918,5946,5968,6193,6432,6193,6347,6341,6406,6657,6725,6840,7309,7339,7476,7439,7733,7986,7918,8013,7764,7694,7679,7709,7619,7403,7342,7115,7355,7230,7248,7124,6680,6676,6703,6830,6654,6800,6496,6833,7121,7545,8162,8112,8124,7670,8157,8217,7809,7429,7299,7509,7406,7262,6984,6903,6906,6878,6587,6479,6707,6730,6954,6715,6544,6581,6519,6510,6446,6279,6496,6634,6733,6934,6852,6894,6925,7110,7194,7206,7171,7227,7155,7325,7395,7500,7645,7525,7058,6906,6870,6569,6509,6372,6338,6732,6591,6533,6438,6539,6741
"27","19"," Textile mill products","KST220",6937,7034,7146,7119,7418,7563,7623,7803,7854,7870,7946,7921,7923,8018,8109,8188,8343,8331,8384,8306,8344,8418,8261,8264,8405,8283,7958,7807,7951,8059,8327,8394,7937,7692,7728,7818,7906,8002,8033,8026,8304,8582,8641,8746,8711,8704,8862,8630,8616,8402,8331,8366,8575,8466,8132,8292,8354,8246,8093,7998,7694,7352,7214,7104,7236,7632,8020,8288,8472,8623,8640,8374,8245,8007,8126,8246,8226,8439,8251,8321,8717,8693,8813,8801,8764,8881,8717,8926,8696,8864,8903,8848,8961,8888,8976,8846,8662,8597,8793,8788,8882,9047,9251,9165,9276,9416,9516,9779,10104,10069,10017,10103,10106,10118,10038,9971,9819,9735,9814,9934
"28","20"," Apparel products","KST230",5911,5814,6050,5879,5867,6222,6184,6430,6600,6476,6576,6690,6342,6739,6979,6905,7201,7222,7178,7180,7291,7285,7489,7721,8215,8051,7871,7748,7236,7037,7179,7399,6924,6780,6945,7275,7844,8351,8196,7917,7751,7847,7922,8276,8233,8355,8601,8708,8967,8582,8523,8167,8289,8414,8280,8166,8195,8187,8113,8541,8448,8264,8152,8042,7827,8010,8406,8752,9324,9784,9863,9777,9490,9706,9703,9948,10144,10006,9967,9833,9991,9828,9888,10185,10350,10730,10549,10245,9762,9650,9909,9897,10090,9951,9907,9687,9283,9285,9356,9939,10171,10177,10144,10284,10738,11052,11294,11241,11160,11338,11514,11689,12223,12078,11845,11559,11152,10653,10380,10123
"29","21"," Paper & allied products","KST260",6340,6386,6333,6239,6347,6493,6425,6398,6269,6197,6339,6518,6850,7111,7201,7416,7336,7364,7419,7529,7499,7435,7562,7475,7496,7651,7573,7842,7975,8558,9042,9647,9738,9278,9254,9141,9238,9493,9567,9606,9676,9774,9959,10001,9994,10190,10257,10160,10102,10269,10157,10427,10789,11135,10984,10817,11002,10924,11094,11232,11464,11403,11457,11307,11205,11348,11417,11659,11836,12244,12659,12815,13050,12851,12743,12945,12979,13123,13238,13233,13656,13656,13647,13705,13483,13524,13791,14069,13852,14250,14613,14616,14704,14860,14787,14861,15254,15140,15060,15569,15717,15705,15861,15727,15784,15627,15636,15638,15649,15808,15694,15409,15569,15990,16060,16146,16527,16432,16507,16290
"30","22"," Printing & publishing","KST270",7089,7395,7304,7402,7174,7232,7588,7902,8196,8147,8566,8326,8273,8085,7951,7715,7742,7766,7820,7787,7992,7838,7965,7994,8075,8455,8617,8827,8839,8857,8929,9152,9416,9176,9141,9160,8789,8986,9288,9569,9592,9431,9467,9727,9836,10088,9840,9903,10119,10235,10343,10368,10485,10512,10389,10212,10311,10415,10574,10511,10473,10490,10307,10253,9999,10178,10305,10719,10928,11394,11812,11856,12053,11969,12051,11997,11868,11940,11961,12104,12352,12363,12355,12608,12715,13091,13368,13371,13440,13621,13574,13558,13622,13733,13791,13815,14207,13870,13490,13528,13370,13217,13633,13444,13261,13342,13308,13057,13001,12919,13039,13293,13983,14110,13911,13529,13408,13517,13091,13502
"31","23"," Chemical & allied prod","KST280",17267,17422,17587,17870,18019,18140,18743,19179,19992,20418,20805,21019,20909,21598,21907,22055,22197,22462,22394,22643,22622,22882,22988,22969,22864,22916,22689,22620,23152,23615,23992,25544,25590,25420,24891,25056,25350,25691,26442,26586,26184,26615,27439,27935,28130,28395,28711,28924,28112,27777,28035,28065,29299,29591,28455,28682,28863,29388,29505,29700,29615,28914,28392,27666,27304,27486,28149,28690,29403,30971,32105,31267,30792,31438,31708,31323,31218,31696,31407,32322,31576,31151,31641,32368,33113,32838,33400,34032,34875,35644,36089,35637,35708,36309,36696,37173,37812,37701,37650,38097,38302,38265,39035,39501,39582,39548,39811,39485,39724,39576,39447,39784,39668,40717,41317,41144,41445,41521,41775,42199
"32","24"," Petroleum products","KST290",6412,6742,6947,7108,7241,7431,7724,7602,7378,7127,7139,7573,7931,8086,7710,7687,7632,7797,8059,8083,7791,7623,7632,7320,7097,6891,6760,6528,6774,7995,8650,8756,9392,8908,8898,9121,9237,9154,9209,9443,9495,9998,10239,10358,9932,9650,9552,9791,9195,9078,9558,9883,10359,10781,10789,10387,10561,10809,10400,10379,11245,10085,10602,10922,10870,10550,10896,10377,10677,11024,11112,10575,10276,10060,8919,10016,9536,10599,10324,10981,10629,10304,10685,11249,11827,11856,11741,11500,11579,12108,11664,11347,12443,12087,11731,11661,11922,12257,12381,12369,12243,12114,12225,12152,12195,12101,11856,11765,11996,11780,11952,12436,12618,12592,12180,12304,12443,12218,12118,11971
"33","25"," Rubber & plastic product","KST300",5591,5640,5517,5620,5614,5886,5988,6246,6289,6392,6676,6700,6906,6844,6884,6903,6931,7018,6931,7200,7343,7521,7676,7776,7918,8148,8396,8463,8654,8764,8753,8859,8750,8657,8704,8757,8827,8865,8910,9295,9561,9702,9927,10037,10090,10232,10379,10545,10581,10663,10742,10423,10463,10049,9684,9860,10039,10082,10281,10103,9841,9728,9487,9441,9225,9536,9734,9919,10210,10734,10798,10594,10563,10631,10816,10883,11078,10954,10820,10992,11044,11061,11279,11312,11368,11620,11865,12014,12439,12418,12586,12448,12449,12655,13029,13185,13177,13265,13270,13375,13099,13233,13447,13781,13672,13903,13989,14031,14234,14229,14680,14865,15258,15309,15170,15220,15515,15491,15652,15841
"34","26"," Leather & leather product","KST310",2146,2115,2132,2172,2195,2187,2318,2269,2391,2414,2232,2313,2320,2251,2130,2175,2109,2058,2093,2094,2081,2109,2028,1880,2102,2118,2121,2112,2121,2095,2085,2100,2033,1836,1916,1997,1974,1995,1962,2041,1956,1993,1944,2051,2134,2166,2119,2099,1987,1933,2023,1995,2121,2252,2025,1974,1999,1922,2095,2143,1944,2109,2085,2033,2073,2129,2111,2138,2112,2112,2131,2077,1937,1899,1989,2052,2136,1996,1982,1943,1956,1960,1887,1942,1996,1885,2078,2020,1987,1988,1953,1969,1912,1962,1975,1834,1738,1622,1540,1611,1610,1667,1641,1693,1638,1552,1527,1456,1476,1496,1539,1537,1570,1605,1555,1504,1537,1488,1516,1545
"35","27","Trade total","KST50",163571,162363,164028,166702,169154,173053,173656,177473,180452,183519,188198,190585,191739,194554,197949,197955,204405,209770,217282,219739,221398,225954,230158,234826,239528,242700,242466,248229,251056,253999,251314,256274,247145,242777,244664,242606,248270,254592,259089,260854,265398,269515,275882,281289,291268,296733,298299,305487,309944,314652,313855,313087,312559,313649,315303,315327,318669,320569,324075,327887,322069,325395,327277,322375,322773,323512,329364,335849,348738,354689,361743,372251,376174,380852,386012,395658,405234,408347,410182,407608,418485,425915,424519,437213,439752,445293,450846,453185,459858,463846,463781,470923,468414,475532,478499,477273,473920,472729,476728,482650,482357,487576,488983,496201,507219,510631,513985,518161,521561,533810,541785,553365,563404,570616,574726,576509,572909,578397,582461,586360
