"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234"
"14","6","    Change in private inventories","A014RC1",0.5,-1.2,-2.9,1.5,3.6,5.9,7.2,6,0.4,-5.1,-1.3,-4.7,2,2.8,4.2,14,10.4,14.8,9.7,4.7,4.7,-1.5,5.6,5.3,3.9,3.6,2.3,-2,-2,-3.4,-2.1,-0.3,3.8,4.6,4.3,7.2,6.4,3.6,3.6,2.2,2.2,2.7,2.8,-4.5,-4,-4.2,1.5,5.2,3.9,7.3,0.4,4.1,11.2,3.2,4.3,-5.8,-2.5,1.8,6.7,6,9.4,5.4,6.2,3.4,6.9,4.8,5.7,5.1,5.1,4.5,4.7,5,11.5,8.6,9.3,7.6,13.9,12.3,11.9,16.5,15.4,6.3,9.3,8.4,8.4,14.1,7.7,6,11.5,9.2,10.2,5.8,1.8,5.1,5.1,-4,12.3,10.9,10.2,-0.3,3.2,12,13.7,7.5,10.6,18.2,9.8,25,12.5,17.4,5.6,20.4,-10,-14,-1.4,0.3,14.7,22.4,20.8,10.5,14.8,19.5,30.9,24.1,25.5,24.3,25,28.5,23.9,27.4,12.1,8.6,9.9,7.8,-33.9,-9.1,38.8,11.7,44,24.8,-21.5,-4.2,5.8,-39.8,-35.1,-7.7,-4.2,23.9,73,69.3,71.3,48,16.2,21.6,16.3,33.1,30.3,15.7,-7,-12.7,28,16.5,1,63.1,17,19.7,18.2,19.1,48.2,36,10,16.6,13.9,33.7,21.9,-11.3,-15.6,-18.1,0.8,31.2,0.2,23.2,20.5,21.3,35.9,24.1,6.6,16.7,45.3,81.5,53.4,75.1,61.2,33.7,11.2,18.3,6.8,30.5,51.1,34.7,44.4,88.5,72.5,82.7,115.5,46.9,60.7,59.9,82.2,38.1,49.1,98.2,29.9,96.3,58.4,41.4,-9.9,-7,-31.8,-78.2,-8.9,14,19.1,20.4,10.6,-15.3,-3.7,3.5,36.2,59,33.3
"15","7","  Durable goods","A354RC1",45.5,45.5,46.8,45.1,48.1,46.5,48.4,49.6,47.8,45.1,49.2,44.3,47.4,53.9,62.2,66.2,64.9,68,68.7,66.7,67,62.1,59.8,69.5,73.2,73.3,74,64.6,62.9,63.8,63.3,67.8,73.3,79.9,81.4,82.4,80.8,79.6,80.5,83.9,85.9,85.7,87.1,79.8,70.7,69.3,75.5,80.7,87.9,92.3,88.3,88.4,98.3,92,92.9,84.3,81.4,87.1,94.3,97.6,102.2,101,105.1,102.8,104.8,107.4,110.6,111.6,117.3,118.6,123.3,121.5,133.5,131.4,137,136.8,150.3,148.1,153.1,156.4,149.8,149.2,151.4,154.7,156.7,161.8,164.7,169.9,177,172.8,179.5,179.1,173,176.2,181.7,162.6,183.3,181.6,188.3,182.9,195,204.5,210.5,224.9,242.6,250.8,252,253.1,252.6,257.3,271.1,280.6,258.4,270.2,285.6,293.9,315.4,327.3,337.1,348.1,358.8,366.7,380.1,387.7,395.5,430.9,432,467.4,481.1,479.8,487.5,490.8,505.6,478.2,482.2,525,547.3,551.1,566.4,533.4,514.6,540,534.1,505.9,505.4,570.7,599.4,646.5,669.5,684.6,692.4,720.2,697.7,717.1,723.2,723.6,724.6,729,747.9,750.5,756.7,780.3,789.8,824.7,827.9,854.2,873.9,902.1,920.4,927.1,953.9,947.1,973,965.7,965.4,927.3,898.7,922.4,960.2,940.6,940,982.8,995.7,1014.2,1039.5,1058.7,1058.6,1103.2,1128.2,1148.8,1164.4,1201.2,1224,1213.6,1234.3,1271,1269.5,1307.7,1345.2,1345.9,1388.6,1438.9,1478.9,1489.7,1523.3,1496.3,1526.8,1575.7,1577,1588.6,1635.2,1665.2,1669.7,1722,1685.4,1680.3,1639.5,1607.7,1548.3,1558.8,1560.8,1555.9,1589.6,1577.5,1558.1,1575.9,1652.1,1689.1,1718.4,1727.2,1756.7
"16","8","    Final sales","A326RC1",43,44.2,44.3,45.6,47,45.7,47.4,48.4,47.6,49,48.8,48.3,48.2,50.5,60.1,56.4,60.3,58.2,60.9,64.6,64.6,64.2,59.2,65.8,69.4,70.4,71,68.3,66.6,67.6,65.8,68,70.9,75.7,78.6,78,76.5,77.7,80.2,81.9,85.1,83.6,84.9,82.8,76.9,74.8,76.5,79.1,84.6,86,88.9,85.9,89.2,91.5,91.3,88.9,86.9,88.6,90.6,94.6,96.8,98.6,100.4,101.7,102,104.3,107.3,110.3,113.6,115.2,118.6,118.1,124.6,125.5,129.8,133.9,140.8,138.8,142.9,145.3,143.1,146.9,147.1,148.6,153.7,155.9,161.8,163.6,171,168.8,172.4,172.4,174.2,176.1,176.1,167.9,176.6,178.9,182.8,186.1,192.3,199.3,202.9,214.9,231.1,237.2,238.2,240,244.8,252.1,261.7,259.4,266.2,277.1,292,302.8,310.8,314.6,323.8,335.4,351,359.6,367.4,377.2,374.9,413.7,420.7,443.6,459.2,459.1,483.8,485.9,503.3,480.2,499,517.9,536.5,541,556.3,535.1,536.3,539.6,536,546.8,537.3,568.1,586.6,620.2,625.6,643.4,650.8,681.1,695.5,709.1,726.6,712.7,708.2,722.9,762.7,765.6,728.3,758,794.3,779.1,819.4,839.3,842.3,866.2,881.4,908.9,952.1,925.9,971.6,943.3,948.3,937.5,930.1,948.5,956.5,941.3,957,973.8,996.7,1017.1,1015.1,1045.3,1046.8,1084.4,1103.1,1107,1133.4,1156.4,1175.9,1181.1,1211,1240.6,1259.3,1288.9,1306.5,1337.2,1362.9,1384,1444.3,1445.3,1447.3,1467.9,1492.7,1543.1,1529,1574.5,1603.2,1599.4,1651.8,1654.9,1656.2,1650.5,1663.2,1631.8,1587.7,1638.6,1567.3,1548.9,1576.3,1538.4,1542.5,1590.9,1665.3,1674.2,1687.2,1679.8,1743.2
"17","9","    Change in private inventories \1\","A355RC1",2.4,1.3,2.5,-0.5,1.1,0.7,0.9,1.3,0.3,-3.9,0.5,-4,-0.8,3.4,2.1,9.8,4.6,9.7,7.9,2.1,2.4,-2.1,0.6,3.7,3.8,3,2.9,-3.6,-3.7,-3.8,-2.6,-0.2,2.4,4.1,2.7,4.4,4.3,2,0.3,1.9,0.7,2.1,2.2,-3,-6.2,-5.5,-1,1.6,3.3,6.3,-0.6,2.5,9.1,0.5,1.6,-4.6,-5.5,-1.4,3.8,3,5.4,2.4,4.7,1.1,2.7,3.1,3.3,1.4,3.7,3.5,4.7,3.3,9,5.8,7.2,3,9.5,9.3,10.2,11.1,6.7,2.3,4.3,6.1,3,6,2.9,6.3,6,4,7.1,6.7,-1.2,0.1,5.6,-5.4,6.7,2.7,5.5,-3.2,2.6,5.2,7.6,10,11.4,13.6,13.8,13.2,7.8,5.1,9.4,21.2,-7.8,-6.8,-6.4,-8.9,4.6,12.7,13.3,12.7,7.7,7.1,12.6,10.5,20.6,17.2,11.3,23.8,22,20.7,3.7,4.9,2.2,-2.1,-16.7,7.1,10.9,10.1,10.1,-1.7,-21.6,0.4,-2,-40.9,-31.9,2.6,12.9,26.3,43.9,41.2,41.6,39.1,2.2,8,-3.5,10.9,16.3,6.2,-14.8,-15.1,28.4,22.3,-4.5,45.6,8.5,14.9,31.5,35.9,39,18.2,1.8,21.1,1.4,22.5,17.1,-10.2,-31.5,-26,3.7,-0.6,-17,9,-0.9,-2.9,24.4,13.5,11.8,18.8,25.1,41.8,31.1,44.8,48,32.5,23.3,30.4,10.2,18.8,38.7,8.6,25.7,55,34.6,44.4,76,28.4,34.1,32.6,48,14.1,32,65.8,18,67.1,29.3,29.8,-23.7,-24.1,-39.4,-79.8,-6.5,6.9,13.3,39,15.6,-15.1,-13.2,14.9,31.2,47.4,13.5
"18","10","  Nondurable goods","A356RC1",89.4,90.8,90.5,98.8,99.8,103.4,104.5,103,98.3,96,93.1,93.9,97.5,95.4,101.1,103.6,112.3,112.2,112.6,116,114.7,114.2,120.1,118.4,117,117.1,115.6,117.8,119,118,119.7,120.8,123,123.5,126.1,129.2,130.3,131.6,134.9,134.2,137,137.3,140.5,137.1,141.4,141.7,145,146.3,145.1,147,149.5,151.8,153.4,156.1,156,153.4,159.2,159.4,159.5,161.9,164.5,165.1,164.8,166.7,170.1,169.3,172.2,174.4,176.9,179.2,181.9,184.7,187.4,192,194.6,205,209,210.9,212.6,217.6,223,220.5,223.8,223.1,233.5,240.5,242.9,240.4,249.5,255.3,256.6,258.1,268.2,274.2,272.6,279.2,285.7,289.9,289.4,290.6,293.1,308.1,314,316.3,329.4,342.6,345.8,372.1,371.8,381,374.9,384.1,399.1,401.5,422.5,434.6,441.4,444.8,449.3,446.6,457.2,472.9,487.4,495.2,492.2,525.2,546.9,553.9,564.9,584.5,607.4,616.4,628.9,648.2,651.8,662.8,726.2,708.6,758.3,761.3,744.1,752.9,755.9,761.6,777.8,774.2,777.7,808.4,845.1,859.8,871.4,855.7,883.9,879.1,898.5,906.5,918.2,914.1,918.5,925.3,938.5,949.9,969.3,996.3,1009.5,1034.3,1047.6,1064.2,1104.2,1137.3,1137,1139.6,1173.1,1198.4,1208.1,1212.2,1251.9,1249.5,1241.8,1273.8,1289.9,1281,1299.5,1326,1318.4,1319.3,1315.6,1338,1371,1399.5,1401.6,1440.2,1424.5,1418.6,1423.8,1434.6,1458.8,1487.4,1490.4,1523.2,1532.3,1548.7,1571.6,1582.2,1599.6,1588.7,1613.8,1649.2,1674.3,1684,1678.9,1742,1723.2,1764.1,1775.5,1777.1,1781,1824.7,1836.8,1853.4,1868.8,1880.1,1871.3,1854.2,1897.3,1915.5,1980.3,1989.9,2041.3,2076.9,2101.5
"19","11","    Final sales","A334RC1",91.3,93.4,95.9,96.8,97.3,98.3,98.3,98.3,98.2,97.2,94.9,94.6,94.7,95.9,99,99.4,106.5,107.1,110.7,113.4,112.4,113.7,115.1,116.9,116.9,116.5,116.2,116.2,117.3,117.6,119.2,120.9,121.6,123,124.5,126.4,128.2,130,131.6,133.8,135.6,136.7,139.9,138.7,139.1,140.4,142.5,142.7,144.5,145.9,148.5,150.2,151.3,153.4,153.3,154.7,156.3,156.2,156.6,158.8,160.5,162.1,163.4,164.4,166,167.6,169.8,170.7,175.5,178.2,181.9,183,184.8,189.3,192.5,200.4,204.6,207.9,210.9,212.2,214.3,216.5,218.8,220.7,228.1,232.4,238.1,240.7,244,250.1,253.4,259.1,265.2,269.2,273.1,277.8,280.1,281.8,284.7,287.7,292.5,301.3,307.9,318.8,330.3,338,349.9,360.3,367.1,368.7,378.7,384.8,401.3,408.6,417.5,425.4,431.3,435.1,441.8,448.8,450.1,460.6,469.1,481.5,487.3,518.2,533.2,549.3,563,577.8,599,612.8,621.2,638.4,669,679,698.3,707,724.4,734.8,743.9,757.5,748.1,760.5,781,784.4,794.8,810.7,816,831.7,841.6,846.8,869.9,865.4,878.8,884.2,904.2,904.6,910.7,923,938.9,955.7,963.8,978.8,1001,1029.6,1061,1081,1095,1119.5,1128.9,1144.1,1160.6,1187.1,1203.4,1213.4,1236,1241.5,1244.6,1242,1272.7,1266.8,1278,1301.8,1306.9,1308.6,1320.8,1340.1,1350.8,1359.8,1379.3,1410,1411.3,1417.4,1435.8,1446.6,1462.1,1475.8,1478,1497.2,1513.6,1515.1,1533.8,1544,1560.1,1570.2,1587.2,1621.9,1640.2,1660,1661.8,1709.5,1711.3,1734.9,1746.4,1765.5,1767.2,1807.7,1829.2,1851.8,1871.3,1873,1865.5,1872.8,1902.3,1915.8,1970.8,2001.3,2036.2,2065.3,2081.6
"20","12","    Change in private inventories \1\","A357RC1",-1.9,-2.6,-5.4,2,2.5,5.1,6.2,4.7,0.1,-1.3,-1.8,-0.7,2.8,-0.5,2.1,4.2,5.8,5.1,1.8,2.6,2.4,0.5,5,1.5,0.1,0.6,-0.6,1.6,1.7,0.4,0.5,-0.2,1.4,0.5,1.6,2.9,2.1,1.6,3.2,0.3,1.4,0.6,0.6,-1.5,2.2,1.2,2.5,3.7,0.6,1,1,1.6,2.1,2.7,2.7,-1.3,3,3.2,2.9,3,4,3,1.5,2.3,4.1,1.7,2.4,3.7,1.4,1,0,1.7,2.6,2.7,2.1,4.6,4.4,3,1.6,5.4,8.7,4,5,2.3,5.4,8.1,4.8,-0.3,5.4,5.2,3.1,-0.9,3,5,-0.5,1.4,5.6,8.2,4.7,2.9,0.6,6.8,6.2,-2.5,-0.9,4.6,-4,11.8,4.7,12.3,-3.8,-0.7,-2.2,-7.1,5,9.2,10.1,9.8,7.5,-2.1,7.1,12.4,18.3,13.7,4.9,7,13.7,4.7,1.9,6.7,8.4,3.6,7.7,9.8,-17.1,-16.3,27.9,1.6,33.9,26.5,0.2,-4.6,7.8,1.1,-3.2,-10.2,-17.1,-2.3,29.1,28.2,29.8,8.9,14,13.7,19.8,22.3,14,9.5,7.8,2.4,-0.4,-5.8,5.5,17.5,8.5,4.7,-13.4,-16.9,9.2,17.8,8.1,-4.5,12.5,11.3,4.8,-1.2,15.9,8,-2.8,31.8,17.2,14.2,21.5,24.2,11.5,10.6,-5.2,-2.1,20.2,39.7,22.3,30.2,13.2,1.2,-12,-12,-3.3,11.7,12.4,26,18.7,33.5,37.8,38.3,39.5,18.5,26.7,27.3,34.1,24,17.1,32.4,11.9,29.2,29.1,11.6,13.8,17.1,7.6,1.6,-2.5,7.1,5.8,-18.6,-5,-0.3,9.5,-11.4,5,11.6,19.8
"21","13","Services \2\","A341RC1",82,83.3,83.8,83.6,84.8,87.7,90.3,92.7,94.9,96.2,95.4,95.4,96.9,98.9,99.4,104.1,111.6,117,123.1,125.9,129.1,134.6,137.1,140.4,144,147.2,147.5,149.1,148.6,148.3,150.5,152.3,155.5,155.6,159.8,162.5,163.9,168.2,168.5,174.8,178.7,180.7,183.3,189.1,187.5,193,195.2,198.6,200.1,205.5,208.4,212,212.3,216.6,218.8,223.7,224.1,230.5,232,237.3,243.1,249,251.4,255.4,258.3,262,267,272.5,277.7,282.8,286.6,290.1,294.1,300.7,307.8,317.3,321.6,332.4,339.7,347.4,359,364.7,371.8,381.1,393,402.7,411.9,422,427.2,439.4,450.3,460.6,469.2,475.9,486.4,496.2,509.9,520.6,530.4,542.3,559.7,569.3,578.8,591.3,602.2,616.8,628.9,642.7,659,679.2,700.1,725.8,749.7,773.4,787.3,810.4,828.1,843.6,863.9,890.9,914.4,938,966.1,992.3,1020.9,1049.2,1070.7,1098.1,1124,1156.7,1183.2,1223.4,1260.5,1296.8,1339.9,1392.9,1430.8,1474.3,1504.6,1541,1576.3,1603.9,1648.6,1703.9,1748.6,1782.6,1834,1846.5,1888.5,1940.3,1981.1,2021.3,2087.9,2125.3,2180,2223.3,2262.9,2304.8,2346.8,2388.1,2434,2468.8,2506.5,2552.9,2611.5,2657.5,2708.9,2763.3,2815.8,2865.3,2908.6,2965,3020.9,3093.3,3145.4,3195.3,3239.5,3292,3334,3379.5,3452.3,3505.1,3564.9,3608.6,3648.3,3685.8,3737.6,3775.2,3829.6,3874.8,3933.1,3967.2,4019.8,4076,4132.1,4165.8,4230.2,4288.4,4325.1,4407.3,4455.3,4521.6,4576.9,4639.8,4692.3,4768.2,4818.5,4880.4,4958.6,5033,5123,5212.7,5310.5,5397.4,5454.8,5539.6,5630.5,5697.5,5747.6,5826.7,5918.5,6022.2,6099.9,6186.5,6276.5,6358.6,6410.3,6493.6,6600.3,6682.5,6760.9
"22","14","Structures","A755RC1",20.4,20.8,23.5,26.9,27.6,29.8,30.6,29.9,29,29,29.9,31.7,33.4,36.3,39.3,39.4,40.2,39.5,39.1,39.4,40.4,41.2,41.6,43,44.2,44.4,44.1,44.3,44.8,45.9,47.4,48.6,50.8,52,52.2,51.9,53.3,54.7,55.4,55.3,55.6,55.5,55.6,55.5,54.5,54.1,56,59.4,62.4,63.7,63.1,61,62.9,61.4,61.3,62.1,63.2,61.9,63.6,65.8,66.2,68.1,68.6,68.5,69.2,72.4,74.1,74.9,77.7,78.2,78.6,79.3,80.6,84,85.8,88.3,89.8,88.5,88.1,85.8,86.1,88.1,90.2,94,96.7,99.2,100,104,107.3,108.8,110.2,106.8,106.9,106.9,110,114.9,119.5,126.9,131.3,135.9,142.8,144,146.4,154.4,161.4,161.7,164.4,164.3,163.6,167.9,168,163,162.9,160.5,167.7,175.7,187.7,189.2,188,199.7,209,228.4,233.2,236.5,241.4,270.2,286.5,297.6,294.4,306.7,322.5,329.8,330.3,306,312.7,336.2,348.4,351.8,349.5,360.7,351.7,345.9,337.6,342.9,351,356.7,378.1,389,406.6,423.9,433.4,439.2,450,457,459.6,468.4,480,477.7,480.6,482.2,484.7,491.1,502.3,512.4,503,516.8,516.2,524.1,526.7,524.4,532.4,532.7,549.4,540.3,530.4,513.9,497.9,500.5,499.7,501.8,513.9,521.2,520.4,535.4,536.5,548.3,562.9,583.8,582.2,607.5,616,623.6,630,629.4,642,651.1,665.7,693.1,705.5,724.1,737.6,741.3,754.5,759.5,771.4,804.7,830.5,848.6,856.7,868.5,876.4,899.7,926,939.4,946.3,956.6,970.6,999,1002.4,987.4,990.1,987.5,985.7,999.4,1012.7,1034,1074.1,1098.4,1112.6,1171,1191
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,35.1,35.1,36,41.9,44.4,43.4,45.5,45.7,42.8,47.1,43.2,38.3,42,41.1,27.4,51.7,49,47.7,50.8,54.7,54.9,50.6,59.9,68,64,62.3,60.2,55.8,55.2,63.8,60.3,48.3,53.9,63.2,64.3,74.6,78.9,78.8,83.5,94,94.4,97.6,99.5,96.9,108.3,106.1,114.8,120,108,101.5,95.2,91.7,75.9,82.9,97.8,98.8,106.2,102.8,93.9,87.2,102.1,104.1,92.8,108.2,116.2,136.1,154.6,159.3,152.7,156.3,174.9,171.1,179.4,191.6,187,179.7,186.3,193.2,190.2,186.7,186.1,187.7,195,190.1,203.9,198.3,211.4,220.5,211.5,207.9,201.7,198.7,201.9,202.5,176.7,164.6,178.1,193.8,186.2,188.5,204,207.7,222.1,223.6,229.5,225.6,251.7,269.9,264,274.1,283.3,273.1,275.2,272.1,291,273,302.2,304.9,293.7,308.7,304.7,325.6,339.9,327.9,326.5,328.5,371.8,362.9,364.8,376,384,387.6,374.2,355.2,342.9,323.6,349,344.5,361.2,365,372.4,386.1,393.5,379,378.4,400.6,402.9,412.3,396.1,401.1
"25","16","  Gross domestic product excluding motor vehicle output","A962RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,785.2,787.4,802.1,816.9,838,859.9,876,890.8,915.3,933.4,949.4,961.4,979,991.2,1009.6,1025.5,1046.7,1070.1,1091.6,1100.9,1135.9,1171,1199.1,1227.1,1267.5,1307.9,1328.8,1372,1391.2,1430.2,1450.4,1493,1521.7,1551.7,1599.9,1650.2,1698,1725.9,1759.6,1801.8,1845.3,1911.6,1969.2,2012.1,2053.1,2167.3,2230,2302.2,2344.4,2419.6,2499.2,2565.3,2633.6,2653.4,2703.7,2819.1,2953.9,2979.6,3076,3102.5,3099.6,3140.6,3172.1,3221.6,3274.7,3368,3453.2,3535.8,3650.3,3755.9,3821.8,3861.4,3948.4,3999,4069.7,4134.7,4205.9,4239.4,4300.7,4355.9,4427.1,4503.8,4580.1,4691.3,4761.8,4859,4948.3,5042.3,5146.6,5242.6,5324,5382.6,5517.7,5595.7,5647,5672,5723.4,5786.3,5841.8,5909.6,6007.6,6086.1,6172.8,6262.1,6319.1,6382.6,6449,6548.5,6641.1,6766.6,6841.1,6948.9,7025.2,7062.5,7160,7231.5,7351.2,7474.4,7561.3,7706.8,7805.1,7945.7,8056.3,8131.4,8258.9,8331.4,8461,8582,8703.7,8809.3,8937.4,9135.5,9241.9,9448.6,9506.9,9610.7,9697.9,9779.9,9790.7,9865.1,9973.3,10073.4,10160.4,10224.1,10365.6,10505.6,10716.1,10868,11060.3,11261.4,11408.9
"26","17","  Final sales of computers \3\","BB01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,11.3,12.4,13.5,14.5,14.9,16,17.4,17.9,19.3,21.4,22.1,23.9,24.3,25.9,28.8,29.6,27.7,27.7,28,30.8,33,35.5,35.9,37.9,40.7,44.5,47.6,45.7,47.4,43.8,45.1,44.7,46,45,46.8,47.3,47.6,49.2,50.1,52.2,53.2,54.4,56.2,54.3,58.3,58,55.1,54,51.6,51.2,52.5,51.4,51.7,51.9,55.2,54,56,55.9,55.1,57,54.6,56.7,57,58.8,59,60.6,63.1,68.9,74,75.2,81.4,84.2,83.2,85.7,85.9,88.6,93.1,98.2,96.6,96.2,97.4,96,96.9,99.2,104,105.3,98.9,106,112.1,110,111.7,110,102,91.4,91.3,85.3,84,87.6,89,91.7,95.9,108.8,114.1,111.9,111.1,113.3
"27","18","  Gross domestic product excluding final sales of computers","BB00RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2140.2,2264.4,2323.7,2403.5,2449.9,2512.7,2584.7,2643,2707.4,2710,2765.2,2894.8,3028.8,3061.6,3152.8,3167.6,3157.2,3215.1,3248.5,3286.4,3352.1,3451.1,3553.8,3654.5,3771.7,3867.9,3933.7,3988.7,4073.9,4131,4217.5,4276.7,4340.9,4379.6,4448.9,4499.3,4566.6,4642.4,4718.6,4836.2,4899.7,5009.7,5092.3,5197.5,5312.8,5395.8,5473.9,5529.3,5662.4,5746,5798.2,5796.3,5836.6,5912.6,5983.8,6040.5,6142.1,6234.1,6324.6,6429.1,6485.7,6557.5,6617.9,6743.2,6852.2,6971.5,7054.5,7169.2,7229.4,7263.7,7356.9,7441.1,7539.9,7693.4,7780.5,7914.6,8025.2,8157.4,8283.7,8374.6,8490.5,8560.6,8693.5,8856.9,8967.4,9070.1,9208.2,9420.6,9523.4,9710.7,9752.1,9841.9,9911.5,10026.9,10043.8,10135,10252.9,10361.8,10458.9,10528.5,10652.9,10788.1,11008,11156.8,11360.7,11546.4,11696.7
