"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"11","4","  Farm","B359RA3",21.388,20.087,24.319,23.728,22.589,17.7,22.183,19.05,23.251,22.672,25.266,22.113,24.775,26.836,26.107,25.808,25.698,26.03,23.378,26.911,25.781,27.153,25.618,26.954,28.311,29.308,29.984,29.984,28.79,29.825,29.624,31.277,31.544,30.926,31.889,30.853,32.85,31.702,34.21,33.013,34.187,35.131,36.966,36.974,36.604,35.732,42.609,40.723,42.973,41.433,44.969,43.443,57.334,60.301,37.611,51.962,65.307,62.739,63.669,57.238,64.884,68.893,69.909,80.341,70.812,85.092,69.344,78.456,90.003,86.106,87.916,100,91.726,98.001,106.22,114.835,121.612,122.379
"12","5","Households and institutions","B193RA3",8.974,8.784,8.482,8.14,8.064,8.162,8.234,8.338,8.447,8.44,8.611,8.922,9.24,9.737,9.919,10.353,10.695,10.82,11.47,12.203,12.958,13.997,14.944,15.881,16.849,17.848,19.319,20.541,21.651,22.912,24.215,25.868,26.971,28.475,29.65,30.879,32.408,33.894,35.308,37.049,38.657,39.322,40.992,42.629,44.076,45.703,47.537,48.254,48.888,51.115,53.36,56.154,57.968,59.889,61.618,63.641,64.778,66.486,69,72.227,75.168,77.834,80.065,81.664,83.718,85.417,87.456,88.626,91.006,93.495,96.449,100,102.706,104.643,104.481,107.853,109.478,113.025
"13","6","  Households","B701RA3",9.735,9.431,9.011,8.567,8.503,8.661,8.725,8.808,8.943,8.894,9.096,9.329,9.653,10.293,10.52,11.043,11.499,11.424,12.119,12.63,13.451,14.687,15.827,16.931,18.01,19.141,20.835,22.214,23.453,24.801,26.248,27.84,29.173,30.828,32.115,33.411,34.96,36.384,37.86,38.864,40.455,41.375,43.28,45.105,46.699,48.712,50.025,50.896,51.36,54.437,56.91,60.564,62.493,63.647,64.879,67.138,68.735,69.639,71.523,74.241,76.584,78.494,80.85,81.642,82.497,85.222,86.792,87.85,89.992,91.573,95.95,100,103.119,103.019,102.239,107.518,109.656,115.385
"14","7","  Nonprofit institutions serving households \3\","B702RA3",7.475,7.696,7.786,7.762,7.632,7.553,7.658,7.838,7.881,8.004,8.096,8.691,9.024,9.13,9.19,9.406,9.447,10.153,10.737,12.098,12.743,13.365,13.902,14.492,15.258,16.005,17.032,17.957,18.838,19.973,21.027,22.92,23.566,24.82,25.811,26.954,28.503,30.157,31.496,34.629,36.306,36.55,37.864,39.224,40.459,41.531,44.117,44.617,45.498,46.519,48.447,50.055,51.711,54.697,57.129,58.825,59.326,62.153,65.545,69.475,73.243,76.957,79.019,81.696,85.348,85.674,88.341,89.66,92.362,96.087,97.113,100,102.164,106.786,107.43,108.393,109.387,110.304
"15","8","General government \4\","B765RA3",12.794,13.395,13.633,13.451,14.197,16.027,17.086,20.004,19.076,20.577,20.968,21.963,26.998,41.294,67.832,82.232,82.521,44.769,35.295,33.805,33.687,34.15,40.793,44.216,45.03,45.058,45.218,46.05,47.01,47.467,48.107,49.755,51.505,53.521,55.118,57.005,58.932,62.609,65.93,68.504,70.241,70.504,70.619,70.478,70.792,72.231,73.399,74.033,74.808,76.242,77.056,78.164,78.592,79.393,79.904,80.894,83.209,85.257,87.121,89.384,91.515,93.854,94.831,95.146,95.348,95.359,95.418,95.564,96.298,97.327,98.302,100,101.845,103.819,105.081,105.592,106.501,107.192
"16","9","  Federal","B766RA3",9.341,10.017,9.602,9.172,11.316,15.059,16.696,27.584,23.908,27.01,27.538,30.14,45.89,92.702,179.788,227.55,227.696,106.834,75.414,69.674,66.579,66.576,87.576,97.551,97.976,95.514,93.29,92.281,91.969,89.355,88.599,90.25,92.112,95.926,96.789,97.73,98.415,104.869,111.672,113.541,113.847,108.958,103.942,98.867,95.168,94.865,94.331,94.478,94.741,95.934,95.843,97.358,98.852,100.456,102.807,105.124,108.116,110.035,112.914,114.311,115.719,117.823,118.534,116.046,113.81,110.101,105.953,103.042,101.102,99.953,99.149,100,100.531,102.518,105.25,106.285,106.988,106.82
"17","10","  State and local","B767RA3",13.613,14.161,14.645,14.575,14.681,15.572,16.326,15.457,15.918,16.573,16.88,17.086,17.225,16.994,16.573,16.193,16.528,17.389,18.521,19.001,20.261,20.964,21.514,22.224,23.193,24.221,25.341,26.929,28.407,30.147,31.388,33.049,34.755,36.031,37.912,40.184,42.628,45.159,47.056,49.876,52.156,54.465,56.684,58.642,60.694,62.897,64.815,65.666,66.672,68.225,69.441,70.38,70.344,70.797,70.512,70.931,72.968,75.082,76.526,79.146,81.574,84.003,85.085,86.532,87.725,89.249,91.024,92.436,94.291,96.232,97.947,100,102.391,104.36,104.997,105.282,106.281,107.352
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009A3",8.063,8.027,7.987,7.937,7.701,7.922,7.912,7.89,8.011,8.31,8.425,8.644,9.062,9.728,10.266,10.698,10.943,11.203,11.768,12.383,13.204,14.128,15.176,16.329,17.293,18.359,19.388,20.421,21.684,22.933,24.556,26.097,27.591,29.311,30.758,32.151,33.851,35.376,37.013,38.351,40.118,41.413,43.285,45.336,46.955,49.192,50.705,51.401,52.669,54.997,57.148,60.672,63.075,64.796,66.247,68.361,71.058,72.382,74.124,76.324,78.093,80.038,82.738,83.874,84.339,86.971,88.849,89.652,91.462,92.597,96.585,100,102.616,101.848,99.442,103.943,105.907,111.201
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
