"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"11","4","  Farm","B359RX1",15.3,14.4,17.4,17,16.2,12.7,15.9,13.6,16.6,16.2,18.1,15.8,17.7,19.2,18.7,18.5,18.4,18.6,16.7,19.2,18.4,19.4,18.3,19.3,20.3,21,21.4,21.4,20.6,21.3,21.2,22.4,22.6,22.1,22.8,22.1,23.5,22.7,24.5,23.6,24.5,25.1,26.4,26.4,26.2,25.6,30.5,29.1,30.7,29.6,32.2,31.1,41,43.1,26.9,37.2,46.7,44.9,45.5,40.9,46.4,49.3,50,57.5,50.6,60.9,49.6,56.1,64.4,61.6,62.9,71.5,65.6,70.1,76,82.1,87,87.5
"12","5","Households and institutions","A193RX1",97,94.9,91.7,88,87.1,88.2,89,90.1,91.3,91.2,93.1,96.4,99.9,105.2,107.2,111.9,115.6,116.9,124,131.9,140,151.3,161.5,171.6,182.1,192.9,208.8,222,234,247.6,261.7,279.6,291.5,307.7,320.4,333.7,350.2,366.3,381.6,400.4,417.8,425,443,460.7,476.3,493.9,513.7,521.5,528.3,552.4,576.7,606.9,626.5,647.2,665.9,687.8,700.1,718.5,745.7,780.6,812.3,841.2,865.3,882.6,904.8,923.1,945.1,957.8,983.5,1010.4,1042.3,1080.7,1110,1130.9,1129.1,1165.6,1183.1,1221.5
"13","6","  Households","B701RX1",59.9,58.1,55.5,52.7,52.3,53.3,53.7,54.2,55.1,54.8,56,57.4,59.4,63.4,64.8,68,70.8,70.3,74.6,77.8,82.8,90.4,97.4,104.2,110.9,117.8,128.3,136.8,144.4,152.7,161.6,171.4,179.6,189.8,197.7,205.7,215.2,224,233.1,239.3,249.1,254.7,266.5,277.7,287.5,299.9,308,313.3,316.2,335.1,350.4,372.9,384.7,391.8,399.4,413.3,423.2,428.7,440.3,457.1,471.5,483.2,497.8,502.6,507.9,524.7,534.3,540.8,554,563.8,590.7,615.6,634.8,634.2,629.4,661.9,675.1,710.4
"14","7","  Nonprofit institutions serving households \3\","B702RX1",34.8,35.8,36.2,36.1,35.5,35.1,35.6,36.5,36.7,37.2,37.7,40.4,42,42.5,42.7,43.7,43.9,47.2,49.9,56.3,59.3,62.2,64.7,67.4,71,74.4,79.2,83.5,87.6,92.9,97.8,106.6,109.6,115.4,120,125.4,132.6,140.2,146.5,161,168.8,170,176.1,182.4,188.2,193.1,205.2,207.5,211.6,216.3,225.3,232.8,240.5,254.4,265.7,273.6,275.9,289.1,304.8,323.1,340.6,357.9,367.5,379.9,396.9,398.4,410.8,417,429.5,446.9,451.6,465.1,475.1,496.6,499.6,504.1,508.7,513
"15","8","General government \4\","A765RX1",136.8,143.3,145.8,143.9,151.8,171.4,182.8,214,204,220.1,224.3,234.9,288.8,441.7,725.5,879.5,882.6,478.8,377.5,361.6,360.3,365.3,436.3,472.9,481.6,481.9,483.6,492.5,502.8,507.7,514.5,532.2,550.9,572.5,589.5,609.7,630.3,669.7,705.2,732.7,751.3,754.1,755.3,753.8,757.2,772.6,785.1,791.8,800.1,815.5,824.2,836,840.6,849.2,854.6,865.2,890,911.9,931.8,956,978.8,1003.9,1014.3,1017.7,1019.8,1019.9,1020.6,1022.1,1030,1041,1051.4,1069.6,1089.3,1110.4,1123.9,1129.4,1139.1,1146.5
"16","9","  Federal","A766RX1",29.5,31.6,30.3,28.9,35.7,47.5,52.7,87,75.4,85.2,86.8,95.1,144.7,292.3,567,717.6,718.1,336.9,237.8,219.7,210,210,276.2,307.6,309,301.2,294.2,291,290,281.8,279.4,284.6,290.5,302.5,305.2,308.2,310.4,330.7,352.2,358.1,359,343.6,327.8,311.8,300.1,299.2,297.5,297.9,298.8,302.5,302.3,307,311.7,316.8,324.2,331.5,341,347,356.1,360.5,364.9,371.6,373.8,366,358.9,347.2,334.1,325,318.8,315.2,312.7,315.4,317,323.3,331.9,335.2,337.4,336.9
"17","10","  State and local","A767RX1",102.7,106.8,110.5,109.9,110.7,117.4,123.1,116.6,120.1,125,127.3,128.9,129.9,128.2,125,122.1,124.7,131.2,139.7,143.3,152.8,158.1,162.3,167.6,174.9,182.7,191.1,203.1,214.3,227.4,236.7,249.3,262.1,271.8,285.9,303.1,321.5,340.6,354.9,376.2,393.4,410.8,427.5,442.3,457.8,474.4,488.9,495.3,502.9,514.6,523.7,530.8,530.6,534,531.8,535,550.3,566.3,577.2,596.9,615.3,633.6,641.7,652.6,661.6,673.1,686.5,697.2,711.2,725.8,738.7,754.2,772.3,787.1,791.9,794.1,801.6,809.7
"18","11","Residual","A961RX1",71.4,50,44.4,25.8,18.6,14.7,25.9,20.4,41.1,24.6,38.9,42,44.7,-10.9,-158.9,-239,-245,-57.8,-26.1,-2.7,-11,1.8,-32.4,-44.9,-40,-42.2,-29.7,-33.8,-40.4,-48,-39.5,-46,-52.2,-53.4,-51.9,-51.9,-45.6,-52.3,-60.7,-67,-68.5,-68.3,-61.9,-54,-49.8,-61.7,-56.4,-51.3,-40.8,-39.9,-34.7,-49,-31.5,-42.7,-57,-31.3,-17.6,-18.6,-18.6,-23.5,-19.6,-21,-25,-17.2,-19.2,-10.2,-13.8,-7.6,-1.6,-1.7,-0.5,0.1,0.2,0.6,-2.1,-5.9,-10.7,-15.6
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","12","  Gross housing value added","A2009X1",64,63.8,63.4,63,61.2,62.9,62.8,62.7,63.6,66,66.9,68.7,72,77.3,81.5,85,86.9,89,93.5,98.4,104.9,112.2,120.5,129.7,137.4,145.8,154,162.2,172.2,182.2,195,207.3,219.2,232.8,244.3,255.4,268.9,281,294,304.6,318.7,328.9,343.8,360.1,373,390.7,402.7,408.3,418.3,436.8,453.9,481.9,501,514.7,526.2,543,564.4,574.9,588.8,606.2,620.3,635.7,657.2,666.2,669.9,690.8,705.7,712.1,726.5,735.5,767.2,794.3,815.1,809,789.9,825.6,841.2,883.3
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Note. Chained (2000) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","and the 2000 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33"," estimates are usually not additive. The residual line is the difference between the first line and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
