"","Table 4#3BU# Relation of Foreign Transactions in the National In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117"
"37","29","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1250C0",1249,1281,1314,1348,1380,1408,1431,1446,1415,1411,1395,1372,1365,1358,1358,1363,1374,1378,1361,1330,1292,1269,1246,1225,1204,1188,1175,1164,1155,1149,1145,1143,1128,1125,1121,1118,1172,1211,1232,1234,1206,1190,1174,1162,1146,1145,1151,1163,1199,1212,1216,1213,1191,1178,1171,1170,1175,1178,1178,1175,1170,1163,1154,1143,1131,1124,1123,1127,1136,1176,1245,1344,1472,1624,1798,1996,2216,2361,2429,2421,2338,2254,2172,2090,2009,1947,1904,1880,1876,1836,1760,1648,1500,1371,1262,1173,1103,1042,990,947,913,888,873,867,871,877,886,897,911,921,928,932,906,881
"38","30","      Imputed interest paid to the rest of the world","W370RC0",5961,5599,5174,5034,4751,4752,4717,4692,4673,4669,4991,4758,4944,4855,4552,4357,4264,4120,4048,3996,3815,3783,4082,4144,4510,4846,5056,5372,5705,6027,6393,6531,6929,7346,7273,7468,7474,7224,6947,6728,6459,6156,6167,6122,6120,6238,5939,5982,5814,5537,5277,4804,4849,4583,4684,4861,5016,5077,4838,4525,4131,3909,3804,3644,3538,3710,3782,3970,3969,3880,3803,3692,3832,3972,4250,4454,4458,4442,4550,4597,4809,4757,4606,4520,4636,4402,5005,4797,5094,5625,5664,5926,5572,5783,5635,5922,5559,5764,5766,6015,6186,6146,6548,6533,6202,5795,5511,5260,4740,4607,4608,4765,4682,4893
"39","31","Equals: Income payments, NIPAs","A655RC0",94320,96633,91031,95484,98015,103245,108132,113801,120482,123659,133291,140403,149043,158098,154362,150135,154244,152892,157585,151900,147315,139437,136423,123931,122058,125038,119691,117112,113940,122912,120394,137162,137149,152351,168766,184446,190598,198267,210231,205206,202369,209294,219017,227808,246234,251543,262254,263845,263677,269944,271749,268809,273148,283601,306019,314387,332567,352307,350344,347512,320853,288288,283418,201459,248533,281390,283425,255477,284017,281591,293524,296867,312168,353416,364473,419192,435680,462448,482760,551985,586512,649183,687606,703253,734420,778519,763573,723784,725835,715105,674112,624620,507499,497926,475402,510569,493014,506679,520789,535720,536984,560121,555837,531076,565544,555938,570674,573712,582420,589486,583448,588922,611574,615030
"40","32","Balance on goods and services and primary income, ITAs (1+6+12-17-23-27)","B1260C0",-116044,-117928,-126365,-131828,-136542,-137932,-137697,-137423,-107515,-93127,-88088,-94808,-89775,-77663,-61680,-64145,-68423,-47516,-56794,-36500,-19482,-4266,-4614,347,3904,-14160,-20743,-28903,-25744,-46269,-45588,-62404,-65945,-78658,-86088,-94686,-87963,-91529,-69738,-52760,-64790,-81275,-105628,-75327,-104451,-74125,-88207,-115861,-127805,-155949,-183001,-180769,-203097,-234089,-267991,-281549,-338285,-341640,-370911,-362513,-367946,-323343,-353272,-282558,-342052,-400729,-400287,-432038,-467558,-449825,-452065,-435096,-456711,-542596,-554735,-628987,-584703,-619894,-648083,-733773,-717182,-718416,-764346,-673572,-667675,-651752,-575519,-524137,-587523,-586461,-581631,-494701,-277808,-228311,-242500,-292139,-296677,-338088,-346190,-287034,-336067,-350640,-305396,-318553,-363690,-346182,-323357,-305218,-299862,-297168,-278690,-231234,-288419,-308478
"41","33","Less: Gold (2-18+20)","A2031C0",-6803,1488,1138,-2910,-1927,-1071,-1838,-3535,-122,-856,-407,-993,-2443,-2446,-2340,-3752,-805,-2150,-1204,-212,-2348,-2103,-1558,-2272,-517,-3284,-2337,-2443,-1462,-4434,-5548,-475,-4101,-2772,-1983,-2624,-2311,-6668,-2709,-3472,-4040,-5780,-4996,-3662,-5697,-5474,-2938,-3828,-4596,-3835,-4812,-2167,-2719,-2326,-3716,-3207,-2809,-1685,-2288,-2656,-1891,-1329,-2159,-2156,-1553,-2228,-1680,-1320,-1219,-1085,-1311,-1387,-2336,-2095,-1495,-2331,-926,-1182,-1805,-2454,-1372,-734,730,-267,-1024,2423,-628,410,2112,1704,194,99,-120,-2279,-926,-3009,121,-4208,718,-11771,4907,94,12874,6424,12600,7353,1551,4422,17838,11422,8124,-559,5008,-6203
"42","34","      Statistical differences (3+7+13-19-24-28)","B1261C0",-15,-10,-9,-11,-10,-11,-16,-8,-14,-16,-17,-20,2,-9,6,4,-30,-49,-44,-50,-71,-84,-81,-77,-23,-27,-27,-29,856,48,-235,-761,918,-225,185,-1005,-482,-81,177,265,69,10,-85,-171,-86,-116,-57,119,-38,101,44,-245,0,1,-2,3,2,2,-4,-2,8,2,1,-2,-4,0,-4,0,-5,1,-3,0,-3,-1,-3,1,-1,5,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32037,32036
"43","35","      Other items (8)","B1262C0",0,0,0,0,0,0,0,0,0,8,20,12,48,48,60,40,52,48,48,76,172,864,484,260,168,192,320,1404,1760,788,300,360,460,492,920,444,724,596,892,688,604,672,984,572,496,488,476,712,588,408,604,980,596,686,793,655,1007,845,1311,681,938,850,720,551,603,806,634,585,737,772,782,862,948,997,1066,1065,1311,1331,1520,1618,1350,1093,1237,992,1464,1353,1611,1402,1400,1622,1844,1598,1630,1460,1536,1338,2027,2257,1983,1537,1535,1330,1823,1516,1233,1221,1379,856,865,964,884,1048,1196,1088
"44","36","Plus: Adjustment for U.S. territories and Puerto Rico (4+9+14-21-25-29)","B1263C0",5376,6032,6709,7270,7735,8007,8149,8157,8389,8451,8585,8774,8825,8764,8628,8475,8620,8154,7785,7712,9563,8315,7493,7734,7920,10314,9426,10991,9205,10967,8768,9567,10890,9357,10540,10822,11212,9305,13291,11779,10792,12395,14101,15540,14268,15292,12713,12987,14721,13620,14591,13714,14546,14407,13510,17039,14493,15033,10736,12334,15799,13243,11993,14080,17032,15880,14452,12170,15565,12024,15583,13365,17615,17370,10959,12751,11195,22709,18732,18767,15377,7571,17773,22441,8259,13185,12529,20278,14548,14862,12241,15018,13869,10441,17024,21501,13713,18215,13606,-11645,8157,-3807,3207,179,1288,-3439,-394,7825,-604,-7605,8578,11721,-299,-346
"45","37","Equals: Net exports of goods and services and net receipts of income, NIPAs (5+11+16-22-26-31)","A1072C0",-103854,-113377,-120780,-121630,-126868,-128845,-127698,-125722,-98996,-83810,-79101,-85032,-78569,-66494,-50779,-51966,-59013,-37209,-47816,-28609,-7683,5370,4037,10167,12193,-732,-9278,-16830,-17694,-31707,-31340,-51965,-52335,-66798,-74678,-80675,-74676,-76065,-54806,-38464,-50634,-63777,-87433,-56531,-84899,-53731,-72974,-99869,-109037,-139000,-164249,-165616,-186428,-218042,-251568,-261959,-321986,-325765,-359199,-348207,-351185,-309621,-339839,-266873,-324076,-383433,-384804,-419134,-451517,-437484,-435956,-421206,-437708,-524127,-543344,-614972,-573895,-597332,-629062,-714177,-701784,-711205,-748535,-651851,-659851,-642343,-563974,-505672,-576486,-574924,-571423,-481380,-265449,-217054,-226087,-268967,-285107,-317917,-335290,-288443,-334352,-355873,-316888,-326312,-376234,-358198,-326675,-302675,-319168,-317155,-279119,-220001,-326959,-335746
"46","38","Balance on secondary income, ITAs","B1089C0",20796,24832,25832,25076,20512,22008,22824,27704,24296,22460,23608,30740,24192,23012,26520,30956,26160,30576,29356,20532,-59312,-14372,12132,21952,28840,33396,38068,46244,33356,36444,39624,49824,33980,35656,40336,51092,37772,36524,38172,39824,44968,38092,38604,50412,39868,41068,42664,56640,48212,49444,52560,62532,47568,45408,46820,55580,48960,53416,55956,71344,59568,61184,64600,68804,73916,59324,59192,64798,72388,67252,69429,71778,93632,84666,83439,90316,94524,98028,97224,105504,75052,91073,99907,87359,128696,104712,108296,113787,138998,122391,123700,111160,109317,123846,131012,118237,139212,120112,127311,121099,138257,131792,126522,130153,132156,129316,125174,117905,122083,127415,126528,118034,120023,85543
"47","39","Less: Statistical differences \2\","B1264C0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,-3633,-696,-1599,-528,73,-772,-1208,-303,-1564,204,-233,-49,-29,-195,-420,-177,-2128,-621,-673,2220,40,88,-907,-19730,-1571,-454,-3205,-5975,-1671,720,-1465,978,-129,-2381,1018,4843,-1,30,586,158,5453,34,-93,-1,-2,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,-4145,-4145
"48","40","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1655C0",3670,3647,3606,3589,3551,3528,3524,3576,3580,3683,3743,3846,3929,4069,4357,4561,4863,5080,5203,5170,5059,4963,4931,5012,5139,5256,5337,5333,5469,5513,5583,5603,5752,5817,5799,5884,5940,5998,6024,5942,6429,6550,6553,6449,6366,6284,6368,6438,6792,6791,6973,6828,7005,6999,7166,7638,7274,7483,7372,7523,7942,8070,8122,8215,8462,8572,8713,8505,8680,9184,8889,8845,8711,8686,8743,8854,9076,9137,9186,9338,10171,10239,10283,10232,10610,10748,10803,10465,10642,16281,10998,11545,12116,16036,12775,13779,14012,13910,14158,15027,15787,15766,15574,14751,15264,14983,15149,15080,14751,14648,14829,14889,14467,14608
"49","41","Equals: Current taxes and transfer payments to the rest of the world, net, NIPAs","A123RC0",24468,28483,29438,28665,24064,25538,26351,31287,27876,26144,27353,34583,28131,27079,30874,35514,31021,35653,34561,25704,-54254,-9402,17063,26960,33985,38655,43425,51580,38826,41959,45207,55427,39731,41474,46134,56974,43713,42522,44197,45766,51398,44640,45155,56859,46234,47352,49032,63078,55004,56235,59533,69360,54547,56040,54683,64817,56763,60824,64106,80075,67812,70816,72518,77249,82427,67924,68101,73722,81247,78566,78940,81295,100123,93310,92092,100079,123331,108736,106864,118045,91201,102982,109472,99057,138333,115591,121482,123237,144797,138677,134671,122121,121276,134436,143755,132111,153224,134022,141470,136123,154044,147559,142105,144908,147426,144307,140330,132995,136834,142068,141357,132931,138634,104288
"50","42","Balance on current account, ITAs (32-38)","B1265C0",-136840,-142760,-152197,-156904,-157054,-159940,-160521,-165127,-131811,-115587,-111696,-125548,-113967,-100675,-88200,-95101,-94583,-78092,-86150,-57032,39830,10106,-16746,-21605,-24936,-47556,-58811,-75147,-59100,-82713,-85212,-112228,-99925,-114314,-126424,-145778,-125735,-128053,-107910,-92584,-109758,-119367,-144232,-125739,-144319,-115193,-130871,-172501,-176017,-205393,-235561,-243301,-250665,-279497,-314811,-337129,-387245,-395056,-426867,-433857,-427514,-384527,-417872,-351362,-415968,-460053,-459479,-496836,-539946,-517077,-521494,-506874,-550343,-627262,-638173,-719303,-679227,-717922,-745307,-839277,-792234,-809488,-864253,-760930,-796371,-756464,-683814,-637924,-726521,-708852,-705331,-605860,-387125,-352157,-373512,-410376,-435889,-458200,-473502,-408133,-474324,-482432,-431918,-448707,-495846,-475498,-448531,-423123,-421945,-424583,-405219,-349268,-408442,-394021
"51","43","Less: Gold (33)","A2031C0",-6803,1488,1138,-2910,-1927,-1071,-1838,-3535,-122,-856,-407,-993,-2443,-2446,-2340,-3752,-805,-2150,-1204,-212,-2348,-2103,-1558,-2272,-517,-3284,-2337,-2443,-1462,-4434,-5548,-475,-4101,-2772,-1983,-2624,-2311,-6668,-2709,-3472,-4040,-5780,-4996,-3662,-5697,-5474,-2938,-3828,-4596,-3835,-4812,-2167,-2719,-2326,-3716,-3207,-2809,-1685,-2288,-2656,-1891,-1329,-2159,-2156,-1553,-2228,-1680,-1320,-1219,-1085,-1311,-1387,-2336,-2095,-1495,-2331,-926,-1182,-1805,-2454,-1372,-734,730,-267,-1024,2423,-628,410,2112,1704,194,99,-120,-2279,-926,-3009,121,-4208,718,-11771,4907,94,12874,6424,12600,7353,1551,4422,17838,11422,8124,-559,5008,-6203
"52","44","      Statistical differences (34-39)","B1266C0",-15,-10,-9,-11,-10,-11,-16,-8,-14,-16,-17,-20,2,-9,6,4,-30,-49,-44,-50,-71,-84,-81,-77,19,27,27,33,856,48,-235,-761,918,-225,185,-1005,-482,-81,177,265,69,10,-85,-171,-86,-116,-57,119,-38,101,44,-245,-28,3633,695,1602,530,-71,767,1206,311,1565,-203,231,45,29,191,420,171,2129,618,673,-2223,-41,-91,908,19729,1576,454,3198,5975,1671,-720,1465,-978,129,2381,-1018,-4843,1,-30,-586,-158,-5453,-34,93,1,2,1,-4,0,0,0,0,0,0,0,0,0,0,0,0,36182,36181
"53","45","      Other items (35)","B1267C0",0,0,0,0,0,0,0,0,0,8,20,12,48,48,60,40,52,48,48,76,172,864,484,260,168,192,320,1404,1760,788,300,360,460,492,920,444,724,596,892,688,604,672,984,572,496,488,476,712,588,408,604,980,596,686,793,655,1007,845,1311,681,938,850,720,551,603,806,634,585,737,772,782,862,948,997,1066,1065,1311,1331,1520,1618,1350,1093,1237,992,1464,1353,1611,1402,1400,1622,1844,1598,1630,1460,1536,1338,2027,2257,1983,1537,1535,1330,1823,1516,1233,1221,1379,856,865,964,884,1048,1196,1088
"54","46","Plus: Adjustment for U.S. territories and Puerto Rico (36-40)","B1268C0",1706,2385,3103,3681,4184,4479,4625,4581,4809,4768,4842,4928,4896,4695,4271,3914,3757,3074,2582,2542,4504,3352,2562,2722,2781,5058,4089,5658,3736,5454,3185,3964,5138,3540,4741,4938,5272,3307,7267,5837,4363,5845,7548,9091,7902,9008,6345,6549,7929,6829,7618,6886,7541,7408,6344,9402,7219,7550,3364,4811,7857,5174,3871,5866,8570,7308,5739,3665,6884,2840,6695,4520,8905,8684,2216,3897,2120,13572,9547,9429,5206,-2668,7490,12209,-2351,2437,1726,9813,3906,-1419,1243,3473,1753,-5595,4249,7722,-299,4305,-553,-26673,-7631,-19572,-12367,-14572,-13976,-18423,-15543,-7255,-15355,-22254,-6251,-3167,-14766,-14954
"55","47","Equals: Balance on current account, NIPAs (37-41)","A124RC0",-128322,-141860,-150218,-150295,-150932,-154383,-154049,-157009,-126872,-109954,-106454,-119615,-106700,-93573,-81653,-87480,-90034,-72862,-82377,-54313,46571,14772,-13026,-16793,-21792,-39387,-52703,-68410,-56520,-73666,-76547,-107392,-92066,-108272,-120812,-137649,-118389,-118587,-99003,-84230,-102032,-108417,-132588,-113390,-131133,-101083,-122006,-162947,-164041,-195235,-223782,-234976,-240975,-274082,-306251,-326776,-378749,-386589,-423305,-428282,-418997,-380437,-412357,-344122,-406503,-451357,-452905,-492856,-532764,-516050,-514896,-502501,-537831,-617437,-635436,-715051,-697226,-706068,-735926,-832222,-792985,-814187,-858007,-750908,-798184,-757934,-685456,-628909,-721283,-713601,-706094,-603501,-386725,-351490,-369842,-401078,-438331,-451939,-476760,-424566,-488396,-503432,-458993,-471220,-523660,-502505,-467005,-435670,-456002,-459223,-420476,-352932,-465593,-440034
"56","48","Balance on capital account, ITAs","W371RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,688,0,0,28196,4272,396,15840,8,52,248,-6116,20,2488,52,272,44,32,3464,912,40,32,-476,1776,-448,8,8,8,8,64,352,452,156,8,-16,52,-16,28,4,12,16660,0,-8,40,-24,0,-16,-52752,-24,-28,8,276,308,328,5008,1968,-20,224,0,-12692,272,8640,332,-61448,12,4880,1948,8,316,0,-1772,228,8,32,72,-24172,28,80,116,144,224,12,8,584,28,114,3415,1200,14,211,963,1880,-30672,159,906,582,0,170,0
"57","49","Less: Statistical differences \2\","W372RC0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,11,-13,17,7,8,10,-2,-3,8,2,-8,1,2,8,-8,4,-1,0,-6,-5,5,-1,-2,-1,-1,-4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,116
"58","50","Plus: Adjustments for U.S. territories and Puerto Rico \3\","W373RC0",120,108,108,108,128,136,144,144,136,132,136,132,132,144,144,144,144,152,156,156,168,172,172,168,172,172,172,172,152,160,176,156,140,148,156,188,204,208,200,180,208,196,196,204,220,224,228,208,208,212,220,252,252,268,292,352,384,380,396,204,228,224,232,348,392,360,364,320,284,363,303,269,267,240,286,250,257,272,258,260,277,278,280,276,260,271,292,350,347,373,371,1310,367,379,444,503,492,550,544,514,491,463,435,411,411,413,402,424,445,405,448,417,401,416
"59","51","Equals: Capital account transactions (net), NIPAs \5\","W167RC0",120,108,108,108,128,136,144,144,136,132,136,132,132,144,144,972,832,152,156,28352,4440,568,16012,176,224,420,-5944,192,2640,212,448,200,172,3612,1068,228,236,-268,1976,-268,216,204,204,212,284,576,680,364,216,196,272,236,280,272,304,17012,384,372,436,180,228,208,-52520,324,364,368,640,628,612,5371,2271,249,491,240,-12406,522,8897,604,-61190,272,5157,2226,288,592,260,-1501,520,358,379,445,-23801,1338,447,495,588,727,504,558,1128,542,605,3878,1635,425,622,1376,2282,-30248,604,1312,1030,417,455,300
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","ITAs International transactions accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Exports and imports of gold in the NIPAs differ from those in the ITAs.  ITA gold exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","(line 2) and imports (line 18) are excluded from the NIPAs; imports of gold in the NIPAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","(line 20) is the excess of the value of gold in gross domestic purchases over the value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","U.S. production of gold.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","accounted for in the ITAs until 1992.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1986 through 1991, the NIPAs include estimates of insurance premium supplements that are not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","NIPAs and statistical revisions to the NIPAs that have not yet been incorporated into the ITAs. From",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Consists of statistical revisions to the ITAs that have not yet been incorporated into the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","3. Consists of transactions between the United States and its territories, Puerto Rico, and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Northern Mariana Islands.  The treatment of U.S. territories, Puerto Rico, and the Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Mariana Islands in the NIPAs differs from that in the ITAs.  In the NIPAs, they are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
