"","Table 7#2#6U# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"24","16","        Net transactions","GAP600",30755,35013,34365,27628,34249,26925,26961,34084,29492,27237,29742,25284,26116,32344,33467,29122,28747,28611,29535,30858,31510,32143,32446,33201,31571,29333,29207,28241,27733,27625,26585,25759,24880,25813,26136,25643,25880,26550,25313,23624,26007,26130,25970,23887,22207,21706,22488,24285,24881,23344,22433,22083,21618,20012,20712,22489,23428,23619,24165
"25","17","        Employee reimbursement","GAP630",-2170,-2117,-2122,-2048,-2074,-2047,-2042,-2051,-2067,-2130,-2193,-2159,-2051,-1992,-1988,-2070,-2087,-2050,-2036,-2017,-2079,-2085,-2113,-2145,-2100,-2101,-2082,-2016,-2015,-2020,-2042,-1941,-1946,-1991,-1921,-1931,-1898,-1827,-1885,-1913,-1782,-1727,-1694,-1737,-1783,-1820,-1783,-1761,-1792,-1778,-1789,-1779,-1801,-1767,-1787,-1804,-1698,-1752,-1791
"26","18","      Used light trucks (including utility vehicles","W241RX0",38239,43571,42942,38954,43721,39517,41043,42016,43103,40197,44650,43569,41608,47642,48473,45169,45042,43730,45177,45286,44872,46506,47780,48974,49734,45890,45388,44778,45922,46579,47886,50503,49988,53802,55870,53411,51451,50811,50725,51882,58302,59292,57317,53088,51857,51990,51396,51320,48847,44141,43011,43238,44612,43751,46646,50362,53004,52985,53385
"27","19","        Margin","W491RX0",10823,12054,12026,11382,12457,11486,12035,12034,12248,12823,12447,12753,12627,12378,11622,12114,12925,12662,13751,13587,12524,13987,14275,14065,14978,13645,12762,13024,13354,13231,13799,14307,13439,14251,14899,13991,13630,12613,12454,12045,12470,12574,11779,11951,12452,12707,12733,12472,12028,11428,11220,11734,12607,12168,12608,13345,13244,12532,12892
"28","20","        Net transactions","W492RX0",27440,31560,30960,27613,31305,28067,29050,30023,30902,27454,32243,30826,28921,35438,37153,33131,32106,31056,31388,31676,32482,32434,33434,34937,34685,32209,32687,31767,32577,33380,34104,36225,36633,39663,41086,39561,37969,38295,38372,39870,45808,46719,45565,41133,39396,39264,38631,38822,36786,32686,31768,31494,32001,31579,34023,36995,39720,40389,40439
"29","21","  Private fixed investment","AB62RX0",145321,149180,159151,156535,159454,149694,144186,134727,135913,132988,123866,123665,123721,123820,128118,118201,114021,119119,126006,123566,125153,130812,144482,154765,150864,156317,170625,166805,185165,176757,173155,175310,169995,158137,154956,155509,147793,124949,104016,66730,35223,36796,39691,50331,82124,103836,113636,120031,130491,134184,151886,157973,170247,177388,177651,172646,173718,180172,179597
"30","22","    New motor vehicles","AB68RX0",195085,196847,208348,206848,212653,199750,196265,182177,188614,182787,175366,170334,168960,179459,184939,174570,164346,163789,176812,179478,177018,185442,200291,207205,200174,207456,222867,217725,236519,224458,223497,228736,227435,215978,218903,214994,206785,189115,173680,133127,102891,112076,119422,138622,151872,162152,170045,171591,181927,178185,193715,196832,208183,210738,212034,219363,226384,230965,231643
"31","23","      Autos","B139RX0",76880,79770,82170,81146,86563,80642,79669,78277,82364,81243,76334,71296,73159,80951,81726,76628,73819,70120,73568,70909,69079,73347,74355,77454,75465,75705,79851,81286,85340,79876,79537,81366,82814,82809,84131,82660,77272,77708,75284,55596,42339,49945,53007,61558,65884,69915,71019,66583,70110,69560,70824,71701,84705,82270,82951,89106,90457,90223,91727
"32","24","        Domestic","GAP660",65089,66478,68532,65763,69283,63270,62219,60366,62792,60370,55993,48784,47921,56217,56149,51765,48530,46814,49571,47612,46004,49670,51790,52535,52248,51625,54651,56801,60747,53407,52782,53600,53016,53163,55601,53387,49065,46458,48749,35465,23031,30458,29159,41211,42517,45387,44746,40398,42491,42635,44536,44434,55532,54288,54998,59386,61873,61659,61696
"33","25","        Foreign","GAP690",11791,13293,13639,15383,17280,17374,17451,17912,19573,20875,20342,22512,25238,24734,25577,24863,25289,23306,23997,23297,23075,23677,22565,24918,23216,24080,25200,24485,24593,26469,26755,27766,29797,29646,28529,29273,28207,31249,26535,20131,19303,19489,23845,20355,23372,24533,26275,26184,27617,26925,26291,27267,29181,27990,27962,29729,28598,28578,30042
"34","26","      Trucks","B705RX0",118380,117239,126358,125882,126267,119274,116757,104033,106383,101667,99159,99174,95924,98615,103341,98072,90661,93791,103365,108658,108013,112181,125977,129803,124772,131778,143023,136475,151200,144597,143975,147391,144647,133196,134802,132365,129531,111436,98388,77550,60567,62124,66408,77062,85994,92253,99013,104889,111682,108510,122725,124963,123415,128348,128966,130207,135845,140615,139825
"35","27","        Light trucks (including utility vehicles)","B196RX0",79095,78291,85790,84934,86730,81966,82671,74760,77735,74873,74151,74812,72863,72744,75089,70869,68367,69208,76877,80393,77716,80667,91286,93010,86301,93049,103678,97379,109316,102834,102413,105581,105829,101458,106351,104989,103157,85298,74104,53498,42868,45538,48260,55749,64446,69709,74202,79982,82991,77720,89781,89201,86243,89562,92067,95679,101705,103590,103369
"36","28","          Domestic","BTRLDD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63263,63092,65813,61572,57697,58571,64989,68763,66179,68800,78292,79042,73464,79897,89373,82047,91851,85345,85516,86506,87495,83840,88311,86017,84345,68443,60502,42506,33143,37149,38972,46426,53878,59061,62072,67062,69329,65675,76263,75979,72723,75459,77985,81079,86302,87424,86729
"37","29","          Foreign","BTRLMD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9610,9662,9287,9306,10675,10642,11893,11638,11544,11874,13004,13976,12844,13163,14318,15339,17473,17494,16903,19077,18338,17622,18045,18974,18814,16853,13603,10990,9721,8390,9289,9326,10570,10652,12132,12923,13664,12049,13524,13228,13524,14107,14088,14605,15409,16171,16644
"38","30","        Other trucks, buses, and truck trailers","B197RX0",42050,41691,43008,43570,41631,39270,35152,29848,28796,26736,24584,23740,22318,25785,28511,27561,21815,24491,26212,28078,30681,31918,34973,37297,39595,39518,39710,39737,42419,42537,42300,42415,39102,31651,28124,27083,26176,26156,24340,24043,17698,16591,18144,21313,21532,22531,24807,24902,28693,30811,32943,35780,37201,38821,36922,34530,34130,37033,36457
"39","31","    Net purchases of used autos and used light trucks","W242RX0",-60163,-58817,-61349,-61962,-64757,-60899,-61898,-56859,-61280,-58544,-58666,-54675,-53465,-62163,-63649,-62032,-56326,-52097,-58211,-62727,-59084,-62249,-64461,-62193,-58929,-61089,-63407,-61858,-63989,-59882,-61903,-64862,-68035,-67414,-72945,-68944,-67931,-70485,-73686,-67844,-67876,-75420,-79614,-88060,-73863,-65716,-64903,-61236,-62627,-56556,-57017,-55178,-55813,-52551,-53440,-64003,-69605,-68702,-69772
"40","32","      Used autos","B140RX0",-32891,-32706,-32599,-32249,-34703,-31474,-31880,-30518,-31174,-30624,-29061,-25815,-26339,-30332,-30630,-29929,-28026,-25935,-28135,-29701,-28953,-31976,-31678,-31254,-30546,-30259,-30788,-32161,-30377,-29534,-30751,-31590,-32008,-31134,-33053,-30889,-32051,-33375,-35150,-30838,-28322,-32897,-35766,-40575,-35361,-30311,-29231,-26771,-29979,-28689,-27163,-26156,-29074,-25723,-25101,-28739,-29612,-28130,-28886
"41","33","        Margin","GAP720",1040,1127,1125,1029,1142,1046,1091,1143,1166,1210,1142,1146,1096,1035,960,978,1034,973,1040,1028,935,1055,1056,1057,1143,1055,981,991,1017,1018,1046,1048,965,1006,1044,1040,1064,1022,963,851,872,836,803,794,790,786,815,841,869,883,890,920,963,914,940,975,940,890,927
"42","34","        Net transactions","GAP750",-33971,-33848,-33738,-33314,-35876,-32546,-32988,-31649,-32326,-31804,-30179,-26914,-27408,-31369,-31604,-30918,-29055,-26899,-29168,-30726,-29886,-33028,-32733,-32310,-31689,-31315,-31767,-33148,-31393,-30550,-31796,-32636,-32965,-32139,-34091,-31923,-33104,-34388,-36110,-31688,-29192,-33736,-36570,-41366,-36149,-31098,-30049,-27618,-30853,-29576,-28056,-27078,-30040,-26638,-26041,-29716,-30553,-29022,-29814
"43","35","      Used light trucks (including utility vehicles)","W243RX0",-27211,-26039,-28703,-29676,-29999,-29393,-29987,-26293,-30080,-27883,-29595,-28873,-27117,-31830,-33028,-32111,-28289,-26154,-30079,-33043,-30128,-30238,-32779,-30922,-28348,-30818,-32613,-29669,-33610,-30336,-31137,-33260,-36022,-36278,-39895,-38060,-35878,-37107,-38534,-37005,-39553,-42522,-43848,-47487,-38506,-35404,-35671,-34464,-32651,-27878,-29858,-29026,-26750,-26834,-28342,-35262,-39985,-40559,-40873
"44","36","        Margin","W493RX0",2264,2521,2516,2381,2606,2403,2517,2517,2542,2670,2579,2725,2658,2578,2446,2512,2703,2649,2877,2842,2620,2926,2986,2942,3133,2855,2670,2725,2794,2768,2887,2993,2812,2981,3117,2927,2851,2639,2605,2520,2609,2630,2464,2500,2600,2649,2655,2606,2523,2403,2361,2464,2638,2538,2626,2776,2755,2607,2682
"45","37","        Net transactions","W494RX0",-29428,-28526,-31177,-32016,-32564,-31756,-32462,-28763,-32577,-30501,-32128,-31567,-29767,-34336,-35372,-34549,-30982,-28796,-32939,-35830,-32695,-33161,-35724,-33840,-31508,-33642,-35224,-32360,-36358,-33075,-33997,-36225,-38802,-39224,-42968,-40941,-38680,-39720,-41129,-39513,-42159,-45157,-46311,-49987,-41109,-38063,-38337,-37082,-35186,-30289,-32232,-31497,-29392,-29377,-30972,-38052,-42759,-43190,-43578
"46","38","  Gross government investment","AB64RX0",12875,11905,13817,15748,14562,14195,13909,14089,15625,14452,14104,13891,14194,14574,15501,14797,17222,15174,16169,14354,16090,15602,15973,14981,16276,15668,18528,16214,16273,17636,19638,19879,16932,16949,21675,20320,19821,19790,21535,15708,18069,16455,17983,17578,17724,16688,17793,16456,17109,16036,16268,13704,13782,15723,18868,16294,16964,18385,18084
"47","39","    Autos","B144RX0",3765,3571,3724,4202,3490,3550,4101,3636,3349,3954,4182,3862,3567,3380,3589,3827,3933,3552,3432,3558,3726,3518,3341,3957,4386,3741,4122,3862,3951,4513,4694,4621,4319,4835,4277,4875,4629,4256,4347,4044,3953,3266,3560,3454,3207,3820,3253,3347,3422,3569,3328,2898,2653,2682,3094,2848,2642,2637,2838
"48","40","      New autos","GAP810",2200,2036,2197,3019,2052,2164,2756,2284,1819,2499,2691,2330,2167,1995,2221,2528,2553,2040,1903,2140,2292,2042,1754,2415,2949,2138,2556,2305,2386,2938,3086,3082,2702,3193,2647,3277,3041,2740,2817,2465,2542,1827,2259,2060,1718,2417,1782,1944,2017,2233,1960,1470,1171,1284,1822,1522,1375,1269,1495
"49","41","      Net transactions in used autos","GAP840",-514,-485,-510,-792,-533,-562,-639,-599,-438,-596,-631,-544,-555,-512,-538,-672,-624,-457,-423,-516,-562,-513,-417,-530,-623,-423,-469,-410,-409,-440,-441,-417,-333,-374,-298,-361,-332,-324,-365,-331,-374,-288,-391,-342,-290,-418,-309,-353,-381,-437,-407,-328,-285,-334,-481,-434,-390,-344,-409
"50","42","      Employee reimbursement","GAP870",2170,2117,2122,2048,2074,2047,2042,2051,2067,2130,2193,2159,2051,1992,1988,2070,2087,2050,2036,2017,2079,2085,2113,2145,2100,2101,2082,2016,2015,2020,2042,1941,1946,1991,1921,1931,1898,1827,1885,1913,1782,1727,1694,1737,1783,1820,1783,1761,1792,1778,1789,1779,1801,1767,1787,1804,1698,1752,1791
"51","43","    Trucks","B708RX0",9092,8314,10081,11535,11079,10647,9782,10446,12290,10485,9904,10014,10621,11200,11921,10965,13297,11629,12755,10794,12369,12088,12636,11042,11909,11936,14410,12359,12331,13136,14954,15269,12628,12142,17389,15454,15198,15534,17183,11681,14120,13190,14422,14121,14509,12885,14526,13109,13684,12481,12943,10814,11122,13014,15734,13423,14282,15694,15209
"52","44","      New trucks","W495RX0",9816,8993,10894,12385,11949,11366,10503,11265,13028,11244,10683,10831,11450,12090,12664,11820,14172,12333,13691,11688,13312,13235,13614,11931,13044,12777,15304,13339,13330,14094,15866,16194,13515,13264,18441,16489,16198,16371,18255,12584,15281,14284,15830,15314,15447,14432,15814,14660,15128,13872,14431,12248,12377,14502,17327,14924,15639,17240,16625
"53","45","        Light trucks (including utility vehicles)","GOVLTD0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3332,3277,3440,3492,3861,3584,4459,3871,4094,4700,4111,3901,4819,3741,4322,4676,4866,4917,5049,5073,4709,5898,5795,5766,5934,4972,5890,4261,4838,3947,4560,4160,3462,5106,4146,4585,4134,3971,4314,4010,3597,4458,4931,4588,4185,4811,4394
"54","46","        Other trucks, buses, and truck trailers","QTKGHT0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8242,9017,9436,8443,10537,8884,9250,7819,9305,8470,9601,8051,8128,9142,11140,8647,8419,9164,10867,11178,8806,7261,12669,10703,10227,11405,12366,8327,10445,10335,11268,11156,11995,9318,11669,10072,10995,9902,10116,8234,8779,10041,12396,10335,11455,12429,12235
"55","47","      Net transactions in used light trucks","W496RX0",-709,-661,-793,-849,-855,-734,-720,-804,-783,-761,-764,-794,-816,-872,-775,-842,-895,-733,-934,-876,-934,-1113,-970,-877,-1097,-845,-916,-968,-984,-957,-936,-949,-894,-1103,-1072,-1043,-1008,-863,-1087,-903,-1158,-1089,-1408,-1200,-970,-1512,-1294,-1520,-1427,-1367,-1458,-1388,-1230,-1457,-1578,-1477,-1349,-1533,-1410
"56","48","  Net exports","AB63RX0",-94637,-96819,-102981,-103907,-110119,-108439,-112614,-111126,-111909,-108523,-108015,-105413,-108554,-110806,-113978,-114760,-106676,-111038,-105335,-111211,-113387,-116434,-111052,-107434,-102138,-104586,-106149,-112793,-116081,-116231,-109971,-118114,-105150,-96951,-103518,-91604,-94197,-87227,-65845,-59123,-40545,-42073,-59958,-70475,-65275,-80608,-80171,-78185,-79250,-57274,-80417,-83472,-92438,-91532,-99093,-97008,-88170,-98681,-109587
"57","49","    Exports","AB69RX0",28544,29309,28287,29185,31008,29934,27715,27462,25203,28193,29511,28895,29237,31435,31849,33073,33755,35784,32284,36373,34514,36778,40787,41410,44623,44231,44934,47807,50231,49101,51173,50818,55227,62289,63060,66564,66163,68955,72008,56629,34205,33056,42489,50144,52853,53671,54061,57596,61074,64532,66928,66851,70412,71206,69297,70277,71738,74760,73143
"58","50","      Autos","B142RX0",13026,13387,12459,13050,13741,13520,12680,12626,12030,13948,15428,14837,14650,16186,16211,15938,16971,16552,15342,16969,15801,16816,16959,18427,20534,20104,20352,22443,23790,23246,24643,25399,27708,31278,33256,35825,37080,39209,41174,32410,17639,17467,22148,26090,27043,26832,27155,30391,31781,33015,33291,35183,38054,38095,36760,39273,39433,41294,40973
"59","51","      Trucks","B706RX0",15590,15995,15932,16229,17376,16500,15101,14898,13200,14244,14027,14021,14573,15209,15609,17153,16766,19282,16969,19448,18766,20019,23953,23072,24163,24204,24660,25431,26506,25919,26588,25458,27556,31053,29820,30748,29074,29732,30819,24210,16566,15589,20341,24055,25807,26833,26902,27212,29299,31516,33614,31690,32405,33147,32562,31113,32384,33559,32292
"60","52","    Imports","AB70RX0",123181,126127,131268,133092,141127,138374,140328,138588,137112,136716,137526,134308,137791,142241,145827,147833,140431,146821,137619,147584,147901,153212,151839,148844,146761,148816,151083,160601,166312,165332,161145,168933,160377,159240,166578,158168,160360,156182,137853,115752,74751,75129,102448,120619,118128,134279,134231,135781,140324,121806,147344,150322,162850,162738,168390,167285,159908,173441,182729
"61","53","      Autos","B143RX0",66483,67425,71075,70927,74362,73952,75177,74992,74925,73089,72193,69995,72810,78745,78603,77781,72237,74943,72085,77965,74293,72899,77864,73577,70303,69832,71438,75644,76259,76295,80715,84474,74877,77126,83084,77685,81244,79668,78839,71718,43366,44593,61968,69998,62719,74231,80132,78891,81269,67999,85127,88036,93938,95107,96491,98838,98495,107981,110297
"62","54","      Trucks","B707RX0",56593,58623,60077,62086,66709,64333,65056,63477,62046,63538,65284,64285,64925,63325,67110,69987,68177,71874,65488,69563,73633,80416,73971,75318,76547,79095,79746,85064,90182,89160,80495,84529,85606,82204,83569,80559,79163,76560,58988,44040,31379,30544,40485,50614,55354,59967,54138,56868,59059,53797,62184,62226,68890,67574,71889,68352,61188,65179,72243
"63","55","Change in private inventories","AB65RX0",20282,-1223,4462,25201,5445,24761,9307,3010,-26438,4488,4440,-38075,11102,16278,1915,23075,9675,13852,-8427,12675,12877,5955,1147,-13911,-5118,-12967,-7610,20517,8346,5550,-1590,-5494,-2323,-509,5086,-19896,-8151,1799,-10541,-8197,-57367,-46782,-16489,27726,22245,21342,23614,-9530,1570,-10940,4617,6275,19435,20568,17312,6067,303,16759,8470
"64","56","  Autos","A145RX0",6733,-4006,-4069,10349,-131,8115,8570,-1550,-7870,1392,1453,-10508,15006,7174,-4348,10494,-8181,3890,-6860,334,-3335,-768,-2757,-9787,-580,-5831,-7018,6284,4597,2910,-774,6548,2522,-2257,2462,-12291,441,-4340,14973,13596,-22163,-11119,-15582,15025,12314,13522,7158,-10619,-5964,-8981,1471,3536,8279,10750,12138,3204,5655,10442,-3019
"65","57","    New","B146RX0",4645,-1741,-2845,4697,-1537,2459,2256,1535,-11689,-3822,1560,-13153,15305,9454,-2060,9471,-8811,7195,-5863,2033,82,222,-434,-6283,2982,-4854,-7448,4896,4740,4319,-2614,4588,-1282,-2762,404,-11974,716,-2401,14032,13846,-20692,-12759,-19180,3977,4809,10904,5209,-7176,-4960,-7287,2947,6653,7329,11643,13022,2788,5730,12749,-3189
"66","58","      Domestic","AB71RX0",4253,-3103,-2952,1454,-2466,2504,1797,722,-13314,-3288,-448,-12424,14465,8556,287,3778,-5195,3947,-3412,167,710,608,-2329,-1257,792,-4683,-5233,6581,2547,2639,-1243,2141,38,540,-2943,-9826,-3369,-2352,10519,12903,-15762,-10890,-12469,3136,6042,3956,4746,-4765,-2740,-1960,1092,6547,5620,7198,10757,3474,4431,6410,-1516
