"","Table 5#5#6U# Real Private Fixed Investment in Equipment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"42","35","      Other agricultural machinery","W213RX0",11340,11729,13169,14270,15105,15852,16369,15174,14588,17065,17342,16513,17596,13786
"43","36","    Construction machinery","C269RX0",29447,29704,26294,24294,25474,29361,36169,40624,38442,35875,20216,31241,37208,51819
"44","37","      Construction tractors","BA18RX0",3391,3324,2600,2118,2215,2224,2966,3374,3074,3225,656,2342,2968,3502
"45","38","      Other construction machinery","W214RX0",26074,26396,23701,22175,23259,27134,33203,37250,35365,32652,19560,28892,34232,48292
"46","39","    Mining and oilfield machinery","C270RX0",7820,7728,8753,5682,6963,8003,10587,15034,19530,19097,15603,17660,21989,23180
"47","40","    Service industry machinery","C570RX0",22470,23208,24006,23249,24110,25428,27284,27578,27795,25938,23948,26645,28635,29876
"48","41","    Electrical equipment, n.e.c.","A670RX0",4689,4901,5278,5661,5906,7002,6590,6447,5470,5396,4092,4484,4490,4605
"49","42","      Household appliances","BA19RX0",928,984,1024,1068,1083,1071,1045,1084,883,789,654,1037,681,665
"50","43","      Miscellaneous electrical","BA20RX0",3767,3924,4260,4599,4828,5932,5546,5365,4587,4607,3438,3447,3809,3940
"51","44","    Other","C286RX0",39987,42662,43907,47036,52815,56361,61118,63412,63348,59495,50000,49914,53673,49793
"52","45","  Less: Sale of equipment scrap, excluding autos","C287RX0",7147,6736,5470,5781,5702,7093,7543,8785,9421,10301,8590,8897,6498,6288
"53","46","Residential equipment","B013RX0",7157,7617,7755,7988,8483,9453,9867,10063,9772,9252,8316,8814,9208,9481
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. The quantity index for computers can be used to accurately measure the real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","growth rate of this component. However, because computers exhibit rapid changes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","in prices relative to other prices in the economy, the chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","should not be used to measure the component's relative importance or its contribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","to the growth rate of more aggregate series; accurate estimates of these contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","are shown in table 5.5.2 and real growth rates are shown in table 5.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes net purchases of used vehicles; additional detail is available in table 7.2.6U.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","NOTE. Chained (2009) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","index and the 2009 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
