"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"11","4","  Nondurable goods","B004RX1",294.1,280.3,278.9,256.1,252.3,273.9,290.3,324.3,335.9,340.6,358.2,374.2,399.4,406.3,419.8,436.4,467.7,493.2,479.9,481.5,488.9,504.2,517.4,538,554.8,561.8,589,609.1,620.3,626.3,652.1,661.9,674.1,695.4,710,744.8,784.3,827.3,840.4,878.7,902.1,923.7,940.4,981.8,1013.9,993.5,1008.1,1057.4,1082.8,1123.3,1153.3,1151.5,1165.2,1176.3,1215.4,1263.7,1298.1,1344.7,1377,1421.8,1461.3,1484,1480.5,1510.1,1550.4,1603.9,1638.6,1680.4,1725.3,1794.4,1876.6,1947.2,1983.3,2043.6
"12","5","  Services","B005RX1",330,321.8,311.6,292,283.4,294.2,303.3,318.4,329.2,325.7,335.6,347.6,365.2,381.7,402.8,416.4,430.1,469.4,489.2,507.9,521,547.1,575.1,600.4,626,651.3,685.5,719.9,747.7,776,817,853.3,888.9,933,975.5,1035.1,1090.2,1144.4,1200.3,1263,1323.7,1376.6,1430.1,1511.4,1582.3,1619.3,1679.3,1747.4,1822.7,1907.8,1966.1,2000.6,2034.1,2077,2190.7,2279.7,2408.5,2479.5,2586.9,2691.5,2772,2851.7,2900,3000.8,3085.7,3176.6,3259.9,3356,3468,3615,3758,3928.8,4022.4,4141.8
"13","6","Gross private domestic investment","A006RX1",91.3,60.9,38.3,11.5,17,30.7,56.9,72.9,91.1,60.2,77.4,107.9,131.7,69.6,41.1,50.8,67,172.1,165.3,211.2,161.2,227.7,228.3,206.5,216.2,206.1,256.2,252.7,241.7,221.7,266.7,266.6,264.9,298.4,318.5,344.7,393.1,427.7,408.1,431.9,457.1,427.1,475.7,532.1,594.4,550.6,453.1,544.7,627,702.6,725,645.3,704.9,606,662.5,857.7,849.7,843.9,870,890.5,926.2,895.1,822.2,889,968.3,1099.6,1134,1234.3,1387.7,1524.1,1642.6,1735.5,1590.6,1572
"14","7","  Fixed investment","A007RX1",119.5,91.6,63.5,37,32.7,42.2,54.7,72.9,85.4,67.7,81.2,97.6,111.4,62.8,48.5,59.6,81.5,150.6,181.2,199.5,182.4,217.9,208.7,204.8,219.1,222.5,251.5,252.4,249.7,231.8,264.2,266.5,265.6,289.6,312,342.1,377.1,398.7,391.3,418.7,444.7,435.4,468.3,524.6,572.5,536.8,479.2,526.5,602.1,675,713.1,666.7,681.5,633.6,679.8,794.7,836.5,846.3,850.9,879,905.4,886.6,829.1,878.3,953.5,1042.3,1109.6,1209.2,1320.6,1455,1576.3,1679,1625.7,1565.8
"15","8","    Nonresidential","A008RX1",70.7,58.3,38.2,22.9,20.7,26.3,33.3,45,53.9,39.5,44.1,54.6,64.3,37.8,31.6,42,59,87,101.3,106.6,96.8,105.7,110.6,108.5,118.2,115.7,128.5,135.8,137.9,122.8,132.6,140.1,139.2,151.3,159.8,178.7,209.8,236.1,232.9,243.3,261.8,260.4,260.4,284.3,325.6,328.4,296,310.5,345.5,397.3,437.3,436,460.8,443.3,437.6,514.9,549,533.3,533,560.8,592.2,595.1,563.2,581.3,631.9,689.9,762.5,833.6,934.2,1037.8,1133.3,1232.1,1176.8,1092.6
"16","9","      Structures","B009RX1",85.9,73.5,47.3,29,22.5,25.4,28.1,36.9,46.8,37.4,39.5,44.8,53.2,32.9,23.9,31.3,42.2,83.4,75.9,79.8,77.2,82.7,89,88.7,96.6,99.9,107,118.3,118.2,111.7,114.4,123.5,125.2,130.8,132.3,146,169.3,180.9,176.3,178.8,188.5,189.1,185.9,191.7,207.3,202.9,181.6,186,193.7,221.6,249.7,264.2,285.2,280.4,250.1,285,305.4,271.9,264.1,265.8,271.2,275.2,244.6,229.9,228.3,232.3,247.1,261.1,280.1,294.5,293.2,313.2,305.2,249
"17","10","      Equipment and software","B010RX1",23.9,18.9,12.6,7.4,7.6,10.5,14.3,19.6,22.7,15.8,18.3,23.7,27.8,15.9,14.3,19.1,27.4,34.2,46.5,48.9,42.8,47.3,48.7,47.3,51.6,48.7,55.3,56.8,58.3,49.8,55.7,58.1,57,63.6,68.9,77.7,92,106.7,106,112.6,122.5,121.3,122.5,138.3,163.7,167.9,151.9,161.4,185.7,214,232.6,224.3,233.8,221.7,233.6,279.9,297.7,303.3,307.5,330.7,354.9,355,345.9,371.1,417.4,467.2,523.1,578.7,658.3,745.6,840.2,918.9,871.3,846.7
"18","11","    Residential","A011RX1",58.5,35.6,29.7,15.7,12.8,17.6,24.6,31.1,33.8,34,48.2,54.4,57.8,29.2,17.4,14.9,17.6,74,95.4,114.2,105.5,144.4,120.9,118.7,122.9,133.1,154.7,142.1,133.4,134.8,169,157,157.4,172.5,192.9,204.1,198.1,180.4,174.7,198.5,204.4,192.2,244.9,288.4,286.5,227.4,197.8,244.4,296.9,315.6,304,239.7,220.5,180.5,255.2,293,297.7,334.2,340.8,337.4,327.2,298.9,270.2,307.6,332.7,364.8,353.1,381.3,388.6,418.3,443.6,446.9,448.5,470.3
"19","12","  Change in private inventories","A014RX1",9.3,-4.1,-9.5,-21.5,-11,-5.3,6.8,7,11.7,-2.8,1.4,14.5,23.8,9.3,-3.3,-3.9,-7.3,22.9,-3.2,17.4,-9.2,17.4,24.1,9.7,6,-5.8,14.4,10.7,2.6,-0.7,12.3,10.4,9.4,19.5,18,15.4,29.3,42.1,30.3,27.4,27,5,22.3,23.1,35,25.9,-11.3,30.7,38.5,41.1,25.1,-8,34.9,-17.5,-6.4,71.3,23.7,8.3,30.3,20.3,28.3,15.4,-0.5,16.5,20.6,63.6,29.9,28.7,71.2,72.6,68.9,56.5,-36,5.7
"20","13","Net exports of goods and services","A019RX1",-9.4,-9.7,-9.6,-9.1,-10.1,-8.7,-16.7,-15.2,-13.9,-4.6,-4.7,-1.3,-8.8,-16.8,-31,-31.9,-26.7,17.7,29.1,6,7.3,-9,0,-8,-18.3,-12,-14.3,-10.1,-7.1,-22.3,-24.7,-12.7,-11.5,-18.6,-14.8,-9,-18.9,-31.1,-39.6,-54.6,-58.9,-51.9,-60.6,-73.6,-51.9,-29.4,-2.4,-37,-61.1,-61.9,-41,12.6,8.4,-12.6,-60.2,-122.5,-141.4,-156.4,-148.3,-106.7,-79.1,-54.7,-14.6,-15.9,-52.1,-79.4,-71,-79.6,-104.6,-203.7,-296.2,-379.5,-398.1,-470.6
"21","14","  Exports","A020RX1",34.9,28.9,24,18.8,18.9,21,22.2,23.3,29.3,29,30.6,34.8,35.7,23.6,19.9,21.4,29.9,64.6,73.7,58,57.5,50.3,61.7,59,55.1,57.7,63.9,74.4,80.9,70,77.2,90.6,91.1,95.7,102.5,114.6,117.8,126,128.9,139,145.7,161.4,164.1,176.5,209.7,226.3,224.9,234.7,240.3,265.7,292,323.5,327.4,302.4,294.6,318.7,328.3,353.7,391.8,454.6,506.8,552.5,589.1,629.7,650,706.5,778.2,843.4,943.7,966.5,1008.2,1096.3,1039,1014.2
"22","15","    Goods","A253RX1",26.2,21.6,17.8,13.8,13.8,15.2,15.9,16.7,21,21.4,22.5,25.9,26.6,16.3,12.7,13.7,20.5,47.4,54.5,42.2,42,36.3,44.2,41.9,39,41.3,45.6,53.5,57.7,49,48.6,60,60.3,63,67.9,77.3,77.7,83.1,83.4,90.1,94.8,105.6,105.2,116.5,143.2,154.6,151,158.2,160.2,178.1,199.2,222.9,220.5,200.6,194.8,210.2,218,229.2,254.6,302.5,338.6,367.2,392.5,421.9,435.6,478,533.9,581.1,664.5,679.4,705.2,784.3,736.5,707.2
"23","16","    Services","A646RX1",6.8,5.9,5.1,4.2,4.5,5.4,5.9,6.1,7.8,6.6,7,7.5,7.7,6.8,7.2,7.8,8.7,14.2,15.4,13.4,13.1,12.3,15.5,15.4,14.4,14.6,16.3,18.4,20.7,19.4,30.1,30.6,30.7,32.9,34.5,36.6,40.3,43.1,46.5,50.1,51.9,56.5,60.9,60.5,64.8,69.9,74.2,76.4,81.3,88.1,90.8,96.4,106.7,103.8,102,111.1,112.5,128.9,141.9,154.8,170.7,188.7,199.9,210.8,217.5,231.1,245.8,263.5,279.2,287.2,303.2,311.9,302.4,306.8
"24","17","  Imports","A021RX1",44.3,38.5,33.6,27.9,29.1,29.7,38.9,38.4,43.3,33.6,35.3,36.2,44.5,40.4,50.9,53.3,56.7,47,44.6,52,50.2,59.3,61.7,67.1,73.4,69.8,78.2,84.5,88.1,92.3,101.9,103.3,102.6,114.3,117.3,123.6,136.7,157.1,168.5,193.6,204.6,213.4,224.7,250,261.6,255.7,227.3,271.7,301.4,327.6,333,310.9,319.1,315,354.8,441.1,469.8,510,540.2,561.4,586,607.1,603.7,645.6,702.1,785.9,849.1,923,1048.3,1170.3,1304.4,1475.8,1437.1,1484.7
"25","18","    Goods","A255RX1",35.4,29.8,26.1,21.1,23.7,24.2,33.3,32,35.8,27.3,29.7,31.2,36.8,25.5,29.5,30.6,30.5,35.3,33.9,38.8,37.3,45.5,44.6,45.5,48.2,44.5,49.7,54.1,55.7,57.2,67.2,66.1,66,75.8,78.8,84,95.9,111,116.9,141,148.8,154.6,167.5,190.3,203.8,198.1,173.1,212.3,238.2,259.5,264,244.4,249.4,243.1,276.2,343,364.5,401.8,420.4,437.5,456.2,469.7,469.3,513.1,564.8,640,697.6,762.7,872.6,974.4,1095.2,1243.5,1203.7,1248.4
"26","19","    Services","B656RX1",9.2,9,7.8,6.9,5.8,5.9,6.3,7,8.1,6.8,6.3,5.9,8.4,13.8,19.4,20.6,23.6,11.3,10.4,12.8,12.5,13.3,16.9,22,26,26.3,29.7,31.6,33.7,36.6,35.9,38.7,38.1,39.8,39.8,40.8,42,47.4,53.2,54.1,57.5,60.5,58.8,61.3,59.2,59.2,56.6,60.5,63.5,68.1,69,67.4,71.3,75.1,81.2,101.6,109.3,110.7,123.6,127.8,134,142.7,139,135.5,139.4,147.3,152.1,160.5,175.6,195.6,209.1,232.3,233.2,236.4
"27","20","Government consumption expenditures and gross investment","A822RX1",120.6,132.9,138.5,133.8,129.2,145.7,149.7,174.7,167.3,180.2,196,201.5,335.1,788.6,1173.3,1320.5,1152.9,396.8,337.2,361.7,404.9,405.3,553.5,666.3,713.9,665.1,640.7,641,669.5,690.9,714.3,715.4,751.3,797.6,818.1,836.1,861.3,937.1,1008.9,1040.5,1038,1012.9,990.8,983.5,980,1004.7,1027.4,1031.9,1043.3,1074,1094.1,1115.4,1125.6,1145.4,1187.3,1227,1312.5,1392.5,1426.7,1445.1,1482.5,1530,1547.2,1555.3,1541.1,1541.3,1549.7,1564.9,1594,1624.4,1686.9,1721.6,1768.9,1836.9
"28","21","  Federal","A823RX1",20.6,22.8,23.6,24.2,29.9,40.1,40.8,61.6,55.4,61.2,65.7,73.5,194,595.9,942.6,1076,924.3,248.9,183.9,198.4,217.8,205.8,341.5,444.2,480,417,379.1,372.4,385.6,385.3,397.4,386.5,402.6,436.9,437.2,431.4,431.2,478.9,526.5,530.6,512.4,474.6,438.1,420,402.4,405.9,407.2,407.4,416,426.5,436.8,457.5,479.3,497.9,530.9,547.2,590.1,623.7,646.3,636.1,645.9,659.1,658,646.6,619.6,596.4,580.3,573.5,567.6,561.2,573.7,578.8,600.5,648
"29","22","    National defense","A824RX1",10.7,11.5,11.5,11.6,11.2,9.9,12.1,14.4,14.5,15.1,16.7,29.2,157.7,575.9,938.3,1071.2,922.9,221.1,149.1,150.4,157.9,155.8,300.6,399.2,424.7,363.6,328.6,326.1,339.8,338,331.2,325.8,340.1,360.7,352.1,338.1,331.1,378.5,428,434.8,413.3,375.8,333.2,307.1,290,287.8,285.1,284,287.3,289.8,298.6,311.7,331.4,356.4,382,400.6,434.6,462.4,484.3,482,479.6,479.4,474.2,450.7,425.3,404.6,389.2,383.8,373,365.3,372.2,370.3,384.7,418.8
"30","23","    Nondefense","A825RX1",9.7,11.1,11.9,12.4,18.6,30.1,28.6,47,40.8,45.9,48.8,44.7,39.8,31.7,25,28.3,21.8,31.4,36.7,50.3,62.3,52.4,44.5,49.9,60.3,57.4,54.1,49.9,49.5,51,69.4,63.9,65.9,79.5,88,95.6,102.1,103.2,102.3,99.9,102.5,101.5,106.2,113.7,113,118.9,122.9,124.1,129.4,137.5,138.9,146.7,148.7,141.5,148.8,146,154.6,160,160.5,152.3,164.9,178.6,182.8,195.4,194.1,191.7,191,189.6,194.5,195.9,201.5,208.5,215.8,229.2
"31","24","  State and local","A829RX1",130.1,143.2,149.4,142.5,127.3,133.9,138.1,138.9,138.9,147.1,161.7,156.3,146.4,132.8,120.6,116.4,120.4,132.4,150.8,160.4,184.8,200,201.5,204.9,215,233.8,250.7,258.8,274.1,297.4,308.6,322.1,341.9,352.4,373.7,399,425.7,452.4,475.3,503.4,520.4,534.8,551.2,563.3,579.3,601.2,623.2,627.8,630.1,650.7,660.3,659.8,646.6,646.9,654.5,677.9,720,766.4,777.6,806.6,834.2,868.4,886.8,906.5,919.5,943.3,968.3,990.5,1025.9,1063,1113.2,1142.8,1168.5,1189.1
"32","25","Residual","A960RX1",-111.3,-119.4,-117.8,-110.4,-96.6,-98,-87.7,-86.9,-82,-100.7,-104.1,-89.5,-93,-190.9,-282.3,-315.3,-255.8,-33.5,-26.3,-30.1,-65.2,-41,-75.3,-126.8,-134.5,-140.1,-102.6,-111.9,-122.5,-163.1,-157.4,-155.3,-178.5,-174.9,-173.6,-169.1,-149.4,-134.6,-161.2,-158.7,-154.6,-164.6,-164.3,-149.3,-106.3,-108.2,-138.7,-127.4,-122.4,-105,-91.3,-93.5,-75.5,-120.2,-137.7,-101.9,-119.5,-125.2,-126.1,-102.7,-86.2,-91.1,-96,-89.1,-78.6,-63.7,-51.1,-38.5,-23.8,-14.6,-5.8,0.2,1.8,2.4
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","NOTE. Chained (2000) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","index and the 2000 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
