"","Table 2#7A# Wage and Salary Disbursements by Industry, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","3","  Goods-producing industries","A206RC1",106.4,107.1,108.8,110.1,111.5,112.3,111.8,109.1,109.1,108.8,110.2,113.2,114.8,115.1,114.5,114.6,114.9,114.1,113.7,113,112.3,112.6,111.7,109.5,110.6,110.3,110.8,111.5,112.6,114.2,114.6,115.4,114.3,116.4,118.2,118.8,118.3,119.7,120.9,122.5,122.2,122.2,122.7,122.8,123.7,123.2,124,124,124.5,124.5,124.9,125.4,126.5,127.4,127.9,128,129.1,129.6,129.7,130.8,130.2,132.4,133.3,134.5,135,135.6,136.5,137.6,138.6,137.1,139.1,141.5,141.9,143.2,143.6,143.5,145,146.1,146.4,147.1,147.9,149.8,151.3,153.1,153.7,156.2,157.8,159.4,160.2,162.2,162.4,164.1,165,165.8,166.3,166.2,167.5,166,166.4,166.4,166.4,167.4,168.7,170.7,170,170,173.2,174.9,175.7,178.8,179.6,180.8,182.7,183.4,184.5,185.3,187.1,188.9,190.7,191.9,192.8,193.4,196.1,197.6,198.9,200.2,202,203.4,204.4,205.3,204.9,206,204.9,205.3,206.4,205,203.4,204.5,205.4,205.1,202.8,199.7,199.2,203.2,205.2,204.8,205.4,206.9,209,209.3,209.5,209.7,210.2,211,211.9,215.8,218.3,221.1,223.5,224.7,225.9,226.4,226.1,229.3,231.8,234.9,237.4,239.4,243.1,247,248.2,250.4,252.4,254.8,257.5,257.8,260.5,263.3,266.6,268.6,268.9,270.6,271.1,272.2,275.9,278.1,278.6,281.4,282.8,284.2,277.6,276,274.6,269.7,269.1,268.6,270.9,272.5,273.7,278.8,282.3,285.1,287.7,292.2
"12","4","    Manufacturing","A552RC1",83.8,84.7,86.1,87.1,88.3,89,88.9,86.2,86.5,86,86.8,89.8,91.4,91.5,91.4,90.9,91.1,90.4,89.9,89.3,88.6,88.8,87.9,86.2,86.9,86.9,87.1,87.9,89,90,90.5,91.2,89.9,91.9,93.5,94.1,93.9,94.9,95.9,97,96.8,97.1,97.3,97.1,97.9,97.6,98,98.1,98.6,98.7,99.1,99.2,100.1,100.7,101.1,100.9,101.8,102.3,102.8,103.6,103.3,104.4,105.2,106.1,106.5,106.9,107.7,108.7,109.8,107.5,109.7,111.7,112.1,112.8,113.5,113.5,114.2,115,115.9,116.2,116.8,118.2,119.4,120.5,121.6,123.5,124.6,126.3,127,128.3,128.7,130.4,131.1,132.2,132.5,132.3,133.3,132.1,132.5,132.6,132.3,133,133.5,135.8,135,135,137.5,139.1,140.2,142,142.4,143.3,145,145.9,146.3,146.7,148.1,149.9,151,151.7,152.3,152.7,154.8,155.4,156.2,157.5,159,160.3,160.9,161.5,160.7,161.3,160.9,160.3,161.2,160.1,159.2,159.5,160.1,159,157.1,153.6,152.8,156.9,158.6,158.7,158.6,159,160.7,160.8,160.6,160.4,160.4,161.6,162,165.1,166.5,169.5,171.7,172.9,173.6,174.6,174.3,176.5,178.4,180.7,183.2,185.3,187,190.4,191.4,193.5,194.5,195.6,197.6,197.8,199.5,202,204.2,205.3,205.4,205.7,206.7,207.7,211.1,213.2,214.7,215.9,217.1,218.3,215,211.3,207.8,204.8,204.8,205.3,206.6,208,209.2,213.8,216.6,218.6,220.2,223.7
"13","5","  Distributive industries","A212RC1",63.3,63.7,64.1,64.6,65.2,65.5,65.3,65.8,65.5,65.9,66.2,66.6,67.4,67.4,68.1,68.8,68.7,69,69.1,69,68.9,69.6,68.9,68.2,68.8,68.7,68.5,68.7,69,69.4,69.9,69.7,70.4,70.7,70.9,71,71.3,71.8,72.8,72.7,73.1,73.4,73.5,73.5,74.1,74,74.4,74.8,74.4,75.1,75.8,75.8,76.1,77.1,76.7,77.3,77.8,78,78.2,78.9,79.2,80,80.2,80.5,81.4,81.8,82.3,83.1,83,83.7,84,85.1,85.1,85.4,85.9,86.7,87.3,86.9,87.8,88.5,89,90.2,90.5,91.1,91.7,92.1,92.5,93.4,94.2,94.9,96.2,96,96.3,97.5,97.8,98.1,99.2,99.5,99.8,100.2,100.7,101.4,101.7,102,103.1,103.1,103.9,104.6,105.3,106.6,107.6,108.1,109.1,110.7,111.3,112.5,113.6,114,115.2,115.7,116,117,118.3,119.3,120.4,121.5,122.1,123.4,124.1,125.1,126.3,127,127.6,128.3,129.2,128.4,130.3,131,132.2,133,133.1,133.7,134,133.8,135.6,136.7,137.2,138.3,139.7,140.2,140,141.9,143.1,142.8,142.9,146.2,147.1,150,150.1,150.6,150.9,152.6,153,154.2,155,157.2,158.5,160.7,161.8,163.9,165.7,166.9,168.3,169.9,170.8,172.4,173.9,175,177.2,177.5,179.3,179.8,180.9,183,185.3,186.8,188.6,189.2,191.5,192.5,192.4,192,192.7,192.2,192.4,192.4,194.5,196.2,197.5,201.2,201.7,203.8,205.9,207
"14","6","  Service industries","A218RC1",37,37.4,37.7,38.2,38.3,38.5,38.9,39.1,39.3,40,40.2,40.5,40.6,40.7,40.6,41.2,41.4,41.6,41.8,42,42.5,42.5,42.7,42.8,43.1,43.3,43.8,43.8,44.1,44.3,44.3,44.7,45,45,45.6,46,46.2,46.3,46.7,47.3,47.4,47.6,47.8,47.9,48.1,48.2,48.5,48.8,49.2,49.6,49.8,50,50.2,50.6,50.7,51.1,51.3,51.7,51.8,52.2,52.9,53.5,53.7,54.1,54.4,54.7,55,55.3,55.7,56,56.6,56.6,56.8,56.8,57.3,57.9,58.7,59,59.7,60.1,60.8,61.6,62.2,62.3,62.6,62.7,63.2,63.7,64.2,64.8,65.8,66.4,66.7,67.2,67.6,68.2,68.6,69.3,69.9,70.7,70.8,71.9,72.4,72.8,73.5,73.9,74.4,75.4,76.2,77,77.6,78.3,79.2,79.9,80.6,81.5,82.4,83.2,83.9,84.7,86,86.5,87.3,87.9,88.9,90.1,90.8,91.8,92.8,94.1,95.4,95.7,96.4,96.9,97.3,97.7,98.4,98.9,99.5,100.2,100.9,101.8,102.3,102.3,103.6,104.5,105.7,106,106.9,107.1,108,108.9,109.6,110.7,111.7,112.3,113.5,114.4,115.8,117.3,118,118.7,120,120.9,122.4,124.1,124.7,126.1,127.1,128.4,129.8,131.4,131.9,133,134.6,135.4,137.1,137.8,139.5,140.5,141.1,142.4,143.5,144.4,146.7,148.9,149.6,151.1,152.7,153.2,153.8,155.1,156.3,157.9,159.3,159.4,161,162.4,163.3,165.7,166.2,167.9,170.4,170.8
"15","7","Government","B202RC1",45.4,45.5,45.5,45.6,45.9,46,46.1,46.3,46.3,46.5,46.7,46.8,47.4,47.7,48,48.4,48.7,48.8,49.4,50,50.3,50.4,50.5,50.6,50.9,51.1,51.3,51.6,51.7,52.1,52.4,52.7,53.3,53.6,54.3,54.6,54.9,55.4,55.6,55.7,55.8,56.4,56.4,56.5,56.6,57,57.8,58.1,58.3,58.6,58.9,59.1,59.2,59.8,59.8,60.3,60.5,61.6,61.9,62.3,62.8,63.2,63.4,63.7,64.1,64.7,64.7,65.8,66.2,66.8,66.8,67.1,67.2,67.5,67.7,68.2,68.5,68.9,69.7,70.3,71.5,72.3,73.2,73.9,74.5,75,75.3,76.1,76.8,77.7,79.1,79.8,80.4,81.3,82,82.6,83.1,83.4,83.9,84.5,84.9,85.6,86.5,87.1,87.7,88.3,88.9,94,91.8,92.8,93.7,94.5,95.2,96,98.2,98.8,99.2,99.6,100,100.5,100.9,101.3,101.7,102.5,103.1,103.8,107.1,108.3,109,109.4,109.8,110.3,111.1,111.8,112.7,119.5,119.9,116.6,117.3,118.1,120.8,119.3,119.7,120.1,123.1,124,124.5,125.2,125.6,126,126.7,129.3,127.2,127.2,128.8,131.2,134.5,135,134.7,135.4,135.9,136.2,137.1,138.5,139.6,140.1,141.5,142.1,144.2,145.1,145.6,146.7,147.3,147.9,148.7,149.7,150.3,152.5,153.5,154.2,154.9,155.6,156.4,157.2,158.2,160.8,164.3,161.7,162.2,165.4,167,168.2,168.9,170.4,171.9,173.3,174.4,175.4,176.6,177.5,179,181.2,182.3,182.8
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Note. Estimates in this table are based on the Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Line",NA,NA,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992
"22",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
"23","1","    Wage and salary disbursements","A576RC1",865.1,871.9,876.4,883.5,890.9,893.5,900.8,909.5,914.7,920.3,931.1,938.1,939.5,950.7,959.7,970,981.7,990.8,999.6,1005.6,1017,1030.7,1038.7,1044.9,1051.6,1062.4,1078.2,1096.5,1104.2,1118.4,1128.3,1136.5,1147.6,1164.9,1175,1187.6,1198.2,1208.8,1223.4,1225.2,1236,1250.3,1261.3,1269.5,1282.1,1292.7,1305.4,1318.9,1326.7,1338.3,1350.8,1349.8,1353.4,1361.4,1364.4,1381.9,1395.2,1420.3,1438.9,1451.1,1465.7,1473.4,1485,1493.9,1501,1512.3,1522.7,1537.8,1544.2,1554.2,1560.4,1558.9,1567.4,1575.9,1576.8,1577.6,1590.3,1593.3,1600.8,1604,1602,1606.7,1609.8,1620.2,1628.9,1624.4,1635.3,1647.6,1666.4,1675.1,1690.7,1697.1,1710.4,1738.5,1745.5,1760.4,1781.5,1793.7,1806.3,1828.6,1833,1851.5,1866.6,1874,1891.6,1893.8,1910.1,1927.8,1932.9,1942.2,1963.2,1964.7,1974.5,1992.8,1994.3,2008.6,2025,2036,2045.1,2069.3,2065.6,2073.6,2089.6,2085.3,2092.6,2103.5,2112.2,2126.5,2133.4,2152.1,2168,2175.4,2190.3,2208.8,2224.1,2229.5,2248.1,2257.2,2265.4,2292.1,2297.9,2321.4,2338.5,2375.7,2365.6,2382.9,2396,2421.7,2433.2,2451.7,2470.6,2471.6,2485.7,2515.8,2512.4,2528.2,2551.7,2550,2564.7,2580.4,2569.1,2581.1,2602.9,2599.4,2612.8,2643.6,2644.1,2656.5,2675.9,2705.1,2722.7,2745.2,2741.2,2763,2779.5,2773,2791.3,2775.9,2777.9,2797,2786.9,2784.7,2787.9,2794.3,2803.6,2832.2,2821.2,2830.7,2851,2843,2856.5,2884.5,2884.3,2920.6,2930.3,2936.9,2952.8,2960.6,2968,2990.4,2988.5,3006.1,3023.9,3201
"24","2","Private industries","A132RC1",681.4,687.2,690.8,697.1,703.6,705.6,712.1,720.2,724.7,727.4,736.9,743.2,743.7,754,762.2,771.5,782.1,790.2,797.5,801.9,812.1,822,828.2,833.4,838.8,848.4,863.5,880.7,887.1,900,908.4,915.5,925.5,939.2,948,959.3,967.6,978.2,991.5,991.4,1002.5,1015.5,1024.4,1031,1042.6,1048.5,1059.2,1071.5,1076.9,1086.8,1097.7,1094.5,1095.2,1101.6,1102.9,1118.8,1130.9,1148.2,1165,1175.7,1188.3,1194.7,1205,1212.9,1218.8,1229,1238.1,1252.1,1254.8,1259.8,1264.6,1261.8,1268.1,1275.5,1274.8,1274.4,1285.8,1287.3,1291.5,1295.6,1292.4,1292.5,1293.8,1302.4,1310.5,1305.1,1315,1325.9,1339.5,1350.8,1365.4,1367.1,1382.9,1410.1,1415.8,1429.2,1445,1454.8,1465.2,1485.7,1488.3,1505.1,1517.6,1522.2,1537.6,1538.7,1553.5,1569.7,1569.6,1576.6,1595.9,1592.9,1604.4,1621.3,1620.1,1631.8,1645.6,1655.7,1661.5,1684,1679.5,1685.5,1699.5,1693.6,1699.4,1708.8,1715.1,1727,1731.8,1747.8,1760.8,1765.5,1777.3,1794.7,1809.2,1812.3,1828.3,1835,1842.2,1867.8,1872.6,1892.8,1906.3,1939,1925.9,1940.8,1951.7,1975.4,1984.7,2001,2018,2016.8,2029.9,2057.9,2051.9,2065.5,2082.7,2079.3,2092.9,2106.4,2093,2102.8,2122.2,2115.6,2127.1,2155.7,2153.4,2163.1,2173.9,2199.6,2214.2,2234,2226,2244.1,2259.7,2251.1,2267.6,2249.4,2249.4,2266.4,2245.8,2241.7,2243.5,2250,2258.9,2285.4,2272.1,2283.7,2303.6,2294,2304.9,2331,2323.9,2356.9,2364.5,2369.5,2384.4,2391.2,2397.1,2418.9,2416.3,2429.3,2452.5,2628.8
"25","3","  Goods-producing industries","A206RC1",298,300.1,302.2,304.4,306.8,307.3,310.4,313.4,314.6,315.4,320.8,323.1,322.7,328.3,333.3,338.1,342.6,347.6,349.9,351.5,356,359.2,361.7,361.8,361.7,366.5,374.4,385,387.6,392.8,396.7,399.2,403.7,408.7,414.8,419.5,421.9,426,432.6,431.8,438.4,442.5,445.8,446.6,451.5,453.6,455.5,461.9,463.1,466.5,468.8,465.7,463.1,462.8,460.2,469.8,475.9,483.3,491.2,497.5,500.7,498.8,504.7,507.5,510.1,515.7,519.8,523.9,523.2,525.3,523.9,520.9,520.8,522.9,521.3,517.8,519.6,518.1,515.8,513.2,509.8,506.3,504.2,505.5,509.7,508,509.4,513.4,517.4,522.2,527.9,531.2,539.8,546,551.3,555.6,562.4,569.2,572.1,578.6,581.2,587.2,590.2,594.2,595.4,596.9,600.9,605.2,608.4,607.7,620.1,613.3,615.9,618.5,618.8,622.4,624,630.2,629.6,634.1,634.1,631.6,637.6,633.3,633.8,632.7,634,637.5,637.2,644.3,641.6,644.3,646.4,648.5,654.9,650.1,654.5,655.9,657.8,663.4,667.2,671.3,675,676.3,682.8,687.4,698.7,698.9,701.4,706.4,710.2,709.4,714.5,725.4,721.9,722.5,726.5,726.4,734.1,728.7,726.9,727.5,729.9,732.5,732.3,741.4,739.6,739.6,739.8,751.4,755.6,757.4,756.1,759.5,759.2,757,759.4,755.6,748.8,750.9,746.1,742,738.6,739.7,741.7,745.7,746.9,748.9,751.2,749.8,748.6,751.6,748.2,751.5,755.7,758.3,761.6,762.6,763.3,764.2,763,765.2,768,814
"26","4","    Manufacturing","A552RC1",227.9,230.2,232.1,233.7,235.9,236.7,238.8,241.3,242.2,242.2,246.8,248.6,249.4,253.4,256.5,259.7,263.8,267.5,269.5,271.3,273.9,276.3,278,281.2,281.1,285.1,290.1,293.6,295.3,298.4,301.4,303.1,306.7,310.7,315.6,319.9,322.3,325,328.9,327.4,332.4,335.5,337.9,337.4,341,342.7,343.3,348.2,349.1,351.5,354.2,351.5,349,348,346.8,354.1,358.6,364.6,371,375.7,377.4,375.7,380.4,385.1,388.4,390.2,391.4,394.2,393.3,394.3,391.9,389.2,389.3,391.4,389.7,387.3,388.5,388.3,386.7,385.1,383.1,380,379.3,380,382.7,383.7,386.2,389.8,393.7,397.1,401.6,403.7,410.7,415.5,420.1,423.2,428.2,432.9,435.6,440.3,441.2,444.5,448,450.9,452.4,454.4,456.9,459.9,461.9,459.2,470.7,462.6,464.5,466.8,467.4,469.6,469.9,476.2,475.2,478,477.9,476.2,483.1,477.5,478.9,478.1,479.1,481.5,481.4,487.3,483.3,484.7,487.3,489,494.2,489.6,492.2,493.1,495.1,499.2,503.2,504.9,507.1,508.2,513.3,516,525.8,522.9,525.5,528.9,531.4,530.7,535,545.2,542.1,541.8,545.6,546,553.6,546.1,544.9,545.5,546.5,547.2,546.6,553.6,549.8,549.6,547.7,556.5,560.5,564.6,562.5,564.9,565.4,564.2,565.5,564.8,558.2,560.8,558.3,554.4,553.5,555.2,557.9,561.9,564.1,566.3,568.1,568.6,569.4,570.5,567.7,572.3,574.5,577.2,580.4,581.2,583,582.7,583,583,585.6,629.9
"27","5","  Distributive industries","A212RC1",210.5,212.3,213.3,215.4,217.3,218,219.9,222.2,224.5,224.7,227.1,229.1,228.6,232.4,234.3,236.8,240.1,241.9,244.6,245.1,248.1,251.3,253.5,256.1,257.8,261.1,265.2,268.5,270.8,274.3,275.8,278.4,280.9,285.9,287.8,292.2,294.7,297.2,300.9,298.7,302.5,307.4,308.8,312,315.4,317.6,322.5,324.3,325.9,328.3,332,330.6,331.4,332.2,334.6,337.1,340.3,346.4,349.7,351.4,356.5,360.1,361.9,365.1,365.5,367.8,369.3,373.2,376,374.6,376.7,375.7,378.3,381,380.5,381,385.4,386.2,387.1,389.5,388.1,389.3,390.3,393.7,392.1,389.4,394.3,397.7,401.4,404.7,408.5,405.9,408,419.8,420.3,425.2,429.1,429.9,432.8,439.3,439.2,444.9,448.8,448.5,453.6,453.6,459.4,462.2,461.3,464.7,467.9,468.5,473,477.3,476.4,479,483.3,484.3,486.8,493,492,493.4,495.5,494.3,496.1,499,501.4,503.7,506,508.6,514.4,513.9,515.2,522.2,523.8,528,531.7,532.8,536.7,542.9,545.5,546.7,549.7,549,556.4,561.3,559.4,568,569.3,574,579.8,578.6,582.3,588.6,586.9,592.9,600.2,598.2,599.3,607,600.6,603,609.1,602.1,607.8,614.5,613.4,616.3,618.9,622.8,627,633.1,629.4,635.3,637.9,635.1,639.6,634.8,636.8,642.4,636.1,633.4,637,637.4,641.7,650.7,644.2,647.3,653.2,649,652.9,659.1,657.2,668.4,668.7,668.9,674,673,674.7,681.8,683.2,683.5,689.6,720.2
"28","6","  Service industries","A218RC1",172.8,174.8,175.3,177.3,179.5,180.4,181.8,184.6,185.6,187.3,189,191,192.4,193.2,194.6,196.6,199.4,200.7,203,205.4,208,211.5,213.1,215.5,219.2,220.8,223.9,227.2,228.8,232.8,235.9,237.8,240.9,244.6,245.4,247.6,251,255,257.9,260.9,261.7,265.7,269.8,272.3,275.6,277.3,281.3,285.2,287.8,291.9,297,298.3,300.7,306.6,308.1,311.9,314.7,318.5,324,326.8,331.1,335.8,338.4,340.3,343.2,345.5,349,355.1,355.7,359.9,364,365.2,369,371.7,373,375.6,380.7,383.1,388.5,392.9,394.5,397,399.3,403.3,408.8,407.6,411.3,414.8,420.7,424,429.1,429.9,435.2,444.3,444.2,448.4,453.6,455.8,460.3,467.8,467.9,473,478.6,479.4,488.6,488.2,493.3,502.3,499.9,504.1,507.9,511.1,515.5,525.6,524.9,530.4,538.3,541.2,545.1,556.9,553.5,560.5,566.3,566.1,569.6,577.1,579.8,585.8,588.6,594.9,604.9,607.3,615.8,624,630.5,634.1,642.1,646.3,647.7,661.6,659.9,674.8,681.7,713.7,686.7,692.1,693.6,708.5,714,720.6,728,728.8,733.2,744,743.1,750.1,756,754.8,759.5,770.6,765.5,772.3,783.2,781,787,799.8,800.4,807.2,815.2,825.3,831.6,843.4,840.5,849.4,862.7,859,868.6,859,863.7,873.1,863.6,866.2,867.8,872.8,875.5,889,881,887.4,899.3,895.2,903.4,920.3,918.5,937,940.1,942.3,948.8,955.5,959.2,972.9,970.2,980.6,994.9,1094.5
