"","Table 5#5#5U# Private Fixed Investment in Equipment and Software","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 28, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2009 2:42:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","7","      Communication equipment","C275RC0",1765,2252,2683,3035,2868,2995,3451,3974,4214,4609,5667,6511,6641,6615,8104,8982,9285,10618,13741,16824,20292,24231,27191,28857,29508,34021,36994,39060,39249,43739,43639,45219,43660,46207,48692,56801,63455,70753,80001,87056,98739,123323,109102,83735,81368,83411,83181,91205,97293,100164
"15","8","    Medical equipment and instruments","W176RC0",236,288,320,343,418,479,521,605,821,844,1061,1243,1486,1640,1967,2401,2807,3314,3640,4419,4797,5197,6319,8256,9126,10100,10414,11115,12400,13525,14484,16410,17809,19890,22063,21368,21779,23769,26440,30301,32223,35211,38464,43785,47611,51066,58613,60662,64262,68653
"16","9","      Electro-medical equipment","W878RC0",47,66,75,86,112,128,122,159,186,161,211,261,303,451,507,724,930,1032,1332,1615,1724,1652,2066,3066,3436,4291,4359,4610,4610,4963,5555,6068,6461,7019,7472,7339,7605,8699,10622,12553,12815,14292,15510,19515,20813,24104,28250,27911,30083,33129
"17","10","      Medical instruments","W879RC0",189,223,245,257,306,352,399,446,634,683,850,983,1183,1190,1460,1678,1876,2282,2308,2804,3073,3545,4254,5189,5690,5809,6055,6505,7790,8562,8929,10343,11348,12871,14591,14029,14173,15070,15818,17748,19409,20920,22953,24270,26798,26963,30363,32751,34179,35524
"18","11","    Nonmedical instruments","W177RC0",473,490,479,446,474,495,567,639,722,735,798,892,875,1130,1282,1722,1799,2065,3492,4070,4413,4925,5601,6126,6319,7776,8308,8645,8853,9208,11732,12916,13395,14254,14521,15426,17042,17909,16582,17021,17114,18387,19288,19747,19683,21762,23555,25677,27864,29821
"19","12","    Photocopy and related equipment","C285RC0",247,296,309,392,622,949,1138,1447,1226,1304,1460,1708,2018,2478,3033,3506,3976,4408,4323,5232,5500,6358,7245,7370,7272,9083,8791,9254,9659,10717,11672,11421,12000,12571,14488,15297,14187,13587,12634,12701,10729,9838,6738,4576,5196,4787,4456,4061,3659,4190
"20","13","    Office and accounting equipment","B936RC0",1233,1224,1042,923,978,978,1000,1289,1253,1180,1395,1240,1131,1339,1935,2590,2303,2704,2828,4234,5185,5701,6135,4739,7568,8590,8346,9663,6271,5611,6098,4957,4636,5132,5630,5683,5794,5857,5763,5140,3722,3857,4782,5168,8132,8391,8571,8956,9434,9301
"21","14","  Industrial equipment","A680RC0",8525,9375,8801,9253,10027,11433,13680,16150,16919,17280,19051,20282,19459,21409,26023,30659,31329,34120,39443,47731,56162,60743,65485,62669,58879,68140,72469,75415,76712,84182,93325,92142,89313,92961,102233,113620,128961,136521,140418,147355,149126,162910,151879,141734,142560,142030,159643,178421,193192,193806
"22","15","    Fabricated metal products","C263RC0",949,925,863,793,877,1019,1207,1411,1405,1704,2118,2577,2768,2966,3678,4470,5328,6097,6226,7057,8777,9181,9883,9548,9145,8684,8626,7975,7132,7958,8961,9172,9373,9599,9349,10037,10838,12135,10548,10900,11493,11946,11880,10672,11474,12018,13547,16078,17515,17733
"23","16","    Engines and turbines","A668RC0",584,556,477,425,423,427,450,546,760,940,1104,1265,1453,1685,1691,1816,1743,1770,1737,1849,1877,1930,2335,1973,1769,1935,2182,1868,2509,2719,3261,3115,3829,3663,3518,3886,3291,3979,3744,4427,5481,7101,10797,11578,10052,4746,5476,6874,7903,9786
