"","Table 7#9# Chain-Type Quantity and Price Indexes for Exports and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227"
"25","15","    Durable","B332RG",30.49,33.5,35.9,37.32,37.93,37.93,37.54,36.9,36.08,35.22,34.49,33.97,33.23,33.28,33.65,34.43,36.83,38.38,39.57,40.08,38.67,38.17,37.71,37.33,37.28,37.06,36.87,36.74,36.69,36.67,36.71,36.81,36.97,37.21,37.53,37.91,38.43,38.92,39.41,39.87,40.33,40.55,40.58,40.46,40.04,39.94,39.9,39.92,40.19,40.31,40.52,41.05,41.11,41.15,41.28,41.3,41.56,42.12,41.66,42.3,41.84,41.43,41.11,41.15,41.38,41.7,41.26,41.54,41.67,41.51,41.56,42.27,43,43.12,43.01,42.87,43.69,44.07,44.53,45.52,40.57,40.35,40.32,40.91,41.07,42.91,42,42.71,43.43,43.25,43.89,45.48,45.84,46.89,45.88,45.65,47.61,47.31,46.28,47.32,47.93,47.9,47.86,48.63,49.21,50.72,51.86,53.88,56.9,58.54,62.58,65.22,68.15,70.09,70.69,71.79,73.19,74.54,74.72,77.06,77.05,77.42,78.88,79.87,80.26,82.17,83.19,86.88,88.75,92.72,93.99,94.61,97.76,100.73,103.83,107.21,109.77,110.8,112.18,113.57,114.23,114.56,114.27,113.78,113.17,112.78,112.26,112.18,112.69,112.57,111.53,110.16,108.6,107.75,106.64,105.75,105.38,105.04,105.14,105.41,104.64,104.85,105.37,106.4,107.75,108.66,109.22,109.48,109.86,109.83,109.64,108.93,107.9,108,108.46,108.32,109.04,109.05,108.1,107.7,107.8,107.28,106.93,106.57,106.66,106.84,106.33,105.9,106.03,105.94,105.66,105.24,105.3,104.79,103.97,103.12,102.09,100.68,99.31,97.93,97.61,97.26,96.95,96.3,95.7,95.19,94.42,94.12,93.88,93.67,93.41,93.66,93.58,93.65,93.89,93.78,93.86,93.79,93.45,93.16,93.17,93.13,93.23,93.22
"26","16","    Nondurable","B339RG",16.2,17.71,18.89,19.65,19.99,20,19.79,19.45,19.02,18.57,18.2,17.93,17.57,17.58,17.74,18.1,19.36,20.21,20.9,21.11,20.36,20.12,19.92,19.76,19.7,19.59,19.51,19.44,19.4,19.38,19.4,19.45,19.55,19.68,19.83,20.02,20.29,20.55,20.81,21.05,21.29,21.4,21.42,21.35,21.12,21.07,21.07,21.13,21.36,21.28,21.38,21.55,21.44,21.36,21.51,21.43,21.58,21.89,21.83,22.02,22.03,21.7,21.71,21.7,21.86,21.75,21.64,21.6,21.72,21.62,21.8,22.1,22.59,22.47,22.44,22.3,22.71,22.84,23.18,23.61,29.15,29.04,28.76,28.47,28.64,28.58,28.18,27.89,28.4,28.37,28.73,29.14,29.21,29.77,30.13,30.41,30.75,30.94,31.12,30.57,31.05,31.66,31.85,33.3,35.97,38.82,43.79,47.61,52.51,55.14,58.38,63.29,64.41,60.82,58.92,58.31,58.54,58.6,59,59.08,60.75,62.33,59.3,58.35,60.87,62.71,63.93,65.77,69.38,72.43,74.94,76.98,78.5,77.14,79.34,82.61,84.9,83.91,81.93,80.58,80.63,79.14,76.77,75.26,76,77.01,78.49,81.02,81.32,82.5,80.46,78.32,77.22,76.99,75.28,75.01,73.17,72.07,70.2,71.8,73.58,77.01,76.85,80.15,81.47,86.36,89.38,87.88,89.69,89.55,87.42,86.72,87.21,87.34,87.68,90.13,89.23,87.6,85.92,86.63,85.48,85.98,85.64,85.23,85.16,85.16,85.52,85.57,86.97,88.18,90.06,93.11,96.83,99.9,100.39,99.91,99.93,101.44,100.43,98.19,98.28,98.21,97.88,97.24,94.8,93.5,91.91,90.77,90.22,90.45,91.71,92.86,94.15,95.3,94.99,95.58,95.12,94.05,92.86,90.64,89.78,91.61,94.02,94.78
"27","17","  Services \1\","B646RG",18.99,18.28,17.91,17.79,17.82,17.9,18.05,18.16,18.24,18.33,18.33,18.29,18.35,18.42,18.48,18.61,18.86,19.19,19.58,19.98,20.34,20.62,20.83,21.04,21.28,21.36,21.41,21.39,21.27,21.2,21.21,21.22,21.31,21.36,21.46,21.53,21.47,21.6,21.78,22.05,22.62,22.98,23.27,23.5,23.37,23.26,22.98,22.6,21.9,22.17,22.47,22.67,23.13,23.11,23.12,23.08,22.77,22.91,23.06,23.17,23.51,23.56,23.61,23.69,23.67,23.66,23.69,23.81,23.6,23.81,23.97,24.12,24.38,24.39,24.48,24.59,24.62,24.83,25.04,25.24,25.37,25.55,25.76,26.05,26.43,26.59,26.77,26.98,27.07,27.44,27.83,28.13,28.01,28.47,28.86,29.2,29.93,30.19,30.44,30.66,31.32,31.65,32.06,32.47,32.2,33.06,33.92,34.7,36.28,37.04,38.1,38.85,39.33,39.89,40.62,41.05,41.76,42.18,42.59,43.23,43.63,44.45,45.08,45.94,46.86,47.75,48.59,49.26,49.7,51.05,52.56,54.35,56.42,57.87,59.02,60.3,61.69,62.73,63.92,64.95,65.66,66.9,68,68.69,69.62,69.93,70.43,70.51,69.98,70.75,71.3,72.21,72.36,73,73.79,74.56,75.18,75.43,75.87,76.17,76.71,77.46,78.02,78.63,78.89,79.48,79.87,80.45,81.54,82.25,82.52,83.17,84.27,84.99,86.97,89.63,90.44,90.3,91.02,91.65,92.29,92.95,93.79,94.02,94.03,94.49,94.47,94.87,94.82,95.3,96.19,96.57,97.09,98.16,98.28,98.44,99.43,99.51,100.16,100.9,100.75,101.66,101.53,101.72,101.23,101.35,101.34,101.55,101.29,101.82,102.02,102.14,103.13,103.9,104.42,104.32,103.71,103.15,102.99,101.89,101.9,103.04,103.97,104.12
"28","18","Income receipts","B645RG",13.89,14.5,15.01,15.39,15.65,15.77,15.77,15.7,15.62,15.54,15.5,15.5,15.63,15.73,15.86,16.03,16.3,16.5,16.66,16.77,16.67,16.7,16.74,16.81,16.97,17.05,17.11,17.16,17.14,17.18,17.26,17.36,17.56,17.72,17.88,18.03,18.13,18.28,18.42,18.57,18.74,18.89,19.01,19.11,19.13,19.23,19.34,19.47,19.7,19.89,19.96,20.01,20.2,20.2,20.31,20.23,20.24,20.38,20.5,20.59,20.79,20.85,20.94,21.07,21.1,21.13,21.21,21.38,21.41,21.53,21.62,21.75,21.99,22.09,22.22,22.4,22.63,22.84,23.03,23.29,23.4,23.48,23.69,23.99,24.35,24.63,24.92,25.24,25.49,25.85,26.24,26.55,26.92,27.39,27.58,27.88,28.41,28.85,29.21,29.41,29.8,30.09,30.34,30.83,31.25,31.85,32.45,33.26,33.77,34.42,35.41,36.2,37.21,37.69,38.52,39.17,39.67,40.16,40.79,41.49,42.03,42.9,43.65,44.38,44.99,46.18,47.05,48.07,49,50.02,51.12,52.15,53.37,54.6,55.82,57.33,58.96,59.9,61.27,62.54,63.41,64.09,64.93,65.61,66.05,66.69,67.28,67.79,68.53,69.08,69.6,70.1,70.72,71.3,71.84,72.57,72.95,73.11,73.72,74.31,75.05,75.65,76.3,76.99,77.58,78.39,79.23,80.01,80.96,81.91,82.49,83.23,84.36,85.25,86.33,87.58,88.25,88.72,89.32,89.95,90.66,91.3,91.79,92.38,93.11,93.62,93.97,94.55,95.02,95.61,96.35,96.95,97.48,98.03,98.45,98.9,99.42,99.71,100.13,100.68,101.25,101.46,101.75,102.05,102.08,102.29,102.58,102.88,103.26,103.77,104.29,104.87,105.98,106.49,107.11,107.58,108.28,108.63,108.6,108.73,109.02,109.61,109.95,NA
"29","19","Imports of goods and services","B021RG",15.58,16.69,17.6,18.21,18.62,18.68,18.49,18.19,17.83,17.62,17.52,17.55,17.95,18.3,18.88,19.77,21.38,22.55,23.24,23.35,22.37,21.99,21.61,21.27,21.05,20.87,20.79,20.8,21.06,21.15,21.21,21.21,21.05,21.03,21.03,21.08,21.23,21.36,21.48,21.61,21.76,21.76,21.65,21.47,21.01,20.8,20.66,20.58,20.91,20.88,20.91,21.1,21.08,21.11,21.23,21.17,21.19,21.16,21.13,21.12,20.88,20.92,20.84,20.95,21.14,21.23,21.36,21.48,21.67,21.78,21.75,21.82,21.99,21.9,22.05,22.28,22.39,22.63,22.56,22.7,22.72,22.63,22.63,22.65,22.81,22.98,23.03,23.19,23.29,23.39,23.56,24.17,24.42,24.7,25.31,25.56,26.2,26.29,26.62,27.01,27.47,28.19,28.65,29.29,30.16,32.53,34.06,36.6,42.41,47.28,49.73,51.36,52.13,52.27,51.1,51.17,52.02,52.8,53.75,54.31,56.21,57.78,58.55,59.15,60.15,61.6,62.61,63.7,66.18,69.62,74.84,79.84,86.47,89.61,92.09,93.64,96.11,96.67,94.15,94.36,94.05,92.42,91.32,90.62,88.71,88.71,88.88,88.31,88.58,89.07,87.49,86.41,84.36,84.72,84.66,86.34,86.52,83.82,84.36,85.33,87.54,89.77,90.67,92.1,93.41,95.14,94.19,95.1,96.74,97.86,96.2,96.67,98.02,96.22,98.98,104.49,101.24,98.55,97.44,98.49,97.96,98.59,100.13,99.67,98.16,98.86,97.98,97.74,97.24,98.51,100.12,100.6,101.05,102.84,102.15,101.28,100.87,100.42,99.28,99.43,98.28,96.43,95.82,95.21,92.58,91.58,90.48,90.43,89.57,90.65,91.94,93.19,94.69,94.96,96.03,96.26,95.66,94.22,89.93,90.97,90.61,93.03,94.05,94.38
"30","20","  Goods \1\","B255RG",14.8,16.22,17.36,18.12,18.54,18.59,18.33,17.96,17.59,17.35,17.25,17.32,17.84,18.28,19,20.07,22.05,23.5,24.36,24.49,23.13,22.64,22.17,21.79,21.6,21.44,21.4,21.45,21.79,21.91,22.01,22.03,21.86,21.85,21.87,21.93,22.1,22.25,22.36,22.5,22.66,22.63,22.48,22.23,21.65,21.39,21.2,21.07,21.46,21.39,21.41,21.67,21.7,21.72,21.79,21.64,21.58,21.49,21.48,21.46,21.11,21.07,20.9,20.88,21.01,21.1,21.25,21.38,21.69,21.81,21.73,21.78,21.86,21.67,21.84,22.08,22.11,22.44,22.35,22.53,22.49,22.35,22.35,22.35,22.52,22.69,22.67,22.86,23,23.09,23.22,24.01,24.28,24.52,25.28,25.57,26.03,25.96,26.24,26.54,27.2,28.03,28.47,29.09,29.98,32.4,33.86,36.7,43.51,49.29,52.18,53.95,54.8,54.76,53.09,52.94,53.99,54.96,55.94,56.46,58.63,60.37,61.11,61.58,62.66,64.16,64.96,66.04,68.83,72.63,78.48,84.08,91.44,95.07,97.66,99.45,102.47,103.05,99.76,99.73,99.24,97.44,96.39,95.55,93.16,93.18,93.37,92.67,92.91,93.55,92.16,91.2,88.84,88.8,88.1,89.63,88.98,85.44,85.9,87.09,90.21,92.87,93.74,95.35,96.42,98.32,97.13,98.02,100.18,101.55,99.42,99.77,101.02,98.49,101.32,107.27,103.21,100.41,98.88,99.99,99.23,99.78,101.03,100.81,99.06,99.77,98.89,98.51,97.85,99.34,100.85,101.27,102.06,103.59,102.66,101.73,101.15,100.54,99.13,99.18,97.95,95.73,95.23,94.6,91.89,90.55,89.24,88.99,88.44,89.56,90.93,92.32,93.85,94.12,95.17,95.37,94.48,92.92,91.36,88.71,88.24,90.55,91.15,91.5
"31","21","    Durable","B333RG",21.49,23.5,25.14,26.24,26.87,26.91,26.48,25.88,25.28,24.89,24.7,24.75,25.57,26.19,27.17,28.67,31.32,33.44,34.78,35.08,32.85,32.03,31.24,30.61,30.47,30.25,30.18,30.22,30.53,30.6,30.62,30.58,30.28,30.16,30.1,30.1,30.28,30.41,30.52,30.6,30.8,30.69,30.45,30.08,29.33,28.96,28.59,28.28,28.53,29.23,29.48,29.24,29.34,29.35,29.48,28.97,28.71,28.89,28.96,28.91,28.22,28.31,28.16,27.97,28.11,28.39,28.69,28.77,28.95,29.23,29.01,29.37,28.81,28.95,29.29,29.8,29.49,30.13,29.81,30.13,30.83,30.59,30.33,30.55,30.85,31.14,30.97,31.33,31.46,31.81,31.91,33.05,33.2,33.37,35.02,35.35,36.3,35.98,36.24,36.76,38.12,39.02,39.98,40.93,41.7,45.27,46.5,48.48,49.99,54.28,58.23,61.03,61.94,63.18,61.62,61.33,61.61,62.83,64.01,63.64,65.52,66.9,69.02,69.94,71.92,74.87,77.08,78.24,81.71,82.78,82.57,86.16,89.41,90.41,93.14,95.49,96.49,95.84,94.33,96.44,95.87,95.05,93.02,92.05,92.47,92.31,91.48,91.01,91.02,91.24,89.64,88.66,86.48,86.46,86.65,88.23,90.61,92.37,94.26,95.05,96.72,98.37,98.47,100.85,103.56,106.25,105.22,107.43,107.75,107,105.63,105.35,104.87,104.59,104.96,106.07,106.57,105.18,103.62,104.06,104.52,103.92,104.65,104.43,103.73,104,104.12,104.36,104.42,104.7,105.03,105.72,105.94,106.74,106.29,104.82,103.03,100.86,99,97.1,95.85,95.07,94.57,93.53,92.21,91.19,90.13,89.82,89.78,89.15,88.84,88.8,89.06,89.01,88.82,88.3,88.2,87.57,86.83,86.05,85.6,85.67,85.65,85.35
"32","22","    Nondurable","B340RG",11.77,12.91,13.81,14.4,14.72,14.73,14.52,14.2,13.89,13.68,13.58,13.61,13.97,14.29,14.83,15.66,17.26,18.35,18.94,18.94,17.82,17.4,17.03,16.74,16.61,16.48,16.42,16.43,16.6,16.64,16.64,16.6,16.43,16.37,16.34,16.34,16.43,16.49,16.54,16.57,16.68,16.63,16.5,16.31,15.9,15.67,15.47,15.3,15.35,15.83,15.95,15.8,15.88,15.92,16,15.69,15.51,15.61,15.73,15.67,15.29,15.38,15.34,15.17,15.26,15.47,15.66,15.64,15.74,15.98,15.92,16.03,15.79,15.88,16.09,16.26,16.15,16.59,16.51,16.69,16.2,16.2,16.34,16.2,16.28,16.36,16.44,16.51,16.64,16.56,16.71,17.24,17.58,17.87,18.01,18.26,18.37,18.48,18.76,18.9,19.06,19.83,19.91,20.27,21.24,22.82,24.4,27.78,38.28,45.21,47.36,48.39,49.13,48.18,46.47,46.42,47.96,48.76,49.6,50.69,53.01,54.95,54.77,54.95,55.37,55.8,55.55,56.57,58.8,64.56,75.02,82.19,92.98,98.95,101.53,102.9,107.73,109.51,104.47,102.24,101.89,99.01,99.03,98.32,92.86,93.07,94.4,93.45,94.02,95.23,94.18,93.27,90.73,90.66,88.62,90.03,84.83,73.42,71.84,73.61,78.77,82.88,84.87,85.34,83.96,84.65,83.23,82.13,86.98,91.52,88.28,89.54,93.2,87.53,93.91,107.14,96.17,91.38,89.93,92.04,89.38,91.69,93.72,93.51,90.18,91.56,89.11,87.7,85.77,89.3,92.81,92.75,94.65,97.55,95.72,95.81,97.49,99.9,99.36,103.25,102.14,97.03,96.55,96.79,91.16,89.16,87.31,87.15,85.42,90.37,95.48,100.15,104.7,105.73,109.65,111.49,108.67,105.01,101.65,95.04,94.52,101.73,103.71,105.49
"33","23","  Services \1\","B656RG",19.3,19.31,19.45,19.65,20.02,20.15,20.18,20.11,19.76,19.6,19.47,19.38,19.34,19.44,19.65,19.95,20.38,20.68,20.91,21.04,20.99,20.91,20.76,20.53,20.18,19.95,19.78,19.7,19.85,19.86,19.85,19.82,19.68,19.62,19.6,19.63,19.73,19.83,19.95,20.07,20.23,20.27,20.25,20.16,19.89,19.78,19.75,19.82,19.96,20.03,20.09,20.14,20.03,20.05,20.29,20.41,20.55,20.63,20.58,20.58,20.55,20.74,20.86,21.26,21.57,21.67,21.75,21.85,21.76,21.85,21.93,22.04,22.45,22.57,22.7,22.91,23.22,23.23,23.23,23.23,23.42,23.44,23.46,23.49,23.64,23.81,24.05,24.14,24.13,24.26,24.54,24.65,24.85,25.23,25.42,25.56,26.73,27.29,27.74,28.45,28.27,28.61,29.13,29.88,30.65,32.82,34.63,35.95,38.01,39.51,40.37,41.52,42.02,42.8,43.34,44.17,44.34,44.46,45.29,46.03,46.85,47.72,48.62,49.73,50.43,51.69,53.62,54.71,55.94,57.94,60.58,63.2,66.89,68.06,70.13,70.74,71.13,71.56,71.97,73.1,73.41,72.41,71.17,70.97,70.81,70.76,70.86,70.82,71.13,71.08,68.83,67.36,66.52,68.27,70.51,72.75,76.06,76.75,77.57,77.69,76.33,76.96,77.96,78.66,80.84,81.95,81.92,82.84,82.53,82.66,82.81,83.75,85.44,86.35,88.83,92.62,92.37,90.12,90.63,91.47,91.85,92.78,95.6,94.09,93.61,94.28,93.42,93.83,94.05,94.28,96.38,97.16,95.9,98.93,99.49,98.93,99.4,99.75,100.11,100.74,100.03,100.15,99,98.45,96.27,97.06,97.07,98.15,95.6,96.48,97.35,97.77,99.17,99.35,100.54,100.8,101.74,100.91,81.38,104.08,104.37,107.43,110.92,111.11
"34","24","Income payments","B655RG",13.16,13.65,14.08,14.42,14.67,14.8,14.87,14.86,14.81,14.75,14.74,14.75,14.88,15,15.15,15.33,15.61,15.81,16,16.1,16.05,16.1,16.2,16.28,16.47,16.56,16.64,16.7,16.64,16.64,16.72,16.84,17.02,17.19,17.4,17.6,17.73,17.89,18.07,18.25,18.42,18.54,18.66,18.75,18.76,18.81,18.94,19.11,19.37,19.62,19.76,19.85,20.05,20.05,20.14,20.07,20.03,20.15,20.27,20.36,20.54,20.59,20.68,20.82,20.85,20.85,20.96,21.14,21.16,21.31,21.43,21.57,21.79,21.86,22.01,22.21,22.45,22.69,22.89,23.16,23.23,23.28,23.51,23.83,24.17,24.44,24.79,25.22,25.54,25.94,26.39,26.73,27.06,27.54,27.73,27.97,28.41,28.72,29.01,29.21,29.58,29.82,30.12,30.67,30.98,31.54,32.24,33.15,33.76,34.47,35.51,36.35,37.33,37.81,38.5,38.94,39.01,39.36,39.8,40.39,40.87,41.7,42.52,43.34,44.21,45.36,46.18,47.22,48.18,49.26,50.47,51.6,52.83,54.06,55.18,56.59,58.12,58.99,60.56,61.93,62.71,63.44,64.35,65.07,65.32,65.93,66.51,67.02,67.75,68.33,68.88,69.42,70.09,70.7,71.27,72.01,72.38,72.62,73.28,73.94,74.68,75.43,76.15,77.02,77.35,78.13,79.02,79.73,80.69,81.5,81.86,82.62,83.55,84.73,85.76,86.99,87.78,88.4,89.1,89.81,90.92,91.56,92.08,92.59,92.96,93.32,93.43,94.14,94.41,95.04,96.15,96.78,97.27,97.8,98.25,98.72,99.3,99.65,100.18,100.87,101.72,102.2,102.51,102.94,103.01,103.34,103.7,103.99,104.44,104.94,105.48,105.97,107,107.67,108.26,108.72,109.28,109.66,109.67,109.66,109.86,110.36,110.64,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36"," 1. Exports and imports of certain goods, primarily military equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37"," purchased and sold by the Federal Government, are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38"," services.  Beginning with 1986, repairs and alterations of equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39"," are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
