"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"15","7","      Fabricated metal product manufacturing","PK3323",96.85,96.945,97.108,97.219,97.344,97.419,97.637,97.814,97.884,98.012,98.051,98.055,98.14,98.233,98.321,98.359,98.488,98.638,98.611,98.607,98.671,98.684,98.845,98.763,98.741,98.707,98.687,98.79,98.814,98.881,98.891,98.927,99.032,99.176,99.335,99.359,99.514,99.632,99.892,99.995,99.874,100.01,100.018,100.056,100.147,100.231,100.288,100.36,100.547,100.559,100.624,100.703,100.787,100.747,100.798,100.8,100.819,100.91,100.902,101.009,101.083,101.022,101.011,101.035,101.099,101.148,101.332,101.347,101.393,101.497,101.519,101.545,101.568,101.594,101.603,101.593,101.581,101.598,101.76,101.798,101.902,102.026,102.26,102.457,103.139,103.979,105.449,106.745,107.902,108.632,109.112,109.986,110.535,111.011,111.441,111.593,112.306,113.14,113.433,113.678,113.8,113.985,113.999,114.2,114.376,114.815,115.259,115.551,116.133,116.379,116.538,117.068,117.355,118.25,119.721,120.128
"16","8","      Machinery manufacturing","PK3333",96.501,96.571,96.698,96.869,96.971,96.96,97.105,97.236,97.289,97.394,97.434,97.52,97.582,97.67,97.808,97.94,98.014,98.137,98.183,98.271,98.459,98.452,98.579,98.664,98.813,98.882,98.9,99.039,99.135,99.163,99.204,99.265,99.249,99.371,99.372,99.469,99.559,99.646,99.701,99.777,99.84,100,100.084,100.156,100.251,100.262,100.328,100.425,100.56,100.651,100.716,100.835,100.945,101.041,101.069,101.17,101.2,101.24,101.373,101.379,101.371,101.408,101.547,101.447,101.493,101.5,101.606,101.613,101.728,101.91,101.967,102.018,102.1,102.094,102.087,102.181,102.2,102.357,102.38,102.508,102.703,102.817,102.779,102.957,103.076,103.385,103.683,104.025,104.258,104.519,104.939,105.073,105.413,105.748,106.053,106.387,107.05,107.365,107.774,107.946,108.449,108.677,108.955,109.197,109.418,109.702,109.96,110.343,110.794,111.038,111.402,111.479,111.775,112.281,112.504,112.792
"17","9","      Computer and electronic product manufacturing","PK3343",121.271,120.544,120.027,119.686,117.947,117.389,117.052,116.003,115.482,114.673,114.209,113.867,113.208,112.412,111.806,110.968,110.41,110.028,109.505,108.841,108.377,107.849,107.484,106.842,106.406,106.054,105.683,105.179,104.782,104.244,103.35,103.236,102.759,102.421,102.051,101.558,101.108,100.785,100.522,100.287,99.787,99.874,100.049,100.075,99.88,99.588,99.378,98.846,98.711,98.381,97.992,97.484,97.257,96.791,96.448,95.729,95.566,95.38,95.228,95.058,94.948,94.583,94.582,93.96,93.674,93.414,92.781,92.49,92.345,91.832,91.459,90.697,90.418,89.772,89.627,89.599,89.418,88.98,88.62,87.669,87.327,86.958,86.957,86.389,86.234,86.012,85.788,85.726,85.579,85.491,85.201,85.105,84.876,84.682,84.27,84.344,83.999,83.881,83.738,83.521,83.271,83.142,83.114,83.179,82.643,82.425,82.133,81.794,81.623,81.427,81.303,81.522,80.877,81.279,81.415,81.392
"18","10","      Electrical equipment, appliance, and component manufacturing","PK3353",98.988,99.132,99.475,99.49,99.717,99.773,99.607,99.471,99.419,99.351,99.247,99.225,99.132,98.954,99.145,99.106,99.102,99.292,99.199,99.243,99.31,99.129,99.055,98.931,98.889,98.581,98.511,98.427,98.572,98.458,98.72,98.888,99.25,99.387,99.347,99.366,99.561,99.895,100.012,99.863,99.977,99.932,100.015,100.15,100.154,100.26,100.119,100.074,100.162,100.106,100.117,99.958,99.893,99.869,99.745,99.657,99.725,99.574,99.636,99.675,99.739,99.739,99.428,99.469,99.306,99.402,99.376,99.404,99.292,99.282,99.327,99.262,99.402,99.036,99.036,99.086,99.1,99.199,99.138,99.25,99.256,99.387,99.593,99.897,100.106,100.641,101.797,102.58,103.166,103.283,103.339,103.694,103.999,104.52,104.69,104.888,106.008,106.491,107.002,107.154,107.114,107.46,107.841,107.956,108.477,109.304,110.803,111.537,112.181,112.536,112.776,114.15,117.08,117.664,117.912,119.531
"19","11","      Transportation equipment manufacturing","PK3363",99.568,99.558,99.572,99.396,99.173,99.19,98.874,99.063,99.092,98.951,98.76,98.553,98.521,98.6,98.702,98.659,98.502,98.382,98.807,98.707,98.885,99.003,99.107,98.909,98.735,98.942,98.8,98.84,98.94,98.853,98.709,98.841,98.963,99.588,99.445,99.509,99.545,99.617,99.747,99.744,100.065,99.982,100.218,100.14,100.385,100.018,100.346,100.315,100.318,99.781,100.091,100.434,100.192,100.284,100.649,100.646,101.032,99.701,99.808,100.152,99.856,100.223,100.145,100.06,99.982,100.167,99.76,99.577,99.858,99.839,99.87,99.649,99.904,100.089,101.111,99.998,100.171,100.157,100.342,100.675,100.613,101.167,101.3,101.249,101.229,101.293,101.685,101.773,102.155,102.701,102.192,102.388,102.687,103.229,103.428,103.807,104.018,103.657,103.642,103.799,103.884,103.48,104.007,103.913,104.354,103.644,103.536,103.443,103.808,104.312,104.251,104.488,104.409,104.865,104.41,103.465
"20","12","        Motor vehicle and parts manufacturing","PK3MV3",100.781,100.753,100.757,100.548,100.191,100.209,99.723,99.956,100.006,99.861,99.585,99.279,99.319,99.404,99.51,99.39,99.113,98.954,99.416,99.281,99.473,99.688,99.827,99.537,99.269,99.527,99.316,99.452,99.568,99.437,99.237,99.393,99.5,100.127,99.875,99.884,99.894,99.761,99.899,99.814,100.18,99.97,100.169,100.028,100.279,99.786,100.173,100.104,100.042,99.212,99.599,99.997,99.585,99.646,100.096,100.021,100.472,98.574,98.715,99.136,98.728,99.179,99.025,98.937,98.794,99.023,98.349,98.04,98.382,98.3,98.274,97.903,98.138,98.332,99.601,98.047,98.19,98.096,98.293,98.658,98.514,99.009,99.163,99.003,98.862,98.889,99.354,99.279,99.753,100.341,99.444,99.582,99.91,100.434,100.559,100.933,100.944,100.405,100.166,100.378,100.361,99.799,100.428,100.179,100.675,99.498,99.256,98.957,99.225,99.773,99.961,100.053,99.987,100.519,99.84,98.444
"21","13","        Other transportation equipment manufacturing","PK3OT3",96.379,96.406,96.435,96.336,96.447,96.456,96.578,96.648,96.613,96.476,96.517,96.564,96.357,96.417,96.51,96.655,96.813,96.787,97.13,97.113,97.256,97.143,97.163,97.203,97.267,97.339,97.384,97.164,97.218,97.252,97.254,97.317,97.473,98.089,98.244,98.46,98.562,99.223,99.318,99.548,99.74,99.988,100.33,100.423,100.653,100.63,100.808,100.895,101.105,101.295,101.413,101.6,101.807,101.975,102.128,102.314,102.554,102.619,102.651,102.81,102.797,102.948,103.06,102.986,103.09,103.153,103.496,103.677,103.78,103.928,104.112,104.285,104.633,104.792,105.091,105.29,105.547,105.772,105.925,106.153,106.348,107.084,107.151,107.436,107.799,107.973,108.13,108.732,108.825,109.239,109.892,110.259,110.469,111.062,111.477,111.855,112.666,112.84,113.488,113.494,113.854,113.905,114.139,114.471,114.711,115.364,115.564,115.917,116.658,117.04,116.318,116.936,116.818,117.073,117.21,117.419
"22","14","      Furniture and related product manufacturing","PK3373",95.452,95.571,95.544,95.872,95.96,95.985,96.214,96.16,96.373,96.336,96.579,96.643,96.775,96.916,96.966,96.967,97.212,97.145,97.146,97.252,97.288,97.479,97.503,97.65,97.77,97.816,97.824,97.903,98.061,98.269,98.421,98.707,98.807,98.912,99.012,99.141,99.248,99.367,99.642,99.837,99.95,100.016,100.136,100.268,100.252,100.3,100.424,100.498,100.652,100.851,100.98,101.101,101.28,101.396,101.473,101.438,101.551,101.605,101.644,101.639,101.759,101.878,101.849,101.813,101.888,102.029,102.391,102.494,102.793,102.864,102.934,102.897,103.061,103.015,103.048,103.185,103.243,103.304,103.381,103.402,103.157,103.365,103.335,103.542,103.436,103.843,104.054,104.105,104.452,104.696,104.907,105.492,105.608,105.745,106.698,107.035,107.347,107.721,107.764,108.123,108.608,108.799,109.215,109.169,109.508,109.874,110.119,110.513,110.976,111.24,111.068,111.08,111.603,111.734,111.974,112.132
"23","15","      Miscellaneous durable goods manufacturing","PK3393",97.431,97.413,97.558,97.736,97.78,97.92,97.93,98.039,98.084,98.142,98.1,98.043,98.07,98.116,98.22,98.212,98.279,98.291,98.408,98.487,98.679,98.73,98.804,98.816,98.821,98.738,98.981,99.126,99.094,99.024,99.063,99.022,98.975,99.25,99.219,99.355,99.416,99.724,99.752,99.628,99.597,99.827,99.996,100.128,100.24,100.384,100.519,100.697,100.904,100.909,101.017,101.097,101.331,101.417,101.59,101.729,101.932,101.955,102.076,102.11,102.107,102.373,102.311,102.52,102.513,102.689,102.747,102.813,102.936,103.119,103.202,103.207,103.482,103.532,103.625,103.756,103.725,103.828,104.004,104.075,104.048,104.183,104.245,104.325,104.581,104.802,104.791,104.96,105.014,105.35,105.42,105.759,106.077,105.662,105.741,106.073,106.391,106.638,106.814,106.759,107.072,107.127,107.31,107.394,107.541,107.782,107.922,108.092,108.22,108.244,108.582,108.896,109.432,109.153,109.472,109.771
"24","16","    Nondurable goods manufacturing industries","PK30N3",94.875,94.669,94.457,93.905,93.627,93.436,93.174,93.783,93.703,93.577,93.644,93.668,92.659,92.32,92.025,91.98,91.975,91.874,91.869,91.479,91.117,91.14,90.96,90.885,91.081,90.462,90.915,92.037,92.123,92.372,93.204,94.165,94.928,95.225,95.799,96.832,97.046,98.56,99.754,98.916,99.028,100.516,100.542,99.901,100.9,101.051,101.716,102.14,102.108,102.155,101.668,102.286,102.539,102.068,100.381,100.413,101.219,98.89,97.947,96.917,96.78,96.757,97.855,98.977,98.234,98.885,99.721,99.843,101.407,101.72,101.475,101.834,103.244,106.062,106.746,103.787,102.892,104.115,104.379,105.068,104.832,105.412,106.156,106.957,107.925,108.062,108.313,110.076,111.714,111.809,112.836,112.929,113.176,115.125,116.989,115.901,116.212,117.35,119.187,119.9,119.181,120.622,122.523,123.427,126.034,128.017,126.538,127.55,127.897,126.679,127.299,129.249,130.638,133.365,133.577,133.763
"25","17","      Food manufacturing","PK3113",102.787,102.582,103.612,103.751,104.393,103.543,102.885,103.255,103.023,102.308,102.537,102.251,100.585,100.755,100.118,99.823,100.246,100.578,100.694,101.144,100.702,100.113,100.263,99.825,100.202,99.076,98.472,97.333,98.185,98.621,98.131,99.052,99.574,99.676,99.227,98.999,98.776,99.105,99.43,100.031,100.801,100.866,100.619,99.633,99.633,99.864,100.079,101.13,101.582,101.844,102.56,103.114,103.958,104.273,104.562,105.293,105.023,104.525,102.894,102.443,102.272,102.461,102.549,101.974,101.361,101.751,102.176,102.067,105.778,102.554,102.537,103.577,104.786,105.423,105.494,105.66,106.314,107.823,107.641,108.428,109.829,112.38,112.831,112.329,111.135,111.85,113.912,117.257,119.61,118.789,116.901,114.66,113.829,113.448,113.228,114.086,114.769,114.931,115.995,116.205,116.798,116.214,115.978,115.649,115.906,116.424,116.116,116.098,116.527,115.155,114.873,113.778,114.196,115.721,116.126,116.342
"26","18","      Beverage and tobacco product manufacturing","PK3123",79.888,79.825,80.219,80.86,81.13,81.108,81.189,81.065,81.723,81.798,81.738,82.057,82.177,82.634,82.746,83.731,84.493,84.617,84.672,85.431,85.728,85.923,86.142,93.874,93.706,94.115,94.06,94.124,94.293,94.331,94.787,94.843,98.076,98.201,98.233,98.488,96.992,99.432,99.372,98.807,99.706,99.739,99.812,100.987,101.132,101.275,101.198,101.534,104.243,104.453,104.666,104.472,106.764,106.874,106.975,107.039,107.107,107.38,108.194,108.265,107.505,107.693,107.547,109.261,109.397,109.595,109.681,109.761,110.174,109.785,110.393,107.886,107.425,107.089,107.574,107.259,107.478,107.553,107.756,107.674,107.752,108.566,108.369,108.859,109.696,109.467,109.012,110.053,108.863,109.932,109.562,110.05,109.735,110.169,110.159,110.697,112.519,112.435,112.743,113.074,113.49,113.695,114.003,114.351,114.654,114.443,114.803,114.919,114.669,115.177,115.392,115.178,115.441,115.878,115.356,115.353
"27","19","      Textile mills","PK3133",103.958,104.07,103.98,103.979,104.098,104.126,104.068,104.013,104.131,104.202,104.023,104.308,104.154,104.276,104.116,104.143,104.06,103.84,103.521,103.477,103.117,102.485,102.316,102.234,101.693,101.356,101.342,100.977,100.714,100.313,100.155,100.253,100.067,100.177,99.898,99.737,100.117,100.061,99.956,100.138,100.016,99.673,99.982,100.087,99.985,99.753,100.126,100.114,100.224,100.332,100.325,100.308,99.893,99.954,99.273,99.084,98.969,98.613,98.417,98.408,98.1,97.904,97.938,97.792,97.759,97.816,97.757,97.512,97.63,97.484,97.432,97.705,97.074,96.942,96.813,97.024,97.484,97.062,97.21,97.495,97.253,97.479,97.622,97.523,97.983,98.06,97.887,98.568,99.126,99.538,99.611,99.275,99.385,99.633,99.681,99.539,100.39,100.407,100.554,100.903,101.341,101.388,101.6,101.631,102.136,102.587,102.7,102.986,103.525,103.948,104.006,104.006,104.413,104.53,104.79,104.855
"28","20","      Textile product mills","PK3143",98.79,98.633,99.093,98.173,98.367,98.483,98.899,98.839,98.952,99.096,99.536,99.557,99.485,99.504,99.548,99.499,99.535,99.638,99.428,99.431,99.305,99.226,99.449,99.292,98.847,98.652,98.974,98.81,98.793,99.342,99.016,99.014,99.185,99.285,99.303,99.169,98.875,99.25,99.733,99.737,99.846,100.479,100.166,100.446,100.054,100.44,100.278,100.865,101.235,101.514,100.888,101.491,101.288,101.197,101.773,101.256,100.749,101.533,101.261,101.05,101.515,101.144,100.94,101.24,100.888,101.321,101.601,101.608,101.16,101.069,101.418,100.845,101.03,100.981,101.232,101.465,101.659,102.505,102.471,102.462,102.245,102.578,103.58,102.266,102.205,102.279,101.39,102.461,103.424,104.122,104.431,104.978,104.913,105.347,106.437,106.331,106.042,106.317,107.314,107.584,107.58,107.731,107.838,107.839,108.114,108.308,109.626,109.415,110.276,110.671,110.246,110.062,110.457,110.067,110.17,110.384
"29","21","      Apparel manufacturing","PK3153",98.645,98.699,98.812,98.531,98.866,98.954,98.99,99.109,99.146,98.924,99.215,99.212,99.414,99.392,99.372,99.521,99.597,99.664,99.731,99.653,99.857,99.977,99.768,99.779,99.908,99.722,99.827,99.811,99.948,99.521,99.399,99.882,99.907,99.835,99.798,99.975,99.845,99.903,99.965,99.947,99.867,99.898,100.133,100.082,100.106,100.128,100.057,100.089,100.093,100.089,99.878,99.833,99.813,99.684,99.683,99.74,99.666,99.601,99.564,99.235,99.219,99.09,98.89,98.731,98.842,99.041,98.927,98.935,98.955,99.063,99.096,99.239,98.776,98.767,98.924,98.732,98.452,98.337,98.173,98.639,98.788,98.792,98.756,98.712,98.629,98.427,98.483,98.544,98.7,98.423,98.344,98.402,98.852,99.019,99.174,99.118,98.914,98.726,98.37,98.227,98.347,98.522,98.443,98.525,98.835,98.479,98.367,98.33,98.544,98.77,98.759,98.746,98.617,98.511,98.449,99.112
