"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"11","3","S1 QN441ZZZMG   Motor vehicle and parts dealers","T060030",51355,49809,50231,51004,51366,53210,52908,53502,53271,53058,53622,54042,53836,55718,55903,54853,55623,55418,55563,54840,56588,56613,56076,55929,57050,57528,57160,56695,55073,57016,58189,58883,58317,57642,58761,59086,58797,58222,59676,61057,61997,62884,59808,58594,60549,62836,63196,63690,64087,64778,64970,65485,67007,66520,67725,68832,68126,67773,69107,69076,71299,72381,71525,69162,68416,69035,68404,68249,70118,69162,67307,66067,68124,68558,68055,69286,68983,68919,67942,68478,66771,83101,74653,70599,69846,70874,69211,70793,67446,69872,72582,74819,70234,69570,70345,72309,72920,69705,71856,72834,73103,73898,74659,77094,75180,74475,76493,74826,73938,75386,76444,73855,76753,72421,75413,75644,78753,77958,76843,78828,76386,76830,76271,77474,75535,80435,84817,75960,72503,70416,74850,75402,78772,75545,76262,76430,74744,75245,77250,75583,75641,76916,77504,78401,76978,77447,77373,77099,77848,75682,75962,77570,78845,79696,77876,76612,75746,74397,74002,72223,71055,68358,66023,67566,64058,60635,59972,59055,60596,58719,57322,57254,57843,58460,59599,65420,55761,59428
"12","4","S4 QN4411ZZMG     Automobile dealers","T060040",44182,42821,43034,43799,44128,45770,45556,45999,45564,45447,46306,46428,46235,48079,48407,47197,47903,47557,47759,46819,48721,48613,47989,47759,48893,49317,48841,48431,46959,48755,49896,50380,49796,49297,50149,50682,50198,49557,50947,52338,52997,54112,50824,49741,51523,53631,54250,54536,55087,55337,55718,56039,57472,57106,58247,59254,58473,57950,59262,59214,60802,62310,61274,59369,58579,59077,58772,58354,59821,59297,57462,56097,58265,59055,58649,59291,59160,59103,57988,58630,57304,73278,64651,60625,59721,60474,59308,60626,57466,59849,62516,64684,60068,59737,60384,62174,62736,59783,61604,62357,62542,63321,63798,66075,64043,63184,65318,63594,62892,63948,64778,62495,65240,61172,63842,64138,67399,66325,65340,66662,64646,64709,64197,65065,63619,68319,72838,64034,60860,58776,62696,63395,66054,63234,64130,64148,62817,63440,65321,63911,63612,64750,65248,66004,64665,65662,65053,64905,65415,63546,63764,65125,66351,66965,65531,64289,63672,62079,61871,60094,58748,56094,53958,55594,52370,49270,48631,47790,49232,47495,46111,46284,46691,47334,48377,54120,44132,48175
"13","5","S4 QN4412ZZMG     Other motor vehicle dealers","T060050",2327,2252,2423,2336,2380,2492,2431,2497,2693,2594,2168,2521,2503,2448,2312,2448,2479,2610,2494,2808,2598,2618,2735,2762,2724,2767,2817,2758,2692,2732,2753,2905,2888,2792,2968,2923,2996,3052,3037,3058,3223,3092,3307,3199,3325,3456,3253,3395,3193,3599,3450,3534,3636,3512,3534,3686,3584,3770,3715,3824,4455,4100,4180,3888,3863,3966,3739,3941,4072,3965,4015,4013,4277,3870,3770,4282,4116,4099,4266,4128,3870,4108,4363,4335,4426,4674,4253,4428,4270,4262,4306,4391,4460,4133,4312,4474,4551,4288,4508,4754,4801,4780,5024,5203,5198,5394,5236,5319,5231,5452,5571,5405,5511,5313,5599,5546,5415,5630,5453,5921,5446,5885,5970,6158,5798,5927,5863,5781,5600,5551,5810,5630,6234,5929,5796,6021,5788,5625,5721,5505,5780,5964,6121,6122,6134,5640,5982,6002,6149,5899,5977,6203,6284,6419,6189,6219,6039,6218,6035,5983,6092,5963,5914,5915,5583,5238,5164,5089,5250,5069,5141,4941,5148,5188,5320,5533,5725,5447
"14","6","S2 QN4413ZZMG     Automotive parts, accessories and tire stores","T060060",4880,4773,4814,4908,4897,4982,4954,5043,5059,5060,5183,5133,5139,5222,5208,5247,5276,5293,5352,5265,5302,5424,5403,5465,5480,5490,5558,5566,5486,5586,5588,5651,5692,5609,5704,5522,5662,5680,5751,5705,5829,5712,5744,5726,5764,5802,5730,5801,5842,5888,5839,5957,5932,5935,5970,5905,6104,6096,6166,6068,6072,5975,6092,5925,6008,6023,5915,5987,6271,5921,5861,6009,5592,5635,5639,5723,5716,5728,5707,5734,5607,5628,5607,5635,5704,5733,5654,5742,5728,5768,5753,5726,5713,5702,5648,5655,5627,5636,5746,5723,5760,5798,5839,5814,5941,5899,5942,5914,5817,5986,6094,5956,6002,5937,5972,5959,5940,6003,6047,6247,6294,6239,6106,6253,6119,6189,6122,6144,6041,6085,6341,6373,6482,6377,6331,6258,6136,6179,6212,6170,6243,6201,6138,6274,6178,6154,6332,6192,6282,6228,6214,6243,6221,6323,6168,6114,6047,6095,6092,6122,6172,6222,6062,5999,6004,5986,6021,6007,5976,5984,5883,5858,5838,5791,5772,5743,5700,5680
"15","7","S1 QN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T060070",7432,7320,7329,7276,7462,7584,7527,7621,7696,7780,7945,7915,7741,7845,8031,8118,8178,8191,8168,8192,8369,8364,8283,8263,8252,8443,8456,8647,8611,8677,8812,8940,8971,8982,9143,9207,9343,9405,9364,9335,9412,9622,9695,9847,9811,9890,10141,10218,10121,10323,10495,10473,10704,10867,10918,11143,11403,11411,11392,11597,11816,11968,11974,12171,12048,11947,12015,12157,12202,12176,12066,11751,12296,12168,12208,12161,12267,12448,12587,12679,12421,12721,13133,13441,13359,13588,13620,13588,13701,13650,13549,13649,13767,13820,14013,14190,13975,13659,14094,14263,14785,14978,15183,15469,15661,15796,16040,16237,16120,16256,16609,16671,16682,16988,17410,17333,17412,17604,17681,18015,17978,18425,18326,18449,18401,18846,18864,19187,19550,19772,19735,19644,20686,20358,20492,20497,20534,20911,20873,20988,21469,21175,21528,21944,22201,21896,21910,21916,21978,21780,22145,22512,22644,22723,23333,22899,22785,22503,22551,22865,23202,22809,22805,22358,22018,21770,22042,21240,22085,22276,21072,20957,20852,20981,21159,21432,21741,21779
"16","8","S1 QN442ZZZMG     Furniture and home furnishings stores","T060080",5391,5234,5207,5250,5301,5331,5369,5340,5398,5438,5622,5485,5306,5471,5609,5632,5673,5717,5754,5694,5762,5804,5819,5802,5856,5917,5916,5952,5965,5987,6030,6167,6183,6183,6303,6326,6390,6388,6331,6318,6335,6394,6378,6390,6434,6496,6668,6710,6566,6775,6824,6746,6897,7006,6925,7191,7354,7347,7380,7397,7507,7595,7590,7692,7716,7693,7711,7735,7648,7700,7583,7179,7757,7607,7593,7567,7631,7692,7737,7743,7539,7665,7836,8010,8005,8126,8106,8037,8105,7977,7899,8028,8016,8010,8215,8238,8134,7822,8230,8255,8510,8561,8577,8640,8765,8808,8961,8962,8915,8964,9211,9152,9023,9177,9541,9399,9345,9481,9434,9664,9537,9674,9568,9675,9611,9873,9808,9955,10169,10166,10164,10084,10381,10331,10342,10254,10197,10371,10238,10238,10513,10264,10255,10307,10595,10371,10416,10404,10340,10174,10286,10350,10337,10324,10314,10219,10125,9916,9913,9998,9981,9719,9678,9415,9148,9055,8977,8912,8802,8782,8539,8486,8451,8403,8469,8472,8497,8482
"17","9","S4 QN4421ZZMG       Furniture Stores","T060090",3111,2995,3012,2997,3054,3087,3090,3099,3118,3173,3196,3102,2989,3165,3228,3262,3248,3245,3269,3214,3265,3287,3282,3281,3343,3408,3339,3363,3386,3380,3409,3517,3490,3516,3591,3641,3655,3641,3606,3601,3592,3628,3608,3594,3640,3654,3746,3705,3704,3778,3807,3701,3825,3861,3837,3949,4051,4037,4039,4092,4103,4173,4166,4270,4291,4270,4305,4301,4202,4239,4177,3994,4267,4186,4185,4185,4189,4278,4301,4280,4178,4252,4369,4467,4422,4484,4464,4447,4467,4367,4304,4324,4357,4348,4447,4383,4369,4202,4437,4425,4543,4523,4569,4634,4635,4696,4761,4816,4807,4750,4837,4854,4864,4901,5122,5014,4948,5048,5079,5229,5068,5209,5159,5181,5139,5331,5305,5388,5527,5507,5474,5396,5506,5453,5468,5396,5328,5444,5433,5470,5531,5456,5476,5451,5554,5551,5468,5504,5491,5367,5428,5398,5522,5500,5465,5465,5489,5287,5335,5341,5348,5123,5112,5091,4868,4801,4784,4840,4755,4839,4616,4512,4524,4508,4520,4593,4606,4569
"18","10","S4 QN4422ZZMG       Home furnishings stores","T060100",2274,2235,2189,2249,2241,2238,2275,2235,2273,2258,2422,2380,2315,2300,2375,2364,2420,2469,2482,2477,2494,2514,2535,2518,2509,2504,2574,2586,2576,2604,2618,2646,2690,2662,2708,2678,2730,2743,2721,2713,2739,2762,2767,2793,2791,2839,2919,3005,2859,2995,3015,3045,3070,3144,3087,3242,3303,3310,3341,3304,3405,3422,3424,3420,3423,3422,3405,3433,3446,3460,3405,3184,3489,3421,3408,3380,3442,3413,3434,3462,3360,3413,3466,3542,3583,3642,3641,3590,3638,3609,3594,3704,3659,3662,3768,3855,3765,3620,3792,3830,3968,4039,4008,4006,4131,4113,4201,4145,4107,4215,4376,4299,4158,4276,4419,4385,4398,4434,4354,4434,4469,4465,4409,4493,4472,4542,4503,4567,4641,4658,4689,4688,4875,4879,4875,4858,4870,4928,4806,4767,4983,4808,4778,4856,5042,4819,4949,4900,4850,4808,4858,4954,4815,4824,4849,4753,4635,4629,4577,4656,4632,4596,4566,4323,4280,4255,4193,4071,4046,3942,3922,3974,3927,3895,3949,3878,3890,3912
"19","11","S1 QN443ZZZMG     Electronics and appliance stores","T060110",2495,2492,2511,2455,2557,2625,2569,2647,2670,2708,2733,2779,2746,2738,2799,2847,2868,2856,2822,2868,2957,2933,2869,2863,2828,2931,2941,3057,3025,3061,3134,3153,3167,3175,3227,3261,3325,3371,3372,3358,3405,3527,3591,3699,3646,3670,3759,3793,3805,3834,3937,3968,4054,4114,4204,4214,4315,4325,4289,4441,4544,4609,4616,4708,4593,4526,4568,4667,4762,4705,4695,4715,4762,4761,4805,4784,4826,4935,5021,5094,5025,5188,5415,5549,5482,5590,5633,5658,5705,5760,5734,5719,5834,5886,5892,6032,5923,5895,5950,6082,6345,6478,6654,6864,6933,7022,7115,7299,7232,7316,7429,7541,7669,7821,7889,7947,8074,8133,8252,8359,8445,8752,8757,8774,8790,8973,9056,9231,9380,9607,9571,9560,10315,10029,10154,10253,10353,10557,10662,10784,10985,10951,11337,11722,11669,11600,11562,11582,11723,11703,11970,12296,12457,12560,13247,12883,12873,12818,12875,13121,13522,13410,13459,13291,13252,13090,13509,12667,13800,14051,12971,12909,12832,13054,13172,13496,13832,13902
"20","12","S1 QN444ZZZMG   Building material and garden equipment and supplies dealers","T060120",15427,15321,15189,15008,14921,15254,15288,15332,15434,15606,15877,16412,15810,15884,16002,16191,16167,16689,16589,16640,16456,16712,16808,16353,16617,16902,17099,16963,16983,17183,17274,17347,17591,17738,17672,17805,17977,18070,18176,18451,18670,18719,18846,18769,19188,19610,19779,20148,20085,20326,20063,20090,20128,20024,19961,20184,20206,20848,21193,21270,21578,21303,22314,21026,21236,21187,21307,21525,21498,21573,21421,22231,22100,22598,22361,23144,22873,22557,22658,22491,22141,22840,22916,22845,23407,23600,23144,23976,23736,23750,23683,23719,23882,23840,24209,23578,24587,23135,24479,24287,24518,25383,25685,25853,25542,25914,25867,25791,25497,25261,27512,26760,26398,26835,26746,26631,26982,27084,27574,28234,28293,27813,28078,28820,28674,28652,28519,28683,29037,29462,29980,29593,31539,31452,31504,30861,29696,29478,29441,29708,29191,29734,29509,29931,29839,29569,30073,28921,29903,29062,28970,28953,28925,28568,29587,28664,28621,28583,28081,28406,28073,28217,28019,27262,26977,26757,26279,25816,25867,25875,25778,25397,25479,25347,24895,24569,24484,23947
"21","13","S2 QN4441ZZMG     Building material and supplies dealers","T060130",13261,13103,13008,12864,12791,13028,12984,13007,13212,13327,13587,14150,13596,13648,13848,13909,13951,14319,14207,14240,14079,14260,14340,13981,14158,14423,14520,14555,14507,14645,14668,14700,14917,15054,14965,15021,15203,15271,15330,15518,15738,15957,16110,16039,16307,16666,16757,17058,17040,17286,17187,17195,17171,17061,16988,17208,17297,17830,18119,18176,18326,18157,19039,18210,18496,18414,18512,18517,18488,18676,18418,18989,18999,19364,19393,19799,19499,19452,19610,19729,19306,19911,20027,20087,20352,20482,20191,20978,20714,20676,20676,20778,20970,20951,21198,20673,21570,20247,21469,21354,21500,22205,22542,22723,22578,22975,22994,22822,22614,22333,24228,23761,23507,23955,23851,23576,23837,23894,24474,25011,25174,24643,24996,25688,25518,25565,25481,25551,26039,26375,26834,26561,28372,28393,28354,27515,26616,26395,26293,26576,25945,26534,26323,26745,26755,26391,26556,25993,26659,26011,25917,25840,25644,25236,25903,25572,25389,25213,24808,25361,24874,24967,24802,24097,23857,23626,22979,22326,22254,22355,22286,21907,22085,21695,21418,21201,21235,20572
"22","14","S3 QN4442ZZMG     Lawn and garden equipment and supplies stores","T060140",2181,2236,2198,2160,2146,2245,2328,2349,2241,2299,2310,2282,2233,2256,2176,2301,2238,2390,2402,2419,2397,2472,2488,2391,2478,2498,2599,2426,2495,2558,2627,2670,2697,2707,2731,2810,2799,2825,2874,2966,2963,2782,2753,2747,2905,2968,3049,3119,3072,3065,2888,2908,2975,2983,2996,2995,2921,3033,3089,3110,3279,3166,3295,2816,2734,2768,2792,3014,3017,2899,3010,3250,3108,3239,2974,3354,3385,3109,3052,2758,2835,2929,2888,2753,3057,3121,2953,2995,3022,3075,3007,2938,2909,2886,3008,2903,3015,2885,3008,2931,3015,3175,3141,3128,2962,2938,2873,2967,2882,2926,3280,2998,2892,2882,2896,3055,3145,3190,3100,3223,3118,3172,3080,3131,3156,3087,3038,3131,3000,3087,3147,3034,3170,3064,3153,3345,3081,3084,3148,3133,3243,3198,3185,3188,3094,3180,3495,2945,3241,3058,3060,3113,3262,3300,3620,3096,3216,3331,3242,3068,3181,3223,3191,3130,3087,3090,3201,3335,3434,3362,3338,3327,3254,3453,3306,3213,3117,3208
"23","15","S1 QN445ZZZMG   Food and beverage stores","T060150",43183,42577,42652,42194,42462,42520,42285,42377,42322,42285,42253,42688,42613,42328,42226,42318,42243,42253,42257,42201,42048,42073,42031,41973,42258,42022,42257,42060,42027,42041,42199,42281,42277,42269,42255,42149,41956,41966,42185,42030,42119,42298,42275,42251,42382,42257,42400,42648,42325,42669,42628,42812,42899,42663,42752,42809,43018,42663,42779,44283,42069,42409,42729,43141,42668,43066,42735,42705,42654,42943,42843,43161,42877,42949,42888,43039,43128,43015,42964,43098,43138,43170,43191,43556,42959,42915,42901,41963,42433,42394,42486,42298,42201,42419,42705,42563,43002,42777,42707,42838,42361,42736,43044,42975,42883,42791,42607,42418,43265,42792,43210,43071,42934,42986,42905,43090,43507,43286,43404,43556,43906,43957,43998,43795,43861,43988,43889,44166,44319,44359,44280,44344,44148,44619,44358,44575,44903,44805,44795,45033,44574,45610,45359,45645,45542,45572,45240,45121,45288,45189,45469,45091,45360,45589,45716,45864,45632,45512,45740,45733,45387,45535,45114,45195,44860,44669,44741,43659,44320,44087,44243,44219,44553,44464,44495,44666,45031,45041
