"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"21","13","  Change in private inventories","A014RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.9,37.7,8.2,16.5,3.2,26.8,62,32.8,43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,17.3,44.9,36.1,12.6,-12.5,-14.2,-38.1,-80.3,-161.6,-183,-178.7,-56.5,39.9,64.6,92.3,38.3,49.1,39.1,-2,52.2,69.5
"22","14","Net exports of goods and services","A019RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-117,-114.6,-81.9,-81.5,-101.6,-108.9,-134.3,-97.9,-125,-123.2,-141.7,-169.3,-209.9,-250.8,-273,-276.3,-318.8,-350.7,-374.2,-382,-423.8,-439.2,-467,-475.3,-466.6,-456.1,-476.3,-488.4,-510.2,-534.6,-553.9,-595.2,-584.9,-612.4,-602.8,-614.6,-632.2,-686.9,-705.7,-726.6,-714.8,-709.3,-721.4,-745.4,-732.8,-733.2,-756.8,-694.7,-703.2,-689.4,-638.1,-564.6,-550.2,-486.2,-464.6,-478,-404.2,-331.8,-352.4,-346.9,-376.8,-437.4,-458.7,-414.2,-424.4,-416.4,-402.8,-410.8,-410.1
"23","15","  Exports","A020RX1",136,166.5,162.5,168.2,169.6,177.1,176.5,178.1,178.8,178.5,185.8,170.2,188.2,182.8,193.8,202,216.8,227.3,228,239.2,242.3,254.1,240.4,246.6,248.4,241.2,237.1,250.5,248.8,251.3,258.6,261.2,257,263.9,266,257.4,263.5,291,294.2,305.8,306.1,306.9,317.9,338,347.4,353.9,353.2,351,357.7,359.6,352,353.6,338.3,340.3,325.2,310.3,315.3,316.3,321.1,327.5,334.4,342.7,350.3,357.4,357.6,356.3,351.1,361.7,373.1,377.2,385.8,400.2,400.5,416.4,434.3,450.4,475.3,488.5,497.5,512.7,527.8,550.8,556.8,565.6,590.3,598.3,602.7,607.7,612.1,634.1,648.6,663.4,675.2,675.3,689.9,693.4,695,703.5,701.2,723.7,730.6,754.7,783.5,800.9,815.6,826.8,862.8,875.2,886.2,901.1,908.4,965.3,983.7,1022.7,1046.4,1044.5,1049.5,1037.4,1032.6,1071.5,1063.3,1075.5,1103.7,1131.3,1150.8,1183.5,1212.4,1202.9,1187.1,1148.3,1089.2,1058.5,1075.4,1104.6,1112.3,1101,1090.8,1087.3,1116.8,1169.1,1197,1215.7,1224.7,1252.8,1276.2,1303.6,1303.9,1336.6,1388.7,1412.1,1414.2,1473.5,1496.5,1521.3,1578,1621.9,1643.9,1693.9,1678.7,1580.6,1451.1,1449.4,1497.3,1578.3,1606.2,1645,1684.8,1716.8,1749.6,1765,1785.2,1797,1820.7
"24","16","    Goods","A253RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555,564.3,585.9,594,606.5,612.9,624.3,658.2,680.9,712.6,733.5,734.6,736.6,719.2,720.5,749.3,734.6,742.9,767,792.2,809.9,835.2,870.7,857.7,846.3,808,763.9,746.5,745.9,772,775.6,757.3,760.5,760,774.7,810.4,823.6,837.4,848,861.4,879.2,908.2,905.7,931.3,970.2,987.8,988.3,1019.6,1050.7,1070.1,1102.7,1129,1154.3,1193,1185.9,1094.8,983.4,976.1,1024.4,1090.5,1122.1,1153.8,1178.8,1204.9,1235.6,1243.2,1258.3,1269.6,1282.3
"25","17","    Services","A646RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,262.7,264.3,279.3,283.8,281.5,290.5,285.4,309.2,303.5,310.2,312.6,309.4,312.5,318.7,312.2,322.2,329.2,333.1,336.9,339.1,340.7,348,340.9,344.5,340.2,340,325.2,311.8,329.5,332.4,336.6,343.8,330.3,327.2,342,358.8,373.4,378.3,376.8,391.4,397,395.4,398.2,405.4,418.5,424.3,425.8,453.9,445.9,451.3,475.3,492.9,489.6,500.9,492.9,485.8,467,472.3,472.5,487.9,484.6,491.8,506.5,512.4,514.6,522.4,527.5,528,539
"26","18","  Imports","A021RX1",199.4,238.8,235.7,233.1,232.3,236.9,236.4,240,237.2,255.1,260.7,243.1,278.6,268.7,274.3,286.6,299.9,291.2,283.2,285.3,275.6,290.2,285.1,282.3,254,233.7,253.1,266.6,283.3,295.6,307.6,317.8,332.9,335.9,331.2,335.9,358.5,359.6,364.3,369.3,368.3,370.3,364.6,372.6,372.9,345.8,321,338.2,352.6,353.2,349.1,359.1,348.9,343.2,359.1,345,352.9,380.1,409.7,429.8,464.3,483.8,496.3,510.8,499.6,524.1,519,539.4,538.9,561.8,577.4,581.9,578.4,592.8,604.3,618.2,615.3,608.3,622.6,641.6,644.6,647.6,646.7,658.4,679.3,678.2,675.4,657.3,649.8,661.4,680,695,700.1,711.6,722.8,740.1,756.1,771.8,781.9,813.4,832.3,863.3,887.6,912.6,932.6,941.5,944.7,956.8,987.9,1010,1042.7,1063.3,1108.7,1145.9,1188.1,1213.8,1259.3,1288.2,1305.5,1347.8,1382.1,1426.1,1477.9,1513.3,1574.7,1622.7,1679.4,1678.1,1653.7,1604.4,1565.6,1546.9,1585.7,1639.2,1666.2,1696.2,1675.7,1699.6,1719.6,1783.8,1829.2,1902.6,1930.4,1979.4,1990.9,2012.9,2025.3,2082.1,2121.5,2145.2,2170.9,2168.2,2199.8,2210.7,2216,2186.5,2194.1,2180.1,2143.3,2058.6,1855.3,1781.2,1849.7,1925.2,1983,2082.4,2143.5,2131,2173.9,2181.4,2187.9,2207.7,2230.9
"27","19","    Goods","A255RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754.7,765.1,766.7,775.4,803,823.2,851,871.7,909.3,943.8,978.2,1000.2,1037.2,1061.5,1073.6,1113.1,1143.5,1183.6,1229.9,1262.8,1311.7,1353,1400.8,1401.2,1380.1,1324.9,1299.5,1287.8,1313.2,1369,1394.3,1412.3,1396.8,1433.2,1439.2,1490.3,1525.8,1592.5,1618.5,1660.4,1674.9,1694.9,1706.3,1755.7,1782.8,1805,1829.6,1818.9,1856.1,1863.8,1865.3,1839.2,1836.4,1825.9,1783.1,1694,1508.8,1436.1,1501.6,1577.4,1631.5,1728.5,1779.8,1777.4,1818.4,1825.4,1827.9,1842.8,1856.5
"28","20","    Services","B656RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.8,178.5,180.3,184,187,188.5,193.2,192.5,200.4,202.6,210.5,214,222.7,227.2,232.6,235,238.9,242.6,247.8,250.2,262.8,269.4,278.2,276.4,273,280.1,266.2,259,272.5,270,271.8,283.8,278.9,266.6,280.3,293.2,303.1,310.1,311.9,319,316,318,318.9,326.2,338.6,340.1,341.3,349.5,343.8,346.9,350.6,347.1,357.8,354,361.1,366.1,347,344.8,348.4,348.8,352.8,355.6,365.5,355.6,357.5,357.9,362.2,367.1,376.8
"29","21","Government consumption expenditures and gross investment","A822RX1",1272,1266.7,1268.5,1249.8,1243.1,1227.1,1232.4,1232.4,1212.4,1208.5,1207.8,1198.8,1203.1,1210.6,1185.6,1193.1,1204.8,1197.6,1182.3,1191,1215.9,1224.1,1225.9,1230.2,1245.2,1235.7,1257.4,1268,1271.2,1257.3,1250.7,1249.7,1261,1274.1,1276.5,1272.3,1274.4,1308.8,1319.3,1331.2,1319.2,1333.2,1335.1,1343.8,1365.4,1369.7,1350.8,1349.4,1367.3,1370.4,1367.3,1379.9,1378.5,1386.5,1396,1420.1,1430.8,1443,1468,1443.2,1457.8,1489.2,1500.2,1532.3,1549.9,1584.7,1625.8,1635.5,1653.2,1688.3,1726.6,1716.6,1723.7,1734.6,1734.6,1755.6,1747.1,1751.7,1750.7,1786.2,1775.2,1802.8,1819.7,1829.4,1857.6,1860.4,1859.8,1878.3,1885.9,1892.5,1883.5,1875.6,1889.9,1887.6,1897.3,1897.9,1877.9,1876.5,1874.6,1883.9,1859.9,1867.7,1900.5,1884.1,1891.6,1897.9,1893.7,1872.5,1884.5,1911.6,1909.7,1925.9,1929.4,1946,1948.2,1951.5,1939.7,1981.9,2000.2,2018.1,2028.4,2036.9,2063.3,2095.9,2078.7,2106.4,2099.8,2106.2,2137.3,2181.7,2177.8,2216.4,2250.4,2272,2290.4,2305.7,2300.9,2335.1,2342,2343.7,2354.9,2363.5,2372.1,2357.6,2359.9,2362.4,2383.9,2373.4,2397.1,2399.1,2402.7,2409.4,2406.7,2426.8,2447.9,2455.3,2473.9,2484.5,2510.7,2520.5,2509.6,2546,2554.2,2548.5,2540.6,2564,2570.3,2552.1,2513.9,2508.2,2507.6,2481.2,2462.2
"30","22","  Federal","A823RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,715.3,712.5,707.6,681.1,695.3,705.2,692.7,690.7,681.4,693.5,691.3,690.3,668.8,687.2,681.5,688.1,683.6,683.6,697.9,713.4,685.2,712.6,698.8,695.6,710.4,725.6,730.5,739.3,756.9,774.4,786.7,800,800.2,838.8,839.6,845.7,856.6,861.4,876.4,865.6,869.2,870,890.4,875.6,900.5,892.8,892,894.4,883.6,898.9,919.7,922.2,943.8,955.1,982,1003.5,995.2,1029.2,1043.9,1049.6,1056.9,1079.4,1087.8,1079.6,1053.3,1058.3,1063.7,1044.7,1029.7
"31","23","    National defense","A824RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484,483.2,477.4,462.4,471.4,477.8,467.7,464.7,449.7,460.3,458.1,460.6,433.2,449.8,455.4,451.8,446.3,446.6,459.8,470.7,442.8,463.3,453.7,454.1,462.1,468.5,472.8,479.3,489.7,500.9,509.4,521.2,517.1,560.7,554.1,565.1,573.5,576.5,593.2,578.4,583.6,588,603.7,580.9,595.6,597.2,594.3,606.5,595.3,607.3,622.3,622.4,634.7,643.1,669.7,683.2,669.9,695.7,709.5,707.3,708.2,718.6,728.6,717.7,694,705.9,714.6,691.9,677.5
"32","24","    Nondefense","A825RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.4,229.5,230.3,218.9,224,227.5,225.2,226.2,231.7,233.2,233.1,229.7,235.3,237.3,226.2,236.3,237.1,236.9,238.1,242.7,242.1,249.1,244.9,241.3,248.1,256.8,257.4,259.7,267,273.2,277,278.6,282.8,278,285.4,280.6,283.1,284.9,283.2,287.1,285.6,282,286.7,294.7,305,295.7,297.7,287.8,288.2,291.5,297.3,299.8,309.1,312.1,312,320.2,325.3,333.4,334.3,342.2,348.7,360.8,359.2,361.9,359.4,352.4,349,352.8,352.3
"33","25","  State and local","A829RX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1174.8,1184.1,1184.8,1190.7,1188.2,1205.4,1216.3,1234.6,1247.6,1252.1,1256.6,1260.9,1271.1,1294.7,1319,1330.2,1345.2,1353.7,1365.7,1382.7,1394,1394.2,1401.4,1411,1427.3,1456.5,1447.7,1477.6,1494,1498.1,1504.2,1506.3,1501.2,1496.6,1502.7,1498.2,1498.4,1502.2,1495.7,1492,1490.7,1492.4,1493.5,1497.7,1496.6,1506.3,1510.8,1515,1522.9,1527.8,1528.4,1533.3,1530.9,1530.5,1530.8,1520.1,1517.2,1520.7,1514.9,1503.9,1489.2,1490.8,1488.9,1478.9,1466.4,1456.1,1450.4,1442.4,1438
"34","26","Residual","A960RX1",-130.6,-116.9,-115.6,-118.7,-122.2,-115.2,-114.6,-122.6,-100.6,-95.4,-90.8,-102.1,-85.1,-80.1,-70.8,-71.5,-58.5,-42.6,-47.3,-33.9,-44.4,-45,-64.5,-56.2,-81.8,-84.2,-86.7,-81.5,-73.4,-67,-67.3,-70,-71.3,-53.1,-37.9,-54.4,-56.5,-29.3,-22,-12.7,-11.1,-14.4,-12.1,-11.9,-11.5,-14,-15.7,-4.7,14.9,0.3,16.9,-2.2,-37.8,-34.9,-57.4,-86.2,-81.9,-75.5,-75.1,-53.4,-40.8,-41.4,-39,-50.9,-59.9,-68.5,-78.6,-72.5,-71.7,-87.8,-103.6,-99.2,-91.1,-92.5,-91.1,-74.4,-80,-68.3,-68.9,-71.7,-57.6,-57.7,-60.8,-65.4,-66,-63.8,-66.8,-74.5,-79.7,-78.9,-74.6,-67.4,-70.7,-63.5,-62.2,-60.4,-57.3,-57,-58.8,-53.4,-45.8,-38.5,-43.9,-36.1,-182.8,-187.5,-179.6,-166.4,-170.2,-162.9,-150.7,-144.1,-138.4,-127.2,-111.8,-108,-96.2,-97.7,-93.8,-73.8,-69.6,-52.2,-41.9,-42.3,-25.9,-26.5,-25.1,-25.5,-25.1,-35.6,-39.9,-23.4,-27.9,-24,-16.8,-20.1,-18.8,-14.7,-11,-8.1,-6.9,-5,-2.4,-0.4,-1.1,0,0.1,0.5,-2.5,-2.1,-1.8,-1.5,-3.1,0,0.1,-2.6,2.1,7,20.7,35.4,35.5,38.3,32.5,31.6,22.2,12.6,7.3,-7.9,-21.1,-17.6,-27.7,-37.4,-49.1
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
