"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70"
"11","3","  Durable goods","B003RX1",470.9,455.3,450.5,437.4,424.6,426.9,433.6,426.5,443.1,446.6,456.4,465.8,470.4,486.2,492.1,505.1,517.3,523.3,529.1,547.9,537.3,543.5,559.7,570,576.1,595.2,600.1,612.3,629.9,627.9,656.7,673.2,676.2,707.5,727.2,770.3,767.4,803.6,820.7,826.4,872.8,851.3,863.8,865.4,879.5,878.9,885.6,958.7,948.4,956.9,983.4,970.4,971.4,1009.8,1049.6,1051.4,1067,1071.4,1093.9,1110.3,1116.8,1150.8,1175.9,1137.9,1190.5,1190.3,1208.8
"12","4","    Motor vehicles and parts","A165RX1",271.8,258.3,254.6,239.7,224.2,222.6,232,227.6,240.2,242.5,245.8,251.3,248,259.9,259.5,269.5,278,274.1,272.1,280.7,267.7,268.2,274.7,278.4,281.4,285.8,285.9,288.3,300.8,290.8,309.4,317.7,310.3,333.9,340,371.7,355.1,380.2,382.5,371.9,403.3,376.1,383.2,383.5,392.6,388.6,392.7,449.4,422.1,422.5,445.6,425.9,424.8,442.3,454.8,446.4,449,444.7,451.3,456.5,447.7,463,474.6,426.3,445.1,443.7,452.9
"13","5","    Furniture and household equipment","A166RX1",122.2,120.2,119,118.1,118.8,121.9,122.6,121.1,124.6,125.6,128.9,132,136.2,139.8,142.8,145.6,148.7,154.2,158.8,165.3,166.2,169.5,176.1,181.5,183.2,192.7,195.6,202,206.4,212.7,220.2,225.8,233.5,238.6,249,257.6,266.1,275.1,285.7,296.1,306.7,311.3,315.9,317.8,323.8,328.1,332.2,343,356.9,363.5,365.2,371.6,373.3,388.7,410,419.1,430.3,440.1,453,460.8,471.2,482,497.7,511.5,538.5,542.9,551.7
"14","6","    Other","A167RX1",94.6,92.2,92,92.1,90.6,90,88,86.4,88.3,88.7,91.5,92.4,94.4,95.8,98.3,99.4,100.4,103.1,104.9,108.5,108.3,110.1,112.9,113.5,115,119.2,120.7,123.6,124.8,125.1,128.3,130.9,132.7,136.2,138.9,142.5,146.6,149,152.9,158.4,162.9,163.9,164.7,164.1,163.3,162.6,161.2,165.6,170.3,172.1,172.7,174.4,174.9,180.6,187.5,189.9,192.6,192.9,196.7,200.3,206.7,214.2,213.1,216.3,224.6,222.5,223.4
"15","7","  Nondurable goods","B004RX1",1483.2,1486.4,1491,1475.3,1474,1485.6,1486.5,1475.9,1500.6,1498.7,1508.6,1532.6,1530.5,1544.4,1559.6,1566.8,1582,1597,1610.6,1626,1628,1636.2,1642.2,1648,1657.5,1677,1686.5,1700.7,1710.8,1711.4,1736.2,1743,1765.4,1787.2,1799.7,1825.5,1849.2,1867.9,1873.7,1915.7,1917.2,1944,1955,1972.7,1975.2,1974.7,1986.5,2010.3,2026.8,2033.4,2035,2053.1,2072.5,2084.2,2123,2132.5,2155.3,2164.3,2184,2213.1,2241.5,2268.4,2287.6,2309.6,2342.8,2351.1,2360.1
"16","8","    Food","A168RX1",777.6,787.4,789.9,782.6,779.7,786.5,786.4,780.7,789.5,780.6,783.1,798.5,795.2,799.6,806.2,807.6,810.8,821.9,825.2,829.5,826.6,826.5,827.3,828,830.7,835.3,834.2,838.7,844.7,841.9,848.8,845.7,852.9,862.7,869.6,877.1,878.4,889,894.5,912.4,916.1,925.6,927.8,931.2,937.1,938.3,940.6,945,950.2,954.5,954.4,959.5,969.4,970.3,985.3,985.8,999.6,1003.7,1011,1029.6,1043.7,1058.5,1074.9,1085.7,1103.4,1108.8,1106.8
"17","9","    Clothing and shoes","A169RX1",191,188.1,187.7,185.8,187.8,190.8,190,186.3,194.2,197.3,201.4,204,203.1,206.9,208.6,211,215.5,215,218.6,224.9,224.1,225.7,229.8,230,232.1,237.8,241.6,243.2,242.9,240.8,248.5,251.7,258.3,263.2,262.1,268.8,278.9,282.3,284.7,284.9,291.3,296.4,301.1,302.1,300.5,301.8,302.9,309.8,315.9,317,315.7,324.4,323.9,332.2,340.8,340.1,349.8,345.5,351.1,357.2,362.8,371.1,373.9,383.1,391.1,387.4,392.6
"18","10","    Gasoline, fuel oil, and other energy goods","A173RX1",159.6,158.7,160.5,155,154.4,156.7,158.6,157.2,159.5,163.2,163.8,164.7,164.1,166.1,169.1,168.2,170.5,169.5,170.2,168.5,172.7,174.2,172.3,172.6,175.3,176.7,176.6,176.2,177.2,179.8,180.5,181.2,184.9,185.5,185.2,189.6,193.2,193.5,188.9,195.1,191.6,190.2,189.1,195.2,196.4,188.4,191.1,197.7,195.9,197.6,198.7,197.5,197.2,196.8,199.3,201,201,200.9,200,200.3,203,200.7,197.8,196.6,196,196.3,198.7
"19","11","    Other","A172RX1",362.1,360.2,361.3,360.3,359.7,358.7,358.9,359.8,364.2,363.7,365.5,370.8,373.5,376.8,381,384.7,389.4,395.1,400.5,405.8,407.9,413.3,415.4,420,422,429.4,435.9,444.4,448.1,451.6,460.5,466.4,471.4,477.2,484.3,491.8,500.4,504.3,505.7,524,518.4,531.9,537.1,544.1,540.8,546,551.7,558.4,565,564.6,566.5,572.2,582.1,585.7,598.6,606.5,606.5,615.2,623.8,628.4,634.3,642.2,646.7,652.4,662.6,668.3,671.5
"20","12","  Services","B005RX1",2813.5,2849.5,2872.4,2871.3,2868.3,2896.8,2908.8,2925.8,2960.6,2987.9,3016.1,3038.7,3053.9,3065.4,3099.9,3123.5,3151.9,3167.9,3185.8,3200.9,3221.3,3251.2,3273.6,3293.4,3326.2,3345.4,3366.5,3385.9,3417.8,3446.9,3485.5,3521.6,3562,3602,3642.1,3653.7,3696.4,3738.5,3782.3,3815,3871.1,3908.2,3949.3,3986.8,3997.9,4016,4027.8,4051.2,4069.4,4095.7,4109,4127.4,4143.3,4161.3,4190.7,4220.2,4268.2,4308.4,4341.5,4377.4,4395.3,4420,4454.5,4476.7,4494.5,4535.4,4566.6
"21","13","    Housing","A174RX1",796,800.1,804.4,808.2,811.6,817.9,823.7,827.1,829.7,831.4,833.7,836.2,837,837.9,843.1,849,859.8,865.5,873.2,878.9,882.8,885.9,889,892.5,895.2,898.6,902.8,907.9,913.9,919.3,925.4,931.2,939.4,945.8,952.4,957.8,969.4,975.2,981.8,987.9,995.7,1003.3,1009.9,1016.9,1024.4,1031.2,1036.5,1042.8,1044.4,1043.7,1041,1039.3,1042,1046.3,1054.7,1064.6,1076.8,1087.4,1096.9,1105.3,1112.7,1120,1126.4,1131.2,1137.6,1144.5,1151.7
"22","14","    Household operation","A186RX1",258.7,267.7,271,268,263.6,273.4,272.6,269.9,269.9,276.7,279.1,283.9,285.4,286.2,295.6,297.1,300.5,305.5,303.8,303.4,302.6,310.9,319.3,318.6,327,328.1,323.6,330.4,331.2,336.4,341.1,352.8,350.2,358.5,363.5,356.1,362.8,371.1,379.9,373.7,376.3,388.6,392.5,403,397.6,389.5,390.3,386.6,388,395.1,392.4,397.3,397.5,397.4,398,402.3,405,407.5,409,415.6,415.9,416.9,419.4,419.8,404.3,412.5,422.1
"23","15","      Electricity and gas","A175RX1",111.3,118.5,120.5,119.3,117.3,125.5,122.6,119,116.7,120.6,120.3,124.1,125.1,123.2,129.5,129.4,129.9,132.6,127.7,124.9,123.6,129.8,135.2,132,138.6,136.5,129.8,134.1,130.9,132.8,132,139.2,133.8,140.2,141.1,131.5,135.5,138.5,143.2,135.4,133.9,142,143.8,153.6,148.5,138.8,138.9,137.3,139.8,145.8,144.1,149.8,148.6,146.7,145.9,148.8,150.4,148.8,147,153.2,153.3,153.2,154,154.7,141.7,147,154.4
"24","16","      Other household operation","A176RX1",147.9,149.6,151,149.2,146.8,148.3,150.4,151.3,153.6,156.6,159.3,160.2,160.8,163.5,166.5,168.2,171.2,173.4,176.6,179,179.4,181.6,184.7,187,188.9,192,194.2,196.8,200.6,203.9,209.4,214,216.7,218.7,222.8,224.5,227.3,232.6,236.9,238.2,242.4,246.8,248.9,249.2,248.8,251,251.6,249.4,248.3,249.2,248.3,247.3,248.7,250.7,252.1,253.3,254.5,258.8,262.4,262.3,262.5,263.7,265.4,264.9,264.8,267,268.1
"25","17","    Transportation","A177RX1",196.3,196.7,195.9,193.9,187.9,186.5,185.1,185.8,189.2,192.1,197.5,198,198.3,200.7,203.6,207.3,211.9,216.3,220.5,224.7,226.9,229.2,233.4,237.5,242.3,245.6,249,253.1,259.4,261.9,265.1,266.3,268.4,271.8,273.3,274.5,279.3,281.9,285.5,287,289.9,291.9,291.6,291.7,292.9,291.5,285.9,281.6,281.9,281,279.1,279,280.7,279.9,280.7,281.2,282.6,284.1,284.1,285.2,285.8,284.8,283.6,283.5,286.3,287.5,288.5
"26","18","    Medical care","A494RX1",780.8,793.9,805.2,810.6,813.1,818.6,827.4,839,851.5,861.7,868.9,872.4,875.7,875.5,878.1,879.5,882.6,885.5,888.3,892,900.1,904.2,908.5,912.8,913.6,920.9,923.5,932,932.6,939.1,947.3,952.2,966.4,968.3,972.4,975.5,978,983.7,992.5,1001.8,1010.7,1022,1032.1,1042.5,1053.5,1065.7,1082.7,1099.1,1113.5,1129.9,1144.4,1158.8,1170.5,1177.4,1184.2,1191,1199.1,1210.8,1224.2,1235.1,1243.4,1253.8,1267.5,1279,1292.6,1300.9,1307.6
"27","19","    Recreation","A490RX1",167.5,170.4,171.6,172.9,170.3,170.5,171.5,174.1,180.2,182.5,184.8,188.4,191.4,193.8,198,198.4,200.4,203.4,206.8,208.6,213,218.1,221,224.6,225.3,227.6,230.7,231,234.3,236,235.4,236.9,241.5,242.7,246.4,249.1,251.8,256,260.6,262.9,264.2,267.6,270.1,271.1,274.7,274.1,274.5,276.2,278.5,280.1,281.1,285.1,285.6,289.2,292.2,296.2,300.8,304.1,306.5,307.8,311.1,312.5,313.9,315.1,317.5,318.1,320.4
"28","20","    Other","A178RX1",617,622.9,626.8,620.8,625.8,632.9,632.1,634.4,644.8,647.9,656.4,663.6,669.7,675,684.2,694.7,699.1,693.8,695.8,696,698.9,705.3,704.3,709.4,724.4,726.2,738.8,733.2,748,755.7,772.3,782.6,796.8,815.3,834.4,841.2,855.5,870.9,882.2,901.9,934.1,934.9,953.2,961.7,954.6,964.2,957.8,964.6,962.7,965.5,970.5,967.6,966.5,970.4,980.2,984.1,1003.1,1013.6,1019.8,1027.4,1025.4,1030.6,1042.2,1046.5,1054.9,1070.6,1074.8
"29","21","Gross private domestic investment","A006RX1",920,920.1,898.4,841.8,807.3,803.5,823.5,854.7,835.8,890.7,900.2,929.1,950.3,957.8,957.8,1007.3,1050.6,1112,1092.4,1143.2,1154.6,1123.8,1113.1,1144.4,1160.2,1220,1280.8,1276.1,1302.9,1389.6,1417.5,1440.7,1515.8,1491.7,1525.8,1563,1606.6,1607.8,1647.4,1708.4,1678,1788.6,1742.6,1732.7,1670.3,1637.4,1592.6,1493.4,1541.7,1549,1570.9,1567,1561.8,1574.4,1639.7,1676.5,1696.4,1781.9,1790.8,1813.4,1849.6,1832.6,1855.9,1927,1963.6,1968.5,1964.8
"30","22","  Fixed investment","A007RX1",913.5,892.4,882.7,857.6,828.2,827,829.7,831.3,839.9,873,886.3,914,919.1,939.7,956.3,998.7,1011.6,1036,1046.4,1075.1,1099.6,1095.5,1110.1,1133.3,1161.8,1199.7,1227.4,1247.8,1272,1299.4,1349.6,1361.4,1402.4,1444.5,1465.1,1507.7,1531,1568.6,1598.6,1606.9,1651.1,1689.1,1686.4,1689.4,1678.2,1640.5,1621.9,1577,1551.5,1545.9,1543.2,1537.8,1536.3,1575.6,1626.7,1648.9,1658,1704.4,1736.1,1757.1,1790.6,1835.8,1864.2,1877.3,1914.6,1906.8,1901.3
"31","23","    Nonresidential","A008RX1",603.9,593.5,597.2,585.8,570.7,565.3,559.9,556.9,554.5,576.5,588.2,606,609.6,625.9,632.8,659.3,665.9,679.3,692,722.6,752.1,757.4,762.5,777.9,797.1,820,847.3,870.1,892.2,914.3,961.1,969,1001.6,1032.5,1042.4,1074.7,1094,1127.3,1154.4,1157.3,1196.7,1238.6,1245.2,1247.9,1234.4,1190.2,1169.3,1128.2,1090.3,1073.3,1068,1054.5,1047.5,1074.5,1098.8,1106.5,1111.2,1130.7,1158.8,1182.3,1199.7,1214.8,1232.4,1248.2,1288.8,1302.8,1334.2
"32","24","      Structures","B009RX1",279.9,278.5,277.5,265,259.2,252.2,235.8,231,228.2,228.2,230.3,233.1,226.9,226.6,227.7,231.9,222.4,235,234.7,237.1,243.1,247.9,249.8,247.7,252.1,257.6,260.7,273.8,276.2,273.7,284.2,286.3,286.7,298,295.5,297.6,292,294.1,291.8,294.8,299.9,312.5,319.7,320.6,313.8,310.6,315.1,284.9,270.3,256.4,245.8,242.5,238.2,246.5,246,243.1,245,249.1,251,249.7,253,251.7,247.1,254.2,259.6,271.9,282
"33","25","      Equipment and software","B010RX1",359.9,351.5,355.5,353.2,343.4,342.9,348.5,348.8,348.4,367.9,377,391,398.3,413.1,418.6,439.7,452.1,455.7,467.4,493.7,516.5,517.8,521.2,537,551.6,568.7,591.8,602.9,621.8,644.7,680.5,686.3,717.2,737.3,749.1,778.6,802.7,833.5,862.4,862.3,896.7,926,925.5,927.3,920.8,879.2,852.9,843.8,820.9,819,825.7,815.4,813.3,831.7,857.8,869.5,872,887.6,915.1,942,956.5,974.8,1000.6,1007.6,1044.8,1041.2,1060.7
"34","26","        Information processing equipment and software","A679RX1",101,100.6,99.4,102,100.9,103.9,107.4,111.1,113.6,119.9,126.4,128.6,132.1,134.8,141.8,144.4,149,152.7,157.1,164,171.6,180.2,184.1,194.8,205.1,214.1,224.3,232,246.6,260.7,280.6,291.5,309.9,322.7,332.2,350.7,369.5,395.8,412.8,415.8,442.9,465.7,473.8,488.1,485.7,461.4,447.3,441.7,435,437.1,444.2,433.3,442.1,446,470.4,492.4,501.8,503.1,510.3,521.8,537.4,547.9,557.7,567.3,595.9,594.3,608.6
"35","27","          Computers and peripheral equipment \1\","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","28","          Software \2\","B985RX1",38.5,39.8,39.4,41.7,43,44.4,45.5,47.6,49.7,52,54,56.4,57.5,58.6,60,61.1,63,64.4,66,67.1,68.1,70.2,72.7,75.6,78.6,81.9,85.4,90.3,99.8,105.1,111.8,118.7,122.1,126.2,131.5,137.8,144.9,154.5,162.2,167.2,171.4,175.8,176.2,181.2,181.4,174.1,172.3,167.4,166.3,170.2,173.4,168.7,170.4,171.8,180.6,186.3,191.3,192.2,195.8,200.7,201.7,205.7,208,209.5,215.6,217.8,221
"37","29","          Other","A937RX1",80.4,80,80.2,79.7,77.6,79.5,80.8,80.4,81.4,82.7,86.8,86.7,87.2,88.7,93.1,94.8,96.5,98,100.1,102.9,106.6,107.6,105.8,108,113,116.2,119.6,120.1,120.9,124.1,131.1,133.1,139.5,142.2,143.1,148.1,149.8,157,162.8,162.4,179.9,187.7,192.3,200.2,193.7,182.9,177.8,172.2,162.9,162.6,161.7,157.1,160.2,162.4,168.7,177,181.5,182.9,179.1,179.2,189.3,191.5,196,197.5,211.6,206.7,211.3
"38","30","        Industrial equipment","A680RX1",113.6,108.6,108.9,105.5,103.8,102.2,102.2,100.4,100.1,102.2,104.8,109,110,110.6,112.1,118.8,119.7,120.6,123.9,127.6,133.2,135.3,136.2,135,138.2,140.8,139.5,141.2,140.5,143.2,143.9,144.2,151.1,149.4,145.9,146.2,145.6,147.4,149.2,149.3,156.3,159.7,161.9,159,159.3,147.3,140.6,135.4,135.8,132.7,134.7,134.9,139.1,142.7,138.9,132.8,130.6,129.4,134.7,136.1,140.4,138.4,144.9,150.4,149,153.9,153.9
"39","31","        Transportation equipment","A681RX1",80.6,77,84.8,81.7,81.3,77.9,80.2,75.9,71.7,83.6,78.4,87.2,86.1,98.5,91.5,104.3,109.3,105.2,108,123.2,130.5,117.7,115.4,118.6,117.1,120.8,132,131.8,132.2,135.2,142.3,133.8,134.7,140.3,146.8,159.8,161.4,165.7,174.6,169.1,166.1,167,159.5,150.7,145.3,144.5,137.6,144,130.4,126.1,124.1,123.5,108.3,116.6,116.8,113.5,111.7,123.7,134.3,145.3,141.4,144.6,152.3,143.2,152.2,142.7,147.3
"40","32","        Other equipment","A862RX1",98.2,96.1,95.9,93.8,84.2,82.7,80.9,80.4,79.9,79.6,82.9,83.9,87.6,88.5,89.3,92,94.1,95.7,97,99.3,102.3,101.5,101.1,102.1,103,104.3,107.1,108,110.6,112.4,119.4,120.8,125,127.8,126.5,123.8,127.5,125.1,126.1,128.2,131.3,133.6,130.4,129.6,130.9,126.3,127.6,122.8,120.3,123.8,123.6,124.1,125.1,127.1,133.8,135.5,134.4,136.1,139,141.1,141.3,148,148.8,151.2,154.3,157.1,158.6
"41","33","    Residential","A011RX1",321,308.6,291.1,275,258.6,264.7,275.7,281.7,296.1,307.4,308.2,318.6,320.1,323.8,335,351.9,358.8,370.9,367,362.3,354.2,342.9,353.6,361.6,371.1,386.8,385.7,381.8,383.1,387.9,389.7,393.6,401.8,412.9,424.1,434.3,438.1,441.8,444.5,449.9,454.5,450.4,441.2,441.6,444,450.1,452.1,447.8,459,469.5,471.8,479.3,484.1,496.3,521.8,535.2,539.2,564.1,568.6,567.7,582.8,609.9,620.4,618.9,618.5,600.5,570.3
"42","34","  Change in private inventories","A014RX1",14.1,33.9,22.8,-9.3,-14.4,-18.1,-0.1,30.7,1.8,22.9,19.6,21.5,36.7,24.3,7,14.5,46.3,83,51.7,73.4,60.8,34.6,7.9,16.2,3,24.5,57.5,29.9,34.7,94.2,72.3,83.4,116.9,50.4,64.2,58.9,79.5,41.7,50.8,103.5,26.9,99.3,56.2,43.5,-7.8,-2.5,-29.9,-86.7,-10.2,2.6,28,29.5,24.3,-2.7,10.5,25,35.9,74.7,50.8,52,55.2,-7.4,-12.7,43.5,41.2,53.7,55.4
"43","35","    Farm","B018RX1",1.4,-2.2,3.6,5.4,0.6,-0.4,-11.3,5.1,8.6,8.9,3.8,1.9,-5.1,-4.6,-11.1,-3.4,15.7,17.4,9,2.7,-4.6,-11.1,-21.8,-5,-2.6,6,22.7,1,-9.1,6.8,8.2,5.7,5.7,-2.1,1.8,0.4,0.5,1.3,-11.5,-2.2,-14.5,6.1,-2.7,5.7,5.5,-1.3,1,-5.1,0.9,-9.4,-1.1,-0.2,4.8,0.4,-1.2,-2.4,3.9,17.9,5.9,-3.3,0.7,-5.8,1.1,4.8,4.3,1.9,2.5
"44","36","    Nonfarm","A015RX1",12.6,37,18.9,-15.7,-15.6,-18.2,12.2,25.5,-7.5,13.4,15.7,19.7,42.8,29.9,19.6,18.6,29.2,64.9,42.7,71,66.1,46.3,30.7,22.1,6.1,18.3,33.1,29.3,44.7,87.6,63.9,77.8,111.5,52.7,62.3,58.3,78.7,40.2,61.7,105.4,41.5,93.2,58.8,37.8,-13.5,-1.1,-31.1,-81.7,-11.1,12.4,29.3,29.9,19.2,-3.2,12,28.1,32.1,54.5,44.8,56.5,54.9,-1,-14,38.6,36.8,52.2,53.3
"45","37","Net exports of goods and services","A019RX1",-63.8,-63.6,-58.1,-33.2,-18.3,-14.3,-16,-9.6,-4.7,-20.2,-15.9,-23,-37.4,-48.6,-59.4,-63,-73.8,-83,-79,-81.9,-86,-87.7,-57.1,-53.1,-68.2,-81.2,-104.3,-64.9,-89,-93.1,-108.8,-127.6,-163.7,-205.1,-223.9,-222.3,-262.1,-295.2,-313.9,-313.7,-350.6,-374.5,-395.6,-397.2,-398.2,-385.2,-398.4,-414.5,-441.3,-458.9,-472.2,-513,-507.2,-526.9,-513.8,-527.8,-548.5,-593.9,-599.4,-621.9,-626.4,-606.1,-607.6,-636.6,-636.6,-624.2,-628.8
"46","38","  Exports","B020RX1",543.6,550.5,555.1,560.7,563.2,583.8,597.8,611.6,621.9,622.2,635.6,639.1,639.9,647.4,645.7,667,672.8,695,721,737.3,750.5,761,794.5,806.6,816.4,830.3,837.3,889.5,905.7,941.8,964.2,963.2,967.4,957,952.9,988.7,980.1,991.2,1017.4,1044.1,1060.9,1092,1120,1112.3,1097.2,1060.6,1008.7,980.3,992.8,1018,1025.2,1017.2,1003.3,999,1026.3,1075.8,1094.8,1111.3,1124.3,1151.3,1164.5,1191,1200.5,1228.4,1269.3,1288.5,1310
"47","39","    Goods","A253RX1",363.3,366.4,368.5,370.5,379.5,388.3,397.9,404.3,413.3,414.6,426.9,432.6,427.8,433.2,430.3,451,450.6,466.7,490.6,503.9,515.2,523.8,544.3,552.2,563.2,569.3,580.2,611.6,632.3,661.6,681.3,682.7,683.9,667.8,669.3,696.3,682.1,689.8,712.5,736.3,751.9,776.6,810,798.9,787.8,751.7,710.9,694.7,691.8,715.2,719,702.1,705.6,703.5,718.4,751.6,764.6,776.6,792.2,804,814.8,839.7,847.5,870.8,906.2,919.5,940.4
"48","40","    Services","A646RX1",183,187.3,190.1,194.2,185.7,199,203.4,211.4,212.3,211,211.4,208.7,215.3,217.4,218.9,218.5,225.4,231.4,232.5,235.2,236.7,238.4,251.9,256.2,254.3,262.6,258,279.2,273.9,280.2,282.6,280.2,283.2,289.5,283.7,292.5,298.3,301.7,305,307.9,309,315.3,310,313.4,309.4,308.9,297.7,285.6,300.7,302.7,306.1,314.7,297.6,295.5,307.6,324,329.9,334.5,332.1,347,349.5,351.2,353,357.8,363.6,369.5,370.3
