"","Table 3#11#4# Price Indexes for National Defense Consumption Exp","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"16","9","    Intermediate goods and services purchased \3\","W087RG3",19.95,21.905,25.394,28.51,30.729,33.304,35.956,40.221,47.355,52.004,54.806,56.259,57.892,58.392,58.018,59.396,60.468,61.6,64.921,66.524,67.368,68.694,69.947,71.616,73.236,74.017,74.295,75.452,78.434,80.057,81.565,84.474,87.531,91.462,94.918,97.574,102.557,100,102.569,107.147,108.438,109.633
"17","10","      Durable goods","B998RG3",32.87,34.57,37.396,41.304,44.916,47.974,51.531,56.424,60.957,66.583,73.396,79.046,84.166,84.634,86.258,86.102,83.037,82.749,84.604,86.972,88.576,90.663,91.79,92.018,92.188,92.028,91.612,91.504,92.04,92.05,92.151,92.959,94.143,95.754,98.032,98.295,99.337,100,100.161,100.775,101.689,102.639
"18","11","        Aircraft","B999RG3",29.602,31.613,33.567,38.775,44.685,47.982,49.92,54.787,58.672,63.535,71.478,78.472,85.406,87.239,88.28,87.027,82.583,80.368,82.486,85.153,86.999,88.291,89.547,90.301,90.711,90.122,89.674,89.818,90.643,91.193,91.276,93.012,94.921,96.494,99.396,99.029,99.387,100,99.883,100.325,101.139,102.035
"19","12","        Missiles","B277RG3",29.429,30.428,33.256,35.537,36.7,39.76,45.636,50.418,53.88,58.502,61.558,69.632,80.092,83.831,83.123,83.322,79.892,81.123,81.777,84.884,86.298,91.174,91.908,89.055,87.773,87.542,86.945,87.078,87.033,87.03,89.22,89.939,90.719,92.837,96.416,97.539,99.42,100,100.058,100.813,102.715,103.203
"20","13","        Ships","B278RG3",30.075,32.464,38.966,40.789,43.445,43.812,47.803,50.255,56.143,60.229,66.875,64.969,66.794,71.767,73.365,73.107,75.925,79.705,83.336,84.198,85.59,86.274,87.165,86.622,86.715,87.372,87.428,85.276,86.148,86.642,86.43,87.275,89.35,91.58,94.045,95.92,98.033,100,99.861,101.298,101.807,101.879
"21","14","        Vehicles","B288RG3",22.445,22.725,24.815,26.714,29.25,31.074,33.412,36.923,41.239,48.677,56.226,58.234,55.279,47.26,53.528,56.125,50.953,50.623,52.539,55.358,57.682,61.522,63.534,65.857,68.143,73.08,75.379,81.248,87.081,86.914,89.65,90.522,93.467,94.762,95.154,96.83,98.253,100,100.534,101.882,103.655,104.321
"22","15","        Electronics","B388RG3",59.813,62.728,69.177,74.681,77.7,81.424,85.168,93.754,99.648,106.775,109.894,111.569,111.442,111.653,111.01,111.559,112.309,115.218,117.325,117.871,117.578,117.621,117.899,117.68,114.643,111.588,108.215,105.197,103.91,101.912,100.326,98.503,97.838,98.043,99.811,100.072,100.44,100,99.803,99.735,100.043,101.193
"23","16","        Other durable goods","B389RG3",31.568,32.721,35.005,38.124,40.726,43.848,47.999,52.186,57.067,61.982,67.226,70.019,71.949,72.931,74.007,74.531,77.842,80.972,82.182,83.731,85.366,87.644,89.014,90.101,91.392,91.686,91.884,91.659,91.864,91.762,91.468,92.086,92.858,95.094,96.584,96.645,98.546,100,100.853,102.038,103.097,104.309
"24","17","      Nondurable goods","B725RG3",12.625,15.412,21.767,25.672,27.745,30.061,31.926,39.816,58.181,65.194,63.578,59.892,58.322,57.067,46.082,47.335,50.465,53.413,60.963,57.852,55.203,54.075,53.099,54.217,59.362,58.44,52.135,54.414,66.329,63.492,62.212,67.128,75.231,91.427,99.765,105.309,130.476,100,113.762,137.066,138.415,138.024
"25","18","        Petroleum products","B780RG3",5.706,8.439,14.962,18.478,19.505,21.585,22.915,32.008,55.315,63.237,59.211,52.193,48.59,46.459,29.251,30.501,32.891,35.267,45.587,40.37,36.136,34.251,31.81,31.901,38.813,37.236,26.853,30.429,51.695,45.879,43.426,51.865,65.161,96.316,109.679,118.536,169.58,100,128.873,175.245,176.288,173.535
"26","19","        Ammunition","B781RG3",25.331,27.194,32.403,36.422,39.536,41.534,43.752,47.882,52.639,55.354,57.138,58.973,61.059,62.384,61.932,64.3,68.528,72.439,73.404,74.131,74.629,74.163,76.403,80.009,78.89,78.552,77.126,76.67,76.981,76.775,76.618,77.486,81.923,85.914,92.502,95.809,102.316,100,101.724,106.563,107.229,110.382
"27","20","        Other nondurable goods","B783RG3",26.605,28.644,31.482,34.735,39.462,41.768,44.651,48.398,53.014,57.957,60.825,62.697,64.587,64.652,65.519,65.486,69.007,72.122,76.521,76.771,75.879,76.123,76.689,78.773,80.197,80.712,80.978,82.082,83.951,84.862,85.366,86.064,88.404,91.109,93.667,96.143,99.022,100,102.01,106,108.041,109.172
"28","21","      Services","B489RG3",19.883,21.264,23.277,25.736,27.58,30.135,32.834,35.727,40.304,43.95,46.553,47.685,48.617,49.632,51.075,53.343,56.014,57.45,60.664,62.999,64.272,65.826,67.516,69.682,71.203,72.48,73.931,75.254,77.418,80.16,82.4,85.439,88.151,90.767,93.777,96.558,99.749,100,101.779,104.999,106.374,107.854
"29","22","        Installation support","B911RG3",21.495,23.383,25.432,27.643,29.574,32.365,35.312,37.834,41.523,44.391,47.652,49.558,51.023,52.599,55.256,57.407,59.578,60.166,63.645,64.526,65.455,66.375,68.108,70.57,71.382,71.725,72.668,73.784,74.674,76.885,78.918,82.611,86.226,90.204,93.772,97.375,100.785,100,103.01,107.746,108.351,109.992
"30","23","        Weapons support","B912RG3",22.157,23.358,25.324,27.41,28.826,31.242,34.067,37.321,41.569,45.784,49.17,51.208,52.799,54.36,55.12,55.948,57.15,59.553,61.873,64.967,67.811,70.283,72.154,73.656,75.498,77,78.227,79.556,81.601,83.582,84.823,86.78,88.888,91.418,93.662,95.649,98.189,100,101.393,103.946,106.104,107.465
"31","24","        Personnel support","B913RG3",12.382,14.201,14.746,17.268,19.095,21.175,23.998,26.899,29.739,32.903,34.296,34.406,35.309,36.09,38.182,41.427,48.232,51.057,54.917,58.108,61.171,62.95,65.109,67.555,69.658,71.162,73.077,75.377,78.37,81.458,84.216,86.76,88.966,91.017,93.538,96.865,98.527,100,101.209,102.943,104.474,105.853
"32","25","        Transportation of material","B786RG3",27.989,28.592,34.269,38.711,40.985,43.403,46.161,52.436,62.727,65.393,67.437,64.703,62.659,59.61,56.343,61.552,58.678,58.421,61.345,65.523,63.95,63.821,65.193,64.364,68.526,71.654,73.019,72.436,76.219,79.717,82.307,88.951,91.848,93.66,97.901,98.179,107.125,100,104.239,111.301,111.906,112.709
"33","26","        Travel of persons","B785RG3",18.715,18.666,19.895,21.806,23.622,26.689,28.109,29.064,36.469,44.823,45.637,46.419,46.165,47.393,47.825,49.277,51.755,51.987,54.668,57.341,57.318,61.027,60.864,64.165,63.753,66.837,69.328,68.608,71.646,76.213,78.623,80.638,84.137,86.087,92.09,91.886,102.75,100,99.647,108.166,109.353,111.688
"34","27","  Less: Own-account investment \4\","W088RG3",28.791,30.291,31.923,34.412,35.984,38.128,40.165,42.142,45.335,49.39,52.921,54.733,57.053,58.692,59.863,60.118,62.024,64.149,65.846,68.656,70.096,72.817,75,77.195,78.323,79.905,80.526,81.758,83.505,85.062,87.175,89.062,91.078,93.123,94.812,96.524,98.809,100,102.301,105.454,106.432,107.793
"35","28","  Less: Sales to other sectors","W089RG3",14.946,15.953,18.442,20.625,22.165,22.998,25.428,27.39,30.196,33.208,35.797,37.433,39.428,41.233,42.497,43.333,44.215,46.935,49.306,53.669,58.592,61.123,61.37,62.376,65.006,66.645,68.382,70.375,72.439,76.162,79.101,81.966,85.088,88.763,91.675,95.579,98.204,100,102.58,104.325,106.042,107.618
"36","29","Gross investment \5\","B788RG3",37.433,39.22,41.847,44.8,47.707,50.806,54.09,57.323,61.606,66.84,71.473,73.947,75.959,75.731,74.065,73.044,74.201,75.908,77.561,79.514,80.628,82.604,84.857,87.592,88.398,88.34,88.443,90.016,91.205,90.666,90.233,91.247,92.682,94.51,96.054,97.757,99.967,100,101.16,103.393,104.185,104.863
"37","30","  Structures","B808RG3",13.641,16.381,18.457,20.23,21.153,23.208,24.18,28.605,30.925,32.773,34.24,34.734,37.119,38.284,38.373,40.249,41.822,44.961,46.334,47.74,48.721,51.621,53.454,55.771,57.262,59.053,60.699,63.134,65.878,68.537,70.321,72.537,76.678,83.894,91.558,97.599,101.538,100,99.505,102.058,105.11,108.005
"38","31","  Equipment","Y050RG3",58.348,57.516,58.056,61.044,66.319,70.963,76.302,78.614,83.181,90.281,96.762,99.639,100.86,98.174,92.978,88.653,87.752,88.81,90.721,92.591,93.795,96.176,99.455,101.737,102.32,99.519,98.368,99.547,98.557,96.325,94.869,95.364,96.006,96.837,97.384,97.838,99.375,100,100.685,102.472,102.762,102.698
"39","32","    Aircraft","B874RG3",76.065,76.07,75.602,77.916,78.986,82.702,86.495,90.609,95.769,100.771,112.964,118.993,119.656,107.816,94.577,80.938,75.799,74.616,79.588,85.084,87.848,91.484,102.57,109.255,114.527,104.226,103.042,119.788,114.12,106.927,102.119,102.178,100.023,97.446,96.304,95.805,99.402,100,101.018,103.501,100.935,98.499
"40","33","    Missiles","B875RG3",99.497,94.236,94.135,96.9,125.656,139.311,149.853,122.549,108.846,114.254,110.612,116.259,121.17,122.506,115.395,112.289,110.77,108.928,105.861,102.251,100.729,103.945,102.648,99.874,97.09,92.206,93.706,90.17,89.465,88.432,87.491,90.376,92.591,94.593,96.088,96.649,99.416,100,101.873,106.515,109.325,108.116
"41","34","    Ships","B876RG3",21.885,23.288,25.614,28.342,30.11,33.526,37.525,40.299,44.394,48.193,50.172,51.818,55.144,56.045,57.365,58.498,60.4,63.04,64.671,68.07,69.618,70.92,73.23,77.324,77.511,78.757,78.387,77.69,79.593,79.513,79.99,81.462,84.622,87.025,89.849,93.978,97.838,100,102.226,107.255,108.599,108.871
"42","35","    Vehicles","B877RG3",29.181,29.04,28.475,30.622,37.268,40.696,43.908,45.349,52.663,71.546,87.53,85.461,77.453,76.711,71.922,77.993,78.561,79.562,80.856,82.846,85.872,89.568,93.168,94.515,95.891,96.051,94.708,95.548,93.764,92.194,91.805,92.429,92.754,92.908,91.635,95.788,97.327,100,100.049,101.3,104.94,106.594
"43","36","    Electronics","Y051RG3",252.029,256.578,276.97,290.621,295.118,303.277,298.559,314.489,318.161,330.629,331.665,322.855,309.018,297.321,283.073,271.826,267.279,268.834,267.348,259.952,250.323,244.699,237.142,225.623,204.081,185.794,167.14,150.797,143.585,133.816,126.498,120.311,116.962,113.256,110.765,106.758,102.959,100,98.314,96.603,96.104,96.747
"44","37","    Other equipment","B879RG3",24.79,28.805,36.689,37.765,40.61,42.737,46.708,49.97,55.009,60.994,66.071,67.766,69.665,70.478,71.36,72.427,74.95,77.994,80.183,81.728,83.815,86.051,87.446,88.711,90.205,90.732,90.922,90.898,91.385,91.39,91.347,92.267,93.367,96.089,97.531,97.504,99.04,100,100.929,102.159,103.087,104.29
"45","38","  Intellectual property products","Y052RG3",28.616,30.246,33.174,35.901,37.648,39.66,41.948,45.044,49.249,53.625,57.394,59.905,62.243,63.53,64.379,65.437,68.12,69.985,71.453,73.614,74.678,76.086,77.49,80.62,81.414,83.045,83.731,85.405,88.088,88.455,88.568,89.838,91.562,93.587,95.324,97.684,100.333,100,102.135,104.857,105.926,107.294
"46","39","    Software","Y053RG3",63.173,65.49,69.681,74.045,75.691,78.428,78.826,82.729,87.166,92.178,95.983,96.64,97.581,97.645,96.485,97.149,98.43,97.177,96.6,98.244,94.502,95.645,94.782,96.287,95.358,94.051,92.628,94.132,96.911,97.446,97.161,96.522,96.197,96.868,97.893,98.903,100.186,100,99.491,99.852,99.504,99.73
"47","40","    Research and development","Y076RG3",26.533,28.062,30.814,33.374,35.042,36.944,39.177,42.123,46.159,50.353,53.985,56.469,58.783,60.081,61,62.049,64.751,66.805,68.424,70.617,72.218,73.658,75.35,78.694,79.722,81.775,82.782,84.492,87.176,87.518,87.686,89.171,91.105,93.263,95.069,97.562,100.348,100,102.426,105.429,106.678,108.195
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","structures, software, and research and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","5. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
