"","Table 1#7#3# Real Gross Domestic Product, Real Gross National Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"11","3","Less: Income payments to the rest of the world","A655RA3",4.685,5.22,5.847,6.072,6.148,6.008,5.881,5.604,5.22,5.346,5.8,6.03,5.954,6.419,6.487,6.976,7.843,8.647,8.918,9.125,9.457,10.239,10.846,10.815,10.57,10.008,9.969,9.511,10.112,9.994,9.749,9.565,9.215,9.75,10.194,11.14,11.671,13.297,13.87,15.59,16.772,17.822,18.773,20.533,21.953,20.619,18.618,22.306,23.682,25.624,26.514,24.275,25.256,26.559,26.283,24.649,23.295,23.982,25.834,26.665,29.323,32.029,33.354,32.693,31.647,31.414,31.448,31.339,33.329,34.156,32.044,33.393,34.1,35.678,37.075,38.68,40.629,41.282,44.049,45.986,48.297,50.689,49.185,47.452,48.138,47.283,48.211,45.915,44.291,41.766,40.626,36.649,35.786,36.371,34.601,33.611,32.422,34.757,33.888,38.338,38.117,42.068,46.263,50.284,51.736,53.563,56.583,54.998,53.963,55.644,57.985,59.969,64.435,65.668,68.3,68.507,68.453,69.991,70.3,69.371,70.278,72.613,77.999,79.686,83.496,87.952,86.987,85.837,78.771,70.383,69.025,49.001,60.276,67.809,67.999,60.913,66.846,66.223,68.64,69.079,71.923,80.731,82.604,94.168,97.001,102.175,105.388,119.33,125.922,138.185,145.349,148.327,153.205,161.112,157.296,147.72,146.473,142.902,133.409,125.075,102.351,100.407,95.416,101.826,89.603,91.898,94.13,96.267,93.455,98.012,96.696,94.643,99.334,96.656,97.781,98.837,99.077,98.057,95.712,97.671
"12","4","Equals: Gross national product","B001RA3",32.447,32.542,32.735,32.593,32.542,32.607,32.89,32.536,33.438,33.64,33.877,33.987,34.598,35.39,35.734,36.322,37.249,37.688,37.538,37.887,37.64,37.715,37.316,37.115,36.618,36.9,37.528,38.088,38.929,39.234,39.436,39.738,40.249,41.022,41.736,41.694,41.896,43.437,43.891,44.532,44.631,44.74,45.158,45.269,45.425,44.469,44.369,45.079,46.033,45.673,46.22,45.744,44.96,45.263,45.017,45.042,45.621,46.681,47.595,48.585,49.502,50.365,50.851,51.201,51.612,52.099,52.841,53.269,53.72,53.883,54.449,54.654,55.056,55.712,56.208,57.151,57.53,58.258,58.56,59.357,59.946,60.403,60.877,61.07,61.715,61.969,61.931,61.634,61.229,61.588,61.845,62.192,62.917,63.6,64.187,64.837,65.028,65.349,65.718,66.443,67.157,68.028,68.41,69.173,69.492,69.755,70.222,70.823,71.346,72.51,73.149,73.967,74.453,75.64,76.531,77.064,77.903,78.63,79.541,80.867,81.697,82.427,83.448,84.973,85.182,86.812,86.883,87.549,87.183,87.717,87.263,87.993,88.494,88.822,89.361,89.538,89.882,90.838,92.362,93.609,94.302,94.816,95.72,96.319,97.618,98.057,98.921,99.243,100.453,100.723,100.711,101.568,101.637,102.569,103.655,104.349,103.548,104.066,103.663,100.913,99.521,99.394,100.026,101.06,101.494,102.471,103.127,103.932,103.804,104.603,105.089,106.321,107.107,107.491,108.143,108.237,108.408,109.123,110.314,111.148
"13","5","Less: Consumption of fixed capital","A262RA3",19.931,20.176,20.419,20.652,20.871,21.082,21.285,21.468,21.644,21.819,22.001,22.177,22.374,22.597,22.857,23.146,23.46,23.762,24.046,24.32,24.581,24.822,25.05,25.261,25.449,25.638,25.824,26.01,26.197,26.403,26.624,26.87,27.134,27.41,27.701,28.003,28.309,28.639,28.982,29.342,29.721,30.095,30.456,30.807,31.149,31.481,31.797,32.103,32.393,32.698,33.014,33.344,33.688,34.011,34.313,34.595,34.857,35.146,35.459,35.803,36.176,36.59,37.051,37.558,38.11,38.647,39.164,39.663,40.14,40.625,41.116,41.617,42.122,42.616,43.097,43.565,44.02,44.479,44.94,45.406,45.876,46.342,46.805,47.264,47.722,48.152,48.555,48.932,49.282,49.622,49.953,50.275,50.586,50.916,51.269,51.641,52.034,52.44,52.858,53.284,53.723,54.19,54.687,55.213,55.766,56.331,56.909,57.497,58.096,58.73,59.398,60.101,60.839,61.617,62.455,63.353,64.311,65.245,66.152,67.029,67.878,68.984,70.365,72.027,71.887,73.582,74.983,76.027,76.835,77.473,78.075,78.697,79.438,80.115,80.788,81.417,82.005,82.571,83.199,83.908,84.704,85.406,86.18,87.006,87.871,88.687,89.55,90.42,91.305,92.224,93.109,93.983,94.868,95.688,96.448,97.164,97.777,98.442,99.098,99.625,99.92,100.036,100.041,100.003,100.183,100.438,100.725,101.02,101.298,101.636,102.009,102.427,102.893,103.384,103.84,104.324,104.849,105.38,105.911,106.458
"14","6","  Private","A024RA3",16.814,17.058,17.294,17.522,17.741,17.954,18.162,18.364,18.56,18.762,18.97,19.184,19.405,19.666,19.965,20.299,20.664,21.005,21.327,21.634,21.927,22.198,22.446,22.671,22.871,23.069,23.262,23.453,23.641,23.851,24.086,24.343,24.624,24.918,25.223,25.54,25.869,26.217,26.582,26.966,27.367,27.756,28.131,28.493,28.841,29.173,29.489,29.788,30.071,30.367,30.677,31.001,31.339,31.65,31.933,32.188,32.414,32.667,32.947,33.254,33.588,33.967,34.392,34.864,35.382,35.875,36.342,36.783,37.196,37.619,38.049,38.488,38.936,39.373,39.799,40.213,40.616,41.028,41.45,41.881,42.323,42.76,43.194,43.624,44.049,44.45,44.824,45.173,45.495,45.812,46.124,46.431,46.733,47.064,47.425,47.816,48.237,48.677,49.136,49.614,50.111,50.644,51.212,51.817,52.459,53.112,53.776,54.452,55.139,55.865,56.631,57.437,58.284,59.191,60.161,61.194,62.292,63.356,64.382,65.368,66.311,67.57,69.159,71.093,70.843,72.81,74.426,75.607,76.501,77.188,77.83,78.5,79.316,80.046,80.761,81.415,82.031,82.596,83.234,83.963,84.795,85.511,86.31,87.173,88.08,88.927,89.83,90.736,91.661,92.623,93.54,94.445,95.359,96.193,96.953,97.657,98.231,98.867,99.484,99.938,100.103,100.084,99.97,99.843,99.874,100.016,100.217,100.449,100.679,100.987,101.349,101.769,102.258,102.782,103.267,103.792,104.373,104.962,105.547,106.151
"15","7","  Government","A264RA3",35.581,35.822,36.09,36.341,36.553,36.744,36.917,37,37.068,37.102,37.142,37.117,37.187,37.218,37.279,37.335,37.391,37.493,37.582,37.689,37.794,37.89,38.025,38.17,38.29,38.436,38.582,38.74,38.922,39.107,39.255,39.436,39.609,39.79,39.995,40.209,40.387,40.614,40.827,41.05,41.292,41.57,41.844,42.123,42.423,42.738,43.046,43.375,43.695,44.035,44.376,44.726,45.089,45.467,45.857,46.276,46.715,47.186,47.669,48.196,48.756,49.342,49.978,50.661,51.377,52.126,52.894,53.678,54.471,55.27,56.067,56.874,57.668,58.446,59.2,59.935,60.651,61.344,61.999,62.634,63.243,63.846,64.446,65.048,65.66,66.233,66.777,67.29,67.777,68.228,68.654,69.042,69.397,69.714,70.018,70.289,70.534,70.764,70.969,71.125,71.268,71.399,71.535,71.66,71.771,71.894,72.038,72.191,72.351,72.527,72.713,72.91,73.116,73.257,73.452,73.691,73.964,74.273,74.604,74.958,75.353,75.725,76.118,76.496,76.88,77.282,77.682,78.089,78.5,78.902,79.312,79.703,80.096,80.528,81.011,81.522,81.981,82.548,83.131,83.75,84.375,85.018,85.673,86.332,86.996,87.671,88.351,89.057,89.752,90.478,91.211,91.945,92.698,93.454,94.218,94.986,95.774,96.57,97.401,98.256,99.124,99.825,100.35,100.701,101.526,102.263,102.919,103.483,103.97,104.432,104.858,105.261,105.633,105.981,106.314,106.622,106.905,107.186,107.487,107.786
"16","8","    General government","A265RA3",37.132,37.373,37.639,37.886,38.093,38.272,38.429,38.495,38.537,38.545,38.552,38.498,38.533,38.538,38.56,38.594,38.609,38.68,38.739,38.817,38.889,38.961,39.066,39.188,39.281,39.411,39.533,39.671,39.841,40.006,40.137,40.312,40.475,40.646,40.843,41.05,41.22,41.439,41.643,41.856,42.085,42.353,42.618,42.884,43.176,43.48,43.781,44.103,44.413,44.745,45.08,45.423,45.783,46.159,46.551,46.974,47.42,47.899,48.397,48.94,49.516,50.122,50.782,51.49,52.233,53.01,53.815,54.632,55.463,56.303,57.138,57.987,58.822,59.64,60.429,61.195,61.944,62.665,63.344,64.002,64.626,65.244,65.855,66.47,67.093,67.673,68.218,68.728,69.211,69.648,70.057,70.426,70.755,71.038,71.308,71.539,71.738,71.925,72.086,72.2,72.299,72.39,72.485,72.57,72.644,72.731,72.839,72.955,73.081,73.221,73.37,73.524,73.695,73.821,73.992,74.201,74.441,74.708,74.999,75.31,75.662,75.982,76.335,76.674,77.012,77.379,77.747,78.128,78.522,78.901,79.289,79.654,80.022,80.427,80.883,81.363,81.776,82.312,82.861,83.452,84.049,84.67,85.313,85.965,86.632,87.314,88.006,88.728,89.445,90.191,90.949,91.709,92.487,93.27,94.059,94.855,95.671,96.494,97.356,98.24,99.135,99.845,100.352,100.668,101.509,102.259,102.921,103.487,103.966,104.424,104.843,105.239,105.608,105.95,106.276,106.577,106.852,107.121,107.409,107.694
"17","9","    Government enterprises","A266RA3",22.415,22.672,22.963,23.265,23.525,23.823,24.154,24.391,24.692,24.968,25.312,25.537,25.922,26.189,26.594,26.852,27.259,27.645,27.994,28.362,28.756,29.059,29.451,29.796,30.141,30.418,30.764,31.085,31.367,31.71,32.001,32.235,32.485,32.748,33.019,33.296,33.539,33.83,34.115,34.41,34.762,35.12,35.467,35.849,36.214,36.607,36.969,37.356,37.756,38.148,38.536,38.943,39.331,39.721,40.094,40.479,40.862,41.267,41.63,42.024,42.454,42.866,43.304,43.785,44.27,44.793,45.247,45.762,46.238,46.695,47.177,47.645,48.102,48.548,49.013,49.497,49.94,50.396,50.861,51.304,51.788,52.267,52.782,53.269,53.786,54.303,54.837,55.371,55.892,56.457,57.018,57.559,58.137,58.725,59.306,59.912,60.529,61.114,61.668,62.179,62.678,63.13,63.597,64.052,64.468,64.885,65.327,65.776,66.22,66.692,67.182,67.722,68.214,68.479,68.87,69.359,69.908,70.553,71.21,71.926,72.668,73.467,74.179,74.878,75.639,76.336,76.982,77.603,78.158,78.745,79.338,79.936,80.527,81.175,81.872,82.632,83.464,84.273,85.125,85.972,86.818,87.625,88.378,89.089,89.73,90.344,90.932,91.524,92.046,92.612,93.163,93.702,94.265,94.824,95.398,95.962,96.535,97.131,97.739,98.373,99.039,99.677,100.336,100.948,101.652,102.296,102.903,103.455,103.995,104.492,104.969,105.426,105.818,106.208,106.592,106.955,107.293,107.663,108.052,108.458
"18","10","Equals: Net national product","A027RA3",35.255,35.313,35.493,35.262,35.146,35.175,35.476,34.995,36.066,36.273,36.522,36.615,37.323,38.246,38.608,39.264,40.333,40.802,40.548,40.913,40.546,40.579,40.03,39.73,39.066,39.368,40.1,40.748,41.746,42.074,42.268,42.581,43.15,44.041,44.855,44.725,44.898,46.731,47.208,47.915,47.94,47.98,48.408,48.456,48.561,47.283,47.077,47.884,48.998,48.469,49.068,48.388,47.319,47.614,47.229,47.189,47.844,49.089,50.145,51.286,52.328,53.295,53.782,54.089,54.463,54.933,55.724,56.132,56.572,56.656,57.235,57.367,57.741,58.431,58.927,59.977,60.334,61.122,61.384,62.254,62.866,63.318,63.791,63.92,64.606,64.817,64.677,64.227,63.651,64.013,64.252,64.604,65.419,66.178,66.815,67.524,67.67,67.97,68.328,69.116,69.888,70.844,71.2,72.013,72.279,72.475,72.916,73.519,74.023,75.3,75.93,76.771,77.202,78.473,79.374,79.828,80.641,81.323,82.234,83.651,84.476,85.127,86.072,87.568,87.85,89.462,89.258,89.846,89.242,89.754,89.084,89.835,90.288,90.546,91.059,91.146,91.442,92.475,94.176,95.53,96.201,96.679,97.608,98.163,99.548,99.912,100.777,100.989,102.264,102.403,102.213,103.066,102.972,103.927,105.077,105.765,104.682,105.17,104.559,101.162,99.441,99.269,100.024,101.266,101.748,102.864,103.589,104.491,104.286,105.173,105.681,107.068,107.915,108.279,108.967,108.987,109.091,109.841,111.159,112.049
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Net domestic product","A362RA3",35.357,35.426,35.619,35.386,35.263,35.283,35.591,35.127,36.165,36.358,36.639,36.719,37.421,38.359,38.7,39.365,40.396,40.845,40.523,40.889,40.436,40.499,39.991,39.753,39.149,39.451,40.163,40.746,41.769,42.082,42.274,42.579,43.087,43.999,44.827,44.754,44.856,46.8,47.241,47.882,47.894,47.864,48.17,48.224,48.316,47.084,46.917,47.861,48.951,48.451,49.022,48.261,47.215,47.436,47.155,47.137,47.805,49.027,50.083,51.214,52.316,53.29,53.789,54.165,54.659,55.114,55.992,56.361,56.857,57.044,57.598,57.826,58.179,58.827,59.338,60.376,60.664,61.496,61.801,62.651,63.28,63.752,64.2,64.25,64.967,65.16,65.085,64.347,63.911,64.417,64.705,64.964,65.796,66.573,67.252,67.957,68.017,68.4,68.697,69.677,70.378,71.399,71.78,72.616,72.783,72.956,73.559,74.041,74.478,75.862,76.536,77.328,77.856,79.061,80.057,80.589,81.316,82.039,83.1,84.508,85.25,85.855,86.843,88.254,88.58,90.18,90.021,90.367,89.898,90.326,89.878,90.009,90.856,91.304,91.685,91.61,92.04,92.952,94.676,95.797,96.31,97.037,97.884,98.689,99.786,100.263,101.054,101.537,102.812,103.003,102.931,103.705,103.606,104.387,105.066,105.375,104.411,104.893,104.145,101.374,99.633,99.486,99.865,101.015,101.455,102.568,103.351,104.147,103.692,104.598,104.947,106.356,107.42,107.707,108.498,108.451,108.717,109.407,110.626,111.373
"21","12","  Net domestic purchases","W367RA3",35.204,35.225,35.442,35.114,34.966,34.931,35.24,34.791,35.789,36.145,36.383,36.498,37.287,38.198,38.45,39.122,40.082,40.307,39.893,40.114,39.498,39.567,39.208,38.846,37.853,37.994,39.012,39.556,40.796,41.222,41.456,41.847,42.602,43.431,44.147,44.262,44.567,46.078,46.522,47.04,47.033,47.019,47.073,46.947,46.905,45.206,44.664,45.873,47.044,46.545,47.142,46.538,45.604,45.708,45.873,45.871,46.558,48.084,49.427,50.691,52.105,53.182,53.721,54.172,54.507,55.246,56.105,56.573,56.909,57.306,57.917,58.019,58.316,58.917,59.334,60.31,60.256,60.815,61.166,62.03,62.491,62.71,63.067,63.152,63.802,63.893,63.739,62.759,62.213,62.585,62.904,63.159,63.888,64.76,65.384,66.214,66.425,66.873,67.287,68.324,69.126,70.177,70.503,71.383,71.59,71.729,71.973,72.437,73.07,74.488,75.396,75.802,76.578,77.72,78.856,79.628,80.708,81.783,83.019,84.408,85.475,86.342,87.506,88.9,89.607,91.265,91.35,91.809,91.232,91.587,91.342,91.59,92.594,93.208,93.729,94.015,94.344,95.456,97.038,98.231,98.898,100.05,101.008,101.951,103.047,103.443,104.249,104.953,106.131,106.299,106.419,106.629,106.669,107.271,107.469,107.097,106.184,106.025,105.042,102.435,100.098,99.251,99.765,100.886,101.583,103.17,104.183,104.561,104.121,104.839,105.144,106.685,107.574,107.819,108.592,108.337,108.679,109.368,110.506,110.916
