"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","        Structures","A760RA3",70.749,65.516,64.869,61.896,61.778,61.207,60.902,59.988,56.842,62.4,63.641,63.93,58.429,53.669,53.635,58.566,64.303,68.428,70.693,71.093,71.163,76.081,77.854,79.145,77.916,77.718,80.528,83.827,87.71,87.56,92.631,95.727,100.344,105.314,105.929,103.305,98.464,98.796,98.613,99.287,100,97.911,89.464,83.196,78.924
"12","5","        Equipment","Y054RA3",22.165,20.803,13.047,10.443,11.675,14.779,15.983,17.388,17.723,18.139,20.811,22.337,24.172,26.827,31.273,36.117,42.774,48.729,52.853,50.07,52.93,55.528,53.689,52.059,47.297,44.884,44.699,45.665,43.906,47.131,52.167,53.795,56.045,62.422,66.132,71.103,75.105,82.649,88.349,99.266,100,101.845,97.632,97.473,94.259
"13","6","        Intellectual property products","Y055RA3",37.83,35.566,34.72,35.906,35.801,34.474,34.617,36.255,37.658,39.62,41.654,43.096,45.056,46.49,49.595,53.749,59.997,62.814,67.144,67.284,67.459,68.51,66.725,66.154,64.708,64.057,63.147,63.648,64.715,66.977,68.548,70.739,74.241,78.055,83.648,87.824,91.236,93.787,96.53,98.505,100,101.868,101.4,99.115,98.826
"14","7","          Software","Y056RA3",2.963,3.919,4.245,4.798,5.722,6.705,7.82,8.302,8.607,10.044,12.025,13.98,16.061,17.566,20.28,23.992,27.736,30.476,33.393,37.767,44.898,49.256,52.012,56.591,56.583,56.241,55.733,58.236,63.552,72.574,77.019,80.988,82.516,77.769,79.142,83.145,87.609,91.339,96.008,100.693,100,104.688,109.185,112.558,115.465
"15","8","          Research and development","Y057RA3",50.792,47.143,45.801,47.155,46.548,44.238,43.902,45.927,47.712,49.756,51.678,52.819,54.63,55.974,59.116,63.31,70.317,73.1,77.848,76.5,74.306,74.258,71.02,68.834,66.957,66.215,65.19,65.12,65.007,65.45,66.259,67.978,71.999,78.063,84.741,88.959,92.112,94.378,96.658,97.993,100,101.221,99.64,96.107,95.119
"16","9","Federal","B823RA3",56.034,52.6,49.245,47.695,45.987,46.309,46.554,46.644,47.658,48.859,50.003,52.185,54.528,56.558,60.242,62.246,67.181,71.136,73.814,72.848,74.053,75.634,75.621,74.524,71.925,69.378,67.554,66.758,66.222,65.656,66.959,67.154,69.792,74.801,79.902,83.529,84.982,87.123,88.586,94.631,100,104.35,101.66,100.212,95.051
"17","10","    Consumption expenditures","B957RA3",64.344,60.534,57.968,56.3,53.403,53.241,53.085,52.232,53.068,53.956,54.583,56.816,59.205,61.201,64.38,64.958,68.49,71.784,73.177,73.363,75.183,76.748,77.731,76.588,74.535,72.469,70.275,68.978,69.234,67.853,68.881,69.171,71.841,76.289,81.26,84.643,85.651,87.123,88.011,93.871,100,104.446,102.036,101.453,95.856
"18","11","    Gross investment","B787RA3",37.506,34.952,30.176,28.909,29.616,30.891,31.928,33.904,35.24,37.038,39.197,41.215,43.403,45.458,50.12,55.107,62.975,68.307,73.855,70.234,69.982,71.571,69.181,68.215,64.321,60.639,59.753,60.21,57.688,59.215,61.213,61.155,63.683,70.237,75.704,80.059,82.888,87.158,90.482,97.138,100,104.032,100.404,96.045,92.361
"19","12","      Structures","B801RA3",92.388,85.516,99.688,97.349,100.975,95.933,97.222,97.324,99.829,110.843,100.712,106.355,103.852,95.894,100.934,101.421,112.091,120.533,131.517,108.271,95.651,98.405,93.943,104.226,107.833,100.506,105.721,103.16,92.219,92.731,86.785,71.192,67.113,78.371,82.48,74.312,62.454,65.035,75.855,85.279,100,112.595,100.89,73.863,57.913
"20","13","      Equipment","Y058RA3",23.334,21.714,12.637,9.45,10.432,14.106,15.735,17.674,18.526,19.024,21.954,23.719,26.125,29.368,34.39,39.551,46.953,53.542,58.573,54.633,56.852,59.405,57.946,56.074,49.422,43.588,42.076,43.328,39.354,40.836,45.079,45.56,47.925,56.488,61.46,68.559,73.875,81.82,84.564,98.038,100,104.898,99.593,99.458,95.198
"21","14","      Intellectual property products","Y059RA3",44.815,41.855,40.744,42.092,41.837,40.13,40.14,42.011,43.615,45.741,47.95,49.515,51.708,53.214,56.696,61.358,68.457,71.344,76.239,75.728,74.663,75.049,72.19,70.68,68.683,67.784,66.724,66.822,66.884,68.539,69.713,71.459,75.068,79.349,85.398,89.704,93.166,95.086,97.411,98.817,100,101.818,100.828,97.96,97.049
"22","15","        Software","Y060RA3",3.506,4.801,5.345,6.052,7.326,8.681,10.111,10.66,11.106,12.925,15.345,17.948,20.785,22.445,25.915,30.512,35.268,38.971,43.083,47.875,54.019,57.704,59.478,62.772,61.572,61.005,60.625,63.244,66.551,76.151,81.078,84.429,85.701,79.249,78.863,81.916,86.945,90.67,96.108,101.144,100,107.099,111.648,113.979,115.452
"23","16","        Research and development","Y061RA3",55.672,51.414,49.799,51.256,50.485,47.859,47.395,49.578,51.459,53.571,55.621,56.825,58.766,60.189,63.594,68.186,75.766,78.416,83.447,81.673,78.944,78.588,74.72,72.185,70.026,69.06,67.865,67.468,66.906,67.072,67.55,68.996,73.037,79.306,86.528,91.056,94.242,95.848,97.636,98.424,100,100.941,99.056,95.359,94.071
"24","17","  National defense","B824RA3",69.292,63.637,57.169,53.224,50.505,50.025,49.537,49.304,49.781,50.184,51.536,53.528,56.867,60.967,65.392,68.822,74.873,80.065,84.125,83.915,83.71,83.925,83.1,79.402,75.391,71.73,68.873,67.804,65.962,64.581,65.579,64.984,67.234,71.967,78.073,82.795,84.427,86.114,88.245,94.9,100,103.203,100.802,97.562,90.702
"25","18","    Consumption expenditures","B997RA3",82.458,75.8,70.102,65.68,61.162,59.506,58.273,57.049,57.392,57.82,58.337,60.035,63.023,66.523,69.535,71.283,75.059,79.065,81.91,83.798,84.323,84.656,85.95,82.392,79.627,76.13,73.111,71.829,70.774,68.85,70.01,69.013,70.986,74.836,80.653,84.779,85.721,86.577,87.964,94.034,100,103.705,102.259,99.523,91.887
"26","19","    Gross investment","B788RA3",38.612,35.317,27.63,24.848,25.884,27.809,28.875,30.682,31.407,31.737,34.738,37.266,41.248,46.523,53.918,60.983,72.001,79.785,86.656,81.212,79.173,79.079,72.812,68.872,61.726,57.764,55.43,54.952,51.083,51.202,51.734,52.259,55.256,62.538,69.494,76.111,80.019,84.525,89.238,97.948,100,101.432,95.622,90.571,86.503
"27","20","      Structures","B808RA3",82.059,67.432,84.897,76.568,75.276,68.864,66.956,59.205,59.822,60.581,51.455,59.98,57.185,67.421,80.061,77.607,94.841,103.064,111.07,102.704,82.562,76.738,56.66,62.553,60.475,62.945,70.098,64.102,60.477,56.115,49.807,47.822,45.429,50.928,57.066,52.835,49.821,49.681,59.88,78.585,100,97.716,76.371,46.903,34.938
"28","21","      Equipment","Y050RA3",32.197,29.57,16.03,10.586,12.033,16.448,18.768,21.275,21.704,21.753,25.799,27.655,31.059,34.92,41.04,47.357,56.669,65.912,72.075,65.673,67.434,70.004,66.976,62.834,54.033,48.964,45.514,45.277,39.278,40.234,43.026,44.543,48.092,55.851,61.176,68.62,72.872,79.764,84.067,98.053,100,104.234,98.671,97.474,92.745
"29","22","      Intellectual property products","Y052RA3",45.932,42.587,42.064,44.626,44.638,41.848,40.566,41.9,43.155,43.98,45.977,48.64,54.287,61.036,69.316,78.356,90.579,94.952,102.409,99.145,94.064,90.796,81.938,76.901,71.67,68.48,66.36,66.451,65.75,65.442,63.991,63.599,66.859,73.922,83.187,90.961,95.901,98.515,102.449,102.464,100,98.975,96.483,92.663,91.251
"30","23","        Software","Y053RA3",3.473,4.87,5.253,5.951,7.17,8.271,9.7,10.166,10.538,12.267,14.712,16.833,20.028,21.992,25.536,33.685,41.124,48.88,54.614,63.341,72.527,78.578,80.822,87.227,83.186,81.876,80.384,84.48,86.852,92.719,92.356,91.248,86.364,84.493,82.552,86.436,89.491,92.439,96.376,100.647,100,107.393,111.692,112.539,113.338
"31","24","        Research and development","Y076RA3",53.916,49.547,48.823,51.701,51.413,47.825,45.962,47.441,48.846,49.448,51.298,54.012,60.039,67.602,76.671,85.814,98.823,102.62,110.365,105.147,97.811,93.118,82.574,75.879,70.458,66.999,64.789,64.371,63.287,62.242,60.664,60.355,64.568,72.673,83.226,91.433,96.58,99.157,103.09,102.655,100,98.103,94.926,90.647,89.02
"32","25","  Nondefense","B825RA3",33.441,33.759,35.636,38.197,38.272,40.026,41.57,42.234,44.209,46.855,47.632,50.183,50.692,48.847,51.165,50.47,53.344,55.011,55.135,52.761,56.576,60.687,62.167,65.841,65.81,65.269,65.295,64.986,66.783,67.668,69.514,71.117,74.449,79.958,83.251,84.888,86.015,88.993,89.219,94.135,100,106.447,103.23,105.068,103.042
"33","26","    Consumption expenditures","B542RA3",31.613,32.852,35.757,38.976,39.033,41.61,43.429,43.254,44.992,46.731,47.565,50.827,52.059,51.087,54.631,52.857,55.931,57.835,56.338,53.109,57.544,61.602,61.97,65.617,64.952,65.63,65.005,63.678,66.402,66.037,66.819,69.504,73.477,79.043,82.418,84.39,85.525,88.18,88.103,93.554,100,105.859,101.618,105.146,103.469
"34","27","    Gross investment","B798RA3",37.217,35.788,35.658,36.921,37.033,37.162,38.175,40.507,42.971,47.455,48.124,49.28,48.364,44.788,44.722,46.149,48.649,49.853,53.251,52.576,55.181,59.44,63.211,66.981,68.309,65.09,66.561,68.538,68.222,72.037,76.424,75.411,77.174,82.56,85.644,86.378,87.483,91.374,92.474,95.838,100,108.186,108.036,104.788,101.721
"35","28","      Structures","B830RA3",111.964,112.787,124.67,128.723,138.398,134.806,140.082,149.505,154.451,178.593,166.799,168.882,166.618,136.379,132.846,136.921,140.036,149.244,164.565,121.251,117.676,131.827,147.641,164.208,175.641,154.605,157.23,159.394,138.052,145.428,139.916,104.946,98.439,117.974,119.2,105.356,80.75,87.256,98.962,94.892,100,133.813,135.858,112.29,90.651
"36","29","      Equipment","Y066RA3",3.44,3.909,4.383,5.931,5.665,7.237,7.102,7.525,9.334,10.934,10.733,12.184,11.782,13.23,15.056,16.834,18.573,17.301,19.009,21.993,25.328,27.695,30.557,35.082,34.792,26.771,31.317,37.448,40.32,43.686,53.385,49.846,47.567,59.408,62.956,68.643,78.537,91.088,86.876,97.965,100,108.135,104.102,109.244,107.303
"37","30","      Intellectual property products","Y067RA3",43.856,41.238,39.602,39.872,39.379,38.632,39.794,42.146,44.065,47.36,49.761,50.339,49.425,46.212,45.363,46.074,48.558,50.108,52.697,54.674,57.233,60.907,63.425,65.08,65.978,67.125,67.013,67.118,67.867,71.292,74.839,78.52,82.441,84.217,87.373,88.554,90.678,91.968,92.826,95.502,100,104.382,104.745,102.747,102.295
"38","31","        Software","Y068RA3",3.601,4.868,5.515,6.242,7.574,9.101,10.563,11.17,11.667,13.578,16.038,18.964,21.67,23.201,26.71,29.494,32.919,34.542,37.882,40.699,45.37,47.899,49.458,51.229,51.422,51.215,51.372,53.292,57.053,68.43,75.842,81.274,85.406,76.834,77.166,79.836,85.776,89.858,95.985,101.37,100,106.965,111.627,114.631,116.408
"39","32","        Research and development","Y069RA3",57.729,53.563,51.038,51.069,49.809,48.138,49.08,51.988,54.359,58.014,60.277,59.954,57.76,52.964,50.639,50.645,52.78,54.282,56.598,58.288,60.18,64.155,66.929,68.54,69.628,71.139,70.954,70.578,70.541,71.93,74.491,77.722,81.584,85.996,89.859,90.674,91.876,92.495,92.093,94.13,100,103.791,103.198,100.094,99.149
"40","33","State and local","B829RA3",41.177,42.358,43.688,44.656,45.916,47.605,49.331,49.724,49.905,51.557,52.31,52.23,51.163,51.228,51.896,53.885,56.93,59.784,61.087,63.439,65.951,68.672,70.183,71.633,72.508,74.518,76.542,78.347,81.14,84.258,87.829,90.261,93.591,96.312,95.933,95.798,95.774,96.657,98.115,98.452,100,97.293,93.751,93.128,92.934
"41","34","  Consumption expenditures","B991RA3",39.149,41.524,43.597,45.243,46.788,48.876,51.261,51.995,52.994,54.063,54.395,54.211,53.974,54.829,55.529,56.695,59.243,61.928,63.19,65.42,67.788,70,71.512,73.111,74.364,76.411,78.234,79.688,81.806,85.138,88.018,89.865,92.904,95.436,94.827,94.919,95.466,96.179,97.729,97.945,100,97.438,94.593,94.616,94.943
"42","35","  Gross investment","B799RA3",46.543,43.729,42.557,41.231,41.504,41.867,41.527,40.858,38.465,41.925,43.997,44.25,40.628,38.24,38.787,43.432,48.122,51.516,52.947,55.697,58.706,63.284,64.782,65.645,65.01,66.871,69.698,72.908,78.423,80.67,87.097,91.996,96.578,100.12,100.753,99.602,97.048,98.668,99.736,100.585,100,96.684,90.156,86.787,84.401
"43","36","    Structures","B842RA3",68.093,63.06,60.982,57.968,57.475,57.351,56.893,55.884,52.17,57.14,59.575,59.301,53.516,49.106,48.556,53.93,59.135,62.798,64.152,66.999,68.404,73.543,75.983,76.297,74.54,75.125,77.668,81.605,87.098,86.876,93.133,98.246,103.796,108.08,108.316,106.296,102.218,102.307,100.956,100.718,100,96.441,88.318,84.097,80.973
"44","37","    Equipment","Y070RA3",10.228,10.579,10.724,11.958,13.369,14.552,14.13,13.799,13.365,14.021,15.179,16.099,15.79,16.596,18.85,22.068,25.547,28.024,29.168,31.086,35.879,38.622,37.215,37.992,39.253,44.197,48.44,49.678,54.269,61.818,69.335,73.229,74.772,76.308,76.964,76.874,78.055,84.869,97.205,102.125,100,94.733,93.056,92.799,92.023
"45","38","    Intellectual property products","Y071RA3",6.968,7.676,7.964,8.41,8.923,9.226,9.901,10.485,10.982,12.155,13.356,14.211,15.1,16.16,17.541,19.376,21.765,24.156,25.913,28.773,34.173,37.994,40.869,44.381,45.41,45.88,45.669,48.013,53.766,58.911,62.398,66.744,69.701,71.199,74.497,77.999,81.147,86.978,91.901,96.864,100,102.137,104.478,105.335,108.398
"46","39","      Software","Y072RA3",2.197,2.614,2.572,2.888,3.26,3.657,4.287,4.675,4.756,5.608,6.921,7.875,8.783,10.063,11.616,13.966,16.153,17.421,18.515,22.212,30.734,36.037,40.23,46.686,48.487,48.491,47.789,50.097,58.561,66.632,70.284,75.268,77.219,75.308,79.658,85.302,88.778,92.517,95.827,99.893,100,100.379,104.785,110.028,115.523
"47","40","      Research and development","Y073RA3",13.376,14.414,15.184,15.759,16.411,16.523,17.177,17.987,19.05,20.578,21.521,22.186,23.012,23.75,24.877,26.029,28.658,32.43,35.002,36.871,38.725,40.964,42.459,42.906,43.164,44.109,44.375,46.79,50.106,52.681,56.055,59.882,63.744,68.2,70.633,72.419,75.315,82.783,88.959,94.605,100,103.427,104.279,102.042,103.417
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
