"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"11","3","Plus: Imports of goods and services","A021RX1",214.4,256.7,253.3,250.5,249.7,254.7,254.1,258,255,274.2,280.3,261.3,299.5,288.8,294.8,308.1,322.3,313.1,304.4,306.7,296.3,312,306.5,303.5,273,251.2,272.1,286.6,304.5,317.7,330.7,341.6,357.8,361.1,356.1,361.1,385.4,386.6,391.6,397,395.9,398,392,400.5,400.8,371.7,345,363.5,379.1,379.6,375.3,386.1,375.1,368.9,386,370.9,379.4,408.6,440.4,462,499.1,520,533.5,549.1,537,563.4,557.9,579.8,579.3,604,620.7,625.5,621.7,637.2,649.6,664.6,661.5,653.8,669.3,689.7,692.9,696.2,695.2,707.8,730.2,729,726.1,706.6,698.6,711,731,747.1,752.6,764.9,777,795.6,812.8,829.6,840.5,874.3,894.7,928,954.1,981,1002.5,1012,1015.5,1028.5,1061.9,1085.7,1120.9,1143,1191.8,1231.8,1277.2,1304.7,1353.6,1384.7,1403.4,1448.9,1485.4,1532,1586.1,1622.1,1688.9,1735.9,1795.5,1799.9,1768.5,1717.9,1675.7,1656.6,1698,1754.3,1782.5,1817,1793.5,1817.3,1837.2,1907.2,1959.7,2034,2059.8,2111,2130.4,2151.6,2157.2,2222.9,2270.7,2295.9,2315.6,2312.3,2351.8,2360.9,2362.4,2328.3,2349.9,2328.3,2285.2,2191.5,1981.9,1897.6,1969.1,2055.5,2113.9,2213.6,2289.8,2295.2,2311.3,2315.2,2342.8,2376.4,2380.6,2395.1,2398,2379.1,2382.7,2422.9,2437.3,2446.4
"12","4","Equals: Gross domestic purchases","A712RX1",4806.2,4815.8,4849,4816.4,4805,4806.9,4849.9,4801.3,4926.3,4974.1,5007.9,5026.8,5127.3,5243.3,5281.1,5370.1,5494.6,5530.3,5488.8,5523.3,5456.8,5472,5435.6,5398.3,5284.9,5307.5,5434.9,5505.5,5659.3,5716.4,5750.9,5805.1,5903.2,6010.5,6104.8,6127.6,6173.3,6363.5,6426.9,6499.6,6510.1,6519.7,6537.1,6532.6,6538,6345,6289.6,6443.2,6591.8,6541.3,6622.2,6560.2,6459.2,6481.2,6509.9,6518,6607.8,6799,6969.1,7130.9,7311.4,7452.9,7531.1,7600,7656.3,7760.6,7878.9,7949.5,8003.7,8065.4,8153.1,8179.6,8229.8,8316.3,8380.2,8511.2,8517.7,8598.1,8653.4,8770.9,8839.9,8879.4,8935.4,8958.5,9050,9072.9,9065.3,8956.5,8899.6,8954.1,9001.8,9041.4,9138.6,9253.7,9339.1,9450.4,9486.6,9551.9,9613.5,9751.5,9861,10001.7,10054.7,10176,10216,10247.8,10292.7,10364.8,10457.9,10648,10776.6,10844.6,10958.8,11118.9,11279.7,11397.5,11554.5,11710.4,11885.5,12078.6,12231.4,12366,12543.9,12757.2,12840.7,13087.8,13133.6,13216.1,13164.7,13224.5,13209.4,13255.4,13397.6,13490.1,13571,13621.6,13676.6,13828.1,14039.4,14204.4,14306.3,14466.2,14603.7,14740.4,14897.2,14966,15086.7,15195.1,15362.5,15405.7,15442,15489.1,15515.6,15610,15653.1,15624.4,15526.1,15522.3,15415.6,15103.9,14820.6,14717.9,14781.8,14920.4,15011.5,15215.4,15348.5,15402.5,15354,15451.6,15498.4,15700.5,15822.4,15864.4,15971.4,15950.8,16005.8,16104.1,16258.5,16322.4
"13","5","Less: Change in private inventories","A014RX1",40.1,33.5,38.7,21,3.8,17.8,17.9,-14.9,42.1,35.8,34.1,-2,12.3,40.3,43.1,17.3,28.4,55.5,26.5,61.4,29.9,39.3,12.6,46.3,-18.7,-32.7,-5.2,0.3,34.6,52,47,17.2,29.3,43.7,76.6,40.3,48.2,47.2,48.1,57.2,43.3,49,18,13,14.3,12.2,-52.9,-15,61.1,15.3,63.1,32.1,-30.1,-5.9,6.6,-57.5,-53.5,-8.4,-2.9,30.4,96.9,91.1,95.1,59.9,18.5,27.1,22.8,41.9,37.2,18.1,-10.4,-8.8,40.1,22.5,-1.9,84.5,18.6,25.8,21.4,29.5,58.2,44.6,12.3,17.9,16.4,41.1,26.9,-12.6,-20,-23.7,1,34.8,2.6,25.3,23.2,26.6,46,31,2.1,17.3,54.7,98.7,61.6,86.6,72.4,41.3,9.4,15.1,2,29.6,65.5,38.2,51.4,112.9,80.9,94,127.9,49.6,67.4,71.1,97.5,45.3,51.5,107.5,23.6,108.7,68.7,63.9,-37.9,-12.8,-36.9,-97.4,-3.8,26.5,32.4,35.1,36.3,-0.2,7.6,46.6,56.4,81.9,71.1,76.2,111.3,33,18.2,94.8,78.6,84.4,81.9,41.4,19.6,49.4,50.2,23,-20.2,-26.4,-20.7,-67.4,-144.5,-190.1,-206.1,-49.6,9.8,48.8,116.2,58.1,22,42.9,-11,80.6,89.2,56.8,77.2,7.3,42.2,56.6,115.7,111.7
"14","6","Equals: Final sales to domestic purchasers","A713RX1",4782.1,4800.8,4828.6,4818.9,4827.4,4811.9,4855.2,4847.7,4902.6,4956.3,4993.8,5057.4,5139.1,5220.1,5254.8,5377.8,5483.5,5483.5,5477.2,5466.9,5441,5448.4,5448.2,5355.2,5345.6,5382.3,5469.6,5534,5640.3,5674.6,5716,5807.3,5893,5978.5,6029.8,6101.3,6134.4,6325,6384.1,6453.9,6473.6,6477,6539.5,6546.4,6543.7,6355.9,6392.1,6488.1,6537.6,6550.8,6561.9,6542.6,6528.1,6513.4,6525.2,6621.5,6700.8,6840.5,7004,7116,7210.1,7357.2,7431,7544.4,7653.8,7752.1,7874.7,7919.3,7978.1,8066.6,8187.8,8221.3,8207.7,8315.5,8404.2,8435.5,8517.6,8591.4,8645.5,8757.8,8788.3,8845.1,8941.7,8956.5,9050.9,9043.4,9053,8989.4,8940,8998.6,9021.4,9018.6,9156.9,9240,9330.4,9439.3,9451.4,9534.5,9629.9,9749.4,9817.2,9909.2,10003.6,10094.7,10151.3,10219,10298.1,10361.2,10471.2,10631,10715.7,10813.5,10920.8,11009.9,11203.5,11307.3,11428.9,11668.6,11825.2,12014.7,12141,12326.2,12498.1,12652.5,12822.6,12979.5,13067.1,13153.6,13204.7,13241.2,13248.8,13354.7,13404.6,13468.5,13542.1,13589.8,13641.8,13829.8,14032.8,14159.8,14251.8,14385,14533.3,14664.9,14787.6,14932.7,15067.6,15099,15286.1,15323.3,15360.5,15446.8,15493.8,15557.8,15601.4,15603.7,15546.7,15552.4,15435.3,15176.9,14972.8,14908.1,14984.4,14965.5,14998.4,15164,15228,15342.3,15332.1,15402.4,15508.9,15610.2,15720.4,15797.9,15882.8,15939.7,15958.6,16041,16130.9,16195.8
"15",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","  Final sales of domestic product","A190RX1",4662.6,4686.6,4710.7,4712.5,4723.8,4715.1,4757.1,4748.4,4805.9,4839,4880.5,4938.5,5007.4,5089,5133.1,5252,5362.8,5388.9,5394,5400.5,5395.1,5401.6,5384.9,5308.3,5346.7,5401.5,5449.7,5516.5,5593.4,5613.1,5648.6,5727.9,5782.2,5874.3,5936.1,5985.2,5993.4,6228.4,6285.5,6367.5,6389.4,6391,6482.3,6510.6,6523.5,6396.9,6480,6539.7,6574.1,6590,6595,6560.3,6537.4,6535.8,6495.1,6590,6664.3,6762.4,6887.3,6978.8,7031.2,7162,7229,7331.9,7458.3,7520.5,7642,7673.4,7749.5,7811.7,7923.7,7971.7,7963.4,8074.4,8172.6,8207.1,8329.7,8433.2,8480.5,8587.8,8636.1,8721.9,8827.8,8838.2,8937.9,8942,8961.5,8930.5,8896.2,8969.1,8987,8983.8,9131.3,9199.6,9294.2,9385,9378.4,9452,9532,9640.5,9693.4,9777.6,9877.3,9959.7,10010.6,10081.7,10202.6,10266,10350.2,10500.4,10553.7,10695.7,10770.6,10862.9,11035.2,11107.5,11183.1,11375.9,11507,11693.3,11776.7,11926.9,12073.3,12224.4,12346,12489.6,12547.4,12618.4,12684.2,12728.2,12712.1,12802.4,12830.4,12872.1,12926.8,12930.1,12992.8,13152.3,13366.3,13480.2,13551.2,13628.7,13759.8,13871.2,13989.9,14142.9,14272.8,14274.9,14469,14508.3,14522,14675.2,14705.3,14788.4,14888.9,14974.4,14915.3,14998.7,14914.1,14647.6,14524.4,14547.2,14605.2,14585.2,14584.3,14686.3,14718.3,14881.8,14871.9,14961.8,15072.7,15151.3,15278.9,15360.8,15444.9,15528.3,15536.4,15616.2,15711.1,15815
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Note. Chained (2009) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
