"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 27, 2014    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2014 2:02:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","36","    Structures","A842RC1",25.6,25.8,27,27.1,29.1,34.7,38.1,38.1,36.9,42.8,49,55.1,55.4,54.2,54.2,60.5,67.6,74.2,78.8,84.8,88.7,98.5,103.2,104.2,104.5,108.7,117.3,126.8,139.5,143.6,159.7,176,192.3,205.8,211.1,219.1,231.5,251.2,271.2,285.3,289.8,280.5,265.8,262.7,258.8
"44","37","    Equipment","Y070RC1",2.6,2.8,2.9,3.3,3.8,4.6,5.1,5.3,5.4,6.1,7.1,8.1,8.5,9.4,10.8,12.7,14.8,16.4,17.2,18.6,21.9,23.9,23.5,24,24.9,28.1,30.5,30.5,32,34.7,37.4,38.8,38.4,38,37.6,37.2,37.1,39.1,43.9,45.7,44.5,41.8,40.9,41.1,40.5
"45","38","    Intellectual property products","Y071RC1",0.7,0.8,0.8,0.9,1,1.2,1.3,1.5,1.6,1.9,2.2,2.6,3,3.4,3.8,4.4,5,5.6,6.2,7,8.6,9.7,10.6,11.4,11.9,12,12.3,12.8,14.3,15.5,16.5,18.1,19.1,19.4,20.2,21.2,22.1,24,25.8,27.8,28.7,29.5,30.6,31.2,32.2
"46","39","      Software","Y072RC1",0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.7,0.8,1,1.2,1.4,1.8,2.1,2.2,2.4,2.9,4.1,4.8,5.4,6.1,6.3,6.3,6.3,6.5,7.4,8.2,8.7,9.5,9.8,9.4,9.7,10.2,10.6,11.2,11.7,12.3,12.2,12.2,12.8,13.4,14
"47","40","      Research and development","Y073RC1",0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.5,1.7,2,2.2,2.4,2.6,3,3.4,3.7,4.1,4.5,4.9,5.2,5.4,5.5,5.8,6,6.4,6.9,7.3,7.9,8.6,9.3,10,10.5,10.9,11.6,12.8,14.1,15.5,16.5,17.3,17.8,17.8,18.2
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
