"","Table 4#2#5U# Exports and Imports of Goods and Services by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"33","25","    Air Transport","Y980RC0",29472,29270,29994,30406,30652,32168,30936,31312,31472,29768,27280,22488,27052,27544,27328,28316,26812,25664,27580,29460,31492,32092,33352,32140,34956,36264,37300,38008,38439,38258,38893,39829,43224,42688,46157,49250,52181,53277,54790,51121,46860,43456,43336,44644,48352,51600,52844,53516,55120,58216,62120,60605,61088,62256,60760,62628,65780,65524,63804,66980,67692,70500,71028,71936,NA
"34","26","      Passenger","Y981RC0",19000,19108,20088,19504,19468,20840,20252,20228,19648,18752,17316,13008,16128,16400,16440,16196,14568,13692,15608,16496,17280,17732,18588,18128,19136,20508,21648,21144,21088,21464,22212,21788,22820,23464,25540,28924,29860,31300,32376,30292,27904,25592,25328,25588,28144,30596,32632,32572,33748,35920,38896,38489,39044,40212,38620,39580,41512,41880,40344,42832,43992,46192,46424,47444,NA
"35","27","      Freight","Y982RC0",4920,4804,5048,5404,5580,5800,6052,5672,5536,5404,5432,5340,5492,5640,5788,6228,6608,6980,6908,6980,7412,7648,7856,7988,8820,9132,9468,9888,9736,9948,10168,10452,10564,10896,11592,12192,13058,13789,14423,12662,11064,10348,10692,11660,12284,12700,11800,12336,12824,13664,13984,13456,13544,13716,13880,14344,14728,14268,13988,14300,14136,14348,14552,14488,NA
"36","28","      Port","Y983RC0",5552,5358,4858,5498,5604,5528,4632,5412,6288,5612,4532,4140,5432,5504,5100,5892,5636,4992,5064,5984,6800,6712,6908,6024,7000,6624,6184,6976,7615,6846,6513,7589,9840,8328,9025,8134,9263,8188,7991,8167,7892,7516,7316,7396,7924,8304,8412,8608,8548,8632,9240,8660,8500,8328,8260,8704,9540,9376,9472,9848,9564,9960,10052,10004,NA
"37","29","    Other modes of transport","Y984RC0",2791,2901,3070,3008,2914,2892,3034,2912,3048,3323,2867,2830,2885,2997,3369,3405,2888,3586,3088,3102,3761,3934,3478,3437,3790,3742,3826,3774,3721,4137,3972,4135,3833,4312,3869,4319,4330,4139,4576,4365,3543,3884,4243,4380,4076,4444,3740,4428,3976,4292,4628,4523,4612,5080,4716,5008,4644,4888,4400,4348,4376,4248,4392,4564,NA
"38","30","  Travel","Y801RC0",89505,89929,95254,94666,97922,101668,100977,100186,98139,92323,86544,69926,81294,82360,81362,82458,77697,74882,82628,86121,90381,92110,92130,94927,101884,102535,100365,101093,101518,103934,106927,108181,111705,115449,119810,129184,134753,138774,134923,126596,116404,116821,121472,124911,130742,133933,139325,144042,144734,153568,152418,152748,155227,161913,163592,164265,170801,170546,174963,176215,178874,185348,186229,189126,192694
"39","31","    Business","Y985RC0",37543,38355,40338,40121,41882,43147,42973,42656,41423,38415,35908,27389,32638,33078,32005,32566,30197,27624,30780,32913,33192,33688,33847,35070,37828,39057,38061,37657,38672,38924,39852,39885,40424,42517,43002,45333,48169,48592,44622,42381,37816,35028,36188,37042,37884,39005,40541,40661,40311,41237,40383,39194,39519,39684,39841,38042,39965,38512,39533,39574,41451,42414,46131,42906,NA
"40","32","      Expenditure of seasonal, border, and other short-term workers","Y986RC0",5823,5947,5914,6001,5874,6003,5965,6060,6275,6235,6396,6409,6634,6794,6541,6806,6765,6584,6788,6909,7164,7480,7359,7450,8232,8401,8573,8533,8600,8744,8696,8761,7820,8061,7978,8077,9241,8544,8394,8441,7568,7080,6564,6162,6064,6477,6517,6317,6223,6253,6627,6366,6343,6704,6769,6714,6805,7112,7221,6934,6883,7110,7199,7118,NA
"41","33","      Other business travel","Y987RC0",31720,32408,34424,34120,36008,37144,37008,36596,35148,32180,29512,20980,26004,26284,25464,25760,23432,21040,23992,26004,26028,26208,26488,27620,29596,30656,29488,29124,30072,30180,31156,31124,32604,34456,35024,37256,38928,40048,36228,33940,30248,27948,29624,30880,31820,32528,34024,34344,34088,34984,33756,32828,33176,32980,33072,31328,33160,31400,32312,32640,34568,35304,38932,35788,NA
"42","34","    Personal","Y988RC0",51962,51574,54916,54545,56040,58522,58004,57530,56716,53908,50636,42537,48656,49282,49357,49892,47500,47258,51848,53208,57188,58422,58283,59857,64056,63478,62304,63437,62846,65010,67075,68297,71281,72932,76809,83851,86584,90181,90301,84215,78589,81793,85284,87869,92858,94927,98784,103380,104422,112331,112035,113554,115708,122230,123751,126223,130835,132034,135431,136642,137423,142934,140098,146220,NA
"43","35","      Education related","Y989RC0",9404,9516,9716,9828,9908,10160,10436,10892,10956,11232,11536,12180,12264,12532,12836,12872,13196,13296,13392,13364,13500,13616,13692,13724,13836,13956,14140,14152,14287,14478,14679,15144,15292,15549,15995,16987,17194,17610,18059,18959,19207,19582,20071,19896,20331,20700,21135,21583,22195,22544,23058,23494,23987,24457,25069,25920,26242,26862,27829,28032,28413,29015,29930,30281,NA
"44","36","      Health-related","Y990RC0",1314,1338,1360,1393,1444,1482,1520,1558,1452,1468,1488,1509,1444,1446,1461,1488,1524,1558,1588,1612,1656,1678,1699,1725,1796,2058,2076,2125,2167,2212,2239,2265,2297,2339,2385,2440,2486,2515,2546,2575,2625,2671,2713,2753,2811,2863,2888,2942,2967,3011,3053,3096,3117,3161,3198,3227,3269,3272,3342,3366,3414,3462,3484,3511,NA
"45","37","      Other personal travel","Y991RC0",41244,40720,43840,43324,44688,46880,46048,45080,44308,41208,37612,28848,34948,35304,35060,35532,32780,32404,36868,38232,42032,43128,42892,44408,48424,47464,46088,47160,46392,48320,50156,50888,53692,55044,58428,64424,66904,70056,69696,62680,56756,59540,62500,65220,69716,71364,74760,78856,79260,86776,85924,86964,88604,94612,95484,97076,101324,101900,104260,105244,105596,110456,106684,112428,NA
"46","38","  Charges for the use of intellectual property n.e.c.","B684RC0",46846,46891,48538,48649,51222,52066,52317,51627,49216,49709,48449,50572,50727,54389,56114,54198,54907,55919,57798,58632,64173,64673,67000,72525,74524,73471,74428,75371,80096,83618,81288,89196,90888,95046,100148,105130,102155,102147,103733,100466,91153,95629,95171,111670,106398,105108,106392,112186,121375,122504,126376,123078,124281,122862,124993,129834,128992,129934,130323,127465,128891,130246,130904,132264,132838
"47","39","  Other business services","Y802RC0",78084,78961,79915,81282,80435,82218,83972,85954,87305,87618,86807,89764,93883,94852,94767,97010,98762,100126,101860,107677,115042,117655,115686,125238,125812,121539,127884,138677,142193,147051,147340,166626,171537,182284,188561,193028,193085,205920,202005,208216,208675,207566,208304,219055,210378,216858,232612,246840,241437,248692,255912,251571,253650,256798,257701,272851,266727,268498,274676,283344,278545,281874,280607,289637,292932
"48","40","    Maintenance and repair services","Y992RC0",3681,3849,3838,3880,4129,4443,4942,5230,5334,5413,5712,5839,5719,5974,5599,5784,5391,5797,5329,5315,5336,5474,5169,5390,6419,7100,7071,8281,6436,7616,8101,8539,8878,9532,8770,9066,8449,9839,10887,10901,11209,11367,12670,13061,11813,14239,14170,15217,13239,14360,14643,14874,14605,15130,14408,16317,13764,14109,18098,19206,18442,19516,19792,20702,20749
"49","41","    Insurance services","Y993RC0",3104,3071,3035,3000,3598,3684,3667,3573,3308,3300,3420,3666,3933,4228,4588,4912,5464,5817,6152,6462,6854,7003,7673,7727,7009,6732,8488,8033,9333,9832,9100,9514,10035,10603,11270,11456,12276,13768,13855,13712,14466,14907,14420,14551,13881,13718,14497,15491,14836,14682,15337,15600,15743,16566,16935,16893,16040,15841,16180,16322,16310,16367,16362,16596,16843
"50","42","    Financial services","Y994RC0",17648,19510,20043,20532,21599,22579,22361,21929,22732,22432,20786,21646,24672,25175,23844,24294,27059,26535,27751,30015,35214,35877,33408,41058,38721,37588,39400,43802,46433,45337,44668,55089,56280,60563,64065,64594,66003,64555,60266,61286,64101,64161,62130,67357,66434,67699,74547,80712,78789,79380,80749,74167,76729,73812,75406,80472,81570,83435,82934,88324,85548,87328,84934,91983,93032
"51","43","    Telecommunications, computer, and information services","Y995RC0",12116,12062,12296,12675,11596,11999,12386,12879,13022,12974,12766,12555,12260,12170,12371,13003,13335,14053,14166,14689,14626,15161,14733,15328,15277,14987,15303,16493,15851,16597,17590,18697,18730,19362,20348,22330,22556,23779,23558,22583,23199,23241,23690,25134,23384,23754,25934,27080,27790,29101,29552,30241,30625,31898,32109,33781,33133,33706,33584,33211,33702,34049,33831,33873,33911
"52","44","    Other other business services","Y996RC0",41536,40469,40703,41194,39514,39512,40616,42343,42909,43499,44124,46057,47300,47305,48366,49017,47514,47924,48462,51196,53012,54141,54703,55735,58387,55132,57621,62068,64140,67669,67880,74788,77613,82224,84108,85582,83802,93979,93439,99734,95701,93891,95394,98951,94865,97448,103463,108340,106783,111168,115632,116690,115947,119392,118842,125388,122219,121407,123879,126281,124544,124614,125688,126484,128397
"53","45","  Government goods and services n.e.c.","Y803RC0",7328,7761,8457,7704,7367,8678,9238,8798,7548,7883,8596,6967,7182,6833,8033,6927,7065,7253,9448,10179,11731,11114,11806,10701,14392,14916,15450,13416,16283,20219,18451,19509,21229,15735,17630,27093,17971,20415,17162,16593,16691,19861,24811,17970,18303,18521,19347,17920,21804,23997,23484,21901,22869,22237,22693,24580,24348,23930,24487,21564,20189,17538,16525,17033,17575
"54","46","  Other","B980RC0",9583,9357,9561,9891,10173,10353,10184,9926,9561,9349,9264,9105,8994,9276,9408,9678,9740,9712,9667,9585,9805,9989,10334,10582,10612,10651,10818,10943,11263,11276,11136,11035,11175,10941,11579,11364,11670,12098,11962,12019,11347,11514,11188,11523,11093,11331,11340,11678,12504,12944,13753,13916,13628,13363,13199,13110,12663,12753,12959,13344,13415,13733,14113,14568,14799
"55","47","    Imports of goods and services","B021RC0",1170088,1218181,1278526,1327650,1406765,1452310,1513689,1517753,1488371,1413923,1365176,1314101,1348589,1423471,1453236,1490581,1513083,1513695,1542440,1606516,1687929,1780331,1823966,1910479,1944982,1989219,2042279,2143856,2194408,2244983,2285726,2263924,2308949,2358045,2399635,2466029,2571371,2679885,2697215,2311554,1913357,1864465,2002002,2152885,2241931,2337255,2404859,2475921,2595802,2695272,2715258,2739126,2777128,2781062,2744966,2746680,2747411,2768441,2778288,2787486,2822677,2893546,2883009,2901518,2786739
"56","48","Imports of goods \1\","A255RC0",978495,1024545,1078344,1123452,1194187,1232376,1284123,1295208,1265200,1189600,1145838,1106132,1123573,1197710,1225338,1250715,1275085,1278603,1288030,1343051,1409992,1493470,1533097,1609694,1641999,1682209,1729122,1824160,1855935,1900192,1941560,1900937,1942452,1981866,2015108,2075651,2165223,2264918,2273738,1893629,1524334,1478731,1609001,1749109,1838571,1928650,1984152,2047881,2172471,2251745,2263593,2291113,2327179,2326150,2287710,2283112,2288586,2302170,2308572,2309706,2341479,2405622,2393699,2401080,2283016
"57","49","  Foods, feeds, and beverages","B647RC0",42831,44403,44084,45002,45480,46393,47206,46873,46373,46330,48484,47684,47859,49707,51308,52396,54644,55657,56988,58798,60688,63385,62598,65326,66097,68479,69768,71943,74855,74236,76326,78907,81698,81628,83864,84708,87819,91249,92812,89877,83023,82069,82282,84066,88115,91576,94245,96036,102990,108810,108054,113170,111599,110387,110890,111643,114474,117104,115946,116572,120423,129735,128962,127933,127674
"58","50","  Industrial supplies and materials, except petroleum and products","A649RC0",140290,145075,152524,161273,167221,172235,179182,181953,188590,170145,159634,151074,151112,159896,164114,170365,173594,173869,180149,181776,199154,224792,240241,248480,255920,258348,260766,296788,290113,290649,302079,291308,289177,305014,302867,294567,309330,334538,347485,283561,209188,174942,187533,214896,237141,251180,252229,257231,281872,297312,301852,289820,288092,288216,291613,287619,296155,291624,287615,289306,304380,316616,316856,319011,309717
"59","51","    Durable goods","A820RC0",76070,78056,80430,85700,90961,90886,90078,88658,87562,82661,80724,76982,80455,82092,84100,86136,83837,82135,85837,92523,101174,118690,129832,136107,137795,137537,130524,142531,157819,163481,171928,164179,159510,164927,161817,153518,159896,169852,174258,141950,101251,83834,91174,105749,115917,128285,126432,130122,145554,153236,153813,145773,154984,151669,146905,148218,154825,149563,148839,150245,159148,167747,170337,176712,169785
"60","52","    Nondurable goods","B696RC0",64220,67019,72094,75573,76260,81349,89104,93295,101028,87484,78910,74092,70657,77804,80014,84229,89757,91734,94312,89253,97980,106102,110409,112373,118125,120811,130242,154257,132294,127168,130151,127129,129667,140087,141050,141049,149434,164686,173227,141611,107937,91108,96359,109147,121224,122895,125797,127109,136318,144076,148039,144047,133108,136547,144708,139401,141330,142061,138776,139061,145232,148869,146519,142299,139932
"61","53","  Petroleum and products","B648RC0",49463,65491,80866,92650,122589,118350,126638,136986,131366,114226,103141,88962,86377,110071,112968,127736,149689,134035,138057,139846,168934,175516,188361,226874,224784,240691,278171,309053,304188,327685,348185,286608,296823,326497,344958,418477,469000,520194,554203,361117,222638,239760,289043,319400,353834,355089,346369,359295,441702,480804,459846,466242,470327,447264,407541,412236,402322,381681,391775,374793,387883,359014,344551,312939,221681
"62","54","  Capital goods, except automotive","A650RC0",279228,291953,301235,311968,320960,346869,362913,360088,340383,301093,280992,274130,278924,287132,287078,286557,287233,293865,295972,313504,326314,342722,352657,362776,366189,384782,385022,395337,410140,418795,428768,432742,442002,446337,453548,454577,464951,476596,466524,426719,372205,352031,371119,400866,410365,442004,466258,482998,492310,508096,520794,532520,550889,558077,550172,547983,549781,551694,560756,569127,572254,594935,604351,611624,605791
