"","Table 1AU2# Real Manufacturing and Trade Inventories, Seasonally","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127"
"11","3","  Durable goods","WKSMD0",155474,157937,160816,163398,164429,166100,168646,169759,172802,174222,175940,179227,178072,177239,179200,177673,177454,175728,174377,172076,172502,173237,176387,178332,182102,186431,192581,198254,200856,203619,207575,212735,212962,210872,206705,203333,203129,205323,207968,212303,212983,213393,215678,217040,219278,223599,227129,231193,235587,239847,241964,245921,248212,248920,245483,245920,248284,247432,250058,247977,243766,242495,239889,233891,226158,227090,227526,231436,236244,244386,252696,256140,254818,254671,253188,249688,248295,247474,245434,243907,243361,244550,246331,249720,252000,254573,257148,263232,268131,271717,273701,274582,277118,278453,280247,279970,277342,273222,271726,269594,266524,264427,263872,260805,261058,262778,264665,264943,267177,270181,271950,274989,278462,281037,284236,287011,291399,292016,295609,297698,299377,303976,308138,313302
"12","4","    Lumber and wood products","WKS240",8951,9293,8970,8953,8760,8587,8509,8719,8603,9405,10106,10307,10305,10586,11256,11482,11431,11492,11650,11070,11424,11503,10970,10971,10592,10682,10593,11042,10711,11435,12258,11863,11321,11183,11307,10923,11222,11535,11831,12015,12314,11961,11666,11938,12005,12025,11782,12081,12333,12481,12207,12630,12720,12322,12557,12752,12589,12919,12839,12159,11398,11315,11301,11122,11560,11742,12015,12119,12506,12398,12668,12832,12503,12716,12739,12907,13495,13128,13206,13229,13405,13377,12902,12838,13163,13179,12882,13109,12574,12836,12893,12404,12417,12606,13242,12772,12384,11946,11982,11801,11797,11961,11582,11423,11725,11663,12028,12258,12658,12801,12528,12459,12292,12157,12707,13003,13023,13188,13192,12923,12867,12910,13437,13525
"13","5","    Furniture and fixtures","WKS250",3677,3673,3645,3811,3842,3889,3943,3882,3999,4167,4362,4392,4473,4484,4560,4679,4671,4875,4871,4826,4988,5093,5222,5330,5518,5664,5695,5758,5860,5846,5863,5811,5560,5192,5071,5229,5422,5566,5458,5648,5583,5780,5830,5835,5911,6020,6265,6232,6409,6378,6345,6392,6449,6430,6356,6304,6330,6402,6495,6525,6408,6411,6232,6120,5992,6187,6428,6642,6839,6947,7208,7325,7441,7406,7445,7351,7310,7319,7112,7460,7469,7625,7711,7832,8240,8126,8195,7972,8052,8070,8105,7975,7969,8126,7950,8020,7713,7467,7482,7619,7489,7647,7645,7635,7804,7878,7947,7822,8067,7951,8010,8116,8207,8241,8136,8118,7834,7920,8015,8072,7990,8114,8097,8169
"14","6","    Stone, clay, and glass products","WKS320",7782,7886,7716,7570,7088,6864,6988,7733,8386,8499,8319,7996,8289,8230,8485,8370,8369,8434,8316,8282,8204,8363,8582,8616,8647,8932,9069,9394,9689,10222,10599,10642,10864,10557,10377,10590,10094,10391,10574,10903,10493,10710,10842,10870,11330,11273,11586,11735,11758,12024,11809,11929,12240,12212,11698,11857,12007,11867,12252,11788,11551,11273,11152,10980,10919,10945,11019,11272,11388,11813,12196,12337,12535,12700,12523,12308,12184,12300,12166,12328,12492,12428,12376,12408,12283,12308,12567,12658,12811,12946,12985,12837,12738,12782,12990,13250,13077,12952,12770,12850,12705,12873,12940,12824,12738,12564,12422,12350,12369,11961,12072,12371,12611,13173,13423,13068,13157,13062,13157,13459,13613,13805,13658,13724
"15","7","    Primary metals","WKS330",30181,31638,31696,31772,31535,30553,30595,30771,30562,30939,31315,31212,31174,32242,32876,33890,35234,33840,33630,33524,34616,35226,35915,35392,34194,33566,33520,33303,32870,32798,34042,36520,40113,41888,41133,41309,42100,42372,43303,44117,44442,44483,44298,43386,41696,42495,43041,43439,41846,42608,43044,43709,43187,44137,42122,42234,44103,43394,44996,45674,45071,42598,41289,39160,37134,36929,36273,36502,36987,38107,38657,37331,35647,34690,33998,32902,32139,31854,30296,30714,29398,29192,29708,30316,31056,30698,31458,32023,32795,33675,33411,33118,32787,32931,33372,33188,33485,33059,32725,32407,32012,31993,32135,31570,31597,31743,32179,32423,32077,32015,31927,32368,32396,32610,32272,31956,32548,32504,33016,33471,33042,33265,33633,34193
"16","8","    Fabricated metals","WKS340",25274,25274,25490,26123,26500,28100,28339,28966,28528,28619,27706,28033,27628,26729,27289,26900,27137,28473,27993,26684,26301,26210,26535,27256,28467,29369,30078,30801,31473,32598,33051,34836,34917,34258,33714,33095,32851,32964,33602,34616,34403,34706,35596,35623,36368,36793,37095,37270,37919,38291,38118,38090,38187,37237,36409,36964,36385,35894,36246,35680,34991,34828,34502,32196,31552,31951,32512,32717,33206,33866,34146,34596,34203,33603,33517,34278,34005,34516,34378,34219,34567,34145,34401,34411,34441,34527,35276,35366,35881,35548,36109,35417,35835,35124,35106,34833,34711,33806,33693,33755,33873,34074,34474,33778,33892,33553,34041,33607,33411,33737,34444,34894,35686,36139,35884,35452,36056,35773,36590,37093,37564,38026,38134,38711
"17","9","    Industrial machinery","WKS350",18720,18964,19028,19259,18992,19195,19422,19617,20414,20865,21525,22066,22475,22699,23059,23323,23084,22892,22583,22236,21871,21950,22597,23427,24987,26592,27988,29234,30189,31104,32273,33405,33614,32771,32119,30645,30335,30307,30529,31040,31122,31060,31051,31929,32658,33582,34252,35483,36468,37339,38141,38990,39795,40699,40780,40680,40790,40588,41262,41373,40920,40841,39844,38257,36935,36713,36369,36299,36410,37411,38423,38942,38859,38744,38141,37253,36892,36241,36089,35814,35627,36040,35840,36591,37183,37906,38753,39389,39950,40497,40734,40901,40973,41012,40785,40629,40821,40309,40154,39681,39370,39512,40441,40535,39984,41065,42196,43364,44905,45991,47214,48182,50624,52010,53537,55747,57529,57304,57878,57549,58214,59709,60338,61668
"18","10","    Electronic machinery","WKS360",9205,9279,9472,9737,9833,10016,10111,10204,10587,10935,11061,11141,11122,11096,11292,11223,10840,10677,10463,10415,10434,10506,10833,10949,11703,12472,13328,14064,14578,14718,14703,14536,13948,13438,12879,12614,12657,13085,13462,14049,14447,14930,15211,15617,16139,16846,17310,17475,18160,18607,19081,19937,20348,20307,20175,20126,20507,20932,21309,21050,20622,20530,20365,20131,19605,19959,20088,20988,21297,21972,22906,23384,23356,23326,22837,22107,21803,21913,21805,21337,21466,21604,21650,21944,21755,21679,21775,22183,22313,22325,22700,23095,23217,23130,23178,22885,22559,22399,22294,22255,22499,22655,22861,22886,23199,23573,23766,24081,24757,25560,26410,27328,28444,28989,30177,30712,30828,31407,31703,31991,32935,34197,35501,36167
"19","11","    Transportation equipment","WKS370",57621,58684,61681,63125,65153,66218,68343,67346,68175,66757,67032,70107,67387,65188,64820,62062,61665,59625,59289,58541,58770,58266,59511,59582,59511,59746,62337,63478,63127,62018,61666,62269,60911,60916,59602,58889,58400,59027,58896,59466,59091,58199,59654,59359,59970,61004,61886,63337,66052,67635,68595,69636,69891,69161,68187,68058,68712,68063,67084,65273,63627,64734,65413,66804,63535,63535,63413,65286,68232,71682,75783,77356,76404,76944,77432,76287,76749,76265,75178,73637,73739,73872,75463,76840,78352,81290,81164,83832,86311,88467,89448,92257,93485,95527,96931,98550,97075,94939,93761,91443,88337,84560,81897,79729,79789,79822,79267,77771,77233,78061,76479,76137,74287,72826,71998,70985,71764,71689,72008,73497,74056,73918,74084,74932
"20","12","      Motor vehicles","WKS3710",15413,14320,15429,15306,15789,15898,16949,16231,16344,15929,16015,16312,15734,14633,15133,15502,15227,15883,15424,15286,15595,15347,16131,16278,16218,17081,18246,18565,17960,17043,17134,17643,16465,16332,15622,15337,15916,16870,17224,18612,18832,19562,20078,20107,20042,20287,20803,20807,22648,22004,21699,20187,18999,17728,16728,16684,16336,15748,15439,14403,13870,13711,13334,12787,12787,13230,13671,14694,15209,15533,16031,16224,15939,16091,16208,15904,15586,15313,14834,15109,15146,15138,15225,15492,15339,15445,15243,15497,15841,15861,15941,15415,15163,15541,15563,16309,16152,15752,15762,15953,15908,16000,16615,15932,16192,16397,16572,16926,17024,17560,17842,18398,18475,18525,18170,18559,19087,18358,18513,18521,18910,18885,19258,18885
"21","13","      Other","WKS37X0",41611,43828,45672,47252,48779,49735,50756,50517,51231,50247,50431,53213,51090,50053,49145,45962,45857,43073,43234,42625,42514,42275,42674,42583,42576,41859,43205,44012,44333,44231,43776,43818,43788,43948,43416,43012,41828,41364,40814,39791,39148,37371,38274,37936,38645,39429,39736,41239,41882,44285,45642,48532,50207,50948,51113,51023,52105,52121,51467,50806,49738,51060,52179,54208,50879,50402,49801,50607,53049,56214,59856,61249,60588,60973,61343,60506,61327,61132,60546,58669,58732,58878,60407,61522,63237,66124,66216,68661,70814,72998,73910,77357,78886,80560,81971,82807,81466,79719,78505,75938,72824,68891,65533,64054,63840,63658,62910,61021,60372,60649,58753,57827,55876,54345,53881,52455,52695,53375,53535,55032,55182,55039,54815,56072
"22","14","    Instruments","WKS380",7615,7639,7718,7752,7735,7702,7730,7867,8036,8107,8084,8058,8219,8320,8298,8133,8132,8118,8170,8267,8328,8301,8425,8467,8522,8615,8770,9037,9278,9582,9715,9831,9637,9507,9518,9506,9485,9589,9715,9923,9909,9932,10134,10219,10408,10506,10656,10771,11014,11156,11141,11133,11369,11396,11351,11478,11544,11582,11566,11567,11462,11505,11516,11288,10957,11140,11393,11681,12074,12742,13195,13636,14071,14420,14653,14776,14724,14939,15144,15176,15017,15305,15625,15827,15589,15364,15443,16470,17229,17518,17496,16967,17574,17564,17633,17427,17109,17311,17410,17692,17599,17616,17690,17634,17583,17401,17261,16984,16773,16942,16937,17035,17302,17806,18344,19173,19688,19845,20416,20258,20274,20786,21428,21974
"23","15","    Other manufacturing","WKS390",4522,4488,4547,4648,4609,4702,4837,5056,5357,5455,5754,5658,5768,5885,5998,6126,6263,6564,6623,6642,6495,7032,6869,7002,7242,6938,6903,7412,7542,7500,7816,8001,7499,7230,6840,6870,6974,7134,7369,7421,7741,7834,7818,7844,7739,7765,7934,8058,8000,7812,7540,7305,7262,7516,7271,7065,7158,7013,7136,7302,7584,7783,7763,7180,7026,6993,7053,7086,7221,7553,7870,8129,8334,8189,8192,8106,7862,7767,7931,8222,8413,8571,8431,8328,8330,8405,8475,8717,8617,8594,8606,8553,8856,8826,8898,8755,8578,8330,8451,8669,8775,8947,8872,8697,8722,9105,9017,9274,9259,8816,8966,8762,8336,8332,8044,8091,8188,8213,8469,8501,8443,8380,8391,8604
"24","16","  Nondurable goods","WKSMN0",121522,122645,123796,125036,125642,128091,130816,132539,133453,134231,136557,136220,136629,138644,137965,138557,139325,140555,140766,142268,142422,143991,145081,143774,144856,145492,142608,144498,146735,151532,152594,156028,155313,152325,153072,157613,159743,162792,165456,166139,166385,169351,172335,172480,171313,172251,173074,174420,173089,172581,173328,172800,177233,178427,174904,173358,175415,176453,176761,177344,177999,173544,174080,173595,171064,172015,175863,176435,179843,185063,188115,185102,183489,183272,182085,184776,184025,185786,184404,187597,188408,188317,189729,192130,194087,195814,196278,198447,198696,202220,204491,203756,206322,207337,209262,209530,211303,210683,211013,213891,214477,214895,218366,219086,219728,221029,220404,218751,219583,220098,221527,222898,225962,228048,228395,227401,227945,226003,226446,228239,230530,233141,235147,238275
"25","17","    Food and kindred products","WKS200",29646,29793,30087,30918,30815,31231,32534,32372,31818,32417,32961,32158,32606,32849,31876,32345,32232,32815,32991,33542,33301,34333,34482,33108,33047,33186,31699,33199,34205,35732,34455,33938,33634,33167,34051,36503,36910,37960,39028,38958,39182,40017,40718,38951,38341,38451,38701,39094,39414,40014,39812,39804,40346,40092,39606,39137,39623,39906,40129,39734,38756,37815,38803,39249,38738,37783,38358,37995,38486,38533,38374,38282,38370,38457,38813,38952,38573,38601,38335,38727,39163,39981,40070,39998,39991,40634,39712,40903,40784,41367,42320,42764,42814,43143,44403,44451,44597,44286,44804,45276,45567,46016,46737,46625,46520,47017,46010,45703,45611,46251,47145,46964,47602,47556,47887,48096,48062,47366,47910,48643,48805,49469,49968,50597
"26","18","    Tobacco products","WKS210",8545,8575,8668,8671,8590,8645,8263,8241,8146,8099,8138,7863,7587,7483,7381,7181,7208,7160,6984,7166,7202,7229,7499,7788,7498,7683,7678,7756,8060,8143,8282,8849,8889,9053,9009,9366,9670,9588,9705,9403,9319,9300,9335,9224,8962,8888,8614,8904,8754,8774,8620,8084,8079,8111,8265,8051,8228,7860,8266,8617,9130,9876,9813,9831,9278,9865,9934,9440,8981,8823,9075,8951,8776,8440,8343,8346,8312,7960,7830,8105,8131,8403,8115,7907,7952,7876,7867,7789,7589,7850,8019,8139,8383,8284,8334,8371,8594,8697,8711,8667,8737,8650,8856,8940,9069,9242,9097,8532,8348,8304,7940,7870,7703,7663,8140,7970,7900,7784,7908,8153,8131,8283,8248,8217
"27","19","    Textile mill products","WKS220",7120,7220,7334,7307,7614,7763,7825,8008,8059,8075,8154,8129,8131,8230,8322,8405,8564,8552,8606,8526,8566,8641,8479,8484,8632,8507,8175,8021,8170,8280,8555,8623,8152,7901,7939,8033,8123,8221,8253,8245,8531,8816,8875,8983,8946,8940,9101,8863,8849,8631,8556,8591,8806,8695,8354,8518,8581,8471,8313,8215,7904,7553,7412,7299,7434,7841,8237,8510,8698,8852,8871,8598,8465,8221,8343,8464,8442,8660,8468,8539,8946,8921,9044,9031,8992,9114,8943,9157,8918,9091,9131,9073,9189,9114,9205,9073,8884,8818,9019,9015,9111,9281,9489,9401,9515,9660,9762,10034,10367,10332,10279,10367,10371,10383,10300,10231,10075,9989,10071,10194,10138,10248,10292,10266
"28","20","    Apparel products","WKS230",6819,6707,6979,6783,6769,7181,7136,7420,7616,7473,7588,7720,7321,7778,8053,7969,8309,8334,8281,8284,8411,8404,8638,8907,9477,9288,9080,8940,8350,8122,8285,8540,7990,7824,8016,8397,9051,9636,9455,9133,8941,9053,9138,9546,9495,9635,9917,10040,10337,9891,9823,9412,9553,9696,9542,9410,9443,9436,9351,9844,9738,9523,9393,9267,9017,9227,9685,10086,10745,11275,11365,11268,10938,11187,11184,11466,11691,11532,11487,11335,11517,11328,11398,11740,11930,12370,12162,11812,11257,11127,11426,11412,11633,11474,11423,11170,10702,10705,10787,11459,11726,11733,11696,11859,12383,12745,13025,12963,12869,13074,13277,13479,14093,13926,13658,13328,12860,12286,11971,11673,11994,12370,12524,12485
"29","21","    Paper and allied products","WKS260",7746,7801,7736,7622,7756,7935,7853,7822,7663,7575,7747,7967,8373,8692,8802,9065,8966,8999,9065,9199,9160,9083,9236,9128,9153,9341,9245,9576,9741,10452,11043,11782,11892,11330,11301,11162,11280,11590,11682,11729,11814,11935,12160,12214,12206,12444,12525,12407,12339,12543,12407,12738,13181,13604,13420,13216,13441,13347,13553,13722,14007,13932,13998,13814,13688,13864,13947,14243,14459,14958,15465,15656,15942,15700,15568,15816,15858,16032,16174,16168,16681,16681,16671,16744,16472,16523,16849,17189,16923,17409,17854,17858,17967,18157,18068,18159,18638,18499,18401,19021,19202,19188,19378,19214,19284,19093,19104,19108,19121,19315,19177,18830,19027,19541,19624,19728,20196,20078,20170,19905,20442,19956,20243,20644
"30","22","    Printing and publishing","WKS270",7089,7395,7306,7404,7176,7235,7588,7903,8197,8149,8568,8330,8278,8089,7957,7718,7745,7767,7821,7785,7990,7836,7963,7992,8073,8453,8614,8825,8838,8855,8928,9151,9414,9174,9138,9158,8786,8982,9284,9566,9588,9426,9463,9724,9833,10085,9837,9901,10118,10234,10343,10367,10485,10512,10390,10212,10311,10416,10577,10514,10475,10491,10309,10256,10000,10178,10306,10720,10929,11394,11813,11856,12053,11969,12052,11999,11871,11944,11966,12107,12355,12367,12359,12612,12719,13093,13371,13374,13443,13626,13580,13563,13627,13739,13798,13822,14213,13876,13496,13532,13373,13220,13637,13448,13265,13344,13310,13059,13003,12923,13044,13298,13989,14115,13916,13533,13411,13520,13094,13506,13580,13865,13833,14185
"31","23","    Chemical and allied products","WKS280",26747,26987,27240,27678,27911,28098,29032,29711,30969,31629,32229,32561,32390,33455,33931,34160,34381,34789,34682,35069,35038,35440,35604,35573,35410,35488,35135,35028,35854,36572,37160,39562,39632,39366,38544,38798,39254,39783,40947,41170,40547,41214,42492,43260,43561,43966,44458,44790,43534,43015,43415,43461,45374,45828,44067,44417,44699,45511,45693,46000,45867,44781,43975,42849,42289,42570,43594,44432,45536,47965,49723,48426,47691,48692,49111,48515,48351,49089,48640,50057,48902,48245,49004,50131,51283,50857,51729,52710,54014,55206,55894,55194,55308,56238,56838,57574,58564,58392,58310,59004,59320,59263,60455,61176,61301,61246,61653,61150,61519,61290,61091,61614,61432,63060,63991,63724,64190,64307,64702,65357,65821,66729,67476,68818
"32","24","    Petroleum products","WKS290",15002,15774,16254,16633,16946,17387,18069,17785,17260,16674,16701,17714,18551,18912,18027,17974,17847,18236,18849,18904,18217,17823,17847,17110,16592,16112,15804,15265,15839,18695,20227,20474,21965,20830,20809,21330,21598,21405,21536,22081,22201,23380,23945,24224,23225,22566,22332,22894,21500,21227,22347,23110,24224,25211,25226,24286,24694,25273,24313,24265,26292,23577,24787,25535,25415,24666,25476,24258,24964,25776,25976,24720,24018,23512,20844,23411,22288,24776,24131,25672,24853,24096,24990,26308,27665,27733,27463,26902,27087,28325,27287,26542,29111,28276,27447,27281,27892,28681,28970,28938,28649,28349,28608,28436,28539,28319,27744,27534,28078,27574,27978,29112,29534,29473,28507,28795,29121,28597,28360,28019,29113,29279,29885,30273
"33","25","    Rubber and plastic products","WKS300",7421,7487,7323,7459,7450,7812,7948,8290,8347,8482,8858,8890,9163,9081,9134,9162,9196,9310,9194,9552,9744,9979,10186,10318,10505,10811,11140,11228,11482,11628,11613,11753,11610,11488,11551,11622,11714,11766,11825,12337,12692,12879,13175,13323,13394,13583,13778,13998,14044,14152,14259,13836,13888,13340,12853,13086,13323,13378,13644,13407,13058,12909,12589,12524,12241,12655,12917,13163,13548,14242,14328,14056,14015,14106,14354,14442,14700,14536,14356,14582,14652,14674,14965,15009,15084,15420,15745,15945,16507,16477,16701,16520,16523,16796,17294,17499,17490,17607,17614,17751,17384,17561,17843,18287,18140,18448,18560,18616,18885,18880,19480,19724,20244,20310,20127,20193,20586,20555,20768,21017,21238,21523,21536,21726
