"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198"
"11","2","Goods","DGDSRX0",2369201,2399548,2412047,2427792,2453985,2467724,2459916,2480677,2495732,2490095,2503677,2570088,2528971,2566911,2581423,2566064,2579480,2572203,2571646,2594638,2631878,2623213,2612685,2629894,2624110,2640699,2619326,2620534,2641765,2642915,2651446,2679263,2631050,2785258,2750567,2712794,2731686,2751104,2744998,2768177,2728201,2764362,2793172,2809415,2762357,2768228,2789782,2830641,2820264,2790180,2824719,2853924,2860546,2902217,2921941,2982866,2955578,2956983,2998474,2985721,2998652,2998327,3041439,3021715,3059029,3007607,3048403,3054728,3094987,3088651,3086427,3123087,3127815,3143156,3138635,3196919,3134746,3201847,3242415,3194072,3149992,3174542,3199826,3221957,3265021,3262105,3259515,3272576,3259374,3271583,3298403,3275815,3309217,3328299,3334828,3373609,3366502,3357200,3366741,3367738,3388349,3372856,3385700,3387472,3403822,3394492,3399089,3391195,3367450,3324681,3354042,3360111,3367240,3353809,3315532,3325801,3248352,3205289,3191107,3160097,3205496,3193396,3167502,3155866,3176485,3168314,3197943,3285658,3185068,3198321,3215146,3232136,3221965,3234702,3284267,3280939,3285169,3297996,3296706,3326101,3334582,3371228,3385158,3385000,3401414,3402439,3410725,3409470,3387970,3397303,3406218,3394944,3415321,3446210,3436238,3433068,3463486,3485696,3484768,3491596,3489614,3485702,3500554,3515271,3534785,3521571,3543436,3561873,3593754,3600926,3586289,3586628,3610084,3618791,3629843,3631666,3646805,3654239,3680738,3671910,3637011,3675316,3722643,3721229,3726873,3746725,3749604,3792367,3781567,3794912,3836037,3826036,3822685,3805490,3834962
"12","3","  Durable goods","DDURRX0",652136,667397,672542,683048,696223,708063,706477,713106,717779,712188,716470,734309,750167,770528,762972,745330,750525,745607,746182,756897,776453,768985,762792,763541,766484,787856,778730,765680,775155,790205,782020,800710,775070,883465,852501,818309,832465,847389,843049,866468,832442,848748,875313,893013,854027,846183,854640,885309,872515,850219,871323,894406,902457,916248,929156,962725,942204,944719,965506,960197,959188,972866,985983,976205,1003355,966941,995519,991204,1017312,1007943,1007346,1031230,1017577,1024756,1036424,1068753,1022937,1074405,1114046,1057632,1030313,1020980,1039806,1055726,1088159,1074275,1081611,1083180,1071430,1085845,1100524,1082333,1102369,1102976,1105431,1120410,1122935,1120423,1122752,1129165,1149478,1136113,1136559,1151167,1164971,1162431,1157406,1146544,1134878,1117176,1115413,1117316,1124644,1115023,1087315,1105086,1061708,1015289,1010609,994364,1025200,1006324,994305,986129,1006815,1014754,1034005,1110451,1007209,1015754,1037807,1041066,1028349,1030803,1076336,1072172,1075582,1081146,1088500,1094575,1098209,1127157,1126191,1128880,1136604,1136173,1152547,1144046,1131670,1126945,1144254,1139864,1161733,1181203,1177462,1185867,1202448,1214747,1218806,1217838,1217409,1221064,1228234,1238796,1260210,1245308,1273464,1290334,1298809,1299259,1289095,1300162,1309338,1320463,1320579,1334246,1322774,1337897,1360315,1335310,1325377,1345440,1394159,1385206,1403596,1412333,1413097,1446362,1435157,1437207,1468159,1454469,1458583,1442532,1471169
"13","4","    Motor vehicles and parts","DMOTRX0",316480,321900,323611,336417,343437,350603,344566,345857,343127,330320,333162,339520,356693,373030,358444,336444,340191,333341,332538,340479,355043,348353,341495,341171,339416,364952,355313,335374,344717,361887,346167,361462,346751,452697,403397,357566,369605,380703,377022,396629,359846,377113,406564,420985,377559,366398,369757,397578,385858,369806,376545,395310,391727,394366,399223,422732,397790,394457,407574,399501,398980,402571,405677,399020,423431,383466,402848,397368,421635,408179,405001,417733,402428,394805,406354,427428,388264,427478,471138,403675,375056,350320,368875,384127,387523,376589,382108,385384,374301,386072,400819,380558,384165,387635,386091,390343,388362,396062,387006,391872,403817,392947,383976,391138,404774,400868,389047,383596,378867,371538,365350,359152,356973,349415,324669,353093,334345,298909,299734,297728,314065,301288,307439,295944,313554,317334,334156,398584,293737,304981,312349,311261,298503,291186,328931,317707,321192,320237,325273,325393,326582,346357,337260,342252,345436,339701,343023,333438,322997,316141,325605,316795,333111,342452,339447,347135,348534,354718,350811,354735,348275,352075,350131,357666,370570,359178,373834,374230,376071,376192,370119,369138,373880,378967,376363,381372,368727,373413,392157,376028,374430,375288,407257,393989,405429,409139,403836,427789,409576,409757,428166,415001,416780,405207,421403
"14","5","    Furnishings and durable household equipment","DFDHRX0",161013,164895,166621,165071,168535,170588,170323,173908,176615,177313,178418,181505,181541,183822,185375,185881,188016,187433,188027,190119,190630,191830,191206,189086,195334,192727,192613,194222,195545,196120,197684,199499,194343,199290,203555,206591,208028,210081,210679,211654,211728,210796,210427,211991,210876,212534,215192,216399,215487,209327,217098,217985,224502,227692,230082,233222,234367,234934,238423,238402,238983,239898,246737,245019,245486,246900,251570,251135,251317,251707,252993,258170,257140,258767,257350,262113,258748,264903,263552,266810,269930,273710,273415,271605,280337,279698,280906,278365,275283,277209,277110,278116,279595,277743,276241,278978,283197,279344,281428,279712,281172,277978,280305,281125,280587,279796,281291,279384,276717,272063,271033,276133,277037,276589,274150,268270,259205,256977,253623,250240,248702,247261,239588,240236,241608,240777,241755,244766,244206,245837,247398,249593,249758,253648,258517,262540,261191,260463,260325,263690,264053,264597,269707,269529,267156,269746,275331,275841,273674,274397,275767,276540,280439,281479,283926,284904,289241,288205,288736,285559,287008,284817,286224,287475,289169,286698,290764,297174,299200,296402,297362,299721,301555,304157,306763,309241,310536,312239,312723,311363,307827,311659,318648,321358,322377,323147,323694,328165,329294,329114,332838,335456,335868,333505,336198
"15","6","    Recreational goods and vehicles","DREQRX0",102343,106421,107186,108487,110440,112073,113665,115598,117903,119723,119673,123642,126696,128044,130816,130937,129307,130262,131174,132824,136082,135226,136079,137107,138222,137702,138560,141298,141727,142672,145377,146465,142821,148090,153015,154483,156353,157966,157016,159593,158663,159815,160171,161056,162964,162833,164853,166534,166725,165555,170160,172535,175508,179786,183203,189221,190434,193112,195771,197007,195966,201977,204440,203938,207498,207257,211904,212180,213611,215408,216177,221565,221414,229430,232324,236730,233550,238287,238747,241375,240168,245333,246837,247442,264050,259350,260126,262662,263327,264821,265442,265922,276761,277006,280302,285692,288004,282436,287758,289613,295192,295720,301061,306811,306297,309656,313112,312001,307671,307297,309494,314187,321052,319085,317871,315019,305411,297956,297618,292244,303926,298888,292941,293343,293930,296948,300522,306172,310583,307866,319661,320522,320990,325810,325420,329899,332196,339390,338350,341152,343409,345360,349556,350112,354131,357348,362070,362510,365242,367089,372036,374482,374722,385489,383237,383581,391882,394974,406468,402127,405486,407077,412087,415421,418106,420041,424813,431522,437703,439726,436423,445249,447471,452640,453538,458654,460947,466188,466184,459848,456401,472155,476256,478458,482973,487803,496984,496958,509008,510091,512583,514456,516568,515710,520211
"16","7","    Other durable goods","DODGRX0",101004,101968,103124,101960,103275,104974,106652,105765,107105,109714,110830,115393,110924,113635,113092,114073,117061,117315,116563,115888,117988,116106,115090,117029,113555,116000,113931,113111,112319,109805,110674,112892,109397,111377,114539,117417,116792,117840,117483,119045,119566,119502,119014,121318,120386,121590,121901,124133,122349,121902,123920,126305,127972,131411,133585,135127,134903,136827,139303,139971,140297,142545,143380,141739,141361,140838,141341,142309,144159,144814,145021,145475,147679,151325,149626,152573,150696,153779,152362,154175,152390,157821,157400,160082,161770,164896,164849,162466,163800,163203,162947,162840,166065,164673,166597,169018,166571,166426,169985,171378,172572,172389,173707,174328,175823,174176,175797,173204,173429,167595,170749,168724,170119,170395,170533,169261,163052,161065,159235,153802,158198,158384,154182,156230,157600,159466,157175,160325,159228,157568,159132,160605,160650,162366,163602,163105,161938,162424,165431,165480,165342,170367,170400,167406,170081,170412,173273,174331,173200,173752,174745,177207,176788,175434,174740,173343,176735,180146,178424,179703,182220,182324,185878,183916,186402,185469,188513,192712,191982,193224,191988,194431,194448,192991,192877,193974,194264,197630,197442,197935,196253,198681,199275,201511,201629,201356,200680,200923,200934,201963,204884,203296,203199,204005,206591
"17","8","  Nondurable goods","DNDGRX0",1770183,1781910,1788561,1790631,1800935,1798731,1792125,1806307,1816809,1818784,1828179,1878538,1807265,1820944,1848894,1857208,1865054,1863885,1862358,1873117,1887440,1888285,1885130,1903602,1892673,1880935,1869510,1889302,1899958,1880206,1901488,1906552,1887682,1910033,1914161,1919782,1921277,1922337,1921595,1915274,1917342,1935504,1931319,1925236,1925736,1942860,1955374,1959435,1965083,1961242,1971576,1973303,1969881,1997705,2002554,2025910,2022444,2020793,2039559,2032453,2047827,2030334,2060706,2051687,2058263,2047902,2056649,2068790,2080126,2084784,2083165,2093566,2115176,2122887,2103987,2127341,2116059,2126206,2122733,2137906,2123087,2159219,2164212,2169160,2177193,2190068,2178996,2190822,2190256,2186833,2198369,2195018,2207436,2226525,2230499,2253993,2243753,2236847,2244104,2238141,2237395,2235861,2248542,2234902,2237124,2230539,2240648,2244052,2232257,2207413,2238798,2243065,2243001,2239183,2228140,2221451,2186907,2189502,2180293,2165903,2179904,2187177,2173394,2169997,2169632,2153500,2164038,2176088,2177366,2182174,2177294,2190945,2193176,2203368,2208339,2209059,2209931,2217236,2208887,2232078,2236995,2245609,2260205,2257543,2266404,2267824,2261002,2267562,2257954,2271223,2264307,2257330,2257555,2270047,2263740,2253283,2267887,2278395,2273960,2281313,2279777,2272837,2280791,2285699,2285956,2286048,2282907,2286046,2309139,2315579,2310327,2301222,2315711,2314523,2324913,2315151,2339125,2333474,2339735,2352301,2327601,2347011,2351181,2357308,2347530,2359024,2361083,2374079,2373073,2383892,2397195,2399021,2392433,2389623,2393549
"18","9","    Food and beverages purchased for off-premises consumption","DFXARX0",654415,657963,659725,663509,665482,663489,666269,669486,674689,669808,673466,699180,665947,674106,683163,683957,681326,688943,685348,684856,687843,692778,691940,694375,695263,689985,687482,695728,698163,693635,692293,692801,696288,693913,693126,699018,691983,692444,694558,689485,696202,697641,699919,697066,694957,699753,705116,705251,708977,709066,708722,710009,704624,709150,716251,720065,719890,718451,719394,714480,726371,721097,726061,726891,724619,723853,725842,729222,737406,736119,737473,742240,747528,751599,750818,751826,750061,756552,754690,759981,763340,768756,767249,768952,766794,775931,772185,777110,781547,778650,780529,782743,779148,788362,788506,798347,795725,792733,790996,788104,789258,790003,793353,787181,788830,788844,792842,797505,789846,786050,791941,790214,791483,796373,787652,782776,776291,768404,763668,757699,760385,761258,762701,764033,769049,768486,769836,770043,775808,776441,777065,784394,781452,791799,785138,780280,781341,780086,775953,787834,787705,789569,796737,799755,799039,800270,793257,799125,795127,797092,795445,796129,790124,794618,796095,785415,795707,799155,797885,801183,802412,799224,802692,802142,805078,809024,803116,802091,807237,813529,809699,799169,807176,807378,808125,807011,811493,809530,812435,820137,815422,811512,808904,810131,805629,811716,808376,807780,810925,808227,809061,807697,806220,802397,801057
"19","10","    Clothing and footwear","DCLORX0",237755,240614,243634,241208,243109,243916,243026,245013,245036,244413,244674,245880,244484,248795,253664,253136,255975,254011,253887,256919,260648,258456,260097,259424,259798,256077,249619,257881,257483,255125,257512,261336,250736,258854,260804,263201,264369,263780,263549,264818,261382,265728,264213,262565,260483,271440,268473,271941,270940,265452,272683,273358,277646,279733,282133,283138,283737,280233,283813,286945,287675,289960,294751,286671,289661,285797,288246,290208,292533,295264,294370,298812,297695,304950,297867,306428,304021,309019,305650,307609,303745,315245,314149,314864,317081,318468,314338,316862,312314,314076,317807,314417,320886,321302,317041,324751,324601,318200,326462,319296,324782,324602,325962,325686,324653,323791,326140,322643,322305,321032,321512,328143,330675,334520,332111,326549,314070,311483,314508,310830,313699,311764,300030,302383,304992,300803,304808,308008,304977,309684,308141,308694,312822,314492,320263,322555,320802,319770,318257,323693,323454,327814,335328,332722,331807,335936,336777,338703,337034,338406,334402,328153,336008,334429,335914,335951,335186,344350,341636,334091,334022,335422,337272,339917,339711,334488,338306,338174,343352,338480,341555,343525,343037,341548,341715,337879,338553,342803,341739,339808,334809,338329,341649,345377,341803,341480,342783,344684,344355,347386,355545,352344,350327,348355,348952
"20","11","    Gasoline and other energy goods","DGOERX0",297710,301041,299714,303302,305922,308048,307492,299528,297676,305293,294302,307826,292542,290444,289963,294887,299539,293424,294862,298394,296524,293097,288833,300717,296489,294258,294153,296155,291954,283775,300399,291493,294301,293424,299538,293882,290658,297435,293731,292241,297109,299841,295267,299877,297427,293286,299132,301312,295699,295478,293354,293442,292749,295727,290603,302670,298861,300524,302429,299557,301391,296779,301194,299590,302467,298756,296326,301205,297561,300643,299216,296354,312803,301598,298206,301403,297696,291188,294675,297087,285227,295789,301189,299099,298357,297476,292922,295068,294375,292725,296021,291914,300369,302260,305342,302319,300758,305828,298308,305201,295875,291901,297412,291243,297733,291380,289321,297098,291801,280367,298324,293356,285969,277952,274228,280406,272949,284556,281179,279747,288198,292121,295267,288885,286904,278436,278546,286282,282063,280387,278278,278629,280527,278555,278895,280181,283668,283780,282215,284444,285914,284568,282077,281821,281976,280997,277492,274083,271985,273142,275232,270651,272194,275437,269309,269644,269068,266513,266710,271806,271252,271917,269789,273009,269874,271143,264772,264217,266977,271510,272988,271091,269388,270700,272034,268762,277967,270146,273896,274579,266970,279885,276228,273813,270690,271788,272221,275444,270549,276957,279371,279794,280810,283238,283448
