"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"28","21","    Apparel manufacturing","S3150",8971,8755,9089,8921,7087,7282,7292,7233,7245,7466,7640,8147,7766,8170,8593,8735,8920,9649
"29","22","    Leather and allied product manufacturing","S3160",1655,1581,1613,1594,1447,1450,1469,1494,1535,1677,1774,1780,1609,1744,1968,2145,2137,2284
"30","23","    Paper manufacturing","S3220",16540,15928,15920,17029,15558,16561,16497,18069,18967,19811,20066,21451,18015,19889,20088,19895,19679,19846
"31","24","    Printing and related support activities","S3230",6912,6447,6548,6852,6115,6344,6271,6654,7024,7310,7254,7548,5960,6472,6436,6421,6461,6785
"32","25","    Petroleum and coal product manufacturing","S3240",11399,8232,14092,15501,11566,15829,17373,22546,31574,32576,55532,25421,44706,53118,64917,58428,56930,32864
"33","26","    Chemical manufacturing","S3250",47346,47903,52440,56757,54050,56658,58856,66344,74877,80136,91232,85036,81867,95332,102750,99027,99947,98619
"34","27","    Plastics and rubber product manufacturing","S3260",16380,16020,17635,18256,16585,17767,18237,21174,23012,23821,25615,24594,22381,24597,26830,27120,27882,27771
"35","28","Merchant wholesale industries","S42W0",259338,269436,287571,305173,291053,297523,308053,340624,372518,407793,445792,443534,409203,460439,496543,523873,539096,572118
"36","29","  Durable goods merchant wholesale industries","S42WD0",163670,171856,183575,192178,175210,173463,178208,206295,225883,250409,259574,267379,226233,246847,272139,290493,305996,329634
"37","30","    Motor vehicles, parts, and supplies wholesalers","S42110",22229,23055,25882,27175,25598,27436,29030,31234,34589,36607,38178,42741,33712,36298,43395,44559,46276,51391
"38","31","    Furniture and home furnishings wholesalers","S42120",4988,5312,5689,6342,5896,6305,6725,7289,7990,8552,8675,8335,6531,7134,7201,7352,7913,8342
"39","32","    Lumber and other construction materials wholesalers","S42130",5822,5545,6202,6463,6428,6742,8296,10847,11989,12088,11241,10549,8243,8892,9105,10223,11437,12198
"40","33","    Professional and commercial equipment wholesalers","S42140",26077,24301,25348,24654,20712,19029,18925,20592,21234,23709,24571,24999,22358,24899,26288,28818,31029,34451
"41","34","      Computers and software wholesalers","S42430",15859,14564,14818,13069,9966,9011,9389,10006,9858,10333,9977,9994,9785,11590,11946,12942,14349,16340
"42","35","      Other professional and commercial equipment wholesalers","S424X0",10218,9737,10530,11585,10746,10018,9536,10586,11376,13376,14594,15005,12573,13309,14342,15876,16680,18111
"43","36","    Metal and mineral (except petroleum) wholesalers","S42150",14028,13926,14432,14568,12888,13826,14548,22759,23966,30757,31266,30674,24652,29805,33115,34042,32841,35494
"44","37","    Electrical goods wholesalers","S42160",21033,22763,25539,28818,23988,22676,22652,25456,27631,31431,33924,35626,30214,32894,35092,37067,38134,40035
"45","38","    Hardware and plumbing and heating equipment wholesalers","S42170",9490,10343,10619,11621,11020,11353,11997,13878,15656,17678,18620,18050,15705,16330,17714,18299,18562,21084
"46","39","    Machinery, equipment, and supplies wholesalers","S42180",43531,49406,51527,52960,51037,48843,47300,53135,59493,64775,68246,73450,62852,66707,75362,84802,93656,101099
"47","40","    Miscellaneous durable goods wholesalers","S42190",16472,17205,18337,19577,17643,17253,18735,21105,23335,24812,24853,22955,21966,23888,24867,25331,26148,25540
"48","41","  Nondurable goods merchant wholesale industries","S42WN0",95668,97580,103996,112995,115843,124060,129845,134329,146635,157384,186218,176155,182970,213592,224404,233380,233100,242484
"49","42","    Paper and paper products wholesalers","S42210",7622,7265,7618,8482,7344,7442,7468,8691,9306,9737,10108,10711,9397,10201,10243,10586,10859,10939
"50","43","    Drugs and druggists' sundries wholesalers","S42220",14120,16238,19933,24643,31794,33303,34110,34654,34236,35662,37668,38966,40010,42755,44974,45355,52349,62443
"51","44","    Apparel, piece goods, and notions wholesalers","S42230",12986,13219,12519,12566,12509,13527,13370,14204,15647,15805,16332,16969,13781,16990,18982,18376,19635,21136
"52","45","    Grocery and related products wholesalers","S42240",17481,17380,18613,18730,17535,18676,18725,19256,21312,22773,25716,27388,26410,28802,32002,33442,35026,37529
"53","46","    Farm product raw material wholesalers","S42250",13480,12481,12226,13839,13460,14848,18318,12847,14718,20537,30980,22551,26772,41568,36823,42338,33739,32031
"54","47","    Chemical and allied products wholesalers","S42260",4733,5084,5464,5419,5418,5941,6222,6930,7769,7865,8921,9354,8337,9731,10912,11745,12558,12544
"55","48","    Petroleum and petroleum products wholesalers","S42270",4572,3823,5070,5928,5092,6432,7079,10568,14695,15252,22628,12235,23660,26076,29123,27980,25700,19882
"56","49","    Beer, wine, and distilled alcoholic beverages wholesalers","S42280",5232,5482,5789,6165,6058,6578,6941,7434,8221,8977,10176,11482,10853,11439,12408,13611,14223,15345
"57","50","    Miscellaneous nondurable goods wholesalers","S42290",15442,16608,16764,17223,16633,17313,17612,19745,20731,20776,23689,26499,23750,26030,28937,29947,29011,30635
"58","51","Retail trade industries","S440",336519,349918,378611,401620,386748,410737,428779,464892,477222,492212,513406,486796,445849,475806,494708,528521,561130,574369
"59","52","  Motor vehicle and parts dealers","S4410",104186,106772,119945,133204,122348,137293,146457,158263,155341,154420,158447,145197,115425,129901,135644,159407,178712,181116
"60","53","  Furniture, furnishings, electronics, and appliance stores","S44230",22818,21495,22440,23414,21794,22948,24154,27261,27628,28192,29156,25858,23901,25613,24974,26240,26392,27162
"61","54","  Building material and garden equipment and supplies dealers","S4440",33519,35431,37734,38965,39016,41297,42975,48041,51621,53202,55340,53150,49875,50802,52275,54125,56072,57664
"62","55","  Food and beverage stores","S4450",27832,29228,30925,30999,32104,32797,33772,35095,35828,37449,41569,42384,42653,44711,46847,48619,50321,52945
"63","56","  Clothing and clothing accessories stores","S4480",27500,28786,30137,32769,31639,33645,34652,37448,39322,44324,44497,42720,38517,40588,42944,43135,43193,44998
"64","57","  General merchandise stores","S4520",58252,59404,62433,63730,64166,66115,68562,74201,78037,80222,82431,80879,78282,82197,87382,88755,91885,93678
"65","58","    Department stores","S45210",42098,41535,42311,41687,39948,38517,37465,38639,39697,39163,38974,36270,34133,36497,36905,28115,28367,27252
"66","59","    Other general merchandise stores","S45290",16154,17869,20122,22043,24218,27598,31097,35562,38340,41059,43457,44609,44149,45700,50477,60640,63518,66426
"67","60","  Other retail stores","S44X0",62412,68802,74997,78539,75681,76642,78207,84583,89445,94403,101966,96608,97196,101994,104642,108240,114555,116806
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
