"","Table 1#2#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"12","3","       Change in private inventories","A014RY2",0,-0.7,0.56,0.06,0.48,-0.26,-1.23,1.37,0.24,0.12,-0.4,-0.89,1.13,-1.3,0.28,1.9,-1.03,-0.31,0.41,-0.13,0.17,-0.21,-0.25,0.28,0.07,0.61,-0.44,0.02,0.52,-0.04,-0.02,-0.05,-0.89,0.53,0.02,0.37,-0.04,0.04,-0.23,-0.49,-0.76,1.45,-0.14,0.14,0.06,0.05
"13","4","Goods","A353RY2",1.39,-0.46,1.09,2.65,4.01,-0.36,-0.98,3.14,2,2.59,1.64,-0.21,1.85,-1.83,1.59,4.39,1.08,1.16,1.48,2.01,1.9,0.44,-0.53,1.28,1.18,2.17,1.24,1.85,2.51,1.88,2.26,1.58,-0.47,0.57,1.2,1.6,1.47,1.57,1.17,-0.21,-1.63,2.43,1.11,1.48,1.17,1.13
"14","5","    Final sales","A325RY2",1.39,0.24,0.54,2.59,3.53,-0.1,0.25,1.77,1.75,2.47,2.04,0.68,0.72,-0.52,1.31,2.49,2.11,1.46,1.07,2.14,1.73,0.65,-0.28,1,1.11,1.56,1.68,1.84,1.99,1.92,2.28,1.63,0.42,0.04,1.18,1.23,1.51,1.53,1.4,0.28,-0.88,0.98,1.25,1.34,1.11,1.08
"15","6","    Change in private inventories","A014RY2",0,-0.7,0.56,0.06,0.48,-0.26,-1.23,1.37,0.24,0.12,-0.4,-0.89,1.13,-1.3,0.28,1.9,-1.03,-0.31,0.41,-0.13,0.17,-0.21,-0.25,0.28,0.07,0.61,-0.44,0.02,0.52,-0.04,-0.02,-0.05,-0.89,0.53,0.02,0.37,-0.04,0.04,-0.23,-0.49,-0.76,1.45,-0.14,0.14,0.06,0.05
"16","7","  Durable goods","A354RY2",0.99,-0.94,0.52,2.07,3.16,-0.06,-1.22,2.29,1.5,2,1.1,-0.93,0.51,-1.59,1.58,3.16,0.76,0.97,1.31,1.61,1.18,0.24,-0.69,0.94,1.22,1.33,1.25,1.34,2.01,1.69,1.77,1.37,-0.49,0.42,0.84,1.17,1.16,0.92,0.93,-0.27,-1.71,1.73,0.96,0.99,0.46,0.65
"17","8","    Final sales","A326RY2",0.85,-0.34,0.24,1.79,2.69,0.22,-0.1,1.24,1.6,1.64,1.38,-0.35,0.23,-0.89,1.04,2.12,1.68,1.12,0.78,1.63,1.24,0.46,-0.34,0.76,0.92,1.07,1.27,1.52,1.72,1.67,1.78,1.38,0.28,-0.16,0.87,0.96,1.14,0.98,1.06,0,-1.07,0.64,0.94,0.9,0.53,0.59
"18","9","    Change in private inventories \1\","A355RY2",0.14,-0.6,0.28,0.28,0.48,-0.28,-1.12,1.05,-0.1,0.36,-0.28,-0.58,0.28,-0.7,0.54,1.04,-0.91,-0.15,0.53,-0.02,-0.06,-0.21,-0.35,0.18,0.31,0.26,-0.03,-0.18,0.29,0.02,-0.01,-0.01,-0.77,0.58,-0.02,0.2,0.02,-0.07,-0.14,-0.27,-0.64,1.09,0.02,0.09,-0.07,0.07
"19","10","  Nondurable goods","A356RY2",0.4,0.49,0.57,0.58,0.84,-0.3,0.24,0.85,0.49,0.59,0.54,0.72,1.34,-0.24,0.01,1.23,0.32,0.18,0.17,0.4,0.72,0.2,0.16,0.35,-0.04,0.85,-0.01,0.51,0.5,0.19,0.49,0.21,0.02,0.15,0.36,0.43,0.31,0.66,0.24,0.06,0.08,0.7,0.15,0.5,0.72,0.48
"20","11","    Final sales","A334RY2",0.54,0.59,0.3,0.8,0.84,-0.33,0.36,0.53,0.15,0.83,0.66,1.03,0.49,0.37,0.27,0.37,0.43,0.35,0.29,0.51,0.49,0.19,0.07,0.25,0.19,0.49,0.41,0.32,0.27,0.25,0.5,0.25,0.14,0.2,0.32,0.27,0.37,0.55,0.34,0.28,0.19,0.34,0.31,0.44,0.58,0.5
"21","12","    Change in private inventories \1\","A357RY2",-0.14,-0.1,0.28,-0.22,0,0.02,-0.12,0.32,0.34,-0.24,-0.12,-0.31,0.85,-0.6,-0.26,0.86,-0.12,-0.16,-0.11,-0.11,0.23,0.01,0.1,0.1,-0.24,0.35,-0.42,0.2,0.23,-0.06,-0.01,-0.04,-0.12,-0.05,0.04,0.17,-0.06,0.11,-0.1,-0.22,-0.11,0.36,-0.16,0.05,0.13,-0.02
"22","13","Services \2\","A341RY2",1.6,1.1,1.22,1.77,1.39,1.04,1.75,1.32,1.64,1.88,1.21,0.87,0.92,0.89,2.23,1.48,2.58,2.16,1.93,2.21,1.87,1.68,1.13,1.93,1.28,1.45,1.41,1.37,1.58,2.05,2.03,2.19,1.36,1.38,1.23,1.69,1.52,1.39,1.35,0.81,0.26,0.71,0.57,0.27,0.13,1.03
"23","14","Structures","A755RY2",0.15,-0.44,0.98,0.84,0.25,-1.19,-0.97,0.92,0.98,1.1,0.32,-0.91,-0.18,-0.97,0.81,1.39,0.58,0.2,0.05,-0.01,-0.09,-0.2,-0.68,0.34,0.28,0.42,0.07,0.57,0.4,0.52,0.39,0.32,0.08,-0.17,0.37,0.5,0.36,-0.3,-0.74,-0.89,-1.4,-0.61,-0.08,0.47,0.18,0.27
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","  Motor vehicle output","A953RY2",0,-0.82,0.98,0.47,0.63,-0.64,-0.35,0.95,0.59,0.16,-0.33,-0.96,0.22,-0.21,0.82,0.74,0.4,-0.01,-0.04,0.21,0.07,-0.35,-0.33,0.35,0.29,0.42,-0.01,0.04,0.29,0.28,0.37,-0.05,-0.16,0.37,0.04,0.13,0.12,-0.04,0.01,-0.49,-0.53,0.53,0.22,0.31,0.13,0.2
"26","16","  Gross domestic product excluding motor vehicle output","A962RY2",3.14,1.03,2.31,4.8,5.02,0.12,0.15,4.44,4.02,5.4,3.51,0.71,2.37,-1.7,3.81,6.52,3.84,3.52,3.5,4,3.61,2.27,0.26,3.21,2.46,3.62,2.73,3.76,4.19,4.17,4.32,4.14,1.14,1.42,2.76,3.65,3.22,2.71,1.77,0.2,-2.24,2.01,1.38,1.91,1.36,2.23
"27","17","  Final sales of computers \3\","BB01RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.32,0.28,0.05,0.35,0.46,0.26,0.17,0.22,0.19,0.12,0.06,0.1,0.2,0.19,0.17,0.41,0.48,0.48,0.41,0.4,0.29,0.12,0.03,0.12,0.03,0.1,0.14,0.09,0.09,0.02,-0.02,0.04,0.06,0.06,0.01
"28","18","  Gross domestic product excluding final sales of computers","BB00RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91,-0.57,2.32,-1.96,4.28,6.79,3.98,3.34,3.25,4.01,3.56,1.86,-0.17,3.35,2.56,3.86,2.31,3.31,4.01,4.04,4.29,3.8,0.85,1.76,2.69,3.75,3.24,2.53,1.69,-0.38,-2.79,2.55,1.57,2.16,1.43,2.42
"29","19","  Research and development","Y694RY2",0.05,-0.12,-0.05,0.09,0.05,-0.06,-0.03,0.12,0.1,0.13,0.12,0.1,0.12,0.1,0.15,0.24,0.27,0.12,0.12,0.03,0.05,0.08,0.01,-0.03,-0.04,-0.01,0.06,0.13,0.08,0.08,0.11,0.1,0.07,0.03,0.07,0.06,0.12,0.11,0.11,0.07,-0.02,0.05,0,0.01,0.06,0.05
"30","20","  Gross domestic product excluding research and development","Y695RY2",3.09,0.32,3.34,5.17,5.59,-0.45,-0.17,5.26,4.5,5.43,3.05,-0.35,2.48,-2.01,4.48,7.02,3.97,3.4,3.34,4.17,3.63,1.84,-0.09,3.59,2.79,4.05,2.66,3.67,4.4,4.36,4.58,3.99,0.91,1.76,2.74,3.72,3.23,2.55,1.67,-0.36,-2.75,2.48,1.6,2.22,1.43,2.38
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Prior to 1959, inventories held by construction establishments are included in nondurable goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Beginning with 1959, these inventories are included in durable goods. Estimates for durable goods and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","nondurable goods for 1996 and earlier periods are based on the 1987 Standard Industrial Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","(SIC); later estimates for these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Includes government consumption expenditures, which are for services (such as education and national",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","defense) produced by government. In current dollars, these services are valued at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
