"","Table 3#11#4# Price Indexes for National Defense Consumption Exp","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"11","3","  Gross output of general government","W085RG3",20.799,21.005,21.063,21.555,21.982,22.381,22.84,23.306,23.607,24.036,24.753,25.659,26.03,26.312,26.679,27.328,27.657,27.942,28.297,29.108,29.455,29.724,29.896,30.957,31.353,31.698,32.164,33.046,33.506,33.921,34.592,36.197,36.958,37.703,38.355,40.632,41.064,41.698,42.309,44.262,44.65,45.05,45.521,46.522,46.692,46.721,47.12,47.456,48.548,48.983,49.294,49.437,50.066,49.997,50.155,50.992,50.847,50.74,50.911,51.211,51.335,51.651,52.022,52.249,53.022,53.538,53.822,53.889,54.7,54.939,55.196,55.41,56.278,56.777,57.258,58.234,58.783,58.751,59.375,59.91,60.579,61.071,61.563,61.37,61.385,61.745,62.188,62.511,62.789,63.347,63.539,64.098,64.992,65.086,65.297,65.745,66.435,66.386,66.533,66.846,67.592,67.654,67.741,68.07,68.481,68.533,68.745,69.021,69.948,70.36,70.717,71.063,72.653,72.689,73.505,73.864,74.628,74.67,75.141,75.597,77.468,77.694,78.038,80.093,82.431,82.659,83.07,83.32,85.244,85.852,86.4,86.866,89.695,90.205,91.093,91.422,93.769,94.253,94.331,94.583,96.592,97.267,97.586,98.456,100.17,101.316,101.865,100.515,100.389,99.549,99.759,100.303,101.956,102.597,102.862,103.353,104.771,105.963,106.275,105.937,106.702,106.897,107.017,107.139,107.274,107.183,107.504,108.641,108.663,109.118,109.594,109.413,109.225,109.486
"12","4","    Value added","W086RG3",20.343,20.534,20.568,21.142,21.476,21.78,22.068,22.618,22.774,23.046,23.433,24.223,24.56,24.86,25.113,25.851,26.058,26.287,26.58,27.315,27.575,27.792,27.906,28.929,29.278,29.577,29.901,30.77,31.068,31.391,31.725,33.096,33.491,33.85,34.35,36.892,37.153,37.524,37.983,40.291,40.573,40.97,41.418,42.486,42.635,42.637,43.054,43.395,44.667,44.968,45.236,45.572,46.449,46.263,46.369,47.25,47.251,47.475,47.633,47.883,47.949,48.129,48.331,48.598,49.674,50.212,50.552,50.516,51.562,51.767,52.008,52.045,52.89,53.36,53.505,53.986,55.014,55.303,55.905,56.357,57.505,58.1,58.248,57.998,58.079,58.337,58.76,59.127,59.538,60.057,60.147,60.744,61.883,61.753,61.922,62.395,63.187,62.98,63.034,63.249,64.238,64.409,64.491,64.757,65.464,65.493,65.678,65.943,67.312,67.696,67.871,68.017,69.851,69.767,70.551,70.686,71.651,71.675,72.206,72.966,75.675,75.548,75.675,78.437,81.237,81.769,82.093,82.111,84.651,85.123,85.361,85.354,89.361,89.788,90.382,90.494,93.775,93.892,93.446,93.874,96.731,97.476,97.503,97.76,99.505,100.208,100.118,99.583,100.834,99.79,99.597,99.778,102.239,102.707,102.922,103.25,104.19,104.699,105.139,105.013,105.682,105.946,106.076,105.942,105.817,105.887,106.039,107.689,107.383,107.793,108.397,108.753,109.348,109.512
"13","5","      Compensation of general government employees","B237RG3",16.029,16.201,16.155,16.756,16.998,17.198,17.381,17.894,17.866,17.967,18.136,18.842,19.069,19.262,19.414,20.099,20.185,20.277,20.378,21.033,21.178,21.244,21.282,22.273,22.408,22.53,22.705,23.609,23.789,23.943,24.046,25.425,25.631,25.716,25.943,28.637,28.616,28.661,28.905,31.376,31.381,31.519,31.83,32.955,32.96,32.859,33.124,33.395,34.648,34.874,35.125,35.494,36.546,36.342,36.439,37.567,37.596,37.848,38.068,38.312,38.425,38.691,38.878,39.077,40.319,40.866,41.166,40.914,42.175,42.254,42.382,42.262,43.247,43.734,43.727,44.251,45.382,45.496,46.069,46.681,48.374,49.052,49.092,48.297,48.22,48.369,48.756,48.895,49.382,49.829,49.547,49.926,51.123,50.815,50.846,51.552,52.561,52.157,52.184,52.535,53.936,53.944,53.964,54.401,55.573,55.373,55.507,55.619,57.674,57.955,58.073,57.791,60.282,59.896,60.905,60.996,62.582,62.61,63.525,64.739,68.932,68.692,68.789,73.037,77.266,77.843,78.048,77.916,81.624,82.046,82.166,81.784,87.705,88.028,88.649,88.378,93.263,93.173,92.222,92.603,96.759,97.625,97.268,97.468,99.763,100.427,99.846,98.953,101.269,99.735,99.513,99.484,103.272,103.652,103.937,104.026,104.856,105.247,105.696,105.521,106.27,106.407,106.343,106.149,105.893,105.751,105.921,108.372,107.606,108.11,108.83,109.221,110.255,110.893
"14","6","        Military","B4080G3",16.171,16.416,16.299,16.909,17.116,17.352,17.519,18.127,18.198,18.299,18.511,19.156,19.257,19.408,19.52,20.202,20.249,20.29,20.385,20.999,21.025,21.054,21.081,22.155,22.221,22.373,22.548,23.513,23.667,23.899,24.007,25.581,25.735,25.764,25.946,29.367,29.279,29.398,29.506,33.302,33.068,33.188,33.309,34.776,34.755,34.505,34.774,35.095,36.449,36.708,36.881,37.317,38.414,38.145,38.487,40.127,40.149,40.277,40.324,40.522,41.158,41.346,41.502,41.656,43.004,43.288,43.455,43.123,44.461,44.493,44.512,44.28,45.422,45.566,45.462,45.5,46.314,46.44,47.264,48.503,50.564,51.283,50.815,49.699,49.555,49.526,49.472,49.492,49.727,49.629,49.633,49.672,50.765,50.724,50.756,50.795,51.287,51.357,51.275,51.417,52.786,52.776,52.687,52.864,54.078,54.162,54.118,54.334,56.716,56.659,56.448,56.559,58.471,58.364,58.889,58.617,61.168,60.956,61.852,63.038,65.965,66.834,67.258,72.661,76.831,77.437,77.672,77.769,80.851,81.349,81.423,81.07,88.018,88.36,88.741,88.534,94.497,94.219,93.029,93.575,97.84,98.898,98.457,98.86,100.797,102.085,101.37,100.306,101.799,100.292,99.111,98.799,103.34,103.305,103.28,103.335,104.331,104.394,104.584,104.277,105.929,106.146,106.031,105.727,105.137,104.562,104.296,104.512,105.448,105.842,106.257,106.656,107.572,107.813
"15","7","        Civilian","W090RG3",15.935,15.97,16.06,16.65,16.96,17.093,17.311,17.651,17.445,17.546,17.643,18.461,18.911,19.179,19.404,20.098,20.254,20.435,20.548,21.277,21.629,21.757,21.816,22.674,22.925,23,23.175,23.99,24.211,24.24,24.337,25.415,25.708,25.884,26.189,27.717,27.809,27.735,28.202,28.536,28.935,29.104,29.725,30.308,30.356,30.495,30.755,30.946,32.049,32.223,32.601,32.867,33.854,33.751,33.456,33.78,33.814,34.266,34.767,35.093,34.351,34.751,34.993,35.268,36.349,37.332,37.853,37.731,38.877,39.038,39.342,39.404,40.147,41.202,41.347,42.702,44.412,44.499,44.646,44.219,45.335,45.965,46.82,46.535,46.561,46.989,48.071,48.398,49.287,50.603,49.864,50.785,52.16,51.424,51.454,53.232,55.093,53.917,54.116,54.809,56.274,56.313,56.515,57.396,58.505,57.822,58.263,58.197,59.701,60.567,61.255,60.281,63.807,62.92,64.808,65.576,65.362,65.853,66.814,68.096,74.747,72.347,71.808,73.812,78.121,78.617,78.745,78.14,83.128,83.4,83.616,83.182,87.063,87.354,88.439,88.047,90.856,91.124,90.627,90.692,94.637,95.141,94.945,94.765,97.736,97.217,96.884,96.31,100.229,98.628,100.313,100.831,103.157,104.33,105.198,105.349,105.874,106.864,107.785,107.845,106.973,106.961,106.988,106.984,107.317,107.933,108.892,115.547,111.622,112.298,113.547,113.915,115.156,116.485
"16","8","      Consumption of general government fixed capital \2\","B432RG3",28.152,28.345,28.652,28.91,29.451,30.014,30.564,31.05,31.793,32.567,33.578,34.379,34.98,35.548,36.063,36.725,37.279,37.906,38.759,39.516,40.079,40.741,41.077,41.858,42.823,43.626,44.354,44.802,45.405,46.196,47.2,48.094,48.996,50.158,51.408,52.615,53.738,55.084,56.118,57.121,58.239,59.381,60.143,60.693,61.27,61.604,62.389,62.854,63.841,64.289,64.54,64.695,64.855,64.763,64.875,64.891,64.825,64.938,64.91,65.139,65.075,65.018,65.231,65.632,66.198,66.664,67.063,67.518,67.997,68.459,68.929,69.306,69.784,70.183,70.639,70.999,71.738,72.383,73.008,73.109,73.117,73.52,73.872,74.686,75.068,75.526,76.005,76.791,77.056,77.697,78.469,79.451,80.466,80.655,81.067,81.125,81.538,81.672,81.773,81.75,82.03,82.483,82.671,82.647,82.569,82.985,83.258,83.781,84.007,84.565,84.836,85.704,86.444,86.872,87.278,87.489,87.404,87.423,87.296,87.275,87.403,87.473,87.647,87.768,88.01,88.455,88.989,89.275,89.719,90.282,90.734,91.393,92.039,92.649,93.199,93.961,94.569,95.025,95.399,95.904,96.691,97.246,97.869,98.212,99.111,99.871,100.54,100.559,100.149,99.871,99.728,100.252,100.598,101.21,101.319,102.026,103.136,103.829,104.253,104.205,104.753,105.213,105.637,105.591,105.658,106.041,106.164,106.643,107.009,107.28,107.712,108.017,107.979,107.463
"17","9","    Intermediate goods and services purchased \3\","W087RG3",19.688,19.91,20.038,20.162,20.871,21.544,22.56,22.647,23.454,24.398,26.243,27.482,27.949,28.128,28.892,29.072,29.854,30.321,30.872,31.868,32.528,32.965,33.335,34.389,34.919,35.396,36.353,37.157,38.194,38.9,40.757,43.031,45.02,47.027,48.133,49.239,50.224,51.676,52.742,53.375,54.074,54.456,54.969,55.724,55.943,56.048,56.372,56.672,57.187,57.986,58.41,57.983,57.857,58.145,58.442,59.124,58.565,57.566,57.763,58.178,58.46,59.132,59.94,60.053,59.993,60.43,60.556,60.895,61.04,61.363,61.659,62.341,63.243,63.793,65.179,67.468,66.675,65.784,66.44,67.196,66.513,66.715,68.137,68.107,67.932,68.566,69.044,69.234,69.123,69.769,70.231,70.666,70.816,71.549,71.867,72.233,72.597,73.001,73.392,73.954,74.017,73.787,73.889,74.377,73.98,74.106,74.391,74.701,74.509,74.989,75.768,76.544,77.554,77.863,78.729,79.591,79.876,79.95,80.286,80.115,80.3,81.22,81.983,82.757,84.259,83.969,84.522,85.147,86.099,86.921,87.949,89.157,90.124,90.781,92.132,92.81,93.683,94.733,95.636,95.621,96.317,96.889,97.652,99.437,101.097,102.896,104.364,101.872,99.754,99.215,99.99,101.042,101.555,102.447,102.781,103.494,105.611,107.82,107.94,107.278,108.189,108.276,108.386,108.92,109.495,109.142,109.761,109.966,110.589,111.122,111.357,110.189,108.55,108.984
"18","10","      Durable goods","A998RG3",33.009,32.867,32.767,32.838,33.689,34.539,35.001,35.053,35.76,36.428,38.049,39.347,40.409,40.533,41.587,42.687,42.961,45.101,45.172,46.43,47.282,47.474,47.168,49.972,50.007,50.869,51.846,53.401,54.57,55.51,57.198,58.42,59.395,60.488,61.335,62.61,64.212,65.57,67.769,68.781,71.373,72.645,73.87,75.697,77.478,78.456,79.592,80.657,82.479,84.636,85.164,84.384,84.182,84.385,84.634,85.334,85.239,85.904,86.53,87.36,86.288,86.338,86.28,85.502,83.521,83.187,82.726,82.712,82.478,82.568,82.674,83.275,83.909,84.401,84.786,85.32,86.631,86.594,87.122,87.54,87.998,88.304,88.859,89.144,89.867,90.298,90.922,91.566,91.915,91.785,91.612,91.849,91.788,91.952,91.939,92.391,92.703,92.371,91.702,91.975,92.135,92.194,92.087,91.695,91.697,91.714,91.41,91.628,91.63,91.441,91.303,91.64,92.162,91.983,92.007,92.006,91.971,92.214,92.034,91.982,92.155,92.093,92.056,92.302,92.801,93.004,92.955,93.076,93.488,93.978,94.333,94.773,95.483,95.794,95.875,95.865,96.61,97.804,98.616,99.097,98.799,98.278,98.012,98.09,98.508,98.965,99.674,100.202,100.148,99.975,99.873,100.004,100.129,100.27,100.202,100.042,100.44,100.837,100.984,101.204,101.737,101.715,101.736,101.726,102.036,102.416,102.464,102.58,102.754,102.793,102.953,103.007,103.381,103.335
"19","11","        Aircraft","B999RG3",29.705,29.49,29.551,29.662,30.913,31.728,31.92,31.892,32.365,32.744,33.778,35.382,36.875,38.232,39.471,40.521,43.075,43.74,44.337,47.589,47.872,47.474,47.474,49.108,48.958,49.442,49.999,51.281,53.122,54.051,55.292,56.683,57.572,58.262,58.936,59.917,60.62,62.367,65.2,65.953,68.364,70.657,72.322,74.571,76.825,77.479,79.237,80.346,82.357,85.842,87.042,86.382,85.836,86.941,87.74,88.436,87.858,88.304,88.688,88.272,87.808,87.825,86.87,85.604,84.084,83.099,82.09,81.059,80.366,80.181,80.156,80.769,81.749,82.209,82.705,83.282,84.439,84.811,85.55,85.811,86.7,87.056,87.054,87.187,87.845,88.259,88.245,88.816,89.507,89.578,89.474,89.627,90.085,90.184,90.37,90.565,90.929,90.767,90.544,90.606,90.705,90.346,89.947,89.489,89.695,89.78,89.535,89.686,89.895,89.715,89.639,90.022,90.278,90.515,90.852,90.928,91.274,91.298,91.085,91.116,91.25,91.21,91.226,91.418,92.46,92.884,93.275,93.427,94.152,94.614,95.232,95.687,96.226,96.354,96.743,96.653,97.726,99.381,99.964,100.514,100.048,99.141,98.536,98.391,98.659,99.061,99.573,100.256,100.617,99.963,99.698,99.722,99.928,99.973,100.017,99.614,100.008,100.253,100.369,100.737,100.93,101.224,101.288,101.152,101.401,101.843,101.953,102.094,102.293,102.361,102.624,102.688,103.026,102.905
"20","12","        Missiles","B277RG3",30.58,29.46,28.827,28.849,29.443,30.475,30.777,31.016,31.524,32.258,34.195,35.049,35.372,34.149,36.448,36.18,34.89,39.02,36.679,36.212,37.961,39.67,37.375,44.033,44.042,44.756,46.088,47.659,47.58,49.732,51.17,53.19,52.743,53.374,54.618,54.786,57.313,57.801,59.275,59.617,60.333,61.122,61.795,62.984,66.482,68.669,70.485,72.893,77.168,80.462,80.772,81.965,82.71,82.301,85.138,85.175,83.631,83.138,82.508,83.216,83.428,83.408,83.692,82.761,79.401,79.668,80.036,80.462,80.505,81.262,81.379,81.343,82.233,81.4,81.378,82.099,85.183,84.521,84.389,85.444,84.86,85.369,87.404,87.558,88.461,89.083,93.247,93.904,93.496,91.732,91.293,91.109,88.572,89.285,88.197,90.168,89.891,88.173,86.153,86.874,87.109,87.378,88.003,87.679,86.626,86.921,86.606,87.629,87.641,86.378,86.601,87.69,88.429,87.732,86.06,85.909,85.815,86.825,87.621,87.859,88.367,88.827,89.692,89.996,90.232,90.575,89.303,89.644,90.163,90.487,90.799,91.429,92.434,93.385,93.005,92.525,93.388,95.01,98.256,99.008,97.775,97.098,97.388,97.893,98.616,99.114,99.715,100.233,100.22,100.302,99.871,99.608,99.872,100.265,100.1,99.995,100.292,100.87,100.891,101.219,104.093,101.128,101.123,101.36,101.299,102.461,102.177,101.875,102.288,102.209,102.436,102.116,102.78,102.979
