"","Table 3#11#3# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"13","6","        Military","B4080A3",120.623,113.82,109.801,107.427,104.793,103.911,102.9,101.276,102.328,105.641,107.517,109.358,110.712,112.313,113.297,114.696,113.862,113.301,113.601,114.953,105.168,99.771,94.994,90.093,86.813,84.495,82.602,81.141,81.84,83.493,86.552,91.287,92.331,91.778,89.638,88.937,92.871,100,101.608,101.209,98.546,96.067,93.01
"14","7","        Civilian","W090RA3",124.441,119.285,122.388,122.381,120.945,119.753,124,124.571,124.402,127.912,132.055,133.674,135.918,139.587,138.81,139.221,136.209,137.468,134.325,130.09,129.409,125.837,118.568,111.586,105.798,100.322,95.65,92.303,89.236,87.74,88.359,88.17,91.046,93.102,93.264,93.773,96.088,100,106.461,110.287,109.48,103.682,103.523
"15","8","      Consumption of general government fixed capital \2\","B432RA3",54.033,52.574,51.515,50.83,50.601,50.613,50.725,51.083,51.899,53.258,55.39,58.478,62.578,67.906,73.889,79.798,84.692,88.095,90.574,91.841,91.874,90.895,89.142,87.074,85.16,83.383,81.628,80.204,78.956,78.34,78.117,79.455,81.928,85.074,88.454,92.073,96.117,100,103.147,105.35,106.155,105.654,104.392
"16","9","    Intermediate goods and services purchased \3\","W087RA3",37.521,32.748,31.213,29.033,26.963,28.362,28.776,30.163,32.857,36.239,40.69,43.785,44.468,47.943,52.493,54.245,56.176,55.173,55.304,56.971,53.828,51.439,49.354,46.37,47.425,47.991,46.546,51.243,50.592,55.629,63.304,73.61,80.217,80.888,82.843,84.385,93.553,100,103.998,98.852,94.416,82.253,76.292
"17","10","      Durable goods","A998RA3",36.8,33.589,29.101,30.681,27.782,34.766,38.319,41.727,44.025,51.555,56.754,67.89,69.026,74.729,80.208,85.277,87.889,84.493,81.457,77.74,69.944,63.592,54.535,49.686,49.303,49.498,49.909,53.024,52.499,52.868,55.044,60.467,66.888,67.404,73.381,80.591,94.208,100,102.488,97.356,97.226,84.845,78.691
"18","11","        Aircraft","B999RA3",61.028,50.982,39.613,36.506,30.565,46.68,47.692,59.371,64.484,83.093,97.207,118.285,111.824,120.141,132.875,142.28,147.313,138.93,122.041,109.18,95.228,82.531,70.055,66.776,66.226,70.764,75.121,79.331,73.844,72.846,73.086,82.437,85.895,75.847,76.312,79.168,87.971,100,109.87,122.239,130.409,119.821,108.88
"19","12","        Missiles","B277RA3",75.845,79.384,73.163,84.015,81.171,75.314,87.795,77.145,77.848,86.847,94.309,102.893,100.134,100.808,117.777,122.854,138.143,135.475,141.254,138.375,119.387,102.337,85.337,70.476,65.941,58.491,58.181,56.646,62.185,66.022,61.304,58.382,62.995,77.912,94.16,101.912,104.385,100,98.838,79.899,76.916,75.872,74.097
"20","13","        Ships","B278RA3",67.887,68.023,53.822,68.101,81.521,183.549,212.679,241.823,198.156,181.943,182.138,265.939,254.72,155.402,146.527,184.092,193.173,181.573,282.158,317.045,344.182,364.148,249.049,186.636,144.311,150.379,137.098,194.303,212.49,196.209,206.172,203.221,222.441,209.288,207.79,165.503,114.474,100,108.623,99.254,219.738,207.832,212.678
"21","14","        Vehicles","B288RA3",52.042,45.257,39.494,63.563,56.882,68.946,90.557,86.035,98.446,97.099,86.342,111.398,141.937,172.41,170.957,156.294,141.297,105.805,94.68,94.541,71.42,58.534,41.255,46.072,39.76,46.002,34.319,25.913,21.495,23.241,22.627,23.133,24.141,34.033,50.87,70.114,89.715,100,98.477,82.484,69.71,44.693,38.065
"22","15","        Electronics","B388RA3",12.432,11.289,10.544,10.194,7.802,8.73,10.417,10.266,12.443,14.31,16.122,18.954,21.091,25.489,26.738,29.22,28.82,29.377,28.721,25.971,25.033,26.592,22.89,18.572,19.412,19.57,19.255,22.335,24.786,25.646,28.64,33.615,39.596,48.562,56.661,69.479,96.112,100,98.172,78.617,68.937,53.959,45.39
"23","16","        Other durable goods","B389RA3",13.798,14.91,15.818,17.055,18.6,17.769,17.698,20.287,19.216,21.868,22.456,23.273,29.229,35.698,32.986,37.497,38.717,43.68,47.426,51.643,49.302,45.643,47.048,45.599,49.524,45.215,45.579,48.701,48.867,49.707,56.493,62.362,74.74,72.679,76.768,83.13,96.479,100,99.485,95.233,91.245,78.542,78.649
"24","17","      Nondurable goods","A725RA3",152.3,113.158,97.787,80.998,65.013,61.377,62.213,64.09,70.076,74.113,73.777,77.266,73.138,71.285,90.356,88.517,85.751,83.046,74.13,75.486,69.825,64.028,58.257,47.716,52.683,53.059,54.816,61.261,64.273,66.108,75.515,81.769,93.008,93.625,91.527,92.558,95.57,100,96.413,98.767,94.388,80.681,72.824
"25","18","        Petroleum products","B780RA3",309.307,195.774,177.908,149.749,124.066,105.558,104.979,106.819,118.229,116.087,109.287,117.038,116.725,118.745,118.62,121.846,102.642,112.646,111.747,110.342,92.341,88.741,91.344,82.87,83.779,75.208,73.419,81.192,74.943,87.589,100.927,97.87,103.225,100.529,99.43,98.373,99.344,100,101.352,104.606,99.288,77.673,64.242
"26","19","        Ammunition","B781RA3",189.922,148.127,101.271,70.513,35.415,48.35,55.909,62.134,62.294,70.351,86.711,101.709,86.082,51.335,138.164,104.86,121.023,101.239,91.299,86.11,81.783,81.168,55.919,35.779,41.899,51.464,58.281,59.314,56.401,64.409,78.348,81.054,106.289,110.629,108.675,101.776,104.169,100,99.153,95.314,95.143,77.141,75.327
"27","20","        Other nondurable goods","B783RA3",32.369,30.35,33.959,32.774,33.419,31.452,30.083,29.902,33.797,44.103,44.067,39.322,36.309,44.738,46.292,55.093,52.932,51.239,38.904,44.486,45.452,37.099,36.4,30.585,36.396,37.414,38.348,45.519,55.322,47.955,52.459,64.977,74.174,76.401,73.107,80.15,86.599,100,89.328,92.98,88.317,89.567,88.091
"28","21","      Services","A489RA3",24.649,22.656,23.757,21.939,21.947,21.855,21.039,21.617,24.027,26.012,31.325,31.441,32.733,36.293,38.841,39.749,41.993,42.014,44.316,47.793,46.476,45.764,46.339,44.728,45.818,46.511,44.225,49.165,48.122,54.739,63.641,75.522,81.641,82.355,83.833,84.053,93.095,100,105.368,99.075,93.655,81.81,76.205
"29","22","        Installation support","B911RA3",40.307,37.295,40.608,39.715,40.82,40.476,37.883,39.849,45.091,48.89,59.764,56.581,61.228,65.343,65.667,69.914,69.621,67.836,76.211,80.695,79.973,86.263,87.433,81.087,82.638,79.401,74.708,76.924,76.256,80.997,88.289,98.157,96.294,90.068,92.475,88.989,93.144,100,101.825,93.139,87.585,77.029,80.234
"30","23","        Weapons support","B912RA3",21.973,20.252,21.888,18.645,19.793,18.763,18.503,22.418,28.999,31.921,39.58,41.609,41.691,47.397,52.394,50.551,55.045,53.941,57.517,47.194,42.516,38.342,39.906,39.479,36.612,41.607,39.195,43.673,43.792,54.448,65.806,79.662,81.108,87.616,89.966,91.693,96.552,100,111.29,103.233,96.607,76.751,76.279
"31","24","        Personnel support","B913RA3",11.57,10.863,10.744,9.917,9.478,9.707,9.509,8.444,8.32,9.315,11.124,12.231,11.304,14.712,17.278,17.557,20.943,21.253,19.571,17.378,23.962,24.96,26.804,26.939,29.551,32.004,30.151,36.906,35.534,42.48,53.364,60.916,74.324,77.845,81.049,77.152,93.409,100,104.656,100.498,100.484,91.712,79.432
"32","25","        Transportation of material","B786RA3",48.391,40.66,38.457,34.496,32.898,33.24,30.858,30.374,31.751,32.237,33.947,38.276,40.181,40.461,45.482,43.253,47.331,51.332,59.285,101.994,70.728,54.123,44.33,49.644,51.595,42.32,43.833,45.92,43.301,46.577,46.999,88.414,75.786,62.631,59.467,90.207,85.866,100,107.758,101.93,67.038,54.982,47.397
"33","26","        Travel of persons","B785RA3",52.514,53.106,58.262,49.991,46.147,47.611,51.519,47.597,45.42,49.209,61.579,55.208,62.07,68.309,73.379,79.152,76.285,81.442,78.167,127.554,101.358,83.985,79.706,69.016,66.446,66.114,65.838,71.128,69.551,70.555,68.432,83.601,96.426,101.117,84.142,93.972,88.41,100,105.259,94.842,85.226,65.578,67.686
"34","27","  Less: Own-account investment \4\","W088RA3",47.696,47.913,46.896,45.251,44.846,43.577,44.157,45.976,46.728,48.188,52.207,59.559,66.046,73.08,78.261,79.861,80.689,82.478,82.772,78,75.275,71.771,68.297,66.815,64.376,62.799,61.849,61.112,63.97,73.559,81.244,84.052,83.292,86.628,91.569,98.809,100.326,100,100.011,107.644,107.607,104.112,101.026
"35","28","  Less: Sales to other sectors","W089RA3",95.684,152.543,200.785,126.286,41.707,64.131,63.284,58.654,77.537,88.984,94.541,44.114,59.249,52.568,52.429,61.02,71.895,58.132,99.405,88.085,108.732,115.088,191.999,92.088,107.321,82.592,68.324,66.725,73.551,73.344,75.712,82.192,82.24,103.491,126.491,92.419,101.721,100,93.865,98.811,90.264,90.936,86.559
"36","29","Gross investment \5\","B788RA3",24.848,25.884,27.809,28.875,30.682,31.407,31.737,34.738,37.266,41.248,46.523,53.918,60.983,72.001,79.785,86.656,81.212,79.173,79.079,72.812,68.872,61.726,57.764,55.43,54.952,51.083,51.202,51.734,52.259,55.256,62.538,69.494,76.111,80.019,84.525,89.238,97.948,100,101.432,96.386,89.523,83.353,79.987
"37","30","  Structures","B808RA3",76.568,75.276,68.864,66.956,59.205,59.822,60.581,51.455,59.98,57.185,67.421,80.061,77.607,94.841,103.064,111.07,102.704,82.562,76.738,56.66,62.553,60.475,62.945,70.098,64.102,60.477,56.115,49.807,47.822,45.429,50.928,57.066,52.835,49.821,49.681,59.88,78.585,100,97.716,76.037,44.839,34.831,27.236
"38","31","  Equipment","Y050RA3",10.586,12.033,16.448,18.768,21.275,21.704,21.753,25.799,27.655,31.059,34.92,41.04,47.357,56.669,65.912,72.075,65.673,67.434,70.004,66.976,62.834,54.033,48.964,45.514,45.277,39.278,40.234,43.026,44.543,48.092,55.851,61.176,68.62,72.872,79.764,84.067,98.053,100,104.234,99.133,96.201,88.94,85.033
"39","32","    Aircraft","B874RA3",25.738,22.618,22.65,34.269,32.088,33.523,31.65,39.654,47.456,54.899,55.195,62.708,67.422,92.022,140.315,161,132.28,120.994,111.61,80.276,70.266,75.689,75.575,61.112,59.309,41.237,41.51,43.232,50.387,58.879,67.88,68.327,81.982,102.849,104.684,99.775,102.153,100,124.229,148.166,147.857,163.134,149.481
"40","33","    Missiles","B875RA3",30.412,31.795,35.207,25.683,21.896,17.141,14.103,28.446,41.028,47.574,61.425,77.758,93.45,106.554,135.115,153.697,139.9,160.217,208.051,209.234,206.945,150.246,110.312,92.928,82.715,61.177,68.861,62.449,58.835,73.839,73.752,75.966,86.308,83.667,92.951,88.611,86.025,100,108.108,95.537,125.597,118.33,122.505
"41","34","    Ships","B876RA3",73.778,62.242,76.772,68.685,70.404,82.184,92.49,95.187,83.698,95.37,111.213,123.58,130.921,143.902,138.933,135.091,128.044,142.086,149.925,134.513,129.989,109.658,98.71,92.868,78.46,69.618,73.609,77.99,74.231,81.338,97.257,104.744,106.241,101.193,105.194,98.3,101.173,100,103.389,97.671,98.933,102.824,107.288
"42","35","    Vehicles","B877RA3",15.381,11.788,11.945,9.759,13.997,17.144,20.839,21.927,24.102,16.344,25.687,43.857,58.382,53.082,57.689,60.026,51.237,42.943,42.807,45.124,35.295,22.446,12.037,12.521,13.543,15.647,17.418,19.392,21.581,23.091,31.309,37.106,32.887,45.255,58.075,70.419,103.65,100,103.438,76.269,59.532,38.916,29.533
"43","36","    Electronics","Y051RA3",1.676,1.77,1.607,1.843,1.936,2.26,2.87,2.975,3.809,4.537,5.388,6.785,8.27,10.916,12.151,14.119,13.876,13.309,13.188,12.334,12.636,13.674,12.589,11.638,12.911,14.011,14.693,19.026,21.156,22.282,25.901,31.566,37.083,44.068,55.68,72.854,98.411,100,96.297,79.81,71.626,55.799,48.618
"44","37","    Other equipment","B879RA3",-19.397,-4.25,9.118,14.381,27.082,25.416,23.198,26.029,24.058,27.694,29.321,30.704,37.637,45.377,40,42.609,43.205,47.836,47.269,55.656,51.957,42.904,42.733,45.106,49.605,45.639,44.82,47.893,48.035,48.235,55.921,62.686,72.681,70.29,75.959,80.885,95.548,100,99.241,94.038,89.18,76.371,74.769
"45","38","  Intellectual property products","Y052RA3",44.626,44.638,41.848,40.566,41.9,43.155,43.98,45.977,48.64,54.287,61.036,69.316,78.356,90.579,94.952,102.409,99.145,94.064,90.796,81.938,76.901,71.67,68.48,66.36,66.451,65.75,65.442,63.991,63.599,66.859,73.922,83.187,90.961,95.901,98.515,102.449,102.464,100,98.975,97.861,92.133,88.158,86.47
"46","39","    Software","Y053RA3",5.951,7.17,8.271,9.7,10.166,10.538,12.267,14.712,16.833,20.028,21.992,25.536,33.685,41.124,48.88,54.614,63.341,72.527,78.578,80.822,87.227,83.186,81.876,80.384,84.48,86.852,92.719,92.356,91.248,86.364,84.493,82.552,86.436,89.491,92.439,96.376,100.647,100,107.393,112.512,113.156,112.739,115.202
"47","40","    Research and development","Y076RA3",51.701,51.413,47.825,45.962,47.441,48.846,49.448,51.298,54.012,60.039,67.602,76.671,85.814,98.823,102.62,110.365,105.147,97.811,93.118,82.574,75.879,70.458,66.999,64.789,64.371,63.287,62.242,60.664,60.355,64.568,72.673,83.226,91.433,96.58,99.157,103.09,102.655,100,98.103,96.36,90.007,85.689,83.601
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. National defense consumption expenditures are defense services produced by government that are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2. Consumption of fixed capital, or depreciation, is included in government gross output as a partial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","measure of the services of general government fixed assets; the use of depreciation assumes a zero net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","4. Own-account investment is measured in current dollars by compensation of general government employees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","and related expenditures for goods and services and is classified as investment in structures, software,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","and research and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","5. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","for fixed assets; inventory investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
