"","Table 5#5#6U# Real Private Fixed Investment in Equipment and Sof","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"11","3","  Information processing equipment and software","A679RX0",140472,147449,150644,159407,167859,175179,183536,189835,201816,213319,229625,238510,254421,265277,273992,290579,306556,329398,344573,347555,370850,389896,396997,409684,409114,392100,381694,377698,375761,378986,385858,376780,386001,391088,412490,430376,431401,438619,446678,455637,461971,471189,481507,486409,505707,508910,520369,524074,540178,546945,558221,577478,591687,601306,594507,567641,537492,544774,554867,589700,598583
"12","4","    Computers, software, and communication","W175RX0",95556,101953,105111,112233,119169,125451,132354,138183,149483,160225,174004,181165,194079,204254,211814,227923,244440,265625,279385,281911,303819,321306,325800,336486,335878,321033,311095,306491,303315,304802,310272,300814,308599,310951,330213,346236,346067,353398,360310,367202,370449,376079,385036,388730,409622,410849,420388,422076,439145,443199,453071,471543,484138,491551,482155,460224,430409,438195,442757,476060,482623
"13","5","      Computers and peripheral equipment \1\","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","6","      Software \2\","B985RX0",63630,65539,67906,70589,73437,76510,79768,84325,93186,98159,104400,110891,115058,119128,124972,132178,138603,148633,156876,161878,167493,172100,172458,177714,179072,175010,172946,167698,169228,173708,177634,173210,177237,179120,189352,196595,199054,200389,206553,212484,213385,218612,219893,220126,222416,224826,228514,232750,234959,238876,242598,249592,257285,260323,258260,252205,235459,236224,239211,251478,257736
"15","7","      Communication equipment","C275RX0",40806,41756,40824,41531,44412,46372,48057,48475,49504,52017,55781,56119,58758,60907,61127,65616,68901,74232,78255,77675,90874,96255,97671,102654,97848,91591,88574,84579,76335,75132,73641,69546,71358,71530,77096,81444,80568,84632,82401,79391,83386,81191,85271,82875,96091,91752,91895,88975,97272,96457,97806,101232,101248,104095,104319,96803,88984,92699,92160,96943,95747
"16","8","    Medical equipment and instruments","W176RX0",21743,21503,21304,21944,22438,23221,24037,24314,25324,25928,26836,27890,29525,29959,31070,31944,31963,32666,33225,33326,34052,34990,37100,38170,39101,38857,38866,40128,42096,44161,45215,46007,46180,46830,47966,49485,49797,49993,51074,53479,56620,58556,59487,59790,59490,60045,61111,62164,62455,63690,64920,66028,67253,69124,69409,67036,67798,67493,69420,70675,73224
"17","9","      Electro-medical equipment","W878RX0",6890,6811,6739,6823,7248,7787,8136,8324,9093,9466,10237,10548,11324,11511,11895,12264,11737,12096,12415,12541,12883,12921,14467,15170,15583,15013,14750,15236,17377,18831,20004,19984,19550,20087,20397,21226,22920,23006,24553,25141,26837,28320,28905,28938,27457,27307,28047,29133,29142,30407,30684,31419,32502,33527,34870,33231,33323,33018,34522,35464,37239
"18","10","      Medical instruments","W879RX0",15187,15023,14894,15481,15506,15712,16178,16256,16442,16652,16729,17490,18337,18583,19322,19824,20444,20778,21008,20970,21349,22288,22789,23132,23655,24022,24318,25098,24823,25394,25224,26063,26702,26803,27640,28324,26890,26999,26518,28340,29784,30235,30581,30853,32029,32733,33061,33032,33313,33294,34241,34619,34773,35623,34606,33852,34511,34503,34954,35284,36086
"19","11","    Nonmedical instruments","W177RX0",18811,18967,19050,19923,19985,19971,20011,19411,18300,17601,18095,18265,18228,18702,18483,18232,18277,18361,18297,18610,18271,18694,20207,21017,20995,20306,19732,20269,20490,20713,20990,19995,19425,20117,20432,20833,22426,21578,22218,22226,22650,23424,23807,24339,24103,25019,25606,26294,25800,26995,26747,27377,27622,27784,29088,27271,27248,27311,28245,29165,30255
"20","12","    Photocopy and related equipment","C285RX0",9057,8708,8574,8640,8970,8899,9069,9139,8837,8763,9119,9665,10798,10252,10423,9694,8734,8740,9120,9245,9446,9026,8027,7755,6579,5978,6095,5545,4789,4350,4250,4291,4817,5138,5324,5059,5097,5019,4447,4415,4161,4476,4510,4677,4078,3968,4010,4397,4169,3583,3481,3414,4234,3805,4299,4141,4256,3402,3995,3587,3650
"21","13","    Office and accounting equipment","B936RX0",5472,5747,5520,5437,5640,5603,5721,5741,5646,5541,5778,5550,5421,5201,4963,4541,3748,3676,3649,3529,3332,3423,4038,4406,4948,4647,4913,4617,4799,4922,5112,5908,7078,8293,8580,8671,8021,8562,8563,8263,8079,8658,8671,8876,8491,9070,9293,9123,8741,9516,10106,9389,8809,9422,9589,9029,7315,8102,9772,10121,8623
"22","14","  Industrial equipment","A680RX0",143596,145823,146862,145593,149033,151848,150417,152165,151431,154321,155181,155554,163413,161992,158669,159248,158957,161248,163373,163712,171519,176042,179195,176441,176836,164284,157369,152853,154172,150224,152041,151155,150395,156150,152039,147970,141884,145233,149743,152679,156230,154427,160734,167181,165111,176186,174718,175584,172370,186889,185865,178639,179336,178576,173656,167198,140783,135152,130369,128018,128251
"23","15","    Fabricated metal products","C263RX0",13023,12996,12919,13202,13823,14438,14340,13837,12471,12068,12232,12153,12326,12974,12665,12881,13023,13255,13735,14093,14063,14248,14112,13963,14137,13837,13965,13536,12870,12684,11965,11668,12289,13105,13172,13635,13241,12566,12762,12899,12960,13123,13947,14157,14898,15101,14983,14871,14809,14966,15144,14360,13853,13480,13393,13532,12935,12713,12536,12517,12167
"24","16","    Engines and turbines","A668RX0",3969,3790,3612,2916,3834,3839,4467,4832,4977,3126,4569,3064,5279,5115,4125,4011,4775,5316,6150,6370,9021,6959,6415,6756,11761,10341,11842,10295,13772,11381,10910,10997,10071,11755,10569,8161,5569,4227,4341,4889,4846,4513,5693,6852,5314,6098,7589,7816,5747,7769,9680,6600,6350,8804,8967,10749,5705,7799,6903,6016,4509
"25","17","      Steam engines","BA13RX0",2384,2256,2012,1300,2181,2200,2819,3167,3149,1286,2706,1214,3497,3397,2390,2169,2611,2960,3629,3967,6746,4694,4357,4531,9279,7842,9265,7712,11479,9017,8531,9004,7762,9305,8262,5861,3355,2019,2038,2605,2408,2028,3072,4059,2451,3182,4587,4656,3111,4961,6687,3554,3290,5889,6286,8202,3603,6063,5150,4273,2817
"26","18","      Internal combustion engines","BA14RX0",1598,1549,1626,1665,1677,1660,1652,1659,1831,1896,1880,1913,1772,1707,1755,1874,2201,2394,2546,2412,2204,2249,2041,2210,2365,2415,2462,2502,2125,2248,2273,1865,2215,2330,2205,2243,2202,2215,2311,2281,2437,2486,2619,2796,2858,2915,3006,3163,2648,2791,2966,3056,3085,2896,2639,2414,2123,1635,1687,1709,1709
"27","19","    Metalworking machinery","C271RX0",28914,29454,29504,29483,29330,29285,29824,31003,31646,33100,32251,31394,32634,32263,31982,31690,30773,30457,31149,31876,31725,31780,32199,30901,29825,27720,25852,24017,23456,24037,24608,25113,24068,24548,24171,23547,23991,23426,25234,24409,25603,25314,26894,27502,28849,27335,27025,26934,27627,28280,28200,28795,29267,28990,28750,26059,21603,17860,17162,17089,18307
"28","20","    Special industry machinery, n.e.c.","C272RX0",33750,34443,35698,35047,37179,37655,34185,33739,32613,35363,36321,37352,38729,36845,35559,35509,36952,37685,36510,36593,36065,41877,45334,44581,41144,37710,34471,35492,34795,31242,32679,31839,32318,34666,30991,26635,26938,30131,31324,31913,31741,31236,31053,33076,29696,38044,35662,34513,32882,41682,36251,34797,33844,33857,30094,30412,27265,26841,22166,19814,21141
"29","21","    General industrial, including materials handling, equipment","C273RX0",45514,46778,46645,46504,46418,47638,48240,49279,49857,50299,49399,50887,53334,53857,52919,53561,51614,51722,51940,50821,54775,55763,54906,53102,53879,49862,48592,47089,47601,49048,50429,50451,51236,51551,52677,54679,51047,53285,54467,57099,59412,58432,60570,62246,62802,64956,64369,65666,65375,67385,69117,66913,68338,65751,64359,60418,50124,46949,47739,48354,47943
"30","22","    Electrical transmission, distribution, and industrial apparatus","C276RX0",18346,18309,18405,18404,18389,18959,19334,19422,19751,20224,20185,20568,20893,20822,21308,21521,21651,22592,23644,23680,25473,25065,25781,26621,25487,24312,22240,22049,21136,21437,21039,20664,20120,20167,20209,21259,21111,21601,21611,21453,21662,21808,22570,23360,23534,24654,25071,25746,25900,26852,27458,27204,27816,27868,28137,25866,22809,22383,23133,23454,23626
"31","23","  Transportation equipment","A681RX0",142423,128411,125886,129408,127758,131745,143961,143796,144175,147535,155218,145935,148716,155385,163753,180240,181917,187739,199317,192221,190747,193076,185424,175539,170435,171532,164481,171788,163062,155149,152687,145927,131484,142471,144016,143743,142483,156773,169046,181084,174322,180115,189707,182720,202620,194100,193720,195548,188229,178114,171768,171491,161930,141044,121714,90925,59807,62688,65966,76087,81960
"32","24","    Trucks, buses, and truck trailers","C279RX0",63736,60742,62170,64304,63738,65214,70144,74737,77483,75291,76878,78942,79362,85055,83318,93325,91406,91388,98316,96361,96272,89953,85719,76363,75310,73931,66874,70048,67625,65067,70885,65457,60365,67446,71714,72373,75723,80204,91609,97705,95590,100035,109766,106554,117313,114414,113150,113762,104008,91270,87638,88531,85128,65656,54620,41332,26174,21228,23285,37658,41577
"33","25","      Light trucks (including utility vehicles) \3\","W178RX0",30587,29342,30894,32350,34826,36376,41268,47042,51217,49348,49719,49643,48671,53446,48879,56196,54600,54875,60550,58168,59689,55453,54744,50009,49907,50349,45193,49086,47896,42316,45741,41140,41078,45705,48331,47293,48284,51465,59881,63715,59440,63762,73161,69737,77876,74754,73751,74431,71435,67235,67149,68504,66050,45992,36087,22563,12790,9438,10251,22618,27329
"34","26","      Other trucks, buses, and truck trailers \3\","W179RX0",34092,32286,32101,32757,29455,29325,29194,27691,25977,25710,27000,29304,30813,31631,34674,37304,37023,36713,37871,38365,36664,34586,30962,26296,25334,23522,21630,20891,19655,22703,25086,24224,19217,21654,23279,25048,27508,28767,31676,33930,36166,36254,36604,36820,39526,39710,39415,39311,32749,24578,21300,21007,20175,19854,18373,17866,12604,11118,12298,14545,14152
"35","27","    Autos \3\","C280RX0",39999,39046,40030,39924,38612,40017,40530,38699,38393,38007,38383,38285,35016,36296,34360,41365,40033,43240,45918,45294,47972,45790,44245,44525,48103,47574,44266,43033,44285,47477,47866,43311,42084,40386,41326,37567,37496,39331,40970,44444,42964,43337,46758,47058,53183,48624,46952,47406,47321,50470,50295,50473,45089,44050,38806,24194,16066,20365,19839,20741,24966
"36","28","    Aircraft","C281RX0",28881,16561,14004,14058,13659,14308,22050,19129,15786,21497,28696,15870,21604,21023,35540,32475,38818,40951,42986,37797,31792,44639,45078,45018,36905,41104,44506,50347,41522,32987,24321,27758,19533,24710,21792,24361,19643,27452,25009,28280,23802,24701,21203,18162,20752,20383,20818,20283,24283,23689,20361,20928,20970,19433,15655,16072,12222,14017,15568,12324,10464
"37","29","    Ships and boats","C282RX0",2780,2351,2073,2103,2560,2661,3559,2896,3096,3502,3056,3740,3289,3238,3343,4198,3544,3407,3652,3696,4272,4125,4144,3836,4046,3462,3444,3802,4130,4222,4092,4565,4435,4727,4461,4454,4265,4915,5868,4925,5708,5195,4156,4027,4362,4211,4451,3748,3979,4086,4415,4462,4224,3340,3487,2810,2428,1947,2261,1740,1831
"38","30","    Railroad equipment","C283RX0",7245,7881,4892,6324,6619,6973,6225,6251,6745,7809,7878,6362,8212,8146,8186,8438,8888,9683,9191,9204,9734,10056,7769,7575,6932,6564,6950,6427,6836,5959,5521,5179,5013,5435,4743,5314,5256,5219,5711,5804,6262,6817,7802,6966,7112,6624,8395,10345,8390,8144,8643,6850,6249,7848,8343,5618,2196,4130,3964,2944,2820
"39","31","  Other equipment","A682RX0",116837,116238,115663,117022,118057,119361,122584,123674,126381,128389,135836,136916,142639,146590,145983,144152,148736,146184,147487,150113,154559,158363,155761,155360,157000,152684,155509,151453,149736,154791,154299,153933,155877,156192,162576,164676,163868,167055,172417,175903,178236,185383,185732,187345,192220,192458,189689,190552,184197,189455,192321,193560,187306,184938,189623,176405,160460,146921,142978,142139,151937
"40","32","    Furniture and fixtures","A667RX0",28464,29083,29045,28696,27732,28641,29774,31625,34310,33190,33570,34151,36898,36983,38104,39863,41228,40823,41305,41218,41461,45146,44753,45186,43968,41828,40117,39045,39470,40028,39665,38383,38993,38451,40494,40531,39629,40741,41593,41135,42766,43231,42016,43103,43710,44064,42586,43492,43141,42552,43049,42600,41334,40621,39446,35778,30704,29868,29360,28639,29393
"41","33","      Household furniture","BA15RX0",1655,1588,1665,1671,1705,1755,1796,1784,1734,1775,1808,1887,1969,1961,2029,2088,2178,2205,2263,2306,2304,2363,2393,2378,2373,2290,2352,2345,2448,2511,2507,2457,2494,2447,2495,2536,2552,2562,2509,2565,2617,2602,2628,2623,2659,2640,2552,2473,2503,2417,2443,2360,2202,2122,2021,1837,1741,1644,1603,1620,1716
"42","34","      Other furniture","BA16RX0",26808,27497,27381,27024,26026,26884,27976,29841,32580,31417,31764,32265,34932,35024,36078,37777,39052,38619,39043,38913,39158,42786,42362,42811,41597,39539,37766,36701,37023,37516,37159,35926,36499,36003,37999,37996,37077,38179,39084,38571,40149,40629,39388,40479,41051,41424,40034,41019,40639,40135,40606,40240,39131,38499,37425,33941,28964,28225,27758,27021,27680
"43","35","    Agricultural machinery","C268RX0",17423,16850,16323,15944,16759,16223,16685,16054,15480,18247,21053,20294,21238,21382,18795,16408,15899,14276,12811,13829,15955,16559,15527,14502,15318,16058,17453,17461,17434,17693,19855,20887,20900,19715,20191,20823,21128,21576,23160,23604,22899,24360,24098,22666,22689,22514,21207,20999,20827,21391,21869,23519,21918,22703,27407,24674,25873,22647,21168,20750,22287
"44","36","      Farm tractors","BA17RX0",5233,5067,4653,4462,4575,4251,4466,4531,4846,5813,7555,7185,6952,6828,6210,5429,4780,4153,3978,4539,5333,5666,5600,5112,5310,4884,5186,5163,5524,5853,7188,7675,6886,6661,6837,7660,7741,7893,8117,8204,8334,8818,8586,7664,7776,7683,7382,7186,6516,6800,7136,7824,7066,6958,8004,7358,7558,6564,6210,6308,6731
"45","37","      Other agricultural machinery","W213RX0",12219,11810,11715,11531,12244,12041,12283,11569,10650,12449,13475,13092,14297,14572,12590,10982,11147,10155,8849,9295,10622,10888,9910,9380,10004,11193,12290,12320,11922,11846,12663,13208,14018,13058,13360,13160,13384,13682,15045,15402,14565,15542,15512,15003,14912,14831,13825,13814,14314,14594,14735,15694,14851,15751,19419,17326,18328,16097,14968,14446,15562
"46","38","    Construction machinery","C269RX0",19191,18925,19324,19750,20709,21125,21920,22505,21808,22116,23380,24373,24432,24683,27246,26702,26403,25349,25579,26259,27394,27750,24858,24493,24644,22726,22930,22200,21397,22100,21047,20919,20648,21890,23795,23259,24604,24053,25700,28746,29318,31299,32902,34786,36148,35870,35461,37309,29058,30505,34637,33879,32007,29409,29081,28888,22177,16816,16038,15763,18601
"47","39","      Construction tractors","BA18RX0",1902,1814,1862,1977,2082,2101,2180,2187,2685,2850,3101,3372,3175,3068,3385,3141,2905,2819,2933,3104,3126,2994,2750,2660,2553,2239,2198,2027,1913,1825,1780,1828,1806,1903,2062,1931,1913,1746,1938,2126,2238,2494,2730,2895,3078,2757,2931,3112,2367,2671,3032,3094,2895,2686,2896,2504,1722,1265,1460,1611,1857
"48","40","      Other construction machinery","W214RX0",17290,17113,17465,17775,18629,19026,19741,20319,19127,19270,20283,21006,21261,21619,23865,23564,23501,22533,22649,23159,24272,24759,22111,21835,22092,20486,20732,20173,19482,20273,19265,19089,18840,19985,21731,21327,22691,22308,23763,26620,27080,28805,30172,31891,33071,33112,32530,34197,26690,27835,31607,30787,29113,26723,26181,26386,20459,15555,14576,14146,16738
"49","41","    Mining and oilfield machinery","C270RX0",3188,3263,3276,3695,3694,3709,3499,2997,4689,4366,4437,4374,3682,4646,5061,4383,5580,6358,7188,6748,6883,6369,6042,6275,6981,6884,7547,7551,5421,5704,4916,2759,5329,5168,6162,6011,5934,6984,6884,6139,6715,9579,9155,9440,11701,12636,13696,13506,15414,18285,16650,17638,16140,15849,16390,16228,15818,13656,12863,13184,14441
"50","42","    Service industry machinery","C570RX0",16221,16107,16085,16779,16404,16698,17011,16713,16303,15995,16879,16457,18104,18125,18295,19388,19371,19453,20578,20416,20296,19684,21836,20622,20305,21961,21726,21282,21554,20836,19590,20607,20594,20161,20252,21017,19803,21124,21238,21638,21496,22265,21939,21837,22403,21568,21735,20806,21048,21015,20711,20839,22806,22093,22336,20658,18775,19535,20037,19609,19542
"51","43","    Electrical equipment, n.e.c.","A670RX0",3499,3449,3422,3365,3325,3362,3307,3246,3475,3568,3755,4151,4508,4584,4573,4050,3628,4102,4456,4834,5162,4644,3689,4296,4626,4949,4956,4630,4844,5069,5206,5431,5437,5251,5269,5831,6207,6505,6824,6754,6681,6342,6202,6051,6309,6581,6355,5808,5611,5346,5000,4852,4888,4914,4951,4416,3820,3680,3762,4056,4260
"52","44","      Household appliances","BA19RX0",658,649,683,672,686,722,731,731,701,711,745,804,808,812,837,821,840,842,836,854,902,904,895,875,909,910,954,950,926,955,974,1025,1007,1020,1037,1086,1073,1067,1092,1113,1132,1093,1111,1102,1074,1113,1090,1058,1065,1076,1032,991,996,981,963,883,836,860,794,834,862
"53","45","      Miscellaneous electrical","BA20RX0",2843,2801,2742,2696,2643,2647,2583,2522,2777,2860,3014,3350,3700,3772,3736,3233,2796,3264,3622,3981,4260,3743,2804,3425,3721,4040,4005,3686,3921,4116,4234,4408,4431,4234,4236,4747,5135,5437,5731,5641,5549,5250,5091,4949,5234,5468,5265,4750,4546,4270,3969,3862,3893,3934,3988,3534,2984,2820,2968,3223,3399
"54","46","    Other","C286RX0",28860,28582,28234,28867,29540,29710,30493,30615,30533,31130,33014,33344,33909,36333,34190,33579,36890,36078,35845,37012,37642,38505,39272,40158,41331,38433,40909,39446,39623,43307,43924,44677,43885,45423,46371,47110,46477,46036,46983,47837,48335,48320,49436,49461,49210,49156,48533,48515,48937,50057,50189,49959,47989,49166,49751,45409,42856,40502,39619,40005,43231
"55","47","  Less: Sale of equipment scrap, excluding autos","C287RX0",6904,7164,7090,7379,7439,7259,7533,7607,7460,7501,7242,6624,6860,6890,7091,7899,7467,6742,6226,5548,5993,6453,6269,5776,4815,4708,4930,5433,5702,5455,5097,4764,4650,4610,4714,4985,5708,5324,5178,5227,4997,5065,5244,5619,5046,5535,6129,6130,5802,5732,5876,5592,5164,4570,4746,4277,3591,3330,3258,3385,3546
"56","48","Residential equipment","B013RX0",5926,5835,5906,5890,5795,5935,5824,5890,5755,5792,5833,5866,5984,6200,6313,6461,6639,6867,7067,7120,7333,7386,7416,7510,7510,7538,7595,7774,7870,7946,7874,7944,7951,8273,8661,8894,9060,9254,9472,9673,9616,9731,9741,10046,10252,10141,10134,10075,10206,10041,10103,10180,10051,10142,9776,9352,9181,8943,9253,9573,9843
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. The quantity index for computers can be used to accurately measure the real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","growth rate of this component. However, because computers exhibit rapid changes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","in prices relative to other prices in the economy, the chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","should not be used to measure the component's relative importance or its contribution",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","to the growth rate of more aggregate series; accurate estimates of these contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","are shown in table 5.5.2 and real growth rates are shown in table 5.5.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","3. Includes net purchases of used vehicles; additional detail is available in table 7.2.6U.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
